Payment Date,Transaction id,Supplier,Expense Type,Expense Area,Amount in Sterling,Supplier VAT Registration Number
26/10/2010,2651195,Mazars LLP,Contractor Costs,Head of Operations - South East - Ops Southern,11162,839835673,
26/10/2010,2651197,Mazars LLP,Contractor Costs,Head of Operations - South East - Ops Southern,8743.5,839835673,
26/10/2010,2651196,Mazars LLP,Contractor Costs,Head of Operations - South East - Ops Southern,6016.5,839835673,
26/10/2010,2651125,Mercer Human Resources Consulting Limited,Consultants (Non Time Sheet User),HR Service Centre,1763.5,244251779,
14/10/2010,2650874,Michael Page UK Ltd,Contractor Costs,Finance Reporting Standards,1195.74,354259936,
05/10/2010,2650612,Michael Page UK Ltd,Contractor Costs,Communications - Internal,1123.88,354259936,
21/10/2010,2651046,Michael Page UK Ltd,Contractor Costs,Communications - Internal,1123.88,354259936,
26/10/2010,2651198,Michael Page UK Ltd,Contractor Costs,Communications - Internal,1123.88,354259936,
14/10/2010,2650873,Michael Page UK Ltd,Contractor Costs,Communications - Internal,1093.91,354259936,
05/10/2010,2650611,Michael Page UK Ltd,Contractor Costs,Finance Reporting Standards,917.28,354259936,
21/10/2010,1024429,MWB Room Charges,Rent Licences (Not Leased),Estate Management,"11,380.18",,
21/10/2010,2651044,NCC Services Ltd,Consultants (Non Time Sheet User),National Fraud Initiative - Ops Central Investment,2375,732334556,
14/10/2010,2650887,Nedstat Ltd,Software Support & Maintenance,Core IT,9820,766179783,
26/10/2010,2651189,NGS Secure Limited,Consultants (Non Time Sheet User),Core IT,2375,793855569,
21/10/2010,2651054,Oracle Corporation UK Ltd,Software Support & Maintenance,Core IT,14063.15,391313073,
12/10/2010,2650781,Orange Personal Communications Services Ltd,Telecommunications Rental & Maintenance,Core IT,23516.38,771592016,
26/10/2010,2648730,Orange Personal Communications Services Ltd,Telecommunications Rental & Maintenance,Core IT,7880,771592016,
12/10/2010,2650780,Orange Personal Communications Services Ltd,Telecommunications Rental & Maintenance,Core IT,1624.59,771592016,
26/10/2010,2649798,Orange Personal Communications Services Ltd,Telecommunications Rental & Maintenance,Core IT,1200,771592016,
12/10/2010,2650781,Orange Personal Communications Services Ltd,Telecommunications Rental & Maintenance,Core IT,99.88,771592016,
26/10/2010,2650955,Orange Personal Communications Services Ltd,Telecommunications Rental & Maintenance,Core IT,-7880,771592016,
26/10/2010,2651147,Park Plaza Westminster Bridge,Sundry Debtors,Audit Policy Division,3002.07,974871761,Eurorai
19/10/2010,2650981,Pitney Bowes MapInfo Limited,Software Support & Maintenance,Core IT,2548,669468471,
21/10/2010,2650747,Premier Inn,Conferences Hosted & Attended,Graduate Trading Account,2637.4,N/A,
07/10/2010,2650713,PricewaterhouseCooper LLP,Consultants (Non Time Sheet User),Professional Standards Division,45352,243823957,
26/10/2010,2651103,PricewaterhouseCooper LLP,Consultants (Non Time Sheet User),Studies,2000,243823957
26/10/2010,2651104,PricewaterhouseCooper LLP,Consultants (Non Time Sheet User),Studies,2000,243823957
14/10/2010,2650815,Profund Solutions Limited,Contractor Costs,HR Service Centre,15625,244232196
05/10/2010,2650543,QA IQ Ltd,Staff Training,HR Training and Development,440,864455303
05/10/2010,2650543,QA IQ Ltd,Staff Training,HR Training and Development,88,864455303
07/10/2010,2650691,QSR International Pty Ltd,Software Support & Maintenance,Core IT,1740,972050923
26/10/2010,2651057,Reed Business Information,Online Information Sources,Asset Management & Sustainability,2060,235723565
05/10/2010,2650491,Reed Managed Services Ltd,Contractor Costs,Business Change (Projects & Change),2300,835515525
05/10/2010,2650492,Reed Managed Services Ltd,Contractor Costs,Business Change (Projects & Change),2300,835515525
05/10/2010,2650620,Reed Managed Services Ltd,Contractor Costs,Business Change (Projects & Change),2070,835515525
05/10/2010,2650493,Reed Managed Services Ltd,Contractor Costs,Business Change (Projects & Change),1840,835515525
05/10/2010,2650495,Reed Managed Services Ltd,Contractor Costs,Assistant MD,1840,835515525
07/10/2010,2650622,Reed Managed Services Ltd,Contractor Costs,London operational staff,1780,835515525
07/10/2010,2650624,Reed Managed Services Ltd,Contractor Costs,London operational staff,1324.23,835515525
07/10/2010,2650623,Reed Managed Services Ltd,Contractor Costs,London operational staff,1312.43,835515525
21/10/2010,2650996,Reed Managed Services Ltd,Contractor Costs,London operational staff,1237.43,835515525
19/10/2010,2650789,Reed Managed Services Ltd,Contractor Costs,London operational staff,1158.85,835515525
19/10/2010,2650816,Reed Managed Services Ltd,Contractor Costs,London operational staff,1158.85,835515525
19/10/2010,2650817,Reed Managed Services Ltd,Contractor Costs,London operational staff,1158.85,835515525
28/10/2010,2651141,Reed Managed Services Ltd,Contractor Costs,London operational staff,1158.85,835515525
28/10/2010,2651143,Reed Managed Services Ltd,Contractor Costs,London operational staff,1158.85,835515525
19/10/2010,2650790,Reed Managed Services Ltd,Contractor Costs,London operational staff,1049.94,835515525
19/10/2010,2650818,Reed Managed Services Ltd,Contractor Costs,London operational staff,993.3,835515525
21/10/2010,2650997,Reed Managed Services Ltd,Contractor Costs,Asset Management & Sustainability,949.23,835515525
26/10/2010,2651144,Reed Managed Services Ltd,Contractor Costs,Asset Management & Sustainability,949.23,835515525
26/10/2010,2651145,Reed Managed Services Ltd,Contractor Costs,Asset Management & Sustainability,949.23,835515525
12/10/2010,2650619,Reed Managed Services Ltd,Contractor Costs,Asset Management & Sustainability,867.87,835515525
14/10/2010,2650819,Reed Managed Services Ltd,Contractor Costs,Asset Management & Sustainability,800.08,835515525
14/10/2010,2650820,Reed Managed Services Ltd,Contractor Costs,Communications - E Comms,765.9,835515525
05/10/2010,2650621,Reed Managed Services Ltd,Contractor Costs,Communications - E Comms,760.73,835515525
07/10/2010,2650625,Reed Managed Services Ltd,Contractor Costs,London operational staff,590.54,835515525
29/10/2010,GPCOCT10,Registrationline,Planned Preventative Building Maintenance (PPM),HR Training and Development,546.38,
28/10/2010,2651251,Restore,Archiving and CD Scanning,Regional Costs - Ops Southern,10317.5,771177029
28/10/2010,2651251,Restore,Archiving and CD Scanning,Regional Support Costs - Ops Central,5297.5,771177029
28/10/2010,2651251,Restore,Archiving and CD Scanning,Regional Costs - Ops London,3730,771177029
28/10/2010,2651251,Restore,Archiving and CD Scanning,Millbank - Facilities,927.5,771177029
28/10/2010,2651251,Restore,Archiving and CD Scanning,Regional Costs - Ops Northern,345,771177029
28/10/2010,2651251,Restore,Archiving and CD Scanning,Westward House,150,771177029
19/10/2010,2650926,ROK Building LTD,Fixtures and Fittings Capital Purchases,Asset Management & Sustainability,4388.22,141359678
12/10/2010,2650761,Sanderson Weatherall,"Heat, Light & Power",Asset Management & Sustainability,527.83,945674483
12/10/2010,2650705,Selecta UK Ltd,Estates Winding Up Costs,Asset Management & Sustainability,2877.93,911021490
12/10/2010,2650842,Selecta UK Ltd,Food & Bererages Charges,Nicholson House,850.9,911021490
12/10/2010,2650840,Selecta UK Ltd,Food & Bererages Charges,Westward House,676.16,911021490
12/10/2010,2650840,Selecta UK Ltd,Office Equipment Repairs & Maintenance,Westward House,200,911021490
12/10/2010,2650842,Selecta UK Ltd,Office Equipment Repairs & Maintenance,Nicholson House,200,911021490
14/10/2010,2650870,Selecta UK Ltd,Office Equipment Repairs & Maintenance,Head of Operations - South East - Ops Southern,-45,911021490
12/10/2010,2650839,Selecta UK Ltd,Food & Beverages Charges,Westward House,-90,911021490
12/10/2010,2650841,Selecta UK Ltd,Food & Beverages Charges,Nicholson House,-90,911021490
26/10/2010,2650891,Serco Limited,Health & Safety (Non Furniture),HR Policy and Advice,563.04,207523388
26/10/2010,2650891,Serco Limited,Health & Safety (Non Furniture),HR Policy and Advice,540.96,207523388
12/10/2010,2650734,SITA Uk Limited,Recycling and Refuse,Nicholson House,447.67,444085847
12/10/2010,2650734,SITA Uk Limited,Recycling and Refuse,Westward House,447.67,444085847
21/10/2010,1024425,South Gloucestershire Council S/O,Business Rates,Estate Management,"21,029.00",
26/10/2010,2650892,SPSS (UK) Ltd,Software Support & Maintenance,Core IT,10990.41,927189785
26/10/2010,2651047,Surlyn Protection Systems,Reactive Building Maintenance,Millbank - Facilities,965,923452730
19/10/2010,2650827,Swets Information Services Ltd,Newspapers & Magazines,Information Management,995.28,577873965
14/10/2010,2650834,Swets Information Services Ltd,Newspapers & Magazines,Chief Executive's Office,602.7,577873965
26/10/2010,2651109,Synectics Solutions Ltd,Data management Services,National Fraud Initiative - Ops Central Investment,190332,592436323
21/10/2010,2651079,Talentfirst,Staff Training,HR Training and Development,1084.48,883399565
21/10/2010,2651078,Talentfirst,Staff Training,HR Training and Development,1048,883399565
19/10/2010,2651034,Talentfirst,Staff Training,HR Training and Development,500,883399565
05/10/2010,2650526,Tamar Science Park Limited,Leased Property Rent Invoices,Asset Management & Sustainability,681.72,675822503
05/10/2010,2650526,Tamar Science Park Limited,Rent Licences (Not Leased),Asset Management & Sustainability,496,675822503
19/10/2010,2650805,Tamar Science Park Limited,Postage & Delivery Charges,Head of Ops - South West - Ops Southern,332.79,675822503
05/10/2010,2650526,Tamar Science Park Limited,Service Charges,Asset Management & Sustainability,261.08,675822503,
19/10/2010,2650805,Tamar Science Park Limited,Meetings,Head of Ops - South West - Ops Southern,112.5,675822503,
19/10/2010,2650805,Tamar Science Park Limited,Cleaning & Hygiene,Asset Management & Sustainability,70.37,675822503,
19/10/2010,2650805,Tamar Science Park Limited,"Heat, Light & Power",Asset Management & Sustainability,57.2,675822503,
19/10/2010,2650730,The Gym Repair Company,WH Gym Expenditure,Westward House,650,656149811,
14/10/2010,2650875,The Information Centre,Data management Services,Health Directorate - Payment by Results,5763.97,654434435,
19/10/2010,2650946,The Queen Elizabeth II Conference Centre,Sundry Debtors,Audit Policy Division,20480.69,503337774,Eurorai
26/10/2010,2651121,Trainline.com Ltd,Trainline BIF Control Account,All,20639,,
05/10/2010,2650554,Trainline.com Ltd,Trainline BIF Control Account,All,19202.6,,
14/10/2010,2650851,Trainline.com Ltd,Trainline BIF Control Account,All,17558.15,,
07/10/2010,2650706,Trainline.com Ltd,Trainline BIF Control Account,All,15154.7,,
05/10/2010,2650555,Trainline.com Ltd - Season Tickets,London Travelcards Holiding Code,HR Service Centre,13252.9,791726106,
14/10/2010,2650854,Trainline.com Ltd - Season Tickets,London Travelcards Holiding Code,HR Service Centre,13192.6,791726106,
26/10/2010,2651092,Trainline.com Ltd - Season Tickets,London Travelcards Holiding Code,HR Service Centre,5226,791726106,
12/10/2010,2650707,Trainline.com Ltd - Season Tickets,London Travelcards Holiding Code,HR Service Centre,4287.1,791726106,
12/10/2010,2650693,Turner & Townsend,Property Services Professional Fees,Asset Management & Sustainability,750,764244132,
21/10/2010,2651082,Ultima Risk Management,Staff Training,HR Training and Development,1589,864823888
21/10/2010,2651083,Ultima Risk Management,Staff Training,HR Training and Development,1589,864823888
12/10/2010,2650564,Unit 4 Business Software Ltd (Agresso),Staff Training,HR Training and Development,3010,567554796
05/10/2010,2650610,University of Portsmouth,Student Training,HR Training and Development,1580,
14/10/2010,2650579,University of Warwick,Staff Training,HR Training and Development,7560,
05/10/2010,2650589,University of West of England,Student Training,HR Training and Development,3200,520137788
05/10/2010,2650590,University of West of England,Student Training,HR Training and Development,3200,520137788
19/10/2010,2650927,University of West of England,Student Training,HR Training and Development,3200,520137788
26/10/2010,2651187,University of West of England,Student Training,HR Training and Development,2400,520137788
19/10/2010,2650735,Viridor Waste Management Ltd,Recycling and Refuse,Millbank - Facilities,1516.92,736636511
26/10/2010,2650528,Warwick University Training,Student Training,Graduate Trading Account,20889.98,
07/10/2010,2650655,Westminster Business Centre,Rent Licences (Not Leased),Asset Management & Sustainability,5000,886766156
14/10/2010,2650811,Willis Corroon Corporate,Imprests - Car Insurance,Procurement & Financial Services,33820.35,334128970
12/10/2010,2650736,Willis Corroon Corporate,Imprests - Car Insurance,Procurement & Financial Services,2085.93,334128970
28/10/2010,2651259,Work Communications,Recruitment,Recruitment - Talent,4000,805685121
04/10/2010,GPCOCT13,XMA Ltd,Non-Asset IT Equipment Purchases (Revenue),Regional Costs - Ops Northern,823.97,
,,,,,1651319.33
