Contract ID,Project ID,Project Name,Central Government Department,Responsible Government Body,Latest Business Case Assumed Contract Start Date,Latest Forecast Date for Contract Start,Current Approved Contract End/Expiry Date,"If existing, Original Contract Date","If existing, Latest Contract Revision Date",Prime ICT Supplier Name,Prime ICT Supplier Capability Type,Other Supplier Name 1,Other Supplier Capability Type 1,Other Supplier Name 2,Other Supplier Capability Type 2,Other Supplier Name 3,Other Supplier Capability Type 3,Other Supplier Name 4,Other Supplier Capability Type 4,Date of Current Business case,Status of Current Business case,Prime ICT Supplier - Whole Life Costs - CDEL (£'000),Prime ICT Supplier - Whole Life Costs - RDEL(£'000),Prime ICT Supplier -  Amount Spent to 31/3/10 - CDEL (£'000),Prime ICT Supplier -  Amount Spent to 31/3/10 - RDEL (£'000),Prime ICT Supplier - In Year 10/11 - CDEL (£'000),Prime ICT Supplier - In Year 10/11 - RDEL (£'000),Prime ICT Supplier - SR Period 11/12 - CDEL (£'000),Prime ICT Supplier - SR Period 11/12 - RDEL (£'000),Prime ICT Supplier - SR Period 12/13 - CDEL (£'000),Prime ICT Supplier - SR Period 12/13 - RDEL (£'000),Prime ICT Supplier - SR Period 13/14 - CDEL (£'000),Prime ICT Supplier - SR Period 13/14 - RDEL (£'000),Prime ICT Supplier - SR Period 14/15 - CDEL (£'000),Prime ICT Supplier - SR Period 14/15 - RDEL (£'000),Non-Prime - ICT Supplier costs - Whole Life Costs CDEL (£'000),Non-Prime - ICT Supplier costs - Whole Life Costs RDEL (£'000),Non-Prime - ICT Supplier costs - Amount Spent to 31/3/10 - CDEL (£'000),Non-Prime - ICT Supplier costs - Amount Spent to 31/3/10 - RDEL (£'000),Non-Prime - ICT Supplier costs - In Year 10/11 - CDEL (£'000),Non-Prime - ICT Supplier costs - In Year 10/11 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 11/12 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 11/12 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 12/13 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 12/13 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 13/14 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 13/14 - RDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 14/15 - CDEL (£'000),Non-Prime - ICT Supplier costs - SR Period 14/15 - RDEL (£'000),Workstation / User devices - Included?,Workstation / User devices - % of Total spend,"COTS Corporate Applications (HR, Finance etc) - Included?","COTS Corporate Applications (HR, Finance etc) - % of Total",Business Applications Included?,Business Applications Included - % of Total,Networks - Included?,Networks - % of Total spend,Data Centres - Included?,Data Centres - % of Total spend,Email  - Included?,Email  - % of Total spend,"Operating System Platform (Windows, Linux etc) - Included?","Operating System Platform (Windows, Linux etc) - % of Total",Service Desks - Included?,Service Desks - % of Total spend,Contact Centres / Customer Relationship Management - Included?,Contact Centres / Customer Relationship Management - % of total,Telecommunications - Included?,Telecommunications - % of Total spend,Online Services  - Included?,Online Services  - % of Total spend,Other - % of Total spend,Date of SRO's last assessment,OGC review stage,Coalition Programme for Government
C092g,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,40436,,,,Accenture,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,30-Jun-10,,,500,,,,500,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C092h,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,23-Aug-10,,,,BT,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,30-Jun-10,,,150,,,,150,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C092i,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,23-Aug-10,,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,30-Jun-10,,,300,,,,300,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C092j,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,23-Aug-10,,,,Atos Origin,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,30-Jun-10,,,300,,,,300,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C092k,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,40413,,,,Accenture,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,30-Jun-10,,,500,,,,500,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C092l,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,40413,,,,Accenture,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,30-Jun-10,,,250,,,,250,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C092m,P092,Automated Service Delivery (JSA),Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C093a,P093,Automated Transfers to Local Authorities (ATLAS),Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40392,Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C093b,P093,Automated Transfers to Local Authorities (ATLAS),Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,40422,,,,BT,Networks,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Yes,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C093c,P093,Automated Transfers to Local Authorities (ATLAS),Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,40422,,,,Accenture,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,,Yes,,Not Stated,,Not Stated,,Yes,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C093d,P093,Automated Transfers to Local Authorities (ATLAS),Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,01-Sep-10,,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,Yes,,No,,Yes,,No,,Yes,,Yes,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C094a,P094,Bank Liaison Automation & Customer Contact Project (BLACC),Department for Work and Pensions,DWP - Department for Work and Pensions,,,40486,,,HP,"COTS Corporate Applications (HR, Finance etc.)",Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40330,,1158,,162,,996,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 2 Delivery Strategy,Deficit Reduction
C094b,P094,Bank Liaison Automation & Customer Contact Project (BLACC),Department for Work and Pensions,DWP - Department for Work and Pensions,40567,,24-Jan-11,,,HP,"COTS Corporate Applications (HR, Finance etc.)",Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40330,,,2058,0,,,158,,271,,271,,271,,271,,,,,,,,,,,,,,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 2 Delivery Strategy,Deficit Reduction
C094c,P094,Bank Liaison Automation & Customer Contact Project (BLACC),Department for Work and Pensions,DWP - Department for Work and Pensions,,40398,24-Jan-11,,40305,Accenture,"COTS Corporate Applications (HR, Finance etc.)",Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40330,,407,,0,,407,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 2 Delivery Strategy,Deficit Reduction
C094d,P094,Bank Liaison Automation & Customer Contact Project (BLACC),Department for Work and Pensions,DWP - Department for Work and Pensions,,,40398,,40305,Accenture,"COTS Corporate Applications (HR, Finance etc.)",Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40330,,1450,,329,,1121,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 2 Delivery Strategy,Deficit Reduction
C094e,P094,Bank Liaison Automation & Customer Contact Project (BLACC),Department for Work and Pensions,DWP - Department for Work and Pensions,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateway 2 Delivery Strategy,Not Stated
C095a,P095,Child Maintenance and Enforcement Commission Future Scheme Programme,Department for Work and Pensions,DWP - Child Maintenance Enforcement Commission,,,,,,Other,Business Applications (i.e. Operational applications),Not Stated,Application Development & Hosting Services,Not Stated,Networks,Other,Interface Development,Other,Interface Development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateway 2 Delivery Strategy,Not Stated
C095b,P095,Child Maintenance and Enforcement Commission Future Scheme Programme,Department for Work and Pensions,DWP - Child Maintenance Enforcement Commission,,40391,41729,,,Experian,Credit Reference Agency,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,1450,0,0,,400,,50,,400,,600,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,100,,,Families and Children
C095c,P095,Child Maintenance and Enforcement Commission Future Scheme Programme,Department for Work and Pensions,DWP - Child Maintenance Enforcement Commission,,,13-Mar-13,,,Deloitte,Client-side Support Services,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,2002,10995,1002,6565,1000,4430,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,100,,,Families and Children
C095d,P095,Child Maintenance and Enforcement Commission Future Scheme Programme,Department for Work and Pensions,DWP - Child Maintenance Enforcement Commission,,,41728,,,,Testing Services,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,3967,0,0,,967,,3000,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,100,,,Families and Children
C095e,P095,Child Maintenance and Enforcement Commission Future Scheme Programme,Department for Work and Pensions,DWP - Child Maintenance Enforcement Commission,,,41404,,,,Application Development,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,920,2380,420,1132,500,1248,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Families and Children
C095f,P095,Child Maintenance and Enforcement Commission Future Scheme Programme,Department for Work and Pensions,DWP - Child Maintenance Enforcement Commission,,,,,,DWP/HPES/Accenture,Data Interfaces,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,6127,0,127,,8000,,,,,,,,,Not Stated,,Not Stated,,Yes,95,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,5,,,,Families and Children
C095g,P095,Child Maintenance and Enforcement Commission Future Scheme Programme,Department for Work and Pensions,DWP - Child Maintenance Enforcement Commission,,,,,,HMRC,Data Interface Development,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,4682,0,1325,,3357,,,,,,,,,Not Stated,,Not Stated,,Yes,95,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,5,100,,,Families and Children
C095h,P095,Child Maintenance and Enforcement Commission Future Scheme Programme,Department for Work and Pensions,DWP - Child Maintenance Enforcement Commission,,,41729,,,BT,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,4999,,897,,4102,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Yes,5,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,67,Yes,28,Not Stated,,,,,Families and Children
C095i,P095,Child Maintenance and Enforcement Commission Future Scheme Programme,Department for Work and Pensions,DWP - Child Maintenance Enforcement Commission,,,,,,HP,Infrastructure design and procurement ,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,30028,0,1928,,9400,,8500,,2800,,2800,,2800,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,46,Not Stated,,Yes,13,Not Stated,,Not Stated,,Not Stated,,Not Stated,,41,,,Families and Children
C095j,P095,Child Maintenance and Enforcement Commission Future Scheme Programme,Department for Work and Pensions,DWP - Child Maintenance Enforcement Commission,,,40847,,,Tata Consultancy Services,System Integration,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,17170,0,10970,,6200,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Families and Children
C096,P096,Customer Centric,Department for Work and Pensions,DWP - Strategy Information and Pensions Client Group,,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Full Business Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C097a,P097,Customer Information System - Enhanced Security Infrastructure Controls (ESIC) Project.,Department for Work and Pensions,DWP - Corporate Information Technology,,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Under review due to Cost Cutting exercise ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateway 4 Readiness for service,Not Stated
C097b,P097,Customer Information System - Enhanced Security Infrastructure Controls (ESIC) Project.,Department for Work and Pensions,DWP - Corporate Information Technology,,,40429,,,Accenture,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,1176,417,676,197,500,220,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,100,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 4 Readiness for service,Consumer Protection
C097c,P097,Customer Information System - Enhanced Security Infrastructure Controls (ESIC) Project.,Department for Work and Pensions,DWP - Corporate Information Technology,,,12-Dec-10,,,HP,Networks,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,2293,5396,793,402,1500,1874,,750,,770,,790,,810,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,15,Yes,80,Yes,15,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,Gateway 4 Readiness for service,Consumer Protection
C098a,P098,Data Centre Transition,Department for Work and Pensions,DWP - Corporate Information Technology,40405,,15-Feb-15,,40405,HP,Data Centres,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,0,10369,0,6052,0,4317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,0,No,0,No,0,No,0,Yes,100,No,0,No,0,No,0,No,0,No,0,No,0,,,,Jobs and Welfare
C098b,P098,Data Centre Transition,Department for Work and Pensions,DWP - Corporate Information Technology,,,,,,N/A,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C099a,P99,Electronic Exchange of Social Security Information (EESSI),Department for Work and Pensions,"DWP - Pension, Disability & Carers Service",40422,40422,,,,Atos Origin,Data Centres,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,3202,,0,,1322,,612,,412,,423,,433,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,25,Not Stated,,Yes,40,Not Stated,,Yes,15,Yes,20,Not Stated,,Not Stated,,Not Stated,,,,,Europe
C099b,P99,Electronic Exchange of Social Security Information (EESSI),Department for Work and Pensions,"DWP - Pension, Disability & Carers Service",40422,40422,,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,597,,0,,496,,101,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Yes,90,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Yes,10,Not Stated,,Not Stated,,Not Stated,,,,,Europe
C100a,P100,Enabling Retirement Savings Programme (ERSP),Department for Work and Pensions,DWP - Strategy Information and Pensions Client Group,,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,Full Business Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gateway 0 Strategic Assessment ,Not Stated
C100b,P100,Enabling Retirement Savings Programme (ERSP),Department for Work and Pensions,DWP - Strategy Information and Pensions Client Group,,,41718,,,Northgate,Workstation / User devices,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,1772,2564,881,,891,692,,624,,624,,624,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Pensions and Older People
C100c,P100,Enabling Retirement Savings Programme (ERSP),Department for Work and Pensions,DWP - Strategy Information and Pensions Client Group,,,11-Oct-10,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,678277.2017,0,0,0,51130,0,25688.62071,0,32798.34382,0,41421.67948,0,44445.3738,0,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,0,,,Pensions and Older People
C101a,P101,Enhanced Transmission Service Enhancement Release 2  (ETSE R2),Department for Work and Pensions,DWP - Corporate Information Technology,,,40390,,,HP,Data Centres,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,488,,1,,487,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,No,,No,,Yes,100,No,,No,,No,,No,,No,,No,,,,,Jobs and Welfare
C101b,P101,Enhanced Transmission Service Enhancement Release 2  (ETSE R2),Department for Work and Pensions,DWP - Corporate Information Technology,,,40368,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,616,,46,,570,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,Yes,100,No,,No,,No,,No,,No,,No,,No,,No,,,,,Jobs and Welfare
C101c,P101,Enhanced Transmission Service Enhancement Release 2  (ETSE R2),Department for Work and Pensions,DWP - Corporate Information Technology,40378,,40451,40378,,HP,Security Accreditation Consultancy,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,105,,6,,99,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,100,,,Jobs and Welfare
C101d,P101,Enhanced Transmission Service Enhancement Release 2  (ETSE R2),Department for Work and Pensions,DWP - Corporate Information Technology,,,40397,,,HP,Data Centres,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,581,2280,60,,521,280,,500,,500,,500,,500,,,,,,,,,,,,,,,No,,No,,No,,No,,Yes,100,No,,No,,No,,No,,No,,No,,,,,Jobs and Welfare
C101e,P101,Enhanced Transmission Service Enhancement Release 2  (ETSE R2),Department for Work and Pensions,DWP - Corporate Information Technology,,,40397,,,HP,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,1346,,850,,703,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,Yes,100,No,,No,,No,,No,,No,,No,,No,,No,,,,,Jobs and Welfare
C102a,P102,Enhanced Transmission Service Enhancements Release 3 (ETSE R3),Department for Work and Pensions,DWP - Corporate Information Technology,40452,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,33,,0,,33,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,100,,,Jobs and Welfare
C102b,P102,Enhanced Transmission Service Enhancements Release 3 (ETSE R3),Department for Work and Pensions,DWP - Corporate Information Technology,,,40482,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,363,,6,,129,,57,,57,,57,,57,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,100,,,Jobs and Welfare
C102c,P102,Enhanced Transmission Service Enhancements Release 3 (ETSE R3),Department for Work and Pensions,DWP - Corporate Information Technology,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,1752,,57,,280,,,,,,,,,,,,,,,,,,,,,,,,No,,No,,Yes,100,No,,No,,No,,No,,No,,No,,No,,No,,,,,Jobs and Welfare
C103,P103,E-Referrals Full Solution,Department for Work and Pensions,DWP - Department for Work and Pensions,,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C104,P104,e-Signing,Department for Work and Pensions,DWP - Jobcentre Plus,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40357,Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C105,P105,European Social Fund (ESF) IT Systems,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Business Applications (i.e. Operational applications),Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,,PDR/CDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,Gateway 4 Readiness for service,Not Stated
C106a,P106,Extend The eMed3 Throughout GB,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40400,Strategic Outline Case stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Stated
C106b,P106,Extend The eMed3 Throughout GB,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C106c,P106,Extend The eMed3 Throughout GB,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
C106d,P106,Extend The eMed3 Throughout GB,Department for Work and Pensions,DWP - Welfare & Wellbeing Group,,,,,,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,Not Stated,40403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,Not Stated,,,,,Jobs and Welfare
