"Figure 6.1: Key telecoms indicators, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.35: Mobile voice call volumes, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billions of minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,USA,CAN,,,,,,,,,,,,,,,,,
2004,64.2,74.2,41,60,112.3,32.8,37.1,20.1,7.6,4.8,13,0,59.1,108,"1,019.80",,"1,130.00",60.9,,,,,,,,,,,,,,,,,
2009,118.3,101.2,91,113.8,138.8,64.7,70.9,39.9,19.8,10.2,49.5,127.6,276.8,"1,435.60","3,936.90",,"2,275.00",125.2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: USA, CAN and CHN include incoming calls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.36: Monthly outbound minutes per mobile connection, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,569.4,652.1,680.4,722.7,693.1,678.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,378.8,411.1,429.8,443.5,476.9,461.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,159.5,173,185,200,212,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,143.5,147.1,157.1,154.9,149.6,141.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,94.7,94.6,101.2,115.7,122.7,125.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,113.3,110,109.1,107.2,107.9,106.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,83.8,86.3,85.4,88.2,100.5,106.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,50.2,49.9,57.7,69.7,70.2,70.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,268,320.5,366.6,428.5,468.4,472.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,187.4,271.6,313.6,325.5,310.8,274.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,114,147,161.5,157.3,163.3,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,109.4,117.4,133.7,154.1,180,159.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,68.1,82.9,102.5,123.7,136.7,140.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,66.1,66.2,59.2,78.6,117,116.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,80.7,97.8,106.8,115.9,114.6,109.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,53.6,52.1,66.6,74.1,83,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,64.8,54.8,56.5,66.3,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: USA, CAN and CHN include incoming calls",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.37: Mobile messaging volumes, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,,
2004,27,10.4,19.8,55.9,0.7,0,6,12.8,0,2.1,3.9,8,,,,,,,,,,,,,,,,,,,,,,,
2009,104.3,63.4,34.6,"1,097.60",35.4,0,23.6,10.9,8.9,16.4,12,48.4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for the USA include push-to-text and are not comparable to the other comparator countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.38: Monthly outbound messages per mobile connection, 2004 to 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messages per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,28.2,51.4,85.9,198.5,269,327.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,4.4,7.9,20.1,43.8,83.4,130.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,39.8,47,56.7,72.8,92.5,110.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,20.1,23.1,25.6,30.3,51.5,88.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,29.2,38.1,46.5,59.8,71.9,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,24.2,22.6,20.5,21.3,22.8,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,88.6,89.9,109,131.6,163.8,187.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,18.5,17.8,24.9,49.5,75.7,116.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,32.9,44.9,67.1,83.4,88.4,90.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,,,23.1,27.7,31.4,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,27.8,26.3,25.3,21.8,19.3,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Figures for the USA include push-to-text and are not comparable to the other comparator countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.39: Mobile connections, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,60,44.6,71.3,62.7,175.5,14.9,85.5,17.9,39.2,15.9,9.8,3.9,23.1,66.2,74.4,48,317.1,,,,,,,,,,,,,,,,,,
2009,80.3,61.5,108.3,88.2,286.8,23.5,110.6,25.5,54.6,20.9,12.1,5.3,45.1,174,207.9,525.1,747.4,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.40: Mobile take-up and average monthly revenue per connection, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lines per 100 population / £ per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
Mobile penetration,129.1,95.1,131.5,151.7,93,69.9,87.1,119.2,117.4,124.9,133.1,115,117.3,87,148.8,45.1,56.3,,,,,,,,,,,,,,,,,,
ARPU,15.8,25.2,15.2,12.8,29.1,32.5,34.6,25,20,17.9,13.2,19.1,7.6,8.2,4.7,1.5,5.8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: USA, CAN and CHN include incoming call revenues",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.41: Mobile connections, by type, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,,CAN,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,BRA,,RUS,,IND,,CHN,,
,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,2004,2009,
Pre-pay,39.8,47.3,17.1,18.8,36.1,60.5,57.1,76.7,16.7,57.4,3.3,4.7,2.9,1.4,8,11.2,20.4,20.8,10,10.2,4.6,4.6,2.8,3.6,13.2,23.6,53.3,143.6,55.4,197.9,35.3,478.5,183.8,537.4,
Post-pay,20.2,33,27.4,42.7,35.2,47.8,5.6,11.4,158.8,229.4,11.6,18.1,82.6,109.2,9.8,14.3,18.8,33.8,5.9,10.7,5.2,7.5,1,1.7,9.9,21.5,12.9,30.4,19.1,10,12.7,46.6,133.3,210,
Total,60,80.3,44.6,61.5,71.3,108.3,62.7,88.2,175.5,286.8,14.9,22.9,85.5,110.6,17.9,25.5,39.2,54.6,15.9,20.9,9.8,12.1,3.9,5.3,23.1,45.1,66.2,174,74.4,207.9,48,525.1,317.1,747.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.42: MVNO share of total mobile connections, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,
2004,9.60%,0.20%,25.90%,0.00%,5.00%,0.60%,0.00%,0.00%,0.00%,11.60%,3.00%,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,
2009,12.60%,6.00%,23.00%,2.70%,8.40%,,2.20%,0.00%,2.80%,12.40%,2.10%,0.00%,0.50%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: UK and GER figures includes resellers’ connections in addition to full MVNOs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.43: Herfindahl-Herschman index of mobile concentration, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,"1,902.10","3,786.40","3,196.40","3,361.80","1,750.00","2,934.60","4,142.40","3,472.00","3,685.20","2,235.90","3,384.50","4,552.00","3,359.30","2,586.50","3,056.20","1,688.50","4,853.10",,,,,,,,,,,,,,,,,,
2009,"1,794.00","3,261.40","2,842.80","2,916.80","2,259.80","3,100.70","3,718.10","3,430.70","3,362.20","3,441.10","3,311.90","3,146.60","2,896.80","2,527.20","2,153.70","1,552.30","5,335.20",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.44: 3G as a proportion of total mobile connections, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,4%,0%,0%,4%,0%,0%,13%,2%,0%,0%,3%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
2009,32%,25%,24%,37%,39%,13%,96%,59%,42%,14%,45%,42%,18%,2%,2%,0%,1%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.45: Fixed broadband revenues, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,
2004,1.4,1.5,2.2,1.4,10,1.6,4,0.3,1.4,1,0.4,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,
2009,3.3,4.8,4.8,3.5,24.3,2.9,8.7,1.8,3,1.9,0.7,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.46: Fixed broadband as a proportion of total fixed revenues, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,
2004,11.00%,11.00%,10.90%,11.10%,11.70%,17.40%,12.90%,6.10%,17.00%,23.20%,18.30%,4.90%,5.60%,,,,,,,,,,,,,,,,,,,,,,
2009,26.30%,33.00%,27.40%,29.50%,28.30%,31.20%,31.10%,29.80%,35.30%,45.10%,36.20%,19.30%,33.40%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.47: Fixed broadband connections, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,6.1,6.7,6.9,4.7,35.6,5.9,18.6,1.4,3.5,3.2,1.4,0.1,0.9,2.6,1.2,0.2,24.8,,,,,,,,,,,,,,,,,,
2009,18.2,19.6,24.9,12.3,84.1,10.4,31.7,5.3,9.7,6.2,2.9,1,5.2,11.1,14.8,7.9,103.1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.48: Proportion of fixed broadband connections with a headline speed greater than 'up to' 8Mbit/s, 2006 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,0.90%,14.20%,2.00%,3.20%,1.40%,10.60%,23.60%,0.40%,0.90%,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,27.30%,59.50%,30.60%,9.60%,12.60%,43.30%,33.60%,10.30%,1.30%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE for the European Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.49: DSL as a proportion of all fixed broadband connections, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,68.00%,92.60%,97.10%,93.70%,38.80%,46.70%,71.50%,77.20%,75.40%,57.70%,64.40%,86.80%,76.40%,80.50%,34.40%,44.70%,68.50%,,,,,,,,,,,,,,,,,,
2009,78.80%,94.40%,90.00%,96.60%,37.10%,42.80%,31.90%,78.50%,79.80%,58.70%,56.60%,73.10%,54.40%,69.10%,37.00%,85.20%,81.30%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.50: Retail connection share of the top three fixed broadband providers, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per cent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,
2004,46.80%,69.90%,75.30%,85.10%,44.90%,70.70%,69.30%,94.30%,68.90%,71.00%,70.70%,77.10%,90.50%,,,,,,,,,,,,,,,,,,,,,,
2009,72.00%,91.00%,72.30%,83.20%,49.30%,56.40%,71.70%,68.70%,81.60%,78.50%,72.50%,74.10%,63.10%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.51: Mobile availability for the largest operator, by technology, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population coverage (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,
2G,100%,100%,99%,100%,99%,99%,100%,96%,100%,100%,100%,100%,100%,,,,,,,,,,,,,,,,,,,,,,
3G,93%,88%,86%,95%,90%,96%,100%,99%,89%,99%,100%,100%,56%,,,,,,,,,,,,,,,,,,,,,,
HSPA,93%,88%,85%,95%,89%,94%,100%,98%,89%,99%,99%,94%,44%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: CDMA 2000 EV-DO standards are available alongside HSPA in the USA and CAN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.52: Fixed broadband availability, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population coverage (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,,
2004,95%,91%,91%,85%,0%,89%,91%,87%,99%,91%,71%,0%,,,,,,,,,,,,,,,,,,,,,,,
2009,100%,100%,97%,96%,96%,95%,99%,99%,99%,98%,93%,74%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.53: Household take-up of fixed and mobile telephony, 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed line,84%,81%,85%,68%,65%,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile phone,91%,90%,92%,95%,84%,90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base sizes: UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Figure 6.54: Fixed broadband connections per 100 households, 2004 and 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections per 100 households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,,
2004,24.8,26.1,17.5,20.3,31.7,48.5,38.5,18.6,23.5,45.1,30.7,9.4,6.9,5.3,2.3,0.1,6.7,,,,,,,,,,,,,,,,,,
2009,69.6,69.2,62.4,49.2,71.3,79.9,64,65.8,55.7,84.9,65.6,62.6,40.5,20.7,28.5,3.6,26.2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Calculation includes business connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
