Department Family,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction Number,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,MILEAGE PAYMENTS,ICT SYSTEMS & INFRASTRUCTURE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000191321,36.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,MILEAGE PAYMENTS,ICT SYSTEMS & INFRASTRUCTURE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000191323,201.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/04/2012,PUBLICATIONS,LEGAL & COMMERCIAL,PERSONNEL RLTD-STAFF SUBSCRPTN,THOMSON REUTERS (PROFESSI,0000190501,221.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/04/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000190502,12.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,MDA SEARCHFLOW LTD,0000190655,5.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,MDA SEARCHFLOW LTD,0000190666,5.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000190667,30.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,MDA SEARCHFLOW LTD,0000190816,189.59
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000190817,94.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000190841,208.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,MDA SEARCHFLOW LTD,0000190842,32.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000190843,8.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000190886,40.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-LEGAL SERVICES,DLA PIPER UK LLP,0000190915,343.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,MDA SEARCHFLOW LTD,0000191008,27.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,FUELS/LUBRCNT/GAS-FUELS,MDA SEARCHFLOW LTD,0000191078,-10.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,FUELS/LUBRCNT/GAS-FUELS,MDA SEARCHFLOW LTD,0000191079,8.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000191099,20.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000191138,44.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,24 HOUR SUBSISTENCE ALLOWANCE,LEGAL & COMMERCIAL,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000191185,14.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,HOTEL ACCOMMODATION,LEGAL & COMMERCIAL,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000191185,58.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,MDA SEARCHFLOW LTD,0000191227,5.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000191240,26.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,MDA SEARCHFLOW LTD,0000191312,5.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000191370,42.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/05/2012,LEGAL COSTS,LEGAL & COMMERCIAL,PROF SER-OPERATIONAL SERVICES,MDA SEARCHFLOW LTD,0000191371,10.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/05/2012,CHILDCARE VOUCHERS,LICENSING,PERSONNEL RLTD-STAFF CHILDCARE,LEAPFROG DAY NURSERIES LT,0000190579,120.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/05/2012,CHILDCARE VOUCHERS,LICENSING,PERSONNEL RLTD-STAFF CHILDCARE,LEAPFROG DAY NURSERIES LT,0000190579,121.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,TRAINING AND EDUCATION,LICENSING,PROF SER LRNG&DEV-STAFF TRNING,NEWZEYE LIMITED,0000190721,59.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,LEGAL COSTS,LICENSING,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000190817,88.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,CONSULTANCY,LICENSING,PROF SER-OPERATIONAL SERVICES,EMAP LIMITED,0000191096,10940.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,24 HOUR SUBSISTENCE ALLOWANCE,LICENSING,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000191194,17.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,CAR HIRE,LICENSING,TRAVEL&EVENTS-VEHICLE HIRE,COMPANY BARCLAYCARD,0000191194,44.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FARES - PUBLIC TRANSPORT,LICENSING,TRAVEL&EVENTS-TAXI,COMPANY BARCLAYCARD,0000191194,5.47
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FUEL (VEHICLE),LICENSING,FUELS/LUBRCNT/GAS-FUELS,COMPANY BARCLAYCARD,0000191194,7.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,HOTEL ACCOMMODATION,LICENSING,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000191194,353.71
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,INCIDENTALS,LICENSING,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000191194,15.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FARES - AIR,LICENSING,TRAVEL&EVENTS-AIR,COMPANY BARCLAYCARD,0000191195,356.29
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FARES - RAIL,LICENSING,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000191195,50.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,SURFACE HAZARDS-UTILISED,MINE ENTRY INSPECTIONS,ENGINEERING GOODS-INDUSTRIAL,REIMBURSE BATTERIES,0000190590,17.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,SURFACE HAZARDS-UTILISED,MINE ENTRY INSPECTIONS,OFFICE SOLUTIONS-OFFICE CNSMBL,REIMBURSE PENS & CARD REA,0000190591,15.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,OUTSOURCED MANAGEMENT-PS&S,MINE ENTRY INSPECTIONS,SOCIAL CARE-EMERGENCY SERVICES,JMC ENGINEERING (UK) LTD,0000190597,567.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,OUTSOURCED MANAGEMENT-PS&S,MINE ENTRY INSPECTIONS,SOCIAL CARE-EMERGENCY SERVICES,JMC ENGINEERING (UK) LTD,0000190598,216.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,OUTSOURCED MANAGEMENT-PS&S,MINE ENTRY INSPECTIONS,SOCIAL CARE-EMERGENCY SERVICES,JMC ENGINEERING (UK) LTD,0000190599,984.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,CURR YR ADD - BROUGHT SOFTWARE,MINE ENTRY INSPECTIONS,ICT-MANAGED O/SRCE SERVICES,CAPGEMINI UK PLC,0000190736,1442.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/05/2012,LEGAL COSTS,MINE ENTRY INSPECTIONS,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000190817,16.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/05/2012,LEGAL COSTS,MINE ENTRY INSPECTIONS,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000190841,32.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/05/2012,SURFACE HAZARDS-UTILISED,MINE ENTRY INSPECTIONS,CONSTRUCTION-CNSTRN SER PROVDR,CORNERSTONE  PROJECTS LTD,0000190860,94.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/05/2012,SURFACE HAZARDS-UTILISED,MINE ENTRY INSPECTIONS,CONSTRUCTION-CNSTRN SER PROVDR,CORNERSTONE  PROJECTS LTD,0000190861,94.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/05/2012,LEGAL COSTS,MINE ENTRY INSPECTIONS,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000190886,32.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,15/05/2012,OUTSOURCED MANAGEMENT-PS&S,MINE ENTRY INSPECTIONS,SOCIAL CARE-EMERGENCY SERVICES,MINES RESCUE SERVICE LIMI,0000190891,17100.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/05/2012,SURFACE HAZARDS-UTILISED,MINE ENTRY INSPECTIONS,CONSTRUCTION-CNSTRN SER PROVDR,CORNERSTONE  PROJECTS LTD,0000191040,133.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/05/2012,SURFACE HAZARDS-UTILISED,MINE ENTRY INSPECTIONS,CONSTRUCTION-CNSTRN SER PROVDR,CORNERSTONE  PROJECTS LTD,0000191041,94.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/05/2012,SURFACE HAZARDS-UTILISED,MINE ENTRY INSPECTIONS,CONSTRUCTION-CNSTRN SER PROVDR,CORNERSTONE  PROJECTS LTD,0000191042,74.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,24 HOUR SUBSISTENCE ALLOWANCE,MINE ENTRY INSPECTIONS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000191169,1.71
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FARES - PUBLIC TRANSPORT,MINE ENTRY INSPECTIONS,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000191169,8.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,OFFICE MACHINERY PURCHASED,MINE ENTRY INSPECTIONS,OPRTNL GOODS&SERV-CLOTHING,COMPANY BARCLAYCARD,0000191169,19.99
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,OFFICE MACHINERY PURCHASED,MINE ENTRY INSPECTIONS,OFFICE SOLUTIONS-OFFCE SPPLIES,COMPANY BARCLAYCARD,0000191178,3.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FARES - RAIL,MINE ENTRY INSPECTIONS,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000191195,161.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,HOTEL ACCOMMODATION,MINE ENTRY INSPECTIONS,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000191195,267.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,10 HRS + SUBSISTENCE,MINE ENTRY INSPECTIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000191326,8.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,5 HRS + SUBSISTENCE,MINE ENTRY INSPECTIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000191326,15.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,MILEAGE PAYMENTS,MINE ENTRY INSPECTIONS,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000191326,45.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,10 HRS + SUBSISTENCE,MINE ENTRY INSPECTIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000191339,4.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,5 HRS + SUBSISTENCE,MINE ENTRY INSPECTIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000191339,3.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,MILEAGE PAYMENTS,MINE ENTRY INSPECTIONS,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000191339,35.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/02/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION COMMERCIAL,ICT-SOFTWARE,NCC SERVICES LIMITED,0000188117,1075.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/03/2012,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,ICT-SYSTEMS DELIVERY,SCISYS UK LTD,0000189825,15000.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/03/2012,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,ICT-SYSTEMS DELIVERY,SCISYS UK LTD,0000189826,4536.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/04/2012,ORDANCE SURVEY MAPS,MINING INFORMATION COMMERCIAL,ICT-SOFTWARE,ORDNANCE SURVEY,0000190383,9825.99
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/04/2012,ORDANCE SURVEY MAPS,MINING INFORMATION COMMERCIAL,ICT-SOFTWARE,ORDNANCE SURVEY,0000190384,5665.36
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/04/2012,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000190389,465.51
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/03/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION COMMERCIAL,ICT-SOFTWARE,NCC SERVICES LIMITED,0000190511,-1075.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/04/2012,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000190577,157.15
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,SITE SECURITY,MINING INFORMATION COMMERCIAL,FACILITIES - SECURITY,KINGS ARMOURED SEC SERVS,0000190653,157.07
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,INSURANCE PREMIUMS,MINING INFORMATION COMMERCIAL,PROF SER FNCL-INSURANCE SRVCE,LEGAL & CONTINGENCY LIMIT,0000190681,27758.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/04/2012,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,ICT-SYSTEMS DELIVERY,BRITISH TELECOMMUNICATION,0000190692,7114.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/05/2012,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION COMMERCIAL,PROF SER FNCL-BANKING&INVSTMNT,WORLDPAY LIMITED,0000190694,953.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION COMMERCIAL,ICT-SYSTEMS DELIVERY,CAPGEMINI UK PLC,0000190737,2976.84
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,ICT-SYSTEMS DELIVERY,SCISYS UK LTD,0000190813,9545.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION COMMERCIAL,ICT-SYSTEMS DELIVERY,CAPGEMINI UK PLC,0000190814,25000.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/05/2012,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000190815,171.97
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/05/2012,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION COMMERCIAL,PROF SER FNCL-BANKING&INVSTMNT,STREAMLINE,0000190848,1484.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/05/2012,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000190888,1186.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,LEGAL COSTS,MINING INFORMATION COMMERCIAL,PROF SER-LEGAL SERVICES,DLA PIPER UK LLP,0000190915,270.67
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/05/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION COMMERCIAL,ICT-SYSTEMS DELIVERY,SCISYS UK LTD,0000190916,45627.85
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,18/05/2012,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000191142,409.17
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,FARES - RAIL,MINING INFORMATION COMMERCIAL,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000191195,365.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,HOTEL ACCOMMODATION,MINING INFORMATION COMMERCIAL,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000191195,104.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,10 HRS + SUBSISTENCE,MINING INFORMATION COMMERCIAL,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000191316,8.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,24 HOUR SUBSISTENCE ALLOWANCE,MINING INFORMATION COMMERCIAL,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000191316,14.57
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,INCIDENTALS,MINING INFORMATION COMMERCIAL,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000191316,20.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,MILEAGE PAYMENTS,MINING INFORMATION COMMERCIAL,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000191316,3.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,INCIDENTALS,MINING INFORMATION COMMERCIAL,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000191346,1.13
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/05/2012,CHILDCARE VOUCHERS,MINING INFORMATION WHOLESALE,PERSONNEL RLTD-STAFF CHILDCARE,LEAPFROG DAY NURSERIES LT,0000190579,129.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION WHOLESALE,ICT-SYSTEMS DELIVERY,CAPGEMINI UK PLC,0000190737,2976.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,IT-APPLICATIONS MANAGEMENT,MINING INFORMATION WHOLESALE,ICT-SYSTEMS DELIVERY,CAPGEMINI UK PLC,0000190814,25000.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/05/2012,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION WHOLESALE,PROF SER FNCL-BANKING&INVSTMNT,STREAMLINE,0000190848,9.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/05/2012,STATIONERY,MINING INFORMATION WHOLESALE,OFFICE SOLUTIONS-OFFICE CNSMBL,OCE (UK) LIMITED,0000191161,482.91
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/05/2012,PROFESSIONAL SUBSCRIPTIONS,MINING INFORMATION WHOLESALE,PERSONNEL RLTD-STAFF SUBSCRPTN,COMPANY BARCLAYCARD,0000191187,200.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,MILEAGE PAYMENTS,MINING INFORMATION WHOLESALE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000191344,15.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/05/2012,INCIDENTALS,MINING INFORMATION WHOLESALE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000191346,1.12
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/04/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190418,2077.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/04/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190423,5574.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/04/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190424,4040.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/04/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190425,3037.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/04/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190551,5783.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/04/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190552,19981.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/04/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190553,5059.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/04/2012,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER (DEFRA),PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000190554,7423.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/05/2012,PROJECT MANAGEMENT-BOREHOLES,NON-COAL MINEWATER (DEFRA),PROF SER CNSLTNCY-TCHNL CNSLTY,JMC ENGINEERING (UK) LTD,0000190593,1662.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/04/2012,WATER SAMPLING - OPERATIONAL,NON-COAL MINEWATER (DEFRA),PROF SER TECH-FORENSIC/LAB SER,ENVIRONMENTAL SCIENTIFICS,0000190632,71.75
