Title:,River Water Quality: 1990 to 2006,,,,,,,,,,,,,,,,,,,,,
North West,166,Macclesfield,2001,chemistry,26.1,37.7,103.3,36.8,0,0,204,12.8,18.5,50.6,18,0,0,31.3,68.7,0,0,
North West,166,Macclesfield,2001,nitrate,27.2,57,38.7,65.9,13.4,1.8,204,13.4,27.9,19,32.3,6.6,0.9,,,,,7.4
North West,166,Macclesfield,2002,biology,0,21.1,74.7,52.9,16.7,0,165.3,0,12.7,45.2,32,10.1,0,12.7,77.2,10.1,0,
North West,166,Macclesfield,2002,chemistry,28.4,35.2,91.6,46.8,2,0,204,13.9,17.3,44.9,22.9,1,0,31.2,67.8,1,0,
North West,166,Macclesfield,2002,nitrate,27.2,57,40.4,66.1,11.4,1.8,204,13.4,27.9,19.8,32.4,5.6,0.9,,,,,6.5
North West,166,Macclesfield,2002,phosphate,0,32.6,42.7,59.2,38.3,31.2,204,0,16,20.9,29,18.8,15.3,,,,,63.1
North West,166,Macclesfield,2003,biology,0,41.4,58.3,12.9,49.2,0,161.8,0,25.6,36,8,30.4,0,25.6,44,30.4,0,
North West,166,Macclesfield,2003,chemistry,16.1,60,71.5,51.2,5.2,0,204,7.9,29.4,35,25.1,2.6,0,37.3,60.1,2.6,0,
North West,166,Macclesfield,2003,nitrate,33.9,47.8,42.9,66.1,11.4,1.8,204,16.6,23.4,21,32.4,5.6,0.9,,,,,6.5
North West,166,Macclesfield,2003,phosphate,0,26,54.4,55.7,33.3,34.5,204,0,12.8,26.7,27.3,16.3,16.9,,,,,60.6
North West,166,Macclesfield,2004,biology,0,53.5,73.1,7.7,27.6,0,161.8,0,33,45.1,4.7,17.1,0,33,49.9,17.1,0,
North West,166,Macclesfield,2004,chemistry,7.7,77.2,94.2,19.4,5.5,0,204,3.8,37.8,46.2,9.5,2.7,0,41.6,55.7,2.7,0,
North West,166,Macclesfield,2004,nitrate,32.7,46.4,44.7,66.9,11.4,1.8,204,16,22.8,21.9,32.8,5.6,0.9,,,,,6.5
North West,166,Macclesfield,2004,phosphate,0,22.7,48.8,77.9,23.5,31.2,204,0,11.1,23.9,38.2,11.5,15.3,,,,,65
North West,166,Macclesfield,2005,biology,2,62.9,65.2,7.7,27.6,0,165.3,1.2,38,39.4,4.6,16.7,0,39.2,44,16.7,0,
North West,166,Macclesfield,2005,phosphate,0,22.5,51,75.8,37.8,16.9,204,0,11,25,37.2,18.5,8.3,,,,,64
North West,166,Macclesfield,2005,chemistry,4,82.5,96.5,14.3,4.7,2,204,1.9,40.4,47.3,7,2.3,1,42.4,54.3,2.3,1,
North West,166,Macclesfield,2005,nitrate,36.2,45.5,42.1,66.9,3.9,9.3,204,17.7,22.3,20.7,32.8,1.9,4.6,,,,,6.5
North West,166,Macclesfield,2006,biology,7,62.7,59.1,8.9,27.7,0,165.3,4.2,37.9,35.7,5.4,16.8,0,42.1,41.1,16.8,0,
North West,166,Macclesfield,2006,chemistry,15.9,78.7,68.6,34.1,6.6,0,204,7.8,38.6,33.6,16.7,3.3,0,46.4,50.3,3.3,0,
North West,166,Macclesfield,2006,nitrate,29.5,45.9,49.2,66.1,7.5,5.7,204,14.5,22.5,24.1,32.4,3.7,2.8,,,,,6.5
North West,166,Macclesfield,2006,phosphate,1.8,29.5,71.6,51.6,32.5,16.9,204,0.9,14.5,35.1,25.3,15.9,8.3,,,,,49.5
North West,167,Manchester,1990,biology,0,0,0,0,7,23.5,30.5,0,0,0,0,22.8,77.2,0,0,22.8,77.2,
North West,167,Manchester,1990,chemistry,0,0,4.6,4,17.8,21.4,47.8,0,0,9.6,8.5,37.1,44.8,0,18.1,37.1,44.8,
North West,167,Manchester,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,167,Manchester,1990,phosphate,0,4.8,0,0,14,29.2,48.1,0,10.1,0,0,29.1,60.8,,,,,89.9
North West,167,Manchester,1993,chemistry,0.2,26,0.4,14.4,31.3,4.5,76.9,0.3,33.9,0.5,18.7,40.7,5.9,34.2,19.2,40.7,5.9,
North West,167,Manchester,1994,chemistry,0,12.4,14.3,14.4,34.5,1.3,76.9,0,16.1,18.6,18.7,44.9,1.7,16.1,37.3,44.9,1.7,
North West,167,Manchester,1995,phosphate,0,7.5,1.5,8.7,25.7,28.8,72.3,0,10.4,2.1,12,35.6,39.9,,,,,87.5
North West,167,Manchester,1995,biology,0,0,0,7.4,36.4,4.9,48.7,0,0,0,15.1,74.8,10.1,0,15.1,74.8,10.1,
North West,167,Manchester,1995,chemistry,0,18,8.7,8.9,34.5,6.8,76.9,0,23.4,11.3,11.6,44.9,8.8,23.4,22.9,44.9,8.8,
North West,167,Manchester,1995,nitrate,26.5,11.9,13.6,16.4,2.6,0,71,37.3,16.7,19.2,23.1,3.7,0,,,,,3.7
North West,167,Manchester,1996,chemistry,0,8.3,22.9,0,38.9,6.8,76.9,0,10.8,29.8,0,50.6,8.8,10.8,29.8,50.6,8.8,
North West,167,Manchester,1997,chemistry,0,17,9.7,10.8,29.4,10,76.9,0,22.1,12.6,14,38.3,13,22.1,26.6,38.3,13,
North West,167,Manchester,1998,chemistry,0,16.1,10.6,25.2,20.5,4.5,76.9,0,20.9,13.7,32.8,26.6,5.9,20.9,46.5,26.6,5.9,
North West,167,Manchester,1999,chemistry,0,20.9,5.7,19.7,27.3,3.2,76.9,0,27.2,7.4,25.6,35.5,4.2,27.2,33.1,35.5,4.2,
North West,167,Manchester,2000,biology,0,0,6.4,7.4,33.1,8.4,55.2,0,0,11.6,13.3,59.8,15.2,0,25,59.8,15.2,
North West,167,Manchester,2000,chemistry,0,21.8,14.8,15.5,21.6,3.2,76.9,0,28.3,19.2,20.2,28.1,4.2,28.3,39.4,28.1,4.2,
North West,167,Manchester,2000,nitrate,12.7,28,23.3,12.6,0,0.2,76.9,16.6,36.5,30.3,16.4,0,0.3,,,,,0.3
North West,167,Manchester,2000,phosphate,0,11.9,0.8,13,38.3,12.8,76.9,0,15.5,1.1,16.9,49.8,16.7,,,,,83.4
North West,167,Manchester,2001,phosphate,0,12.7,0,13.8,31.3,19.1,76.9,0,16.6,0,18,40.7,24.8,,,,,83.4
North West,167,Manchester,2001,chemistry,1.8,24.9,18.5,8.2,12.1,11.5,76.9,2.3,32.3,24.1,10.6,15.7,14.9,34.7,34.7,15.7,14.9,
North West,167,Manchester,2001,nitrate,12.7,17.6,35.5,10.9,0,0.2,76.9,16.6,22.8,46.2,14.1,0,0.3,,,,,0.3
North West,167,Manchester,2002,phosphate,0,12.7,0,15.1,30.2,18.8,76.9,0,16.6,0,19.6,39.3,24.5,,,,,83.4
North West,167,Manchester,2002,nitrate,12.7,11.9,41.1,1.1,9.9,0,76.9,16.6,15.5,53.5,1.5,12.9,0,,,,,12.9
North West,167,Manchester,2002,biology,0,0,6.4,18.3,30.5,0,55.2,0,0,11.6,33.2,55.2,0,0,44.8,55.2,0,
North West,167,Manchester,2002,chemistry,0,22.6,10.8,19.9,20.3,3.2,76.9,0,29.4,14.1,25.9,26.4,4.2,29.4,40,26.4,4.2,
North West,167,Manchester,2003,biology,0,0,6.4,20.7,26.2,3.2,56.5,0,0,11.4,36.6,46.3,5.7,0,48,46.3,5.7,
North West,167,Manchester,2003,chemistry,0,11.9,26.7,13.5,21.6,3.2,76.9,0,15.4,34.7,17.5,28.1,4.2,15.4,52.3,28.1,4.2,
North West,167,Manchester,2003,nitrate,14,14.1,29.9,8.9,9.9,0,76.9,18.2,18.4,38.9,11.6,12.9,0,,,,,12.9
North West,167,Manchester,2003,phosphate,0,12.7,0,10.3,35,18.8,76.9,0,16.6,0,13.5,45.5,24.5,,,,,83.4
North West,167,Manchester,2004,biology,0,0,7.4,18.9,25.2,3.2,54.8,0,0,13.5,34.6,46.1,5.9,0,48,46.1,5.9,
North West,167,Manchester,2004,chemistry,0,11.4,24.2,24.1,12.7,4.5,76.9,0,14.8,31.5,31.4,16.5,5.9,14.8,62.8,16.5,5.9,
North West,167,Manchester,2004,nitrate,14,20.5,23.5,8.9,9.9,0,76.9,18.2,26.7,30.5,11.6,12.9,0,,,,,12.9
North West,167,Manchester,2004,phosphate,0,8.1,4.6,10.3,42.9,10.9,76.9,0,10.6,6,13.5,55.8,14.1,,,,,83.4
North West,167,Manchester,2005,phosphate,0,12.4,0.4,0.8,53.4,9.9,76.9,0,16.1,0.5,1,69.5,12.9,,,,,83.4
North West,167,Manchester,2005,biology,0,0,7.4,18.1,26,3.2,54.8,0,0,13.5,33.1,47.5,5.9,0,46.6,47.5,5.9,
North West,167,Manchester,2005,chemistry,1.8,9.6,31.6,16.7,12.7,4.5,76.9,2.3,12.4,41.1,21.8,16.5,5.9,14.8,62.8,16.5,5.9,
North West,167,Manchester,2005,nitrate,14,23.8,26.5,2.7,0,9.9,76.9,18.2,30.9,34.4,3.5,0,12.9,,,,,12.9
North West,167,Manchester,2006,biology,0,0,15.6,9.9,26,3.2,54.8,0,0,28.5,18.1,47.5,5.9,0,46.6,47.5,5.9,
North West,167,Manchester,2006,chemistry,0,17.8,25.3,18.7,10.6,4.5,76.9,0,23.1,33,24.3,13.7,5.9,23.1,57.2,13.7,5.9,
North West,167,Manchester,2006,nitrate,12.4,35.1,10.3,9.2,0,9.9,76.9,16.1,45.7,13.4,11.9,0,12.9,,,,,12.9
North West,167,Manchester,2006,phosphate,0,12.4,0,0.4,54.2,9.9,76.9,0,16.1,0,0.5,70.5,12.9,,,,,83.9
North West,168,Oldham,1990,biology,0,0,0,9.4,19.3,8.1,36.8,0,0,0,25.5,52.5,22.1,0,25.5,52.5,22.1,
North West,168,Oldham,1990,chemistry,0,0,14.3,6.2,5.9,9.8,36.3,0,0,39.5,17.1,16.4,27,0,56.6,16.4,27,
North West,168,Oldham,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,168,Oldham,1990,phosphate,0,12.2,8.8,4.7,8.6,6,40.3,0,30.3,21.9,11.6,21.3,14.9,,,,,47.8
North West,168,Oldham,1993,chemistry,1.3,35.3,14.9,4.2,6,2.9,64.6,2,54.7,23.1,6.4,9.3,4.4,56.7,29.5,9.3,4.4,
North West,168,Oldham,1994,chemistry,6.7,35,9.8,6.8,4.4,1.9,64.6,10.4,54.3,15.1,10.5,6.8,2.9,64.7,25.6,6.8,2.9,
North West,168,Oldham,1995,chemistry,6.4,31.9,8.2,11.7,4.4,1.9,64.6,9.9,49.5,12.8,18.2,6.8,2.9,59.3,31,6.8,2.9,
North West,168,Oldham,1995,nitrate,25,26.8,8.9,2.4,1.5,0,64.6,38.6,41.4,13.8,3.8,2.4,0,,,,,2.4
North West,168,Oldham,1995,biology,0,6.3,12.6,10.7,15.9,3.8,49.3,0,12.8,25.6,21.6,32.3,7.7,12.8,47.2,32.3,7.7,
North West,168,Oldham,1995,phosphate,0,15.8,20.9,11.9,7.6,1.5,57.7,0,27.4,36.2,20.6,13.1,2.6,,,,,36.4
North West,168,Oldham,1996,chemistry,10.2,22.1,16.9,9.1,4.4,1.9,64.6,15.8,34.3,26.1,14.1,6.8,2.9,50.1,40.2,6.8,2.9,
North West,168,Oldham,1997,chemistry,12.8,16.1,19.2,10.2,4.9,1.4,64.6,19.8,24.9,29.8,15.8,7.6,2.1,44.7,45.6,7.6,2.1,
North West,168,Oldham,1998,chemistry,13.2,15.6,22.9,4.1,4,4.7,64.6,20.5,24.2,35.4,6.4,6.1,7.3,44.7,41.8,6.1,7.3,
North West,168,Oldham,1999,chemistry,8.8,32.1,10.8,5.7,2.4,4.7,64.6,13.7,49.7,16.7,8.8,3.8,7.3,63.4,25.5,3.8,7.3,
North West,168,Oldham,2000,biology,0,5.8,20,13.6,8.2,0,47.7,0,12.1,42.1,28.6,17.2,0,12.1,70.7,17.2,0,
North West,168,Oldham,2000,chemistry,7.1,35.4,13.2,1.7,2.4,4.7,64.6,10.9,54.8,20.5,2.7,3.8,7.3,65.7,23.1,3.8,7.3,
North West,168,Oldham,2000,nitrate,27.6,29.3,3.8,3.9,0,0,64.6,42.7,45.4,5.8,6.1,0,0,,,,,0
North West,168,Oldham,2000,phosphate,0,28.6,12.3,14.6,5.1,3.9,64.6,0,44.3,19.1,22.6,8,6.1,,,,,36.7
North West,168,Oldham,2001,phosphate,0,30.7,18.2,6.6,5.1,3.9,64.6,0,47.6,28.1,10.2,8,6.1,,,,,24.3
North West,168,Oldham,2001,chemistry,22.1,21.3,15.1,0.8,2.4,2.9,64.6,34.2,32.9,23.4,1.3,3.8,4.4,67.1,24.7,3.8,4.4,
North West,168,Oldham,2001,nitrate,27.6,29.3,3.8,3.9,0,0,64.6,42.7,45.4,5.8,6.1,0,0,,,,,0
North West,168,Oldham,2002,phosphate,0,31.4,14.8,9.3,5.1,3.9,64.6,0,48.6,23,14.4,8,6.1,,,,,28.5
North West,168,Oldham,2002,nitrate,32.7,22.3,5.6,0,3.9,0,64.6,50.7,34.5,8.7,0,6.1,0,,,,,6.1
North West,168,Oldham,2002,chemistry,24.4,20.4,12.4,2.1,2.4,2.9,64.6,37.8,31.6,19.2,3.2,3.8,4.4,69.4,22.4,3.8,4.4,
North West,168,Oldham,2002,biology,0,4.7,21.1,16,7.5,0,49.4,0,9.5,42.8,32.4,15.3,0,9.5,75.2,15.3,0,
North West,168,Oldham,2003,biology,0,4.7,21.3,17.5,5.1,1.4,50,0,9.4,42.6,35.1,10.2,2.7,9.4,77.7,10.2,2.7,
North West,168,Oldham,2003,chemistry,8.7,38.1,9.9,3.1,0,4.7,64.6,13.5,59,15.4,4.8,0,7.3,72.5,20.1,0,7.3,
North West,168,Oldham,2003,nitrate,27.6,27.4,5.6,0,2.4,1.5,64.6,42.7,42.5,8.7,0,3.8,2.4,,,,,6.1
North West,168,Oldham,2003,phosphate,0,35.2,20.3,0,5.1,3.9,64.6,0,54.4,31.5,0,8,6.1,,,,,14.1
North West,168,Oldham,2004,biology,0,4.7,22.5,16.4,7.5,1.4,52.4,0,9,42.9,31.2,14.3,2.6,9,74.1,14.3,2.6,
North West,168,Oldham,2004,chemistry,26.7,17,9.3,8.8,1.5,1.4,64.6,41.3,26.4,14.3,13.6,2.4,2.1,67.7,27.9,2.4,2.1,
North West,168,Oldham,2004,nitrate,27.6,29.3,3.8,0,2.4,1.5,64.6,42.7,45.4,5.8,0,3.8,2.4,,,,,6.1
North West,168,Oldham,2004,phosphate,0,28.9,17.3,9.3,7.6,1.5,64.6,0,44.7,26.7,14.5,11.7,2.4,,,,,28.5
North West,168,Oldham,2005,nitrate,27.6,29.8,3.3,0,2.4,1.5,64.6,42.7,46.2,5,0,3.8,2.4,,,,,6.1
North West,168,Oldham,2005,phosphate,0,35.8,15.6,4.2,5.1,3.9,64.6,0,55.4,24.1,6.5,8,6.1,,,,,20.5
North West,168,Oldham,2005,chemistry,22,21.1,11.5,8.6,0,1.4,64.6,34,32.7,17.8,13.3,0,2.1,66.8,31.1,0,2.1,
North West,168,Oldham,2005,biology,0,4.7,24,14.8,7.5,1.4,52.4,0,9,45.8,28.3,14.3,2.6,9,74.1,14.3,2.6,
North West,168,Oldham,2006,chemistry,27.8,12.5,14.5,8.4,0,1.4,64.6,43.1,19.4,22.4,13,0,2.1,62.5,35.4,0,2.1,
North West,168,Oldham,2006,nitrate,21,38.1,1.5,0,2.4,1.5,64.6,32.6,58.9,2.4,0,3.8,2.4,,,,,6.1
North West,168,Oldham,2006,phosphate,0,40.2,13.8,1.5,7.6,1.5,64.6,0,62.2,21.4,2.4,11.7,2.4,,,,,16.4
North West,168,Oldham,2006,biology,0,4.7,25.7,13.1,7.5,1.4,52.4,0,9,49,25.1,14.3,2.6,9,74.1,14.3,2.6,
North West,169,Pendle,1990,biology,0,14.9,0.9,6.8,5.4,0,27.9,0,53.2,3.1,24.5,19.2,0,53.2,27.6,19.2,0,
North West,169,Pendle,1990,chemistry,6.9,14.7,9.9,5.8,1.9,1,40.2,17.3,36.5,24.6,14.4,4.8,2.4,53.8,39,4.8,2.4,
North West,169,Pendle,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,169,Pendle,1990,phosphate,2.3,21.2,7.5,5.9,1,2.9,40.8,5.6,52,18.3,14.4,2.5,7.1,,,,,24.1
North West,169,Pendle,1993,chemistry,0,17.5,28.3,15.2,2.6,0,63.5,0,27.5,44.5,23.9,4.1,0,27.5,68.4,4.1,0,
North West,169,Pendle,1994,chemistry,0.3,26.4,20.9,16.9,2.6,0,67.2,0.5,39.3,31.2,25.2,3.8,0,39.8,56.4,3.8,0,
North West,169,Pendle,1995,phosphate,0.3,39.9,2.4,6.6,16.2,1.9,67.2,0.4,59.3,3.5,9.8,24.1,2.9,,,,,36.8
North West,169,Pendle,1995,biology,0.9,20.5,9.1,11.3,4.2,0,46.1,2,44.4,19.8,24.6,9.2,0,46.4,44.4,9.2,0,
North West,169,Pendle,1995,chemistry,0.3,20,27.4,10.5,9,0,67.2,0.4,29.8,40.7,15.7,13.4,0,30.2,56.4,13.4,0,
North West,169,Pendle,1995,nitrate,29.8,22.3,9.1,2.6,1,2.3,67.2,44.4,33.3,13.6,3.8,1.5,3.4,,,,,4.9
North West,169,Pendle,1996,chemistry,2.4,21.5,23.8,11.9,7.7,0,67.2,3.6,31.9,35.4,17.6,11.4,0,35.6,53,11.4,0,
North West,169,Pendle,1997,chemistry,4.7,19.2,33,9.3,1,0,67.2,7.1,28.5,49.1,13.8,1.5,0,35.6,63,1.5,0,
North West,169,Pendle,1998,chemistry,4,19.9,28.2,14.1,1,0,67.2,6,29.6,41.9,21,1.5,0,35.6,62.9,1.5,0,
North West,169,Pendle,1999,chemistry,4.3,33.5,15.2,14.2,0,0,67.2,6.4,49.8,22.6,21.1,0,0,56.3,43.7,0,0,
North West,169,Pendle,2000,biology,0,23.4,14.3,6.1,2.3,0,46.1,0,50.8,31,13.2,5,0,50.8,44.2,5,0,
North West,169,Pendle,2000,chemistry,17.2,24.8,11,4.9,9.2,0,67.2,25.5,36.9,16.4,7.3,13.8,0,62.5,23.8,13.8,0,
North West,169,Pendle,2000,nitrate,25.7,25.5,12.7,3.3,0,0,67.2,38.3,37.9,18.9,4.9,0,0,,,,,0
North West,169,Pendle,2000,phosphate,0,33.9,10.5,6.8,14.4,1.6,67.2,0,50.4,15.7,10.1,21.4,2.4,,,,,33.9
North West,169,Pendle,2001,phosphate,0,26.9,18.4,6.9,13.1,1.9,67.2,0,40.1,27.4,10.2,19.5,2.9,,,,,32.6
North West,169,Pendle,2001,chemistry,4.9,36.2,11.9,14.2,0,0,67.2,7.3,53.8,17.8,21.1,0,0,61.1,38.9,0,0,
North West,169,Pendle,2001,nitrate,29.8,22.3,11.4,3.6,0,0,67.2,44.4,33.3,17,5.4,0,0,,,,,0
North West,169,Pendle,2002,phosphate,0,22.2,20.3,9.7,13.4,1.6,67.2,0,33,30.3,14.4,19.9,2.4,,,,,36.7
North West,169,Pendle,2002,nitrate,29.8,24.6,11.5,1.3,0,0,67.2,44.4,36.7,17.1,1.9,0,0,,,,,0
North West,169,Pendle,2002,biology,7,22.1,12.7,1.9,2.3,0,46.1,15.2,48.1,27.5,4.2,5,0,63.3,31.7,5,0,
North West,169,Pendle,2002,chemistry,2.9,29.8,12.9,21.6,0,0,67.2,4.3,44.4,19.1,32.2,0,0,48.7,51.3,0,0,
North West,169,Pendle,2003,biology,8.8,20.4,12.7,1.3,2.3,0,45.4,19.3,44.9,27.9,2.8,5.1,0,64.2,30.7,5.1,0,
North West,169,Pendle,2003,chemistry,17.8,20.1,18.1,11.2,0,0,67.2,26.5,29.9,26.9,16.7,0,0,56.3,43.7,0,0,
North West,169,Pendle,2003,nitrate,25.7,24.6,11.5,1.3,0,0,63.1,40.8,39,18.2,2,0,0,,,,,0
North West,169,Pendle,2003,phosphate,0,12.5,25.9,12,10.7,1.9,63.1,0,19.9,41.1,19,17,3.1,,,,,39.1
North West,169,Pendle,2004,biology,16,14.7,9.8,1,2.3,0,43.8,36.5,33.5,22.5,2.2,5.2,0,70,24.7,5.2,0,
North West,169,Pendle,2004,chemistry,2.6,29.4,10.1,20.9,0,0,63.1,4.2,46.5,16.1,33.2,0,0,50.7,49.3,0,0,
North West,169,Pendle,2004,nitrate,25.7,24.6,7.5,5.2,0,0,63.1,40.8,39,11.9,8.3,0,0,,,,,0
North West,169,Pendle,2004,phosphate,0,26.7,20.4,1,13.1,1.9,63.1,0,42.3,32.4,1.6,20.7,3.1,,,,,25.4
North West,169,Pendle,2005,phosphate,0,25.2,21.9,3.3,10.8,1.9,63.1,0,39.9,34.8,5.2,17.1,3.1,,,,,25.4
North West,169,Pendle,2005,nitrate,25.7,24.6,7.5,5.2,0,0,63.1,40.8,39,11.9,8.3,0,0,,,,,0
North West,169,Pendle,2005,chemistry,2.6,23.5,20,17,0,0,63.1,4.2,37.2,31.6,27,0,0,41.4,58.6,0,0,
North West,169,Pendle,2005,biology,9,16.8,12.1,5.8,0,0,43.8,20.5,38.5,27.8,13.3,0,0,59,41,0,0,
North West,169,Pendle,2006,chemistry,1.2,25.9,19,17,0,0,63.1,1.9,41,30.1,27,0,0,42.9,57.1,0,0,
North West,169,Pendle,2006,nitrate,9.5,38.5,9.8,5.2,0,0,63.1,15.1,61.1,15.5,8.3,0,0,,,,,0
North West,169,Pendle,2006,phosphate,0,31.3,14.1,5,10.8,1.9,63.1,0,49.6,22.3,7.9,17.1,3.1,,,,,28.1
North West,169,Pendle,2006,biology,7.2,18.6,12.1,5.8,0,0,43.8,16.5,42.5,27.8,13.3,0,0,59,41,0,0,
North West,170,Preston,1990,biology,0,0,5.2,3.4,5.1,0,13.7,0,0,37.8,24.8,37.3,0,0,62.7,37.3,0,
North West,170,Preston,1990,chemistry,0,2,9.4,10.3,41.3,0,63,0,3.2,14.9,16.3,65.6,0,3.2,31.2,65.6,0,
North West,170,Preston,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,170,Preston,1990,phosphate,0,12.5,0,0,50.6,0,63,0,19.8,0,0,80.2,0,,,,,80.2
North West,170,Preston,1993,chemistry,0,4.4,7,28.3,25,4.5,69.1,0,6.4,10.2,40.9,36.1,6.5,6.4,51.1,36.1,6.5,
North West,170,Preston,1994,chemistry,0,0,11.4,19.4,33.8,4.5,69.1,0,0,16.5,28.1,48.9,6.5,0,44.6,48.9,6.5,
North West,170,Preston,1995,chemistry,0,0,14.8,30.4,19.4,4.5,69.1,0,0,21.4,44,28.1,6.5,0,65.5,28.1,6.5,
North West,170,Preston,1995,nitrate,10.4,24.5,24.9,4.2,5.2,0,69.1,15.1,35.4,36,6,7.5,0,,,,,7.5
North West,170,Preston,1995,biology,0,0,24.8,25,6.8,0,56.6,0,0,43.8,44.2,12,0,0,88,12,0,
North West,170,Preston,1995,phosphate,0,10.4,2,1.8,54.8,0,69.1,0,15.1,3,2.7,79.3,0,,,,,82
North West,170,Preston,1996,chemistry,0,0,21.7,23.5,23.9,0,69.1,0,0,31.4,34.1,34.5,0,0,65.5,34.5,0,
North West,170,Preston,1997,chemistry,0,14.1,23.6,14.6,16.9,0,69.1,0,20.4,34.1,21.1,24.4,0,20.4,55.2,24.4,0,
North West,170,Preston,1998,chemistry,0,5.2,14.9,25,24,0,69.1,0,7.5,21.6,36.2,34.8,0,7.5,57.7,34.8,0,
North West,170,Preston,1999,chemistry,0,9.1,14.6,18,22.9,4.5,69.1,0,13.1,21.1,26.1,33.2,6.5,13.1,47.2,33.2,6.5,
North West,170,Preston,2000,biology,3.7,1.8,38.3,7.9,6.8,0,58.7,6.4,3.1,65.3,13.5,11.6,0,9.5,78.9,11.6,0,
North West,170,Preston,2000,chemistry,0,7.2,14.7,21.5,21.3,4.5,69.1,0,10.5,21.2,31.1,30.8,6.5,10.5,52.3,30.8,6.5,
North West,170,Preston,2000,nitrate,0,36.6,27.3,5.2,0,0,69.1,0,52.9,39.6,7.5,0,0,,,,,0
North West,170,Preston,2000,phosphate,0,0,10.4,2,56.6,0,69.1,0,0,15.1,3,82,0,,,,,84.9
North West,170,Preston,2001,phosphate,0,10.4,0,6.5,52.2,0,69.1,0,15.1,0,9.4,75.5,0,,,,,84.9
North West,170,Preston,2001,chemistry,0,8.9,26.6,15.3,18.3,0,69.1,0,12.9,38.5,22.1,26.5,0,12.9,60.6,26.5,0,
North West,170,Preston,2001,nitrate,0,47.1,16.9,5.2,0,0,69.1,0,68.1,24.4,7.5,0,0,,,,,0
North West,170,Preston,2002,phosphate,0,10.4,0,6.5,52.2,0,69.1,0,15.1,0,9.4,75.5,0,,,,,84.9
North West,170,Preston,2002,nitrate,0,41.9,22,5.2,0,0,69.1,0,60.7,31.8,7.5,0,0,,,,,0
North West,170,Preston,2002,chemistry,0,3.7,45.7,6.9,12.8,0,69.1,0,5.4,66.1,10,18.5,0,5.4,76.1,18.5,0,
North West,170,Preston,2002,biology,5.6,0,38.3,10.3,4.5,0,58.7,9.5,0,65.3,17.5,7.6,0,9.5,82.9,7.6,0,
North West,170,Preston,2003,biology,5.6,10.5,22.7,12,4.5,0,55.3,10.1,19.1,41,21.7,8.1,0,29.2,62.7,8.1,0,
North West,170,Preston,2003,chemistry,0,7.2,16.4,18,22.9,4.5,69.1,0,10.5,23.8,26.1,33.2,6.5,10.5,49.9,33.2,6.5,
North West,170,Preston,2003,nitrate,2,32.9,24.8,9.4,0,0,69.1,3,47.6,35.9,13.5,0,0,,,,,0
North West,170,Preston,2003,phosphate,0,10.4,0,8.9,49.8,0,69.1,0,15.1,0,12.9,72,0,,,,,84.9
North West,170,Preston,2004,biology,3.5,10.5,32.6,2.3,4.5,1.8,55.3,6.4,19.1,58.9,4.2,8.1,3.3,25.5,63.1,8.1,3.3,
North West,170,Preston,2004,chemistry,0,8.9,40.2,15.5,4.5,0,69.1,0,12.9,58.2,22.4,6.5,0,12.9,80.6,6.5,0,
North West,170,Preston,2004,nitrate,2,32.9,24.8,9.4,0,0,69.1,3,47.6,35.9,13.5,0,0,,,,,0
North West,170,Preston,2004,phosphate,0,10.4,2,2.4,54.2,0,69.1,0,15.1,3,3.5,78.5,0,,,,,82
North West,170,Preston,2005,nitrate,2,32.9,24.8,9.4,0,0,69.1,3,47.6,35.9,13.5,0,0,,,,,0
North West,170,Preston,2005,phosphate,0,10.4,2,2.4,54.2,0,69.1,0,15.1,3,3.5,78.5,0,,,,,82
North West,170,Preston,2005,chemistry,0,18.8,33.6,12.3,4.5,0,69.1,0,27.2,48.6,17.8,6.5,0,27.2,66.4,6.5,0,
North West,170,Preston,2005,biology,3.5,10.5,32.6,2.3,4.5,1.8,55.3,6.4,19.1,58.9,4.2,8.1,3.3,25.5,63.1,8.1,3.3,
North West,170,Preston,2006,chemistry,2,9.3,41,10.4,6.3,0,69.1,3,13.4,59.4,15.1,9.1,0,16.4,74.5,9.1,0,
North West,170,Preston,2006,nitrate,2,22.5,40.4,4.2,0,0,69.1,3,32.5,58.5,6,0,0,,,,,0
North West,170,Preston,2006,phosphate,0,10.4,2,2.4,54.2,0,69.1,0,15.1,3,3.5,78.5,0,,,,,82
North West,170,Preston,2006,biology,3.5,7.6,35.5,2.3,4.5,1.8,55.3,6.4,13.7,64.2,4.2,8.1,3.3,20.1,68.5,8.1,3.3,
North West,171,Ribble Valley,1990,biology,33.8,48.4,32.1,5.6,4.4,0.8,125.1,27,38.7,25.6,4.5,3.5,0.7,65.7,30.1,3.5,0.7,
North West,171,Ribble Valley,1990,chemistry,0,37.3,36.4,10.7,9.6,0,94,0,39.7,38.8,11.4,10.2,0,39.7,50.1,10.2,0,
North West,171,Ribble Valley,1990,nitrate,0,0,0,0,0,0,0,,,,,,,,,,,
North West,171,Ribble Valley,1990,phosphate,0,33.2,1.1,26,22.1,7.8,90.3,0,36.8,1.2,28.8,24.5,8.7,,,,,61.9
