Scheme Reference,Ward,Recipient of ward funding,Scheme details ,Ward Priority met,Date passed to Ward Committee for decision,Date funding approved by Ward Committee,Final amount approved,Status
WE-16-20,Westfield,CYC Youth Engagement (LAT West),"Project to tackle anti-social behaviour in Chapelfields area:
Multi-agency team involving Police, LAT and Public Health as well as local community groups will seek to address ASB through targeted diversionary activities for local children and young people. This will link to the Communities that Care (CTC) programme that is being developed by the local Police.  £2,000 from (Ballot Nov 2016-ref 5), £1,521 from underspend of the Sportsfields pot (Ballot Nov 2016 -ref 6) ",Addresses all ward priorities indirectly,14/03/2017,14/03/2017,3521,activities being commisioned
WE-16-21,Westfield,CYC Youth Engagement (LAT West),"Organised activities at the tarmac multi games area between Kingsway West and Hob Moor Primary - £2,000 (Ballot Nov 2016 - ref no 7)",commisioning,14/03/2017,14/03/2017,2000,ongoing
WE-16-22,Westfield,CYC,"Street environment issues pot (ref number 12, 15 and 17 on the Nov 2016 ballot)  ", Improve the local environment and take pride in Westfield,14/03/2017,14/03/2017,12000,work being commissioned
WE-16-22b,Westfield,CYC,Bramham Road in front of Thomas Andrews Mews – to tarmac three small verges to make into footway construction ,Improve the local environment and take pride in Westfield ,04/10/2017,27/12/2017,3050,commisioned
We-16-22c,Westfield,CYC,Installation of vehicular crossing outside no 20 Barkston Avenue and relocation of pedestrian crossing  to a better location,Improve the local environment and take pride in Westfield ,04/10/2017,23/01/2018,6000,commisioned
We-16-22d,Westfield,CYC,To transform small grass verges outside no's 120 and 128 Middleton Road to tarmac surface.,Improve the local environment and take pride in Westfield ,04/10/2017,18/12/2017,1500,commisioned
WE-16-22e,Westfield,CYC,To transform the grass verge outside no 86 Foxwood Lane to tarmac construction strong enough for vehicular access/ manoeuvring.,Improve the local environment and take pride in Westfield ,04/10/2017,18/12/2017,2000,commisioned
WE-16-23,Westfield,CYC,Acomb Triathlon contribution,Improve activities for young people,14/03/2017,14/03/2017,500,completed
WE-16-25,Westfield,CYC,Deep cleaning of shopping areas on Green Lane shops and Beagle Ridge / Foxwood Lane, Improve the local environment and take pride in Westfield,14/03/2017,14/03/2017,2000,ongoing
WE-16-26,Westfield,CYC,Pot to tackle ASB issues. To be used towards the 'Communities that Care' and other projects addressing ASB across the ward.,Addresses all ward priorities indirectly,14/03/2017,14/03/2017,6841,work being commissioned
WE-16-26b,Westfield,CYC,£3657 from the 2017-18 budget to top up to the ASB pot to be used  for projects to tackle anti social behaviour in consultation with North Yorkshire Police.,Addresses all ward priorities indirectly,27/07/2017,25/08/2017,3657,work being commissioned
WE-16-27,Westfield,Foxwood Residents' Association,"To replace vandalised seat in Foxwood Park.  The funding of £500 was originally earmarked  by the Ward Committee  towards  instalaltion of a seat on the junction of Lowfields and Dijon Avenue , however  due to objections from concerned residents it has been decided to withdraw the proposal and use  the funding to install a bench at Foxwood park.",improve the local environment and take pride in Westfield,14/03/2017,14/03/2017,500,released to the group
WE-16-29 ,Westfield,CYC,Creation of communal car park on Askham Lane (by Cornlands Road junction) 198/200,highways,13/09/2017,04/10/2017,5000,commisioned
WE-16-30,Westfield,CYC,Creation of communal car park on Askham Lane (by Cornlands Road junction) 206/208,highways,13/09/2017,04/10/2017,3500,commisioned
WE-17-01 ,Westfield,CYC,Ascot Way and the school sign,improve the local environment and take pride in Westfield,14/03/2017,18/08/2017,315,completed
WE-17-02,Westfield,CYC,61 Gale Lane,Highways fund ,13/09/2017,04/10/2017,850,commisioned
WE-17-04,Westfield,CYC,Noticeboard on Foxwood Lane/Beagle Ridge Drive,,03/05/2017,01/07/2017,100,completed
WE-17-05,Westfield,CYC,Salt bins refill pot of £1250 to accomodate for refilling of 6 ward funded salt bins in winter 2017-18,improve the local environment and take pride in Westfield,14/03/2017,14/03/2017,1250,being used
WE-17-06,Westfield,CYC,Harold Court street sign removal and installation of a replacement sign,improve the local environment and take pride in Westfield,29/06/2017,29/06/2017,196,for old sign removal
WE-17-07,Westfield,CYC,Ward newsletter June 2017,Helps to address all ward priorities,01/03/2017,01/04/2017,2000,complete
WE-17-09,Westfield,Acomb Methodist Church,Community cinema project - a grant towards purchase of new chairs,reduce isolation; improve activities for young people,01/08/2017,25/08/2017,1463,grant released
WE-17-10,Westfield,Foxy Crafters, Local craft and chat grouop meeting weekly for an hour. A grant towards room hire charges to enable the group to meet for two hours per week.,reduce isolation ,25/08/2017,25/08/2017,400,Released to the group
WE-17-12,Westfield,Foxwood Resident's Association,A grant towards skip hire to take away rubbish and vegetation from the Foxwood Park.,improve the local environment and take pride in Westfield,01/08/2017,25/08/2017,183,grat agreement sent to group
WE-17-14,Westfield,York CVS,A grant towards the Ways to Wellbeing  project that connects local people to local health and wellbeing activities in their community. (The ward commits to fund the project over two years).,reduce isolation ,01/08/2017,25/08/2017,3429,released to the group
WE-17-15,Westfield,Chill in the Community,"A grant towards development of facilities to incorporate a group kitchen.The kitchen will be used for teaching vulnerable adults to cook independently, teaching teens to cook for themselves nutritiously and on a budget, cooking for carers and young carers as a peer support activity, cooking groups for children with special needs as an inclusion and stimulation activity, providing mums with a space to practice weaning recipes as part of existing peer support, cooking lessons/brunch gatherings for people who may be socially isolated, to facilitate weekly pay as you feel YOURCAFE sessions run by people with additional needs supported by the Chill in the Community staff, budget cooking lessons for local families and working with Edibledible York and Abundance York.",reduce isolation; improve activities for young people,01/08/2017,25/08/2017,3130,released to the group
WE-17-16,Westfield,CYC,Windsor Garth speed table repairs,improve the local environment and take pride in Westfield,13/09/2017,04/10/2017,3000,commisioned
WE-17-17,Westfield,Foxwood Community Centre,Defibrillator for Foxwood Community Centre,improve the local environment and take pride in Westfield,21/07/2017,21/07/2017,2000,released to the group
WE-17-63,Westfield,CYC,Remodeling Corlett Court,HEIP - Physical environment improvements to benefit Council tenants,27/06/2017,20/02/2018,850,ward contribution to the project
WE-17-76,Westfield,CYC,£2194  ‘young people’ general fund to be used for schemes to support activities for young people during the year,Improve activities for young people,27/07/2017,25/08/2017,2149,ongoing
WE-17-76d,Westfield,Home Start,"A grant to pay for recruitment of volunteers from the community of  Westfield Ward who will be trained to provide one to one support for families, with children under the age of six years, living within the ward.","Improve activities for young people, reduce isolation",12/12/2017,15/12/2017,1500,agreed
WE-17-77,Westfield,CYC,£2194  ‘adult social care provision’ general fund to be used for schemes to support activities for older people during the year,reduce isolation,27/07/2017,25/08/2017,2194,ongoing
WE-17-78,Westfield,CYC,£3657 ‘tidy up days’ pot to support bulky waste removal and provision of skips during community tidy up days, Improve the local environment and take pride in Westfield,27/07/2017,25/08/2017,3657,ongoing
WE-17-81,Westfield,CYC,Protection of verges on Bramham Avenue,Improve the local environment and take pride in Westfield ,04/10/2017,23/01/2017,2500,commisioned
WH-17-01,Wheldrake,CYC,"Complete the tarmacking of the cycle path in Naburn, phase one was completed in 2016, plans already complete and estimate already given",encourage community activity,03/05/2017,03/05/2017,10500,Commisioned to highways
WH-17-02,Wheldrake,CYC,"Street Sign on B1228 opposite Church Lane, Elvington",Encourage and increase community engagement,15/05/2017,15/05/2017,50,Funding Agreed
WH-17-04,Wheldrake ,Elvington Parish Council ,Replace barrier fencing that borders the beck at White House Grove,safer and cleaner communities,05/04/2017,06/06/2017,472,PAID
Wh-17-05,Wheldrake ,Elvington Under 5's,Install new hot water system to replace old water heaters,Encourage and increase community engagement,07/06/2017,07/06/2017,400,PAID
WH-17-08,Wheldrake,CYC,Improvements to signage for speed limits and repainting of the road surface that slows cars down,community safety,30/06/2017,30/06/2017,5200,With Highways
WH-17-10,Wheldrake,Elvington Scout Group,"Contribution to the purchase of a minibus for beavers, scouts and cubs to use",REDUCE SOCIAL ISOLATION,02/10/2017,05/10/2017,2000,PAID
