A separate key is published alongside the data to expand on column headings A1 through to G4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOBS,KEY,SURVEY,SECTOR,LAW,COUNTRY,SIZE,A1,A2,A3,A4,A6,A8_1,A8_2,A8_3,A8_4,A8_5,A8_6,A8_7,B1,B1A,B2_1,B2_2,B2_3,B2_4,B2_5,B2_6,B2_7,B2_8A,B2A,B3,B4,B3B4,C1_1,C1_2,C1_3,C1_4A,C1_5,C1_6,C1_7,C1_8,C1_9,C1_10,C1_11,D1,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D2_9,D2_10,D2_11,D2_12,D2A,D5_1,D5_2,D5_3,D5_4,D5_5,D5_6,D5_7,D5_8,D5_9,D3,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E1_11,E2,E3,F1,F1A_1,F1A_2,F1A_3,F1A_4,F1A_5,F1A_6,F1A_7,F1A_8,F1A_9,F1A_10,F1B,G1_1,G1_2,G1_3,G1_4,G1_5,G1_6,G1_LAW,G2_1,G2_2,G2_3,G2_4,G2_5,G2_6,G2_7,G2_8,G4,WEIGHT
5715,b008504,NAO SURVEY,Hotel/Catering,Employment,England,Micro (1-9 employees),None,6 - 20 years,Stay the same,Stay the same,Attracting and retaining customers,Agree,Agree,Agree,Agree,Agree,Agree,Agree,None / Do not employ any staff,No time at all,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Tend to agree,Yes, ,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Very informed,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Don't know, , , , , , , , , , , ,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Don't know,No, , , , , , , , , , ,Yes,Food Safety,Consumer Protection,Fire Safety,Health and Safety,Not,Not,Consumer Protection,Very Satisfied,Fairly satisfied,Very Satisfied,Very Satisfied,Don't know,Very Satisfied,Fairly satisfied,Fairly satisfied,No,1.014537923
8381,b008519,NAO SURVEY,Hotel/Catering,Employment,England,Micro (1-9 employees),None,More than 20 years,Stay the same,Stay the same,Complying with regulation,Strongly Disagree,Disagree,Agree,Agree,Don't know,Agree,Agree,None / Do not employ any staff,No time at all,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Don't know,No,too much regulation,Too much regulation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Don't know,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,None of these,Not, , , , , , , , , , , ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Don't know,Don't know,No, , , , , , , , , , ,Don't know,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,1.014537923
4972,b008535,NAO SURVEY,Hotel/Catering,Health and Safety,England,Micro (1-9 employees),None,6 - 20 years,Stay the same,Stay the same,Attracting and retaining customers,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,None / Do not employ any staff,Half a day to a day,Strongly Agree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neither agree nor disagree,No,too much regulation,Too much regulation,Agree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,Fairly informed,Not,Not,Government departments' websites,Not,Not,Not,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not, , , , , , , , , , , ,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,Stayed the same,More time consuming,Stayed the same,Stay the same,No, , , , , , , , , , ,No,Food Safety,Not,Not,Not,Not,Not,Food Safety,Very Satisfied,Very Satisfied,Fairly satisfied,Very Satisfied,Fairly satisfied,Very Satisfied,Fairly satisfied,Very Satisfied,No,1.014537923
8658,b008563,NAO SURVEY,Hotel/Catering,Employment,England,Micro (1-9 employees),1 to 4,4 - 5 years,Stay the same,Stay the same,Level of tax,Agree,Disagree,Agree,Neither Agree nor Disagree,Agree,Agree,Agree,None / Do not employ any staff,No time at all,Agree,Agree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Don't know,Tend to agree,Yes, ,Yes,Disagree,Agree,Don't know,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Fairly informed,Local Council Inspectors,Not,Not,Not,External accountant,Not,Not,Not,Not,Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Not,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not,Fairly straightforward,Stayed the same,Stayed the same,Stayed the same,Less time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,Don't know,Food Safety,Not,Not,Not,Not,Not,Food Safety,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,1.014537923
2776,b008571,NAO SURVEY,Hotel/Catering,Health and Safety,Wales,Micro (1-9 employees),1 to 4,Less than a year,Stay the same,Take on staff,Attracting and retaining customers,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,None / Do not employ any staff,Less than half a day,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Tend to disagree,Yes, ,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,N/A,Fairly informed,Local Council Inspectors,Not,Not,Direct contact with Government departments,Not,Not,Not,Not,Not,Not,Not,Not, , , , , , , , , , ,Very straightforward,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,Don't know,Food Safety,Consumer Protection,Fire Safety,Health and Safety,Not,Not,Consumer Protection,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,1.014537923
12543,b008587,NAO SURVEY,Hotel/Catering,Planning,England,Micro (1-9 employees),5 to 9,1 - 3 years,Stay the same,Stay the same,Access to finance,Agree,Agree,Agree,Agree,Agree,Agree,Agree,None / Do not employ any staff,No time at all,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Tend to agree,Yes, ,Yes,Agree,Don't know,Don't know,Don't know,Agree,Agree,Neither Agree nor Disagree,Don't know,Don't know,Disagree,Agree,Not at all informed,Local Council Inspectors,Not,Not,Not,Not,External insurance company,External lawyer,Not,Not,Not,Not,Not,1 to 4,Not,Not,Not,Not,Not,Not,Not,Not,Don't know,Fairly straightforward,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Don't know,No, , , , , , , , , , ,No,Food Safety,Not,Fire Safety,Not,Not,Not,Food Safety,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,No,1.014537923
1812,b008590,NAO SURVEY,Hotel/Catering,Health and Safety,England,Micro (1-9 employees),None,6 - 20 years,Stay the same,Stay the same,Complying with regulation,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Disagree,None / Do not employ any staff,Don't know,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Don't know,Disagree,Disagree,Strongly agree,No,Don't know,Don't know,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Don't know,Local Council Inspectors,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not, , , , , , , , , , ,Fairly straightforward,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Decrease a little,No, , , , , , , , , , ,Don't know,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,1.014537923
6921,b008591,NAO SURVEY,Hotel/Catering,Health and Safety,England,Micro (1-9 employees),5 to 9,More than 20 years,Take on staff,Stay the same,Attracting and retaining customers,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,None / Do not employ any staff,Half a day to a day,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Tend to agree,No,too much regulation,Too much regulation,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Very informed,Local Council Inspectors,Not,Government departments' websites,Not,External accountant,External insurance company,External lawyer,Not,Not,Not,Not,Not,1 to 4,Not,Not,Not,Need for assurance,Want independent advice,Not,Not,Not,Not,Very straightforward,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,N/A,Stayed the same,Stayed the same,More time consuming,More time consuming,Stayed the same,Stayed the same,Don't know,No, , , , , , , , , , ,Yes,Food Safety,Not,Not,Health and Safety,Licensing,Not,Food Safety,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,1.014537923
11651,b008597,NAO SURVEY,Hotel/Catering,Planning,England,Micro (1-9 employees),1 to 4,6 - 20 years,Stay the same,Stay the same,Level of tax,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,None / Do not employ any staff,No time at all,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Don't know,Strongly agree,Don't know, ,Don't know,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Fairly informed,Local Council Inspectors,Not,Government departments' websites,Not,Not,Not,Not,Not,Not,Not,Not,Not, , , , , , , , , , ,Fairly straightforward,N/A,N/A,N/A,Don't know,N/A,More time consuming,Stayed the same,N/A,N/A,N/A,N/A,Become much less time consuming,Increase a lot,No, , , , , , , , , , ,Don't know,Food Safety,Not,Fire Safety,Health and Safety,Not,Not,Food Safety,Fairly satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,N/A,Fairly satisfied,No,1.014537923
3339,b008608,NAO SURVEY,Hotel/Catering,Health and Safety,England,Micro (1-9 employees),1 to 4,1 - 3 years,Stay the same,Take on staff,Level of tax,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,2 to 4,More than 20 days,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Don't know,Strongly agree,No,too much regulation,Too much regulation,Agree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fairly informed,Local Council Inspectors,Not,Not,Direct contact with Government departments,Not,Not,Not,External specialist consultant,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Not,Worried about penalties for non compliance,Not,Not,Not,Not very straightforward,Stayed the same,Stayed the same,More time consuming,Stayed the same,More time consuming,More time consuming,Stayed the same,More time consuming,More time consuming,More time consuming,More time consuming,Become slightly more time consuming,Increase a lot,Yes,Not,Not,A Government department,Not,Not,Not,Not,Not,Not,Not,No,Not,Not,Not,Health and Safety,Licensing,Not,Licensing,Very Dissatisfied,Fairly satisfied,Fairly dissatisfied,Fairly satisfied,Very Satisfied,Very Satisfied,Fairly dissatisfied,Very Dissatisfied,No,1.014537923
10026,b008649,NAO SURVEY,Hotel/Catering,Employment,England,Small (10-49 employees),20 - 49,1 - 3 years,Stay the same,Stay the same,Attracting and retaining customers,Strongly Disagree,Neither Agree nor Disagree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Agree,None / Do not employ any staff,1-2 days,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Disagree,Strongly agree,No,too much regulation,Too much regulation,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Agree,Fairly informed,Local Council Inspectors,Not,Government departments' websites,Not,Not,Not,External lawyer,External specialist consultant,Not,Not,Not,Not,17 - 24,Not,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not,Not very straightforward,More time consuming,More time consuming,More time consuming,More time consuming,More time consuming,Stayed the same,Stayed the same,Stayed the same,More time consuming,More time consuming,More time consuming,Become much more time consuming,Increase a little,No, , , , , , , , , , ,No,Food Safety,Not,Fire Safety,Not,Licensing,Not,Food Safety,Fairly satisfied,Very Dissatisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very Satisfied,Very Dissatisfied,Neither satisfied nor dissatisfied,No,0.230353223
10920,b008654,NAO SURVEY,Hotel/Catering,Health and Safety,England,Micro (1-9 employees),1 to 4,More than 20 years,Reduce staff,Stay the same,Attracting and retaining customers,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,None / Do not employ any staff,5-10 days,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Neither Agree nor Disagree,Strongly agree,Yes, ,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Fairly informed,Not,The Businesslink website,Government departments' websites,Not,Not,External insurance company,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not,Not,Not,Not,Not,Worried about penalties for non compliance,Not,Not,Not, ,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,Become slightly more time consuming,Stay the same,No, , , , , , , , , , ,No,Not,Not,Not,Not,Not,None of these, , , , , , , , , ,No,1.014537923
10808,b008658,NAO SURVEY,Hotel/Catering,Planning,England,Micro (1-9 employees),None,6 - 20 years,Reduce staff,Stay the same,Access to finance,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,N/A,Agree,None / Do not employ any staff,No time at all,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly agree,Yes, ,Yes,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Not at all informed,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,None of these,Not, , , , , , , , , , , ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Don't know,Don't know,No, , , , , , , , , , ,No,Food Safety,Not,Fire Safety,Health and Safety,Licensing,Not,Food Safety,Fairly satisfied,Fairly satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,1.014537923
2263,b008665,NAO SURVEY,Hotel/Catering,Company,Wales,Micro (1-9 employees),5 to 9,Less than a year,Stay the same,Take on staff,Attracting and retaining customers,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,None / Do not employ any staff,Less than half a day,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Tend to agree,Yes, ,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Fairly informed,Local Council Inspectors,Not,Government departments' websites,Direct contact with Government departments,External accountant,External insurance company,Not,External specialist consultant,Not,Not,Not,Not,5 to 8,Not enough time/ lack of internal resource,Not,Not,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not,Very straightforward,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Become slightly less time consuming,Decrease a little,No, , , , , , , , , , ,Yes,Food Safety,Consumer Protection,Fire Safety,Health and Safety,Licensing,Not,Consumer Protection,Fairly satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Fairly satisfied,Very Satisfied,No,1.014537923
2989,b008719,NAO SURVEY,Hotel/Catering,Employment,Wales,Micro (1-9 employees),5 to 9,4 - 5 years,Stay the same,Stay the same,Level of tax,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Agree,None / Do not employ any staff,No time at all,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Strongly disagree,No,too much regulation,Too much regulation,Disagree,Agree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Strongly Disagree,Disagree,Agree,Agree,Disagree,Fairly informed,Local Council Inspectors,Not,Not,Not,External accountant,External insurance company,External lawyer,External specialist consultant,Not,Not,Not,Not,1 to 4,Not,Not,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Not,To get the most specialist/up-to-date advice,Not,Not,Never tried to contact the Local Council,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,Don't know,Food Safety,Not,Fire Safety,Health and Safety,Licensing,Not,Food Safety,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Yes,1.014537923
2933,b008731,NAO SURVEY,Hotel/Catering,Company,England,Micro (1-9 employees),1 to 4,4 - 5 years,Stay the same,Stay the same,Access to finance,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Agree,Don't know,Neither Agree nor Disagree,Don't know,Neither Agree nor Disagree,2 to 4,Half a day to a day,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Neither Agree nor Disagree,Strongly agree,Yes, ,Yes,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Disagree,Fairly informed,Local Council Inspectors,Not,Not,Not,External accountant,External insurance company,Not,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not,Not,Not,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not,Very straightforward,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,Stayed the same,Stayed the same,Stayed the same,More time consuming,More time consuming,More time consuming,Stayed the same,Increase a lot,No, , , , , , , , , , ,No,Food Safety,Not,Fire Safety,Health and Safety,Not,Not,Food Safety,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,1.014537923
1570,b008777,NAO SURVEY,Hotel/Catering,Health and Safety,England,Small (10-49 employees),20 - 49,More than 20 years,Take on staff,Stay the same,Attracting and retaining customers,Don't know,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,None / Do not employ any staff,No time at all,Agree,Neither Agree nor Disagree,Agree,Strongly Disagree,Disagree,Agree,Agree,Don't know,Tend to disagree,Yes, ,Yes,Agree,Strongly Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Agree,N/A,Agree,Disagree,Agree,Fairly informed,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Don't know, , , , , , , , , , , ,Stayed the same,Stayed the same,Stayed the same,Don't know,Don't know,Don't know,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Increase a lot,No, , , , , , , , , , ,Don't know,Food Safety,Consumer Protection,Fire Safety,Health and Safety,Licensing,Not,Consumer Protection,Fairly satisfied,Very Satisfied,Fairly satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Fairly satisfied,No,0.230353223
9103,b008801,NAO SURVEY,Hotel/Catering,Company,England,Micro (1-9 employees),5 to 9,6 - 20 years,Reduce staff,Stay the same,Level of tax,Agree,Neither Agree nor Disagree,Agree,Neither Agree nor Disagree,Agree,N/A,Agree,None / Do not employ any staff,Less than half a day,Agree,Agree,Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Disagree,Don't know,Tend to disagree,No,too much regulation,Too much regulation,N/A,Disagree,Disagree,Disagree,Disagree,Disagree,Neither Agree nor Disagree,N/A,Disagree,Disagree,N/A,Fairly informed,Local Council Inspectors,Not,Government departments' websites,Not,External accountant,External insurance company,External lawyer,Not,Trade Association(s)/Business Organisation(s),Not,Not,Not,9 to 16,Not enough time/ lack of internal resource,Not,Not,Need for assurance,Not,Worried about penalties for non compliance,Not,Not,Not,Fairly straightforward,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Less time consuming,Stayed the same,Stayed the same,N/A,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Increase a little,Yes,Not,Not,Not,A regulator,Not,Not,Not,Not,Not,Not,Don't know,Not,Not,Fire Safety,Health and Safety,Not,Not,Health and Safety,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,No,1.014537923
9983,b008931,NAO SURVEY,Hotel/Catering,Planning,England,Micro (1-9 employees),Don't know,More than 20 years,Stay the same,Don't know,Attracting and retaining customers,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree,2 to 4,1-2 days,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,No,too much regulation,Too much regulation,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Very informed,Local Council Inspectors,Not,Government departments' websites,Direct contact with Government departments,External accountant,External insurance company,External lawyer,External specialist consultant,Not,Not,Not,Not,Don't know,Not,Advice from regulators is insufficient,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not,Fairly straightforward,Stayed the same,Less time consuming,Stayed the same,Stayed the same,Stayed the same,Less time consuming,Stayed the same,Less time consuming,Less time consuming,Less time consuming,Less time consuming,Stayed the same,Stay the same,Yes,Not,Not,A Government department,Not,Not,Not,Not,Not,Not,Not,No,Food Safety,Not,Fire Safety,Health and Safety,Not,Not,Food Safety,Very Satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Fairly satisfied,Very Satisfied,No,1.014537923
9775,b009026,NAO SURVEY,Hotel/Catering,Employment,England,Micro (1-9 employees),5 to 9,4 - 5 years,Reduce staff,Take on staff,Level of tax,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Disagree,Neither Agree nor Disagree,None / Do not employ any staff,Half a day to a day,Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly agree,No,too much regulation,Too much regulation,Strongly Agree,Agree,Strongly Agree,Neither Agree nor Disagree,Neither Agree nor Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Not very informed,Local Council Inspectors,Not,Not,Not,External accountant,Not,External lawyer,External specialist consultant,Not,Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Not,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not,Not at all straightforward,Stayed the same,More time consuming,Less time consuming,Stayed the same,More time consuming,More time consuming,Stayed the same,Stayed the same,More time consuming,Stayed the same,More time consuming,Become slightly more time consuming,Increase a lot,No, , , , , , , , , , ,No,Food Safety,Not,Fire Safety,Health and Safety,Not,Not,Food Safety,Fairly satisfied,Fairly dissatisfied,Very Dissatisfied,Very Dissatisfied,Don't know,Very Dissatisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,No,1.014537923
1981,b009045,NAO SURVEY,Hotel/Catering,Health and Safety,England,Micro (1-9 employees),1 to 4,6 - 20 years,Reduce staff,Reduce staff,Attracting and retaining customers,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,None / Do not employ any staff,More than 20 days,Agree,Agree,Agree,Neither Agree nor Disagree,Agree,Strongly Disagree,Agree,Agree,Strongly disagree,No,too much regulation,Too much regulation,Agree,Agree,Don't know,Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Disagree,Agree,Disagree,Very informed,Local Council Inspectors,The Businesslink website,Not,Not,Not,External insurance company,Not,External specialist consultant,Not,Not,Not,Not,1 to 4,Not,Not,Not,Not,Not,Not,Not,Not,Don't know,Never tried to contact the Local Council,Stayed the same,Stayed the same,Stayed the same,More time consuming,More time consuming,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,No,Food Safety,Not,Not,Not,Not,Not,Food Safety,Very Satisfied,Fairly satisfied,Very Satisfied,Very Satisfied,Fairly satisfied,Very Satisfied,Very Satisfied,Fairly satisfied,No,1.014537923
1129,b009101,NAO SURVEY,Hotel/Catering,Planning,Northern Ireland,Medium (50-249 employees),50 - 99,6 - 20 years,Reduce staff,Stay the same,Attracting and retaining customers,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,None / Do not employ any staff,No time at all,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neither Agree nor Disagree,Strongly Agree,Agree,Tend to disagree,Yes, ,Yes,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neither Agree nor Disagree,Disagree,Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Disagree,Fairly informed,Local Council Inspectors,The Businesslink website,Not,Not,External accountant,External insurance company,External lawyer,External specialist consultant,Trade Association(s)/Business Organisation(s),Not,Not,Not,1 to 4,Not enough time/ lack of internal resource,Not,Lack of clarity in legal requirement,Need for assurance,Want independent advice,Worried about penalties for non compliance,Not,Not,Not,Very straightforward,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,More time consuming,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stayed the same,Stay the same,No, , , , , , , , , , ,Yes, , , , , , , , , , , , , , , , ,0.073547992
