Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,net_amount
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,230.68
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,185.64
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,53.04
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,112.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,53.04
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,33
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,353
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,318
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,299.67
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,299.67
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,249.27
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,282.24
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,257.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,58.02
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,58.02
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,154.14
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,141.12
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,308.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,282.24
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,141.12
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,282.24
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,282.24
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,74.1
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,74.1
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,442.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,442.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,538.46
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,141.12
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,282.24
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,371.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,371.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,442.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,442.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,156.94
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,91.07
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,118.62
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,67.78
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,154.18
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,88.1
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,221.2
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,221.2
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,118.62
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,67.78
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,69.67
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,39.81
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,118.62
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,67.78
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,99.54
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,538
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,34.38
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,34.38
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,162.45
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,108.3
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,108.3
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,81.23
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,51.57
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,81.23
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,17.19
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,27.08
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,01/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,03/08/2016,-38.96
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,03/08/2016,"3,067.50"
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,08/08/2016,-38.96
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Care Payments,08/08/2016,"3,067.50"
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,365.68
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,394.1
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,282.24
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,308.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,282.24
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,83.44
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,83.44
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,76.51
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,50
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,50
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,257.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,257.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,64.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,101.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,197.28
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,70.56
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,08/08/2016,185.67
