Section 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1, Global communications revenues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£bn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.17,"Adults owning and personally using: FM radio, digital radio, portable media player (MP3/MP4/iPod)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of adults who listen to the radio,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM radio,58%,70%,60%,78%,72%,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital radio,31%,9%,9%,14%,7%,3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable media player (MP3/MP4/iPod),52%,45%,51%,64%,44%,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010. Base sizes (all adults who use the internet): UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Question: Which of the following do you own and personally use? FM radio, digital radio, portable media player (MP3/MP4/iPod).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you ever watch TV and listen to a radio station / listen to music?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of adults who listen to the radio,UK,FRA,GER,ITA,USA,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watch TV and listen to a radio station,28%,32%,31%,30%,37%,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Watch TV and listen to music on CD, via a portable media player,  or via a pc",30%,35%,31%,33%,38%,36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010. Base sizes (all adults who use the internet): UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Question: Do you ever watch TV at home and do these other things: listen to a radio station or music on CD, an MP3 player / iPod, or through your computer, (at least sometimes)?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekly listening hours: 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average weekly hours, per head ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,ESP,NED,SWE,IRL,POL,RUS,,,,,,,,,,,,,,,,,,,,,,
2008/09,22.1,20.9,21.1,19.4,18.5,18.3,12.6,12.6,23.5,17.3,31,32.9,39.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: EBU, Ofcom, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Age ranges covered vary across countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Share of PSB listening, 2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audience share ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,ESP,NED,SWE,IRE,POL,RUS,,,,,,,,,,,,,,,,,,,,,,
PSB,55,22,58,19,5,14,8,6,32,65,33,25,24,,,,,,,,,,,,,,,,,,,,,,
Commercial,46,78,43,82,95,86,92,94,69,35,67,75,76,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: EBU, Ofcom, 2009/10.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet and web-based content: key international statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK ,FRA ,GER ,ITA ,USA ,CAN ,JPN ,AUS ,ESP ,NED ,SWE ,IRL ,POL ,BRA ,RUS ,IND ,CHN ,,,,,,,,,,,,,,,,,,
Online universe (m)* ,39.1,44.9,44.9,25.7,195,n/a ,59.5,14.6,25,n/a ,n/a ,n/a ,n/a ,39.3,n/a ,n/a ,n/a ,,,,,,,,,,,,,,,,,,
Fixed broadband connections per 100 HH† ,70,69,62,49,71,80,64,66,56,85,66,63,40,21,29,4,26,,,,,,,,,,,,,,,,,,
Cellular broadband connections per 100 HH† ,16,7,3,16,30,20,19,27,11,7,29,13,9,n/a ,n/a ,n/a ,n/a ,,,,,,,,,,,,,,,,,,
Mobile-only broadband HH (%)‡ ,6,1,11,13,6,n/a ,6,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,,,,,,,,,,,,,,,,,,
Internet access via a mobile phone(%)‡ ,37,37,27,31,36,n/a,70,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,n/a ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IDATE / Industry Data / Ofcom, The Nielsen Company",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*The Nielsen Company, month of August 2010, home and work panel, applications included.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"† IDATE / Industry Data / Ofcom, 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"‡Ofcom international research, October 2010.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Nielsen is investigating a decline in its Internet use data around duration metrics and the potential impact of this on Unique Audience metrics. Consequently, until these investigations are concluded, Nielsen Internet data for 2010 is likely to represent a lower bound and should be treated as indicative only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile phone take up by functionality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Mobile phone that allows you to easily access email, download apps and surf the web","Mobile phone that does NOT allow you to easily access email, download apps and surf the web",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,57,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,46,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,55,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,66,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,44,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,63,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, October 2010. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Base: All adults aged 18+ who use the internet (UK=1016, France=1017, Germany=1014, Italy=1002, USA=1017, Japan=1001).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4. Which of the following devicesdo you own and personally use?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone subscribers per 100 population: January 2009 vs. January 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan-09,Jan-10,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,11,18,70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,8,11,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,8,10,34%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,23,26,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,17,21,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU 5 AVE,12,16,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: comScore MobiLens / Ofcom calculations. Age 13+.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Subscriber numbers based on 3 month average ending Jan 2010 vs. 3 month average ending Jan 2009. Population based on year end figures for 2008 and 2009. EU 5 = UK, FRA, GER, ITA, ESP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone subscribers per 100 population by payment tier: Jan 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mid / low tier,,High tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jan-10,Growth,Jan-10,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,11,76%,6,61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,7,52%,4,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,7,41%,3,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,19,14%,5,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,13,40%,7,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: comScore MobiLens / Ofcom calculations. Age 13+.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Subscriber numbers based on 3 month average ending Jan 2010 vs. 3 month average ending Jan 2009. Population based on year end figures for 2008 and 2009. High Tier pricing model includes Smartphones with monthly subscription fee of over £35 in UK and over €50 in France, Germany, Spain and Italy. Totals do not necessarily match those in Figure 1.3 as some respondents do not disclose tariff information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smartphone subscribers by operationg system, Jan 2010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Symbian,Apple,Microsoft,RIM,Google,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,46.9,20.5,10.7,18.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,40.7,29.9,20,5.4,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,55.1,15.3,19.9,6.8,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,75.7,7.7,11.4,4.7,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,73.5,6.5,12.8,5.2,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUR average,60.9,14.5,14.1,8.3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: comScore MobiLens. Age 13+.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Shares based on 3 month average ending Jan 2010. EUR = UK, FRA, GER, ITA, ESP.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet share of total advertising expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column1,2003,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,3.71%,6.08%,9.71%,14.11%,18.51%,22.58%,27.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,1.37%,1.77%,2.44%,5.87%,11.60%,13.83%,15.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,1.55%,1.69%,2.03%,9.62%,13.02%,15.52%,17.78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,1.45%,1.38%,1.59%,5.30%,7.01%,8.31%,10.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,4.99%,6.09%,7.75%,10.01%,12.61%,14.90%,17.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,2.45%,3.57%,5.24%,7.83%,10.29%,12.73%,15.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2.22%,3.31%,6.41%,8.21%,10.32%,12.66%,14.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,1.30%,1.53%,2.42%,4.25%,6.21%,9.13%,12.42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,1.15%,1.93%,4.76%,13.83%,16.64%,18.41%,21.76%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,6.26%,7.23%,9.84%,13.31%,16.84%,21.11%,24.98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,0.00%,0.00%,0.79%,0.93%,1.37%,1.29%,7.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,1.06%,1.67%,2.51%,3.35%,8.13%,11.03%,13.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2.86%,4.19%,6.23%,9.64%,11.64%,14.27%,17.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,2.45%,3.57%,5.24%,7.83%,10.29%,12.73%,15.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,0.61%,0.88%,1.18%,1.51%,2.49%,6.34%,11.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,0.45%,0.61%,0.97%,1.56%,2.30%,2.33%,2.72%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,1.96%,2.91%,4.31%,5.66%,6.98%,9.09%,11.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Warc Data (www.warc.com),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Data does not include mobile advertising, a small but growing new market. This is particularly relevant to Japan where in 2009 mobile advertising accounted for approximately 2% of total advertising expenditure. *Irish data prior to 2009 exclude paid-for search advertising. Internet data from 2009 include display, classified, search and email and are therefore not comparable with those of previous years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet ad spend per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column1,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,13.72,22.59,33.13,45.92,54.34,57.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2.83,4.01,10.23,21.43,25.25,25.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2.92,3.58,18.88,26.96,32.08,33.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,1.78,2.1,7.33,10.19,12.2,12.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,20.7,27.17,36.24,45.13,49.5,47.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,6.36,9.74,15.47,21.16,27.08,30.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,7.23,15.04,19.45,24.61,28.84,29.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,10.66,16.84,26.84,35.64,44.19,47.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,1.95,3.3,6.21,9.76,12.15,13.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,3.59,9.2,30.37,39.07,42.36,43.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,13.39,20.15,30.62,41.42,49.51,50.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL*,0,2.12,2.78,4.46,3.99,18.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,0.44,0.74,1.08,3.01,4.48,6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,1.22,1.44,1.93,2.78,3.96,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,0.13,0.22,0.36,0.76,2.35,3.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,0.01,0.01,0.02,0.04,0.05,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,0.14,0.24,0.36,0.49,0.73,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Warc Data (www.warc.com). Currency Conversions represent the IMF average for 2009.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Note: Irish data prior to 2009 exclude paid-for search advertising. Internet data from 2009 include display, classified, search and email and are not comparable with those of previous years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet advertising spend by category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Display, Classified, other",Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,2005,43.8,56.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,42.2,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,42.4,57.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,42.2,57.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,39.3,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2005,59.8,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,54.4,45.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,58.3,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,53.6,46.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,51.1,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2005,56.1,43.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,51.5,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,52.4,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,50.6,49.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,48.9,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2005,61.7,38.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,62.4,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,60.8,39.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,52,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,50.4,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2005,59,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,60,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,59,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,55.1,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,52.8,47.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,2005,65,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,61.9,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,61.5,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,62.4,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,58.5,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2005,71.1,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,64.1,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,62.1,37.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,66.5,33.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,60.2,39.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: PricewaterhouseCoopers Global Entertainment and Media Outlook: 2010-2014 @ www.pwc.com/outlook. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Interpretation and manipulation of data are solely Ofcom's responsibility. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of search advertising market revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Google,Bing,Yahoo!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,86.5,4.3,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,89.5,3.3,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,95.9,0,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,77.9,7.3,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,50.9,0,49.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,93.5,0,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: http://www.efrontier.com/sites/default/files/Digital-Marketing-Performance-Report-Q3-2010.pdf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online purchases and spend on online purchases in the past 6 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,ESP,NED,POL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave. no. of online purchases per person,19,7,9,6,4,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ave. spend on online purchases per person,1031,595,588,421,478,417,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: European Interactive Advertising Association (EIAA) Mediascope Europe 2010.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q18. In the last six months*, how many purchases would you say you have made online?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q19. In the last six months*, approximately how much money would you say you spent in total on all your online purchases?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*June – November 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile internet advertising expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile Internet advertising in:,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,4,7,17,34,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2,3,5,10,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,3,5,9,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2,3,12,27,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,0,35,78,168,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,0,3,6,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,129,198,287,572,708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,1,1,3,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,0,1,3,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,1,2,4,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,1,1,2,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,0,0,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: PricewaterhouseCoopers Global Entertainment and Media Outlook: 2010-2014 @ www.pwc.com/outlook. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Interpretation and manipulation of data are solely Ofcom's responsibility. Ofcom has used an exchange rate of $1.5643 to the GBP, representing the IMF average for 2009.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
