Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,D-U-N-S Number,Transaction number,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Localism,WYRE FOREST DISTRICT COUNCIL,,,,,5000238031,Council Tax Freeze,DY10 1DA,"6,942.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ADUR DC,,,,227472891,5000237165,New Homes Bonus Scheme,BN11 1HB,"38,226.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ALLERDALE BC,,,,218146780,5000237167,New Homes Bonus Scheme,CA14 2RS,"26,829.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,AMBER VALLEY BC,,,,,5000237169,New Homes Bonus Scheme,DE5 3WZ,"73,633.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ARUN DC,,,,211217668,5000236923,New Homes Bonus Scheme,BN17 5LF,"172,096.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ASHFIELD DC,,,,235415296,5000237170,New Homes Bonus Scheme,NG17 8DA,"114,176.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ASHFORD BC,,,,229467071,5000236924,New Homes Bonus Scheme,TN23 1PL,"202,548.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,AYLESBURY VALE DC(HSG),,,,396710709,5000236925,New Homes Bonus Scheme,HP19 8FF,"275,357.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BABERGH DC,,,,232618405,5000236926,New Homes Bonus Scheme,IP7 6SJ,"71,317.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BARKING & DAGENHAM LB (HSG),,,,217142293,5000236927,New Homes Bonus Scheme,RM10 7BY,"205,428.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BARNET LBC,,,,211049507,5000237172,New Homes Bonus Scheme,NW4 4BG,"515,162.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BARNSLEY MBC,,,,211178595,5000237174,New Homes Bonus Scheme,S70 2AQ,"287,795.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BARROW BC,,,,295632913,5000237176,New Homes Bonus Scheme,LA14 2LD,"15,818.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BASILDON BOROUGH COUNCIL,,,,,5000237178,New Homes Bonus Scheme,SS14 0DF,"141,693.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BASINGSTOKE & DEANE BC,,,,228328506,5000237179,New Homes Bonus Scheme,RG21 2AJ,"294,915.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BASSETLAW DC (HSG),,,,,5000236928,New Homes Bonus Scheme,S80 2AH,"74,249.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BATH & NE SOMERSET DC (HSG),,,,214502499,5000236929,New Homes Bonus Scheme,BA1 5AW,"164,783.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BEDFORD UNITARY AUTHORITY,,,,225682160,5000237524,New Homes Bonus Scheme,MK40 1SJ,"310,613.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BEXLEY LB (HSG),,,,,5000236930,New Homes Bonus Scheme,DA8 1TL,"165,553.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BIRMINGHAM CITY CNCL,,,,213780559,5000237181,New Homes Bonus Scheme,B2 2AJ,"855,894.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BLABY DC (HSG),,,,,5000236931,New Homes Bonus Scheme,LE9 5EP,"65,049.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BLACKBURN WITH DARWEN BC,,,,,5000237183,New Homes Bonus Scheme,BB1 7DY,"31,819.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BLACKPOOL BC,,,,,5000237184,New Homes Bonus Scheme,FY1 1NA,"116,302.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BOLSOVER DC,,,,235516523,5000237186,New Homes Bonus Scheme,S44 6NF,"40,028.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BOLTON MBC,,,,,5000237188,New Homes Bonus Scheme,BL1 1RU,"200,414.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BOSTON BC,,,,236417713,5000236932,New Homes Bonus Scheme,PE21 8QR,"52,650.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BOURNEMOUTH DC,,,,,5000237190,New Homes Bonus Scheme,BH2 6EB,"220,614.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BRACKNELL FOREST DC,,,,236184867,5000237191,New Homes Bonus Scheme,RG12 1AQ,"163,273.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BRADFORD MBC,,,,,5000237193,New Homes Bonus Scheme,BD1 1HX,"472,249.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BRAINTREE DC,,,,226941730,5000236933,New Homes Bonus Scheme,CM7 6HB,"132,310.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BRECKLAND DC,,,,232611384,5000236934,New Homes Bonus Scheme,NR19 1EE,"92,316.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BRENT LB (HSG),,,,,5000236936,New Homes Bonus Scheme,HA9 9HD,"440,775.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BRENTWOOD BC,,,,227473188,5000237195,New Homes Bonus Scheme,CM15 8AY,"66,562.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BRIGHTON & HOVE CITY COUNCIL,,,,228455218,5000237196,New Homes Bonus Scheme,BN3 2SR,"165,916.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BRISTOL CITY CNCL (HSG),,,,211103882,5000236937,New Homes Bonus Scheme,BS99 7BL,"607,515.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BROADLAND DC,,Large,,219737785,5000236938,New Homes Bonus Scheme,NR7 0DU,"63,205.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BROMLEY LB,,,,211331954,5000237198,New Homes Bonus Scheme,BR1 3UH,"297,743.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BROMSGROVE DC,,,,236654745,5000236940,New Homes Bonus Scheme,B60 1AA,"57,302.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BROXBOURNE BC,,Public Bodies,,239931918,5000237200,New Homes Bonus Scheme,EN8 9XG,"73,178.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BROXTOWE BC,,,,239877640,5000237202,New Homes Bonus Scheme,NG9 1AB,"50,931.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BUCKINGHAMSHIRE CC,,,,293750923,5000237203,New Homes Bonus Scheme,HP20 1UD,"137,298.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BURNLEY BC,,,,229413281,5000237205,New Homes Bonus Scheme,BB11 1JA,"28,171.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,BURY MBC,,,,,5000237207,New Homes Bonus Scheme,BL9 0SW,"82,470.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CALDERDALE MBC,,,,,5000237209,New Homes Bonus Scheme,HX1 1YP,"200,741.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CAMBRIDGE CITY COUNCIL,,,,210357534,5000237210,New Homes Bonus Scheme,CB2 3NA,"173,788.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CAMBRIDGESHIRE COUNTY CNCL,,,,219047347,5000237212,New Homes Bonus Scheme,CB3 0AP,"200,248.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CAMDEN LB,,,,211651836,5000237214,New Homes Bonus Scheme,WC1H 8NG,"351,343.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CANNOCK CHASE DC,,,,215064770,5000237215,New Homes Bonus Scheme,WS11 1BG,"58,729.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CANTERBURY CITY CNCL,,,,,5000236942,New Homes Bonus Scheme,CT1 1YW,"125,392.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CARLISLE CITY CNCL,,,,227471059,5000236944,New Homes Bonus Scheme,CA3 8QG,"86,729.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CASTLE POINT BC,,,,228217931,5000237217,New Homes Bonus Scheme,SS7 1TF,"44,407.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CENTRAL BEDFORDSHIRE COUNCIL,,,,232624882,5000237519,New Homes Bonus Scheme,SG17 5TQ,"415,481.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHARNWOOD BC,,,,,5000237219,New Homes Bonus Scheme,LE11 2TU,"180,319.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHELMSFORD BC,,,,,5000237221,New Homes Bonus Scheme,CM1 1JE,"83,295.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHELTENHAM BC,,,,,5000237222,New Homes Bonus Scheme,GL50 1PW,"58,266.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHERWELL DC,,,,,5000236946,New Homes Bonus Scheme,OX15 4AA,"111,688.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHESHIRE EAST COUNCIL,,,,,5000237520,New Homes Bonus Scheme,SK10 1DP,"326,584.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHESHIRE WEST & CHESTER COUNCIL,,,,215584383,5000237522,New Homes Bonus Scheme,CH1 2NP,"227,268.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHESTERFIELD BC,,,,232102301,5000237224,New Homes Bonus Scheme,S40 1LP,"29,287.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHICHESTER DC,,,,739800998,5000236947,New Homes Bonus Scheme,PO19 1TY,"115,631.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHILTERN DC (HSG),,,,,5000236949,New Homes Bonus Scheme,HP6 5AW,"30,712.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHORLEY BOROUGH COUNCIL,,,,236415576,5000237226,New Homes Bonus Scheme,PR7 1DP,"148,617.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CHRISTCHURCH BC (HSG),,,,227415213,5000236951,New Homes Bonus Scheme,BH23 1AZ,"27,412.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CITY OF LINCOLN COUNCIL,,,,,5000237334,New Homes Bonus Scheme,LN1 1DB,"97,921.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CITY OF LONDON (HSG),,,,217471460,5000236952,New Homes Bonus Scheme,EC2P 2EJ,"33,615.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CITY OF SUNDERLAND (HSG),,,,215599312,5000236954,New Homes Bonus Scheme,SR2 7DN,"141,996.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CITY OF WAKEFIELD MDC,,,,,5000237472,New Homes Bonus Scheme,WF1 2QW,"364,356.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,COLCHESTER BC,,,,,5000237228,New Homes Bonus Scheme,CO3 3WG,"218,029.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,COPELAND BC,,,,236414827,5000236956,New Homes Bonus Scheme,CA28 7NY,"18,116.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CORBY BC,,,,,5000236958,New Homes Bonus Scheme,NN17 1GD,"133,413.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CORNWALL UNITARY AUTHORITY,,,,211334404,5000237527,New Homes Bonus Scheme,TR1 3AY,"801,556.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,COTSWOLD DC,,,,232462085,5000236960,New Homes Bonus Scheme,GL7 1PX,"114,523.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,COVENTRY CITY CNCL,,,,210384802,5000237229,New Homes Bonus Scheme,CV1 2QL,"367,162.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CRAVEN DC (HSG),,,,,5000236962,New Homes Bonus Scheme,BD23 1PS,"49,031.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CRAWLEY BC,,,,211222500,5000236963,New Homes Bonus Scheme,RH10 1UZ,"92,972.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CROYDON LB,,,,212419973,5000237231,New Homes Bonus Scheme,CR9 3JS,"453,341.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CUMBRIA COUNTY CNCL,,,,211316542,5000237233,New Homes Bonus Scheme,CA3 8NA,"48,538.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DACORUM BC,,,,236448643,5000237235,New Homes Bonus Scheme,HP1 1HH,"125,579.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DARLINGTON BC,,,,,5000237236,New Homes Bonus Scheme,TS19 1JA,"72,471.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DARTFORD BC,,,,225694942,5000236965,New Homes Bonus Scheme,DA1 1DR,"110,488.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DAVENTRY DC,,,,239859333,5000236967,New Homes Bonus Scheme,NN11 5AF,"50,625.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DERBY CITY CNCL,,,,229641378,5000237238,New Homes Bonus Scheme,DE1 2FS,"212,045.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DERBYSHIRE COUNTYCOUNCIL,,,,232152967,5000237240,New Homes Bonus Scheme,DE4 3AH,"108,829.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DERBYSHIRE DALES DC,,,,,5000236969,New Homes Bonus Scheme,DE4 3NN,"44,632.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DEVON COUNTY CNCL,,,,213754018,5000237242,New Homes Bonus Scheme,EX2 4QJ,"191,057.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DONCASTER MBC,,,,,5000237243,New Homes Bonus Scheme,DN1 3QA,"109,483.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DORSET COUNTY CNCL,,,,225431279,5000237245,New Homes Bonus Scheme,DT1 1XJ,"73,402.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DOVER DC,,,,,5000236970,New Homes Bonus Scheme,CT16 3PD,"74,962.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DUDLEY MBC,,,,,5000237247,New Homes Bonus Scheme,DY1 1HF,"205,666.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,DURHAM UNITARY AUTHORITY,,,,224004882,5000237529,New Homes Bonus Scheme,DH1 5UE,"399,991.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EALING LB,,,,,5000237248,New Homes Bonus Scheme,W5 2HL,"428,701.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EAST CAMBRIDGESHIRE DC,,,,236472023,5000236972,New Homes Bonus Scheme,CB7 4PL,"92,786.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EAST DEVON DC,,,,,5000236974,New Homes Bonus Scheme,EX10 8HL,"98,039.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EAST DORSET DC,,,,228470456,5000237250,New Homes Bonus Scheme,BH21 4HN,"36,218.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EAST HAMPSHIRE DC,,,,,5000236975,New Homes Bonus Scheme,GU31 4EX,"113,653.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EAST HERTFORDSHIRE DC,,,,236176954,5000236977,New Homes Bonus Scheme,SG13 8EQ,"116,123.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EAST LINDSEY DC,,,,,5000236979,New Homes Bonus Scheme,LN11 8UP,"77,036.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EAST NORTHAMPTONSHIRE COUNCIL,,,,227475290,5000236980,New Homes Bonus Scheme,NN14 4LZ,"101,506.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EAST RIDING OF YORKS (HSG),,,,423159987,5000236982,New Homes Bonus Scheme,HU17 9BA,"256,011.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EAST STAFFORDSHIRE BC,,,,226778033,5000236984,New Homes Bonus Scheme,DE14 2EB,"87,327.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EAST SUSSEX COUNTY CNCL,,,,,5000237252,New Homes Bonus Scheme,BN7 1SF,"107,960.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EASTBOURNE BC,,,,229896428,5000237253,New Homes Bonus Scheme,BN21 4TW,"46,393.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EASTLEIGH BOROUGH COUNCIL,,,,232669911,5000237255,New Homes Bonus Scheme,SO5 9YN,"117,884.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EDEN DC (HSG),,,,,5000236985,New Homes Bonus Scheme,CA11 7QF,"27,648.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ELMBRIDGE BC (HSG),,,,,5000236987,New Homes Bonus Scheme,KT10 9SD,"128,351.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ENFIELD LB,,,,,5000237257,New Homes Bonus Scheme,EN1 3XF,"249,605.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EPPING FOREST DC,,,,775876360,5000237259,New Homes Bonus Scheme,CM16 4BZ,"107,111.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EPSOM & EWELL BC,,,,225423094,5000237260,New Homes Bonus Scheme,KT18 5BY,"79,320.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EREWASH BC,,,,211209762,5000237262,New Homes Bonus Scheme,DE7 5RP,"69,714.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ESSEX COUNTY CNCL,,,,233572986,5000237264,New Homes Bonus Scheme,CM1 1JZ,"291,548.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,EXETER CITY CNCL,,,,,5000237265,New Homes Bonus Scheme,EX1 1JN,"183,751.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,FAREHAM BC,,,,228474144,5000236989,New Homes Bonus Scheme,PO16 7PU,"91,069.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,FENLAND DC,,,,227476348,5000236991,New Homes Bonus Scheme,PE15 8NQ,"71,705.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,FOREST HEATH DISTRICT COUNCIL,,,,236678116,5000236992,New Homes Bonus Scheme,IP28 7EY,"139,907.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,FOREST OF DEAN DC,,,,211278890,5000236994,New Homes Bonus Scheme,GL16 8HG,"67,472.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,FYLDE BC,,,,227479912,5000237267,New Homes Bonus Scheme,FY8 1LW,"74,451.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,GATESHEAD MBC,,,,216116041,5000237269,New Homes Bonus Scheme,NE8 1HH,"84,320.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,GEDLING BC,,,,236180337,5000237270,New Homes Bonus Scheme,NG5 6LU,"92,985.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,GLOUCESTER CITY CNCL,,,,230841392,5000237272,New Homes Bonus Scheme,GL1 2EQ,"168,898.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,GLOUCESTERSHIRE COUNTY CNCL,,,,211272067,5000237274,New Homes Bonus Scheme,GL1 2TG,"151,585.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,GOSPORT BOROUGH COUNCIL,,,,239825078,5000237275,New Homes Bonus Scheme,PO12 1ED,"41,533.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,GRAVESHAM BC,,,,236178612,5000237277,New Homes Bonus Scheme,DA12 1AU,"78,139.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,GREAT YARMOUTH BC,,,,292697372,5000237279,New Homes Bonus Scheme,NR30 2QG,"69,103.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,GREENWICH LB,,,,,5000237281,New Homes Bonus Scheme,SE18 6BU,"432,024.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,GUILDFORD BC,,,,236663720,5000236996,New Homes Bonus Scheme,GU2 5BB,"101,224.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,HALTON BC (HSG),,,,,5000236998,New Homes Bonus Scheme,WA8 7QF,"87,684.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,HAMBLETON DC (HSG),,,,503481319,5000237000,New Homes Bonus Scheme,DL6 2UU,"64,586.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,HAMMERSMITH & FULHAM LB,,,,216929489,5000237284,New Homes Bonus Scheme,W6 9JU,"246,917.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,HAMPSHIRE COUNTY COUNCIL,,,,211325832,5000237286,New Homes Bonus Scheme,SO23 8UB,"299,759.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,HARBOROUGH DC (HSG),,,,212935774,5000237002,New Homes Bonus Scheme,LE16 7AG,"91,903.00",Yes
Communities & Local Government,DCLG,15/11/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,HARINGEY LB,,,,217471767,5000237288,New Homes Bonus Scheme,N22 4TR,"257,918.00",Yes
