Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,631606,9856.4,April 14 fees. Invoice 30,BS32 4SY
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,631607,17680.38,May 14 fees. Invoice 31,BS32 4SY
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,631653,52473.45,Inv Date 24/6/14 Leeming to Barton (Northern Section) Advance Copy,BS32 4SY
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,DAVITT JONES BOULD LTD (TR140),LOMD247564,710,00003904/xxxxx,TA1 4EB
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EM HIGHWAY SERVICES LTD,631572,4955.56,Apps and Certs Receipt - APC70811,M2 5JB
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD247565,158180.17,00010774/xxxxx,B3 3AL
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,631576,1642.88,HA Doc 445559 Inv Date 19/6/14 A1 Lobley Hill LOT 5,GU2 7AR
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,631594,310263.9,HA Doc 445627 Inv Date 19/6/14 A1 Lobley Hill LOT 1,GU2 7AR
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,HYDER HALCROW M25 JOINT VENTURE,631614,8523.28,Halcrow Hyder services in May 2014. Invoice 17/06/2014,GU2 7AR
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,IMTECH TRAFFIC & INFRA UK LIMITED,631575,36013.06,IN PAYMENT 2ND INSTALLMENT SE RCC WORKS,RG24 8WZ
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,IMTECH TRAFFIC & INFRA UK LIMITED,631592,18900,Site Data M6 J10a-13 June 14,RG24 8WZ
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,THE POLICE AND CRIME COMMISSIONER FOR NORTHAMPTONSHIRE,631579,35722.86,Invoice- June2014,CW7 9FW
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,THE POLICE AND CRIME COMMISSIONER FOR SOUTH YORKSHIRE,631639,20000,M1 J28-31 Speed limit enforcement,S2 5DH
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,TREASURY SOLICITOR,631641,1230.5,"Inv num 406455. Date 05/06/14. Amount #1284.00, exclu VAT #1070.00",GL1 2AZ
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,MAJOR PROJECTS,URS INFRASTRUCTURE AND ENVIRONMENT UK LTD,631596,3918,Inv No 5927132 Inv Date 17/6/14 M6 Carlisle to Guardsmill Advance Copy,RG21 7PP
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BT OPENREACH (CIS) DIVERT/CONNECT,631602,6120.34,Invoice Number A128674 dated 24/06/14,S1 1BA
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,BT OPENREACH (CIS) DIVERT/CONNECT,631612,1248.42,#,S1 1BA
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CARILLION CONSTRUCTION LTD - CIVIL ENGINEERING,631591,73128.73,Apps and Certs Receipt - APC71343,S1 2BQ
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,631581,30375.93,M2/1719 Invoice NO 5: COFA / DFFC Package 5 Site Accomodation,EN6 3NP
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,631583,535861.58,M25/1720 Invoice No 5: COFA / DFFC Package 4 Technology,EN6 3NP
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,631584,38086.45,M25/1721 COFA / DFFC Package 2 & 3 Civils Works,EN6 3NP
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,631586,34852.04,M25/1722 Invoice No 1: COFA / DFFC Package 1A Offline Works,EN6 3NP
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,631587,257057.72,M25/1723 Invoice No 3: DFFC Package 1 / Signage,EN6 3NP
Department For Transport,Highways Agency,26/06/2014,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,631589,661719.4,M25/1724 Invoice 7 COFA / DFFC Charging Gantires Package 0,EN6 3NP
Department For Transport,Highways Agency,26/06/2014,TA Renewal of Roads - Capital,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,631590,27985.97,M25/1725 Invoice 5: COFA / Dartford EUD Dry Riser Scheme,EN6 3NP
Department For Transport,Highways Agency,26/06/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,CONNECT PLUS (M25) LTD,631580,707191.91,M25/1726 Invoice 5: COFA M4 Elevated Pier Strengthening Package 1,EN6 3NP
Department For Transport,Highways Agency,26/06/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,EM HIGHWAY SERVICES LTD,631573,9734.94,Apps and Certs Receipt - APC71087,M2 5JB
Department For Transport,Highways Agency,26/06/2014,TA Renewal of Structures - Capital,NETWORK DELIVERY & DEVELOPMENT,MAGDALENE LTD,631629,28331.58,Magdalene LTD 66436 26/06/2014,PE27 5JL
Department For Transport,Highways Agency,26/06/2014,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,IMTECH TRAFFIC & INFRA UK LIMITED,631628,177000,HADECS Maintenance payments with Imtech Peek,RG24 8WZ
Department For Transport,Highways Agency,26/06/2014,TOS operational Vehicle repairs,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,631651,213247.15,SIMP013116,NG15 0DR
Department For Transport,Highways Agency,27/06/2014,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,631753,21907.89,Apps and Certs Receipt - APC71792,BS32 4SR
Department For Transport,Highways Agency,27/06/2014,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,631676,80704.69,Payment for invoice no 90164388 (Part Payment),AL2 2DQ
Department For Transport,Highways Agency,27/06/2014,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,631677,116008.02,Payment for invoice no 90164388 (Part Payment),AL2 2DQ
Department For Transport,Highways Agency,27/06/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,631674,4061.37,FEE Midlands & NE RTMC 23/05/2014,NE1 3PL
Department For Transport,Highways Agency,27/06/2014,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,631675,9779.86,Invoice dated 14/04/14 Fee Midlands & NE RTMC,NE1 3PL
Department For Transport,Highways Agency,27/06/2014,CM - Tunnel Maintenance,NETWORK DELIVERY & DEVELOPMENT,TAMAR BRIDGE & TORPOINT FERRY JOINT COMMITTEE,631764,73933.23,"Invoice No. 99300817, dated 25/06/2014",PL11 2AX
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,MAJOR PROJECTS,ATKINS LTD,631717,36838.01,IN PAYMENT OF PERIOD 28/04/2014 TO 30/05/2014,BS32 4SY
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,3M UNITED KINGDOM PLC,631728,25000,june 14,RG12 8HT
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,622210,-37742.53,Apps and Certs Receipt - APC63521,OX4 4DQ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,AMEY LG LIMITED,630942,3102.3,Apps and Certs Receipt - APC70906,OX4 4DQ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),505180,-6663.56,Apps and Certs Receipt - APC7960,DL1 1TJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),623752,-4784.64,Apps and Certs Receipt - APC64665,DL1 1TJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),628285,-1046.81,Apps and Certs Receipt - APC68139,DL1 1TJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),628285,-260.7,Apps and Certs Receipt - APC68139,DL1 1TJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),628285,-121020.21,Apps and Certs Receipt - APC68139,DL1 1TJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),628285,-9537.41,Apps and Certs Receipt - APC68139,DL1 1TJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),630801,-104786.69,Apps and Certs Receipt - APC70685,DL1 1TJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),631702,5618.76,Apps and Certs Receipt - APC68918,DL1 1TJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,631711,129147,Charm Receipt June 2014 Receipted on behalf of xxxxx 2/7/14,BS32 4SY
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,631763,5000,WRF1 - June 2014,BS32 4SY
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,631753,1564.02,Apps and Certs Receipt - APC71792,BS32 4SR
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BALFOUR BEATTY MOTT MACDONALD,631754,119241.04,Apps and Certs Receipt - APC71791,BS32 4SR
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,BRITISH TELECOM PLC (NON CIS) CHARGES,631751,3059.81,"BT VP51361270 for usage, one off, credits and reccuring charges from 28/03/14 - 19/06/14",DH98 1BT
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,COSTAIN LIMITED,631752,159078.07,Month 10 ESDAL2 development,SL6 4UB
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CUBIC TRANSPORTATION SYSTEMS (ITMS) LIMITED,631759,5990.59,#,TS17 6QY
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CUBIC TRANSPORTATION SYSTEMS (ITMS) LIMITED,631796,6075.1,"HATMS S/C + Works for June (SCQ888,849,882) ---- R27June2014",TS17 6QY
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,631782,20540,Prodec Portal: Proof of Concept,GU14 7BF
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,631784,15000,HAWIS ESS: Connectivity Costs - June 2014,GU14 7BF
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GOLDEN RIVER TRAFFIC LTD,631729,8359,june 14,OX26 4LD
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HALCROW GROUP LTD,631781,40000,Works completed in June 2014,GL1 2NS
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,631721,2952.6,june 14,HP19 8BP
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,HYDER HALCROW M25 JOINT VENTURE,631739,1200,Invoice for NOMS support June 2014,GU2 7AR
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,IMTECH TRAFFIC & INFRA UK LIMITED,631797,18700,HTAMS Works for June (HRNS/Tiberius) --- R27June2014,RG24 8WZ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,IPL INFORMATION PROCESSING LTD,631765,33504.73,Milestone I1: Operational service - june 2014,BA1 5LR
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,IPL INFORMATION PROCESSING LTD,631766,27870.86,HAWCS Change Requests - CRB38 - 44,BA1 5LR
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,JC PEACOCK AND COMPANY LIMITED,631544,-81783.24,Salt Relocation Costs - June,KA8 8AE
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MOTT MACDONALD GROUP LTD,631698,9087.72,ISF MOTT Mcdonald,CR0 2EE
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MOTT MACDONALD GROUP LTD,631787,28349.32,"HATMS S/D Works for June (T1,5,22,24,30,32,33) ---- R27June2014",CR0 2EE
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,631694,360889,NRTS 2,L3 1ES
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,631695,134173.09,Mouchel BAU,L3 1ES
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,631700,29207.6,Mouchel Security,L3 1ES
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,NORBERT DENTRESSANGLE LOGISTICS LTD,631732,105000,june 14,NN5 7SL
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,631768,2912.82,Invoice no. 90162147 Dated 30/04/14,AL2 2DQ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,SIMULATION SYSTEMS LTD,631795,5964.76,HATMS Works for June (1368/11) ---- R27June2014,BS49 4RF
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,THE MET OFFICE,631767,4950,National Forecast Service: June 2014,EX1 3PB
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,TRATOS LTD,631771,8032.5,June 14 - Repairs,S42 5UW
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,VAISALA TMI LTD,631770,2378,ESS Order 19: IST Meetings & Support,B5 7SW
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,VAISALA TMI LTD,631773,4000,ESS Order 16: Shurlock Row Installation,B5 7SW
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,VARIABLE MESSAGE SIGNS LTD,631722,6900,june 14,NE11 0QJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,WSP UK LIMITED,631748,3930.6,Technical support for ESDAL2 June 2014,RG21 4HJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,631665,12308.88,"#12,308.88 to be reciepted for work undertaken in June.",BS32 4SY
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,631666,10025.02,"#10,024.02 to be receipted for work undertaken in June.",BS32 4SY
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,631672,5796,June14,BS32 4SY
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,631684,7866.74,June14,BS32 4SY
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,631707,11398.68,June14,BS32 4SY
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,631794,2300,June 2014 receipt PRG 27/6,BS32 4SY
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,631657,25897.76,SMIS Technical Support June 2014,GL1 2NS
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,631735,6652.48,#,GL1 2NS
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,631737,5726.02,#,GL1 2NS
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,JACOBS UK LTD,631785,34817.48,June 2014 Lean Specialist support,G2 7HX
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,631682,23557.6,#,NE1 3PL
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,631713,5196,June14,NE1 3PL
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,631725,8665,#,NE1 3PL
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,631792,5003.62,June 2014 receipted PRG 27/6,NE1 3PL
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,ROADSAFE,631663,30000,Invoice June 2014,SW1P 2BN
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,WSP UK LIMITED,631708,25426.12,For work done in June 2014 #25426.12,RG21 4HJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,WSP UK LIMITED,631731,8366.98,Work carried out in June 2014,RG21 4HJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,NETWORK SERVICES DIRECTORATE,WSP UK LIMITED,631742,41722.2,#,RG21 4HJ
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,STRATEGY & PLANNING DIR,OVE ARUP & PARTNERS,631697,13922,"RRP Specialist Advice WP #12 June 2014 #13,922.00",NE1 3PL
Department For Transport,Highways Agency,27/06/2014,Contractor Costs,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,631777,13866.41,"Monthly Ad-Hoc for June 2014, INV 502358ADRJUN2014",BL9 8RT
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,COMMERCIAL & PROCUREMENT,ENTERPRISE RENT-A-CAR UK LTD,776304,164.31,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,FINANCE & BUSINESS SERVICES,ENTERPRISE RENT-A-CAR UK LTD,776304,52.82,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,MAJOR PROJECTS,ENTERPRISE RENT-A-CAR UK LTD,776304,293.4,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,MAJOR PROJECTS,ENTERPRISE RENT-A-CAR UK LTD,778342,136.92,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISE RENT-A-CAR UK LTD,776304,602.47,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISE RENT-A-CAR UK LTD,776304,68.46,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISE RENT-A-CAR UK LTD,776304,11.74,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISE RENT-A-CAR UK LTD,778342,512.46,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,NETWORK SERVICES DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,776304,80.2,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,NETWORK SERVICES DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,778342,150.61,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,TRAFFIC MANAGEMENT DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,776304,35.21,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,TRAFFIC MANAGEMENT DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,776304,84.11,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car fuel,TRAFFIC MANAGEMENT DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,778342,148.67,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,COMMERCIAL & PROCUREMENT,ENTERPRISE RENT-A-CAR UK LTD,776304,280.14,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,COMMERCIAL & PROCUREMENT,ENTERPRISE RENT-A-CAR UK LTD,778342,147.14,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,FINANCE & BUSINESS SERVICES,ENTERPRISE RENT-A-CAR UK LTD,776304,493.08,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,FINANCE & BUSINESS SERVICES,ENTERPRISE RENT-A-CAR UK LTD,778342,518.09,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,MAJOR PROJECTS,ENTERPRISE RENT-A-CAR UK LTD,776304,1046.13,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,MAJOR PROJECTS,ENTERPRISE RENT-A-CAR UK LTD,778342,1002.16,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISE RENT-A-CAR UK LTD,776304,3548.42,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISE RENT-A-CAR UK LTD,776304,328.76,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISE RENT-A-CAR UK LTD,776304,57.7,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISE RENT-A-CAR UK LTD,778342,3058.34,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISE RENT-A-CAR UK LTD,778342,390.93,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,NETWORK SERVICES DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,776304,726.83,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,NETWORK SERVICES DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,776304,48.59,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,NETWORK SERVICES DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,778342,643.9,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,NETWORK SERVICES DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,778342,111.57,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,STRATEGY & PLANNING DIR,ENTERPRISE RENT-A-CAR UK LTD,778342,106.68,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,TRAFFIC MANAGEMENT DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,776304,389.3,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,TRAFFIC MANAGEMENT DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,776304,3606,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,TRAFFIC MANAGEMENT DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,778342,227.47,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,Hire car rental,TRAFFIC MANAGEMENT DIRECTORATE,ENTERPRISE RENT-A-CAR UK LTD,778342,2435.26,CAR RENTAL JUNE 2014,CB8 0AL
Department For Transport,Highways Agency,27/06/2014,ICT Consultancy Costs,FINANCE & BUSINESS SERVICES,BADENOCH & CLARK,631724,2421,xxxxx w/e 27/06/2014 5 days worked @ #403.50 daily inv,W1T 5AE
Department For Transport,Highways Agency,27/06/2014,ICT Consultancy Costs,FINANCE & BUSINESS SERVICES,BROOK STREET (UK)  LTD,631685,567.43,xxxxx w/c 14-Jun-14 (37.00 Hours),AL1 4ZX
