Data is Unweighted,,,Q5,,,,,,,,,,,,,,,,,,Q6,,,,,,,,,,,,,,,,,,,,,,,,Q7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,"For each of the statements below, how often do you feel this way about your job?",,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your job?,,,,,,,,,,,,,,,,,,,,,,,,To what extent do you agree or disagree with the following statements about your work?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This sheet contains questions relating to: job design and work pressure, and being respected and valued at work",,,a) I look forward to going to work,,,,,,b) I am enthusiastic about my job,,,,,,c) Time passes quickly when I am working ,,,,,,"a) I have clear, planned goals and objectives for my job",,,,,,b) I always know what my work responsibilities are,,,,,,c) I am trusted to do my job,,,,,,d) I am able to do my job to a standard I am personally pleased with,,,,,,a) There are frequent opportunities for me to show initiative in my role,,,,,,b) I am able to make suggestions to improve the work of my team / department,,,,,,c) I am involved in deciding on changes introduced that affect my work area / team / department,,,,,,d) I am able to make improvements happen in my area of work,,,,,,e) I am unable to meet all the conflicting demands on my time at work,,,,,,"f) I have adequate materials, supplies and equipment to do my work",,,,,,g) There are enough staff at this organisation for me to do my job properly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Never,Rarely,Sometimes,Often ,Always,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Emergency Care Practitioners,--,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,--,--,--,--,--,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Paramedics,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,0,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Emergency Care Assistants,--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Ambulance Control staff,--,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Patient Transport Service,--,3,15,20,27,35,47,3,11,17,19,50,46,1,11,18,23,46,47,6,11,5,59,19,47,8,7,9,47,28,47,4,7,2,38,48,47,8,8,5,29,51,47,5,10,19,42,24,47,7,17,10,41,25,46,16,20,25,27,12,45,7,22,29,24,18,47,13,38,20,21,9,45,2,21,23,40,15,47,13,9,24,46,9,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Medical / Dental staff,--,2,8,26,44,20,"5,125",1,4,19,43,33,"5,123",1,3,16,40,40,"5,122",2,6,15,58,20,"5,129",1,4,7,57,31,"5,128",1,2,4,52,42,"5,120",2,8,10,52,28,"5,107",2,9,16,52,20,"5,121",3,8,15,55,20,"5,125",7,17,20,40,16,"5,121",6,15,25,41,13,"5,108",4,24,27,31,14,"5,111",7,21,19,46,8,"5,117",16,30,20,29,5,"5,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (consultants),--,3,8,26,43,21,"2,946",1,5,19,42,33,"2,945",1,3,15,38,42,"2,948",2,6,15,57,20,"2,950",1,4,6,55,34,"2,949",1,2,4,46,46,"2,944",3,10,11,49,27,"2,940",3,9,15,51,22,"2,945",3,6,10,56,24,"2,949",7,12,14,44,22,"2,945",7,13,20,43,17,"2,938",4,20,24,34,19,"2,941",9,25,21,39,6,"2,944",19,33,20,24,4,"2,938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (in training),--,2,7,27,48,16,"1,141",1,3,20,47,29,"1,142",1,3,18,46,32,"1,139",1,5,10,64,20,"1,142",2,6,11,58,23,"1,141",1,2,5,64,28,"1,138",2,6,8,61,24,"1,133",1,10,13,59,18,"1,141",1,11,21,55,12,"1,139",6,28,30,30,6,"1,140",4,19,35,35,6,"1,138",3,30,30,30,7,"1,137",4,15,17,55,10,"1,138",11,29,19,36,6,"1,138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (other),--,2,9,25,40,23,"1,038",1,4,19,42,34,"1,036",1,3,16,41,40,"1,035",2,7,19,52,20,"1,037",1,5,8,55,31,"1,038",1,1,5,53,41,"1,038",1,5,7,51,37,"1,034",3,9,24,50,14,"1,035",3,9,21,54,13,"1,037",8,22,28,35,8,"1,036",6,18,29,39,8,"1,032",5,27,33,27,7,"1,033",3,16,16,53,11,"1,035",13,26,20,34,7,"1,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Registered Nurses and Midwives,--,3,10,34,37,16,"17,439",1,4,23,39,33,"17,419",1,3,17,34,45,"17,401",1,6,15,56,22,"17,469",1,4,7,54,35,"17,480",1,2,5,49,43,"17,470",3,12,11,44,30,"17,441",2,8,16,53,22,"17,462",2,7,14,55,21,"17,464",6,17,22,39,16,"17,445",4,14,26,41,15,"17,418",4,21,28,35,14,"17,352",7,22,20,43,8,"17,415",22,33,20,21,4,"17,416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  adult / general nurses,--,3,11,33,37,16,"12,300",1,4,23,38,34,"12,281",1,3,16,33,47,"12,271",1,6,14,56,23,"12,320",1,5,6,53,35,"12,326",1,2,6,48,44,"12,319",3,11,11,43,32,"12,302",2,7,15,53,22,"12,308",2,7,15,54,22,"12,317",6,17,22,39,17,"12,299",3,14,25,42,16,"12,278",4,21,28,34,13,"12,225",6,21,19,44,10,"12,273",20,32,22,22,4,"12,277",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  mental health nurses,--,0,16,14,50,20,70,0,12,9,44,35,69,2,4,14,37,43,69,2,10,18,52,19,70,2,2,15,56,24,70,0,4,8,45,43,70,6,8,12,38,36,70,3,4,11,56,26,70,2,6,6,46,39,70,9,9,7,50,25,70,5,7,15,53,20,70,5,29,23,37,6,70,8,22,20,35,14,70,21,28,16,29,6,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  learning disabilities nurses,--,1,0,40,42,17,52,1,0,21,38,41,52,1,3,15,44,37,52,3,10,9,49,29,52,3,7,14,46,30,52,1,2,6,46,46,52,0,13,10,38,39,52,0,10,15,34,41,52,0,11,18,42,28,52,13,12,21,28,26,52,2,14,15,37,33,52,2,28,29,25,16,52,13,18,21,40,8,52,11,35,24,19,11,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  children nurses,--,2,9,35,42,12,"1,540",1,3,23,45,28,"1,538",1,2,21,42,33,"1,538",1,5,17,61,16,"1,544",1,4,6,60,29,"1,543",0,1,5,54,40,"1,543",2,12,12,49,25,"1,541",1,8,15,56,21,"1,542",1,7,14,59,19,"1,543",4,16,24,41,15,"1,542",2,14,28,42,13,"1,541",3,23,32,33,9,"1,538",5,21,25,42,7,"1,540",16,36,21,23,4,"1,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  midwives,--,3,11,35,39,12,"1,817",1,5,25,41,28,"1,815",1,4,17,35,43,"1,818",1,6,16,59,19,"1,817",1,4,5,56,34,"1,821",1,1,5,50,43,"1,820",5,19,13,42,22,"1,813",2,11,17,51,19,"1,823",2,9,16,56,17,"1,818",7,22,22,35,13,"1,818",5,19,28,36,12,"1,816",3,16,20,42,19,"1,811",12,33,20,31,4,"1,818",33,40,14,11,2,"1,819",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  health visitors,--,3,16,24,47,10,272,2,3,21,44,30,274,2,0,10,26,62,270,1,8,20,45,26,273,1,8,7,50,35,274,2,5,7,46,40,274,7,18,19,38,18,273,5,14,18,46,17,273,2,9,10,57,23,274,8,23,17,40,12,274,6,15,23,45,11,272,4,16,24,31,24,274,12,35,16,32,5,271,30,43,14,11,2,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  district / community nurses,--,3,8,30,40,19,525,1,2,23,40,34,525,1,3,10,28,57,522,1,7,13,56,23,525,1,6,8,50,35,525,0,1,5,45,49,523,5,12,9,43,32,522,1,9,14,52,25,525,2,5,11,57,25,524,4,12,22,46,17,524,4,10,23,46,17,524,3,23,23,33,19,518,5,24,17,45,8,523,22,33,19,21,5,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  other registered nurses,--,3,9,33,36,19,863,2,4,21,37,36,865,1,4,19,30,46,861,3,7,14,53,23,868,2,5,8,49,36,869,1,2,5,46,46,869,3,8,8,46,35,868,3,8,16,52,21,869,3,7,13,54,23,866,7,14,21,42,16,866,5,11,25,44,15,865,4,22,31,32,11,864,7,20,20,43,10,868,19,32,21,22,5,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Nursing or Healthcare Assistants,--,3,8,32,35,22,"4,877",1,4,21,33,40,"4,854",2,3,23,32,39,"4,861",2,6,19,53,20,"4,863",1,3,5,54,37,"4,891",1,1,4,49,45,"4,882",2,5,7,43,44,"4,883",2,9,21,52,16,"4,876",3,10,21,52,13,"4,887",7,23,30,31,8,"4,866",5,19,31,36,8,"4,861",5,23,36,29,7,"4,810",5,16,20,48,12,"4,862",18,30,24,23,6,"4,866",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Social care staff,--,0,12,23,44,21,77,0,7,18,32,43,77,1,5,23,26,45,77,2,8,12,58,19,77,2,3,5,58,32,77,2,0,3,54,41,77,2,9,2,47,39,76,0,7,16,56,20,76,2,4,14,64,16,76,3,18,30,42,8,77,3,13,23,43,19,77,3,19,31,27,20,76,1,19,17,49,14,76,10,44,17,21,8,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  social workers,--,0,19,15,60,6,20,0,6,15,44,35,20,0,12,24,25,40,20,1,6,12,74,7,20,1,0,6,56,37,20,0,0,3,60,37,20,0,19,7,50,24,20,0,13,13,50,24,20,0,7,6,69,18,20,0,7,44,43,6,20,0,13,37,32,18,20,0,7,47,19,26,20,1,24,18,40,18,20,9,49,19,12,12,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  social care managers,--,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,--,--,--,--,--,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  social care support staff,--,0,11,29,36,23,48,0,11,20,29,41,48,1,4,25,27,42,48,3,7,13,54,24,48,3,4,5,56,33,48,3,0,4,51,42,48,3,4,1,46,46,47,0,7,19,60,15,47,3,5,18,64,9,47,5,23,28,40,4,48,4,16,19,44,18,48,4,23,24,36,13,47,1,16,16,54,14,47,12,35,18,25,9,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Public Health / Health Improvement,--,2,9,32,34,24,192,1,4,19,42,34,189,1,2,21,30,47,190,0,3,14,51,31,192,1,2,9,51,37,194,1,2,1,44,52,192,2,7,2,46,42,190,2,10,17,47,25,190,0,8,14,47,30,192,6,12,22,42,19,193,3,11,21,47,19,188,4,24,28,38,5,187,3,17,20,45,15,190,7,23,24,40,6,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Commissioning managers / support staff,--,9,16,26,35,13,67,0,10,22,47,21,66,2,9,18,37,34,65,1,9,18,57,15,67,3,8,9,56,25,68,8,2,4,46,40,67,6,15,5,37,38,68,5,15,12,42,26,66,2,13,10,51,24,66,9,16,29,32,14,65,5,12,22,44,17,66,6,30,20,19,25,64,11,6,10,58,16,66,22,24,24,24,7,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Wider Healthcare Team,--,5,13,34,32,16,"16,764",3,8,28,32,29,"16,717",2,5,21,32,40,"16,745",3,8,19,52,18,"16,752",2,6,8,55,29,"16,815",1,2,6,50,40,"16,807",2,7,8,47,37,"16,782",3,12,21,48,16,"16,730",4,10,17,53,16,"16,759",9,21,24,35,12,"16,730",6,16,26,40,12,"16,691",5,28,29,28,9,"16,620",6,17,18,50,10,"16,730",14,26,24,30,6,"16,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  admin & clerical staff,--,5,13,35,32,15,"10,187",3,8,29,32,28,"10,156",2,5,21,33,39,"10,170",3,8,20,53,17,"10,181",2,6,7,56,29,"10,212",1,2,5,50,41,"10,204",2,6,7,47,38,"10,190",3,12,22,49,14,"10,173",3,9,17,55,14,"10,192",9,21,24,36,10,"10,175",6,17,27,40,10,"10,149",5,29,30,28,8,"10,108",6,17,18,51,9,"10,161",15,27,24,29,5,"10,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  central functions / corporate services,--,4,14,35,35,12,"3,289",2,7,29,38,24,"3,287",2,5,21,35,37,"3,287",4,11,17,51,18,"3,288",2,10,11,52,25,"3,289",1,3,8,49,39,"3,292",2,10,10,50,27,"3,283",2,9,15,51,23,"3,288",2,6,11,55,27,"3,290",6,15,18,41,20,"3,286",3,12,19,47,20,"3,285",4,26,25,32,13,"3,279",5,15,16,54,10,"3,285",12,28,24,31,6,"3,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  maintenance / ancillary,--,5,12,33,27,23,"3,288",3,8,27,27,34,"3,274",3,4,21,28,44,"3,288",4,9,22,48,18,"3,283",2,5,9,53,31,"3,314",2,2,8,49,39,"3,311",3,5,9,42,41,"3,309",5,13,27,42,14,"3,269",6,15,22,44,14,"3,277",13,24,26,29,9,"3,269",9,20,27,34,10,"3,257",6,24,32,28,10,"3,233",9,18,19,43,11,"3,284",16,25,24,29,6,"3,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,General managers,--,3,10,28,41,18,"1,203",1,5,20,39,35,"1,202",1,3,11,29,56,"1,198",3,10,11,50,26,"1,203",2,8,9,50,31,"1,204",1,4,7,42,46,"1,203",2,11,11,46,30,"1,201",2,5,9,44,41,"1,204",2,2,7,45,45,"1,203",3,6,10,39,42,"1,203",2,5,9,44,41,"1,203",5,21,20,34,19,"1,200",4,15,17,48,17,"1,199",10,30,22,30,9,"1,197",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Full time staff,--,4,11,33,36,16,"47,836",2,5,24,37,32,"47,741",2,4,20,34,41,"47,767",2,7,16,55,20,"47,861",1,5,8,54,32,"47,946",1,2,6,49,42,"47,925",3,9,9,46,33,"47,847",3,9,17,51,20,"47,843",3,8,15,54,20,"47,885",7,17,22,38,15,"47,802",5,15,24,42,15,"47,751",4,24,28,32,12,"47,533",6,19,19,46,9,"47,764",18,31,21,25,5,"47,745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Part time staff,--,3,10,33,36,16,"14,747",1,5,26,37,30,"14,716",1,3,19,36,41,"14,737",2,7,18,56,17,"14,733",1,4,6,59,29,"14,783",1,1,4,54,40,"14,782",2,8,8,48,33,"14,750",3,11,22,50,15,"14,723",3,9,17,56,15,"14,739",7,21,26,36,10,"14,726",5,17,30,39,9,"14,664",5,26,30,30,10,"14,638",6,18,19,48,9,"14,714",16,29,22,28,5,"14,697",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 16-30,--,4,12,35,38,11,"9,058",2,6,23,43,27,"9,041",2,5,25,40,28,"9,041",1,7,16,59,18,"9,054",1,6,8,57,28,"9,050",1,2,5,52,40,"9,044",2,7,9,49,34,"9,028",2,10,16,54,19,"9,050",3,9,17,55,17,"9,042",8,21,25,36,10,"9,037",5,17,29,39,10,"9,033",5,29,31,28,8,"8,976",5,18,17,50,11,"9,030",18,28,20,28,6,"9,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 31-40,--,4,12,33,37,15,"12,331",1,5,25,39,29,"12,329",2,4,20,37,37,"12,330",2,8,15,56,19,"12,362",1,5,8,55,31,"12,364",1,2,5,50,43,"12,360",2,8,9,48,33,"12,331",2,9,17,52,19,"12,343",2,7,14,56,21,"12,353",7,17,22,39,15,"12,348",4,14,24,43,14,"12,328",4,24,29,31,11,"12,259",6,19,19,48,9,"12,319",18,30,21,26,5,"12,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 41-50,--,4,11,32,36,17,"17,411",2,5,25,37,32,"17,366",2,3,19,34,43,"17,374",2,7,17,54,20,"17,420",1,5,7,54,32,"17,442",1,2,5,48,43,"17,428",3,9,9,46,33,"17,403",3,9,18,50,20,"17,396",3,7,15,55,21,"17,419",7,17,22,39,16,"17,393",5,14,25,42,15,"17,366",4,23,28,32,13,"17,308",6,19,19,46,9,"17,383",18,31,22,25,5,"17,380",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 51 or over,--,4,10,32,35,19,"23,710",2,5,25,33,35,"23,641",1,3,18,31,47,"23,677",2,7,18,54,20,"23,675",1,4,7,55,32,"23,799",1,2,6,50,42,"23,786",3,9,9,46,34,"23,759",3,10,21,49,18,"23,690",3,8,16,53,19,"23,727",7,19,23,36,14,"23,661",5,16,26,40,13,"23,595",4,24,28,32,12,"23,531",7,19,20,45,9,"23,664",17,31,23,25,5,"23,644",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Men,--,5,12,29,34,20,"12,320",3,7,23,35,32,"12,291",3,5,21,35,37,"12,295",3,8,16,52,20,"12,328",2,6,9,53,31,"12,339",2,3,6,47,43,"12,332",3,8,9,46,34,"12,320",4,10,18,48,20,"12,313",4,8,15,52,21,"12,317",9,17,21,37,16,"12,306",6,14,22,42,15,"12,285",5,24,29,30,12,"12,253",7,18,20,45,10,"12,287",18,27,22,28,6,"12,293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Women,--,4,11,34,37,16,"48,499",1,5,25,37,31,"48,398",1,3,19,35,42,"48,435",2,7,17,56,19,"48,492",1,5,7,56,31,"48,612",1,2,5,50,42,"48,580",2,9,9,47,33,"48,499",2,9,19,51,19,"48,475",3,8,15,55,19,"48,535",7,19,23,38,14,"48,456",4,15,27,41,13,"48,363",4,24,29,32,11,"48,147",6,19,19,47,9,"48,416",18,31,22,25,5,"48,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Disabled staff,--,6,14,34,32,14,"9,532",3,8,28,33,29,"9,502",3,5,23,33,36,"9,515",3,9,19,51,17,"9,533",2,6,8,53,30,"9,540",2,3,7,49,39,"9,543",4,10,10,44,32,"9,526",4,13,22,45,16,"9,529",4,10,17,51,17,"9,530",11,21,23,33,12,"9,517",7,19,27,36,11,"9,499",5,22,29,31,13,"9,467",9,22,20,41,8,"9,514",22,31,21,21,4,"9,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Non-disabled staff,--,3,11,33,37,17,"51,896",1,5,24,37,32,"51,798",1,3,19,35,41,"51,819",2,7,16,56,19,"51,888",1,5,7,55,31,"52,016",1,2,5,50,42,"51,984",2,8,9,47,34,"51,892",2,9,18,51,19,"51,868",2,8,15,55,20,"51,929",7,18,23,39,15,"51,844",4,15,26,42,14,"51,759",4,25,29,31,11,"51,544",6,18,19,48,10,"51,798",17,30,22,26,5,"51,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White staff (summary),--,4,12,34,37,14,"53,046",2,6,26,38,29,"52,952",2,4,20,35,39,"52,987",2,8,18,55,18,"53,033",1,6,8,56,29,"53,137",1,2,5,51,41,"53,122",3,9,9,48,31,"53,047",3,10,18,50,19,"53,013",3,8,15,55,20,"53,051",7,19,22,38,15,"52,980",5,16,26,40,13,"52,886",4,24,28,32,12,"52,731",6,20,19,46,9,"52,944",18,31,21,25,5,"52,911",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Non-white staff (summary),--,2,6,25,35,31,"9,149",2,4,18,31,46,"9,115",1,3,17,29,50,"9,131",2,3,12,54,29,"9,171",1,2,5,49,42,"9,203",1,1,4,44,49,"9,192",2,4,7,42,46,"9,170",3,9,19,52,18,"9,159",3,8,18,53,18,"9,177",7,17,27,37,12,"9,147",5,11,26,45,13,"9,128",5,24,32,31,8,"9,039",4,13,18,51,14,"9,145",15,25,24,30,7,"9,145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White British staff,--,4,12,34,37,14,"49,818",2,6,26,38,29,"49,727",2,4,20,35,39,"49,766",2,8,18,55,17,"49,801",1,6,8,56,29,"49,908",1,2,5,51,41,"49,894",3,10,10,47,31,"49,822",2,10,18,50,19,"49,788",3,8,15,55,20,"49,821",7,18,22,38,15,"49,757",5,16,25,40,14,"49,668",4,24,28,32,12,"49,542",6,20,19,46,8,"49,729",18,31,21,25,5,"49,698",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White Irish staff,--,3,10,35,36,16,982,1,5,23,37,34,979,1,2,15,31,50,978,2,6,15,57,20,983,2,5,7,58,28,979,2,3,4,51,40,983,4,11,9,49,27,983,4,10,15,51,21,981,3,9,14,51,23,980,7,19,17,39,17,977,6,15,23,37,19,976,5,21,27,33,15,972,9,19,18,46,9,974,18,32,19,26,5,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
