5.T&N,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK telecoms industry key statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Fixed voice,28.61,27.13,25.84,24.73,24.04,22.06,,,,,,,,,,,,,,,,,,,,,
Mobile voice & data,37.94,37.81,36.51,35.05,33.49,32.21,,,,,,,,,,,,,,,,,,,,,
Fixed internet,11.92,11.06,10.68,11.02,10.53,10.78,,,,,,,,,,,,,,,,,,,,,
Total,78.46,76,73.04,70.81,68.06,65.04,,,,,,,,,,,,,,,,,,,,,
As a proportion of total household spend,3.40%,3.40%,3.30%,3.30%,3.20%,3.00%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators / ONS,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Includes estimates where Ofcom does not receive data from operators; adjusted to RPI; includes VAT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comparison of average fixed and mobile voice call charges,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pence per minute ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Fixed,7,7.6,7.9,7.8,7.7,8.3,,,,,,,,,,,,,,,,,,,,,
Mobile,12.3,10.9,10,9,8.5,8.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators; fixed calculation excludes non-geographic voice calls ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household penetration of fixed and mobile broadband ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,
Any broadband,52,58,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed only,,,56,56,58,64,,,,,,,,,,,,,,,,,,,,,
Fixed and mobile,,,9,9,9,8,,,,,,,,,,,,,,,,,,,,,
Mobile only,,,3,6,7,5,,,,,,,,,,,,,,,,,,,,,
None,48,42,32,29,26,24,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, data as at Q1 of each year ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household penetration of key telecoms technologies,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of adults (%),,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,
Mobile telephony,93,93,92,92,93,94,,,,,,,,,,,,,,,,,,,,,
Fixed telephony,90,88,87,85,85,84,,,,,,,,,,,,,,,,,,,,,
Internet connection,64,67,70,73,76,79,,,,,,,,,,,,,,,,,,,,,
Total broadband,52,58,68,71,74,76,,,,,,,,,,,,,,,,,,,,,
Fixed broadband,,,65,65,67,72,,,,,,,,,,,,,,,,,,,,,
Mobile data user,,,27,30,38,42,,,,,,,,,,,,,,,,,,,,,
Internet on mobile,,,20,21,32,39,,,,,,,,,,,,,,,,,,,,,
Mobile broadband,,,12,15,17,13,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"QE1: Does your household have a PC or laptop computer? / QE2: Do you or does anyone in your household have access to the Internet/Worldwide Web at HOME (via any device, e.g. PC, mobile phone etc)? / QE6: Which of these methods does your household use to connect to the Internet at home?",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, data as at Q1 of each year",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household penetration of fixed and mobile telephony,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,
Fixed only,7,8,7,7,6,5,,,,,,,,,,,,,,,,,,,,,
Fixed and mobile,84,81,80,78,79,79,,,,,,,,,,,,,,,,,,,,,
Mobile only,9,11,12,14,15,15,,,,,,,,,,,,,,,,,,,,,
None,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, data as at Q1 of each year ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average monthly time per person spent using telecoms services,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hours per month ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2011,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed voice,6.1,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile voice,5,5,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile messaging,6.1,7.5,,,,,,,,,,,,,,,,,,,,,,,,,
Member communities,3.1,3.3,,,,,,,,,,,,,,,,,,,,,,,,,
Email,1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile internet,1.7,2.1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators / Nielsen / UKOM / Comscore / Strategy Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators; fixed voice call figures include NTS voice calls; mobile messaging figures are Ofcom estimates based on message volume data and Ofcom Digital Day research conducted in 2010; Ofcom estimate of member communities and email use per person is based on Nielsen’s data on the average monthly time spent using these services at home and work on a PC/laptop including the use of applications in March of each year across the online population only. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real cost of a basket of residential fixed voice services,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month (2011 prices) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Fixed access & UK geographic calls,18.31,18.17,18.08,17.81,17.86,17.66,,,,,,,,,,,,,,,,,,,,,
International calls,2.35,1.93,1.58,1.34,1.22,1.01,,,,,,,,,,,,,,,,,,,,,
Calls to mobiles,2.49,2.79,2.96,3.01,3.06,2.97,,,,,,,,,,,,,,,,,,,,,
Total,23.15,22.9,22.62,22.17,22.15,21.65,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators; excludes non-geographic voice calls; adjusted for RPI; includes VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of fixed voice communication services in the home ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Personally use a landline,Have ever used VoIP,Currently use VoIP,,,,,,,,,,,,,,,,,,,,,,,,
All respondents,82%,26%,21%,,,,,,,,,,,,,,,,,,,,,,,,
16-24,61%,30%,22%,,,,,,,,,,,,,,,,,,,,,,,,
25-34,72%,32%,25%,,,,,,,,,,,,,,,,,,,,,,,,
35-54,87%,31%,24%,,,,,,,,,,,,,,,,,,,,,,,,
55-64,91%,21%,17%,,,,,,,,,,,,,,,,,,,,,,,,
All aged 65 or older,95%,12%,9%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average monthly outbound fixed voice call volumes per person ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes per month ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
UK geographic calls,146,132,125,119,118,105,,,,,,,,,,,,,,,,,,,,,
Outgoing international calls,9,9,10,9,10,9,,,,,,,,,,,,,,,,,,,,,
Calls to mobiles,22,20,18,17,16,14,,,,,,,,,,,,,,,,,,,,,
NTS voice calls,33,42,38,31,29,26,,,,,,,,,,,,,,,,,,,,,
Total,210,203,190,177,172,154,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average per-minute fixed voice call charges,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pence per minute ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Calls to mobiles,11,12,12.5,12.9,12.5,11.9,,,,,,,,,,,,,,,,,,,,,
Average for these call types,7,7.6,7.9,7.8,7.7,8.3,,,,,,,,,,,,,,,,,,,,,
UK geographic,6.2,6.8,7.2,7.2,7.2,8,,,,,,,,,,,,,,,,,,,,,
International,10,9.3,8.5,7.2,6.6,5.9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators; UK geographic calls calculation includes line rental revenues ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall consumer satisfaction with residential fixed-line services,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of all adults with service (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,
Very satisfied,56,57,57,57,56,,,,,,,,,,,,,,,,,,,,,,
Fairly satisfied,32,34,34,32,34,,,,,,,,,,,,,,,,,,,,,,
Total,88,91,91,89,89,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom research,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ with a fixed line phone ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes only those who expressed an opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimated average monthly cost of a residential fixed broadband connection ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,£ per month ,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
£ per month,23.6,20.51,18.09,17.59,15.96,15.73,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Take-up of fixed and mobile broadband services, by age ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All adults,,,,16-24,,,,24-34,,,,35-54,,,,55-64,,,,65-74,,,,75+,,
,2010,2011,2012,,2010,2011,2012,,2010,2011,2012,,2010,2011,2012,,2010,2011,2012,,2010,2011,2012,,2010,2011,2012
Fixed broadband only,56,58,64,,54,50,61,,60,59,64,,66,68,73,,58,63,66,,45,49,60,,20,25,25
Fixed and mobile broadband,9,9,8,,12,13,12,,10,14,12,,11,11,9,,5,6,4,,1,2,2,,1,,
Total broadband,65,67,72,,66,63,73,,70,73,76,,77,79,82,,63,69,70,,46,51,62,,21,25,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, data as at Q1 of each year",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-ownership of home broadband, by socio-economic group and age  ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All,,ABC1,C2,DE,,15-24,25-34,35-54,55-64,65-74,75+,,,,,,,,,,,,,,,
2010,29,,19,31,48,,23,19,17,34,52,79,,,,,,,,,,,,,,,
2011,26,,16,26,45,,22,15,14,28,47,75,,,,,,,,,,,,,,,
2012,24,,14,26,43,,17,17,14,27,36,74,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, data as at Q1 of each year ",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults 16+,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main reasons for not having a home broadband connection  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of those without broadband (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Don't need it,Don’t want a computer,Don't have knowledge / skills ,Too expensive,Too old to use internet,Likely to get in next year,,,,,,,,,,,,,,,,,,,,,
Q1 2012,41,25,19,18,18,17,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom research,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: 6% of people without the internet did not know what their main reason was or provided an ‘other’ reason,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults without the internet aged 16+,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location of internet access,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of adults aged 16+ (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,
At home,72,74,77,,,,,,,,,,,,,,,,,,,,,,,,
At work,25,24,26,,,,,,,,,,,,,,,,,,,,,,,,
At someone elses house,10,11,14,,,,,,,,,,,,,,,,,,,,,,,,
At library or educational institution,11,10,11,,,,,,,,,,,,,,,,,,,,,,,,
At internet cafe,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,
All other locations,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, data as at Q1 of each year",,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All internet users aged 16+ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.70,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average time per person spent online using a PC/laptop at home ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hours per month ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,
Hours per month ,8.7,11.3,13.4,13.7,13.9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / Nielsen / UKOM,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Ofcom estimate of fixed internet use per person is based on Nielsen’s data on the average monthly time spent online at home including the use of applications across the online population only; data are for May of each year. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residential consumer satisfaction with aspects of fixed broadband service ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of all adults with service (per cent) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008,2009,2010,2011,2012,,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,
Very satisfied,55,52,50,46,43,,49,45,42,39,39,,,,,,,,,,,,,,,,
Fairly satisfied,34,38,40,41,44,,34,36,38,41,41,,,,,,,,,,,,,,,,
Total,89,90,90,86,87,,83,81,80,80,80,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom research,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All adults aged 16+ with a fixed broadband connection ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes only those who expressed an opinion,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real cost of a basket of mobile services,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month (2011 prices) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
"Line rental fee, UK landline calls and inclusive calls, texts and data",10.57,10.47,10.15,9.17,8.76,8.78,,,,,,,,,,,,,,,,,,,,,
Metered voice,7.08,4.91,3.93,3.38,2.84,2.38,,,,,,,,,,,,,,,,,,,,,
Metered messaging,10.21,8.44,6.57,4.83,3.83,3.09,,,,,,,,,,,,,,,,,,,,,
Total,27.86,23.82,20.64,17.38,15.44,14.25,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators; excludes non-geographic voice calls; adjusted for RPI; includes VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Average cost per mobile voice call minute, by customer type",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pence per minute ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006,2007,2008,2009,2010,2011,,,,,,,,,,,,,,,,,,,,,
Pay monthly,12.5,11.5,10.7,9.5,8.7,8.6,,,,,,,,,,,,,,,,,,,,,
Pre-pay,11.6,8.9,7.8,7.5,7.6,8.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Ofcom / operators,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Includes estimates where Ofcom does not receive data from operators; contract calculation includes rental element which will often includes a number of inclusive messages and data allowance; calculations use actual minutes of usage ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract lengths for new post-pay mobile connections ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of sales (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q1 2007,Q2,Q3,Q4,Q1 2008,Q2,Q3,Q4,Q1 2009,Q2,Q3,Q4,Q1 2010,Q2,Q3,Q4,Q1 2011,Q2,Q3,Q4,Q1 2012,,,,,,
1 month,,,2,13,10,15,19,24,24,21,20,21,21,18,17,17,19,18,18,14,14,,,,,,
12 months,19,16,15,11,13,12,8,5,3,3,3,3,4,7,8,8,10,9,11,13,16,,,,,,
18 months,80,84,82,75,72,68,67,63,60,50,35,28,24,12,6,4,3,3,2,3,2,,,,,,
24 months,1,1,1,1,2,3,5,7,13,26,41,47,50,63,69,70,68,70,69,70,67,,,,,,
Other,,,,1,4,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: GfK Retail and Technology UK Ltd, Contract Length Sales of new Mobile Connections, Q1 2007 to Q1 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: England, Scotland and Wales only (excludes Northern Ireland); based on GfK’s coverage of",,,,,,,,,,,,,,,,,,,,,,,,,,,
94% of the consumer market; based on new post-pay connections; excludes contract renewals; only,,,,,,,,,,,,,,,,,,,,,,,,,,,
represents sales through consumer channels (i.e. most business connections are excluded). ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly line rental prices for new post-pay mobile connections ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of sales (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q1 2007,Q2,Q3,Q4,Q1 2008,Q2,Q3,Q4,Q1 2009,Q2,Q3,Q4,Q1 2010,Q2,Q3,Q4,Q1 2011,Q2,Q3,Q4,Q1 2012,,,,,,
£0-14.99,0,0,0,6,7,6,7,7,12,12,12,13,15,18,17,18,20,24,26,26,29,,,,,,
£15-19.99,5,5,8,12,15,17,17,19,20,21,23,23,22,20,19,18,17,18,19,20,20,,,,,,
"£20-24,99",4,4,9,6,6,6,8,10,10,13,13,13,13,13,15,16,14,13,13,11,11,,,,,,
£25-29.99,14,16,11,13,13,14,11,8,7,10,10,11,11,14,15,17,21,14,12,10,10,,,,,,
£30-34.99,14,9,9,6,8,10,14,11,14,13,12,13,12,13,11,10,7,8,8,9,9,,,,,,
£35-39.99,46,43,41,38,34,31,30,28,26,19,15,15,14,11,13,13,12,14,14,15,14,,,,,,
£40+,17,23,21,19,17,15,15,16,12,13,15,12,13,10,10,10,9,9,8,9,7,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: GfK Retail and Technology UK Ltd, Contract Handset Acquisitions: price segments.",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes: England, Scotland and Wales only (excludes Northern Ireland); based on GfK’s coverage of 94% of the consumer market; based on new post-pay connections; excludes contract renewals; only represents sales through consumer channels (i.e. most business connections are excluded). ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
