4.IWBC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.01,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 4.1,,,,,,,,,,,,,,,,,,,,,,,,,,
UK internet and web-based content market: key statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
UK internet and web-based content market ,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,
,Streamed audio services,Uploading/ adding content to internet,Listening to radio,Realtime gambling/auctions,Instant messaging,Finding/ downloading info for college,Find health information,Downloading music/films/video clips,Playing games,Using local council/ Government websites,Watching video clips/ webcasts,Finding/ downloading info for work,TV/ Video viewing,Finding/ downloading info for personal use,Using social networking sites,Banking,Purchasing goods/services,General surfing/browsing,Sending and receiving email,Any,,,,,,
Used in the past week,5,10,12,10,22,26,14,21,26,16,29,31,35,42,55,49,41,78,79,97,,,,,,
Use less often,5,9,8,11,10,12,25,19,14,25,15,16,22,19,9,15,33,10,10,2,,,,,,
Total (Q1 2012),10,19,20,21,32,38,39,40,40,41,44,47,57,62,64,64,74,88,89,99,,,,,,
Total (Q1 2011 ),7,17,19,21,34,36,36,38,39,40,41,45,55,59,60,61,72,88,89,98,,,,,,
Change since Q1 2011 (%-age points),3,2,1,0,-2,2,3,2,1,1,3,2,2,3,4,3,2,0,0,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"QE5. Which, if any, of these do you or members of your household use the internet for whilst at home?",,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, Q1 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Base: Adults 16+ with a broadband connection at home (n=2727 UK),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.36,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Time spent on selected activities on desktop and laptop computers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total time (millions of hrs),Time per user (hh:mm:ss),,,,,,,,,,,,,,,,,,,,,,,,
Member Communities,190.4,6:31:54,,,,,,,,,,,,,,,,,,,,,,,,
Online Games,72.7,4:24:34,,,,,,,,,,,,,,,,,,,,,,,,
E-mail,51.7,2:04:07,,,,,,,,,,,,,,,,,,,,,,,,
Videos/Movies,43.3,1:45:01,,,,,,,,,,,,,,,,,,,,,,,,
Classifieds/Auctions,37.7,1:58:52,,,,,,,,,,,,,,,,,,,,,,,,
Instant Messaging,35.6,2:00:44,,,,,,,,,,,,,,,,,,,,,,,,
General Interest Portals & Communities,34,1:02:48,,,,,,,,,,,,,,,,,,,,,,,,
Search,33.1,0:56:46,,,,,,,,,,,,,,,,,,,,,,,,
Mass Merchandiser,23.7,0:58:07,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, applications included,",,,,,,,,,,,,,,,,,,,,,,,,,,
month of March 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
Note (1): Total time is the total time spent on websites and applications within the specified category.,,,,,,,,,,,,,,,,,,,,,,,,,,
Note (2): Time per user is the total time spent on websites and applications within the specified,,,,,,,,,,,,,,,,,,,,,,,,,,
category divided by its unique audience.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional calculations,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hours,Minutes,Seconds,Decimalised,,,,,,,,,,,,,,,,,,,,,,
Member Communities,6,31,54,6.5,,,,,,,,,,,,,,,,,,,,,,
Online Games,4,24,34,4.4,,,,,,,,,,,,,,,,,,,,,,
E-mail,2,4,7,2.1,,,,,,,,,,,,,,,,,,,,,,
Videos/Movies,1,45,1,1.8,,,,,,,,,,,,,,,,,,,,,,
Classifieds/Auctions,1,58,52,2,,,,,,,,,,,,,,,,,,,,,,
Instant Messaging,2,0,44,2,,,,,,,,,,,,,,,,,,,,,,
General Interest Portals & Communities,1,2,48,1,,,,,,,,,,,,,,,,,,,,,,
Search,0,56,46,0.9,,,,,,,,,,,,,,,,,,,,,,
Mass Merchandiser,0,58,7,1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.37,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leading sites in selected categories, by unique audience",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Site,Unique audience (m),,,,,,,,,,,,,,,,,,,,,,,,
Search Engines,Google Search,31.2,,,,,,,,,,,,,,,,,,,,,,,,
,Yahoo! Search,5.1,,,,,,,,,,,,,,,,,,,,,,,,
,Bing Web,4.9,,,,,,,,,,,,,,,,,,,,,,,,
Social Networks,Facebook,25.7,,,,,,,,,,,,,,,,,,,,,,,,
,Twitter,6.2,,,,,,,,,,,,,,,,,,,,,,,,
,LinkedIn,4,,,,,,,,,,,,,,,,,,,,,,,,
Entertainment,YouTube,20.8,,,,,,,,,,,,,,,,,,,,,,,,
,iTunes,9.6,,,,,,,,,,,,,,,,,,,,,,,,
,BBC iPlayer,7.4,,,,,,,,,,,,,,,,,,,,,,,,
Online shopping,Amazon,18.5,,,,,,,,,,,,,,,,,,,,,,,,
,eBay,17.1,,,,,,,,,,,,,,,,,,,,,,,,
,Tesco,7.3,,,,,,,,,,,,,,,,,,,,,,,,
News and Information,Wikipedia,15.6,,,,,,,,,,,,,,,,,,,,,,,,
,BBC News,10.1,,,,,,,,,,,,,,,,,,,,,,,,
,MailOnline,6.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, applications",,,,,,,,,,,,,,,,,,,,,,,,,,
"included, month of March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Unique audience is the total number of unique persons who have visited a website or used an,,,,,,,,,,,,,,,,,,,,,,,,,,
application at least once in the specified reporting period. Persons visiting the same website or using the,,,,,,,,,,,,,,,,,,,,,,,,,,
same application more than once in the reporting period are only counted once.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.38,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Relative popularity of the top ten websites on desktop and laptop computers, by age group",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
2 to 17,,,,18 to 24,,,,25 to 34,,,,35 to 49,,,,50 to 64,,,,65+,,,,,,
,Unique audience (m),Unique audience composition (%),,,Unique audience (m),Unique audience composition (%),,,Unique audience (m),Unique audience composition (%),,,Unique audience (m),Unique audience composition (%),,,Unique audience (m),Unique audience composition (%),,,Unique audience (m),Unique audience composition (%),,,,
YouTube,2.4,11.53,,YouTube,3.1,14.74,,Microsoft,3,17.24,,eBay,5.3,30.84,,Amazon,5.2,28.3,,Amazon,1.7,9.07,,,,
Google,3.9,11.5,,MSN/Windows Live/Bing,3.5,14.26,,MSN/Windows Live/Bing,4.1,16.96,,BBC,6.2,29.86,,BBC,5.6,26.74,,Microsoft,1.5,8.91,,,,
Facebook,2.8,10.88,,Facebook,3.5,13.71,,Yahoo!,3.2,16.65,,Amazon,5.5,29.67,,Yahoo!,5.2,26.65,,BBC,1.7,8.08,,,,
BBC,2.2,10.51,,Wikipedia,2,12.79,,Facebook,4.2,16.5,,Wikipedia,4.6,29.41,,Microsoft,4.6,26.65,,Wikipedia,1.2,7.41,,,,
MSN/Windows Live/Bing,2.5,10.18,,Yahoo!,2.4,12.51,,YouTube,3.4,16.21,,Yahoo!,5.6,28.7,,eBay,4.5,26.41,,Yahoo!,1.4,7.31,,,,
Wikipedia,1.5,9.52,,Microsoft,2.1,12.46,,eBay,2.8,16.07,,MSN/Windows Live/Bing,6.9,28.25,,Google,8.5,25.28,,eBay,1.2,7.15,,,,
Yahoo!,1.6,8.17,,Google,4.1,12.23,,Google,5.4,15.99,,Google,9.5,28.21,,Wikipedia,3.9,25.17,,Google,2.3,6.79,,,,
eBay,1.4,7.99,,eBay,2,11.53,,Amazon,3,15.97,,Facebook,7.2,28.07,,Facebook,6.2,24.16,,Facebook,1.7,6.68,,,,
Microsoft,1.3,7.65,,BBC,2.2,10.32,,Wikipedia,2.4,15.7,,YouTube,5.7,27.28,,MSN/Windows Live/Bing,5.9,24.06,,YouTube,1.4,6.68,,,,
Amazon,1.2,6.72,,Amazon,1.9,10.27,,BBC,3,14.49,,Microsoft,4.7,27.09,,YouTube,4.9,23.55,,MSN/Windows Live/Bing,1.5,6.29,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, applications",,,,,,,,,,,,,,,,,,,,,,,,,,
"included, month of March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Note (1): Unique audience is the total number of unique persons who have visited a website or used an ,,,,,,,,,,,,,,,,,,,,,,,,,,
application at least once in the specified reporting period. Persons visiting the same website or using the,,,,,,,,,,,,,,,,,,,,,,,,,,
same application more than once in the reporting period are only counted once.,,,,,,,,,,,,,,,,,,,,,,,,,,
Note (2): Unique audience composition is the percentage of the unique audience of a site which is from a ,,,,,,,,,,,,,,,,,,,,,,,,,,
specified demographic group. The ranking of sites is determined by the size of that proportion relative to,,,,,,,,,,,,,,,,,,,,,,,,,,
the unique audience composition of other sites for the same demographic group.,,,,,,,,,,,,,,,,,,,,,,,,,,
Note (3): Google excludes YouTube.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.39,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Most popular applications on desktop and laptop computers, by active reach",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Active reach (%),Time per user (hh:mm:ss),,,,,,,,,,,,,,,,,,,,,,,,
Windows Media Player,30.8,1:04:12,,,,,,,,,,,,,,,,,,,,,,,,
Windows Live Messenger,28.1,0:43:13,,,,,,,,,,,,,,,,,,,,,,,,
iTunes,23.4,1:12:47,,,,,,,,,,,,,,,,,,,,,,,,
Skype,18.8,1:53:27,,,,,,,,,,,,,,,,,,,,,,,,
Windows Live Photo Gallery,9.3,0:20:00,,,,,,,,,,,,,,,,,,,,,,,,
Apple Quick Time,5.4,0:05:10,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Office Help Viewer,5.1,0:01:08,,,,,,,,,,,,,,,,,,,,,,,,
uTorrent,4.8,0:36:40,,,,,,,,,,,,,,,,,,,,,,,,
Real Player,4.8,0:26:20,,,,,,,,,,,,,,,,,,,,,,,,
VLC Media Player,4.7,2:34:38,,,,,,,,,,,,,,,,,,,,,,,,
Spotify,4.4,1:42:19,,,,,,,,,,,,,,,,,,,,,,,,
Google Earth,4.4,0:35:27,,,,,,,,,,,,,,,,,,,,,,,,
Steam,4,0:43:34,,,,,,,,,,,,,,,,,,,,,,,,
Picasa,3.8,0:43:09,,,,,,,,,,,,,,,,,,,,,,,,
Yahoo! Messenger,2.8,3:01:20,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, month of March",,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,
Note (1): Active reach is the percentage of all active 2+ persons who used the application. Active is,,,,,,,,,,,,,,,,,,,,,,,,,,
defined as anyone who used an internet-enabled computer within the specified reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,
Note (2): Time per user is the total time spent on the application divided by its unique audience. This,,,,,,,,,,,,,,,,,,,,,,,,,,
"refers only to the in focus application, towards which keyboard/mouse activity is directed, excluding",,,,,,,,,,,,,,,,,,,,,,,,,,
minimised applications or applications running in the background. The metrics are not always,,,,,,,,,,,,,,,,,,,,,,,,,,
"compatible as applications that tend to require users to keep them in focus the whole time, such as",,,,,,,,,,,,,,,,,,,,,,,,,,
"video or messaging applications, will record higher time per person than audio applications which can",,,,,,,,,,,,,,,,,,,,,,,,,,
run in the background.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional calculations,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hours,Minutes,Seconds,Decimalised,,,,,,,,,,,,,,,,,,,,,,
Windows Media Player,1,4,12,1.1,,,,,,,,,,,,,,,,,,,,,,
Windows Live Messenger,0,43,13,0.7,,,,,,,,,,,,,,,,,,,,,,
iTunes,1,12,47,1.2,,,,,,,,,,,,,,,,,,,,,,
Skype,1,53,27,1.9,,,,,,,,,,,,,,,,,,,,,,
Windows Live Photo Gallery,0,20,0,0.3,,,,,,,,,,,,,,,,,,,,,,
Apple Quick Time,0,5,10,0.1,,,,,,,,,,,,,,,,,,,,,,
Microsoft Office Help Viewer,0,1,8,0,,,,,,,,,,,,,,,,,,,,,,
uTorrent,0,36,40,0.6,,,,,,,,,,,,,,,,,,,,,,
Real Player,0,26,20,0.4,,,,,,,,,,,,,,,,,,,,,,
VLC Media Player,2,34,38,2.6,,,,,,,,,,,,,,,,,,,,,,
Spotify,1,42,19,1.7,,,,,,,,,,,,,,,,,,,,,,
Google Earth,0,35,27,0.6,,,,,,,,,,,,,,,,,,,,,,
Steam,0,43,34,0.7,,,,,,,,,,,,,,,,,,,,,,
Picasa,0,43,9,0.7,,,,,,,,,,,,,,,,,,,,,,
Yahoo! Messenger,3,1,20,3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.40,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Most popular search, email and reference services offered by Google, Microsoft and Yahoo!",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unique audience (m),Page views per visitor,,,,,,,,,,,,,,,,,,,,,,,,
Google Search,31.2,108,,,,,,,,,,,,,,,,,,,,,,,,
Google Maps,17.1,36,,,,,,,,,,,,,,,,,,,,,,,,
Windows Live Hotmail,12.5,167,,,,,,,,,,,,,,,,,,,,,,,,
Google Image Search,12.2,15,,,,,,,,,,,,,,,,,,,,,,,,
Windows Live Messenger,11.4,4,,,,,,,,,,,,,,,,,,,,,,,,
Google Account,9.9,13,,,,,,,,,,,,,,,,,,,,,,,,
Yahoo! Answers,8.5,9,,,,,,,,,,,,,,,,,,,,,,,,
Yahoo! Mail,8.1,235,,,,,,,,,,,,,,,,,,,,,,,,
MSN Homepage,6.8,18,,,,,,,,,,,,,,,,,,,,,,,,
Google Gmail,5.9,126,,,,,,,,,,,,,,,,,,,,,,,,
Yahoo! Homepage,5.7,32,,,,,,,,,,,,,,,,,,,,,,,,
Yahoo! Search,5.1,40,,,,,,,,,,,,,,,,,,,,,,,,
Bing Web,4.9,26,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, applications",,,,,,,,,,,,,,,,,,,,,,,,,,
"included, month of March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Note (1): Unique audience is the total number of unique persons who have visited a website or used an,,,,,,,,,,,,,,,,,,,,,,,,,,
application at least once in the specified reporting period. Persons visiting the same website or using the,,,,,,,,,,,,,,,,,,,,,,,,,,
same application more than once in the reporting period are only counted once.,,,,,,,,,,,,,,,,,,,,,,,,,,
Note (2): Page views per visitor is the total number of times a web page has been requested by a user in,,,,,,,,,,,,,,,,,,,,,,,,,,
the specified reporting period divided by its unique audience. Page views are counted only when they,,,,,,,,,,,,,,,,,,,,,,,,,,
fully load into the browser window.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.41,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique audiences of selected search engines on desktop and laptop computers: March 2011 to March 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,Average unique audience (m),Year on year change (%),,,,,,,,,,,
Total search,35.5,35.4,35.1,34.2,34.2,35.4,35.3,36.2,35.7,36.1,36.1,35,35,35.3,-2,,,,,,,,,,,
Google Search,32.2,31.5,31.8,30.8,30.9,32.2,31.8,32.9,32.4,32.5,32.6,31.9,31.2,31.9,-3,,,,,,,,,,,
Google Image Search,13.8,11.8,11.9,11.5,11.3,11.2,11.5,11.9,12.1,11,11.9,11.9,12.2,11.9,-12,,,,,,,,,,,
Yahoo! Search,7.4,6.8,6.6,6,6.5,6.3,5.8,6,5.5,5.8,6.1,5.2,5.1,6.1,-32,,,,,,,,,,,
Bing Web,8.3,7.8,8.1,6.2,6,5.9,5.4,5.6,5.4,5.4,5.1,5,4.9,6.1,-40,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, March 2011 to",,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Unique audience is the total number of unique persons who have visited a website at least once,,,,,,,,,,,,,,,,,,,,,,,,,,
in the specified reporting period. Persons visiting the same website more than once in the reporting,,,,,,,,,,,,,,,,,,,,,,,,,,
period are only counted once.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.42,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Web browsers' shares of total page views on desktop and laptop computers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Share of total page views (%),,,,,,,,,,,,,,,,,,,,,,,,,
Windows Internet Explorer,38.9,,,,,,,,,,,,,,,,,,,,,,,,,
Google Chrome,28,,,,,,,,,,,,,,,,,,,,,,,,,
Mozilla Firefox,19.8,,,,,,,,,,,,,,,,,,,,,,,,,
Apple Safari,11.6,,,,,,,,,,,,,,,,,,,,,,,,,
Opera,0.9,,,,,,,,,,,,,,,,,,,,,,,,,
Other,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: StatCounter, month of March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Web browser market shares are based on aggregate data collected from across a global network,,,,,,,,,,,,,,,,,,,,,,,,,,
of more than 3 million websites. StatCounter analyses each hit to its member sites to determine whether,,,,,,,,,,,,,,,,,,,,,,,,,,
or not it came from a mobile device and to establish the browser used. The desktop and laptop computer,,,,,,,,,,,,,,,,,,,,,,,,,,
sample exceeds 872  million page views per month for the UK.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.43,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Web browsers' shares of total page views on mobile devices,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Share of total page views (%),,,,,,,,,,,,,,,,,,,,,,,,,
Apple Safari,42.4,,,,,,,,,,,,,,,,,,,,,,,,,
BlackBerry,29.7,,,,,,,,,,,,,,,,,,,,,,,,,
Android,20.7,,,,,,,,,,,,,,,,,,,,,,,,,
Opera,3.4,,,,,,,,,,,,,,,,,,,,,,,,,
Windows Internet Explorer Mobile,0.8,,,,,,,,,,,,,,,,,,,,,,,,,
Other,3,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: StatCounter, month of March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
Note (1): Web browser market shares are based on aggregate data collected from across a global network,,,,,,,,,,,,,,,,,,,,,,,,,,
of more than 3 million websites. StatCounter analyses each hit to its member sites to determine whether,,,,,,,,,,,,,,,,,,,,,,,,,,
or not it came from a mobile device and to establish the browser used. The mobile sample exceeds 83,,,,,,,,,,,,,,,,,,,,,,,,,,
million page views per month for the UK.,,,,,,,,,,,,,,,,,,,,,,,,,,
Note (2): Proportions given should be considered indicative only. Blackberry and Android-based web,,,,,,,,,,,,,,,,,,,,,,,,,,
browsers are aggregated up to device manufacturer and operating system reporting level.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.44,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of adults who access social networking sites on the internet at home: Q1 2009 to Q1 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,15-24,25-34,35-54,55-64,65-74,75+,AB,C1,C2,DE,Male,Female,,,,,,,,,,,,,
Q1 2009,30,50,46,35,13,3,1,35,36,29,19,28,31,,,,,,,,,,,,,
Q1 2010,40,61,61,48,20,7,3,46,46,39,30,39,42,,,,,,,,,,,,,
Q1 2011,46,69,64,54,28,12,5,53,52,46,33,45,47,,,,,,,,,,,,,
Q1 2012,50,78,64,60,31,16,3,57,57,48,39,48,52,,,,,,,,,,,,,
2009-2012 change (%-age points),20,28,18,25,18,13,2,22,21,19,20,20,21,,,,,,,,,,,,,
2009-2010 change (%-age points),10,11,15,13,7,4,2,11,10,10,11,11,11,,,,,,,,,,,,,
2010-2011 change (%-age points),6,8,3,6,8,5,2,7,6,7,3,6,5,,,,,,,,,,,,,
2011-2012 change (%-age points),4,9,0,6,3,4,-2,4,5,2,6,3,5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.45,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique audiences of selected social networking sites on desktop and laptop computers: March 2011 to March 2012,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,Year on year change (%),,,,,,,,,,,,
Facebook,26.5,26.6,26.8,26.1,26.5,27.1,26.1,26.4,26.1,26.3,25.9,25.8,25.7,-3,,,,,,,,,,,,
Twitter,5,4.6,6.1,5,5,5.9,5.2,5.5,6,5.7,6.3,6,6.2,24,,,,,,,,,,,,
LinkedIn,3.5,2.6,3.6,3.4,3.6,3.5,3.7,3.8,3.9,3.2,4,3.9,4,14,,,,,,,,,,,,
Myspace,0,0,0,0,0,0,0,1.7,1.7,1.4,1.6,1.6,1.5,,,,,,,,,,,,,
Friends Reunited,1.5,1.4,1.4,1.3,1,1.1,1.1,1.2,0.9,0.8,0.9,0.8,0.7,-53,,,,,,,,,,,,
Google+,0,0,0,0,0,0.4,2.3,1.8,1.9,2.2,2.4,2.2,2.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, March 2011 to",,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Unique audience is the total number of unique persons who have visited a website at least once,,,,,,,,,,,,,,,,,,,,,,,,,,
in the specified reporting period. Persons visiting the same website more than once in the reporting,,,,,,,,,,,,,,,,,,,,,,,,,,
period are only counted once.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.46,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Time spent, per visitor per month, on selected social networking sites, on desktop and laptop computers: March 2011 to March 2012",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,11-Mar,11-Apr,11-May,11-Jun,11-Jul,11-Aug,11-Sep,11-Oct,11-Nov,11-Dec,12-Jan,12-Feb,12-Mar,Average,,,,,,,,,,,,
Facebook,7:03:57,6:23:07,6:38:44,5:55:24,4:54:32,7:23:20,6:54:40,6:49:27,6:38:53,6:15:34,6:42:40,6:32:52,6:26:24,6:30:44,,,,,,,,,,,,
Twitter,0:21:46,0:27:25,0:23:33,0:21:47,0:26:04,0:26:55,0:21:11,0:23:00,0:24:29,0:25:48,0:28:41,0:30:42,0:36:46,,,,,,,,,,,,,
LinkedIn,0:21:21,0:22:52,0:19:41,0:20:11,0:17:57,0:18:56,0:17:31,0:19:19,0:29:05,0:23:23,0:22:42,0:21:26,0:24:21,,,,,,,,,,,,,
Myspace,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:03:11,0:03:43,0:03:08,0:03:52,0:03:43,0:03:59,,,,,,,,,,,,,
Friends Reunited,0:14:47,0:11:22,0:10:25,0:10:55,0:13:59,0:15:37,0:22:33,0:18:35,0:11:25,0:14:06,0:10:01,0:08:59,0:12:29,,,,,,,,,,,,,
Google+,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:12:34,0:05:38,0:04:19,0:08:43,0:05:42,0:03:45,0:03:45,0:03:49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, March 2011 to",,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Time per visitor is the total time spent on the website divided by its unique audience.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
uk-4.47,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Overlapping and unduplicated audiences of selected social networking sites on desktop and laptop computers,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Unique audience (millions),Overlap with Facebook (%),Unduplicated with Facebook (%),On Facebook (m),Off Facebook (m),,,,,,,,,,,,,,,,,,,,,
Facebook,25.7,0,100,25.7,0,,,,,,,,,,,,,,,,,,,,,
Twitter,6.2,93.4,6.6,5.8,0.4,,,,,,,,,,,,,,,,,,,,,
LinkedIn,4,85.2,14.8,3.4,0.6,,,,,,,,,,,,,,,,,,,,,
Google+,2.5,90.9,9.1,2.3,0.2,,,,,,,,,,,,,,,,,,,,,
Friends Reunited,0.6,86.1,13.9,0.5,0.1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: UKOM/Nielsen home and work panel, desktop and laptop computers only, March 2011 to",,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,
Note (1): Overlapping audience is the unique audience of a site which also visited a second designated,,,,,,,,,,,,,,,,,,,,,,,,,,
site in the specified reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,
Note (2): Unduplicated audience is the unique audience of a site which did not visit a second designated,,,,,,,,,,,,,,,,,,,,,,,,,,
site in the specified reporting period.,,,,,,,,,,,,,,,,,,,,,,,,,,
