Department Family,Entity,Date,Expense Type,Expense Area ,Supplier,Transaction No,Sum of Amount,Item Text,Postal Code
Department for Transport,VOSA,21/06/2013,Electricity,Finance Estates and Performance,EDF ENERGY,863081,"1,066.33",ELECTRICITY BILL - LEEDS GVTS - 01.05.13-31.05.13,PL3 5XQ
Department for Transport,VOSA,21/06/2013,Postage and Stationery,Operations HQ,PARCELFORCE WORLDWIDE,862663,"6,072.20",MAIL COSTS ELLIPSE - 11.05.13-08.06.13,S49 1HQ
Department for Transport,VOSA,21/06/2013,Postage and Stationery,Office of the Traffic Commissioners and Licensing,PITNEY BOWES,862674,"1,000.00",POSTAGE MONEY FOR FRANKING MACHINE 6853865 EDGBASTON,CM19 5DQ
Department for Transport,VOSA,21/06/2013,Telecommunication,Chief Information Officer,BT,862681,"41,294.74",MONTHLY INVOICE FOR JUNE 2013,DH98 1BT
Department for Transport,VOSA,21/06/2013,Testing Equipment Maintenance,Finance Estates and Performance,MAHA U.K. LTD,863094,"1,978.80","VOSAPO5805,Replacement ropes for the Maha 4 post lift at Shrewsbury  Cost as per your quote dated 13/02/2013.  Replacement necessary to comply with LOLER regulations.",PE13 2TZ
Department for Transport,VOSA,21/06/2013,Travel and Subsistence,,STAFF TRAVEL COSTS,862737,46.25,T&S,LS26 8HE
Department for Transport,VOSA,21/06/2013,Travel and Subsistence,,STAFF TRAVEL COSTS,862737,3.51,T&S,LS26 8HE
Department for Transport,VOSA,21/06/2013,Travel and Subsistence,,STAFF TRAVEL COSTS,862737,15,T&S,LS26 8HE
Department for Transport,VOSA,21/06/2013,Travel and Subsistence,,STAFF TRAVEL COSTS,862737,481.93,T&S,LS26 8HE
Department for Transport,VOSA,21/06/2013,Travel and Subsistence,,STAFF TRAVEL COSTS,862737,391.94,T&S,LS26 8HE
Department for Transport,VOSA,21/06/2013,Weighbridge Maintenance,Finance Estates and Performance,VISHAY PM ONBOARD LTD,863093,"45,954.00","VOSAPO8356,1st lump sum for 6th monthly maintenance and calibration of 31 sets of Enforcement weighpads",BD2 1AG
Department for Transport,VOSA,24/06/2013,Accommodation ,Finance Estates and Performance,AM SUPPORT SERVICES LTD,863350,511.52,"VOSAPO5129,Cleaning at Milnthorpe GVTS",LA3 2UZ
Department for Transport,VOSA,24/06/2013,Accommodation ,Finance Estates and Performance,AM SUPPORT SERVICES LTD,863370,981.68,"VOSAPO5130,Monthly Cleaning Service at Kirkham GVTS",LA3 2UZ
Department for Transport,VOSA,24/06/2013,Accommodation ,Finance Estates and Performance,OCS GROUP UK LTD,863349,547.09,"VOSAPO7415,Office cleaning external grounds maintenance and provision of consumables monthly - PROPERTY CODE ETS036 - INVERNESS HGVTS - AREA 02",SE1 9WP
Department for Transport,VOSA,24/06/2013,Accommodation ,Finance Estates and Performance,REGENT OFFICE CARE LTD,863366,"1,013.36",",Contract Cleaning - Yeading GVTS - June 2013",CV6 4QH
Department for Transport,VOSA,24/06/2013,Accommodation ,Finance Estates and Performance,REGENT OFFICE CARE LTD,863366,202.67,",Value Added Tax - line level",CV6 4QH
Department for Transport,VOSA,24/06/2013,Accommodation ,Finance Estates and Performance,CLEANSING SERVICE GROUP LTD,863342,84,",Value Added Tax - line level",PO15 5TT
Department for Transport,VOSA,24/06/2013,Accommodation ,Finance Estates and Performance,CLEANSING SERVICE GROUP LTD,863342,420,",Clearance of Interceiptor/bund at Exeter GVTS 21/03/2013",PO15 5TT
Department for Transport,VOSA,24/06/2013,Accommodation ,Finance Estates and Performance,MARTYN IRESON,863373,756,"VOSAPO7626,Crick. Supply and fit wall mounted Water Boiler (2kw 2.5ltr capacity 15 cups 108 cups per hour).",NN7 3PT
Department for Transport,VOSA,24/06/2013,Capital Expenditure - Leasehold Land and Buildings,Finance Estates and Performance,PICKFORDS MOVE MANAGEMENT LTD,863130,841.2,RELOCATE FURNITURE BACK TO MAIN OFFICE - 29.05.13,NW10 0TG
Department for Transport,VOSA,24/06/2013,Computer Costs,Chief Information Officer,SPECIALIST COMPUTER CENTRES LIMITED,863358,"2,372.38","VOSAPO7570,RedHat server maintenance package for VOSA Lab servers",B11 2LE
Department for Transport,VOSA,24/06/2013,Cycle to Work Scheme,Finance Estates and Performance,CYCLESCHEME LTD,863118,"1,443.96",HELMETS/BIKES ,BA1 1WX
Department for Transport,VOSA,24/06/2013,Health and Safety,Chief Executive,HEALTH & SAFETY LABORATORY,863113,672,ANALYSIS OF AIR FILTERS FROM 2 ATF'S (TAUNTON),SK17 9JN
Department for Transport,VOSA,24/06/2013,Legal Charges,Operations HQ,O'GARRA'S SOLICITORS,863347,"5,645.86","VOSAPO8357,0012-0-9.HN ",LS1 2PF
Department for Transport,VOSA,24/06/2013,Legal Charges,Operations HQ,QUALITY SOLICITORS EDWARD HUGHES,863359,"4,004.34","VOSAPO8413,0369-1-73.HN",LL18 1AH
Department for Transport,VOSA,24/06/2013,Legal Charges,Operations HQ,ROTHERA DOWSON SOLICITORS,863369,684.6,"VOSAPO8326,0546-1-49.SJP ",NG1 1PZ
Department for Transport,VOSA,24/06/2013,Legal Charges,Operations HQ,WOODFINES LLP,863348,567.8,"VOSAPO8324,0811-0-3 ",MK9 2HR
Department for Transport,VOSA,24/06/2013,Rent,Finance Estates and Performance,GWYNEDD COUNTY COUNCIL,863126,"9,500.00",GROUND RENT FOR CAERNARVON GVTS 30/06/13-29/06/14,LL55 1BN
Department for Transport,VOSA,24/06/2013,Rent,Finance Estates and Performance,ROYAL MAIL,863125,"2,220.00",RENT PAYMENT FOR KIRKWALL 01/07/13-30/09/13,S49 1YX
Department for Transport,VOSA,24/06/2013,Training,Human Resources,CONTINENTAL AUTOMOTIVE TRADING UK LTD,863341,"7,644.00",",Training aid for course - 12x  DTCO 2.0 TEST 24V 2CAN120 D1D2 & 8x KITAS2+ TRAINING",B24 8TA
Department for Transport,VOSA,24/06/2013,Training,Human Resources,CONTINENTAL AUTOMOTIVE TRADING UK LTD,863341,"1,528.80",",Value Added Tax - line level",B24 8TA
Department for Transport,VOSA,24/06/2013,Training,Human Resources,CONTINENTAL AUTOMOTIVE TRADING UK LTD,863353,"1,657.50",",Training aids for course - KITAS2+ TRAINING",B24 8TA
Department for Transport,VOSA,24/06/2013,Training,Human Resources,CONTINENTAL AUTOMOTIVE TRADING UK LTD,863353,331.5,",Value Added Tax - line level",B24 8TA
Department for Transport,VOSA,25/06/2013,Accommodation ,Vehicle Testing,NORTHUMBRIAN WATER LTD,863401,"2,220.69",WATER/SEWERAGE CHARGES - DARLINGTON GVTS - 01/04/2013 TO 30/06/2013,DH1 9WQ
Department for Transport,VOSA,25/06/2013,Accommodation ,Finance Estates and Performance,BANNER BUSINESS SUPPLIES LTD,863570,51.36,"VOSAPO8382,SSECO BIODEGRADABLE PLASTIC CUP 7OZ",NR3 1PD
Department for Transport,VOSA,25/06/2013,Accommodation ,Finance Estates and Performance,SOLO SERVICE GROUP,863589,"3,441.25","VOSAPO7530,Monthly cleaning service at Ellipse  Swansea",SA7 0AJ
Department for Transport,VOSA,25/06/2013,Accommodation ,Finance Estates and Performance,WESTWAY CLEANING SERVICES,863558,"1,756.80","VOSAPO7284,Office Cleaning monthly Bristol GVTS",BS3 2DD
Department for Transport,VOSA,25/06/2013,Accommodation ,Finance Estates and Performance,S. CONNOR CONTRACTORS,863581,128,"VOSAPO7587,Value Added Tax - header level",NE62 5HE
Department for Transport,VOSA,25/06/2013,Accommodation ,Finance Estates and Performance,S. CONNOR CONTRACTORS,863581,640,"VOSAPO7587,Guttering Repairs at Newcastle GVTS",NE62 5HE
Department for Transport,VOSA,25/06/2013,Computer Costs,Chief Information Officer,ATOS ORIGIN IT SERVICES UK LTD,863584,"695,066.31","VOSAPO8546,IS2003 Atos Monthly Invoice (Core Charges ONLY ) - June 2013",WV10 6UH
Department for Transport,VOSA,25/06/2013,Lease car finance,Finance Estates and Performance,LEX AUTOLEASE LTD,863400,708.73,LEASE CAR QUARTERLY RENTAL - MM62 KNA,BL9 8RT
Department for Transport,VOSA,25/06/2013,Legal Charges,Operations HQ,BELMORES LTD,863579,215.79,"VOSAPO8417,Value Added Tax - header level",NR1 3DX
Department for Transport,VOSA,25/06/2013,Legal Charges,Operations HQ,BELMORES LTD,863579,"1,078.95","VOSAPO8417,0632-1-36.AM ",NR1 3DX
Department for Transport,VOSA,25/06/2013,Legal Charges,Operations HQ,O'GARRA'S SOLICITORS,863560,"1,905.00","VOSAPO8415,",LS1 2PF
Department for Transport,VOSA,25/06/2013,Legal Charges,Operations HQ,O'GARRA'S SOLICITORS,863560,381,"VOSAPO8415,Value Added Tax - header level",LS1 2PF
Department for Transport,VOSA,25/06/2013,MOT Computerisation,Chief Information Officer,ATOS ORIGIN IT SERVICES UK LTD,863585,"1,556,094.28","VOSAPO8559,Atos - VPT Charge - (up to 21/06/13) MOT COMP",WV10 6UH
Department for Transport,VOSA,25/06/2013,Postage and Stationery,Finance Estates and Performance,BANNER BUSINESS SUPPLIES LTD,863570,7.86,"VOSAPO8382,BANNER TRANSIT ENV 324X229 80G 99BX",NR3 1PD
Department for Transport,VOSA,25/06/2013,Postage and Stationery,Finance Estates and Performance,BANNER BUSINESS SUPPLIES LTD,863570,108.72,"VOSAPO8382,STEINBEIS CLASSIC A3 80GSM WHITE STEINBEIS CLASSIC A3 80GSM WHITE 10026",NR3 1PD
Department for Transport,VOSA,25/06/2013,Postage and Stationery,Finance Estates and Performance,BANNER BUSINESS SUPPLIES LTD,863570,789.84,"VOSAPO8382,BANNER CLOSED LOOP PAPER A4 80GSM",NR3 1PD
Department for Transport,VOSA,25/06/2013,Room Hire,Human Resources,MODURDY OWEN G MOTORS,863597,"4,106.25",",Training Venue May 2013",CF31 3AP
Department for Transport,VOSA,25/06/2013,Room Hire,Human Resources,MODURDY OWEN G MOTORS,863597,821.25,",Value Added Tax - header level",CF31 3AP
Department for Transport,VOSA,25/06/2013,Travel and Subsistence,Road Traffic Enforcement,STAFF TRAVEL COSTS,863529,26.95,T&S,
Department for Transport,VOSA,25/06/2013,Travel and Subsistence,Road Traffic Enforcement,STAFF TRAVEL COSTS,863529,718.76,T&S,
Department for Transport,VOSA,26/06/2013,Accommodation ,Finance Estates and Performance,BIFFA WASTE SERVICES LTD,864110,772.25,"VOSAPO6677,BIFFA WASTE COLLECTIONS 2 PICKUPS PER WEEK.",HP12 3TZ
Department for Transport,VOSA,26/06/2013,Accommodation ,Vehicle Testing,BUSINESS STREAM - AP,863606,886.86,WATER SERVICES FOR ABERDEEN,EH10 6XH
Department for Transport,VOSA,26/06/2013,Accommodation ,Finance Estates and Performance,TESA (WESTERN) LTD,864113,110,"VOSAPO6868,Value Added Tax - header level",BS49 4RF
Department for Transport,VOSA,26/06/2013,Accommodation ,Finance Estates and Performance,TESA (WESTERN) LTD,864113,550,"VOSAPO6868,Task no: 0024/174- Servicing at Shrewsbury VOSA",BS49 4RF
Department for Transport,VOSA,26/06/2013,Accommodation ,Finance Estates and Performance,TESA (WESTERN) LTD,864073,"1,400.00","VOSAPO7544,Work Carried out as per service report 6620 for Avonmouth GVTS",BS49 4RF
Department for Transport,VOSA,26/06/2013,Accommodation ,Finance Estates and Performance,TESA (WESTERN) LTD,864073,280,"VOSAPO7544,Value Added Tax - header level",BS49 4RF
Department for Transport,VOSA,26/06/2013,Bank Charges,Finance Estates and Performance,DEPARTMENT OF WORK & PENSIONS,863578,"1,514.58","VOSAPO8400,Transaction Costs for payment engine on Government Gateway (card transactions for SiebelOLBS and GFPDS)",CF14 3UW
Department for Transport,VOSA,26/06/2013,Computer Costs,Chief Information Officer,DEPARTMENT OF WORK & PENSIONS,863382,"6,000.00","VOSAPO7433,The Government Gateway Annual contribution for VOSA - Commercial Customer Portal",CF14 3UW
Department for Transport,VOSA,26/06/2013,Gift Vouchers,Human Resources,THE GIFT VOUCHER SHOP LTD,864118,727.5,"VOSAPO8303,Thank You Gift Vouchers June",EC1M 4NB
Department for Transport,VOSA,26/06/2013,Legal Charges,Operations HQ,EVANS QUARTERMAINE SOLICITORS,864086,639.44,"VOSAPO8511,0739-0-13.TAC  ",NP22 5LP
Department for Transport,VOSA,26/06/2013,Legal Charges,Operations HQ,EVANS QUARTERMAINE SOLICITORS,864086,127.89,"VOSAPO8511,Value Added Tax - header level",NP22 5LP
Department for Transport,VOSA,26/06/2013,Legal Charges,Operations HQ,O'GARRA'S SOLICITORS,864119,142.84,"VOSAPO8469,Value Added Tax - header level",LS1 2PF
Department for Transport,VOSA,26/06/2013,Legal Charges,Operations HQ,O'GARRA'S SOLICITORS,864119,717.4,"VOSAPO8469,0112-0-117.AM ",LS1 2PF
Department for Transport,VOSA,26/06/2013,Postage and Stationery,Office of the Traffic Commissioners and Licensing,NEOPOST LTD,863612,"5,000.00",TOP UP FRANKING MACHINE 19/06/13,RM1 2AR
Department for Transport,VOSA,27/06/2013,Accommodation ,Finance Estates and Performance,SECURITY DESIGN CENTRE LTD,864452,227.33,",Value Added Tax - line level",B63 3RD
Department for Transport,VOSA,27/06/2013,Accommodation ,Finance Estates and Performance,SECURITY DESIGN CENTRE LTD,864452,"1,136.67",",System Maintenance Agreement - Kidderminster GVTS - 01/06/2013 to 31/05/2014",B63 3RD
Department for Transport,VOSA,27/06/2013,Accommodation ,Finance Estates and Performance,COBTHORNE CLEANING,864448,469,"VOSAPO5054,Monthly cleaning service at Belvedere",DA3 8NL
Department for Transport,VOSA,27/06/2013,Accommodation ,Finance Estates and Performance,COBTHORNE CLEANING,864448,288,"VOSAPO5053,Monthly cleaning service at Dagenham",DA3 8NL
Department for Transport,VOSA,27/06/2013,Accommodation ,Finance Estates and Performance,SECURITY DESIGN CENTRE LTD,864452,103.33,",System Maintenance Agreement - Kidderminster GVTS - 01/06/2013 to 31/05/2014",B63 3RD
Department for Transport,VOSA,27/06/2013,Accommodation ,Finance Estates and Performance,SECURITY DESIGN CENTRE LTD,864452,20.67,",Value Added Tax - line level",B63 3RD
Department for Transport,VOSA,27/06/2013,Accommodation ,Finance Estates and Performance,MCCANN & PARTNERS,864459,"1,908.00","VOSAPO5094,Berkeley House & Jubilee House visual non-intrusive lift condition survey (3 lifts)",CF64 1SA
Department for Transport,VOSA,27/06/2013,Capital Expenditure - Rented Property Improvements,Finance Estates and Performance,MOTT MACDONALD LTD,864468,"3,754.72",",Professional Services in relation to VOSA Chilcomb site",CR0 2EE
Department for Transport,VOSA,27/06/2013,Capital Expenditure - Rented Property Improvements,Finance Estates and Performance,MOTT MACDONALD LTD,864468,750.94,",Value Added Tax - line level",CR0 2EE
Department for Transport,VOSA,27/06/2013,Subscriptions,Chief Information Officer,PARITY RESOURCES LTD,864164,"3,226.98",PROVISION OF CONTRACTOR SERVICES,SW19 3RU
Department for Transport,VOSA,27/06/2013,Subscriptions,Chief Information Officer,PARITY RESOURCES LTD,864165,"10,971.73",PROVISION OF CONTRACTOR SERVICES,SW19 3RU
Department for Transport,VOSA,27/06/2013,Subscriptions,Chief Information Officer,PARITY RESOURCES LTD,864166,"5,808.56",PROVISION OF CONTRACTOR SERVICES,SW19 3RU
Department for Transport,VOSA,27/06/2013,Subscriptions,Chief Information Officer,PARITY RESOURCES LTD,864167,"1,936.19",PROVISION OF CONTRACTOR SERVICES,SW19 3RU
Department for Transport,VOSA,27/06/2013,Subscriptions,Chief Information Officer,PARITY RESOURCES LTD,864168,"12,907.92",PROVISION OF CONTRACTOR SERVICES,SW19 3RU
Department for Transport,VOSA,27/06/2013,Testing Equipment Maintenance,Finance Estates and Performance,GEMCO EQUIPMENT LTD,864462,842.64,"VOSAPO2748,Service of mobile roller brake tester. Price as per your e-mail quotation dated 16/08/2012.",NN1 1QG
Department for Transport,VOSA,27/06/2013,Testing Equipment Maintenance,Finance Estates and Performance,BM AUTOTEKNIK,864463,"49,000.00","VOSAPO7270,BM Monthly service charge for June 2013.  Contract number 016/005/1651.",
Department for Transport,VOSA,27/06/2013,Travel and Subsistence,Human Resources,STAFF TRAVEL COSTS,864232,118.55,T&S,BS32 4LB
Department for Transport,VOSA,27/06/2013,Travel and Subsistence,Human Resources,STAFF TRAVEL COSTS,864232,25,T&S,BS32 4LB
Department for Transport,VOSA,27/06/2013,Travel and Subsistence,Human Resources,STAFF TRAVEL COSTS,864232,483.4,T&S,BS32 4LB
Department for Transport,VOSA,27/06/2013,Weighbridge Maintenance,Finance Estates and Performance,AXLE WEIGHT TECHNOLOGY LTD,864449,"38,275.76","VOSAPO8294,Weighbridge Maintenance 3rd lump sum June 2013",WA7 4UN
Department for Transport,VOSA,28/06/2013,Accommodation ,Vehicle Testing,SOUTHERN WATER SERVICES LTD,864546,748.22,WATER SUPPLY FOR GILLINGHAM 14/03/2013-13/06/2013,BN13 3NZ
Department for Transport,VOSA,28/06/2013,Accommodation ,Finance Estates and Performance,4 FORCES SECURITY LTD,864807,217.5,",Value Added Tax - line level",BN11 2BW
Department for Transport,VOSA,28/06/2013,Accommodation ,Finance Estates and Performance,4 FORCES SECURITY LTD,864807,"1,087.50",",MOBILE PATROL VISITS BIRMINGHAM GVTS MAY 2013",BN11 2BW
Department for Transport,VOSA,28/06/2013,Accommodation ,Finance Estates and Performance,INTER COUNTY CLEANING SERVICES LTD,864780,52,"VOSAPO3298,CLEANING OF INTERNAL WINDOWS FOR STATION 32 FROM OCTOBER 2012 - SEPTEMBER 2013",NN10 6EN
Department for Transport,VOSA,28/06/2013,Accommodation ,Finance Estates and Performance,INTER COUNTY CLEANING SERVICES LTD,864780,930.5,"VOSAPO3541,DAILY CLEANING FOR STATION FROM OCTOBER 2012 TO SEPTEMBER 2013",NN10 6EN
Department for Transport,VOSA,28/06/2013,Accommodation ,Finance Estates and Performance,INTER COUNTY CLEANING SERVICES LTD,864780,196.5,",Value Added Tax - header level",NN10 6EN
Department for Transport,VOSA,28/06/2013,Accommodation ,Finance Estates and Performance,ISS FACILITIES MANAGEMENT,864817,"1,197.08","VOSAPO6572,Please supply station cleaning for Newcastle HGVTS for the month of June 2013. Please send original invoice to Swansea quoting the above purchase order number.",GU21 5RW
Department for Transport,VOSA,28/06/2013,Accommodation ,Finance Estates and Performance,TOTAL CLEAN (MIDLANDS) LTD,864818,953.47,"VOSAPO4558,Cleaning service at Wolverhampton GVTS",WV10 7NJ
Department for Transport,VOSA,28/06/2013,Capital Expenditure - Freehold Buildings,Finance Estates and Performance,MOTT MACDONALD LTD,864801,"3,713.50",",VOSA GLENLUCE - PROFESSIONAL SERVICES",CR0 2EE
Department for Transport,VOSA,28/06/2013,Capital Expenditure - Freehold Buildings,Finance Estates and Performance,MOTT MACDONALD LTD,864801,742.7,",Value Added Tax - line level",CR0 2EE
Department for Transport,VOSA,28/06/2013,Capital Expenditure - Freehold Buildings,Finance Estates and Performance,MOTT MACDONALD LTD,864806,"2,624.67",",VOSA ELMSWELL - PROFESSIONAL SERVICES RE BUILDING INSPECTION",CR0 2EE
Department for Transport,VOSA,28/06/2013,Capital Expenditure - Freehold Buildings,Finance Estates and Performance,MOTT MACDONALD LTD,864815,"1,049.86",",Value Added Tax - line level",CR0 2EE
Department for Transport,VOSA,28/06/2013,Capital Expenditure - Freehold Buildings,Finance Estates and Performance,MOTT MACDONALD LTD,864824,"2,624.67",",VOSA GLENLUCE - PROFESSIONAL SERVICES RE BUILDING INSPECTION",CR0 2EE
Department for Transport,VOSA,28/06/2013,Capital Expenditure - Rented Property Improvements,Finance Estates and Performance,MOTT MACDONALD LTD,864802,"2,624.67",",VOSA CHILCOMB - PROFESSIONAL SERVICES RE BUILDING INSPECTION",CR0 2EE
Department for Transport,VOSA,28/06/2013,Capital Expenditure - Rented Property Improvements,Finance Estates and Performance,MOTT MACDONALD LTD,864802,524.93,",Value Added Tax - line level",CR0 2EE
Department for Transport,VOSA,28/06/2013,Impounded Vehicles,Operations,BRADGATE BUSINESS FINANCE,864501,"5,790.09",DISPOSAL REVENUE FOR E9 MAX,LE17 4PN
Department for Transport,VOSA,28/06/2013,Impounded Vehicles,Operations,WINCANTON GROUP LIMITED,864538,"18,443.01",IMPOUNDING ACTIVITY & STORAGE CHARGE MAY 2013,SN14 0WT
Department for Transport,VOSA,28/06/2013,Impounded Vehicles,Strategy and Customer,WINCANTON GROUP LIMITED,864538,"9,546.95",IMPOUNDING ACTIVITY & STORAGE CHARGE MAY 2013,SN14 0WT
Department for Transport,VOSA,28/06/2013,Lease car finance,Finance Estates and Performance,LEX AUTOLEASE LTD,864502,"1,417.46",LEASE ACRS QUARTERLY RENTAL,BL9 8RT
Department for Transport,VOSA,28/06/2013,Major Maintenance,Finance Estates and Performance,MOTT MACDONALD LTD,864785,"8,048.70",",VOSA 2009 - Professional Services",CR0 2EE
Department for Transport,VOSA,28/06/2013,Major Maintenance,Finance Estates and Performance,MOTT MACDONALD LTD,864785,"1,649.98",",Value Added Tax - line level",CR0 2EE
Department for Transport,VOSA,28/06/2013,Major Maintenance,Finance Estates and Performance,MOTT MACDONALD LTD,864785,521.8,",VOSA 2009 - Expenses",CR0 2EE
Department for Transport,VOSA,28/06/2013,Major Maintenance,Finance Estates and Performance,MOTT MACDONALD LTD,864785,201.22,",VOSA 2009 - OGY Royalty",CR0 2EE
Department for Transport,VOSA,28/06/2013,Major Maintenance,Finance Estates and Performance,VALUATION OFFICE AGENCY,864503,"2,740.80",PROFESSIONAL FEES,W1D 5BU
Department for Transport,VOSA,28/06/2013,Postage and Stationery,Road Traffic Enforcement,NEOPOST LTD,864516,500,FRANKING MACHINE TOP UP FOR CHELMSFORD GVTS,RM1 2AR
Department for Transport,VOSA,28/06/2013,Postage and Stationery,Vehicle Testing,ROYAL MAIL,864548,930,MAIL COLLECTIONS,S49 1HQ
Department for Transport,VOSA,28/06/2013,Postage and Stationery,Operations HQ,WILLIAMS LEA LTD,864805,"1,525.37","VOSAPO2700,VOSA Swansea Machine Windowed Envelopes",NR3 1PD
Department for Transport,VOSA,28/06/2013,Postage and Stationery,Operations HQ,WILLIAMS LEA LTD,864805,305.07,"VOSAPO2700,Value Added Tax - line level",NR3 1PD
Department for Transport,VOSA,28/06/2013,Rent,Finance Estates and Performance,ROE GROUP PENSION SCHEME,864545,"6,150.00",RENT- BIRMINGHAM VIC 23/6/13-23/9/13,LN6 9NQ
Department for Transport,VOSA,28/06/2013,Rent Service Charges,Finance Estates and Performance,MOTT MACDONALD LTD,864785,104.36,",Value Added Tax - line level",CR0 2EE
Department for Transport,VOSA,28/06/2013,Room Hire,Human Resources,PARAGON EDUCATION & SKILLS LTD,864789,"4,540.85",",To provide Classroom and MOT bay workshop full time as per contract 016/005/2604 for period April 2012 to March 2014 - Invoice 13 of 24",BH1 4NB
Department for Transport,VOSA,28/06/2013,Room Hire,Human Resources,PARAGON EDUCATION & SKILLS LTD,864789,908.17,",Value Added Tax - line level",BH1 4NB
Department for Transport,VOSA,28/06/2013,Telecommunication,Chief Information Officer,INCOM TELECOMMUNICATIONS,864519,"1,136.10",X2 MULTIVIEW AK-600DPA RECEIVER FOR THE ELLIPSE,M17 1WD
Department for Transport,VOSA,28/06/2013,Telecommunication,Chief Information Officer,ORANGE PAYMENT PROCESSING,864518,"1,536.00",ORANGE EQUIPMENT FOR JUNE 13,S98 1DX
Department for Transport,VOSA,28/06/2013,Telecommunication,Chief Information Officer,VODAFONE,864773,"8,115.20",MONTHLY INVOICE FOR MAY 2013,RG14 5FF
Department for Transport,VOSA,28/06/2013,Travel and Subsistence,Finance Estates and Performance,ALLSTAR BUSINESS SOLUTIONS LTD,864510,"28,392.50",FUEL TRANSACTIONS - MAY 2012.2,SN5 6PS
Department for Transport,VOSA,28/06/2013,Travel and Subsistence,Human Resources,STAFF TRAVEL COSTS,864616,109.25,T&S,BS32 4LB
Department for Transport,VOSA,28/06/2013,Travel and Subsistence,Human Resources,STAFF TRAVEL COSTS,864616,25,T&S,BS32 4LB
Department for Transport,VOSA,28/06/2013,Travel and Subsistence,Human Resources,STAFF TRAVEL COSTS,864616,426.35,T&S,BS32 4LB
Department for Transport,Driving Standards Agency,25/06/2013,Rent - L&B (non-PFI),HIGH WYCOMBE,3 PEAKS PROPERTY,5100001572,"9,000.00",RC - HIGH WYCOMBE DTC RENT,OX13 5QL
Department for Transport,Driving Standards Agency,26/06/2013,Rent - L&B (non-PFI),YEOVIL,ABBEY MANOR GROUP LTD,5100001543,"10,029.60",RC - YEOVIL DTC RENT,BA20 2EN
Department for Transport,Driving Standards Agency,20/06/2013,Business rates,ABERDEEN MPTC,ABERDEENSHIRE COUNCIL,DIRECT DEBIT,"3,508.95",826011 10002215 NDR - ABERDEENSHIR 9589456            802703,#
Department for Transport,Driving Standards Agency,25/06/2013,Motorcycle Maintenance,OXFORD COWLEY DTC,ABINGDON HONDA,5100001586,594.5,#,OX14 1TZ
Department for Transport,Driving Standards Agency,21/06/2013,Rent - L&B (non-PFI),SHEFFIELD ACRES HILL DTC,ACRES HILL PROPERTIES LTD,5100001429,"9,003.15",RC - SHEFFIELD DTC RENT,HX6 4DJ
Department for Transport,Driving Standards Agency,20/06/2013,Rent - L&B (non-PFI),SLOUGH,ADIL PROPERTY INVESTMENT LIMITED,5100001322,"3,412.50",RC - SLOUGH DTC RENT,IG1 4LJ
Department for Transport,Driving Standards Agency,20/06/2013,Rent - L&B (non-PFI),HAYES,#,5100001343,"4,450.00",RC - HAYES DTC RENT,SL4 5LH
Department for Transport,Driving Standards Agency,20/06/2013,Rent - L&B (non-PFI),STAFFORD,AHLI UNITED BANK (UK) PLC,5100001372,"4,500.00",RC - STAFFORD DTC RENT,W1H 6LR
Department for Transport,Driving Standards Agency,20/06/2013,Rent,HERNE BAY MPTC,ALTIRA BUSINESS PARK II LTD,5100001421,"37,650.00",RC - HERNE BAY MPTC RENT,TN15 7RJ
Department for Transport,Driving Standards Agency,06/06/2013,Building Service Charges,GOODMAYES DTC,AMINGHAM LIMITED,5100001146,"1,549.14",#,E5 9HX
Department for Transport,Driving Standards Agency,26/06/2013,Building Service Charges,GOODMAYES DTC,AMINGHAM LIMITED,5100001617,"1,549.14",#,E5 9HX
Department for Transport,Driving Standards Agency,20/06/2013,Rent - L&B (non-PFI),GOODMAYES DTC,AMINGHAM LIMITED,5100001364,"7,250.00",RC - GOODMAYES DTC RENT,E5 9HX
Department for Transport,Driving Standards Agency,19/06/2013,Rent - L&B (non-PFI),CHELTENHAM,#,5100001332,"1,875.00",RC - CHELTENHAM DTC RENT,#
Department for Transport,Driving Standards Agency,25/06/2013,Rent,KETTERING MPTC,APRIROSE REAL ESTATES INVESTMENT,5100001566,"51,000.00",RC - KETTERING MPTC RENT,HA8 7EQ
Department for Transport,Driving Standards Agency,20/06/2013,Rent,WOLVERHAMPTON MPTC,APRIROSE REAL ESTATES INVESTMENT,5100001380,"42,000.00",RC - WOLVERHAMPTON MPTC RENT,HA8 7EQ
Department for Transport,Driving Standards Agency,06/06/2013,Building Service Charges,DORCHESTER DTC,AQUA PEVERELL LLP,5100001147,"2,280.34",#,BH14 0HU
Department for Transport,Driving Standards Agency,20/06/2013,Rent - L&B (non-PFI),DORCHESTER DTC,AQUA PEVERELL LLP,5100001383,"8,421.60",RC - DORCHESTER (POUNDBURY) DTC RENT,BH14 0HU
Department for Transport,Driving Standards Agency,20/06/2013,Fuel,VARIOUS DTCS,ARVAL,DIRECT DEBIT,"26,939.18",602140 58904530 ALLSTAR BUSINESS   424803-HO          697682,#
Department for Transport,Driving Standards Agency,28/06/2013,Business rates,SUTTON IN ASHFIELD (SHERWOOD HOUSE),ASHFIELD DISTRICT COUNCIL,DIRECT DEBIT,883,089074 61170005 ASHFIELD D.C.      23321441           973229,#
Department for Transport,Driving Standards Agency,13/06/2013,Building Service Charges,ASHFORD (KENT) TTTC,ASHFORD BOROUGH COUNCIL,5100001273,"2,091.32",#,TN23 1PL
