Body Name,Body,Service label,Organisational unit,Expenditure category,Detailed Expenses type,Date,Transaction Number,Amount,"Capital/
Revenue",Supplier Name,Supplier ID
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090792,"2,145.22",Revenue,Havencare (Plymouth),38935
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090793,975.10,Revenue,Havencare (Plymouth),38935
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090797,"1,462.65",Revenue,Havencare (Plymouth),38935
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090799,"1,365.14",Revenue,Havencare (Plymouth),38935
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090801,"1,072.61",Revenue,Havencare (Plymouth),38935
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090802,"1,393.00",Revenue,Havencare (Plymouth),38935
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,Various,"6,172.73",Revenue,Havencare (Plymouth),38935
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Day Care  Private Contractors,08/12/2015,Various,"5,655.75",Revenue,Pluss,52159
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090909,742.07,Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090916,"1,422.75",Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090917,"1,349.25",Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090923,"1,117.96",Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090928,503.50,Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090894,"1,422.75",Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090898,643.64,Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090901,"1,070.47",Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090903,"1,349.25",Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090937,"1,439.20",Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090938,809.55,Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090943,"1,079.40",Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090945,"1,028.00",Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576090950,"1,079.40",Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,Various,"8,714.09",Revenue,Lifeways Community Care,60417
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091002,"1,082.50",Revenue,Selborne Care Limited,61984
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091019,598.50,Revenue,Selborne Care Limited,61984
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091025,799.50,Revenue,Selborne Care Limited,61984
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091027,"1,365.00",Revenue,Selborne Care Limited,61984
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091029,780.00,Revenue,Selborne Care Limited,61984
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091030,728.00,Revenue,Selborne Care Limited,61984
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091032,910.00,Revenue,Selborne Care Limited,61984
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091036,"1,274.00",Revenue,Selborne Care Limited,61984
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091038,"1,215.50",Revenue,Selborne Care Limited,61984
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091040,612.75,Revenue,Selborne Care Limited,61984
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Various,08/12/2015,Various,"13,300.40",Revenue,Selborne Care Limited,61984
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Day Care  Private Contractors,08/12/2015,Various,599.34,Revenue,Plymouth Guild,65525
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Day Care  Private Contractors,08/12/2015,Various,"3,590.48",Revenue,Plymouth Highbury Trust Services,68132
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Various,08/12/2015,Various,"1,563.59",Revenue,Plymouth Independent Living,71895
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care  Private Contractors,08/12/2015,576092048,"2,310.00",Revenue,Nurse Plus & Care Plus (UK) Ltd,79730
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care  Private Contractors,08/12/2015,576092050,"2,310.00",Revenue,Nurse Plus & Care Plus (UK) Ltd,79730
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care Block Contract,08/12/2015,576092052,619.52,Revenue,Nurse Plus & Care Plus (UK) Ltd,79730
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care Block Contract,08/12/2015,576092068,707.52,Revenue,Nurse Plus & Care Plus (UK) Ltd,79730
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care Block Contract,08/12/2015,576092085,788.48,Revenue,Nurse Plus & Care Plus (UK) Ltd,79730
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care  Private Contractors,08/12/2015,576092092,"2,310.00",Revenue,Nurse Plus & Care Plus (UK) Ltd,79730
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Various,08/12/2015,Various,"5,885.84",Revenue,Nurse Plus & Care Plus (UK) Ltd,79730
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091096,803.99,Revenue,Yourway Support Services Ltd,82267
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091097,937.44,Revenue,Yourway Support Services Ltd,82267
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091099,872.34,Revenue,Yourway Support Services Ltd,82267
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091105,"1,275.96",Revenue,Yourway Support Services Ltd,82267
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Various,08/12/2015,Various,"3,045.66",Revenue,Yourway Support Services Ltd,82267
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091107,816.20,Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091108,589.26,Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091109,"1,367.10",Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091110,"1,028.58",Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091119,527.99,Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091122,589.26,Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091125,589.26,Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091126,642.18,Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091127,"1,022.10",Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091128,589.26,Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091129,589.26,Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091130,589.26,Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,Various,"3,011.47",Revenue,Mencap,82716
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091133,510.00,Revenue,Caraston Hall Support & Housing,91992
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091135,510.09,Revenue,Caraston Hall Support & Housing,91992
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,Various,976.90,Revenue,Caraston Hall Support & Housing,91992
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091168,"1,478.40",Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091169,"1,478.40",Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091170,641.26,Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091172,643.50,Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091173,"1,183.00",Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091174,923.00,Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091176,"1,313.00",Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091177,"1,287.00",Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091178,728.00,Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091180,"1,365.00",Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091183,"1,365.00",Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091186,"1,478.40",Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091187,520.00,Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091191,"1,767.04",Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091192,"1,478.40",Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091194,"1,478.40",Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091206,819.00,Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,Various,"4,399.27",Revenue,Premier Care (Plymouth) Ltd,96574
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091260,539.00,Revenue,Ashlong Domicillary care,98657
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091268,532.00,Revenue,Ashlong Domicillary care,98657
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091273,"1,365.00",Revenue,Ashlong Domicillary care,98657
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091274,623.00,Revenue,Ashlong Domicillary care,98657
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091282,525.00,Revenue,Ashlong Domicillary care,98657
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091284,574.00,Revenue,Ashlong Domicillary care,98657
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091286,630.00,Revenue,Ashlong Domicillary care,98657
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091289,588.00,Revenue,Ashlong Domicillary care,98657
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091291,574.00,Revenue,Ashlong Domicillary care,98657
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091294,910.00,Revenue,Ashlong Domicillary care,98657
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091296,686.00,Revenue,Ashlong Domicillary care,98657
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,Various,"5,488.62",Revenue,Ashlong Domicillary care,98657
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091308,"1,300.32",Revenue,Independence Homes Ltd,99784
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care  Private Contractors,08/12/2015,Various,"1,020.65",Revenue,Creative Living Care Services,102949
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091317,623.50,Revenue,Plymouth Supported Living,108204
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091319,758.09,Revenue,Plymouth Supported Living,108204
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,Various,"1,044.43",Revenue,Plymouth Supported Living,108204
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,Various,"1,637.80",Revenue,Alexandra Houseing Ltd,110674
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091356,989.45,Revenue,Colebrook (SW) Ltd,112153
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Various,08/12/2015,Various,"6,388.20",Revenue,Colebrook (SW) Ltd,112153
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care Block Contract,08/12/2015,Various,"4,269.76",Revenue,Guinness Care and Support Limited,112370
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091369,"1,165.27",Revenue,I-Grow Care and Support Ltd,112728
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Various,08/12/2015,Various,"1,833.01",Revenue,I-Grow Care and Support Ltd,112728
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care Block Contract,08/12/2015,576092701,541.31,Revenue,Mears Care Limited,116879
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Dom Care  Private Contractors,08/12/2015,576092724,861.60,Revenue,Mears Care Limited,116879
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Various,08/12/2015,Various,"9,769.31",Revenue,Mears Care Limited,116879
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091373,"1,680.00",Revenue,Your Lifestyle,117062
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091375,"1,103.20",Revenue,Support`ed Limited,117369
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091378,854.98,Revenue,Support`ed Limited,117369
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Adult Social Care,People Directorate,Third Party Payments,Supported Living,08/12/2015,576091381,722.67,Revenue,KPW Newkey Ltd,118020
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,542.71,Revenue,Redacted personal data,37023
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,747.21,Revenue,Redacted personal data,37024
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,585.79,Revenue,Redacted personal data,37027
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,617.93,Revenue,Redacted personal data,37043
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,648.40,Revenue,Redacted personal data,37045
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,809.82,Revenue,Redacted personal data,37101
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Lodgings Carer,08/12/2015,Various,772.17,Revenue,Redacted personal data,37107
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Foster Band 2 Mtce 16,08/12/2015,Various,514.78,Revenue,Redacted personal data,37123
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,536.50,Revenue,Redacted personal data,37143
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,651.03,Revenue,Redacted personal data,37161
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,639.50,Revenue,Redacted personal data,37181
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,844.44,Revenue,Redacted personal data,37232
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,648.40,Revenue,Redacted personal data,37242
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Residence Order,08/12/2015,Various,863.75,Revenue,Redacted personal data,37369
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,507.39,Revenue,Redacted personal data,37429
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,505.71,Revenue,Redacted personal data,37532
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,648.40,Revenue,Redacted personal data,37541
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Adoption Allowance,08/12/2015,Various,549.10,Revenue,Redacted personal data,37599
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,"1,108.20",Revenue,Redacted personal data,37600
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,"1,610.88",Revenue,Redacted personal data,37617
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,553.80,Revenue,Redacted personal data,37722
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,600.31,Revenue,Redacted personal data,37862
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,616.41,Revenue,Redacted personal data,37867
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Adoption Allowance,08/12/2015,986435817,668.86,Revenue,Redacted personal data,37882
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,648.40,Revenue,Redacted personal data,37892
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,"2,796.30",Revenue,Redacted personal data,37893
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,553.80,Revenue,Redacted personal data,37901
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,803.36,Revenue,Redacted personal data,37919
Plymouth City Council,http://statistics.data.gov.uk/id/local-authority/00HG,Children`s & Educational Servi,People Directorate,Third Party Payments,Various,08/12/2015,Various,651.82,Revenue,Redacted personal data,37921
