Payment Date,Transaction id,Supplier,Expense Type,Expense Area,Amount in Sterling
23/07/2010,2648794,Pitney Bowes postage by phone,Postage & Delivery Charges,Millbank - Facilities,9
01/07/2010,2648137,PKF Accountants & Business Advisors,Contractor Costs,Regional Costs - Ops Southern,14490
21/07/2010,2648555,PKF Accountants & Business Advisors,Corporate Subscriptions,HR Service Centre,759
15/07/2010,2648637,Plain Language Commission,Consultants (Non Time Sheet User),Local Government,2997
08/07/2010,2647654,PricewaterhouseCooper LLP,Corporate Subscriptions,HR Service Centre,1633
01/07/2010,2648027,PricewaterhouseCooper LLP,Legal & Professional Fees,Professional Standards Division,5000
08/07/2010,2648289,PricewaterhouseCooper LLP,Consultants (Non Time Sheet User),Studies,8000
23/07/2010,2648375,PricewaterhouseCooper LLP,Contractor Costs,West Midlands Sub-Region - Ops Central,4500
23/07/2010,2648375,PricewaterhouseCooper LLP,Contractor Costs,West Midlands Sub-Region - Ops Central,4500
23/07/2010,2648375,PricewaterhouseCooper LLP,Contractor Costs,West Midlands Sub-Region - Ops Central,6300
23/07/2010,2648375,PricewaterhouseCooper LLP,Contractor Costs,East Midlands Sub-Region - Ops Central,14400
28/07/2010,2648813,PricewaterhouseCooper LLP,Contractor Costs,Professional Standards Division,15333.33
28/07/2010,2648813,PricewaterhouseCooper LLP,Contractor Travel & Subsistence Expenses,Professional Standards Division,66
01/07/2010,2648153,Pringle Brandon,Property Services Professional Fees,Estate Management,6540.35
01/07/2010,2648154,Pringle Brandon,Property Services Professional Fees,Estate Management,2530.65
01/07/2010,2648155,Pringle Brandon,Property Services Professional Fees,Estate Management,4194.5
01/07/2010,2648156,Pringle Brandon,Property Services Professional Fees,Estate Management,608.5
01/07/2010,2648157,Pringle Brandon,Property Services Professional Fees,Estate Management,1819
08/07/2010,2648379,Pringle Brandon,Fixtures and Fittings Capital Purchases,Estate Management,1938
28/07/2010,2648953,Pringle Brandon,Property Services Professional Fees,Estate Management,620
28/07/2010,2648954,Pringle Brandon,Property Services Professional Fees,Estate Management,1197.4
23/07/2010,2648800,Quadrilect,Staff Training,HR Training and Development,695
08/07/2010,2648184,Randstad Employment Bureau Ltd,Consultants (Time Sheet Users),London support staff,900.05
21/07/2010,2648549,Randstad Employment Bureau Ltd,Consultants (Time Sheet Users),London support staff,848.83
15/07/2010,2648567,Reading Borough Council,Staff Training,HR Training and Development,2100
08/07/2010,2648390,Red Funnel Group,Staff Travel & Subsistence Expenses,Regional Costs - Ops Southern,690
28/07/2010,2648931,Red Recruitment,Recruitment,Recruitment - Talent,3630.45
06/07/2010,2647830,Reed Managed Services Ltd,Reed & Hays BIF Control Account,All,9611
06/07/2010,2647830,Reed Managed Services Ltd,Reed & Hays BIF Control Account,All,9345.92
06/07/2010,2648216,Reed Managed Services Ltd,Reed & Hays BIF Control Account,All,28381.47
06/07/2010,2648254,Reed Managed Services Ltd,Reed & Hays BIF Control Account,All,16863.43
06/07/2010,2648320,Reed Managed Services Ltd,Reed & Hays BIF Control Account,All,20339.66
15/07/2010,2648507,Reed Managed Services Ltd,Reed & Hays BIF Control Account,All,16232.74
28/07/2010,2648776,Reed Managed Services Ltd,Reed & Hays BIF Control Account,All,6534.08
28/07/2010,2648776,Reed Managed Services Ltd,Reed & Hays BIF Control Account,All,8528.49
28/07/2010,2648936,Reed Managed Services Ltd,Reed & Hays BIF Control Account,All,16643.62
28/07/2010,2648936,Reed Managed Services Ltd,Reed & Hays BIF Control Account,All,7034.11
15/07/2010,2648595,Regus (Cambridge Cambourne),Rent Licences (Not Leased),Estate Management,14376.12
13/07/2010,2648164,Regus (Manchester Cheadle),Bank Charges,Performance and Development,50
13/07/2010,2648164,Regus (Manchester Cheadle),Bank Interest Payable,Performance and Development,340.78
13/07/2010,2648164,Regus (Manchester Cheadle),Telecommunication Charges,Business Unit - Ops Northern,923.87
06/07/2010,2648211,Re-solve Limited,Consultants (Non Time Sheet User),Head of Operations - South East - Ops Southern,525
06/07/2010,2648212,Re-solve Limited,Consultants (Non Time Sheet User),Head of Operations - South East - Ops Southern,2100
06/07/2010,2648214,Re-solve Limited,Consultants (Non Time Sheet User),Head of Operations - South East - Ops Southern,525
06/07/2010,2648214,Re-solve Limited,Consultants (Non Time Sheet User),Head of Operations - South East - Ops Southern,525
13/07/2010,2648210,Ricoh UK Limited (NRG),Photocopier Rental,Millbank - Facilities,733.97
13/07/2010,2648210,Ricoh UK Limited (NRG),Photocopy Charges,Millbank - Facilities,1597.96
15/07/2010,2648191,Royal Mail Peterborough,Postage & Delivery Charges,Business Unit - Ops Northern,500.82
08/07/2010,2648377,RSM Tenon Limited,Legal & Professional Fees,Directorate Management - MD CS,975
08/07/2010,2648377,RSM Tenon Limited,Legal & Professional Fees,Directorate Management - MD CS,9750
13/07/2010,2648422,Sanderson Weatherall,"Heat, Light & Power",Estate Management,733.87
13/07/2010,2648448,Selecta UK Ltd,Food & Beverages Charges,Nicholson House,557.4
13/07/2010,2648448,Selecta UK Ltd,Office Equipment Repairs & Maintenance,Nicholson House,200
13/07/2010,2648450,Selecta UK Ltd,Food & Beverages Charges,Westward House,648.55
13/07/2010,2648450,Selecta UK Ltd,Office Equipment Repairs & Maintenance,Westward House,200
06/07/2010,2647732,Serco Limited,Health & Safety (Non Furniture),HR Grosvenor Health,1821.89
21/07/2010,2648465,Serco Limited,Health & Safety (Non Furniture),HR Grosvenor Health,744.8
21/07/2010,2648465,Serco Limited,Health & Safety (Non Furniture),HR Grosvenor Health,775.2
08/07/2010,2648370,Serviceline,Reactive Building Maintenance,Millbank - Facilities,476.39
15/07/2010,2647890,SHL Group Limited,Recruitment,Recruitment - Talent,2404
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,84
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,75.1
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,56
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,52.65
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,320
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,248.5
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,248.5
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,56.02
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,108.08
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,52.65
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,98
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,110.2
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,80
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,140
15/07/2010,2648534,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,98
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,110
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,92.65
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,42
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,259
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,252
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,252
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,42
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,42
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,80
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,140
15/07/2010,2648536,Shred It Ltd - Consolidated bill,Recycling and Refuse,Estate Management,40
13/07/2010,2648525,SITA Uk Limited,Recycling and Refuse,Nicholson House,426.59
13/07/2010,2648525,SITA Uk Limited,Recycling and Refuse,Westward House,426.58
02/07/2010,GPCJUL10,Skybridge Group PLC,Other Supplies & Services Expenses,HR Training and Development,703.83
01/07/2010,2648129,Software Box Limited,Software Support & Maintenance,IT Running Costs,239122.39
23/07/2010,2648834,Software Box Limited,New Software Purchases,IT Running Costs,474.01
28/07/2010,2648877,Software Box Limited,IT Equipment Capital Purchases,IT Projects,3929.28
28/07/2010,2648935,Software Box Limited,Software Support & Maintenance,IT Running Costs,18497.74
06/07/2010,2648115,SOG Ltd,Rent Licences (Not Leased),Estate Management,11729.39
26/07/2010,1024015,South Gloucestershire Council S/O,Business Rates,Estate Management,"21,029.00"
06/07/2010,2648277,Specialist Computer Centres,IT Equipment Capital Purchases,IT Running Costs,6436.23
13/07/2010,2648349,Spring Technology,Contractor Costs,IT Running Costs,2777.25
13/07/2010,2648447,St Johns Ambulance NHQ,Staff Training,HR Training and Development,311
13/07/2010,2648447,St Johns Ambulance NHQ,Staff Training,HR Training and Development,215
13/07/2010,2648447,St Johns Ambulance NHQ,Staff Training,HR Training and Development,215
13/07/2010,2648447,St Johns Ambulance NHQ,Staff Training,HR Training and Development,137
13/07/2010,2648447,St Johns Ambulance NHQ,Staff Training,HR Training and Development,311
28/07/2010,2648876,St Johns Ambulance NHQ,Staff Training,HR Training and Development,166
28/07/2010,2648876,St Johns Ambulance NHQ,Staff Training,HR Training and Development,137
28/07/2010,2648876,St Johns Ambulance NHQ,Staff Training,HR Training and Development,72
28/07/2010,2648876,St Johns Ambulance NHQ,Staff Training,HR Training and Development,137
28/07/2010,2648876,St Johns Ambulance NHQ,Staff Training,HR Training and Development,72
08/07/2010,2648412,Stiles Harold Williams,Service Charges,Estate Management,1527.48
13/07/2010,2647249,Sweet & Maxwell Ltd,Books,Legal Directorate,990
13/07/2010,2647249,Sweet & Maxwell Ltd,Books,Legal Directorate,3136
28/07/2010,2648963,Talentfirst,Staff Training,HR Training and Development,1024
01/07/2010,2648087,Tamar Science Park Limited,Leased Property Rent Invoices,Estate Management,261.08
01/07/2010,2648087,Tamar Science Park Limited,Leased Property Rent Invoices,Estate Management,681.72
01/07/2010,2648087,Tamar Science Park Limited,Rent Licences (Not Leased),Estate Management,496
28/07/2010,2648680,Tamar Science Park Limited,Cleaning & Hygiene,Estate Management,70.37
28/07/2010,2648680,Tamar Science Park Limited,"Heat, Light & Power",Estate Management,75.15
28/07/2010,2648680,Tamar Science Park Limited,Meetings,Head of Ops - South West - Ops Southern,35
28/07/2010,2648680,Tamar Science Park Limited,Postage & Delivery Charges,Head of Ops - South West - Ops Southern,386.2
23/07/2010,2648830,Tamar Science Park Limited,Leased Property Rent Invoices,Estate Management,681.72
23/07/2010,2648830,Tamar Science Park Limited,Leased Property Rent Invoices,Estate Management,261.08
23/07/2010,2648830,Tamar Science Park Limited,Rent Licences (Not Leased),Estate Management,496
01/07/2010,2648145,Timebus Travel,Conferences Hosted & Attended,Audit Policy Division,135.36
01/07/2010,2648145,Timebus Travel,Conferences Hosted & Attended,Audit Policy Division,650
06/07/2010,2648350,Trafalgar Conferences LTD,Staff Training,HR Training and Development,1200
01/07/2010,2648101,Trainline.com Ltd,Trainline BIF Control Account,All,14404.35
01/07/2010,2648131,Trainline.com Ltd,Other Supplies & Services Expenses,Performance and Development,1000
13/07/2010,2648464,Trainline.com Ltd,Trainline BIF Control Account,All,16068.15
08/07/2010,2647878,Trainline.com Ltd - Season Tickets,London Travelcards Holding Code,HR Service Centre,14418.3
13/07/2010,2648102,Trainline.com Ltd - Season Tickets,London Travelcards Holding Code,HR Service Centre,7952
13/07/2010,2648463,Trainline.com Ltd - Season Tickets,London Travelcards Holding Code,HR Service Centre,5549
15/07/2010,2648565,Trainline.com Ltd - Season Tickets,London Travelcards Holding Code,HR Service Centre,4176
08/07/2010,2648378,Tribal Consulting Ltd,Consultants (Non Time Sheet User),Knowledge,9000
13/07/2010,2648543,Tribal Consulting Ltd,Contractor Costs,Health Directorate - Payment by Results,30015.01
06/07/2010,2648287,Unit 4 Business Software Ltd (Agresso),Software Support & Maintenance,IT Running Costs,52846
08/07/2010,2648414,Victoria Flint,Consultants (Non Time Sheet User),Communications - Account Management,1750
23/07/2010,2648801,Video Arts Ltd,Staff Training,HR Training and Development,499
15/07/2010,2648420,Viridor Waste Management Ltd,Recycling and Refuse,Millbank - Facilities,1367.73
28/07/2010,2648863,Vodafone Limited,Telecommunication Rental & Maintenance,IT Running Costs,10.36
28/07/2010,2648863,Vodafone Limited,Telecommunication Rental & Maintenance,IT Running Costs,1212.82
28/07/2010,2648864,Vodafone Limited,Telecommunication Rental & Maintenance,IT Running Costs,11.17
28/07/2010,2648864,Vodafone Limited,Telecommunication Rental & Maintenance,IT Running Costs,757.85
28/07/2010,2648866,Vodafone Limited,Telecommunication Rental & Maintenance,IT Running Costs,27.49
28/07/2010,2648866,Vodafone Limited,Telecommunication Rental & Maintenance,IT Running Costs,405.62
01/07/2010,2648152,Voice Business,Staff Training,HR Training and Development,1650
01/07/2010,2648161,Voice Business,Staff Training,HR Training and Development,1000
01/07/2010,2648161,Voice Business,Staff Training,HR Training and Development,1000
21/07/2010,2648699,Ward Goodman Chartered Accountants,Contractor Costs,Head of Ops - South West - Ops Southern,3276
28/07/2010,2648980,Warwick University Training,Staff Training,HR Training and Development,1578.84
28/07/2010,2648980,Warwick University Training,Staff Training,HR Training and Development,502.16
21/07/2010,2648369,West Yorkshire Police Authority,Contractor Travel & Subsistence Expenses,LGH&CS management,464.9
21/07/2010,2648369,West Yorkshire Police Authority,Contractor Travel & Subsistence Expenses,LGH&CS management,105
06/07/2010,2648268,Westminster Business Centre,Rent Licences (Not Leased),Estate Management,5000
06/07/2010,2648185,Willcox Catering,Food & Beverages Charges,Nicholson House,99.04
06/07/2010,2648185,Willcox Catering,Food & Beverages Charges,Westward House,461.64
15/07/2010,2648659,Willis UK Limited,Insurances,Performance and Development,1890
15/07/2010,2648660,Willis UK Limited,Insurances,Performance and Development,10942.65
15/07/2010,2648661,Willis UK Limited,Insurances,Performance and Development,69800.85
15/07/2010,2648662,Willis UK Limited,Insurances,Performance and Development,1287.4
15/07/2010,2648663,Willis UK Limited,Insurances,Performance and Development,17850
15/07/2010,2648664,Willis UK Limited,Insurances,Performance and Development,7617.86
15/07/2010,2648665,Willis UK Limited,Car Insurance Invoices,Performance and Development,287532
15/07/2010,2648666,Willis UK Limited,Insurances,Performance and Development,9187.5
15/07/2010,2648667,Willis UK Limited,Insurances,Performance and Development,1181.25
15/07/2010,2648668,Willis UK Limited,Insurances,Performance and Development,99559.23
15/07/2010,2648669,Willis UK Limited,Insurances,Performance and Development,233964.15
01/07/2010,2648064,Woodside Training Conf Centre,Staff Training,HR Training and Development,3942
09/07/2010,GPCJUL10,XMA Ltd,Other Supplies & Services Expenses,Regional Costs - Ops Northern,678.09
,,,,,3418802.45
