Newcastle City Council Invoices over £250 paid in February 2013,,,,,,,,,
,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total
Childrens Services,Social Services - Social Care Payments ,Third Party Payments,24/02/2013,NCC (CITYWORKS BILLING),5803462,Revenue,1MK56,Dom Care Other - Nat Ass ActsM,444.30 
Adult & Culture,Social Services                        ,Current Liabilities,07/02/2013,NCC CORPORATE APPOINTEESHIPS A/C,5787927,Revenue,4WX32,Patients Property Suspense   M,"4,535.92 "
Adult & Culture,Social Services                        ,Supplies & Services,13/02/2013,NCC CORPORATE APPOINTEESHIPS A/C,5794478,Revenue,1MR60,Payments and Income          M,349.60 
Chief Executives,CD - Accountancy                 ,Supplies & Services,18/02/2013,NCC SERVICES LTD,5797816,Revenue,1FF51,Finance                      F,"1,125.00 "
Adult & Culture,AS - Learning City         ,Supplies & Services,27/02/2013,NCFE,5809238,Revenue,1EA15,Newcastle City Learning      M,260.00 
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Internal Recharges,27/02/2013,NCJ MEDIA LTD,5782571,Revenue,1FT04,Communications And Marketing F,-168.58 
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Internal Recharges,27/02/2013,NCJ MEDIA LTD,5785589,Revenue,1FT04,Communications And Marketing F,-368.76 
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Internal Recharges,27/02/2013,NCJ MEDIA LTD,5785591,Revenue,1FT04,Communications And Marketing F,-200.18 
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Internal Recharges,27/02/2013,NCJ MEDIA LTD,5785592,Revenue,1FT04,Communications And Marketing F,-305.54 
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Internal Recharges,27/02/2013,NCJ MEDIA LTD,5796690,Revenue,1FT04,Communications And Marketing F,-168.58 
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Internal Recharges,27/02/2013,NCJ MEDIA LTD,5796692,Revenue,1FT04,Communications And Marketing F,-200.18 
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Internal Recharges,27/02/2013,NCJ MEDIA LTD,5796700,Revenue,1FT04,Communications And Marketing F,-168.58 
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Internal Recharges,27/02/2013,NCJ MEDIA LTD,5796702,Revenue,1FT04,Communications And Marketing F,-295.00 
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Internal Recharges,27/02/2013,NCJ MEDIA LTD,5799179,Revenue,1FT04,Communications And Marketing F,-168.58 
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Internal Recharges,27/02/2013,NCJ MEDIA LTD,5799186,Revenue,1FT04,Communications And Marketing F,-221.26 
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,27/02/2013,NCJ MEDIA LTD,5782565,Revenue,1RB16,Transformation Costs         R,606.62 
Childrens Services,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,27/02/2013,NCJ MEDIA LTD,5782566,Revenue,1MF11,Adoption Unit                E,750.00 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Capital Expenditure,27/02/2013,NCJ MEDIA LTD,5785589,Capital,2DP02,Devt Capital CC              K,952.63 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Capital Expenditure,27/02/2013,NCJ MEDIA LTD,5785592,Capital,2DP02,Devt Capital CC              K,789.32 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Capital Expenditure,27/02/2013,NCJ MEDIA LTD,5796690,Capital,2DP02,Devt Capital CC              K,435.49 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Capital Expenditure,27/02/2013,NCJ MEDIA LTD,5796692,Capital,2DP02,Devt Capital CC              K,517.14 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Capital Expenditure,27/02/2013,NCJ MEDIA LTD,5796700,Capital,2DP02,Devt Capital CC              K,435.49 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Capital Expenditure,27/02/2013,NCJ MEDIA LTD,5799179,Capital,2DP02,Devt Capital CC              K,435.49 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Internal Recharges,27/02/2013,NCJ MEDIA LTD,5785597,Revenue,1V030,Development Management       K,-316.08 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,27/02/2013,NCJ MEDIA LTD,5782571,Revenue,1V030,Development Management       K,266.91 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,27/02/2013,NCJ MEDIA LTD,5785591,Revenue,1V030,Development Management       K,316.96 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,27/02/2013,NCJ MEDIA LTD,5785597,Revenue,1V030,Development Management       K,500.46 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,27/02/2013,NCJ MEDIA LTD,5796702,Revenue,1V030,Development Management       K,467.10 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,27/02/2013,NCJ MEDIA LTD,5799186,Revenue,1V030,Development Management       K,350.32 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Support Services,27/02/2013,NCJ MEDIA LTD,5782571,Revenue,1V030,Development Management       K,168.58 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Support Services,27/02/2013,NCJ MEDIA LTD,5785591,Revenue,1V030,Development Management       K,200.18 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Support Services,27/02/2013,NCJ MEDIA LTD,5785597,Revenue,1V030,Development Management       K,316.08 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Support Services,27/02/2013,NCJ MEDIA LTD,5796702,Revenue,1V030,Development Management       K,295.00 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Support Services,27/02/2013,NCJ MEDIA LTD,5799186,Revenue,1V030,Development Management       K,221.26 
Childrens Services,Educ Fossway S/Start       ,Third Party Payments,19/02/2013,NCLE ACTION FOR PARENT & TODDLER GROUPS,5799990,Revenue,1EEK2,South Heaton Childrens CentreE,"1,350.00 "
Childrens Services,Educ Fossway S/Start       ,Third Party Payments,19/02/2013,NCLE ACTION FOR PARENT & TODDLER GROUPS,5799990,Revenue,1EEK3,Ouseburn Childrens Centre    E,"1,350.00 "
Adult & Culture,Social Services                        ,Supplies & Services,17/02/2013,NDATA UK LTD,5796740,Revenue,1MR24,Performance Management       M,495.97 
Chief Executives,CD - Mansion House               ,Supplies & Services,11/02/2013,NE TIMES LTD,5791261,Revenue,1FN02,Mansion House                F,275.00 
Childrens Services,Int Childhood Services     ,Supplies & Services,12/02/2013,NECC TRAINING AND ASSESSMENT CENTRE LTD,5785929,Revenue,1EET6,Accredited Training Fund     E,"1,425.00 "
Childrens Services,Educ Linhope PRU           ,Supplies & Services,20/02/2013,NEETA,5801463,Revenue,1E+254,Linhope PRU                  E,449.00 
Childrens Services,Schools Payment Agency                 ,Supplies & Services,19/02/2013,NELSON THORNES  LTD,5798586,Revenue,1E+97,Bridgewater Centre           E,353.36 
Childrens Services,Educ Newbiggin S/Start     ,Supplies & Services,13/02/2013,Neopost Finance Ltd,5794411,Revenue,1EEH1,NBH CC Central Costs         E,"1,510.72 "
Environment & Regeneration,CD - IT Mgmt & Networks          ,Supplies & Services,13/02/2013,NEOPOST FINANCE LTD,5794618,Revenue,1D521,Hackney Carriage & Privte HreK,413.26 
Environment & Regeneration,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,19/02/2013,NEOPOST LTD,5799081,Revenue,1DE50,i6- Charlotte Square NEC     K,"1,000.00 "
Adult & Culture,St Josephs RC Primary School           ,Supplies & Services,18/02/2013,NEOPOST-CREDIFON ACCOUNTS,5798575,Revenue,1VH26,Housing Services             M,500.00 
Chief Executives,Revenues/Council Tax                   ,Outside CIPFA,26/02/2013,NETWORK RAIL INFRASTRUCTURE LTD,5581070,Revenue,3RE12,NNDR Bids Debtors Account    F,291.30 
Adult & Culture,Adult Serv Finance         ,Third Party Payments,06/02/2013,NEURO PARTNERS LTD,5787137,Revenue,1MH50,Ind Home Spot Pur PD         M,"7,851.00 "
Adult & Culture,Adult Serv Finance         ,Third Party Payments,12/02/2013,NEURO PARTNERS LTD,5793128,Revenue,1MM50,Ind Home - Spot Pur MH       M,435.00 
Adult & Culture,Adult Serv Finance         ,Third Party Payments,13/02/2013,NEURO PARTNERS LTD,5793917,Revenue,1MM50,Ind Home - Spot Pur MH       M,348.00 
Adult & Culture,Adult Serv Finance         ,Third Party Payments,19/02/2013,NEURO PARTNERS LTD,5800178,Revenue,1MH50,Ind Home Spot Pur PD         M,304.50 
Adult & Culture,Adult Serv Finance         ,Third Party Payments,19/02/2013,NEURO PARTNERS LTD,5800196,Revenue,1MH50,Ind Home Spot Pur PD         M,464.00 
Adult & Culture,Adult Serv Finance         ,Third Party Payments,19/02/2013,NEURO PARTNERS LTD,5800198,Revenue,1MH50,Ind Home Spot Pur PD         M,348.00 
Adult & Culture,Adult Serv Finance         ,Third Party Payments,19/02/2013,NEURO PARTNERS LTD,5800200,Revenue,1MH50,Ind Home Spot Pur PD         M,"2,030.00 "
Adult & Culture,Adult Serv Finance         ,Third Party Payments,19/02/2013,NEURO PARTNERS LTD,5800202,Revenue,1MH50,Ind Home Spot Pur PD         M,275.50 
Adult & Culture,Adult Serv Finance         ,Third Party Payments,25/02/2013,NEURO PARTNERS LTD,5805554,Revenue,1MH50,Ind Home Spot Pur PD         M,"7,851.00 "
Environment & Regeneration,Highways                               ,Supplies & Services,28/02/2013,NEUTRONICS,5795782,Revenue,1KELL,Traffic Sig Gateshead Rech   K,260.00 
Adult & Culture,Social Services                        ,Current Liabilities,07/02/2013,NEW BEGINNINGS (N.E.) LTD,5788631,Revenue,4WX32,Patients Property Suspense   M,"2,497.56 "
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",18/02/2013,NEW BEGINNINGS (N.E.) LTD,5797837,Revenue,1MK50,Ind Supported Living LD      M,"-10,858.24 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEW BEGINNINGS (N.E.) LTD,5797837,Revenue,1MK50,Ind Supported Living LD      M,"278,177.86 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEW BEGINNINGS (N.E.) LTD,5797837,Revenue,3WH96,Continuing Care-Dom Payments M,"5,710.74 "
Adult & Culture,Social Services                        ,Current Liabilities,27/02/2013,NEW BEGINNINGS (N.E.) LTD,5808737,Revenue,4WX32,Patients Property Suspense   M,"5,922.60 "
Adult & Culture,Social Services-Care Support           ,Third Party Payments,20/02/2013,NEW BEGINNINGS (NORTH EAST) LTD,5801507,Revenue,3WH91,Supporting People            M,"26,164.56 "
Adult & Culture,Social Services                        ,Current Liabilities,26/02/2013,NEW BEGINNINGS (NORTH EAST) LTD,5808286,Revenue,4WX32,Patients Property Suspense   M,832.52 
Adult & Culture,Social Services-Care Support           ,Third Party Payments,20/02/2013,NEW LEAF SUPPORTING INDEPENDENCE,5801499,Revenue,3WH91,Supporting People            M,"9,721.20 "
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",18/02/2013,NEW PROSPECTS ASSOCIATION LTD,5797847,Revenue,1MK50,Ind Supported Living LD      M,"-1,417.32 "
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",18/02/2013,NEW PROSPECTS ASSOCIATION LTD,5797883,Revenue,1MK54,Dom Care Own Tenancy LD      M,-191.04 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEW PROSPECTS ASSOCIATION LTD,5797847,Revenue,1MK50,Ind Supported Living LD      M,"46,869.04 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEW PROSPECTS ASSOCIATION LTD,5797883,Revenue,1MK54,Dom Care Own Tenancy LD      M,"6,870.97 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEW PROSPECTS ASSOCIATION LTD,5797883,Revenue,1MK55,Dom Care Family/Carer LD     M,"16,189.19 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEW PROSPECTS ASSOCIATION LTD,5797883,Revenue,1MM51,Ind Home-Per Care MH         M,149.64 
Adult & Culture,Social Services-Care Support           ,Third Party Payments,20/02/2013,NEW PROSPECTS ASSOCIATION LTD,5801525,Revenue,3WH91,Supporting People            M,"3,618.00 "
Childrens Services,Workforce Development      ,Supplies & Services,25/02/2013,NEWCASTLE  YMCA,5805526,Revenue,1MD75,Eastend Comm Health Prog     E,"2,323.70 "
Childrens Services,Social Services-Care Support           ,Supplies & Services,27/02/2013,NEWCASTLE  YMCA,5809120,Revenue,1EY10,Youth Management             E,"6,064.24 "
Adult & Culture,Adult Serv Phys Disab      ,Transport,10/02/2013,NEWCASTLE AMBULANCE SERVICE,5789646,Revenue,1MH60,Ind Day Care PD              M,"2,203.20 "
Adult & Culture,Adult Serv Phys Disab      ,Transport,13/02/2013,NEWCASTLE AMBULANCE SERVICE,5794676,Revenue,1MH60,Ind Day Care PD              M,"2,203.20 "
Adult & Culture,Adult Serv Phys Disab      ,Transport,19/02/2013,NEWCASTLE AMBULANCE SERVICE,5799544,Revenue,1MH60,Ind Day Care PD              M,"2,203.20 "
Adult & Culture,Adult Serv Phys Disab      ,Transport,28/02/2013,NEWCASTLE AMBULANCE SERVICE,5810468,Revenue,1MH60,Ind Day Care PD              M,"2,203.20 "
Adult & Culture,Adult Serv Phys Disab      ,Transport,28/02/2013,NEWCASTLE AMBULANCE SERVICE,5810469,Revenue,1MH60,Ind Day Care PD              M,"2,203.20 "
Adult & Culture,Adult Serv Phys Disab      ,Transport,28/02/2013,NEWCASTLE AMBULANCE SERVICE,5810470,Revenue,1MH60,Ind Day Care PD              M,"2,203.20 "
City Services,CD - Customer Service Devt       ,Premises,05/02/2013,NEWCASTLE AND NORTH TYNESIDE LIFT CO LTD,5786048,Revenue,1CC56,WALKER CHURCHWALK LIFT CSC   C,"12,962.98 "
City Services,CD - Customer Service Devt       ,Premises,12/02/2013,NEWCASTLE AND NORTH TYNESIDE LIFT CO LTD,5792978,Revenue,1CC54,KENTON LIFT CSC              C,"30,581.56 "
City Services,CD - Customer Service Devt       ,Premises,06/02/2013,NEWCASTLE AND NORTH TYNESIDE LIFT T2,5786049,Revenue,1CC53,SHIELDS ROAD INTERIM CSC     C,"16,410.49 "
City Services,CD - Customer Service Devt       ,Premises,12/02/2013,NEWCASTLE AND NORTH TYNESIDE LIFT T2,5792979,Revenue,1CC57,GOSFORTH LIFT CSC            C,"27,708.53 "
City Services,CD - Customer Service Devt       ,Premises,12/02/2013,NEWCASTLE AND NORTH TYNESIDE LIFT T2,5792980,Revenue,1CC55,BENWELL-LIFT CSC             C,"33,221.25 "
Chief Executives,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,13/02/2013,NEWCASTLE CENTRAL & E METHODIST CIRCUIT,5794373,Revenue,1KN61,Ouseburn Ward                F,"1,830.00 "
Adult & Culture,Social Services-Care Support           ,Supplies & Services,20/02/2013,NEWCASTLE CITIZENS ADVICE BUREAU,5801514,Revenue,1MX10,Community Grants To Vol Orgs M,"20,828.75 "
Childrens Services,Educ Fossway S/Start       ,Premises,19/02/2013,NEWCASTLE CITY COUNCIL,5799235,Revenue,1EEE1,East CC Central Costs        E,875.00 
Chief Executives,Exchequer Reconciliation               ,"Sales, Fees & Charges",07/02/2013,NEWCASTLE CITY COUNCIL FOREIGN TRANS/AC,5786904,Revenue,3FE33,Payment Adjust To Re-AllocateF,20.00 
Adult & Culture,Social Services                        ,Third Party Payments,07/02/2013,NEWCASTLE CITY HEALTH NHS TRUST,5785861,Revenue,1MM92,Additional MHG               M,"1,095.00 "
Childrens Services,Int Childhood Services     ,Supplies & Services,26/02/2013,NEWCASTLE COLLEGE,5800049,Revenue,1EET6,Accredited Training Fund     E,"4,275.00 "
Childrens Services,Int Childhood Services     ,Supplies & Services,26/02/2013,NEWCASTLE COLLEGE,5800055,Revenue,1EET6,Accredited Training Fund     E,"4,275.00 "
Childrens Services,Int Childhood Services     ,Supplies & Services,26/02/2013,NEWCASTLE COLLEGE,5801374,Revenue,1EET6,Accredited Training Fund     E,"4,275.00 "
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,26/02/2013,NEWCASTLE COLLEGE,5786234,Revenue,1KB00,C/BLD GEN MAN O/H            K,"1,292.00 "
Childrens Services,Educ Linhope PRU           ,Supplies & Services,28/02/2013,NEWCASTLE COLLEGE,5801464,Revenue,1E+254,Linhope PRU                  E,"2,396.00 "
Childrens Services,Educ Linhope PRU           ,Supplies & Services,28/02/2013,NEWCASTLE COLLEGE,5801474,Revenue,1E+254,Linhope PRU                  E,960.00 
Childrens Services,Educ Linhope PRU           ,Supplies & Services,28/02/2013,NEWCASTLE COLLEGE,5801552,Revenue,1E+254,Linhope PRU                  E,"2,450.00 "
Childrens Services,Educ Linhope PRU           ,Supplies & Services,28/02/2013,NEWCASTLE COLLEGE,5801554,Revenue,1E+254,Linhope PRU                  E,"1,170.00 "
Childrens Services,Educ Linhope PRU           ,Supplies & Services,28/02/2013,NEWCASTLE COLLEGE,5801556,Revenue,1E+254,Linhope PRU                  E,"2,396.00 "
Environment & Regeneration,E&R Environmental Crime    ,Supplies & Services,19/02/2013,NEWCASTLE DISABILITY FORUM,5796135,Revenue,1D521,Hackney Carriage & Privte HreK,636.00 
Environment & Regeneration,E&R Environmental Crime     ,Supplies & Services,21/02/2013,NEWCASTLE DOG & CAT SHELTER & ANIMAL,5802829,Revenue,1D533,Dog Warden                   K,"1,830.00 "
Childrens Services,Comm & Learner Funding     ,Supplies & Services,28/02/2013,NEWCASTLE EDUCATION BUSINESS PARTNERSHIP,5810846,Revenue,1E864,Commissioning & Learning FundE,"1,680.00 "
Childrens Services,Comm & Learner Funding     ,Supplies & Services,20/02/2013,NEWCASTLE FUTURES (CENTRAL FUND),5801444,Revenue,1E875,EFA - Youth Contract C/CitiesE,"11,400.00 "
Adult & Culture,Adult Serv-Arts & Cul      ,Supplies & Services,26/02/2013,NEWCASTLE GATESHEAD INITIATIVE,5807751,Revenue,1DF60,"NGI culture prog, prev Cult10M","15,000.00 "
Adult & Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",18/02/2013,NEWCASTLE HOME CARE ASSOCIATES,5797827,Revenue,1MK50,Ind Supported Living LD      M,-450.03 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEWCASTLE HOME CARE ASSOCIATES,5797827,Revenue,1MK50,Ind Supported Living LD      M,"26,183.08 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEWCASTLE HOME CARE ASSOCIATES,5797856,Revenue,1MG51,Ind Home Per Care Elderly    M,"70,772.69 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEWCASTLE HOME CARE ASSOCIATES,5797856,Revenue,1MH51,Ind Home Per Care PD         M,"13,441.24 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEWCASTLE HOME CARE ASSOCIATES,5797856,Revenue,1MK51,Ind Home-Per Care LD         M,440.00 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEWCASTLE HOME CARE ASSOCIATES,5797856,Revenue,1MM51,Ind Home-Per Care MH         M,319.00 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEWCASTLE HOME CARE ASSOCIATES,5797856,Revenue,3WH96,Continuing Care-Dom Payments M,924.00 
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEWCASTLE HOME CARE ASSOCIATES,5797869,Revenue,1MK54,Dom Care Own Tenancy LD      M,"1,844.08 "
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,18/02/2013,NEWCASTLE HOME CARE ASSOCIATES,5797869,Revenue,1MK55,Dom Care Family/Carer LD     M,"2,043.44 "
Adult & Culture,Adult Serv Occ Therapy     ,Supplies & Services,11/02/2013,NEWCASTLE ON TYNE HOSPITALS NHS TRUST,5791277,Revenue,1MG70,Equip & Adapt Eldery         M,275.62 
Adult & Culture,Adult Serv Occ Therapy     ,Supplies & Services,12/02/2013,NEWCASTLE ON TYNE HOSPITALS NHS TRUST,5793257,Revenue,1MG70,Equip & Adapt Eldery         M,"1,348.50 "
Chief Executives,CD - Safe Newcastle Unit         ,Employees,14/02/2013,NEWCASTLE PROPS,5796170,Revenue,1VP36,PPI Corp Funds               F,700.00 
Chief Executives,CD - Occup Health Unit           ,Supplies & Services,18/02/2013,NEWCASTLE SPORTS INJURY CLINIC,5797985,Revenue,1FP30,Occupational Health          F,"9,306.58 "
Childrens Services,Childrens Services Support       ,Transfer Payments,14/02/2013,NEWCASTLE TAXIS LTD,5795300,Revenue,1E+212,Transport Special            E,365.00 
Childrens Services,Childrens Services Support       ,Transfer Payments,14/02/2013,NEWCASTLE TAXIS LTD,5795869,Revenue,1E+212,Transport Special            E,255.00 
Childrens Services,Childrens Services Support       ,Transfer Payments,14/02/2013,NEWCASTLE TAXIS LTD,5795914,Revenue,1E+212,Transport Special            E,598.00 
Childrens Services,Childrens Services Support       ,Transfer Payments,14/02/2013,NEWCASTLE TAXIS LTD,5795931,Revenue,1E+212,Transport Special            E,270.00 
Childrens Services,Childrens Services Support       ,Transfer Payments,14/02/2013,NEWCASTLE TAXIS LTD,5795932,Revenue,1E+212,Transport Special            E,345.00 
Adult & Culture,CD - Accountancy NOR                   ,"Sales, Fees & Charges",20/02/2013,NEWCASTLE THEATRE ROYAL TRUST LTD,5799361,Revenue,1DF10,Theatre Royal Contribution   M,"200,000.00 "
Childrens Services,Workforce Development      ,Supplies & Services,07/02/2013,NEWCASTLE UNIVERSITY,5784569,Revenue,1MD84,TAMHS GRANT                  E,300.00 
Adult & Culture,Social Services                        ,Supplies & Services,27/02/2013,NEWCASTLE UPON TYNE FOUNDATION TRUST,5531655,Revenue,1MG70,Equip & Adapt Eldery         M,"1,674.50 "
Chief Executives,Coroners                               ,Premises,07/02/2013,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,5787569,Revenue,1FA51,Coroner                      F,"19,936.80 "
Adult & Culture,Social Services                        ,Supplies & Services,13/02/2013,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,5794750,Revenue,1MG70,Equip & Adapt Eldery         M,"8,726.05 "
Adult & Culture,Social Services                        ,Third Party Payments,13/02/2013,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,5794151,Revenue,1MG54,Carers Grant Eld             M,"1,117.48 "
Adult & Culture,Social Services                        ,Third Party Payments,14/02/2013,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,5795494,Revenue,1MX06,Care at Home                 M,"8,067.00 "
Adult & Culture,Social Services                        ,Supplies & Services,17/02/2013,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,5797216,Revenue,1MG70,Equip & Adapt Eldery         M,"138,894.75 "
Adult & Culture,Social Services                        ,Supplies & Services,18/02/2013,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,5798347,Revenue,1MG70,Equip & Adapt Eldery         M,"9,679.34 "
Chief Executives,Coroners                               ,Premises,18/02/2013,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,5787951,Revenue,1FA51,Coroner                      F,"21,811.19 "
Chief Executives,Coroners                               ,Premises,19/02/2013,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,5787950,Revenue,1FA51,Coroner                      F,"29,069.18 "
Childrens Services,Int Childhood Services     ,Third Party Payments,25/02/2013,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,5805545,Revenue,1EEL3,Speech & Language Therapy    E,"38,502.00 "
Childrens Services,EDUCATION                              ,Supplies & Services,28/02/2013,NEWCASTLE UPON TYNE HOSPITALS NHS TRUST,5810442,Revenue,1MB09,Assessment (Children)        E,"12,264.99 "
Adult & Culture,Adult Serv Finance         ,Third Party Payments,06/02/2013,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,5757404,Revenue,1MG54,Carers Grant Eld             M,"1,117.48 "
Adult & Culture,Adult Serv Finance         ,Third Party Payments,06/02/2013,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,5787193,Revenue,1MX06,Care at Home                 M,"1,904.74 "
Adult & Culture,Adult Serv Finance         ,Employees,21/02/2013,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,5802380,Revenue,1MR08,Director Of Adult Social CareM,"2,954.03 "
Adult & Culture,Adult Serv Finance         ,Third Party Payments,21/02/2013,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,5802381,Revenue,1MX06,Care at Home                 M,"11,808.33 "
Adult & Culture,Adult Serv Finance         ,Third Party Payments,21/02/2013,NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,5802467,Revenue,1MX06,Care at Home                 M,"9,750.81 "
Childrens Services,Comm & Learner Funding     ,Supplies & Services,25/02/2013,NEWCASTLE UXL,5805550,Revenue,1E864,Commissioning & Learning FundE,"1,500.00 "
Adult & Culture,Social Services-Care Support           ,Third Party Payments,20/02/2013,NEWCASTLE WOMENS AID,5801485,Revenue,3WH91,Supporting People            M,"13,147.76 "
HRA,HRA IT/Ngate               ,Supplies & Services,10/02/2013,NEWLANDMEDIA LTD,5790287,Revenue,1HC04,HRA ICT Engagement           H,"1,486.00 "
HRA,HRA IT/Ngate               ,Supplies & Services,21/02/2013,NEWLANDMEDIA LTD,5802809,Revenue,1HC04,HRA ICT Engagement           H,"3,631.00 "
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,10/02/2013,NEWMAN INSULATION LTD,5789678,Revenue,1KVEM,MECHANICAL STAND ALONE WORKS K,360.00 
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,13/02/2013,NEWMAN INSULATION LTD,5794628,Revenue,1KVEM,MECHANICAL STAND ALONE WORKS K,495.00 
Environment & Regeneration,E&R Parking Services       ,Transport,20/02/2013,NEXUS,5799209,Revenue,1V301,Travel Office Travel Passes  K,"30,800.00 "
Environment & Regeneration,E&R Trans P&D              ,Premises,25/02/2013,NEXUS,5806317,Revenue,1V080,Private Developers s106      K,"4,709.96 "
Environment & Regeneration,E&R Parking Services       ,Transport,26/02/2013,NEXUS,5805524,Revenue,1V301,Travel Office Travel Passes  K,"1,070.00 "
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,12/02/2013,NFS HOSPITALITY,5793240,Revenue,1KF07,BANQUETING SUITE             K,"2,320.00 "
Environment & Regeneration,E&R Fairer Housing             ,Capital Expenditure,25/02/2013,NHBC SERVICES LTD,5806316,Capital,2N401,Capital General              K,"2,021.00 "
Environment & Regeneration,Cityworks City Hall        ,Supplies & Services,13/02/2013,NITELITES,5790007,Revenue,1KL3A,City Hall                    K,"1,230.00 "
Environment & Regeneration,Cityworks City Hall        ,Supplies & Services,21/02/2013,NITELITES,5794617,Revenue,1KL3A,City Hall                    K,400.00 
Childrens Services,Educ Linhope PRU           ,Transport,04/02/2013,NODA TAXIS LTD,5784940,Revenue,1E+254,Linhope PRU                  E,635.50 
Childrens Services,Educ Linhope PRU           ,Transport,06/02/2013,NODA TAXIS LTD,5787028,Revenue,1E+254,Linhope PRU                  E,587.00 
Adult & Culture,Adult Serv Learn Disab     ,Transport,10/02/2013,NODA TAXIS LTD,5789642,Revenue,1MK60,Ind Day Care LD              M,286.20 
Childrens Services,Educ Linhope PRU           ,Transport,11/02/2013,NODA TAXIS LTD,5791460,Revenue,1E+254,Linhope PRU                  E,637.30 
Adult & Culture,Adult Serv Learn Disab     ,Transport,14/02/2013,NODA TAXIS LTD,5795634,Revenue,1MK60,Ind Day Care LD              M,290.00 
