Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Amount
Department of Health,Western Cheshire PCT,20/12/2010,DISP DRS - REMUNERATION GENERAL,General Practioner Payments,MALPAS SURGERY,"15,599.46 "
Department of Health,Western Cheshire PCT,20/12/2010,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,MALPAS SURGERY,"44,715.68 "
Department of Health,Western Cheshire PCT,20/12/2010,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,MALPAS SURGERY,"-48,858.22 "
Department of Health,Western Cheshire PCT,20/12/2010,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,MALPAS SURGERY,"3,621.60 "
Department of Health,Western Cheshire PCT,20/12/2010,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,MALPAS SURGERY,"-3,621.60 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,MALPAS SURGERY,"1,770.38 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,MALPAS SURGERY,767.42 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,MALPAS SURGERY,"-4,664.10 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,MALPAS SURGERY,"-2,523.51 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,MALPAS SURGERY,"36,658.73 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,MALPAS SURGERY,"6,552.12 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,MALPAS SURGERY,"8,696.21 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,MALPAS SURGERY,"3,916.67 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,MALPAS SURGERY,"4,464.17 "
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,MALPAS SURGERY,"-42,705.04 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,MALPAS SURGERY,-9.00 
Department of Health,Western Cheshire PCT,22/12/2010,RURAL GP NETWORK,General Practioner Payments,MALPAS SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,MALPAS SURGERY,-204.23 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,MALPAS SURGERY,-205.97 
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,"-2,800.00 "
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN EES GENERAL,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,"-1,300.00 "
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,-900.00 
Department of Health,Western Cheshire PCT,10/12/2010,BUDGET GENERAL,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,"39,411.00 "
Department of Health,Western Cheshire PCT,10/12/2010,QUALITY ASPIRATION PYMT GENERAL,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,"4,402.21 "
Department of Health,Western Cheshire PCT,10/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,"3,041.66 "
Department of Health,Western Cheshire PCT,10/12/2010,OOH DEDUCTION GENERAL,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,"-1,038.00 "
Department of Health,Western Cheshire PCT,10/12/2010,BUDGET GENERAL,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,412.17 
Department of Health,Western Cheshire PCT,10/12/2010,CHOOSE AND BOOK GENERAL,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,"-2,181.38 "
Department of Health,Western Cheshire PCT,10/12/2010,COURIER,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,-15.00 
Department of Health,Western Cheshire PCT,10/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,161.58 
Department of Health,Western Cheshire PCT,10/12/2010,CITY GP NETWORK,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,200.00 
Department of Health,Western Cheshire PCT,10/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,241.50 
Department of Health,Western Cheshire PCT,10/12/2010,LEVY (STAT),General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,-123.53 
Department of Health,Western Cheshire PCT,10/12/2010,LEVY (VOL),General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,-14.08 
Department of Health,Western Cheshire PCT,10/12/2010,ADVANCES,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,"-4,630.67 "
Department of Health,Western Cheshire PCT,10/12/2010,INTERMEDIATE CARE,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,313.67 
Department of Health,Western Cheshire PCT,10/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,WESTERN AVENUE MEDICAL CENTRE,-149.89 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"77,000.00 "
Department of Health,Western Cheshire PCT,15/12/2010,PRESC DRS - DRUGS GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"20,030.87 "
Department of Health,Western Cheshire PCT,15/12/2010,PRESC DRS - REMUNERATION GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"5,210.83 "
Department of Health,Western Cheshire PCT,22/12/2010,GSUM APR- JUN,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"1,478.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"7,912.50 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"1,822.60 "
Department of Health,Western Cheshire PCT,22/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"1,205.07 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"-12,617.86 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"-6,860.20 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"94,736.74 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"1,477.51 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"21,300.44 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"14,770.83 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"13,308.86 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,-920.64 
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,CITY WALLS MEDICAL CENTRE,"-97,849.10 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,CITY WALLS MEDICAL CENTRE,-33.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,727.11 
Department of Health,Western Cheshire PCT,22/12/2010,CITY GP NETWORK,General Practioner Payments,CITY WALLS MEDICAL CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CPD TRAINER,General Practioner Payments,CITY WALLS MEDICAL CENTRE,750.00 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,CITY WALLS MEDICAL CENTRE,48.48 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,CITY WALLS MEDICAL CENTRE,-560.78 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,CITY WALLS MEDICAL CENTRE,-641.07 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,LACHE HEALTH CENTRE,"28,600.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,LACHE HEALTH CENTRE,"2,998.80 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,LACHE HEALTH CENTRE,947.28 
Department of Health,Western Cheshire PCT,22/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,LACHE HEALTH CENTRE,"1,266.34 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,LACHE HEALTH CENTRE,"-3,610.84 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,LACHE HEALTH CENTRE,"-1,934.38 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,LACHE HEALTH CENTRE,"29,850.11 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,LACHE HEALTH CENTRE,"5,896.53 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,LACHE HEALTH CENTRE,"7,224.56 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,LACHE HEALTH CENTRE,"6,959.06 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,LACHE HEALTH CENTRE,-414.58 
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,LACHE HEALTH CENTRE,"-34,255.31 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,LACHE HEALTH CENTRE,-12.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,LACHE HEALTH CENTRE,215.44 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,LACHE HEALTH CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CITY GP NETWORK,General Practioner Payments,LACHE HEALTH CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CPD TRAINER,General Practioner Payments,LACHE HEALTH CENTRE,"1,500.00 "
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,LACHE HEALTH CENTRE,-193.00 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,LACHE HEALTH CENTRE,-181.60 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,NORTHGATE VILLAGE SURGERY,"27,000.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,NORTHGATE VILLAGE SURGERY,"2,942.49 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,NORTHGATE VILLAGE SURGERY,715.68 
Department of Health,Western Cheshire PCT,22/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,NORTHGATE VILLAGE SURGERY,633.17 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,NORTHGATE VILLAGE SURGERY,"-4,888.39 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,NORTHGATE VILLAGE SURGERY,"-2,884.61 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,NORTHGATE VILLAGE SURGERY,"33,306.88 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,NORTHGATE VILLAGE SURGERY,466.54 
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,NORTHGATE VILLAGE SURGERY,"8,085.39 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,NORTHGATE VILLAGE SURGERY,"3,029.17 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,NORTHGATE VILLAGE SURGERY,"6,293.00 "
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,NORTHGATE VILLAGE SURGERY,"-34,503.24 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,NORTHGATE VILLAGE SURGERY,-9.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,NORTHGATE VILLAGE SURGERY,80.79 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,NORTHGATE VILLAGE SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CITY GP NETWORK,General Practioner Payments,NORTHGATE VILLAGE SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CPD TRAINER,General Practioner Payments,NORTHGATE VILLAGE SURGERY,750.00 
Department of Health,Western Cheshire PCT,22/12/2010,PHLEBOTOMY,General Practioner Payments,NORTHGATE VILLAGE SURGERY,416.67 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,NORTHGATE VILLAGE SURGERY,-202.00 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,NORTHGATE VILLAGE SURGERY,-241.84 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,ELMS MEDICAL CENTRE,"41,000.00 "
Department of Health,Western Cheshire PCT,22/12/2010,GSUM APR- JUN,General Practioner Payments,ELMS MEDICAL CENTRE,551.50 
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,ELMS MEDICAL CENTRE,"4,516.28 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,ELMS MEDICAL CENTRE,"1,426.92 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,ELMS MEDICAL CENTRE,"-6,028.96 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,ELMS MEDICAL CENTRE,"-3,540.83 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,ELMS MEDICAL CENTRE,"48,636.82 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,ELMS MEDICAL CENTRE,"2,660.36 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,ELMS MEDICAL CENTRE,"11,368.60 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,ELMS MEDICAL CENTRE,"4,020.83 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,ELMS MEDICAL CENTRE,"6,121.69 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,ELMS MEDICAL CENTRE,"-1,132.36 "
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,ELMS MEDICAL CENTRE,"-51,991.79 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,ELMS MEDICAL CENTRE,-12.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,ELMS MEDICAL CENTRE,242.37 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,ELMS MEDICAL CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CITY GP NETWORK,General Practioner Payments,ELMS MEDICAL CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,PHLEBOTOMY,General Practioner Payments,ELMS MEDICAL CENTRE,178.14 
Department of Health,Western Cheshire PCT,22/12/2010,AVC EQU LIFE,General Practioner Payments,ELMS MEDICAL CENTRE,-19.20 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,ELMS MEDICAL CENTRE,-314.24 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,ELMS MEDICAL CENTRE,-382.61 
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,ROOKERY SURGERY,-498.90 
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN EES GENERAL,General Practioner Payments,ROOKERY SURGERY,-231.63 
Department of Health,Western Cheshire PCT,10/12/2010,BUDGET GENERAL,General Practioner Payments,ROOKERY SURGERY,"26,581.25 "
Department of Health,Western Cheshire PCT,10/12/2010,QUALITY ASPIRATION PYMT GENERAL,General Practioner Payments,ROOKERY SURGERY,"4,217.65 "
Department of Health,Western Cheshire PCT,10/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,ROOKERY SURGERY,"-2,953.80 "
Department of Health,Western Cheshire PCT,10/12/2010,OOH DEDUCTION GENERAL,General Practioner Payments,ROOKERY SURGERY,-961.83 
Department of Health,Western Cheshire PCT,10/12/2010,COURIER,General Practioner Payments,ROOKERY SURGERY,-3.00 
Department of Health,Western Cheshire PCT,10/12/2010,RURAL GP NETWORK,General Practioner Payments,ROOKERY SURGERY,400.00 
Department of Health,Western Cheshire PCT,10/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,ROOKERY SURGERY,173.42 
Department of Health,Western Cheshire PCT,10/12/2010,LEVY (STAT),General Practioner Payments,ROOKERY SURGERY,-160.18 
Department of Health,Western Cheshire PCT,10/12/2010,LEVY (VOL),General Practioner Payments,ROOKERY SURGERY,-18.26 
Department of Health,Western Cheshire PCT,10/12/2010,ADVANCES,General Practioner Payments,ROOKERY SURGERY,"-4,241.91 "
Department of Health,Western Cheshire PCT,10/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,ROOKERY SURGERY,-138.79 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,KNOLL SURGERY,"52,700.00 "
Department of Health,Western Cheshire PCT,20/12/2010,DISP DRS - DRUGS GENERAL,General Practioner Payments,KNOLL SURGERY,"50,242.72 "
Department of Health,Western Cheshire PCT,20/12/2010,DISP DRS - REMUNERATION GENERAL,General Practioner Payments,KNOLL SURGERY,"13,856.99 "
Department of Health,Western Cheshire PCT,20/12/2010,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,KNOLL SURGERY,"42,640.88 "
Department of Health,Western Cheshire PCT,20/12/2010,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,KNOLL SURGERY,"-40,201.76 "
Department of Health,Western Cheshire PCT,20/12/2010,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,KNOLL SURGERY,"2,181.60 "
Department of Health,Western Cheshire PCT,20/12/2010,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,KNOLL SURGERY,"-2,181.60 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,KNOLL SURGERY,"3,576.88 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,KNOLL SURGERY,"1,151.12 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,KNOLL SURGERY,"-5,543.40 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,KNOLL SURGERY,"-2,999.07 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,KNOLL SURGERY,"63,763.34 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,KNOLL SURGERY,"2,052.81 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,KNOLL SURGERY,"14,677.90 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,KNOLL SURGERY,"4,700.75 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,KNOLL SURGERY,"8,657.60 "
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,KNOLL SURGERY,"-66,282.10 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,KNOLL SURGERY,-27.00 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,KNOLL SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CITY GP NETWORK,General Practioner Payments,KNOLL SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,KNOLL SURGERY,-381.08 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,KNOLL SURGERY,-475.28 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,TARPORLEY HEALTH CENTRE,"37,800.00 "
Department of Health,Western Cheshire PCT,20/12/2010,DISP DRS - DRUGS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"45,646.69 "
Department of Health,Western Cheshire PCT,20/12/2010,DISP DRS - REMUNERATION GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"12,500.73 "
Department of Health,Western Cheshire PCT,20/12/2010,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"52,553.88 "
Department of Health,Western Cheshire PCT,20/12/2010,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-47,645.54 "
Department of Health,Western Cheshire PCT,20/12/2010,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"1,944.00 "
Department of Health,Western Cheshire PCT,20/12/2010,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-1,944.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"2,998.83 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"1,031.22 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-4,918.46 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-2,703.57 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,TARPORLEY HEALTH CENTRE,"42,821.48 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,TARPORLEY HEALTH CENTRE,"4,430.69 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"9,350.84 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"9,576.67 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,"5,434.63 "
Department of Health,Western Cheshire PCT,22/12/2010,DISPENSING QUALITY SERVICES SCHEME,General Practioner Payments,TARPORLEY HEALTH CENTRE,"2,281.40 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,TARPORLEY HEALTH CENTRE,-850.50 
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,TARPORLEY HEALTH CENTRE,"-46,755.42 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,TARPORLEY HEALTH CENTRE,-9.00 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,TARPORLEY HEALTH CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,RURAL GP NETWORK,General Practioner Payments,TARPORLEY HEALTH CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,TARPORLEY HEALTH CENTRE,-256.30 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,TARPORLEY HEALTH CENTRE,-314.99 
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,"-7,228.09 "
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN EES GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,"-3,772.23 "
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,-377.89 
Department of Health,Western Cheshire PCT,10/12/2010,BUDGET GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,"89,757.00 "
Department of Health,Western Cheshire PCT,10/12/2010,QUALITY ASPIRATION PYMT GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,"12,654.93 "
Department of Health,Western Cheshire PCT,10/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,"7,333.33 "
Department of Health,Western Cheshire PCT,10/12/2010,OOH DEDUCTION GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,"-3,249.00 "
Department of Health,Western Cheshire PCT,10/12/2010,BUDGET GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,"-2,345.15 "
Department of Health,Western Cheshire PCT,10/12/2010,CHOOSE AND BOOK GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,"-6,821.96 "
Department of Health,Western Cheshire PCT,10/12/2010,COURIER,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,-18.00 
Department of Health,Western Cheshire PCT,10/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,188.51 
Department of Health,Western Cheshire PCT,10/12/2010,RATES GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,"-1,120.83 "
Department of Health,Western Cheshire PCT,10/12/2010,CITY GP NETWORK,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,200.00 
Department of Health,Western Cheshire PCT,10/12/2010,RURAL GP NETWORK,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,200.00 
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,"-9,123.86 "
