Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,CANCER AND CLINICAL SUPPORT,UNIVERSITY OF HULL,39264 - 23,8863.66
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,CANCER AND CLINICAL SUPPORT,UNIVERSITY OF HULL,39264 - 53,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,CANCER AND CLINICAL SUPPORT,UNIVERSITY OF HULL,39264 - 32,2874.60
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,CANCER AND CLINICAL SUPPORT,UNIVERSITY OF HULL,39264 - 34,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,CANCER AND CLINICAL SUPPORT,UNIVERSITY OF HULL,39264 - 7,5414.30
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,CARDIAC & NEUROSCIENCES,UNIVERSITY OF HULL,39264 - 46,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,CARDIAC & NEUROSCIENCES,UNIVERSITY OF HULL,39264 - 31,3102.76
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,CARDIAC & NEUROSCIENCES,UNIVERSITY OF HULL,39264 - 35,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,CARDIAC & NEUROSCIENCES,UNIVERSITY OF HULL,39264 - 24,3575.22
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,RESEARCH AND DEVELOPMENT,UNIVERSITY OF HULL,39264 - 30,1963.04
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,SURGERY 1,UNIVERSITY OF HULL,39264 - 52,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,SURGERY 1,UNIVERSITY OF HULL,39264 - 26,696.95
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,SURGERY 2,UNIVERSITY OF HULL,39264 - 22,1972.13
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,SURGERY 2,UNIVERSITY OF HULL,39264 - 5,1475.77
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,STAFF RECHARGES,SURGERY 2,UNIVERSITY OF HULL,39264 - 1,1189.47
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,TRAINEE DOCTORS,CARDIAC & NEUROSCIENCES,UNIVERSITY OF HULL,39264 - 51,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,TRAINEE DOCTORS,CARDIAC & NEUROSCIENCES,UNIVERSITY OF HULL,39264 - 33,1570.40
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,TRAINEE DOCTORS,SURGERY 2,UNIVERSITY OF HULL,39264 - 49,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,TRAINEE DOCTORS,SURGERY 2,UNIVERSITY OF HULL,39264 - 48,0.00
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,TRAINEE DOCTORS,SURGERY 2,UNIVERSITY OF HULL,39264 - 28,5830.98
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,TRAINEE DOCTORS,SURGERY 2,UNIVERSITY OF HULL,39264 - 27,6002.49
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,TRAINEE DOCTORS,SURGERY 2,UNIVERSITY OF HULL,39264 - 14,2073.63
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,ERNST AND YOUNG LLP,GB10300000346 - 2,5502.70
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,ISOFT PLC,SI/004628 - 2,6846.41
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,MITIE CLEANING AND ENVIRONMENTAL SERVICES LTD,7410/90184454 - 2,26232.40
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,MITIE CLEANING AND ENVIRONMENTAL SERVICES LTD,7410/90184453 - 2,46264.21
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,MITIE CLEANING AND ENVIRONMENTAL SERVICES LTD,7410/90184459 - 2,10801.59
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,MITIE CLEANING AND ENVIRONMENTAL SERVICES LTD,7410/90184460 - 2,8860.53
Department of Health,Hull and East Yorkshire NHS Trust,15-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,UNIVERSITY OF HULL,39264 - 54,1407.32
Department of Health,Hull and East Yorkshire NHS Trust,19-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,PORTAKABIN LTD,915040493 - 2,123338.66
Department of Health,Hull and East Yorkshire NHS Trust,19-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,PORTAKABIN LTD,915040493 - 1,704792.35
Department of Health,Hull and East Yorkshire NHS Trust,19-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,UNICO CONSTRUCTION,92/3689 - 2,61250.00
Department of Health,Hull and East Yorkshire NHS Trust,19-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,UNICO CONSTRUCTION,92/3689 - 1,350000.00
Department of Health,Hull and East Yorkshire NHS Trust,19-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,UNICO CONSTRUCTION,92/3710 - 2,6480.60
Department of Health,Hull and East Yorkshire NHS Trust,19-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,UNICO CONSTRUCTION,92/3710 - 1,37032.02
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2550 - 2,5249.66
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2550 - 1,29998.04
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2551 - 2,6590.00
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2551 - 1,37657.18
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2559 - 2,4898.40
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2559 - 1,27990.84
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2567 - 2,5296.72
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2567 - 1,30266.91
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2582 - 2,7372.87
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2582 - 1,42130.63
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2523 - 2,9562.98
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2523 - 1,54645.59
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2524 - 2,4175.44
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2524 - 1,23859.63
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2525 - 2,5409.29
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ALLIANCE HEALTHCARE DISTRIBUTION LTD,ASC2525 - 1,30910.21
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,CAREOLOGY LTD,0000040159 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,CAREOLOGY LTD,0000040159 - 1,27523.75
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,CAREOLOGY LTD,0000040162 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,CAREOLOGY LTD,0000040162 - 1,28894.40
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE PRODUCT SERVICES LTD,9770018392 - 2,3822.00
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE PRODUCT SERVICES LTD,9770018392 - 1,21840.00
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE PRODUCT SERVICES LTD,9730004415 - 2,4943.75
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE PRODUCT SERVICES LTD,9730004415 - 1,28250.00
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE PRODUCT SERVICES LTD,9730004416 - 2,4943.75
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,HEALTHCARE PRODUCT SERVICES LTD,9730004416 - 1,28250.00
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90706543 - 2,6660.50
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90706543 - 1,38060.00
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90709624 - 2,5701.38
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90709624 - 1,32579.30
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90715452 - 2,6775.69
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90715452 - 1,38718.25
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,LEADERSHIP DEVELOPMENT COURSE,DIRECTORATES,UNIVERSITY OF HULL,SOIN38432 - 2,10343.20
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,LEADERSHIP DEVELOPMENT COURSE,DIRECTORATES,UNIVERSITY OF HULL,SOIN38432 - 1,59104.00
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,NON - HEALTHCARE - NHS TRUSTS,FACILITIES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,337010 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,NON - HEALTHCARE - NHS TRUSTS,FACILITIES,YORKSHIRE AMBULANCE SERVICE NHS TRUST,337010 - 1,44013.38
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,NON-N.H.S. TRADE CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI821686 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,22-Oct-2010,NON-N.H.S. TRADE CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI821686 - 1,202675.67
Department of Health,Hull and East Yorkshire NHS Trust,25-Oct-2010,LEASED EQUIPMENT,BALANCE SHEET,DE LAGE LANDEN,Bank transfer,33746.05
Department of Health,Hull and East Yorkshire NHS Trust,25-Oct-2010,NURSERY VOUCHERS,BALANCE SHEET,COMPUTERSHARE VOUCHERS,Bank transfer,46641.75
Department of Health,Hull and East Yorkshire NHS Trust,26-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,BECTON DICKINSON UK LTD,100058582 - 4,22750.00
Department of Health,Hull and East Yorkshire NHS Trust,26-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,BECTON DICKINSON UK LTD,100058582 - 2,130000.00
Department of Health,Hull and East Yorkshire NHS Trust,26-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,HALL F AND SONS LTD,IN002884 - 1,26000.00
Department of Health,Hull and East Yorkshire NHS Trust,26-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,OLYMPUS KEYMED,CD1593489 - 5,-81.08
Department of Health,Hull and East Yorkshire NHS Trust,26-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,OLYMPUS KEYMED,CD1593489 - 4,8107.42
Department of Health,Hull and East Yorkshire NHS Trust,26-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,OLYMPUS KEYMED,CD1593489 - 3,0.00
Department of Health,Hull and East Yorkshire NHS Trust,26-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,OLYMPUS KEYMED,CD1593489 - 2,46328.10
Department of Health,Hull and East Yorkshire NHS Trust,26-Oct-2010,ADDITIONS - ASSETS UNDER CONSTRUCTION,CAPITAL DEVELOPMENT,OLYMPUS KEYMED,CD1593489 - 1,0.00
Department of Health,Hull and East Yorkshire NHS Trust,26-Oct-2010,LABORATORY TEST KITS,CANCER AND CLINICAL SUPPORT,BECTON DICKINSON UK LTD,100058582 - 3,0.00
Department of Health,Hull and East Yorkshire NHS Trust,26-Oct-2010,LABORATORY TEST KITS,CANCER AND CLINICAL SUPPORT,BECTON DICKINSON UK LTD,100058582 - 1,0.00
Department of Health,Hull and East Yorkshire NHS Trust,26-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,HALL F AND SONS LTD,IN002884 - 2,4550.00
Department of Health,Hull and East Yorkshire NHS Trust,28-Oct-2010,LEASED EQUIPMENT,BALANCE SHEET,DE LAGE LANDEN,Bank transfer,36425.00
Department of Health,Hull and East Yorkshire NHS Trust,28-Oct-2010,RENT,DIRECTORATES,HEALTHCARE SOLUTIONS LTD,2046 - 1,412557.71
Department of Health,Hull and East Yorkshire NHS Trust,28-Oct-2010,RENT,DIRECTORATES,HULL MATERNITY DEVELOPMENT LTD,HMD95A - 5,94.43
Department of Health,Hull and East Yorkshire NHS Trust,28-Oct-2010,RENT,DIRECTORATES,HULL MATERNITY DEVELOPMENT LTD,HMD95A - 4,539.61
Department of Health,Hull and East Yorkshire NHS Trust,28-Oct-2010,RENT,DIRECTORATES,HULL MATERNITY DEVELOPMENT LTD,HMD95A - 1,232316.42
Department of Health,Hull and East Yorkshire NHS Trust,28-Oct-2010,RENT,FACILITIES,INFRASTRUCTURE INVESTORS CASTLE HILL LTD,123 - 1,152100.65
Department of Health,Hull and East Yorkshire NHS Trust,28-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,HEALTHCARE SOLUTIONS LTD,2046 - 2,72197.60
Department of Health,Hull and East Yorkshire NHS Trust,28-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,HULL MATERNITY DEVELOPMENT LTD,HMD95A - 6,-94.43
Department of Health,Hull and East Yorkshire NHS Trust,28-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,HULL MATERNITY DEVELOPMENT LTD,HMD95A - 3,-539.61
Department of Health,Hull and East Yorkshire NHS Trust,28-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,HULL MATERNITY DEVELOPMENT LTD,HMD95A - 2,40655.38
Department of Health,Hull and East Yorkshire NHS Trust,28-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,INFRASTRUCTURE INVESTORS CASTLE HILL LTD,123 - 2,26617.61
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,COMPUTER SOFTWARE / LICENSE  FEES,DIRECTORATES,DR FOSTER LTD,0001006979 - 8,1378.13
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,COMPUTER SOFTWARE / LICENSE  FEES,DIRECTORATES,DR FOSTER LTD,0001006979 - 7,787.50
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,COMPUTER SOFTWARE / LICENSE  FEES,DIRECTORATES,DR FOSTER LTD,0001006979 - 6,1225.00
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,COMPUTER SOFTWARE / LICENSE  FEES,DIRECTORATES,DR FOSTER LTD,0001006979 - 5,437.50
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,COMPUTER SOFTWARE / LICENSE  FEES,DIRECTORATES,DR FOSTER LTD,0001006979 - 4,7875.00
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,COMPUTER SOFTWARE / LICENSE  FEES,DIRECTORATES,DR FOSTER LTD,0001006979 - 3,4500.00
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,COMPUTER SOFTWARE / LICENSE  FEES,DIRECTORATES,DR FOSTER LTD,0001006979 - 2,7000.00
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,COMPUTER SOFTWARE / LICENSE  FEES,DIRECTORATES,DR FOSTER LTD,0001006979 - 1,2500.00
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2597 - 2,4635.12
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,AAH HOSPITAL SERVICE,ASC2597 - 1,26486.34
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90719066 - 2,6660.50
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90719066 - 1,38060.00
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90721340 - 2,12952.07
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90721340 - 1,74011.84
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90722917 - 2,7910.34
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,NOVARTIS PHARMACEUTICALS UK LTD,90722917 - 1,45201.95
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ROCHE PRODUCTS LTD,1321286961 - 2,4584.04
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ROCHE PRODUCTS LTD,1321286961 - 1,26194.50
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ROCHE PRODUCTS LTD,1321287606 - 2,7129.50
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ROCHE PRODUCTS LTD,1321287606 - 1,40740.00
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ROCHE PRODUCTS LTD,1321288914 - 2,3820.03
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,DRUGS,CANCER AND CLINICAL SUPPORT,ROCHE PRODUCTS LTD,1321288914 - 1,21828.75
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,EXTERNAL CONTRACTS : LAUNDRY,FACILITIES,SYNERGY HEALTH (UK) LTD,40000020 - 1,100745.84
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,NON-N.H.S. TRADE CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI824692 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,NON-N.H.S. TRADE CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI824692 - 1,207685.97
Department of Health,Hull and East Yorkshire NHS Trust,29-Oct-2010,VAT DEBTOR < ONE YEAR,BALANCE SHEET,SYNERGY HEALTH (UK) LTD,40000020 - 2,17630.52
,,,,,,,
