UK in Context CSVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2015-2019 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues, which refers to letter mail only. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. All figures are nominal and are displayed at 2014 currency exchange ratesNote: Postal revenues are for our 18 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,2014,,YoY,CAGR,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,22,16,13,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,17,8,5,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,32,19,14,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,28,24,15,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,30,20,15,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of catch-up or on-demand services through a pay-TV provider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004 Q.21 When did you last use the following online services to watch TV programmes or films?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Week,Month,Year,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,29,17,10,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,12,13,12,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,10,9,10,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,22,16,14,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,16,12,12,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,8,5,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,13,11,12,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,17,14,14,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,11,8,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of non-broadcaster SVoD services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004  Q.21 When did you last use the following online services to watch TV programmes or films? ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Week,Month,Year,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,26,13,8,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,13,8,6,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,16,7,8,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,18,11,8,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,38,11,7,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,9,5,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,22,9,6,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,15,12,10,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,10,8,10,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVoD subscription numbers by country: 2013 and 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subscriptions (m),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: IHS/ Industry Data/ Ofcom. Note: Poland and Russia are not charted here as their respective subscriber numbers were less than 0.1m in both years. No data were available for Singapore, India or Nigeria. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,2014,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,4.12,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,0.36,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,0.53,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,0.03,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,0.11,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,0.11,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,0.21,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,0.64,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,0.09,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,2.36,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,4.53,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,37.19,47.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Types of content accessed via SVoD services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents who use a VoD subscription service (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September – October 2015 Base: All respondents who use a VOD subscription service, UK=483, FRA=272, GER=320, ITA=371, USA=580, JPN=198, AUS=371, ESP=371, SWE=287 Q.22c Which of the following types of programmes do you or your family watch on Netflix / Amazon Prime / Wuaki / Other subscription service? *US – made in other countries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Recently released films/movies,Back-catalogue films/movies,Programmes/series made in own country,Programmes/series made in the US*,Original programmes made by the service provider,Children's programmes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,61,54,53,50,32,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,63,43,27,44,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,60,62,40,57,30,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,58,45,32,34,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,69,52,59,32,44,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,48,67,44,41,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,65,57,44,52,38,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,65,42,38,46,17,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,48,47,39,58,37,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claimed changes in watching TV programmes at the time of broadcast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents who watch TV content (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September – October 2015 Base: All respondents who watch TV content, UK=970, FRA=960, GER=965, ITA=967, USA=960, JPN=905, AUS=962, ESP=986, SWE=962 Q.22b For each of the following activities, please say if you are doing this more, the same amount or less compared to a year ago?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Doing less,Doing more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,-24,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,-18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,-22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,-27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,-19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,-21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,-14,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,-16,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,-22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claimed changes in watching DVDs / Blu-rays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of respondents who watch TV content ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September – October 2015 Base: All respondents who watch TV content, UK=970, FRA=960, GER=965, ITA=967, USA=960, JPN=905, AUS=962, ESP=986, SWE=962 Q.22b For each of the following activities, please say if you are doing this more, the same amount or less compared to a year ago?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Doing less,Doing more,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,-42,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,-38,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,-38,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,-28,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,-30,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,-40,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,-30,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,-35,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,-32,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4G population coverage (%) by country: 2013 - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population coverage (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Country Code,2013,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,UK,63,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCE,FRA,68,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GERMANY,GER,81,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITALY,ITA,39,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,USA,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAPAN,JPN,82,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA,AUS,85,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPAIN,ESP,47,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETHERLANDS,NED,90,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWEDEN,SWE,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLAND,POL,66,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINGAPORE,SGP,98,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH_KOREA,KOR,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRAZIL,BRA,32,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSIA,RUS,36,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIA,IND,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINA,CHN,1,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIGERIA,NGA,9,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile connections by technology: 2009 and 2014
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population coverage (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,,JPN,,AUS,,ESP,,NED,,SWE,,POL,,SGP,,KOR,,BRA,,RUS,,IND,,CHN,,NGA,
Year,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014,2009,2014
2G,65.67,3.3,71.22,46.45,72.94,34.1,63.52,35.76,59.18,16.45,9.06,0,53.07,8.24,56.08,10.15,76.86,39.22,53.33,19.65,51.99,22.72,53.91,3.74,27.01,6.14,98.01,46.54,97.49,83.1,99.95,89.99,98.59,54.7,98.59,68.53
3G,34.33,68.46,28.78,39.8,27.06,54.35,36.48,59.93,40.82,44.04,90.94,63.18,46.93,52.83,43.92,77.3,23.14,41.91,46.67,52.89,48.01,69.87,46.09,56.95,72.99,30.94,1.99,51.07,2.51,12.17,0.05,9.97,1.41,37.77,1.41,31.24
4G,0,28.24,0,13.76,0,11.54,0,4.31,0,39.5,0,36.82,0,38.93,0,12.56,0,18.87,0,27.46,0,7.41,0,39.31,0,62.92,0,2.39,0,4.73,0,0.03,0,7.53,0,0.24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reasons for existing or future 4G users choosing to purchase 4G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direction of arrow indicates a statistically significant difference compared to last year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents who have or are likely to get 4G/LTE contract, UK=455, FRA=442, GER=298, ITA=551, USA=532, JPN=326, AUS=513, ESP=563, SWE=520Q.23 You said that you have/ are likely to get a 4G service [in the next 12 months]. Which of the following are reasons why you got/ are likely to get a 4G contract?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quicker download speeds,35,38,44,49,36,48,36,45,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
More reliable data connection,33,31,43,43,39,23,32,32,21,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quicker streaming speeds,31,21,36,40,34,35,24,46,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improved data coverage,33,39,29,36,34,8,29,38,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
To take advantage of newest phones,26,22,32,29,26,31,24,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
To keep up with technology developments,26,24,19,20,24,9,20,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
It was provided automatically by the operator without me doing anything,35,37,31,30,38,31,44,38,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Proportion of respondents video streaming/downloading on a mobile phone at least weekly, among 4G and non-4G users",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of respondents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents who don’t use 4G/ do use 4G on their phone, UK=631/284, FRA=607/274, GER=742/189, ITA=671/274, USA=427/357, JPN=595/235, AUS=482/342, ESP=615/308, SWE=527/391. Q.22 Which of the following statements best describes your awareness and use of 4G? Q.27 How often, if at all, do you use your main mobile phone to do each of the following? <At least weekly>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
non-4G,23,16,13,39,27,15,20,40,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
4G,48,34,39,56,50,31,40,55,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satisfaction with mobile phone services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of 4G respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents on a 4G network, UK=114, FRA=162, GER=95*, ITA=165, USA=131, JPN=77*, AUS=184, ESP=185, SWE=192. Base: All respondents not on a 4G network, UK=163, FRA=194, GER=228, ITA=381, USA=115, JPN=113, AUS=187, ESP=316, SWE=182. *Caution: bases under 100. Q.25 To what extent are you satisfied or dissatisfied with the following aspects of your mobile phone service?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Overall service,87,85,84,90,93,79,83,85,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Price paid,81,66,68,75,76,32,70,61,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Ability to access network/ Reliability of internet connection,77,73,72,83,84,68,73,75,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Speed of internet connection,77,78,75,84,83,64,73,73,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of non-4G respondents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Overall service,79,81,77,77,73,52,75,74,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Price paid,77,67,70,70,59,39,62,54,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Ability to access network/Reliability of internet connection,72,60,59,66,65,44,58,60,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Speed of internet connection,64,53,50,57,64,40,48,52,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background Context,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion (%) of respondents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015 Base: All respondents who don’t use 4G/ do use 4G on their phone, UK=631/284, FRA=607/274, GER=742/189, ITA=671/274, USA=427/357, JPN=595/235, AUS=482/342, ESP=615/308, SWE=527/391. Q.22 Which of the following statements best describes your awareness and use of 4G? Q.27 How often, if at all, do you use your main mobile phone to do each of the following? <At least weekly>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile data connections per 100 population,87,67,64,71,104,124,114,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of mobile data connections via handsets (%),91,90,84,85,92,90,77,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4G Availability (% population coverage of at least one operator),84,75,92,77,98,99,87,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4G as % of all mobile connections,28,14,12,4,40,37,39,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average mobile data volumes per person (Mbyte),362,397,398,684,1771,1495,481,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband connections per 100 population  ,37,40,35,23,30,39,29,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed voice connections per 100 population (incl managed VoIP),61,60,45,37,41,45,38,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
