Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode,
Department for Transport,Highways Agency,26/02/2013,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,541316,6969.52,13-03 2366B4 2392A4 M1 J6a-10 5 Feb 2013,HP19 8BP,
Department for Transport,Highways Agency,26/02/2013,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,541317,6969.52,13-02 4537A1 4721A3 M25 J8-10 1 Feb 2013,HP19 8BP,
Department for Transport,Highways Agency,26/02/2013,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,541318,6935.57,13-08 4565A1 4613A1 4700A4 M25 8-10 15 Feb 2013,HP19 8BP,
Department for Transport,Highways Agency,26/02/2013,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,541320,6935.57,13-07 2420B4 M1 J6a-10 14 Feb 2013,HP19 8BP,
Department for Transport,Highways Agency,26/02/2013,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,541321,6935.57,13-06 2366B4 M1 J6a -10 13 Feb 2013,HP19 8BP,
Department for Transport,Highways Agency,26/02/2013,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,541323,6969.52,13-01 4565A1 M25 J8-10 11 Jan 2013,HP19 8BP,
Department for Transport,Highways Agency,26/02/2013,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,541325,6163.25,12-20 Quote 21-39 Develop trial software AMI EE Nov 12,HP19 8BP,
Department for Transport,Highways Agency,26/02/2013,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,541326,6935.57,13-10 4793A3 M25 J10-12 23 Feb 2013,HP19 8BP,
Department for Transport,Highways Agency,26/02/2013,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,HILL & SMITH T/A TECHSPAN SYSTEMS,541327,6935.57,13-09 6576B4 M20 J47 22 Feb 2013,HP19 8BP,
Department for Transport,Highways Agency,26/02/2013,TEC - Technology Maintenance,NETWORK DELIVERY & DEVELOPMENT,SERCO LTD,541342,148196.4,HATMS System Standing Charge for Feb ---------  26Feb2013,RG27 7FR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle fleet management,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541229,19000,Fleet Management charges February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541230,3790.91,EM Rental / Lease charges - February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541231,9834.44,NE Rental / Lease charges - February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541232,4917.22,SW Rental / Lease charges - February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541233,2739.46,WM Rental / Lease charges - February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541234,8736.14,SE Rental / Lease charges - February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541235,9684.72,NW Rental / Lease charges - February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541260,17491.12,E Rental / Lease charges - February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541261,9156.08,National Rental / Lease charges - February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541263,5147.7,WM - Vehicle Rental (New 40x Lease) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541265,9265.86,SW - Vehicle Rental (New 40x Lease) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541266,5147.7,SE - Vehicle Rental (New 40x Lease) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541267,6177.24,NW - Vehicle Rental (New 40x Lease) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541268,8236.32,NE - Vehicle Rental (New 40x Lease) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541269,2059.08,EM - Vehicle Rental (New 40x Lease) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541270,5147.7,E - Vehicle Rental (New 40x Lease) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541283,5500,DC vehicle rental charges February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541284,2000,SW vehicle rental charges February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541285,5000,EM vehicle rental charges February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541286,1500,NE vehicle rental charges February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541287,2500,E vehicle rental charges February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541288,3500,NW vehicle rental charges February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541289,3000,SE vehicle rental charges February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541291,5600,WM vehicle rental charges February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541292,3500,National vehicle rental charges February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541293,4971.5,SW - Vehicle Rental (New 50x Shogun) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541294,12925.9,WM - Vehicle Rental (New 50x Shogun) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541295,994.3,SE - Vehicle Rental (New 50x Shogun) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541296,5965.8,EM - Vehicle Rental (New 50x Shogun) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541297,3977.2,NE - Vehicle Rental (New 50x Shogun) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541298,6960.1,NW - Vehicle Rental (New 50x Shogun) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle rental,TRAFFIC MANAGEMENT DIRECTORATE,LEX AUTOLEASE LIMITED,541299,994.3,E - Vehicle Rental (New 50x Shogun) charges - February 2013,BL9 8RT,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle repairs,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541301,20000,South West repair charges February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle repairs,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541303,10000,East Midlands repair charges February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle repairs,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541304,15000,North East repair charges February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle repairs,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541306,30000,East repair charges February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle repairs,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541307,35000,North West repair charges February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle repairs,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541308,45000,West Midlands repair charges February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle repairs,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541311,30000,National repair charges February 2013,NG15 0DR,
Department for Transport,Highways Agency,26/02/2013,TOS operational Vehicle repairs,TRAFFIC MANAGEMENT DIRECTORATE,BABCOCK CRITICAL SERVICES LTD,541313,45000,South East repair charges February 2013,NG15 0DR,
Department for Transport,Highways Agency,27/02/2013,"Admin building refurbishment, maintenance, repairs, inspections and advice",FINANCE & BUSINESS SERVICES,R K HARRISON GROUP LTD,541386,2729.02,"Retention Fee - Invoice Overpayment - Escape of water - Woodlands, Bedford - Invoice 1537",(blank),
Department for Transport,Highways Agency,27/02/2013,Call costs - Public Network,FINANCE & BUSINESS SERVICES,BRITISH TELECOM PLC (NON CIS) CHARGES,540556,1035.55,Acc. VP76982270 // Doc. 416365 // #6035.55,DH98 1BT,
Department for Transport,Highways Agency,27/02/2013,CM - External Technical Consultant Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,541372,5714.56,Work in Feb (#5714.56),NE11 0RU,
Department for Transport,Highways Agency,27/02/2013,CM - Lump Sum Fees,NETWORK DELIVERY & DEVELOPMENT,ENTERPRISEMOUCHEL LIMITED,541362,695528.35,Apps and Certs Receipt - APC41300,M2 5JB,
Department for Transport,Highways Agency,27/02/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,WILTSHIRE COUNCIL,541426,1083.36,,SN15 1ER,
Department for Transport,Highways Agency,27/02/2013,CM - Time Based Charges,NETWORK DELIVERY & DEVELOPMENT,WILTSHIRE COUNCIL,541429,1083.36,,SN15 1ER,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,ATKINS LTD,541351,29584,"NMCS CCB for February 2013 #29,584 - Nik receipted on behalf of Marcus",KT18 5BW,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,CHUBB SYSTEMS,538810,0.29,"2/587A Chubb standing charge Jan 13 #24,892.15 + .29pence",BB1 2PR,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,541376,103834,,GU14 7BF,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,541377,1760.85,,GU14 7BF,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,541378,731.57,,GU14 7BF,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,541379,36136.37,,GU14 7BF,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,541380,6498.97,,GU14 7BF,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,541381,5000,,GU14 7BF,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,541383,14375.63,,GU14 7BF,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,541403,279390,,GU14 7BF,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MOTT MACDONALD GROUP LTD,541173,-227.11,HATMS Site Data S/C + Tasks for Feb (Extra)  ----  Rm27Feb2013,CR0 2EE,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,MOTT MACDONALD GROUP LTD,541414,527.82,MNSO Extended  Support (MMQ091) Feb 2013,CR0 2EE,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,NORBERT DENTRESSANGLE LOGISTICS LTD,541441,125000,work done feb 13.,NN5 7SL,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,PEEK TRAFFIC LTD,541436,22585.12,"HATMS Site Data Resources + T4, 27, 45, 66, 76, 87 & 116 (Jan) --- Rm27Feb2013",RG24 8WZ,
Department for Transport,Highways Agency,27/02/2013,Contractor Costs,NETWORK DELIVERY & DEVELOPMENT,PEEKMOUCHEL,541460,11636.75,"Invoice 90119751, 31/10/13, NDD, LG, 27/02/13",AL2 2DQ,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,JMP CONSULTANTS LTD,541388,13240,February Accurals 2013,EC1N 6SN,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,JMP CONSULTANTS LTD,541389,34664,February Accurals 2013,EC1N 6SN,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,JMP CONSULTANTS LTD,541390,3747,February Accurals 2013,EC1N 6SN,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,MOUCHEL LIMITED,541405,151639,,OL1 9LH,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,541358,112041.3,Managed Roads Operational Development,NE1 3PL,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK DELIVERY & DEVELOPMENT,OVE ARUP & PARTNERS,541384,2234.47,Area 7 ASC fees to end of Jan 13,NE1 3PL,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,541356,2772,Task 65 VIP Feb 13 invoice,KT18 5BW,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,541367,2416.14,,KT18 5BW,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,541407,4212,Work in Feb 13,KT18 5BW,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,541413,16000,Please apply to February 2013 invoice,KT18 5BW,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,ATKINS LTD,541445,5890,TT12-1 Work undertaken in February 2013: #5890,KT18 5BW,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,541355,8797.68,Feb-13,NE11 0RU,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,541374,5520.8,Work in Feb (#5520.80),NE11 0RU,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,541375,5908.4,Work in Feb (#5908.40),NE11 0RU,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,541394,4395.25,Work in Feb (#4395.25),NE11 0RU,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,HALCROW GROUP LTD,541402,25734,For work done in Feb 13,NE11 0RU,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,534006,-1775.49,,NE1 3PL,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,541352,16993.12,"For work done in February 2013 #16,993",NE1 3PL,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,541354,21599.96,Feb-13,NE1 3PL,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,541357,10034.27,"For work done in February 2013 #10,034.27",NE1 3PL,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,541404,5944,February work completed,NE1 3PL,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,541408,15000,Feb-13,NE1 3PL,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,541453,10000,,NE1 3PL,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,OVE ARUP & PARTNERS,541459,1775.49,,NE1 3PL,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,ROWSELL WRIGHT LIMITED,541363,24500,Work for Feb,HG3 2ER,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,WSP UK LIMITED,541368,7094.49,Task 65 Feb 13 invoice,RG21 4HJ,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,WSP UK LIMITED,541411,30000,Feb-13,RG21 4HJ,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,WSP UK LIMITED,541415,11900.42,For work done in Feb 13,RG21 4HJ,
Department for Transport,Highways Agency,27/02/2013,Contractors Costs,NETWORK SERVICES DIRECTORATE,WSP UK LIMITED,541416,2488.11,,RG21 4HJ,
Department for Transport,Highways Agency,27/02/2013,Digital Communications,NETWORK SERVICES DIRECTORATE,CENTERPRISE INTERNATIONAL LIMITED,541370,1879.65,"Highways Linux, Windows, Redhat and Cloud file storage 24/12-23/01",RG24 8GQ,
Department for Transport,Highways Agency,27/02/2013,External seminars and conferences,FINANCE & BUSINESS SERVICES,CAPITA GROUP,541399,2647.81,I5097 - R1,DL1 9HN,
Department for Transport,Highways Agency,27/02/2013,External seminars and conferences,FINANCE & BUSINESS SERVICES,CONSULT CAPITAL,535208,-786.5,6704,CF10 4AZ,
Department for Transport,Highways Agency,27/02/2013,External seminars and conferences,FINANCE & BUSINESS SERVICES,CONSULT CAPITAL,541463,786.5,7408,CF10 4AZ,
Department for Transport,Highways Agency,27/02/2013,External seminars and conferences,FINANCE & BUSINESS SERVICES,COVENTRY UNIVERSITY,541464,2430,1548016,CV1 5FB,
Department for Transport,Highways Agency,27/02/2013,ICT Hardware Purchase,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,539633,11960.77,Unit Price Bundle Charge January 2013,WV10 6UH,
Department for Transport,Highways Agency,27/02/2013,ICT Software Maintenance,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,539635,1569.25,Apps Service Bundle January 2013 spend,WV10 6UH,
Department for Transport,Highways Agency,27/02/2013,ICT Software Maintenance,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,541447,1421.58,C4659479 - Orange 3G SIM Services for January 13,WV10 6UH,
Department for Transport,Highways Agency,27/02/2013,ICT Software Maintenance,FINANCE & BUSINESS SERVICES,ATOS IT SERVICES UK LIMITED,541454,13393.8,C4764834 ? Wireless Services in Highways Agency Offices Jan 13,WV10 6UH,
Department for Transport,Highways Agency,27/02/2013,Job related training,FINANCE & BUSINESS SERVICES,DEPARTMENT FOR WORK & PENSIONS (DWP),541444,648,2852912 - Managing business change events,CF14 3UW,
Department for Transport,Highways Agency,27/02/2013,Job related training,TRAFFIC MANAGEMENT DIRECTORATE,JUNCTION 17 DEFENSIVE DRIVER TRAINING LTD,541465,3850,INV-0039,CW11 5AH,
Department for Transport,Highways Agency,27/02/2013,Legal advice - admin related,FINANCE & BUSINESS SERVICES,TREASURY SOLICITOR,541420,771.1,Invoice 127223 Doc 416699 Z1100603 & Counsel fees,WC2B 4TS,
Department for Transport,Highways Agency,27/02/2013,Medical services payments,FINANCE & BUSINESS SERVICES,HEALTH MANAGEMENT LTD,541364,12000,Invoice 41151 Road to Health,BN8 5NN,
Department for Transport,Highways Agency,27/02/2013,Non Civil Servant HA Staff,FINANCE & BUSINESS SERVICES,HAYS SPECIALIST RECRUITMENT LIMITED,541409,1650,Wage for XXXXXXn w/e 08/02/2013,KT3 4JQ,
Department for Transport,Highways Agency,27/02/2013,Non Civil Servant HA Staff,FINANCE & BUSINESS SERVICES,HAYS SPECIALIST RECRUITMENT LIMITED,541410,1650,Wage for XXXXXXw/e 15/02/2013,KT3 4JQ,
Department for Transport,Highways Agency,27/02/2013,Prepaid expenses - programme,TRAFFIC MANAGEMENT DIRECTORATE,THE TBF AND KL THOMPSON TRUST,541406,57028.5,EM RCC Rent - 24/03/2013 to 23/06/2013,BT51 5JZ,
Department for Transport,Highways Agency,27/02/2013,RM - Utilities,NETWORK DELIVERY & DEVELOPMENT,BRISTOL WESSEX BILLING SERVICES LTD (NON CIS) WATER USAGE,532426,-1015.53,,BS48 1WA,
Department for Transport,Highways Agency,27/02/2013,RM - Utilities,NETWORK DELIVERY & DEVELOPMENT,BRITISH GAS TRADING LIMITED,541448,1347.09,Prid Depot Electricity Bill - JANUARY 2013,CF10 5BT,
Department for Transport,Highways Agency,27/02/2013,RM - Utilities,NETWORK DELIVERY & DEVELOPMENT,SOUTH WEST WATER (NON CIS) WATER USAGE,541449,812.41,Sowton Depot Water Bill - 28/11/12 to 7/2/2013,EX2 7YN,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS LTD,541396,1572.55,,KT18 5BW,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,MAJOR PROJECTS,BT OPENREACH (CIS) DIVERT/CONNECT,541417,17364.2,A11 Fiveways to Thetford. BT Invoice no. A116414 dated 14/01/2013,S1 1BA,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,MAJOR PROJECTS,CHUBB SYSTEMS,541400,976.67,Inv for Feb13 works IET252,BB1 2PR,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,MAJOR PROJECTS,EVERSHEDS LLP,LOMD241550,2899.2,HAL00004866//91152602,CF10 5BT,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,MAJOR PROJECTS,JACOBS UK LTD,541369,48478.07,,G2 7HX,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,MAJOR PROJECTS,KIRKLINGTON (YORKS) ESTATES LTD,LOMD241499,37269.84,00011471/XXXXXX/PRIOR-WA,OX7 6DX,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,MAJOR PROJECTS,KIRKLINGTON (YORKS) ESTATES LTD,LOMD241499,229.5,00011471XXXXXX)/PRIOR-WA,OX7 6DX,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,MAJOR PROJECTS,KIRKLINGTON (YORKS) ESTATES LTD,LOMD241499,53.92,00011471XXXXXX/PRIOR-WA,OX7 6DX,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,MAJOR PROJECTS,MOUCHEL LIMITED,541423,1000,,OL1 9LH,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,MAJOR PROJECTS,NATIONAL GRID PLC (CIS) DIVERT/CONNECT,1000/80512357,-813.14,FOR WORK AT NEWTON MINI ROUNDABOUT - NOTTS - A46 DIVERSIONS,WV1 9NZ,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,MAJOR PROJECTS,TREASURY SOLICITOR,541424,1437.3,AnnableA invoice No127254,WC2B 4TS,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,GENESYS TELECOMMUNICATIONS LTD,541418,500, T-0084:- A14 CECR Keys Feb 13 Final Paym,GU14 7BF,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,MOTT MACDONALD GROUP LTD,541173,5506.75,HATMS Site Data S/C + Tasks for Feb (Extra)  ----  Rm27Feb2013,CR0 2EE,
Department for Transport,Highways Agency,27/02/2013,TA Cost AUC - Programme,NETWORK DELIVERY & DEVELOPMENT,PEEK TRAFFIC LTD,541346,-8283.8,"HATMS Site Data (NW, EM & WM) Pkt66 for Feb  --------  26Feb2013",RG24 8WZ,
