Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,PSPES Level 2,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,LONDON BOROUGH OF NEWHAM,,,,5000232872,,New Homes Bonus Scheme,E16 2QU,"421,664.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,LONDON BOROUGH OF REDBRIDGE,,,,5000232894,,New Homes Bonus Scheme,IG1 1NN,"232,586.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,LUTON BC,,,,5000232864,,New Homes Bonus Scheme,LU1 1DX,"152,170.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MAIDSTONE BC,,Public Bodies,,5000232441,,New Homes Bonus Scheme,ME15 6JQ,"245,718.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MALDON DC,,,,5000232444,,New Homes Bonus Scheme,CM9 7DL,"34,470.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MALVERN HILLS DC,,,,5000232865,,New Homes Bonus Scheme,WR14 3AF,"88,093.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MANCHESTER CITY CNCL (HSG),,,,5000232446,,New Homes Bonus Scheme,M60 2JR,"460,394.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MANSFIELD DC,,,,5000232866,,New Homes Bonus Scheme,NG19 7BH,"44,026.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MEDWAY TOWNS D C (HSG),,,,5000232448,,New Homes Bonus Scheme,ME4 4TR,"291,267.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MELTON BC,,,,5000232451,,New Homes Bonus Scheme,LE13 0UL,"51,879.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MENDIP DISTRICT COUNCIL,,,,5000232454,,New Homes Bonus Scheme,BA4 5BA,"126,196.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MERTON LB,,,,5000232867,,New Homes Bonus Scheme,SM4 5DX,"204,828.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MID DEVON DC,,,,5000232457,,New Homes Bonus Scheme,EX16 6PP,"58,221.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MID SUFFOLK DC,,,,5000232458,,New Homes Bonus Scheme,IP1 2DH,"99,495.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MID SUSSEX DC,,,,5000232461,,New Homes Bonus Scheme,RH16 1SS,"133,485.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MIDDLESBROUGH BC,,,,5000232868,,New Homes Bonus Scheme,TS1 2QQ,"105,765.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MILTON KEYNES BC,,,,5000232869,,New Homes Bonus Scheme,MK9 3WJ,"560,641.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,MOLE VALLEY DC,,,,5000232464,,New Homes Bonus Scheme,RH4 1SJ,"62,750.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NEW FOREST DC,,Public Bodies,,5000232465,,New Homes Bonus Scheme,SO43 9ZG,"82,419.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NEWARK & SHERWOOD DC (HSG),,,,5000232468,,New Homes Bonus Scheme,NG23 5QX,"95,429.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NEWCASTLE UNDER LYME BC,,,,5000232870,,New Homes Bonus Scheme,ST5 2AG,"77,613.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NEWCASTLE UPON TYNE DC,,,,5000232871,,New Homes Bonus Scheme,NE99 1RD,"175,193.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORFOLK COUNTY COUNCIL,,,,5000232873,,New Homes Bonus Scheme,NR1 2DW,"192,522.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH DEVON DC,,,,5000232471,,New Homes Bonus Scheme,EX31 1EA,"50,484.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH DORSET DC,,,,5000232473,,New Homes Bonus Scheme,DT11 7LL,"87,503.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH EAST DERBYSHIRE DC,,,,5000232874,,New Homes Bonus Scheme,S40 1LF,"39,231.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH EAST LINCOLN DC (HSG),,,,5000232475,,New Homes Bonus Scheme,DN35 8LN,"105,574.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH HERTS DC (HOUSING) (HSG),,,,5000232478,,New Homes Bonus Scheme,SG6 3JF,"127,837.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH KESTEVEN DC,,,,5000232875,,New Homes Bonus Scheme,NG34 7EF,"127,613.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH LINCOLNSHIRE DC (HSG),,Public Bodies,,5000232481,,New Homes Bonus Scheme,DN16 1AB,"147,394.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH NORFOLK DC,,,,5000232484,,New Homes Bonus Scheme,NR27 9EJ,"58,800.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH SOMERSET DC,,,,5000232876,,New Homes Bonus Scheme,BS23 1LL,"250,762.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH TYNESIDE MBC,,,,5000232877,,New Homes Bonus Scheme,NE27 0BY,"108,283.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH WARWICKSHIRE BC,,Large,,5000232485,,New Homes Bonus Scheme,CV9 1DE,"32,255.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH WEST LEICESTER DC,,,,5000232488,,New Homes Bonus Scheme,LE67 3FJ,"76,927.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTH YORKSHIRE CC (DL7 8AL),,,,5000232878,,New Homes Bonus Scheme,DL7 8AL,"104,848.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTHAMPTON BOROUGH COUNCIL,,,,5000232879,,New Homes Bonus Scheme,NN4 4FF,"165,998.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTHAMPTONSHIRE COUNTY COUNCIL,,,,5000232880,,New Homes Bonus Scheme,CB3 0AP,"175,432.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORTHUMBERLAND COUNTY COUNCIL,,,,5000232964,,New Homes Bonus Scheme,NE61 2EF,"231,998.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NORWICH CITY CNCL,,,,5000232881,,New Homes Bonus Scheme,NR2 1NH,"134,458.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NOTTINGHAM CITY COUNCIL,,,,5000232882,,New Homes Bonus Scheme,M33 0DJ,"265,622.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NOTTINGHAMSHIRE COUNTY CNCL,,,,5000232883,,New Homes Bonus Scheme,NG1 4BU,"137,879.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,NUNEATON & BEDWORTH BC,,,,5000232884,,New Homes Bonus Scheme,CV11 5AA,"74,315.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,OADBY & WIGSTON BC (HSG),,,,5000232491,,New Homes Bonus Scheme,LE8 2DR,"14,762.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,OLDHAM MBC,,,,5000232885,,New Homes Bonus Scheme,OL1 1UH,"59,024.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,OXFORD CITY COUNCIL,,,,5000232886,,New Homes Bonus Scheme,OX1 1DF,"140,396.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,OXFORDSHIRE CC,,,,5000232887,,New Homes Bonus Scheme,OX1 1TH,"138,536.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,PENDLE BC,,,,5000232888,,New Homes Bonus Scheme,BB9 OLX,"31,053.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,PETERBOROUGH CITY CNCL,,,,5000232889,,New Homes Bonus Scheme,PE1 1HG,"286,590.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,PLYMOUTH CITY CNCL,,Public Bodies,,5000232890,,New Homes Bonus Scheme,PL1 2AA,"200,515.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,POOLE BC (HSG),,,,5000232493,,New Homes Bonus Scheme,BH15 2RU,"121,294.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,PORTSMOUTH CITY COUNCIL,,,,5000232891,,New Homes Bonus Scheme,PO1 2AR,"147,687.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,PRESTON BC,,,,5000232892,,New Homes Bonus Scheme,PR1 2RL,"33,169.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,PURBECK DC,,,,5000232496,,New Homes Bonus Scheme,DT2 8UP,"21,971.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,READING BC,,,,5000232893,,New Homes Bonus Scheme,RG1 7TD,"172,295.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,REDCAR & CLEVELAND BOROUGH COUNCIL,,,,5000232895,,New Homes Bonus Scheme,TS10 1RT,"79,115.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,REDDITCH BC,,,,5000232896,,New Homes Bonus Scheme,B98 8AH,"34,460.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,REIGATE & BANSTEAD BC,,,,5000232897,,New Homes Bonus Scheme,RH2 OSH,"130,158.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,RIBBLE VALLEY BC,,,,5000232499,,New Homes Bonus Scheme,BB7 2RA,"30,644.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,RICHMOND UPON THAMES LB,,,,5000232898,,New Homes Bonus Scheme,TW1 3BZ,"170,168.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,RICHMONDSHIRE DC,,,,5000232501,,New Homes Bonus Scheme,DL10 4JE,"35,457.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ROCHDALE MBC,,,,5000232899,,New Homes Bonus Scheme,OL16 1LQ,"130,125.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ROCHFORD DISTRICT COUNCIL,,,,5000232900,,New Homes Bonus Scheme,SS4 1BW,"36,709.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ROSSENDALE BC,,,,5000232901,,New Homes Bonus Scheme,BB4 7LZ,"24,185.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ROTHER DC (HSG),,,,5000232503,,New Homes Bonus Scheme,TN39 3JX,"64,182.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ROTHERHAM MBC,,,,5000232902,,New Homes Bonus Scheme,S60 1AE,"229,063.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ROYAL BOROUGH OF KENSINGTON & CHELS,,,,5000232851,,New Homes Bonus Scheme,W8 7NX,"91,290.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,RUGBY BC,,,,5000232903,,New Homes Bonus Scheme,CV21 2LA,"106,922.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,RUNNYMEDE BOROUGH COUNCIL,,,,5000232904,,New Homes Bonus Scheme,KT15 2AH,"88,481.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,RUSHCLIFFE BOROUGH COUNCIL,,,,5000232506,,New Homes Bonus Scheme,NG2 5FE,"79,722.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,RUSHMOOR BC,,,,5000232905,,New Homes Bonus Scheme,GU14 7JU,"84,954.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,RUTLAND CC,,,,5000232906,,New Homes Bonus Scheme,LE15 6HP,"31,958.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,RYEDALE DC,,,,5000232509,,New Homes Bonus Scheme,YO17 0HH,"59,000.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SALFORD CITY CNCL,,,,5000232907,,New Homes Bonus Scheme,M27 5AW,"532,094.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SANDWELL MBC,,,,5000232908,,New Homes Bonus Scheme,B69 3BS,"219,660.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SCARBOROUGH BC,,Large,,5000232512,,New Homes Bonus Scheme,YO11 2HG,"46,251.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SEDGEMOOR DC,,,,5000232515,,New Homes Bonus Scheme,TA6 3AR,"196,286.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SEFTON MBC,,,,5000232909,,New Homes Bonus Scheme,L20 3NQ,"199,220.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SELBY DC,,,,5000232516,,New Homes Bonus Scheme,YO8 0SA,"98,607.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SEVENOAKS DC,,,,5000232519,,New Homes Bonus Scheme,TN13 1HG,"81,305.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SHEFFIELD CITY CNCL,,,,5000232910,,New Homes Bonus Scheme,S1 1UR,"382,949.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SHEPWAY DISTRICT COUNCIL,,,,5000232522,,New Homes Bonus Scheme,CT20 2QY,"86,404.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SHROPSHIRE UNITARY AUTHORITY,,,,5000232969,,New Homes Bonus Scheme,SY2 6ND,"350,309.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SLOUGH BOROUGH COUNCIL,,,,5000232911,,New Homes Bonus Scheme,SL1 3UQ,"146,608.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOLIHULL MBC,,,,5000232912,,New Homes Bonus Scheme,B91 3QR,"156,248.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOMERSET COUNTY CNCL,,,,5000232913,,New Homes Bonus Scheme,TA1 4DY,"172,669.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH BUCKS DC (HSG),,,,5000232525,,New Homes Bonus Scheme,UB9 4LH,"57,888.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH CAMBRIDGESHIRE DC,,,,5000232527,,New Homes Bonus Scheme,CB23 6EA,"220,542.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH DERBYSHIRE D C,,,,5000232529,,New Homes Bonus Scheme,DE11 0AH,"112,259.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH GLOUCESTERSHIRE DC (HSG),,,,5000232532,,New Homes Bonus Scheme,BS15 2TR,"286,734.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH HAMS DC,,,,5000232535,,New Homes Bonus Scheme,TQ9 5NE,"85,508.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH HOLLAND,,,,5000232538,,New Homes Bonus Scheme,PE11 2XE,"63,477.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH KESTEVEN DC (HSG),,,,5000232539,,New Homes Bonus Scheme,NG31 6PZ,"170,682.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH LAKELAND DC,,,,5000232542,,New Homes Bonus Scheme,LA49 4DQ,"19,011.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH NORFOLK DC,,,,5000232545,,New Homes Bonus Scheme,NR15 2XE,"219,211.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH NORTHAMPTONSHIRE DC,,,,5000232548,,New Homes Bonus Scheme,NN12 7AE,"97,163.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH OXFORDSHIRE DC,,,,5000232549,,New Homes Bonus Scheme,OX10 8HQ,"95,277.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH RIBBLE BC,,Public Bodies,,5000232914,,New Homes Bonus Scheme,PR5 1DH,"42,643.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH SOMERSET DC,,,,5000232552,,New Homes Bonus Scheme,BA20 2DS,"192,294.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH STAFFORDSHIRE DC,,,,5000232555,,New Homes Bonus Scheme,WV8 1PX,"64,591.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH TYNESIDE COUNCIL,,,,5000232915,,New Homes Bonus Scheme,NE33 2RL,"63,959.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTHAMPTON CITY CNCL,,,,5000232916,,New Homes Bonus Scheme,SO14 7LF,"215,171.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTHEND ON SEA BC,,,,5000232917,,New Homes Bonus Scheme,SS2 6EP,"113,544.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTHWARK LB,,,,5000232918,,New Homes Bonus Scheme,SE1 2QH,"671,817.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SPELTHORNE DC,,,,5000232558,,New Homes Bonus Scheme,TW18 1XB,"74,679.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ST ALBANS CITY COUNCIL,,,,5000232919,,New Homes Bonus Scheme,AL1 3JE,"130,370.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ST EDMUNDSBURY (HSG),,,,5000232561,,New Homes Bonus Scheme,IP33 3YS,"61,546.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,ST HELENS MBC,,,,5000232920,,New Homes Bonus Scheme,WA10 1HP,"113,869.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,STAFFORD BC,,,,5000232921,,New Homes Bonus Scheme,ST16 3AQ,"64,129.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,STAFFORDSHIRE COUNTY CNCL,,,,5000232922,,New Homes Bonus Scheme,ST16 2LH,"119,921.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,STAFFORDSHIRE MOORLANDS DC,,,,5000232564,,New Homes Bonus Scheme,ST13 6HQ,"35,215.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,STEVENAGE BC,,,,5000232923,,New Homes Bonus Scheme,SG1 1HN,"66,892.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,STOCKPORT MBC,,,,5000232924,,New Homes Bonus Scheme,SK1 3XE,"97,847.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,STOCKTON-ON-TEES BC (HSG),,,,5000232566,,New Homes Bonus Scheme,TS23 2YS,"187,894.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,STOKE ON TRENT CITY COUNCIL,,,,5000232925,,New Homes Bonus Scheme,ST4 1RJ,"147,422.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,STRATFORD ON AVON DC,,,,5000232926,,New Homes Bonus Scheme,CV37 6HX,"90,161.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,STROUD DC (HSG),,,,5000232569,,New Homes Bonus Scheme,GL5 4UB,"94,502.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SUFFOLK CC (SOCIAL CARE SERV) (H,,,,5000232572,,New Homes Bonus Scheme,IP4 1LH,"150,080.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SUFFOLK COASTAL DC (HSG),,,,5000232573,,New Homes Bonus Scheme,IP12 1AU,"59,425.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SURREY COUNTY COUNCIL,,Public Bodies,,5000232927,,New Homes Bonus Scheme,KT1 2DN,"237,701.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SURREY HEATH BC,,,,5000232928,,New Homes Bonus Scheme,GU15 3HD,"52,547.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SUTTON LB,,,,5000232929,,New Homes Bonus Scheme,SM1 1EA,"150,563.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SWALE BC,,,,5000232930,,New Homes Bonus Scheme,ME10 3HT,"146,926.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SWINDON BC,,,,5000232931,,New Homes Bonus Scheme,SN1 2JH,"333,810.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TAMESIDE MBC,,,,5000232932,,New Homes Bonus Scheme,OL6 6DL,"197,718.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TAMWORTH BOROUGH COUNCIL,,,,5000232933,,New Homes Bonus Scheme,B79 7BZ,"32,381.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TANDRIDGE DC,,,,5000232576,,New Homes Bonus Scheme,RH8 0BT,"77,175.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TAUNTON DEANE BC,,,,5000232579,,New Homes Bonus Scheme,TA1 1HE,"143,901.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TEIGNBRIDGE DC,,,,5000232582,,New Homes Bonus Scheme,TQ12 4XX,"115,382.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TELFORD & WREKIN DC,,,,5000232934,,New Homes Bonus Scheme,TF3 4LF,"187,936.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TENDRING DC,,,,5000232585,,New Homes Bonus Scheme,CO15 1SE,"87,594.00",Yes
Communities & Local Government,DCLG,15/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,TEST VALLEY BC,,,,5000232587,,New Homes Bonus Scheme,SP10 3AJ,"138,180.00",Yes
