DEPARTMENT FOR TRANSPORT - INFORMATION ASSET REGISTER ,,,,,,,,
Asset Title,Data collection activity,Asset Description,Business Area,Personal,No. of records,Data processor,In public domain,Published where
National Standards publication queries,Ongoing,"A record of all queries raised via the National Standards publication on the website and associated pages - includes contact details for individuals raising queries, queries and associated correspondence.",Driving Standards Agency ,No,51-500,,No,
Official Register of Driving Instructor Training.,Ongoing,"Official Register of Driving Instructor Training (ORDIT) spreadsheet - contains contact and premises details of ORDIT accredited organisations and personal data relating to their employees including contact details, license and qualifications details.",Driving Standards Agency ,Yes,"501 - 1,000",,Yes,http://www.dft.gov.uk/dsa/category.asp?cat=661
P11D return information,Ongoing,"Expenses and Benefits Return to HMRC - Employee name, national insurance number, pay reference number, Bank Account, Tax Details, Deductions, Date of Birth etc",Driving Standards Agency ,Yes,"1,001 - 10,000",SAP Shared Service Centre,No,
Personnel records,Ongoing,"Personal Data Including Next of Kin, Visa/Work Permit Details, Qualifications, Security Clearance Level, Company Property, Diversity Information",Driving Standards Agency ,Yes,"1,001 - 10,000",Shared Services Centre,No,
Policies and Regulation of Investigatory Powers Act,Ongoing,Policies and Regulation of Investigatory Powers (RIPA) Applications/Authorisations detailing the reasons supporting the need for such investigation methods to be used.,Driving Standards Agency ,Yes,51 - 500,,No,
Policy Framework and policies,Ongoing,Policy Framework and policies,Driving Standards Agency ,No,1-50,,No,
Privacy Impact Assessment central register,Ongoing,Privacy Impact Assessment central register,Driving Standards Agency ,No,1-50,,No,
Procurement Registered Files.,Ongoing,Procurement Registered Files with information on contracts and other items relating to the Branch's work.,Driving Standards Agency ,No,"1,001 - 10,000",,Yes,Information in the public domain will be applicable to future contracts through the transparency agenda.
Quality Assurance database,Ongoing,Information used to ensure the consistency and quality of the driving test.,Driving Standards Agency ,Yes,"1,001 - 10,000",,No,
Quality Assurance reports,Ongoing,Record of findings and recommendations in Quality Assurance reports,Driving Standards Agency ,Yes,"1,001 - 10,000",,No,
Recruitment records,Ongoing,"Recruitment Including Pre-employment Checks, Job Applications, Selection Criteria, Sift Results, Assessment Results",Driving Standards Agency ,Yes,"1,001 - 10,000",Shared Services Centre,No,
Register of Pass Plus Instructors,Ongoing,"Approved Driving Instructor (ADI) Requirement for registration - Pass Plus website - Driving Standards Agency 3/03/13 - asset contains personal data about Pass Plus qualified ADIs including contact details, license and qualifications details.",Driving Standards Agency ,Yes,51 - 500,,Yes,http://www.direct.gov.uk/en/Motoring/LearnerAndNewDrivers/NewlyQualifiedDrivers/DG_4022426
Register of post-test motorcycle trainers,Ongoing,Register of Post Test Motorcycle Trainers (RPMT) and Enhanced Rider Scheme (ERS) contains personal data relating to individuals on the register including contact and driving license details.,Driving Standards Agency ,Yes,"501 - 1,000",,Yes,http://www.dft.gov.uk/dsa/category.asp?cat=661
Requests for information,Ongoing,Data Protection Act section 29/35 Files. Details of requests for information including details of individuals and tests etc,Driving Standards Agency ,Yes,"1,001 - 10,000",Outforce,No,
Respond Correspondence,Ongoing,Record of customer contact with Customer Enquiry Unit and other DSA branches excluding Chief Executive's Office.,Driving Standards Agency ,Yes,"over 1,000,000",,No,
Revocation Files,Ongoing,Investigation documentation and evidence leading to decisions about revoking Approved Driving Instructor licences,Driving Standards Agency ,Yes,"1,001 - 10,000",,No,
Risk Management Approved Document Sets (RMADS) and associated technical documents,Ongoing,"Technical system Information and diagrams, RMADS , IT Health Check Test Results.",Driving Standards Agency ,No,1-50,"Department for Transport centre, Outforce, Pearson",No,
Road Safety Information System (RSIS),Ongoing,"Scanned images of the DL25s (driving test reports). The reports include candidate name, date of test, application reference, vehicle registration, examiner name and reference number, test markings and categories of any issue on the test.",Driving Standards Agency ,Yes,"over 1,000,000",,No,
Staff Development Records,Ongoing,"Development Including Appraisal Results, Training History Training Needs Analysis",Driving Standards Agency ,Yes,"1,001 - 10,000",Shared Services Centre,No,
Telephone recordings,Ongoing,Telephone recording of Applications from Candidates for a theory test,Driving Standards Agency ,Yes,"1,001 - 10,000",Pearson Driving Assessments Ltd,No,
Testing and Registration System (TARS),Ongoing,"Testing and Registration System (TARS) includes all the information collected at the point of booking a practical test including name, address, driver number, contact details, any health issues for extended tests.",Driving Standards Agency ,Yes,"over 1,000,000",,No,
Testing And Registration System (TARS) refunds,Ongoing,Details & copies of logos issued (Driver Certificate of Professional Competence and & SAFED).,Driving Standards Agency ,Yes,"1,001 - 10,000",Capita,No,
Total Facilities Management and Computer Aided Facilities Management system,Ongoing,"Interserve computer system which holds records of all maintenance on DSA buildings, statutory inspections and PPM regime for the DSA estate. Includes out of hours emergency contact details. No personal details are held in terms of staff, only name of individual making a call about reactive works and their telephone number.",Driving Standards Agency ,No,"10,001 - 100,000",Interserve,No,
Theory Test Bookings,Ongoing,"Theory Test Bookings including name, address, payment details, contact numbers, test time and location, any medical needs, completed test forms",Driving Standards Agency ,Yes,"over 1,000,000",Pearson Driving Assessments Ltd,No,
Theory Test Contract Files,Ongoing,Signed copies of contract variances and implementation documentation,Driving Standards Agency ,No,1-50,Pearson Driving Assessments Ltd,No,
Theory test contract security documentation,Ongoing,Audit reports and accreditation documentation.,Driving Standards Agency ,No,1-50,,No,
Theory Test payment details,Ongoing,Payment details for Theory Test specifically Credit Card and the validation of the card.,Driving Standards Agency ,Yes,"1,001 - 10,000",Pearson Driving Assessments Ltd and Barclays,No,
Theory Test Statistics and financial information,Ongoing,"Theory Test Statistics and financial information including evidence of contractors performance, theory test performance and statistics, local plans & gross turnover",Driving Standards Agency ,No,1-50,Pearson Driving Assessments Ltd,No,
Total Facilities Management Contract,Future,To include the full register of DSA staff and work contact details. The full physical assets lists. The contract will also be responsible for work men on site including third parties.,Driving Standards Agency ,Yes,51 - 500,,No,
Training admin records,Ongoing,1. Training & Events records 2. Budgets.,Driving Standards Agency ,No,"501 - 1,000",Shared Services Centre,No,
Vendor Details (Masterdata),Ongoing,"Vendor Details (Masterdata) including name, address, Bank account, contact names, VAT number etc",Driving Standards Agency ,Yes,"100,001 - 1,000,000",Shared Services Centre,No,http://www.dft.gov.uk/dsa/category.asp?cat=771
Vendor Transaction Records,Ongoing,"Vendor Transaction Records including Order details, payment history etc",Driving Standards Agency ,No,"100,001 - 1,000,000",Shared Services Centre,No,http://www.dft.gov.uk/about/procurement/dft/promptpaymentstats
Voluntary register files,Ongoing,"Large Goods Vehicle (LGV) Register Files containing contact details of individuals, LGV Accredited Centre Files containing business details & Fleet Accredited Course Files.",Driving Standards Agency ,Yes,51 - 500,,No,
All personal data per GCDA member of staff,Ongoing,All personal details of Government Car and Despatch Agency (GCDA) staff held on Human Resource system.,Government Car and Despatch Agency,Yes,51 - 500,HR Pro,No,
Customer Detail Regional Plus,Ongoing,Customer details including collection/delivery addresses/ contractual info (ceased operations 27/04/12),Government Car and Despatch Agency,No,"501 - 1,000",,No,
Customer Details Government Mail,Ongoing,Customer details including collection/delivery addresses /contractual info,Government Car and Despatch Agency,No,"501 - 1,000",,No,
Driver Details Government Mail,Ongoing,Driver phone and home address next of Kin details,Government Car and Despatch Agency,Yes,51 - 500,,No,
Government Car Data (Contract Services,Ongoing,"Phoenix database contains personal driver and car details, records annual leave and sickness. Holds Minister addresses and contact details etc.",Government Car and Despatch Agency,Yes,"1,001 - 10,000",,No,
Government Car Data (On Demand Services,Ongoing,LT enterprise is an auto despatch booking system. Hold journey details and addresses for individuals together with contact details.,Government Car and Despatch Agency,Yes,"1,001 - 10,000",LT Enterprise,No,
Open Accounts Finance Ledger System,Ongoing,The main finance system storing all financial transactions. Used as the transactional record from which annual statutory accounts are prepared,Government Car and Despatch Agency,Yes,51 - 500,,No,
Payroll Service information,Ongoing,The agency contracts out payroll processing services to Logica. The data files sent back to the agency contain personal information,Government Car and Despatch Agency,Yes,51 - 500,Logica,No,
Security Clearance Database,Ongoing,This is a database which holds all security clearance for the Government Car and Despatch Agency,Government Car and Despatch Agency,Yes,"1,001 - 10,000",,No,
Workshop & Fleet Management,Ongoing,"Tranman Fleet system holds all data on Agency vehicles, passengers if applicable, external customer fleet data, and contact details. The system also incorporates stock control and accident management.",Government Car and Despatch Agency,Yes,"501 - 1,000",Civica,No,
Access Control,Ongoing,Security Data from access control system,Highways Agency,Yes,"1,001 - 10,000",In some HA offices - Amey. In Regional Control Centres - Taylor Woodrow,No,
Accident and Incident Reporting system (AIRS),Ongoing,Accident and Incident Reporting System - Anonymised information about Health & Safety incidents in supply chain,Highways Agency,No,"1,001 - 10,000",,No,
Automatic Number Plate Recognition (ANPR),Ongoing,Automatic Number Plate Recognition - Tokenised non-unique vehicle identifiers derived from Automatic Number Plate Recognition cameras; their time and places of joining / leaving the network and passing certain points on it.,Highways Agency,No,"over 1,000,000",The data is processed on behalf of the Agency by Serco.,No,
Closed Circuit Television (CCTV),Ongoing,Closed Circuit Television - Images of numerous locations on the network,Highways Agency,Yes,"10,001 - 100,000","NRTS contractor (GeneSYS), CHUBB and SSL",Yes,Images are streamed to HA Information Points & broadcasters. Feed is cut off if recognisable personal data (Faces or VRNS) visible or if images are potentially distressing.
Command & Control,Ongoing,"Records of incidents on the network, vehicles and drivers involved, and actions taken to resolve the incidents",Highways Agency,Yes,"100,001 - 1,000,000",,No,
Correspondence Recording System (CRS),Ongoing,"Correspondence Recording System - Summary details of who has contacted the Agency (name, address, organisation) and brief overview of issues.",Highways Agency,Yes,"100,001 - 1,000,000",,No,
Dartford Crossing (electronic),Ongoing,"Payment System - Names, addresses (inc e-mail), telephone numbers, vehicles registration, bank / credit card details, for users of DART-Tag.",Highways Agency,Yes,"100,001 - 1,000,000",Connect Plus Services,No,
Dartford Crossing (paper),Ongoing,"Payment System - Names, addresses (inc e-mail), vehicle registration, bank / credit card details, evidence for charge concessions (e.g. for local residents / disabled motorists) for users of DART-Tag.",Highways Agency,Yes,"100,001 - 1,000,000",Connect Plus Services,No,
Environmental Information System (Envis),Ongoing,Environmental Information System - EnvIS is a system for defining and categorising the man-made or natural assets within and surrounding the Strategic Road Network.,Highways Agency,No,"1,001 - 10,000",,No,
Estates CCTV,Ongoing,Images from CCTV cameras,Highways Agency,Yes,"1,001 - 10,000",Regional Control Centres - Taylor Woodrow. Other HA Offices - The landlord,No,
Highways Agency Drainage Data Management System (HADDMS),Ongoing,Highways Agency Drainage Data Management System - Technical information about location and condition of drainage infrastructure on the network,Highways Agency,No,"501 - 1,000",HA Managing Agent Supply Chain,No,
Highways Agency Geotechnical Data Management System (HAGDMS),Ongoing,The Highways Agency Geotechnical Data Management System - Geotechnical information about condition of the ground beneath the network and the earthworks (embankments and cuttings) that support the infrastructure,Highways Agency,No,"501 - 1,000",HA Managing Agent Supply Chain,No,
Highways Agency Lands (HAL),Ongoing,Highways Agency Lands - Personal data of property / land owners and other claimants under land compensation provisions,Highways Agency,Yes,"100,001 - 1,000,000",,No,
Highways Agency Shared Services,Ongoing,HR information about our employees,Highways Agency,Yes,"1,001 - 10,000",,No,
Incident Reporting and Investigation system (IRIS),Ongoing,Incident Reporting and Investigation System - Health and Safety incidents affecting members of HA Staff (anywhere) and visitors to our office estate,Highways Agency,Yes,"1,001 - 10,000",,No,
Planning Applications Database) (PAD),Ongoing,"Planning Applications Database - names and addresses, planning proposals and hard copy case files.",Highways Agency,Yes,"10,001 - 100,000",,Yes,The database itself is not available but it stores details of planning applications which are published by Local Authorities.
Pass Production & Records,Ongoing,Records of individuals with passes to gain entry to Agency buildings,Highways Agency,Yes,"1,001 - 10,000",,No,
Red & Green Claims,Ongoing,"Names and addresses, claim details and bank details for payment or receipt for damage to the network by drivers or by the network to drivers' vehicles",Highways Agency,Yes,"10,001 - 100,000",,No,
Severn Toll,Ongoing,"Names, addresses, vehicles, bank / credit card details, evidence for toll concessions (e.g. for residents / disabled motorists) for holders of electronic toll passes",Highways Agency,Yes,"10,001 - 100,000",Cofiroute UK,No,
SFM,Ongoing,"Oracle Financial Systems - Payment details (bank accounts, names, addresses) of suppliers. Details of staff expenses claims . Cost of projects, total payments to suppliers.",Highways Agency,Yes,"1,001 - 10,000",Data Base Administration undertaken by Atos Origin,No,
SHARE,Ongoing,Sharing Highways Agency Records Electronically - Electronic records management system which stores day to day HA records and documents created by the business,Highways Agency,Yes,,,No,"Some documents / records are published on the web site, but too many to list"
AI Media Spotlight,Ongoing,An internet accessible web application for the management of public relations information and contacts with members of the press,Maritime and Coastguard Agency ,Yes,1-50,,No,
Approved Doctors Information System (ADIS),Ongoing,Doctors details who have been approved by the MCA to conduct medical examinations on seafarers. It records seafarer medical failures and seafarer appeal details,Maritime and Coastguard Agency,Yes,51 - 500,,No,
Automatic Identification System (AIS),Ongoing,Vessel details are recorded for statistical analysis,Maritime and Coastguard Agency,No,"over 1,000,000",,No,
Blackberry Enterprise Server,Ceased,"Contains username, password, real name and internist emails",Maritime and Coastguard Agency,No,51 - 500,,No,
Boatmasters' Licence System,Ongoing,Personal data relating to applicants for Boatmasters' licences including qualifications and certification,Maritime and Coastguard Agency,Yes,"1,001 - 10,000",,No,
Consolidated European Reporting System (CERS),Ongoing,"Consolidated European Reporting System contains all information about vessels moving around and in/out of UK waters, which carry dangerous or polluting goods.",Maritime and Coastguard Agency,No,"over 1,000,000",,No,
Channel Navigation Information System (CNIS),Ongoing,"System using active radar monitoring to ensure vessel safety in the Dover Strait, Thames Estuary and their approaches.",Maritime and Coastguard Agency,No,"10,001 - 100,000",,Yes,
Coastguard 66 Administration Log,Ongoing,"Voluntary register of small pleasure crafts, includes details of vessel and owner.",Maritime and Coastguard Agency,No,"10,001 - 100,000",,No,
Content Management System (CMS),Ongoing,Is a system which allows information to be updated on to the Maritime and Coastguard Agency related web pages in a variety of different documents,Maritime and Coastguard Agency,No,"1,001 - 10,000",,Yes,http://www.mcga.gov.uk/c4mca/mcga07-home
Contracts Database,Ongoing,"Contract information for the entire MCA, incl. letters of tender, request to purchase, contractual delegation, dates, extensions etc.",Maritime and Coastguard Agency,No,"over 1,000,000",,Yes,
Customer Contacts Database,Ceased,"Contains customer contact details, vessel details and emails",Maritime and Coastguard Agency ,Yes,"1,001 - 10,000",,No,
Data Warehouse,Ongoing,"Information stored can be from any MCA corporate database, which is then presented in a report format",Maritime and Coastguard Agency,Yes,"1,001 - 10,000",,No,
E-Financials,Ongoing,Financial data system to process MCA invoices,Maritime and Coastguard Agency,Yes,"1,001 - 10,000",,No,
Electronic Property Information Mapping Service ,Ongoing,An OGC on-line (extranet) application designed to hold information about all MCA properties,Maritime and Coastguard Agency,No,"501 - 1,000",Efficiency &  Property Group (SLA),Yes,Central Government
Electronic Position Indicating Radio Beacon (EPIRB) database,Ongoing,"Contains mandatory registration of 406 MHz beacons, owners and 24 hour contact information",Maritime and Coastguard Agency,No,"10,001 - 100,000",,No,
E-Track,Ongoing,Records time spent on various jobs across MCA,Maritime and Coastguard Agency,No,"1,001 - 10,000",,No,
Fleet Management System (FMS),Ongoing,"UK ship register, contains vessel identification details and owner details",Maritime and Coastguard Agency,Yes,"10,001 - 100,000",,Yes,http://www.ukshipregister.co.uk
Freedom Of Information Tracking Database,Ongoing,"Contains names, addresses and contact details of Freedom Of Information applicants and the actions taken in response to their request",Maritime and Coastguard Agency,No,51 - 500,,No,
Hodgkin's Expert Advice Tool (HEAT),Ongoing,"System which records call logs, hardware inventory and internal customer contact profiles",Maritime and Coastguard Agency,No,"100,001 - 1,000,000",,No,
Human Resource Management Information System (HR MIS),Ongoing,HR MIS stores a range of employee personal data,Maritime and Coastguard Agency,Yes,"1,001 - 10,000",,No,
Hydrographic Data,Ongoing,"Seabed depth data, seabed salinity data and tidal data.",Maritime and Coastguard Agency,No,"1,001 - 10,000",,Yes,http://www.mcga.gov.uk/c4mca/mcga07-home/shipsandcargoes/mcga-shipsregsandguidance/mcga-dqs-hmp-hydrography/civil_hydrography_programme_results.htm
IMAGE Database,Ongoing,Images relevant to the MCA,Maritime and Coastguard Agency,No,"1,001 - 10,000",,Yes,http://www.mcga.gov.uk/c4mca/mcga07-home/newsandpublications/mcga-imagelibrary
IMPReS,Ongoing,"Information Management Processing and Retrieval System. Contains file prefixes and numbering, file titles, file locations, file history, name and location of file holder",Maritime and Coastguard Agency ,No,"100,001 - 1,000,000",,No,
Information and Communications Technology Wiki,Ongoing,Online Information and Communications Technology (ICT) desk instructions,Maritime and Coastguard Agency,No,1-50,,No,
Information Management System (IMS),Ongoing,"Records details of all incidents at sea or along the coastline the Maritime Rescue Co-ordination Centre (MRCC) is responsible for, during and after the incident",Maritime and Coastguard Agency,Yes,"100,001 - 1,000,000",,No,
Integrated Communications Control System (ICCS),Ongoing,Records all radio and telephone traffic,Maritime and Coastguard Agency,No,"10,001 - 100,000",,No,
Internal Code Vessel Database,Ongoing,Contains ship certificate details and owner details,Maritime and Coastguard Agency,Yes,"1,001 - 10,000",,No,
Maritime and Coastguard Agency (MCA) Business Directory,Ongoing,Names and business contact details for MCA staff,Maritime and Coastguard Agency,No,"1,001 - 10,000",,No,
Mobile Maritime Service Identification (MMSI) Register,Ongoing,"Mobile Maritime Service Identification Register. Contains names, address and contact details for vessel owners, and emergency contact details",Maritime and Coastguard Agency ,No,"10,001 - 100,000",,No,
Osccar (Santia Occupational Health),Ongoing,Santia are providers of occupational health worker assessments,Maritime and Coastguard Agency,Yes,51 - 500,Santia,No,
Redfern Travel Contract,Ongoing,Contains staff details to book all business travel.,Maritime and Coastguard Agency,Yes,1-50,Redfern Travel Ltd,No,
Seafarer Documentation System (SDS),Ongoing,Records all details of Seafarers qualifications,Maritime and Coastguard Agency,Yes,"10,001 - 100,000",,No,
Security Vetting Workbook,Ongoing,"Records vetting levels of those MCA personnel who have clearance above Baseline Personnel Security Standard (CTC, SC and DV)",Maritime and Coastguard Agency,No,"1,001 - 10,000",Department Vetting Agency,No,
Ship Security Plans,Ongoing,"Plans to prevent illegal acts against a ship, its crew and passengers and to minimise damage to the marine environment and to port facilities",Maritime and Coastguard Agency,No,"501 - 1,000",,No,
SMarT Training Provider Database,Ongoing,"Self-Monitoring, Analysis and Reporting Technology Training Provider Database. Records the training details given to Seafarers",Maritime and Coastguard Agency,No,"1,001 - 10,000",,No,
Survey and Inspection Database (SIAS),Ongoing,Contains Port State Control inspection data about vessels,Maritime and Coastguard Agency,Yes,"over 1,000,000",,No,
Surveyors - Survey and Inspection Electronic Forms,Ongoing,"Contains vessel details, permitted modes of operation, exemptions granted to regulations and company details",Maritime and Coastguard Agency,No,51 - 500,,No,
Surveyors - Survey and Inspection Form Flow,Ongoing,"Contains vessel details, permitted modes of operation, exemptions granted to regulations and company details",Maritime and Coastguard Agency,No,51 - 500,,No,
Unedited Helicopter Video Footage,Ongoing,Helicopter crew taken footage during flights,Maritime and Coastguard Agency,No,,,Yes,
Voice Recording System,Ongoing,"Emergency call recorder - details time of call, identity of caller and position of caller",Maritime and Coastguard Agency,Yes,"100,001 - 1,000,000",,No,
Shared Services Centre (SSC CA),Ongoing,"SSC CA represents the information stored within the Outlook Address Book which contains emails, addresses and telephone numbers for Shared Services Centre staff, DVLA staff and DSA staff.",Shared Services,Yes,51 - 500,,No,
Shared Services Centre SSC COL),Ongoing,SSC COL represents the Local Area Network (LAN) where work documents are stored.,Shared Services,No,"1,001 - 10,000",,No,
Shared Services E-Mail System,Ongoing,SSC E-Mail System containing contact details of staff.,Shared Services,Yes,51 - 500,,No,
Shared Services SAP Configuration,Ongoing,Shared Services SAP Configuration. Documentation held relating to the technical configuration of the SAP system.,Shared Services,No,51 - 500,,No,
Shared Services Technical Configuration,Ongoing,Shared Services Technical Configuration - SSCT. Documentation held on the technical configuration of the SSC network.,Shared Services,No,51 - 500,,No,
ADR & Certificates,Ongoing,"The database holds details of vehicles that are tested under the (Carriage of Dangerous Goods by Road in Europe) ADR agreement. Vehicle owner, vehicle, certificate data and test information held in the database",Vehicle Operator Services Agency ,Yes,"over 1,000,000",Atos,No,
Automatic Number Plate Recognition (ANPR),Ongoing,Information captured at the Roadside Automatic Number Plate Recognition system. Only vehicles matching specified criteria (e.g. expired test) are captured.,Vehicle Operator Services Agency,Yes,"100,001 - 1,000,000",Atos/Civica,No,
Brake Database,Ongoing,Database of brake information from manufacturers. Copied to disk and sent to Test Stations to input into Roller Brake Testers,Vehicle Operator Services Agency,No,"1,001 - 10,000",Atos,No,
Bus Compliance Monitoring,Ongoing,Monitoring report and correspondence to operator. Passed to Traffic Commissioner.,Vehicle Operator Services Agency,Yes,"1,001 - 10,000",Atos,No,
Certificate of Initial Fitness (COIF) Database,Ongoing,Contains COIF Master Vehicle information.,Vehicle Operator Services Agency,Yes,"100,001 - 1,000,000",Atos,No,
Certificates & Applications in TSB,Ongoing,Application forms and Certificates that have been returned to Technical Services Branch (TSB) following a test. Each type of form and certificate is on a separate film,Vehicle Operator Services Agency,Yes,"over 1,000,000",Atos,No,
Compliance Paper Records - OLBS,Ongoing,Letters sent from or to the Compliance Team and sometimes to Licensing. Hardcopies of conviction notifications from Prosecution and Legal Services (PLS) or Area Offices. Offences from Area offices or other enforcement agencies. Recommendations and file notes between team members etc.,Vehicle Operator Services Agency,Yes,"1,001 - 10,000",,No,
Customer Relationship Management (CRM),Ongoing,Lotus notes application holds customer info for HGV & PSV operators who already are/have expressed interest in Designated Premises or Authorised Testing Facilities. Allows tracking of meetings/conversations etc. Storage facility for customer contact reports,Vehicle Operator Services Agency,Yes,"1,001 - 10,000",Atos,No,
Electronic Case Management System (ECMS),Ongoing,"An electronic system able to be passed electronically between staff/departments for managing work flows & casework. It covers all prosecution work, investigations for MOT, Maintenance, working time, educational & environmental visits.",Vehicle Operator Services Agency ,Yes,"1,001 - 10,000",Atos,No,
Enforcement and Operator Maintenance files,Ongoing,Court papers and/or warning letters reference offences detected with relevant correspondence from alleged offender(s) & Prohibition Goods 9/Prohibition Goods 10 notices & Maintenance investigation reports,Vehicle Operator Services Agency,Yes,"10,001 - 100,000",Atos,No,
Finance,Ongoing,"VOSA Financial system incorporating General Ledger, Accounts Payable and Accounts Receivable, Cash Management",Vehicle Operator Services Agency,Yes,"100,001 - 1,000,000",Atos,No,
Hauliers Database,Ongoing,"Details of Hauliers names and addresses. Types of permits used by Hauliers, record of returned Austrian Transit Permits",Vehicle Operator Services Agency,Yes,51 - 500,Atos,No,
"Health & Safety Reports, Assessments etc",Ongoing,"Anything to do with Health & Safety or well being issues within VOSA personal information for individuals when have assisted, risk assessed, conducted accident investigations on etc",Vehicle Operator Services Agency,Yes,"1,001 - 10,000",Atos,No,
Heavy Goods Vehicle & Trailer Brake Calculations,Ongoing,"Vehicle Testing Goods 10 forms for vehicles and first test trailers, The information is supplied by the manufacturer to support the Vehicle Testing Goods 10 form. Information contains calculations to show the braking efficiency",Vehicle Operator Services Agency,No,"1,001 - 10,000",Atos,No,
Heavy Goods Vehicle Case History,Ongoing,Technical information on authorized vehicle conversions. Information transferred to Vehicle Testing Goods 10 form,Vehicle Operator Services Agency,Yes,"1,001 - 10,000",Atos,No,
HGV & PSV Test Certificates,Ongoing,"Pads of Certificates for Heavy Goods Vehicles and Public Service Vehicles, including originals before issue and carbon copies once issued.",Vehicle Operator Services Agency,No,"over 1,000,000",Atos,No,
Human Resources (HR),Ongoing,"Name, address, contact points, ethnic monitoring, cost centres, training courses attended, absence records, bank details, hours worked e.g. Part Time or Full Time, manager, pension details, salary, work location, electronic overtime &amp; Travel & Subsistence",Vehicle Operator Services Agency,Yes,"10,001 - 100,000",Atos,No,
Individual Vehicle Approval (IVA),Ongoing,"Information used to process IVA Applications and is Lotus Notes based, containing report owner personal details and technical information.",Vehicle Operator Services Agency,Yes,"1,001 - 10,000",Atos,No,
Intelligence,Ongoing,"Holds graded sanitised intelligence relating to UK and non UK vehicle operators, MOT garages.",Vehicle Operator Services Agency,Yes,"100,001 - 1,000,000",Atos,No,
List of Acceptable Equipment,Ongoing,List of equipment that is acceptable for garages to use by class. It ensures that garages buy approved equipment. VOSA staff use the database and garages use a paper copy.,Vehicle Operator Services Agency,No,51 - 500,Atos,No,
Ministry of Transport (MOT) Computerisation,Ongoing,Records tests conducted for each class of vehicle. Allows electronic vehicle re-licensing by feeding into DVLAs database. Allows effective monitoring of garages for enforcement activities.,Vehicle Operator Services Agency,Yes,"over 1,000,000",Atos,Yes,Published on Data.Gov
Ministry of Transport (MOT) VTS Files,Ongoing,"Vehicle Testing System files, application forms and supporting documentation (including plans). Approval documentation and copies of any Vehicle Tester visits and disciplinary action.",Vehicle Operator Services Agency,Yes,"10,001 - 100,000",Atos,No,
Mobile Compliance,Ongoing,Mobile Compliance - Roadside Enforcement Operational IS System,Vehicle Operator Services Agency,Yes,"over 1,000,000",Atos,No,
MOT (Ministry of Transport) Technical Information,Ongoing,Internal database used for MOT Inspection Manual amendments. To go on the Intranet in due course. MOT Inspection Manual is used for periodic queries taken by Enquiry Unit that appear to not be in the Manual.,Vehicle Operator Services Agency,No,51 - 500,Atos,No,
Operator Licence Business System (OLBS),Ongoing,Holds information required to allow VOSA to manage licences for the use of Public Service Vehicles and Heavy Goods Vehicles,Vehicle Operator Services Agency,Yes,"10,001 - 100,000",Atos,Yes,We already publish part of the application and decision via the Applications & Decisions / Notices & Proceedings site on the VOSA website
Passenger Carrying Service Providers,Ongoing,Database of passenger carrying service providers travelling abroad and record of permits issued,Vehicle Operator Services Agency,Yes,51 - 500,Atos,No,
Preparer ID,Ongoing,"A Registration Service for Preparers and Presenters together with Manufacturers holding name, address, email & telephone details etc.",Vehicle Operator Services Agency,Yes,"1,001 - 10,000",Atos,No,
Prosecution & Legal Service (PLS),Ongoing,Case management database system. Details of prosecution cases taken and results,Vehicle Operator Services Agency,Yes,"over 1,000,000",Atos,No,
Reduced Pollution Certificate Database,Ceased,Record of Reduced Pollution Certificates,Vehicle Operator Services Agency,Yes,"10,001 - 100,000",Atos,No,
Siebel Booking System,Ongoing,Vehicle Testing Operational IS System (incorporates e-Test Bookings and Vehicle Testing),Vehicle Operator Services Agency,Yes,"over 1,000,000",Atos,No,
Single Vehicle Approval (SVA),Ongoing,"Information used to process SVA Applications and is Lotus Notes based, containing report owner personal details and technical information.",Vehicle Operator Services Agency,Yes,"1,001 - 10,000",Atos,No,
Sources of Information Register,Ongoing,Details of various sources of information,Vehicle Operator Services Agency,Yes,"1,001 - 10,000",Atos,No,
Speed Limiter Tacho,Ongoing,Contains records of Tachograph and Speed limiter approved centres.,Vehicle Operator Services Agency,Yes,"1,001 - 10,000",Atos,No,
"Standard Lists for HGV, Trailer & PSV",Ongoing,"Manufacturer provided technical data on vehicle weights and measurements for Heavy Goods Vehicles, Trailers and Public Service Vehicle.",Vehicle Operator Services Agency,No,"1,001 - 10,000",Atos,No,
Vehicle Safety Branch Defects Database,Ongoing,Holds information on alleged vehicle safety defects that have been reported to Vehicle Safety Branch from various sources.,Vehicle Operator Services Agency,Yes,"10,001 - 100,000",Atos,No,
Vehicle Safety Branch Recalls Database,Ongoing,"Holds information relating to Manufacturer initiated recalls,",Vehicle Operator Services Agency,Yes,"10,001 - 100,000",Atos,Yes,On VOSA website.gov.uk
Vehicle Testing System (VTS),Ongoing,Vehicle Testing Operational IS System (incorporates Technical Records ),Vehicle Operator Services Agency,Yes,"over 1,000,000",Atos,No,
Advertising Contact,Ongoing,Advertising Contact details and correspondence with manufacturers and Importers. Market surveillance reports includes records relating to the criminal justice system.,Vehicle Certification Agency ,Yes,51 - 500,,No,
Batteries recycling,Ongoing,"Relates to enforcement of the Waste Batteries and Accumulators Regulations 2009. Contains complaints from general public, visit reports from market researchers and enforcement officers, correspondence from retailers/producers, records relating to the criminal justice system.",Vehicle Certification Agency ,Yes,"501 - 1,000",,No,
Business Development General Enquiries,Ongoing,General enquiries from public and others,Vehicle Certification Agency ,Yes,"501 - 1,000",,No,
