Depart-ment Family ,Entity, Date,Expense Type,Expense Area,Supplier,Trans-action Number,Amount,Distrib-ution Line Number
DCMS,ODA,29-Sep-12,Construction contractor,HDTV Light - Velodrome,London Organising Committee of the Olympic Games and Paralympic Games Limited,72798,5199,4
DCMS,ODA,29-Sep-12,Civil engineer,SUNDRY / THIRD PARTY,London Organising Committee of the Olympic Games and Paralympic Games Limited,72798,70000,5
DCMS,ODA,29-Sep-12,Construction contractor,LOCOG Delivery Transfer costs,London Organising Committee of the Olympic Games and Paralympic Games Limited,72798,320000,6
DCMS,ODA,29-Sep-12,Construction contractor,LOCOG Transfer,London Organising Committee of the Olympic Games and Paralympic Games Limited,72798,17000,7
DCMS,ODA,29-Sep-12,Minor Works,Venue Transport Operations,London Organising Committee of the Olympic Games and Paralympic Games Limited,72798,146768.98,8
DCMS,ODA,29-Sep-12,Minor Works,Venue Transport Operations,London Organising Committee of the Olympic Games and Paralympic Games Limited,72798,0.02,9
DCMS,ODA,29-Sep-12,Civil engineer,PA System,London Organising Committee of the Olympic Games and Paralympic Games Limited,72798,137500,10
DCMS,ODA,29-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,London Organising Committee of the Olympic Games and Paralympic Games Limited,72798,193473.6,11
DCMS,ODA,29-Sep-12,Service Charges,Facilities Management,London Organising Committee of the Olympic Games and Paralympic Games Limited,73712,18538.03,1
DCMS,ODA,29-Sep-12,Rates,Facilities Management,London Organising Committee of the Olympic Games and Paralympic Games Limited,73712,1448.43,2
DCMS,ODA,29-Sep-12,Light & Heat,Facilities Management,London Organising Committee of the Olympic Games and Paralympic Games Limited,73712,40756.34,3
DCMS,ODA,29-Sep-12,Stationery,Facilities Management,London Organising Committee of the Olympic Games and Paralympic Games Limited,73712,1500.72,4
DCMS,ODA,29-Sep-12,Postage and couriers,Facilities Management,London Organising Committee of the Olympic Games and Paralympic Games Limited,73712,901.15,5
DCMS,ODA,29-Sep-12,Churn Management,Transport,London Organising Committee of the Olympic Games and Paralympic Games Limited,73712,1785.1,6
DCMS,ODA,29-Sep-12,Cleaning,Additional Venue Costs,London Organising Committee of the Olympic Games and Paralympic Games Limited,73712,5131,7
DCMS,ODA,29-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,London Organising Committee of the Olympic Games and Paralympic Games Limited,73712,14012.15,8
DCMS,ODA,29-Sep-12,Grant Payable,Venue Transport Operations,London Organising Committee of the Olympic Games and Paralympic Games Limited,75305,3891987.82,1
DCMS,ODA,29-Sep-12,Grant Payable,Venue Transport Operations,London Organising Committee of the Olympic Games and Paralympic Games Limited,75306,2933843.34,1
DCMS,ODA,29-Sep-12,Grant Payable,Communications,London Organising Committee of the Olympic Games and Paralympic Games Limited,75834,500000,4
DCMS,ODA,29-Sep-12,Grant Payable,Venue Transport Operations,London Organising Committee of the Olympic Games and Paralympic Games Limited,76339,429530.13,1
DCMS,ODA,29-Sep-12,Construction contractor,Academy Building,Lend Lease Europe Ltd,77298,39974,1
DCMS,ODA,29-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,77298,7994.8,2
DCMS,ODA,29-Sep-12,Construction contractor,Village Vertical Development,Lend Lease Europe Ltd,77299,283971.24,1
DCMS,ODA,29-Sep-12,Construction contractor,Village Vertical Development,Lend Lease Europe Ltd,77299,5795.33,2
DCMS,ODA,29-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,77299,1159.07,4
