Dep,Entity,Date, Expense Type, Expense Area,Supplier  ,Transaction Number, Amount, Invoice Description
DFID,DFID,21/01/2013,Technical and Advisory Services ,East and Central Africa ,Mennonite Economic Development Associates of Canada ,202481-104 ,"£291,159.33",
DFID,DFID,21/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,GHK CONSULTING LTD ,114168-101 ,"£128,743.00",
DFID,DFID,21/01/2013,Technical and Advisory Services ,East and Central Africa ,Deloitte Consulting Pvt Ltd Co. ,202913-101 ,"£100,912.49",
DFID,DFID,21/01/2013,Technical and Advisory Services ,Human Resources Security & Facilities Division ,Cabinet Office RM Shared Services ,100269-104 ,"£34,843.25",DFIDís Accountancy and Financial Services charges 2012
DFID,DFID,21/01/2013,DFID Purchased Relief Supplies ,West and Southern Africa ,CHARLES KENDALL & PARTNERS LIMITED (PROCUREMENT) ,202524-112 ,"£60,692.31",
DFID,DFID,21/01/2013,Technical and Advisory Services ,Research and Evidence Division ,OXFORD POLICY MANAGEMENT ,203193-101 ,"£58,934.40",
DFID,DFID,21/01/2013,Technical and Advisory Services ,Research and Evidence Division ,OXFORD POLICY MANAGEMENT ,203193-101 ,"£58,934.40",
DFID,DFID,21/01/2013,FCO shared service charges ,Western Asia and Stabilisation Division ,Supplier Name withheld ,101601-110 ,"£70,093.23",FCO shared services (Security) - Afghanistan
DFID,DFID,21/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,PRICEWATERHOUSECOOPERS ,202911-101 ,"£30,735.04",
DFID,DFID,21/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,UNIVERSITY OF EAST LONDON ,108070-101 ,"£29,260.00",
DFID,DFID,21/01/2013,FCO shared service charges ,Western Asia and Stabilisation Division ,Supplier Name withheld ,100011-110 ,"£24,384.77",
DFID,DFID,21/01/2013,Hardware - networking equipment ,Business Solutions Division Level ,FCO RECOVERIES UNIT ,200003-121 ,"£23,700.00",
DFID,DFID,21/01/2013,Vehicle Repairs & Maintenance ,Western Asia and Stabilisation Division ,Supplier Name withheld ,101601-110 ,"£11,836.00",
DFID,DFID,21/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,Paula SIlva Villanueva ,201989-101 ,"£9,150.00",
DFID,DFID,21/01/2013,Supplier Services ,Human Resources Security & Facilities Division ,AMCS UK ,100272-101 ,"£7,700.00",
DFID,DFID,21/01/2013,Contract & Agency Staff ,Business Solutions Division Level ,Parity Resources ,200005-111 ,"£7,030.98",
DFID,DFID,21/01/2013,Technical and Advisory Services ,East and Central Africa ,Tom Power Consultancy ,104978-115 ,"£6,598.39",
DFID,DFID,21/01/2013,Postage Costs ,Human Resources Security & Facilities Division ,FCO SERVICES ,201157-101 ,"£5,700.36",
DFID,DFID,21/01/2013,Technical and Advisory Services ,East and Central Africa ,BRITISH COUNCIL ,201587-112 ,"£3,440.00",
DFID,DFID,21/01/2013,Technical and Advisory Services ,West and Southern Africa ,CHARLES KENDALL & PARTNERS LIMITED (PROCUREMENT) ,202524-113 ,"£3,034.62",
DFID,DFID,21/01/2013,Technical and Advisory Services ,Research and Evidence Division ,ATTENDA LIMITED ,100039-107 ,"£2,369.52",
DFID,DFID,21/01/2013,Contract & Agency Staff ,Human Resources Security & Facilities Division ,Michaeil Page Int. Recruitment Ltd ,100268-101 ,"£2,220.00",
DFID,DFID,21/01/2013,Contract & Agency Staff ,Human Resources Security & Facilities Division ,Michaeil Page Int. Recruitment Ltd ,100268-101 ,"£2,220.00",
DFID,DFID,21/01/2013,Contract & Agency Staff ,Human Resources Security & Facilities Division ,Michaeil Page Int. Recruitment Ltd ,100268-101 ,"£2,109.00",
DFID,DFID,21/01/2013,Consultancy Services ,Finance and Corporate Performance Division ,AMCS UK ,202836-101 ,"£1,952.00",
DFID,DFID,21/01/2013,Legal costs ,West and Southern Africa ,O.O.Olowokure & Co. ,100152-101 ,"£1,774.22",
DFID,DFID,21/01/2013,Training - Course Fees ,International Finance Division ,BPP LEARNING MEDIA LIMITED ,202259-101 ,"£1,704.00",
DFID,DFID,21/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,"£1,513.32",
DFID,DFID,21/01/2013,Conferences  Seminars & Meeting/Event Resource ,Asia  Caribbean and Overseas Territories ,BRITISH COUNCIL DIVISION ,100113-101 ,"£1,165.03",
DFID,DFID,21/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,100201-101 ,£988.92,
DFID,DFID,21/01/2013,Hotels - Accommodation only ,Asia  Caribbean and Overseas Territories ,Recipient name withheld ,101603-102 ,£830.12,
DFID,DFID,21/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,100201-101 ,£691.20,
DFID,DFID,21/01/2013,Air fares ,East and Central Africa ,Recipient name withheld ,101625-102 ,£669.22,
DFID,DFID,21/01/2013,Training - Course Fees ,International Finance Division ,BPP LEARNING MEDIA LIMITED ,202259-101 ,£612.00,
DFID,DFID,21/01/2013,other information and communication technologies ,West and Southern Africa ,Limeline Sierra Leone Ltd ,101629-101 ,£505.92,
DFID,DFID,22/01/2013,Air fares ,Western Asia and Stabilisation Division ,Recipient name withheld ,101624-101 ,"£2,500.00",
DFID,DFID,22/01/2013,Aid Programme - Contributions to Debt Relief ,International Finance Division ,INTERNATIONAL DEVELOPMENT ASSOCIATION 'B ACC' ,110951-101 ,"£72,980,000.00",
DFID,DFID,22/01/2013,Encashment of Promissory Notes ,Policy Division ,International Bank for Reconstruction and Development,202216-102 ,"£7,350,000.00",
DFID,DFID,22/01/2013,Encashment of Promissory Notes ,Policy Division ,International Bank for Reconstruction and Development,113819-103 ,"£3,150,000.00",
DFID,DFID,22/01/2013,Aid Programme - Pooled/Basket funding ,West and Southern Africa ,Liberia Health Sector Pool Fund Grant ,113608-101 ,"£2,000,000.00",
DFID,DFID,22/01/2013,Aid Programme - Trust Funds contributions ,West and Southern Africa ,IBRD HSBC T ,202854-101 ,"£1,545,000.00",
DFID,DFID,22/01/2013,Technical and Advisory Services ,West and Southern Africa ,Cambridge  Education Limited ,104200-101 ,"£1,148,574.43",
DFID,DFID,22/01/2013,Aid Programme - Partnership Programme Arrangements ,Policy Division ,Fairtrade Labelling Organizations International e.V. ,201718-101 ,"£750,000.00",
DFID,DFID,22/01/2013,Aid Programme - Accountable Grant Payments ,West and Southern Africa ,CAMFED ,203292-101 ,"£704,721.00",
DFID,DFID,22/01/2013,Aid Programme - Accountable Grant Payments ,Policy Division ,OVERSEAS DEVELOPMENT INSTITUTE ,202814-101 ,"£662,110.14",
DFID,DFID,22/01/2013,Technical and Advisory Services ,West and Southern Africa ,HTSPE LTD ,104189-101 ,"£637,617.21",
DFID,DFID,22/01/2013,Aid Programme - Core contributions ,Research and Evidence Division ,USDA-ARS ,202108-102 ,"£587,819.00",
DFID,DFID,22/01/2013,Technical and Advisory Services ,West and Southern Africa ,PRICEWATERHOUSECOOPERS ,113961-102 ,"£542,384.30",
DFID,DFID,22/01/2013,Technical and Advisory Services ,West and Southern Africa ,ATOS CONSULTING LIMITED ,200452-101 ,"£385,021.10",
DFID,DFID,22/01/2013,Aid Programme - Partnership Programme Arrangements ,Policy Division ,ISLAMIC RELIEF ,203105-101 ,"£350,000.00",
DFID,DFID,22/01/2013,Research & Development costs ,Research and Evidence Division , Overseas Development Institute ,201009-101 ,"£230,292.85",
DFID,DFID,22/01/2013,Aid Programme - Accountable Grant Payments ,East and Central Africa ,CRANFIELD UNIVERSITY ,203510-101 ,"£191,835.74",
DFID,DFID,22/01/2013,Aid Programme - Accountable Grant Payments ,West and Southern Africa ,AFRICAN MONITOR ,203622-103 ,"£159,763.00",
DFID,DFID,22/01/2013,Technical and Advisory Services ,West and Southern Africa ,PRICEWATERHOUSECOOPERS ,113961-103 ,"£118,524.70",
DFID,DFID,22/01/2013,Print Services ,West and Southern Africa ,New Horizon Printing Press ,201978-102 ,"£106,009.08",
DFID,DFID,22/01/2013,Technical and Advisory Services ,Business Solutions Division Level ,SCC Ltd ,200005-112 ,"£102,946.08",
DFID,DFID,22/01/2013,Research & Development costs ,Research and Evidence Division , University Of Oxford ,113580-101 ,"£100,960.77",
DFID,DFID,22/01/2013,Research & Development costs ,Research and Evidence Division ,CENTRE FOR ECONOMIC POLICY RESEARCH ,202835-101 ,"£96,928.92",
DFID,DFID,22/01/2013,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,india development... foundation. ,203217-101 ,"£79,499.00",
DFID,DFID,22/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,114348-102 ,"£76,759.55",
DFID,DFID,22/01/2013,Technical and Advisory Services ,Research and Evidence Division ,HTSPE LTD ,203193-101 ,"£58,950.00",
DFID,DFID,22/01/2013,Technical and Advisory Services ,West and Southern Africa ,Coffey International Development (Do not use) ,203355-101 ,"£58,415.00",
DFID,DFID,22/01/2013,Aid Programme - Accountable Grant Payments ,Communications Division ,INTERNATIONAL BROADCASTING TRUST ,201455-101 ,"£50,013.00",
DFID,DFID,22/01/2013,Furniture & Fittings ,Human Resources Security & Facilities Division ,Senator International  ,203716-101 ,"£46,320.10",
DFID,DFID,22/01/2013,Aid Programme - Accountable Grant Payments ,East and Central Africa ,VOLUNTARY SERVICE OVERSEAS ,200250-117 ,"£39,780.00",
DFID,DFID,22/01/2013,Aid Programme - Accountable Grant Payments ,Research and Evidence Division ,Foundation for Innovation and Technology Transfer ,202125-113 ,"£35,400.00",
DFID,DFID,22/01/2013,Technical and Advisory Services ,East and Central Africa ,I T TRANSPORT LTD ,105409-103 ,"£34,016.61",
DFID,DFID,22/01/2013,Technical and Advisory Services ,East and Central Africa ,OXFORD POLICY MANAGEMENT ,203396-101 ,"£31,915.78",
DFID,DFID,22/01/2013,Operating Lease rental of buildings ,West and Southern Africa ,JUSTICE CORNELIUS AUGUSTINE HARDING ,100214-101 ,"£22,000.00",
DFID,DFID,22/01/2013,Operating Lease rental of buildings ,West and Southern Africa ,JUSTICE CORNELIUS AUGUSTINE HARDING ,101629-101 ,"£22,000.00",
DFID,DFID,22/01/2013,Repairs  Maint  Alter - Property & Constrct. Services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,100061-101 ,"£20,428.75",
DFID,DFID,22/01/2013,Relocation costs ,Asia  Caribbean and Overseas Territories ,CROWN RELOCATIONS  UK ,101604-101 ,"£18,132.53",
DFID,DFID,22/01/2013,Technical and Advisory Services ,West and Southern Africa ,2wpcarpark ltd ,200485-101 ,"£13,617.54",
DFID,DFID,22/01/2013,Technical and Advisory Services ,East and Central Africa ,IMC Worldwide Ltd ,200221-105 ,"£13,450.23",
DFID,DFID,22/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,ERIC WOODS ,202123-105 ,"£13,172.24",
DFID,DFID,22/01/2013,Secure Staff Accommodation ,West and Southern Africa ,Supplier Name withheld ,101610-101 ,"£11,152.59",
DFID,DFID,22/01/2013,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,ROYAL SOCIETY FOR THE PROTECTION OF BIRDS ,201049-101 ,"£11,096.65",
DFID,DFID,22/01/2013,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,Surja Setu Samaj Kallyan Sangstha ,113287-102 ,"£9,161.00",
DFID,DFID,22/01/2013,Technical and Advisory Services ,East and Central Africa ,OpenCities Ltd ,202991-101 ,"£8,981.88",
DFID,DFID,22/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,202190-105 ,"£8,407.77",
DFID,DFID,22/01/2013,Technical and Advisory Services ,Research and Evidence Division ,IOD PARC ,203197-101 ,"£6,360.00",
DFID,DFID,22/01/2013,Training - Course Fees ,West and Southern Africa ,COMMUNICAID GRP LIMITED ,101610-101 ,"£5,595.60",
DFID,DFID,22/01/2013,Data Network - land lines ,Business Solutions Division Level ,VERIZON UK LIMITED ,200002-130 ,"£4,372.93",
DFID,DFID,22/01/2013,Repairs  Maint  Alter - Property & Constrct. Services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,100061-101 ,"£4,312.74",
DFID,DFID,22/01/2013,Professional member subscriptions ,Human Resources Security & Facilities Division ,EMPLOYERS FORUM ON DISABILITY ,100269-148 ,"£3,720.00",
DFID,DFID,22/01/2013,Recruitment costs ,Human Resources Security & Facilities Division ,MTB CONSULTING ,100269-130 ,"£3,592.56",
DFID,DFID,22/01/2013,Technical and Advisory Services ,East and Central Africa ,Kairichi Consultancy Limited ,103548-101 ,"£2,954.48",
DFID,DFID,22/01/2013,Relocation costs ,Asia  Caribbean and Overseas Territories ,CROWN RELOCATIONS  UK ,101604-101 ,"£1,984.78",
DFID,DFID,22/01/2013,Aid Programme - Core contributions ,Research and Evidence Division ,USDA-ARS ,202108-104 ,"£1,936.00",
DFID,DFID,22/01/2013,Technical and Advisory Services ,East and Central Africa ,IOD PARC ,100212-101 ,"£1,778.40",
DFID,DFID,22/01/2013,Technical and Advisory Services ,East and Central Africa ,Pauline Akinyi Gogo ,103548-101 ,"£1,760.13",
DFID,DFID,22/01/2013,Subscriptions ,Communications Division ,Durrants lTD ,100197-101 ,"£1,679.83",
DFID,DFID,22/01/2013,Telephone Usage & services ,West and Southern Africa ,Vodacom ,101610-101 ,"£1,650.19",
DFID,DFID,22/01/2013,Air fares ,Western Asia and Stabilisation Division ,Recipient name withheld ,101601-110 ,"£1,379.80",
DFID,DFID,22/01/2013,Water charges ,Human Resources Security & Facilities Division ,THAMES WATER UTILITIES LTD ,100187-101 ,"£1,283.88",
DFID,DFID,22/01/2013,Electricity ,Asia  Caribbean and Overseas Territories ,Neptune Properties ,100025-101 ,"£1,253.81",
DFID,DFID,22/01/2013,Technical and Advisory Services ,East and Central Africa ,IOD PARC ,101628-101 ,"£1,041.60",
DFID,DFID,22/01/2013,Water charges ,East and Central Africa ,EWSA ,101628-101 ,£972.47,
DFID,DFID,22/01/2013,Telephone Usage & services ,West and Southern Africa ,Vodacom ,100068-101 ,£897.06,
DFID,DFID,22/01/2013,Hotels - Accommodation only ,Business Solutions Division Level ,Recipient name withheld ,200001-101 ,£818.91,
DFID,DFID,22/01/2013,Hotels - Accommodation only ,Top Management Group ,Recipient name withheld ,100232-104 ,£693.00,
DFID,DFID,22/01/2013,Water charges ,East and Central Africa ,EWSA ,101628-101 ,£677.21,
DFID,DFID,22/01/2013,Contract & Agency Staff ,Policy Division ,Hays Specialist Recruitment Ltd ,100191-101 ,£637.92,
DFID,DFID,22/01/2013,Hotels - Accommodation only ,Conflict Humanitarian and Security Division ,Recipient name withheld ,100049-101 ,£628.62,
DFID,DFID,22/01/2013,Electricity ,Asia  Caribbean and Overseas Territories ,Dhaka Electric Supply Company Ltd ,101603-101 ,£626.91,
DFID,DFID,22/01/2013,Office Equipment - Maintenance ,West and Southern Africa ,Clement Osae Oduro ,101613-101 ,£603.58,
DFID,DFID,22/01/2013,Hotels - Accommodation only ,Policy Division ,Recipient name withheld ,202373-105 ,£583.95,
DFID,DFID,22/01/2013,Hotels - Accommodation only ,West and Southern Africa ,The Country Lodge Complex ,101629-101 ,£581.66,
DFID,DFID,22/01/2013,Electricity ,East and Central Africa ,EWSA ,101628-101 ,£574.13,
DFID,DFID,22/01/2013,Air fares ,East and Central Africa ,Simbatravelcare Limited ,200171-103 ,£533.29,
DFID,DFID,22/01/2013,Technical and Advisory Services ,East and Central Africa ,Susan Amlango Aletia ,103548-101 ,"£1,980.15",
DFID,DFID,23/01/2013,SAIC Salaries - Basic Pay ,West and Southern Africa ,Ms Mekdes Amde ,101631-101 ,"£1,462.99",
DFID,DFID,23/01/2013,Aid Programme - Core contributions ,International Relations Division ,COMMONWEALTH SECRETARIAT ,202998-101 ,"£5,099,120.00",
DFID,DFID,23/01/2013,Aid Programme - Core contributions ,West and Southern Africa ,AUSAID ,202351-101 ,"£1,000,000.00",
DFID,DFID,23/01/2013,Aid Programme - Partnership Programme Arrangements ,Policy Division ,CARE INTERNATIONAL ,202615-101 ,"£808,317.00",
DFID,DFID,23/01/2013,Technical and Advisory Services ,West and Southern Africa ,HTSPE LTD ,200681-101 ,"£192,649.02",
DFID,DFID,23/01/2013,Aid Programme - Accountable Grant Payments ,Research and Evidence Division ,GALVmed ,203188-102 ,"£167,282.00",
DFID,DFID,23/01/2013,Technical and Advisory Services ,West and Southern Africa ,ADAM SMITH INTERNATIONAL  LTD ,114073-101 ,"£141,845.08",
DFID,DFID,23/01/2013,Aid Programme - Accountable Grant Payments ,East and Central Africa ,The Nile Basin Discourse (NBD) ,200187-102 ,"£128,048.39",
DFID,DFID,23/01/2013,Technical and Advisory Services ,Policy Division ,TRIPLE LINE CONSULTING LTD ,202035-101 ,"£94,391.82",
DFID,DFID,23/01/2013,Technical and Advisory Services ,East and Central Africa ,Mennonite Economic Development Associates of Canada ,202481-104 ,"£86,548.65",
DFID,DFID,23/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,HTSPE LTD ,202491-102 ,"£72,164.42",
DFID,DFID,23/01/2013,Furniture & Fittings ,Human Resources Security & Facilities Division ,Senator International  ,203716-101 ,"£63,042.31",
DFID,DFID,23/01/2013,Computer software maintenance ,Business Solutions Division Level ,LOGICACMG UK LTD. ,200002-103 ,"£45,250.00",Centralised Data Storage Support Contract 12/13 Quarter 4
DFID,DFID,23/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,Nathan Associates London Ltd ,202180-101 ,"£61,966.78",
DFID,DFID,23/01/2013,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,British Council Division. ,108003-103 ,"£54,140.02",
DFID,DFID,23/01/2013,Aid Programme - Joint programme contribution ,Western Asia and Stabilisation Division ,UNDP CONTRIBUTIONS GBP ,114515-102 ,"£53,435.00",
DFID,DFID,23/01/2013,Aid Programme - Core contributions ,Research and Evidence Division ,The World Bank (EFO) ,202856-102 ,"£50,000.00",
DFID,DFID,23/01/2013,Aid Programme - Accountable Grant Payments ,West and Southern Africa ,African Parliamentarians Network Against Corruption ,201107-103 ,"£47,501.90",
DFID,DFID,23/01/2013,Technical and Advisory Services ,West and Southern Africa ,PKF (UK) LLP ,104600-105 ,"£47,094.04",
DFID,DFID,23/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,GHK CONSULTING LTD ,108027-101 ,"£46,790.00",
DFID,DFID,23/01/2013,Computer software maintenance ,Business Solutions Division Level ,Unit 4 ,200002-107 ,"£62,365.61",HR Databases Annual Maintenance Support 12/13
DFID,DFID,23/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,GHK CONSULTING LTD ,108027-101 ,"£40,716.00",
DFID,DFID,23/01/2013,Repairs  Maint  Alter - Property & Constrct. Services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,100061-101 ,"£30,015.14",
DFID,DFID,23/01/2013,Furniture & Fittings ,Human Resources Security & Facilities Division ,Senator International  ,203716-101 ,"£24,680.14",
DFID,DFID,23/01/2013,Other Building Costs ,Human Resources Security & Facilities Division ,MITIE Technical Facilities Management Ltd ,100106-101 ,"£24,260.50",
DFID,DFID,23/01/2013,Furniture & Fittings ,Human Resources Security & Facilities Division ,Senator International  ,203716-101 ,"£24,101.28",
DFID,DFID,23/01/2013,Other rentals ,West and Southern Africa ,JAT Constroi ,101620-101 ,"£22,184.75",
DFID,DFID,23/01/2013,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,WESTBURY ESTATE SERVICES LTD ,100212-101 ,"£21,226.96",
DFID,DFID,23/01/2013,Technical and Advisory Services ,East and Central Africa ,ADAM SMITH INTERNATIONAL  LTD ,200221-107 ,"£20,265.91",
DFID,DFID,23/01/2013,Aid Programme - Joint programme contribution ,Western Asia and Stabilisation Division ,The World Bank (EFO) ,203508-102 ,"£20,000.00",
DFID,DFID,23/01/2013,Technical and Advisory Services ,Policy Division ,Triple Line Consulting Limited ,201242-101 ,"£19,457.34",
DFID,DFID,23/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,203309-103 ,"£12,754.04",
DFID,DFID,23/01/2013,Furniture & Fittings ,Human Resources Security & Facilities Division ,Senator International  ,203716-101 ,"£12,614.40",
DFID,DFID,23/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,203309-102 ,"£11,573.04",
DFID,DFID,23/01/2013,Aid Programme - Accountable Grant Payments ,Policy Division ,OXFAM INSTITUTIONAL INCOME ACCOUNT ,203158-101 ,"£10,809.52",
DFID,DFID,23/01/2013,FCO shared service charges ,Western Asia and Stabilisation Division ,Foreign & Commonwealth Office ,101601-110 ,"£9,951.55",
DFID,DFID,23/01/2013,Computer Software Licenses ,Business Solutions Division Level ,COMPUTACENTER (UK) LTD ,200002-201 ,"£9,828.00",
DFID,DFID,23/01/2013,Relocation costs ,West and Southern Africa ,CROWN RELOCATIONS  UK ,101638-101 ,"£9,624.61",
DFID,DFID,23/01/2013,Technical and Advisory Services ,Policy Division ,Triple Line Consulting Limited ,100045-101 ,"£7,947.37",
DFID,DFID,23/01/2013,Technical and Advisory Services ,West and Southern Africa ,MOTT MACDONALD LTD ,202344-104 ,"£7,463.75",
DFID,DFID,23/01/2013,Other rentals ,West and Southern Africa ,JAT Constroi ,100148-101 ,"£7,394.92",
DFID,DFID,23/01/2013,Subscriptions ,Research and Evidence Division ,Gallup ,202348-103 ,"£7,177.67",
DFID,DFID,23/01/2013,Furniture & Fittings ,Human Resources Security & Facilities Division ,Senator International  ,203716-101 ,"£4,954.44",
DFID,DFID,23/01/2013,Other rentals ,West and Southern Africa ,JAT Constroi ,101620-101 ,"£4,660.09",
DFID,DFID,23/01/2013,Storage & Distribution costs ,West and Southern Africa ,CROWN RELOCATIONS  UK ,101631-101 ,"£4,513.29",
DFID,DFID,23/01/2013,Conferences  Seminars & Meeting/Event Resource ,International Relations Division ,UBIQUS UK LTD ,100262-101 ,"£4,388.40",
DFID,DFID,23/01/2013,Furniture & Fittings ,Human Resources Security & Facilities Division ,Senator International  ,203716-101 ,"£3,480.00",
DFID,DFID,23/01/2013,Furniture & Fittings ,Human Resources Security & Facilities Division ,Senator International  ,203716-101 ,"£2,958.08",
DFID,DFID,23/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,Ecological Economies and Development Limited ,202832-102 ,"£2,568.29",
DFID,DFID,23/01/2013,Vehicle Petrol & Oil ,Western Asia and Stabilisation Division ,Pakistan State Oil Company Ltd ,101624-101 ,"£2,276.63",
DFID,DFID,23/01/2013,Contract & Agency Staff ,Human Resources Security & Facilities Division ,Michaeil Page Int. Recruitment Ltd ,100268-101 ,"£2,220.00",
DFID,DFID,23/01/2013,Contract & Agency Staff ,Human Resources Security & Facilities Division ,Michaeil Page Int. Recruitment Ltd ,100268-101 ,"£2,220.00",
DFID,DFID,23/01/2013,Technical and Advisory Services ,Policy Division ,GBRW LIMITED ,201733-107 ,"£2,190.00",
DFID,DFID,23/01/2013,Conferences  Seminars & Meeting/Event Resource ,Research and Evidence Division ,Searcy Tansley & Co. Ltd ,202331-105 ,"£1,907.00",
DFID,DFID,23/01/2013,Facilities Management payments ,East and Central Africa ,Nyota Tanzania Ltd ,101634-101 ,"£1,889.17",
DFID,DFID,23/01/2013,Vehicle Repairs & Maintenance ,East and Central Africa ,FEDCO MAN CO.LTD ,202594-101 ,"£1,801.17",
DFID,DFID,23/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,KEIKO TSUNEKAWA BUTTERWORTH ,201645-109 ,"£1,672.00",
DFID,DFID,23/01/2013,Generators & spares ,West and Southern Africa ,NP (SL) Ltd ,101629-101 ,"£1,616.01",
DFID,DFID,23/01/2013,Other rentals ,West and Southern Africa ,Condominios JAT ,101620-101 ,"£1,612.04",
DFID,DFID,23/01/2013,Other Building Costs ,Human Resources Security & Facilities Division ,MITIE Technical Facilities Management Ltd ,100106-101 ,"£1,570.58",
DFID,DFID,23/01/2013,Other rentals ,West and Southern Africa ,JAT Constroi ,100148-101 ,"£1,553.36",
DFID,DFID,23/01/2013,Training - Course Fees ,International Finance Division ,RADA ENTERPRISES LTD ,100111-101 ,"£1,500.00",
DFID,DFID,23/01/2013,Conferences  Seminars & Meeting/Event Resource ,International Relations Division ,COMMONWEALTH SECRETARIAT (ComSec) ,100262-101 ,"£1,322.21",
DFID,DFID,23/01/2013,Air fares ,International Relations Division ,Recipient name withheld ,100240-101 ,"£1,272.68",
DFID,DFID,23/01/2013,Electricity ,East and Central Africa ,UMEME Ltd ,101635-101 ,"£1,159.91",
DFID,DFID,23/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,"£1,150.02",
DFID,DFID,23/01/2013,Conferences  Seminars & Meeting/Event Resource ,International Relations Division ,Clio Enterprises Ltd ,100262-101 ,"£1,122.00",
DFID,DFID,23/01/2013,Furniture & Fittings ,Human Resources Security & Facilities Division ,Senator International  ,203716-101 ,"£1,116.00",
DFID,DFID,23/01/2013,Data Network -Satellite ,Western Asia and Stabilisation Division ,SPECTRA  GROUP UK LTD ,102014-102 ,"£1,080.00",
DFID,DFID,23/01/2013,Contract & Agency Staff ,International Finance Division ,Hays Specialist Recruitment Ltd ,100120-101 ,"£1,070.70",
DFID,DFID,23/01/2013,Conferences  Seminars & Meeting/Event Resource ,East and Central Africa ,Recipient name withheld ,101625-101 ,"£1,070.29",
DFID,DFID,23/01/2013,Technical and Advisory Services ,Communications Division ,TRIPLE LINE CONSULTING LTD ,114423-102 ,£975.50,
DFID,DFID,23/01/2013,Other Building Costs ,Human Resources Security & Facilities Division ,GDC Building Services Ltd ,100187-101 ,£880.00,
DFID,DFID,23/01/2013,Contract & Agency Staff ,Human Resources Security & Facilities Division ,Anderson Knight Ltd ,100270-102 ,£800.63,
DFID,DFID,23/01/2013,Vehicle Repairs & Maintenance ,East and Central Africa ,FEDCO MAN CO.LTD ,202586-101 ,£771.93,
DFID,DFID,23/01/2013,Generators & spares ,West and Southern Africa ,Abrahim A H Daklalah ($) ,101629-101 ,£757.10,
DFID,DFID,23/01/2013,Telephone Usage & services ,East and Central Africa ,MTN Uganda Ltd ,101635-101 ,£734.12,
DFID,DFID,23/01/2013,Hardware -Laptop PCs ,West and Southern Africa ,Makro Centurion ,100220-101 ,£732.65,
DFID,DFID,23/01/2013,Telephone Usage & services ,East and Central Africa ,MTN Uganda Ltd ,101635-101 ,£731.90,
DFID,DFID,23/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,100201-101 ,£699.30,
DFID,DFID,23/01/2013,Hotels - Accommodation only ,Research and Evidence Division ,TAJ PALACE HOTEL  NEW DELHI ,100039-108 ,£660.47,
DFID,DFID,23/01/2013,Technical and Advisory Services ,Policy Division ,HAREWELLE INTERNATIONAL LIMITED ,203166-102 ,£650.00,
DFID,DFID,23/01/2013,Contract & Agency Staff ,Policy Division ,Hays Specialist Recruitment Ltd ,100191-101 ,£637.92,
DFID,DFID,23/01/2013,Storage & Distribution costs ,Communications Division ,EC GROUP ,201662-104 ,£635.03,
DFID,DFID,23/01/2013,Water charges ,Asia  Caribbean and Overseas Territories ,Bal Krishna Dahal ,101621-103 ,£621.30,
DFID,DFID,23/01/2013,Printer Consumables ,West and Southern Africa ,Papirus Plus Lda ,101620-101 ,£599.16,
DFID,DFID,23/01/2013,Storage & Distribution costs ,Communications Division ,EC GROUP ,201662-104 ,£586.40,
