Newcastle City Council Invoices over £250 paid in September 2013,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2013,NODA TAXIS LTD,6008183,Revenue,1ML09,PH - Drugs and alcohol,"1,675.00 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2013,NODA TAXIS LTD,6008183,Revenue,1ML11,PH - Smoking & Tobacco,"1,223.67 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2013,NODA TAXIS LTD,6008183,Revenue,1ML10,PH - Sexual health -C'ception,64.55 ,,,,,,,,,
Children's Services,Hadrian Special School                 ,Transfer Payments,04/09/2013,NODA TAXIS LTD,5977440,Revenue,1E212,Transport Special,640.00 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/09/2013,NOMIX ENVIRO,5953460,Revenue,1KEAT,Hortic Services Overhead,"1,786.00 ",,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/09/2013,NOMIX ENVIRO,5986463,Revenue,1KEAT,Hortic Services Overhead,"4,420.00 ",,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/09/2013,NOMIX ENVIRO,6000386,Revenue,1KEAT,Hortic Services Overhead,"3,337.50 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,05/09/2013,NORCARE LTD,5992188,Revenue,1MX50,SP Block Gross,"24,091.76 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,NORCHEM HEALTHCARE LTD,6004901,Revenue,1ML09,PH - Drugs and alcohol,875.00 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,NORCHEM HEALTHCARE LTD,6004901,Revenue,1ML11,PH - Smoking & Tobacco,"1,454.99 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,NORCHEM HEALTHCARE LTD,6004902,Revenue,1ML09,PH - Drugs and alcohol,350.00 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,23/09/2013,NORCHEM HEALTHCARE LTD,6004902,Revenue,1ML10,PH - Sexual health -C'ception,118.80 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2013,NORCHEM HEALTHCARE LTD,6008178,Revenue,1ML09,PH - Drugs and alcohol,250.00 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2013,NORCHEM HEALTHCARE LTD,6008178,Revenue,1ML11,PH - Smoking & Tobacco,"1,259.26 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,25/09/2013,NORCHEM HEALTHCARE LTD,6008178,Revenue,1ML10,PH - Sexual health -C'ception,113.60 ,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,10/09/2013,NORTECH CONTRACTS,5996332,Revenue,1KBRM,Sub Contractors R & M,"2,839.00 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,05/09/2013,NORTH BRITISH HOUSING,5992182,Revenue,1MX51,SP Block Subsidy,284.20 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,03/09/2013,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),5989519,Revenue,1MK60,Ind Day Care LD,"3,058.25 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/09/2013,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),6005143,Revenue,1MK54,Dom Care Own Tenancy LD,661.44 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/09/2013,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),6005146,Revenue,1MK60,Ind Day Care LD,"3,695.84 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,30/09/2013,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),6012177,Revenue,1MK60,Ind Day Care LD,"2,538.48 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/09/2013,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),6003586,Revenue,1MK60,Ind Day Care LD,509.67 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,02/09/2013,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),5988556,Revenue,1MK60,Ind Day Care LD,"3,695.80 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,02/09/2013,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),5988557,Revenue,1MK60,Ind Day Care LD,"2,538.48 ",,,,,,,,,
Adult and Culture,Social Services                        ,Current Liabilities,17/09/2013,NORTH EAST AUTISM SOCIETY(CHILDRENS SER),6000119,Revenue,4WX32,Patients Property Suspense,"1,818.96 ",,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,26/09/2013,NORTH EAST CONCRETE,6005897,Revenue,3KIMD,Other Stores Stock Account,"3,626.05 ",,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,19/09/2013,NORTH EAST CONCRETE,6002479,Revenue,3KIMD,Other Stores Stock Account,841.15 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,19/09/2013,NORTH EAST CONCRETE,6002590,Revenue,3KIMD,Other Stores Stock Account,"2,306.25 ",,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,19/09/2013,NORTH EAST CONCRETE,6002750,Revenue,3KIMD,Other Stores Stock Account,"1,303.94 ",,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,19/09/2013,NORTH EAST CONCRETE,6003026,Revenue,3KIMD,Other Stores Stock Account,"2,424.84 ",,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,24/09/2013,NORTH EAST CONCRETE,6005935,Revenue,3KIMD,Other Stores Stock Account,"2,651.45 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2013,NORTH EAST CONCRETE,6003651,Revenue,3KIMF,Highways Stock Account,604.00 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2013,NORTH EAST CONCRETE,6003652,Revenue,3KIMF,Highways Stock Account,"2,138.50 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2013,NORTH EAST CONCRETE,6003653,Revenue,3KIMF,Highways Stock Account,"1,591.50 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2013,NORTH EAST CONCRETE,6003654,Revenue,3KIMF,Highways Stock Account,"2,408.50 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2013,NORTH EAST CONCRETE,6003655,Revenue,3KIMF,Highways Stock Account,"1,335.10 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2013,NORTH EAST CONCRETE,6003656,Revenue,3KIMF,Highways Stock Account,"1,632.10 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2013,NORTH EAST CONCRETE,6003657,Revenue,3KIMF,Highways Stock Account,"1,363.80 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2013,NORTH EAST CONCRETE,6003658,Revenue,3KIMF,Highways Stock Account,"1,059.50 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,23/09/2013,NORTH EAST CONCRETE,6003758,Revenue,3KIMF,Highways Stock Account,"1,059.50 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,26/09/2013,NORTH EAST CONCRETE,6002487,Revenue,3KIMF,Highways Stock Account,910.25 ,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,30/09/2013,NORTH EAST COUNCIL ON ADDICTIONS,6012182,Revenue,1ML09,PH - Drugs and alcohol,"35,783.72 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,05/09/2013,NORTH EAST COUNCIL ON ADDICTIONS,5992199,Revenue,1MX50,SP Block Gross,"5,199.88 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,02/09/2013,NORTH EAST COUNCIL ON ADDICTIONS,5988718,Revenue,1ML09,PH - Drugs and alcohol,"35,783.72 ",,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,19/09/2013,NORTH EASTERN GLASS LTD,6002493,Revenue,1KVWC,Minor Works Contracts,"1,741.50 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,05/09/2013,NORTH OF ENGLAND REFUGEE SERVICE LTD,5992184,Revenue,1MX50,SP Block Gross,"5,460.00 ",,,,,,,,,
Chief Executive's,CD - Accountancy NOR                   ,Supplies & Services,27/09/2013,NORTH WALES AUTOGRASS,5874279,Revenue,1KEAT,Hortic Services Overhead,416.67 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/09/2013,NORTHBOURNE,6006675,Revenue,1MG20,Ind Res Care Elderly,-949.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,NORTHBOURNE,6006675,Revenue,1MG20,Ind Res Care Elderly,"1,720.00 ",,,,,,,,,
Chief Executive's,CD - Communities                 ,Employees,13/09/2013,NORTHEAST AMBULANCE SERV NHS TRUST,5999687,Revenue,1FC40,Cee Central Team,260.00 ,,,,,,,,,
Children's Services,Invoice,Employees,26/09/2013,NORTHEAST AMBULANCE SERV NHS TRUST,5991561,Revenue,1V205,Car Parking Management,252.00 ,,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,NORTHEAST SPECIAL NEEDS NETWORK,6003938,Revenue,1EEP1,Short Breaks,"3,499.86 ",,,,,,,,,
Environment & Regeneration,NS: Admin & Finance        ,Capital Expenditure,20/09/2013,NORTHERN CONSTRUCTION SOLUTIONS LTD,6004455,Capital,2DP02,Devt Capital CC,"49,808.65 ",,,,,,,,,
Children's Services,Invoice,Supplies & Services,03/09/2013,NORTHERN EDUCATION,5989864,Revenue,1E317,Management Secretariat,"4,270.00 ",,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,23/09/2013,NORTHERN FLOORCRAFT (GATESHEAD) LTD,6005377,Revenue,1KVWC,Minor Works Contracts,"9,378.04 ",,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,10/09/2013,NORTHERN FLOORCRAFT (GATESHEAD) LTD,5995200,Revenue,1KVWC,Minor Works Contracts,485.01 ,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,27/09/2013,NORTHERN FLOORCRAFT (GATESHEAD) LTD,6002084,Revenue,1KVEM,Mechanical Stand Alone Works,395.00 ,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,03/09/2013,NORTHERN FLOORCRAFT (GATESHEAD) LTD,5990345,Revenue,1KVWC,Minor Works Contracts,"2,002.00 ",,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,20/09/2013,NORTHERN FLOORCRAFT (GATESHEAD) LTD,6002083,Revenue,1KVWC,Minor Works Contracts,"1,674.92 ",,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,19/09/2013,NORTHERN FLOORCRAFT (GATESHEAD) LTD,6002490,Revenue,1KVWC,Minor Works Contracts,"4,332.59 ",,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,10/09/2013,NORTHERN FLOORCRAFT (GATESHEAD) LTD,5996340,Revenue,1KBM0,Public & Educ O/H,"5,233.20 ",,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,03/09/2013,NORTHERN FLOORCRAFT (GATESHEAD) LTD,5990346,Revenue,1KBAA,Building Contracts,779.79 ,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,06/09/2013,NORTHERN FLOORCRAFT (GATESHEAD) LTD,5993001,Revenue,1KBRM,Sub Contractors R & M,"60,236.28 ",,,,,,,,,
Chief Executive's,CD - Occup Health Unit           ,Supplies & Services,05/09/2013,NORTHERN GUILD PSYCHOLOGICAL SOLUTIONS,5965738,Revenue,1FP30,Occupational Health,322.88 ,,,,,,,,,
Chief Executive's,CD - Occup Health Unit           ,Supplies & Services,05/09/2013,NORTHERN GUILD PSYCHOLOGICAL SOLUTIONS,5965739,Revenue,1FP30,Occupational Health,"2,152.50 ",,,,,,,,,
HRA,HRA C.C.A.S.               ,Premises,20/09/2013,NORTHERN HOUSING CONSORTIUM,6004345,Revenue,1HJ01,HRA Sheltered HSG-Citywide,"3,356.58 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,NORTHERN LEARNING TRUST,6003931,Revenue,1FC40,Cee Central Team,"3,926.65 ",,,,,,,,,
Adult and Culture,Adult Serv Apprenticeship Plus   ,Supplies & Services,19/09/2013,NORTHERN LEARNING TRUST,6002789,Revenue,1EA65,Skills For Jobs Project,416.82 ,,,,,,,,,
Adult and Culture,AS - Westgate AE           ,Supplies & Services,06/09/2013,NORTHERN LEARNING TRUST,5992946,Revenue,1EA35,Neighbourhood Learning DEP CO,"1,835.00 ",,,,,,,,,
Children's Services,Educ School Planning    ,Supplies & Services,16/09/2013,NORTHERN LEARNING TRUST,6001037,Revenue,1E875,EFA - Youth Contract C/Cities,"1,000.00 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",03/09/2013,NORTHERN LIFE CARE LTD,5989494,Revenue,1MK50,Ind Supported Living LD,"-1,608.80 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,NORTHERN LIFE CARE LTD,5989494,Revenue,1MK50,Ind Supported Living LD,"19,440.00 ",,,,,,,,,
Environment & Regeneration,NS: Energy                 ,Supplies & Services,26/09/2013,NORTHERN POWERGRID NORTHEAST LTD,6002504,Revenue,1KKM1,Public Conv - Gosforth High St,415.00 ,,,,,,,,,
Environment & Regeneration,NS: Energy                 ,Supplies & Services,26/09/2013,NORTHERN POWERGRID NORTHEAST LTD,6002505,Revenue,1KKM1,Public Conv - Gosforth High St,699.00 ,,,,,,,,,
Environment & Regeneration,NS: Energy                 ,Supplies & Services,26/09/2013,NORTHERN POWERGRID NORTHEAST LTD,6002506,Revenue,1KKM1,Public Conv - Gosforth High St,415.00 ,,,,,,,,,
Environment & Regeneration,Blacksmiths                            ,Supplies & Services,09/09/2013,NORTHERN SAFETY LTD,5991353,Revenue,1KEMV,Blacksmiths,"1,800.00 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,09/09/2013,NORTHERN SIGNS ENGRAVERS LTD,5994062,Revenue,1KEMC,Highways,330.00 ,,,,,,,,,
Chief Executive's,CD - Benefit Centre              ,Supplies & Services,25/09/2013,NORTHGATE INFORMATION SOLUTIONS,6006126,Revenue,1CS14,Revs & Bens Small Grants,465.00 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,26/09/2013,NORTHGATE VEHICLE HIRE LTD,6000799,Revenue,1KESY,Fleet Services Hire office,719.20 ,,,,,,,,,
Chief Executive's,Coroners                               ,Premises,11/09/2013,NORTHGENE,5997784,Revenue,1FA51,Coroner,500.00 ,,,,,,,,,
Chief Executive's,CD - Training Unit               ,Premises,09/09/2013,NORTHGENE,5974776,Revenue,1FA51,Coroner,500.00 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/09/2013,NORTHLANDS NURSING HOME,6006659,Revenue,1MG20,Ind Res Care Elderly,-584.68 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,NORTHLANDS NURSING HOME,6006659,Revenue,1MG20,Ind Res Care Elderly,"1,864.56 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",24/09/2013,NORTHLEA COURT NH,6006660,Revenue,1MG20,Ind Res Care Elderly,"-1,130.92 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,24/09/2013,NORTHLEA COURT NH,6006660,Revenue,1MG20,Ind Res Care Elderly,"3,648.16 ",,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/09/2013,NORTHUMBERLAND COLLEGE,5727952,Revenue,1KEFA,Condercum Overheads,200.00 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/09/2013,NORTHUMBERLAND COLLEGE,5727952,Revenue,1KEEA,Brunswick Overheads,300.00 ,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/09/2013,NORTHUMBERLAND COLLEGE,5799488,Revenue,1KEKA,Landscape Construction,"2,400.00 ",,,,,,,,,
Adult and Culture,Social Services                        ,Third Party Payments,09/09/2013,NORTHUMBERLAND TYNE & WEAR NHS TRUST,5993924,Revenue,1MM92,Additional MHG,"2,209.16 ",,,,,,,,,
Adult and Culture,Social Services                        ,Third Party Payments,09/09/2013,NORTHUMBERLAND TYNE & WEAR NHS TRUST,5993925,Revenue,1MM92,Additional MHG,"2,209.16 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,30/09/2013,NORTHUMBERLAND TYNE&WEAR NHS TRUST,6012198,Revenue,1ML09,PH - Drugs and alcohol,"215,792.08 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,02/09/2013,NORTHUMBERLAND TYNE&WEAR NHS TRUST,5988734,Revenue,1ML09,PH - Drugs and alcohol,"215,792.08 ",,,,,,,,,
Children's Services,Invoice,Supplies & Services,05/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5986836,Revenue,1V307,Vehicle Salary Sacrifice,321.01 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,23/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5998901,Revenue,1V307,Vehicle Salary Sacrifice,469.10 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,23/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5999924,Revenue,1V307,Vehicle Salary Sacrifice,329.86 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,23/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5999925,Revenue,1V307,Vehicle Salary Sacrifice,363.50 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,23/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5999927,Revenue,1V307,Vehicle Salary Sacrifice,364.70 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,23/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5999928,Revenue,1V307,Vehicle Salary Sacrifice,317.76 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5993906,Revenue,1V307,Vehicle Salary Sacrifice,"4,102.45 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5993907,Revenue,1V307,Vehicle Salary Sacrifice,"3,569.89 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5993915,Revenue,1V307,Vehicle Salary Sacrifice,397.79 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5993916,Revenue,1V307,Vehicle Salary Sacrifice,449.12 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5993917,Revenue,1V307,Vehicle Salary Sacrifice,254.61 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5994052,Revenue,1V307,Vehicle Salary Sacrifice,"2,746.52 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5994053,Revenue,1V307,Vehicle Salary Sacrifice,"3,578.95 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5994054,Revenue,1V307,Vehicle Salary Sacrifice,"5,402.97 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5994056,Revenue,1V307,Vehicle Salary Sacrifice,"4,099.95 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5994057,Revenue,1V307,Vehicle Salary Sacrifice,"4,099.95 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5994058,Revenue,1V307,Vehicle Salary Sacrifice,"3,036.20 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5994067,Revenue,1V307,Vehicle Salary Sacrifice,"3,903.26 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5994068,Revenue,1V307,Vehicle Salary Sacrifice,"3,962.64 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5994069,Revenue,1V307,Vehicle Salary Sacrifice,"4,099.94 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,09/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5994070,Revenue,1V307,Vehicle Salary Sacrifice,"4,206.07 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,24/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,6005854,Revenue,1V307,Vehicle Salary Sacrifice,"2,667.02 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,24/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,6005855,Revenue,1V307,Vehicle Salary Sacrifice,"7,833.39 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,24/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,6005861,Revenue,1V307,Vehicle Salary Sacrifice,"2,964.50 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,26/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,6009634,Revenue,1V307,Vehicle Salary Sacrifice,"4,786.53 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,30/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,6009809,Revenue,1V307,Vehicle Salary Sacrifice,351.84 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,30/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,6011275,Revenue,1V307,Vehicle Salary Sacrifice,"1,225.62 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,30/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,6013029,Revenue,1V307,Vehicle Salary Sacrifice,"3,852.89 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,05/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5986804,Revenue,1V307,Vehicle Salary Sacrifice,278.35 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,05/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5986805,Revenue,1V307,Vehicle Salary Sacrifice,319.23 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,05/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5986834,Revenue,1V307,Vehicle Salary Sacrifice,340.22 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,05/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5986835,Revenue,1V307,Vehicle Salary Sacrifice,352.88 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,05/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5987473,Revenue,1V307,Vehicle Salary Sacrifice,318.13 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,05/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5987475,Revenue,1V307,Vehicle Salary Sacrifice,348.01 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,05/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5987480,Revenue,1V307,Vehicle Salary Sacrifice,326.20 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,05/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5987492,Revenue,1V307,Vehicle Salary Sacrifice,338.30 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,05/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5987493,Revenue,1V307,Vehicle Salary Sacrifice,527.45 ,,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,05/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5987496,Revenue,1V307,Vehicle Salary Sacrifice,"3,468.13 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,11/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5998297,Revenue,1V307,Vehicle Salary Sacrifice,"3,962.16 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,06/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5992465,Revenue,1V307,Vehicle Salary Sacrifice,"4,594.59 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,06/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5992466,Revenue,1V307,Vehicle Salary Sacrifice,"3,078.40 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,06/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5992467,Revenue,1V307,Vehicle Salary Sacrifice,"4,024.11 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,06/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5992468,Revenue,1V307,Vehicle Salary Sacrifice,"4,076.24 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,06/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5992469,Revenue,1V307,Vehicle Salary Sacrifice,"5,278.23 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,06/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5992470,Revenue,1V307,Vehicle Salary Sacrifice,"3,962.74 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,06/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5992471,Revenue,1V307,Vehicle Salary Sacrifice,"4,198.25 ",,,,,,,,,
Environment & Regeneration,E&R Parking Services    ,Supplies & Services,06/09/2013,NORTHUMBRIA HEALTHCARE NHS TRUST,5992472,Revenue,1V307,Vehicle Salary Sacrifice,"4,310.57 ",,,,,,,,,
