Data is Unweighted,,,Q8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,How satisfied are you with each of the following?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do the following statements apply to you and your job?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This sheet contains questions relating to: job satisfaction,,,a) The recognition I get for good work,,,,,,b) The support I get from my immediate manager,,,,,,c) The freedom I have to choose my own method of working,,,,,,d) The support I get from my work colleagues,,,,,,e) The amount of responsibility I am given,,,,,,f) The opportunities I have to use my skills,,,,,,g) The extent to which my organisation values my work,,,,,,h) My level of pay,,,,,,a) I am satisfied with the quality of care I give to patients / service users,,,,,,,b) I feel that my role makes a difference to patients / service users,,,,,,,c) I am able to deliver the patient care I aspire to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Support to Allied Health Professionals,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Support to Scientific and Technical or Healthcare Scientists,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Ambulance staff (operational),--,20,32,24,22,3,"2,780",12,17,24,34,13,"2,776",7,15,36,36,6,"2,772",2,5,17,57,19,"2,771",4,10,23,54,9,"2,774",5,13,23,51,8,"2,773",25,30,25,18,2,"2,774",19,32,24,23,2,"2,775",3,7,7,41,40,2,"2,777",2,3,9,43,43,1,"2,775",5,15,14,37,26,3,"2,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Emergency Care Practitioners,--,24,33,28,14,1,108,14,15,29,30,12,108,6,15,41,31,6,108,1,3,17,62,17,108,2,6,23,63,6,108,9,22,17,44,8,108,41,23,21,15,0,108,19,34,19,28,1,108,2,11,5,27,56,0,108,1,1,7,23,67,1,108,6,17,8,31,39,0,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Paramedics,--,20,34,22,21,3,"1,190",12,18,23,33,14,"1,188",7,14,33,39,7,"1,188",1,5,18,59,17,"1,186",2,9,20,59,11,"1,187",3,13,19,55,10,"1,187",27,31,23,17,2,"1,186",17,34,22,24,3,"1,188",2,6,7,44,41,1,"1,188",1,2,7,45,44,1,"1,187",5,15,13,40,25,1,"1,188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Emergency Care Assistants,--,23,25,27,23,2,232,16,10,26,33,15,232,10,13,43,27,7,231,2,4,15,51,28,231,13,10,22,49,6,232,14,11,26,43,6,232,29,26,27,16,2,232,38,27,24,10,1,232,5,3,6,36,50,0,232,5,3,10,42,40,0,232,8,11,18,30,32,1,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Ambulance Technicians,--,29,28,21,20,1,420,16,18,22,33,11,420,7,16,39,36,2,418,2,4,16,61,17,418,4,12,24,55,6,420,5,8,24,58,5,418,32,24,25,17,1,420,23,31,26,18,1,420,2,5,7,42,41,3,419,1,2,9,43,43,2,419,5,13,15,38,26,3,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Ambulance Control staff,--,14,34,26,23,3,409,8,16,25,36,16,408,7,22,42,23,6,408,2,6,17,51,23,409,3,14,30,46,7,408,8,15,31,41,6,408,18,32,27,20,3,409,13,32,23,29,3,408,5,13,12,40,26,5,409,3,4,11,49,31,2,409,6,20,18,34,16,6,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Patient Transport Service,--,12,24,25,32,7,421,11,14,21,40,13,420,5,7,27,47,14,419,3,4,16,63,14,419,4,5,24,54,13,419,4,9,24,55,7,420,14,21,29,31,5,419,16,27,30,26,1,419,2,6,6,39,40,6,421,1,2,7,41,46,3,420,2,12,8,36,32,10,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Medical / Dental staff,--,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,4,--,--,--,--,--,--,4,--,--,--,--,--,--,4,--,--,--,--,--,--,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (consultants),--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  medical / dental (other),--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Registered Nurses and Midwives,--,0,15,22,51,11,35,0,12,21,41,26,35,0,3,23,54,20,35,0,5,16,46,34,35,4,12,26,45,14,35,0,22,26,35,17,35,8,21,25,33,13,35,6,29,14,47,4,35,0,0,3,63,22,11,35,0,11,1,49,37,2,35,0,18,20,27,20,15,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  adult / general nurses,--,0,8,28,46,18,26,0,14,19,43,24,26,0,1,18,51,30,26,0,4,13,38,45,26,4,14,19,48,15,26,0,25,22,34,19,26,9,18,28,28,18,26,6,25,25,41,3,26,0,0,8,46,31,15,26,0,13,1,36,44,6,26,0,20,22,11,28,20,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  learning disabilities nurses,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  district / community nurses,--,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,--,--,--,--,--,--,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  other registered nurses,--,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,--,--,--,--,--,--,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Nursing or Healthcare Assistants,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Public Health / Health Improvement,--,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,--,--,--,--,--,--,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Commissioning managers / support staff,--,17,0,19,39,25,12,0,8,14,11,67,12,8,0,19,36,36,12,8,0,6,42,44,12,8,0,22,33,36,12,8,6,8,42,36,12,17,6,31,11,36,12,14,25,11,36,14,12,0,0,8,8,47,36,11,0,0,8,42,42,8,12,0,0,17,0,8,75,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Wider Healthcare Team,--,4,12,23,50,11,368,3,8,15,43,31,367,1,3,11,56,30,367,1,5,14,57,24,368,0,9,14,57,20,367,2,9,19,53,16,367,4,20,25,42,9,367,11,24,24,35,6,367,0,2,5,30,11,53,364,0,3,13,37,18,30,365,0,2,6,6,5,81,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  admin & clerical staff,--,4,10,24,56,6,140,2,5,15,46,31,140,1,3,10,58,27,139,0,4,16,62,19,140,1,12,12,62,14,140,2,8,24,57,10,140,3,15,30,47,5,140,13,28,21,33,5,140,0,1,4,29,9,57,139,0,3,13,33,14,37,138,0,2,7,8,6,78,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  central functions / corporate services,--,5,13,17,48,18,180,2,10,10,45,34,180,0,3,10,52,35,180,3,6,9,52,30,180,0,8,15,50,27,180,2,12,15,47,24,179,5,19,21,39,16,180,8,23,21,41,8,179,0,3,5,32,13,47,178,0,3,17,35,21,24,179,1,1,7,5,4,82,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  maintenance / ancillary,--,5,19,31,34,11,48,13,13,20,33,22,47,1,5,14,59,21,48,0,4,26,51,20,48,0,4,28,48,19,47,3,3,29,53,12,48,2,31,23,34,10,47,11,25,32,31,1,48,0,0,6,34,9,51,47,0,0,6,47,14,33,48,0,0,1,4,5,90,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,General managers,--,1,10,27,45,17,86,0,7,14,43,35,85,0,2,4,54,40,85,2,3,16,54,25,85,2,8,9,48,34,85,3,5,10,51,32,84,3,17,24,38,18,85,4,22,18,43,14,85,2,3,5,23,19,48,86,2,2,11,42,27,16,86,2,5,15,15,4,59,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Full time staff,--,17,29,24,25,4,"3,262",11,16,22,34,16,"3,258",7,13,32,38,10,"3,252",2,5,18,55,20,"3,250",4,10,22,53,11,"3,254",5,13,22,50,10,"3,252",23,28,25,20,4,"3,254",18,31,23,25,3,"3,256",3,6,7,39,36,9,"3,253",2,3,9,41,39,6,"3,251",5,13,13,33,22,14,"3,251",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Part time staff,--,13,24,28,30,5,413,7,12,23,44,13,411,4,11,33,39,13,413,2,5,13,61,19,413,3,9,21,58,10,413,4,13,21,55,8,413,14,24,29,28,5,412,10,27,27,32,4,413,1,4,6,36,37,14,411,1,1,9,37,40,11,411,2,12,10,30,28,18,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 16-30,--,13,31,24,27,5,494,8,15,18,39,20,494,6,14,33,35,12,493,1,6,10,53,29,493,6,9,17,55,14,494,6,12,25,46,11,494,17,29,27,22,4,493,19,29,22,28,2,492,1,5,7,36,39,11,493,2,4,9,40,40,6,492,3,16,11,34,21,14,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 31-40,--,20,29,22,25,4,839,10,16,23,33,18,838,6,12,34,37,10,837,1,4,17,54,22,836,3,9,23,54,11,837,5,13,20,51,10,836,24,30,25,18,3,839,18,33,23,24,3,838,2,6,7,39,37,9,835,2,3,9,41,41,5,835,5,14,13,33,23,12,833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 41-50,--,17,29,26,24,3,"1,011",12,15,24,36,14,"1,011",7,12,31,41,9,"1,010",2,4,18,57,19,"1,008",4,9,20,56,11,"1,011",5,13,21,54,8,"1,009",23,28,25,21,3,"1,010",16,31,26,24,2,"1,010",3,6,8,37,36,10,"1,009",2,2,10,40,40,6,"1,008",6,13,14,31,23,13,"1,010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Staff aged 51 or over,--,15,28,24,27,6,"1,308",11,16,22,37,14,"1,303",6,14,31,39,11,"1,303",1,6,19,57,17,"1,302",3,11,24,51,11,"1,302",5,12,23,49,11,"1,303",21,26,26,22,5,"1,301",18,29,23,27,3,"1,306",2,6,7,41,33,11,"1,302",1,2,9,44,37,8,"1,302",4,12,13,33,22,16,"1,299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Men,--,19,28,24,25,4,"2,088",12,15,23,35,15,"2,088",8,14,31,38,9,"2,083",2,5,18,57,18,"2,082",5,10,21,52,11,"2,085",6,13,22,49,10,"2,082",25,27,25,20,3,"2,082",20,31,23,23,3,"2,087",3,7,7,39,37,7,"2,079",2,3,9,41,41,4,"2,077",6,15,14,33,23,10,"2,078",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Women,--,14,29,25,27,5,"1,477",9,16,21,37,17,"1,472",4,11,33,39,12,"1,473",1,6,16,54,23,"1,471",2,9,23,55,11,"1,474",4,12,22,52,10,"1,473",18,28,27,22,4,"1,475",14,29,24,29,3,"1,472",2,5,6,38,34,14,"1,475",1,2,9,40,38,9,"1,474",3,11,12,32,23,19,"1,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Disabled staff,--,23,28,25,20,4,582,13,18,24,32,13,581,9,17,33,31,10,581,3,9,18,53,17,582,5,13,28,46,9,580,7,16,24,45,8,582,30,28,24,15,3,581,20,32,23,23,2,582,3,7,10,37,35,8,581,3,3,13,37,40,4,581,7,18,12,26,23,13,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Non-disabled staff,--,15,29,24,27,5,"3,017",10,15,22,36,17,"3,012",6,12,32,40,11,"3,008",1,5,17,56,21,"3,004",3,9,21,55,12,"3,011",4,12,22,52,10,"3,007",20,28,26,22,4,"3,009",17,30,24,26,3,"3,012",2,6,6,39,36,11,"3,006",2,3,8,42,39,7,"3,003",4,12,13,34,22,14,"3,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White staff (summary),--,17,29,24,26,4,"3,492",11,16,22,36,16,"3,486",6,13,32,39,11,"3,482",2,5,17,56,21,"3,480",4,10,22,54,11,"3,484",5,13,22,50,10,"3,484",22,28,26,21,4,"3,483",17,30,24,26,3,"3,485",2,6,7,39,36,10,"3,481",2,3,9,41,40,6,"3,479",5,13,13,33,23,14,"3,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Non-white staff (summary),--,20,27,27,25,2,132,12,12,24,41,11,132,13,7,35,35,10,132,2,4,24,58,12,132,7,10,23,44,16,132,11,6,20,59,4,131,22,27,31,19,2,132,15,35,29,18,2,133,4,3,8,42,25,19,131,2,1,5,44,38,10,130,3,15,10,33,13,25,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White British staff,--,17,28,25,26,4,"3,401",10,16,22,36,16,"3,395",6,13,32,39,11,"3,391",2,5,17,56,21,"3,389",3,9,22,54,11,"3,393",5,13,22,50,10,"3,393",22,27,26,21,4,"3,393",17,30,24,26,3,"3,394",2,6,7,39,36,10,"3,389",2,3,9,41,40,6,"3,388",5,13,12,33,23,14,"3,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,White Irish staff,--,23,23,20,28,7,32,7,20,33,28,12,32,20,20,25,27,9,32,0,7,28,50,15,32,7,9,28,45,12,32,2,20,22,45,12,32,33,26,26,13,3,31,24,27,33,16,0,32,2,1,9,42,43,3,33,5,1,18,47,30,0,32,9,24,32,24,9,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Other White staff,--,18,32,19,27,4,59,23,20,22,26,8,59,11,14,20,35,20,59,1,7,24,55,13,59,6,12,20,56,6,59,6,22,18,49,5,59,23,32,24,18,4,59,21,28,21,26,4,59,2,15,6,33,23,21,59,2,5,11,54,23,5,59,11,13,16,26,13,20,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Black or Black British staff,--,16,33,18,27,6,32,9,23,16,41,11,32,1,18,20,42,18,32,4,1,29,44,22,32,1,4,18,64,13,32,4,1,11,79,4,32,5,34,27,34,0,32,16,18,29,31,5,32,4,1,7,19,26,43,32,0,0,1,32,39,29,32,0,26,8,14,9,43,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Black Caribbean staff,--,20,34,20,26,0,19,20,20,15,37,8,19,0,15,34,37,14,19,0,1,28,63,8,19,3,1,22,56,19,19,3,0,15,76,6,19,4,25,23,48,0,19,22,13,17,42,8,19,6,1,6,3,33,51,19,0,0,0,18,39,43,19,0,14,15,14,19,38,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Black African staff,--,4,17,31,32,17,11,8,17,17,42,17,11,4,17,14,43,22,11,10,4,21,32,33,11,0,10,25,49,17,11,6,8,21,65,0,11,6,47,25,22,0,11,11,26,58,0,4,11,0,0,8,28,17,47,11,0,0,4,40,39,17,11,0,22,4,10,0,64,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other Black background staff,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Asian or Asian British staff,--,22,20,28,29,1,33,20,14,43,16,6,33,27,0,27,38,8,33,3,6,46,38,6,33,10,10,42,35,3,33,18,0,25,50,6,33,35,18,34,10,3,33,10,46,28,13,3,33,2,0,3,55,25,16,31,0,3,7,59,23,8,31,0,25,3,33,23,16,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Indian staff,--,22,22,20,37,0,19,18,3,42,33,3,19,8,0,28,57,7,19,0,7,12,72,10,19,0,8,35,53,3,19,12,0,32,53,3,19,13,30,43,10,3,19,12,45,17,20,7,19,4,0,5,53,13,25,17,0,10,14,47,13,16,17,0,28,5,33,9,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Pakistani staff,--,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,--,6,--,--,--,--,--,--,6,--,--,--,--,--,--,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Bangladeshi staff,--,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,--,--,--,--,--,--,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,-  Other Asian background staff,--,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,6,--,--,--,--,--,--,6,--,--,--,--,--,--,6,--,--,--,--,--,--,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,Mixed background staff,--,16,36,31,17,1,37,3,13,17,46,21,37,9,3,49,30,9,37,0,3,13,78,6,37,7,10,11,60,12,37,9,5,12,72,2,36,18,24,38,18,2,37,11,35,18,37,0,37,4,9,3,50,26,7,37,4,1,4,58,33,0,37,13,5,6,48,16,12,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
