 1 ORGANISATION NAME,2 PURPOSE OF SPEND,3 DIRECTORATE/ SERVICE RESPONSIBLE,4 START DATE,5 END DATE,6 AWARD AMOUNT (£),7 SUPPLIER/ BENFICIARY NAME,8 REGISTERED CHARITY NUMBER
ROCHDALE BOROUGH COUNCIL,SUPPORT FOR FAMILIES/GRANTS TO THE VOLUNTARY,CHILDREN'S,01/04/2016,31/03/2017,10000.00,HOME START ROCHDALE BOROUGH,1108837
ROCHDALE BOROUGH COUNCIL,TO SUPPORT ASB & MEDIATION SERVICE,NEIGHBOURHOODS,01/04/2016,31/03/2017,8228.25,VICTIM SUPPORT & WITNESS SERVICE,298028
ROCHDALE BOROUGH COUNCIL,TO SUPPORT ASB & MEDIATION SERVICE,NEIGHBOURHOODS,01/04/2016,31/03/2017,8228.25,VICTIM SUPPORT & WITNESS SERVICE,298028
ROCHDALE BOROUGH COUNCIL,TO SUPPORT ASB & MEDIATION SERVICE,NEIGHBOURHOODS,01/04/2016,31/03/2017,8228.25,VICTIM SUPPORT & WITNESS SERVICE,298028
ROCHDALE BOROUGH COUNCIL,TO SUPPORT ASB & MEDIATION SERVICE,NEIGHBOURHOODS,01/04/2016,31/03/2017,8228.25,VICTIM SUPPORT & WITNESS SERVICE,298028
ROCHDALE BOROUGH COUNCIL,TO SUPPORT DOMESTIC ABUSE SERVICE,NEIGHBOURHOODS,01/04/2016,31/03/2017,32988.25,VICTIM SUPPORT & WITNESS SERVICE,298028
ROCHDALE BOROUGH COUNCIL,TO SUPPORT DOMESTIC ABUSE SERVICE,NEIGHBOURHOODS,01/04/2016,31/03/2017,32988.25,VICTIM SUPPORT & WITNESS SERVICE,298028
ROCHDALE BOROUGH COUNCIL,TO SUPPORT DOMESTIC ABUSE SERVICE,NEIGHBOURHOODS,01/04/2016,31/03/2017,32988.25,VICTIM SUPPORT & WITNESS SERVICE,298028
ROCHDALE BOROUGH COUNCIL,TO SUPPORT DOMESTIC ABUSE SERVICE,NEIGHBOURHOODS,01/04/2016,31/03/2017,32988.25,VICTIM SUPPORT & WITNESS SERVICE,298028
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,1320.00,ALL ACROSS THE ARTS,
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,720.00,BELFIELD ART GROUP,
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,13600.00,CAN`T DANCE CAN LTD,1115930
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,16000.00,CARTWHEEL ARTS,519934
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,3400.00,CHANCE MEDIA,
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,4288.00,CRESCENT RADIO,1126088
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,7276.00,HEYWOOD AMATEUR OPERATIC AND DRAMATIC SOCIETY,
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,11636.00,LANGLEY THEATRE WORKSHOP,1123420
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,2040.00,LITTLEBOROUGH ARTS FESTIVAL,1156946
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,16000.00,M6 THEATRE COMPANY,1156946
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,7112.00,MIDDLETON POPSTARS ACADEMY,1156500
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,1275.00,MILNROW ART GROUP,
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,4016.00,MILNROW BRASS BAND,
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,12000.00,MULTICULTURAL  ARTS & MEDIA CENTRE,1037518
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,1528.00,OAKENHOOF VOLUNTARY ARTS ORGANISATION,
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,2700.00,PRIDE MEDIA ASSOCIATION LTD,
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,642.00,ROCHDALE ARTISTS,
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,13600.00,SKYLIGHT CIRCUS,1001570
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,1125.00,TOUCHSTONES CREATIVE WRITING GROUP,
ROCHDALE BOROUGH COUNCIL,VOLUNTARY SECTOR ARTS FUNDING,PUBLIC HEALTH,01/04/2016,31/03/2017,11776.00,VIBE YOUTH MUSIC PROJECT,
ROCHDALE BOROUGH COUNCIL,W/08/16 GRANT PAYMENT (MILKSTONE & DEEPLISH HEALTH INITATIVE GROUP),NEIGHBOURHOODS,12/09/2016,31/01/2017,1080.00,DEEPLISH COMMUNITY CENTRE,1090588
ROCHDALE BOROUGH COUNCIL,W/20/15 GRANT PAYMENT (COMMUNITY CENTRE ROOF REPAIR),NEIGHBOURHOODS,01/04/2016,31/03/2017,250.00,SUDDEN & BRIMROD COMMUNITY CENTRE,
ROCHDALE BOROUGH COUNCIL,W/27/16 GRANT PAYMENT (SPOTLAND COMMUNITY CENTRE EXERCISE CLASSES 2017),NEIGHBOURHOODS,01/04/2016,31/03/2017,800.00,SPOTLAND COMMUNITY CENTRE,1055809
ROCHDALE BOROUGH COUNCIL,W/34/15 GRANT PAYMENT (BROADFIELD PARK ACTIVITIES FOR THE BIG GAMES 2016),NEIGHBOURHOODS,01/04/2016,09/07/2016,570.00,FRIENDS OF BROADFIELD PARK,
ROCHDALE BOROUGH COUNCIL,W/35/15 GRANT PAYMENT (KARATE CLASSES FOR REFUGEES AND ASYLUM SEEKERS CHILDREN),NEIGHBOURHOODS,01/04/2016,31/03/2017,2035.00,DORYOKU KARATE CLUB,
ROCHDALE BOROUGH COUNCIL,W/38/15 GRANT PAYMENT (BACP PROMOTING ENIVRONMENTAL AWARENESS AND COHESION),NEIGHBOURHOODS,20/09/2016,05/02/2017,1424.23,BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,1138142
ROCHDALE BOROUGH COUNCIL,W/43/15 & M/63/15 GRANT PAYMENT (ROCHDALE CHILDREN`S MOORLAND HOME KITCHEN ALTERATION/REFURBISHMENT),NEIGHBOURHOODS,23/01/2017,16/02/2017,7267.20,ROCHDALE CHILDRENS MOORLAND HOME,
ROCHDALE BOROUGH COUNCIL,YOUNG CARERS SERVICE SLA/SERVICE LEVEL AGREEMENTS,CHILDREN'S,01/04/2016,31/03/2017,22500.00,CROSSROADS CARE IN GREATER MANCHESTER,222533
ROCHDALE BOROUGH COUNCIL,YOUNG CARERS SERVICE SLA/SERVICE LEVEL AGREEMENTS,CHILDREN'S,01/04/2016,31/03/2017,22500.00,CROSSROADS CARE IN GREATER MANCHESTER,222533
ROCHDALE BOROUGH COUNCIL,YOUNG CARERS SERVICE SLA/SERVICE LEVEL AGREEMENTS,CHILDREN'S,01/04/2016,31/03/2017,22500.00,CROSSROADS CARE IN GREATER MANCHESTER,222533
ROCHDALE BOROUGH COUNCIL,YOUNG CARERS SERVICE SLA/SERVICE LEVEL AGREEMENTS,CHILDREN'S,01/04/2016,31/03/2017,22500.00,CROSSROADS CARE IN GREATER MANCHESTER,222533
