,,,,,,,,,,,,,
Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No.,Amount,Total Inv Amount,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,11.49,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,SURGERY MANAGEMENT,,,8.58,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,1.95,"252,792.65 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NEUROLOGY,,1000026441,"267,066.84",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NONE,,,"3,352.15",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OPHTHALOMOLOGY,,,"2,161.42",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,983.21,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,DERMATOLOGY SERVICES,,,855.97,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,841.38,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,769.34,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PAEDIATRICS,,,663.87,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,382.29,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,EMERGENCY DEPT,,,348.58,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,332.95,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,263.93,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,249.74,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,226.86,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ONCOLOGY,,,206.31,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,183.17,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,GYNAECOLOGY,,,102.03,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ORAL SURGERY,,,78.88,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OUTPATIENTS,,,77.38,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RESEARCH AND DEVELOPMENT,,,58.51,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ENT,,,54.43,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RENAL,,,46.02,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ELDERLY MEDICINE,,,18.46,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,15.51,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,6.61,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,1.20,,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,SURGERY MANAGEMENT,,,1.20,"279,348.24 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NEUROLOGY,,1000026729,"243,134.18",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,NONE,,,"3,461.23",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,"1,495.29",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OPHTHALOMOLOGY,,,"1,494.81",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,"1,216.14",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PAEDIATRICS,,,891.50,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,DERMATOLOGY SERVICES,,,835.94,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,769.22,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,EMERGENCY DEPT,,,426.22,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE MEDICINE,,,304.20,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RESEARCH AND DEVELOPMENT,,,304.12,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,OUTPATIENTS,,,230.96,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,227.90,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,190.86,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,171.87,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,GYNAECOLOGY,,,166.72,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ENT,,,139.80,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ONCOLOGY,,,117.28,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ACUTE SURGERY,,,111.56,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,UROLOGY,,,96.10,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ORAL SURGERY,,,37.22,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,STROKE MEDICINE,,,35.02,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,32.62,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,RENAL,,,15.20,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,ELDERLY MEDICINE,,,6.62,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,1.20,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,FP10'S,PHARMACY,,,1.18,"255,914.96 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,NON-N.H.S. TRADE CREDITORS < ONE YEAR,FINANCE AND IT,NHS SUPPLY CHAIN,1011045959,"375,197.42","375,197.42 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,NON-N.H.S. TRADE CREDITORS < ONE YEAR,FINANCE AND IT,,1011048711,"284,702.22","284,702.22 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,NON-N.H.S. TRADE CREDITORS < ONE YEAR,FINANCE AND IT,,1011052821,"190,931.62","190,931.62 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,NON-N.H.S. TRADE CREDITORS < ONE YEAR,FINANCE AND IT,,1011054941,"198,112.31","198,112.31 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,NON-N.H.S. TRADE CREDITORS < ONE YEAR,FINANCE AND IT,,1011058112,"287,676.17","287,676.17 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,NON-N.H.S. TRADE CREDITORS < ONE YEAR,FINANCE AND IT,,1011062408,"284,867.15","284,867.15 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,NON-N.H.S. TRADE CREDITORS < ONE YEAR,FINANCE AND IT,,1011066463,"303,913.69","303,913.69 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,NON-N.H.S. TRADE CREDITORS < ONE YEAR,FINANCE AND IT,,1011070527,"312,616.10","312,616.10 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,NON-N.H.S. TRADE CREDITORS < ONE YEAR,FINANCE AND IT,,1011075086,"330,890.91","330,890.91 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,NON-N.H.S. TRADE CREDITORS < ONE YEAR,FINANCE AND IT,,1011078621,"309,204.69","309,204.69 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,NON-N.H.S. TRADE CREDITORS < ONE YEAR,FINANCE AND IT,,1011084128,"364,425.02","364,425.02 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,NON-N.H.S. TRADE CREDITORS < ONE YEAR,FINANCE AND IT,,1011086855,"292,644.65","292,644.65 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,15/03/2011,X-RAY EQUIPMENT : MAINTENANCE,RADIOLOGY,,2011001110,"66,600.01","79,920.01 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,X-RAY EQUIPMENT : MAINTENANCE,BREAST SCREENING,,2011001234,"34,176.93",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,VAT DEBTOR < ONE YEAR,FINANCE AND IT,,,-0.03,"41,012.29 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,SERVICES FROM OTHER NHS BODIES,BREAST SCREENING,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,1031580,"25,366.00","25,366.00 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,24/03/2011,SERVICES FROM OTHER NHS BODIES,COLORECTAL,,1033129,"74,325.00","74,325.00 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,DRUGS,PHARMACY,NOVARTIS PHARMACEUTICALS UK LTD,90791372,"39,328.19",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,DRUGS,PHARMACY,,,"7,865.64","47,193.83 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,DRUGS,PHARMACY,,90792580,"38,060.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,DRUGS,PHARMACY,,,"7,612.00","45,672.00 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,90797178,"22,748.70",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,,"4,549.74","27,298.44 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,DRUGS,PHARMACY,,90802083,"34,591.96",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,DRUGS,PHARMACY,,,"6,918.39","41,510.35 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,DRUGS,PHARMACY,,90803899,"43,427.85",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,18/03/2011,DRUGS,PHARMACY,,,"8,685.57","52,113.42 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,90805829,"37,291.35",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,,"7,458.27","44,749.62 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,90809131,"37,952.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,,"7,590.40","45,542.40 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,90810809,"32,081.60",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,,"6,416.32","38,497.92 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,90813729,"37,108.50",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,,"7,421.70","44,530.20 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,90815287,"37,431.81",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,,"7,486.36","44,918.17 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,90819779,"64,163.20",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,,"12,832.64","76,995.84 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,90819781,"34,617.65",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,,"6,923.53","41,541.18 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,OKB MEDICAL LTD,OKB-HRI-11240,"97,868.09",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"85,105.53",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"19,573.62",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"17,021.11",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,22/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,-0.01,"219,568.34 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,LABORATORY BOTTLES AND CONTAINERS,PATHOLOGY,ORTHO CLINICAL DIAGNOSTICS,11002861,"10,821.96",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,LABORATORY BOTTLES AND CONTAINERS,PATHOLOGY,,,"9,881.52",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,LABORATORY BOTTLES AND CONTAINERS,PATHOLOGY,,,"2,164.39",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,LABORATORY BOTTLES AND CONTAINERS,PATHOLOGY,,,"1,976.30",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,LABORATORY BOTTLES AND CONTAINERS,PATHOLOGY,,,"1,176.30",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,LABORATORY BOTTLES AND CONTAINERS,PATHOLOGY,,,235.26,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,LABORATORY BOTTLES AND CONTAINERS,PATHOLOGY,,,135.32,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,LABORATORY BOTTLES AND CONTAINERS,PATHOLOGY,,,27.06,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,LABORATORY BOTTLES AND CONTAINERS,PATHOLOGY,,,11.00,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,LABORATORY BOTTLES AND CONTAINERS,PATHOLOGY,,,2.20,0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,LABORATORY BOTTLES AND CONTAINERS,PATHOLOGY,,,0.01,"26,431.32 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,30/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,PORTAKABIN LTD,915041956,"98,426.87",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,30/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"12,147.84","118,112.24 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,ROCHE PRODUCTS LTD,1321342322,"24,444.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,DRUGS,PHARMACY,,,"4,888.80","29,332.80 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,1321347142,"25,436.86",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,,"5,087.37","30,524.23 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,1321349965,"24,444.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,DRUGS,PHARMACY,,,"4,888.80","29,332.80 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,1321352133,"37,833.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,,"7,566.60","45,399.60 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,1321353519,"40,740.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,,"8,148.00","48,888.00 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,1321354037,"40,904.34",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,DRUGS,PHARMACY,,,"8,180.87","49,085.21 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,29/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,SCOTIA UK PLC,K120005,"73,770.19",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,29/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"12,909.78","86,679.97 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,CONTRACT : PREMISES SECURITY,FACILITIES,SHIELD SECURITY SERVICES (YORKSHIRE) LTD,15501,"49,266.59","57,888.24 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,ELECTRICITY,ENERGY AND UTILITIES,SOUTHERN ELECTRIC,291302936/0035,"146,817.62",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,ELECTRICITY,ENERGY AND UTILITIES,,,"28,081.13","174,898.75 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,ELECTRICITY,ENERGY AND UTILITIES,,291302936/00351,"98,849.99",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,ELECTRICITY,ENERGY AND UTILITIES,,,"24,076.58","122,926.57 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,ELECTRICITY,ENERGY AND UTILITIES,,291302936/0035CN,"-28,081.13",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,ELECTRICITY,ENERGY AND UTILITIES,,,"-146,817.62","<174,898.75>",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,ELECTRICITY,ENERGY AND UTILITIES,,291302936/0036,"92,790.93",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,ELECTRICITY,ENERGY AND UTILITIES,,,"17,758.19","110,549.12 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,ELECTRICITY,ENERGY AND UTILITIES,,431303177/0041,"62,029.12",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,ELECTRICITY,ENERGY AND UTILITIES,,,"12,405.82","74,434.94 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,ELECTRICITY,ENERGY AND UTILITIES,,431303177/0042,"50,768.25",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,ELECTRICITY,ENERGY AND UTILITIES,,,"10,153.65","60,921.90 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,CONTRACT : REFUSE AND CLINICAL WASTE,WORKS DEPARTMENT,SRCL LTD,0000321608,"55,260.80","66,312.96 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,PACEMAKERS,CARDIOLOGY,ST JUDE MEDICAL UK LTD,7500029361,"49,400.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,PACEMAKERS,CARDIOLOGY,,,"33,750.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,PACEMAKERS,CARDIOLOGY,,,"28,000.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,PACEMAKERS,CARDIOLOGY,,,"14,750.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,PACEMAKERS,CARDIOLOGY,,,"8,645.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,PACEMAKERS,CARDIOLOGY,,,"5,906.25",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,PACEMAKERS,CARDIOLOGY,,,"4,900.00",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,PACEMAKERS,CARDIOLOGY,,,"2,581.25","147,932.50 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,11/03/2011,EXTERNAL CONTRACTS : LAUNDRY,LAUNDRY AND LINEN SERVICES,SYNERGY HEALTH (UK) LTD,40000110,"81,431.28","97,717.54 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,25/03/2011,EXTERNAL CONTRACTS : LAUNDRY,LAUNDRY AND LINEN SERVICES,,40000134,"88,579.51","106,295.41 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,31/03/2011,CONTRACT : REFUSE AND CLINICAL WASTE,WORKS DEPARTMENT,THOMPSON WASTE MANAGEMENT LTD,104053,"27,314.77","32,777.72 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,29/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,TOSHIBA MEDICAL SYSTEMS LTD,141100401,"73,317.83",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,29/03/2011,ADDITIONS - ASSETS UNDER CONSTRUCTION,BUSINESS DEVELOPMENT,,,"14,663.57","87,981.40 ",,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,ENT,UNIVERSITY OF HULL,40962,"18,545.63",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,VASCULAR SURGERY,,,"18,163.21",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,ONCOLOGY,,,"17,109.97",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,GYNAECOLOGY,,,"16,696.11",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,CHEST MEDICINE,,,"16,083.33",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,GYNAECOLOGY,,,"16,004.75",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,COLORECTAL,,,"15,843.59",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,VASCULAR SURGERY,,,"15,371.33",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,CARDIOLOGY,,,"15,256.75",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,COLORECTAL,,,"14,371.36",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,ONCOLOGY,,,"14,182.43",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,CARDIOLOGY,,,"13,666.28",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,COLORECTAL,,,"11,795.01",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,RADIOLOGY,,,"10,623.13",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,CANCER SERVICES,,,"8,863.66",0.00 ,,,,,
Department of Health,Hull And East Yorkshire Hospitals NHS Trust,04/03/2011,STAFF RECHARGES,GYNAECOLOGY,,,"7,187.54",0.00 ,,,,,
