Service,Supplier Name,Date,Amount (£),Purpose of Expenditure,Merchant Category,Transaction Number,Organisation Name,Service Category
Cultural & Related Services,NATIONAL HOLIDAYS LTD,2015-09-16,"-1,176.96",Office Expenses,Financial Services  ,1900552966,Stockport,Services to Place
Cultural & Related Services,NATIONAL HOLIDAYS LTD,2015-09-22,-567.29,Office Expenses,Financial Services  ,1900553732,Stockport,Services to Place
Central Support Costs,NEOPOST CREDIFON FRANKING POSTAGE,2015-09-07,"20,000.00",Publicity and Promotion,Facilities & Management Services  ,1900552062,Stockport,Corporate and Support Services
Central Services to the public,NEOPOST CREDIFON FRANKING POSTAGE,2015-09-04,700.00,Office Expenses,Mail Services   ,1900551962,Stockport,Corporate and Support Services
Central Services to the public,NEOPOST CREDIFON FRANKING POSTAGE,2015-09-28,300.00,Office Expenses,Mail Services   ,1900554220,Stockport,Corporate and Support Services
Central Support Costs,NEOPOST LTD,2015-09-23,464.98,Office Expenses,Mail Services   ,1900552273,Stockport,Corporate and Support Services
Childrens & Educational Services,NEOPOST LTD,2015-09-23,100.00,Office Expenses,Mail Services   ,1900553588,Stockport,Services to People
Childrens & Educational Services,NETWORK NURSERIES,2015-09-03,"22,590.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551757,Stockport,Services to People
Capital Expenditure,NETWORK RAIL INFRASTRUCTURE LTD,2015-09-21,"50,537.82",Supplies and services,Supplies and services,5100291372,Stockport,Services to Place
Capital Expenditure,NETWORK RAIL INFRASTRUCTURE LTD,2015-09-21,"-50,537.82",Supplies and services,Supplies and services,5100292034,Stockport,Services to Place
Capital Expenditure,NETWORK RAIL INFRASTRUCTURE LTD,2015-09-21,"50,537.82",Supplies and services,Supplies and services,5100292036,Stockport,Services to Place
Childrens & Educational Services,NEVILL BEARS STAY & PLAY CLUB LTD,2015-09-03,"28,066.85",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551807,Stockport,Services to People
Adult Social Care,New Care Projects (Timperley) LLP,2015-09-07,"3,723.00",Care Payments,Social Community Care Supplies & Services  ,102267870,Stockport,Services to People
Adult Social Care,New Care Projects (Timperley) LLP,2015-09-07,"-2,708.00",Care Payments,Social Community Care Supplies & Services  ,102267870,Stockport,Services to People
Childrens & Educational Services,New Horizons(Stockport)Ltd,2015-09-02,"22,814.29",Care Payments,Social Community Care Supplies & Services  ,102264755,Stockport,Services to People
Childrens & Educational Services,New Start Childcare,2015-09-02,"19,200.00",Care Payments,Social Community Care Supplies & Services  ,102264757,Stockport,Services to People
Capital Expenditure,NEWEY & EYRE LTD,2015-09-18,"7,758.00",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900550718,Stockport,Services to Place
Cultural & Related Services,NEWEY & EYRE LTD,2015-09-11,51.72,Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",5100290452,Stockport,Services to Place
Capital Expenditure,NEWLINE ADAPTATIONS LTD,2015-09-14,"2,910.00",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900551554,Stockport,Services to Place
Public Health,NHS BUSINESS SERVICES AUTHORITY,2015-09-10,"26,762.52",Fees and Charges,Fees and Charges,1900551912,Stockport,Services to People
Public Health,NHS BUSINESS SERVICES AUTHORITY,2015-09-10,"31,177.58",Fees and Charges,Fees and Charges,1900552578,Stockport,Services to People
Public Health,NHS BUSINESS SERVICES AUTHORITY,2015-09-10,"26,309.49",Fees and Charges,Fees and Charges,1900552579,Stockport,Services to People
Public Health,NHS England,2015-09-11,"2,916.66",Third party payments - Private/Voluntary Sector,Facilities & Management Services  ,5100290660,Stockport,Services to People
Adult Social Care,NHS Property Services Ltd,2015-09-02,"4,533.25",Third party payments - Public Sector,Third party payments - Public Sector,1900551276,Stockport,Services to People
Adult Social Care,NHS Property Services Ltd,2015-09-02,"5,828.76",Third party payments - Public Sector,Third party payments - Public Sector,1900551277,Stockport,Services to People
Adult Social Care,NHS Property Services Ltd,2015-09-02,"-8,772.00",Third party payments - Public Sector,Third party payments - Public Sector,1900551278,Stockport,Services to People
Adult Social Care,NHS STOCKPORT CCG,2015-09-02,"12,120.97",Fees and Charges,Fees and Charges,1900548880,Stockport,Services to People
Childrens & Educational Services,NICOLA'S LITTLE FOLKS,2015-09-03,705.00,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551809,Stockport,Services to People
Childrens & Educational Services,NINA'S NURSERY,2015-09-03,"18,354.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551811,Stockport,Services to People
Childrens & Educational Services,NINA'S NURSERY LTD (DEVONSHIRE PARK,2015-09-03,"33,559.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551810,Stockport,Services to People
Childrens & Educational Services,NORMANS (BURTON ON TRENT) LTD,2015-09-01,63.00,Furniture and Equipment,Environmental Services Technical Equipment ,5100289946,Stockport,Services to People
Childrens & Educational Services,NORMANS (BURTON ON TRENT) LTD,2015-09-07,480.00,Furniture and Equipment,Environmental Services Technical Equipment ,5100290230,Stockport,Services to People
Childrens & Educational Services,NORMANS (BURTON ON TRENT) LTD,2015-09-04,310.00,Furniture and Equipment,Environmental Services Technical Equipment ,5100290231,Stockport,Services to People
Childrens & Educational Services,NORMANS (BURTON ON TRENT) LTD,2015-09-21,82.00,Furniture and Equipment,Environmental Services Technical Equipment ,5100290998,Stockport,Services to People
Childrens & Educational Services,NORTH CHESHIRE JEWISH NURSERY,2015-09-03,"18,811.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551812,Stockport,Services to People
Cultural & Related Services,Northern Divers [Engineering] Ltd,2015-09-15,"63,861.00",Fixtures and Fittings,Facilities & Management Services  ,5100291856,Stockport,Services to Place
Capital Expenditure,NORTHERN INSULATION CONTRACTORS,2015-09-15,"1,490.00",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552418,Stockport,Services to Place
Capital Expenditure,NORTHERN INSULATION CONTRACTORS,2015-09-15,"1,490.00",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552422,Stockport,Services to Place
Capital Expenditure,NORTHERN INSULATION CONTRACTORS,2015-09-15,"1,790.00",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552545,Stockport,Services to Place
Capital Expenditure,NORTHERN INSULATION CONTRACTORS,2015-09-16,"1,490.00",Capital Expenditure - Works,"Works - Construction, Repair & Maintenance  ",1900552577,Stockport,Services to Place
Capital Expenditure,NORTHERN INSULATION CONTRACTORS,2015-09-10,"4,750.00",Repairs and Maintenance,"Works - Construction, Repair & Maintenance  ",5100289687,Stockport,Corporate and Support Services
Central Support Costs,NORTHGATE INFORMATION SOLUTIONS UK,2015-09-03,"3,325.00",Information and Communications Technology,Information Communication Technology  ,5100289387,Stockport,Corporate and Support Services
Central Support Costs,NORTHGATE INFORMATION SOLUTIONS UK,2015-09-24,379.34,Information and Communications Technology,Information Communication Technology  ,5100289423,Stockport,Corporate and Support Services
Central Support Costs,NORTHGATE INFORMATION SOLUTIONS UK,2015-09-04,"2,500.00",Information and Communications Technology,Information Communication Technology  ,5100289780,Stockport,Corporate and Support Services
Central Support Costs,NORTHGATE INFORMATION SOLUTIONS UK,2015-09-18,663.44,Information and Communications Technology,Information Communication Technology  ,5100292035,Stockport,Corporate and Support Services
Central Support Costs,NORTHGATE INFORMATION SOLUTIONS UK,2015-09-24,"2,321.42",Information and Communications Technology,Information Communication Technology  ,5100292253,Stockport,Corporate and Support Services
Adult Social Care,NORTHGATE INFORMATION SOLUTIONS UK,2015-09-08,"2,051.60",Driving and Vehicle Licences,Vehicle Management  ,5100289416,Stockport,Corporate and Support Services
Adult Social Care,NORTHGATE INFORMATION SOLUTIONS UK,2015-09-08,"-2,051.60",Driving and Vehicle Licences,Vehicle Management  ,5100291210,Stockport,Corporate and Support Services
Adult Social Care,NORWOOD TRUST LTD,2015-09-07,"31,913.00",Care Payments,Social Community Care Supplies & Services  ,102267830,Stockport,Services to People
Adult Social Care,NORWOOD TRUST LTD,2015-09-07,"-6,274.10",Care Payments,Social Community Care Supplies & Services  ,102267830,Stockport,Services to People
Adult Social Care,NORWOOD TRUST LTD,2015-09-15,913.50,Care Payments,Social Community Care Supplies & Services  ,102272752,Stockport,Services to People
Highways & Transport Services,NPOWER (ELECTRICITY),2015-09-07,"91,341.98",Utilities,Utilities   ,5100291271,Stockport,Services to Place
Childrens & Educational Services,NUNU DAY NURSERY,2015-09-03,"24,365.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551735,Stockport,Services to People
Childrens & Educational Services,NURSERY RHYMES CHILDREN'S DAY NURSE,2015-09-03,"16,702.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551813,Stockport,Services to People
Childrens & Educational Services,NURTURE NURSERY & PRE-SCHOOL,2015-09-03,"23,494.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551814,Stockport,Services to People
Adult Social Care,OAKVIEW CARE HOME LIMITED,2015-09-07,"2,230.00",Care Payments,Social Community Care Supplies & Services  ,102267785,Stockport,Services to People
Adult Social Care,OAKVIEW CARE HOME LIMITED,2015-09-07,"2,300.00",Care Payments,Social Community Care Supplies & Services  ,102267785,Stockport,Services to People
Adult Social Care,OAKVIEW CARE HOME LIMITED,2015-09-07,-724.55,Care Payments,Social Community Care Supplies & Services  ,102267785,Stockport,Services to People
Adult Social Care,OAKVIEW CARE HOME LIMITED,2015-09-07,127.41,Care Payments,Social Community Care Supplies & Services  ,102267785,Stockport,Services to People
Adult Social Care,OAKVIEW CARE HOME LIMITED,2015-09-29,"4,000.00",Care Payments,Social Community Care Supplies & Services  ,102280254,Stockport,Services to People
Adult Social Care,OAKVIEW CARE HOME LIMITED,2015-09-29,"7,199.71",Care Payments,Social Community Care Supplies & Services  ,102280254,Stockport,Services to People
Adult Social Care,OAKVIEW CARE HOME LIMITED,2015-09-29,63.71,Care Payments,Social Community Care Supplies & Services  ,102280254,Stockport,Services to People
Public Health,Oakwood House Psychological Service,2015-09-23,"1,300.00",Professional Fees,Consultancy   ,5100292213,Stockport,Services to People
Planning Services,OCE FINANCE,2015-09-24,621.00,Printing and Photocopying,Facilities & Management Services Printing ,5100292002,Stockport,Services to Place
Planning Services,OCE FINANCE,2015-09-24,-621.00,Printing and Photocopying,Facilities & Management Services Printing ,5100292260,Stockport,Services to Place
Planning Services,OCE FINANCE,2015-09-28,621.00,Printing and Photocopying,Facilities & Management Services Printing ,5100292392,Stockport,Services to Place
Highways & Transport Services,OCS GROUP UK LIMITED,2015-09-28,-29.89,Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900550458,Stockport,Services to Place
Highways & Transport Services,OCS GROUP UK LIMITED,2015-09-28,"-13,510.71",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900550459,Stockport,Services to Place
Highways & Transport Services,OCS GROUP UK LIMITED,2015-09-28,"1,269.90",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900552980,Stockport,Services to Place
Highways & Transport Services,OCS GROUP UK LIMITED,2015-09-28,"9,869.08",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900552981,Stockport,Services to Place
Highways & Transport Services,OCS GROUP UK LIMITED,2015-09-28,"3,192.18",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900552982,Stockport,Services to Place
Highways & Transport Services,OCS GROUP UK LIMITED,2015-09-28,"9,869.08",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900552985,Stockport,Services to Place
Highways & Transport Services,OCS GROUP UK LIMITED,2015-09-28,"1,245.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900552986,Stockport,Services to Place
Highways & Transport Services,OCS GROUP UK LIMITED,2015-09-28,"4,213.08",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900552988,Stockport,Services to Place
Planning Services,Offerton Art Attack,2015-09-16,"2,250.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900552583,Stockport,Corporate and Support Services
Childrens & Educational Services,OFFERTON GREEN PLAYGROUP,2015-09-03,"13,529.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551815,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-07,"3,552.00",Care Payments,Social Community Care Supplies & Services  ,102267881,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-07,-336.00,Care Payments,Social Community Care Supplies & Services  ,102267881,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-07,"1,536.00",Care Payments,Social Community Care Supplies & Services  ,102267881,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-07,560.00,Care Payments,Social Community Care Supplies & Services  ,102267881,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-29,742.86,Care Payments,Social Community Care Supplies & Services  ,102280286,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-29,66.43,Care Payments,Social Community Care Supplies & Services  ,102280286,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-29,-217.14,Care Payments,Social Community Care Supplies & Services  ,102280286,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-29,557.14,Care Payments,Social Community Care Supplies & Services  ,102280286,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-29,"8,601.57",Care Payments,Social Community Care Supplies & Services  ,102280286,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-29,-93.86,Care Payments,Social Community Care Supplies & Services  ,102280286,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-29,"1,114.29",Care Payments,Social Community Care Supplies & Services  ,102280286,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-29,"9,049.29",Care Payments,Social Community Care Supplies & Services  ,102280286,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-29,-878.57,Care Payments,Social Community Care Supplies & Services  ,102280286,Stockport,Services to People
Adult Social Care,Olea Care Group,2015-09-24,2.37,Care Payments,Social Community Care Supplies & Services  ,1900554146,Stockport,Services to People
Adult Social Care,OLM FINANCIAL MANAGEMENT LTD,2015-09-22,"9,750.00",Professional Fees,Consultancy   ,5100291610,Stockport,Services to People
Adult Social Care,OLM SYSTEMS LTD,2015-09-16,"1,075.00",Information and Communications Technology,Information Communication Technology  ,1900544151,Stockport,Services to People
Adult Social Care,OLM SYSTEMS LTD,2015-09-15,"1,212.71",Information and Communications Technology,Information Communication Technology  ,5100289039,Stockport,Services to People
Adult Social Care,OLM SYSTEMS LTD,2015-09-15,"-1,212.71",Information and Communications Technology,Information Communication Technology  ,5100291845,Stockport,Services to People
Adult Social Care,OLM SYSTEMS LTD,2015-09-15,"1,212.71",Information and Communications Technology,Information Communication Technology  ,5100291847,Stockport,Services to People
Adult Social Care,OLM SYSTEMS LTD,2015-09-24,104.10,Information and Communications Technology,Information Communication Technology  ,5100292269,Stockport,Services to People
Central Support Costs,OLM SYSTEMS LTD,2015-09-24,"90,928.38",Information and Communications Technology,Information Communication Technology  ,5100282835,Stockport,Corporate and Support Services
Central Support Costs,OLM SYSTEMS LTD,2015-09-24,"1,792.54",Information and Communications Technology,Information Communication Technology  ,5100283270,Stockport,Corporate and Support Services
Capital Expenditure,O'NEILL PATIENT SOLICITORS LLP,2015-09-11,"-7,294.55",Supplies and services,Supplies and services,1700006038,Stockport,Services to Place
Capital Expenditure,O'NEILL PATIENT SOLICITORS LLP,2015-09-21,"99,000.00",Supplies and services,Supplies and services,1900553639,Stockport,Services to Place
Capital Expenditure,O'NEILL PATIENT SOLICITORS LLP,2015-09-24,"7,294.55",Supplies and services,Supplies and services,1900554002,Stockport,Services to Place
Central Services to the public,OPAL ENVELOPES LTD,2015-09-24,765.00,Office Expenses,Stationery    ,5100286687,Stockport,Corporate and Support Services
Central Services to the public,OPAL ENVELOPES LTD,2015-09-24,832.50,Office Expenses,Stationery    ,5100290303,Stockport,Corporate and Support Services
Planning Services,OPAL ENVELOPES LTD,2015-09-09,219.31,Office Expenses,Stationery    ,5100290304,Stockport,Services to Place
Capital Expenditure,OPENREACH,2015-09-23,"2,720.00",Supplies and services,Supplies and services,1900553646,Stockport,Services to Place
Capital Expenditure,OPENREACH,2015-09-23,"2,170.00",Supplies and services,Supplies and services,1900553649,Stockport,Services to Place
Adult Social Care,ORANGE PAYMENT PROCESSING,2015-09-04,"1,114.48",Information and Communications Technology,Information Communication Technology  ,1900551921,Stockport,Services to People
Adult Social Care,ORANGE PCS LTD,2015-09-10,29.00,Information and Communications Technology,Information Communication Technology  ,5100291535,Stockport,Services to People
Adult Social Care,ORANGE PCS LTD,2015-09-21,29.00,Information and Communications Technology,Information Communication Technology  ,5100291536,Stockport,Services to People
Adult Social Care,ORANGE PCS LTD,2015-09-21,29.00,Information and Communications Technology,Information Communication Technology  ,5100291539,Stockport,Services to People
Adult Social Care,ORANGE PCS LTD,2015-09-21,29.00,Information and Communications Technology,Information Communication Technology  ,5100291541,Stockport,Services to People
Adult Social Care,ORANGE PCS LTD,2015-09-25,29.00,Information and Communications Technology,Information Communication Technology  ,5100291552,Stockport,Services to People
Adult Social Care,ORANGE PCS LTD,2015-09-25,29.00,Information and Communications Technology,Information Communication Technology  ,5100291553,Stockport,Services to People
Adult Social Care,ORANGE PCS LTD,2015-09-25,49.00,Information and Communications Technology,Information Communication Technology  ,5100291938,Stockport,Services to People
Adult Social Care,ORANGE PCS LTD,2015-09-25,49.00,Information and Communications Technology,Information Communication Technology  ,5100292073,Stockport,Services to People
Central Support Costs,ORANGE PCS LTD,2015-09-09,285.00,Information and Communications Technology,Information Communication Technology  ,5100182441,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-09,90.00,Information and Communications Technology,Information Communication Technology  ,5100195793,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-09,80.00,Information and Communications Technology,Information Communication Technology  ,5100204782,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-09,70.00,Information and Communications Technology,Information Communication Technology  ,5100208724,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-09,35.00,Information and Communications Technology,Information Communication Technology  ,5100230629,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-09,375.00,Information and Communications Technology,Information Communication Technology  ,5100239812,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-04,570.00,Information and Communications Technology,Information Communication Technology  ,5100242784,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-17,49.00,Information and Communications Technology,Information Communication Technology  ,5100290974,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-04,-570.00,Information and Communications Technology,Information Communication Technology  ,5100291236,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-09,-35.00,Information and Communications Technology,Information Communication Technology  ,5100291416,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-09,-80.00,Information and Communications Technology,Information Communication Technology  ,5100291419,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-09,-70.00,Information and Communications Technology,Information Communication Technology  ,5100291420,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-09,-285.00,Information and Communications Technology,Information Communication Technology  ,5100291421,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-09,-375.00,Information and Communications Technology,Information Communication Technology  ,5100291424,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-09,-90.00,Information and Communications Technology,Information Communication Technology  ,5100291431,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-25,49.00,Information and Communications Technology,Information Communication Technology  ,5100291551,Stockport,Corporate and Support Services
Central Support Costs,ORANGE PCS LTD,2015-09-25,-50.00,Information and Communications Technology,Information Communication Technology  ,1900539251,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-07,450.00,Information and Communications Technology,Information Communication Technology  ,5100203872,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-17,29.00,Information and Communications Technology,Information Communication Technology  ,5100290966,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-17,49.00,Information and Communications Technology,Information Communication Technology  ,5100290967,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-17,29.00,Information and Communications Technology,Information Communication Technology  ,5100290968,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-17,29.00,Information and Communications Technology,Information Communication Technology  ,5100290969,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-17,29.00,Information and Communications Technology,Information Communication Technology  ,5100290972,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-17,29.00,Information and Communications Technology,Information Communication Technology  ,5100290973,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-17,29.00,Information and Communications Technology,Information Communication Technology  ,5100290975,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-17,29.00,Information and Communications Technology,Information Communication Technology  ,5100290978,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-07,-450.00,Information and Communications Technology,Information Communication Technology  ,5100291312,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-10,49.00,Information and Communications Technology,Information Communication Technology  ,5100291529,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-10,49.00,Information and Communications Technology,Information Communication Technology  ,5100291538,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-25,49.00,Information and Communications Technology,Information Communication Technology  ,5100291547,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-25,49.00,Information and Communications Technology,Information Communication Technology  ,5100291548,Stockport,Services to People
Childrens & Educational Services,ORANGE PCS LTD,2015-09-25,49.00,Information and Communications Technology,Information Communication Technology  ,5100291556,Stockport,Services to People
Environmental & Regulatory Services,ORANGE PCS LTD,2015-09-10,49.00,Information and Communications Technology,Information Communication Technology  ,5100291533,Stockport,Services to Place
Environmental & Regulatory Services,ORANGE PCS LTD,2015-09-10,49.00,Information and Communications Technology,Information Communication Technology  ,5100291534,Stockport,Services to Place
Environmental & Regulatory Services,ORANGE PCS LTD,2015-09-10,49.00,Information and Communications Technology,Information Communication Technology  ,5100291540,Stockport,Services to Place
Highways & Transport Services,ORANGE PCS LTD,2015-09-17,5.00,Information and Communications Technology,Information Communication Technology  ,5100290970,Stockport,Services to Place
Highways & Transport Services,ORANGE PCS LTD,2015-09-18,5.00,Information and Communications Technology,Information Communication Technology  ,5100291528,Stockport,Services to Place
Highways & Transport Services,ORANGE PCS LTD,2015-09-10,279.00,Information and Communications Technology,Information Communication Technology  ,5100291532,Stockport,Services to Place
Highways & Transport Services,ORANGE PCS LTD,2015-09-25,49.00,Information and Communications Technology,Information Communication Technology  ,5100291549,Stockport,Services to Place
Planning Services,ORANGE PCS LTD,2015-09-03,155.00,Information and Communications Technology,Information Communication Technology  ,5100290793,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-17,49.00,Information and Communications Technology,Information Communication Technology  ,5100290977,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-18,29.00,Information and Communications Technology,Information Communication Technology  ,5100291521,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-18,29.00,Information and Communications Technology,Information Communication Technology  ,5100291522,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-18,29.00,Information and Communications Technology,Information Communication Technology  ,5100291523,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-18,29.00,Information and Communications Technology,Information Communication Technology  ,5100291524,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-18,29.00,Information and Communications Technology,Information Communication Technology  ,5100291525,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-18,29.00,Information and Communications Technology,Information Communication Technology  ,5100291526,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-18,29.00,Information and Communications Technology,Information Communication Technology  ,5100291527,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-10,49.00,Information and Communications Technology,Information Communication Technology  ,5100291530,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-10,49.00,Information and Communications Technology,Information Communication Technology  ,5100291531,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-10,145.00,Information and Communications Technology,Information Communication Technology  ,5100291537,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-10,29.00,Information and Communications Technology,Information Communication Technology  ,5100291542,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-18,29.00,Information and Communications Technology,Information Communication Technology  ,5100291543,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-18,5.00,Information and Communications Technology,Information Communication Technology  ,5100291544,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-21,75.00,Information and Communications Technology,Information Communication Technology  ,5100291545,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-25,49.00,Information and Communications Technology,Information Communication Technology  ,5100291555,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-25,29.00,Information and Communications Technology,Information Communication Technology  ,5100291557,Stockport,Corporate and Support Services
Planning Services,ORANGE PCS LTD,2015-09-25,89.00,Information and Communications Technology,Information Communication Technology  ,5100291607,Stockport,Corporate and Support Services
Public Health,ORANGE PCS LTD,2015-09-17,29.00,Information and Communications Technology,Information Communication Technology  ,5100290792,Stockport,Services to People
Public Health,ORANGE PCS LTD,2015-09-17,29.00,Information and Communications Technology,Information Communication Technology  ,5100290971,Stockport,Services to People
Public Health,ORANGE PCS LTD,2015-09-17,29.00,Information and Communications Technology,Information Communication Technology  ,5100290976,Stockport,Services to People
Adult Social Care,Orchard Care Homes,2015-09-07,"2,550.00",Care Payments,Social Community Care Supplies & Services  ,102267841,Stockport,Services to People
Adult Social Care,Orchard Care Homes,2015-09-07,-631.50,Care Payments,Social Community Care Supplies & Services  ,102267841,Stockport,Services to People
Adult Social Care,Orchard Medical Recruitment Ltd,2015-09-04,274.22,Agency Staff,Human Resources Temporary & Agency Staff ,1900544253,Stockport,Services to People
Adult Social Care,Orchard Medical Recruitment Ltd,2015-09-01,"1,635.38",Agency Staff,Human Resources Temporary & Agency Staff ,1900551162,Stockport,Services to People
Adult Social Care,Orchard Medical Recruitment Ltd,2015-09-01,825.94,Agency Staff,Human Resources Temporary & Agency Staff ,1900551164,Stockport,Services to People
Adult Social Care,Orchard Medical Recruitment Ltd,2015-09-01,"1,652.81",Agency Staff,Human Resources Temporary & Agency Staff ,1900551275,Stockport,Services to People
Childrens & Educational Services,ORCHARDS DAY NURSERY,2015-09-03,"16,460.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551816,Stockport,Services to People
Adult Social Care,OUTREACH,2015-09-07,"2,560.40",Care Payments,Social Community Care Supplies & Services  ,102267786,Stockport,Services to People
Adult Social Care,OUTREACH,2015-09-07,-402.25,Care Payments,Social Community Care Supplies & Services  ,102267786,Stockport,Services to People
Childrens & Educational Services,OVERDALE PRE-SCHOOL PLAYGRP,2015-09-03,"32,127.00",Third party payments - Private/Voluntary Sector,Social Community Care Supplies & Services  ,1900551817,Stockport,Services to People
Capital Expenditure,Oxford Archaeology North,2015-09-28,"5,000.00",Professional Fees,Consultancy   ,5100291158,Stockport,Services to Place
