Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount,Text,Postcode
Department For Transport,Driving Standards Agency,20.07.2012,Building Service Charges,LOUGHBOROUGH,CHARNWOOD BOROUGH COUNCIL,1900002011,671.52,Loughborough DTC Service Charge 2/7/12 - 28/9/12,LE11 2TU
Department For Transport,Driving Standards Agency,20.07.2012,Estate Legal Advisors,LOUGHBOROUGH,CHARNWOOD BOROUGH COUNCIL,1900002011,325,Loughborough DTC Legal Costs 2/7/12 - 28/9/12,LE11 2TU
Department For Transport,Driving Standards Agency,20.07.2012,Rent - L&B (non-PFI),LOUGHBOROUGH,CHARNWOOD BOROUGH COUNCIL,1900002011,966.76,Loughborough DTC Rent 2/7/12 - 28/9/12,LE11 2TU
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,CHELMSFORD,CHELMSFORD BOROUGH,DIRECT DEBIT,1385,600513 55600018 CHELMSFORD BOROUGH 700023876          990412,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,CHESTER MPTC,CHESHIRE WEST AND CHESTER COUNCIL,DIRECT DEBIT,765,089274 61602311 CHESHIRE WEST AND  600245728          250013,
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,CHICHESTER DTC,CHICHESTER DISTRICT COUNCIL,DIRECT DEBIT,575.5,401716 31466100 CDC REVS           98158898           990842,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,SWANSEA MPTC,CITY AND COUNTY OF SWANSEA,DIRECT DEBIT,3571,309546 00046426 C C SWANSEA        90379706           990878,
Department For Transport,Driving Standards Agency,27.07.2012,Business Rates,EDINBURGH CURRIE,CITY OF EDINBURGH COUNCIL,DIRECT DEBIT,783,830608 00740589 CEC COLLECTION A/C 2066597R           916372,
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,LINCOLN MPTC,CITY OF LINCOLN,DIRECT DEBIT,1729,089032 61604267 CITY OF LINCOLN GE 30246091           930085,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,ELSWICK,CITY OF NEWCASTLE,DIRECT DEBIT,1981,089006 61145043 CITY OF NEWCASTLE  69493189           971418,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,NORTH AREA OFFICE,CITY OF NEWCASTLE,DIRECT DEBIT,17633,089006 61145043 CITY OF NEWCASTLE  69364591           971418,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,COLCHESTER,COLCHESTER BOROUGH COUNCIL,DIRECT DEBIT,585,202267 60018082 COLCHESTER BC  NDR  6598321X          990688,
Department For Transport,Driving Standards Agency,25.07.2012,Motorcycle Maintenance,WREXHAM DTC,COLWYN BAY MOTORCYCLES,5100002169,455.86,,LL29 8PU
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,BODMIN,CORNWALL COUNCIL,DIRECT DEBIT,650,602137 57125236 CORNWALL COUNCIL   800481039          982871,
Department For Transport,Driving Standards Agency,06.07.2012,Gas,CARDINGTON ,CORONA ENERGY,DIRECT DEBIT,1369.62,Corona EnergyCardington  13/06/2012 8921817410,
Department For Transport,Driving Standards Agency,06.07.2012,Gas,MITCHAM MPTC,CORONA ENERGY,DIRECT DEBIT,1038.49,Corona EnergyMitcham MPTC 13/06/2012 11394609,
Department For Transport,Driving Standards Agency,06.07.2012,Gas,NELSON DTC,CORONA ENERGY,DIRECT DEBIT,803.99,Corona EnergyNELSON DTC 13/06/2012 1487317409,
Department For Transport,Driving Standards Agency,06.07.2012,Gas,NORTH AREA OFFICE,CORONA ENERGY,DIRECT DEBIT,635.92,Corona EnergyNorth Area Office - Site Costs 13/06/2012 63581301,
Department For Transport,Driving Standards Agency,06.07.2012,Gas,SHREWSBURY MPTC,CORONA ENERGY,DIRECT DEBIT,-635.42,Corona EnergyShrewsbury MPTC 13/06/2012 9147278703,
Department For Transport,Driving Standards Agency,31.07.2012,Building Insurance,CHIPPENHAM DTC,COUNTRY ESTATES CONSTRUCT,1900002124,553.96,31.03.2012-30.03.2013 Annual Insurance,RG30 1BD
Department For Transport,Driving Standards Agency,19.07.2012,Business Rates,SKIPTON DTC,CRAVEN DISTRICT COUNCIL,DIRECT DEBIT,1246,555010 57063788 CRAVEN DC          50006330460        994216,
Department For Transport,Driving Standards Agency,11.07.2012,Rent - L&B (non-PFI),HQ SITE COSTS,CROWNE PLAZA,5100001959,720,,NG1 5RH
Department For Transport,Driving Standards Agency,17.07.2012,Cycle to Work,HR CRPTE EXPENDITURE,CYCLESCHEME LTD,1900001952,850,Cert: F11754760806 - Shaun Milne,BA1 1WX
Department For Transport,Driving Standards Agency,27.07.2012,Cycle to Work,HR CRPTE EXPENDITURE,CYCLESCHEME LTD,1900002126,610,"Cert:F26200557491 - Helmets, Bikes etc (BS)",BA1 1WX
Department For Transport,Driving Standards Agency,04.07.2012,Business Rates,BANGOR MPTC,CYNGOR GWYNEDD COUNCIL,DIRECT DEBIT,893,203547 00923680 CYNG GWYNEDD COUN  130187903          850916,
Department For Transport,Driving Standards Agency,26.07.2012,Room Hire,WESTBURY TRIAL,D C LEISURE,5100002184,700,,BA13 3PW
Department For Transport,Driving Standards Agency,02.07.2012,Translation Services,INTEGRITY TEAM,DAN WANG,5100001751,1200,,NG10 4NA
Department For Transport,Driving Standards Agency,03.07.2012,Machinery Rental,INFRAS/CONTRACTS,DANWOOD GROUP LTD,5100001257,6162.11,,LN6 3DG
Department For Transport,Driving Standards Agency,10.07.2012,Machinery Rental,INFRAS/CONTRACTS,DANWOOD GROUP LTD,5100001908,23597.9,,LN6 3DG
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,DARLINGTON MPTC,DARLINGTON BOROUGH COUNCIL,DIRECT DEBIT,1821,523018 94123918 DBC COLLECTION ACC 60001901935        971466,
Department For Transport,Driving Standards Agency,17.07.2012,Building Service Charges,LONGBENTON,DEFRA - DTZ CLIENT A/C,5100002022,1365.6,,B3 2ED
Department For Transport,Driving Standards Agency,06.07.2012,Business Rates,DONCASTER DTC,DONCASTER METROPOLITAN BOROUGH,DIRECT DEBIT,939,089082 61040177 DMBC DEBITS        9400120284         971420,
Department For Transport,Driving Standards Agency,03.07.2012,Estate Management,VARIOUS DTCS,DTZ,5100001797,11666.67,,EH3 9QG
Department For Transport,Driving Standards Agency,06.07.2012,Estate Management,VARIOUS DTCS,DTZ,5100001836,1384.99,,EH3 9QG
Department For Transport,Driving Standards Agency,16.07.2012,Estate Management,VARIOUS DTCS,DTZ,5100001211,3668.39,,EH3 9QG
Department For Transport,Driving Standards Agency,16.07.2012,Estate Management,VARIOUS DTCS,DTZ,5100001216,1183.3,,EH3 9QG
Department For Transport,Driving Standards Agency,25.07.2012,Estate Management,VARIOUS DTCS,DTZ,5100002152,9060,,EH3 9QG
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,DUNDEE MPTC,DUNDEE CITY COUNCIL,DIRECT DEBIT,2244,835000 00658059 DCC LOCAL TAX ACC  7910150747         916366,
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,DURHAM DTC,DURHAM COUNTY COUNCIL,DIRECT DEBIT,518,089070 61646092 DCC INCOME COLLECT 01      5600191183 250585,
Department For Transport,Driving Standards Agency,13.07.2012,Media & Press,CORP COMMS,DURRANTS LTD,5100001887,956.22,,EC1Y 8QE
Department For Transport,Driving Standards Agency,02.07.2012,Agents Fees,CENTRAL OPERATIONS,DVLA SWANSEA,5100001767,31496.98,,SA7 OEA
Department For Transport,Driving Standards Agency,18.07.2012,Agents Fees,CENTRAL OPERATIONS,DVLA SWANSEA,5100002023,31496.98,,SA7 OEA
Department For Transport,Driving Standards Agency,09.07.2012,Agents Fees,THEORY TEST,DVLA SWANSEA,5100001852,9380,,SA7 OEA
Department For Transport,Driving Standards Agency,12.07.2012,Agents Fees,THEORY TEST,DVLA SWANSEA,5100001969,9380,,SA7 OEA
Department For Transport,Driving Standards Agency,17.07.2012,Rent - L&B (non-PFI),VARIOUS DTCS,DWP SHARED SERVICES,1900001910,56248.63,DWP June 12 Charges,CF14 3UW
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,BISHOP STORTFORD DTC,EAST HERTS COUNCIL,DIRECT DEBIT,882,600236 52507637 EAST HERTS COUNCIL 101555865          658952,
Department For Transport,Driving Standards Agency,27.07.2012,Business Rates,EDINBURGH MUSSELBURGH MPTC,EAST LOTHIAN COUNCIL,DIRECT DEBIT,2414,832225 00100325 ELC RATES          308535109          800438,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,BURTON ON TRENT MPTC,EAST STAFFORDSHIRE BOROUGH COUNCIL,DIRECT DEBIT,1866,161470 10028206 EAST STAFFS B.C            9100135928 670816,
Department For Transport,Driving Standards Agency,09.07.2012,Estate Management,VARIOUS DTCS,EC HARRIS LLP,5100001739,2727.46,,M60 3NT
Department For Transport,Driving Standards Agency,26.07.2012,Electricity,CARDINGTON,EDF  ENERGY,DIRECT DEBIT,2408.84,400530 70954160 EDF ENERGY 1 LTD   16616873           941528,
Department For Transport,Driving Standards Agency,04.07.2012,Electricity,CARDINGTON,EDF  ENERGY,DIRECT DEBIT,2674.97,400530 70954160 EDF ENERGY 1 LTD   16616873           941528,
Department For Transport,Driving Standards Agency,26.07.2012,Electricity,NORTH AREA OFFICE,EDF  ENERGY,DIRECT DEBIT,3219,400530 70954160 EDF ENERGY 1 LTD   11656472           941528,
Department For Transport,Driving Standards Agency,04.07.2012,Electricity,NORTH AREA OFFICE,EDF  ENERGY,DIRECT DEBIT,3477.06,400530 70954160 EDF ENERGY 1 LTD   11656472           941528,
Department For Transport,Driving Standards Agency,12.07.2012,Machinery Maintenance,SUSTAINABLE DEVEL,EDF ENERGY,5100001981,518.4,,DA6 8ET
Department For Transport,Driving Standards Agency,05.07.2012,Storage & Distribution charges,ADI REGISTER,EDM GROUP LTD,5100001799,787.92,,WV14 0UJ
Department For Transport,Driving Standards Agency,04.07.2012,Storage & Distribution charges,ADI REGISTER,EDM GROUP LTD,5100001800,500,,WV14 0UJ
Department For Transport,Driving Standards Agency,15.06.2012,Furniture & Fittings,FORFAR DTC (OS),EUROFFICE.CO.UK,GPC,520.74,Office furniture,
Department For Transport,Driving Standards Agency,11.07.2012,Other Professional Fees,THEORY TEST  RELET,EVERSHEDS LLP,5100001889,3192.06,,LS11 5DR
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,EXETER -MPTC,EXETER CITY COUNCIL,DIRECT DEBIT,3160,089027 61139855 EXETER CITY COUNCI 700196971          956957,
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,DUNFERMLINE,FIFE COUNCIL,DIRECT DEBIT,675,832237 00197626 FIFE COUNCIL RATES 2048825            900583,
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,KIRKCALDY - MPTC,FIFE COUNCIL,DIRECT DEBIT,1704,832237 00197626 FIFE COUNCIL RATES 2161244            900583,
Department For Transport,Driving Standards Agency,25.06.2012,Motorcycle Maintenance,CBT,FOWLERS WORKSHOP,GPC,700,Service and repair for official motorcycle,
Department For Transport,Driving Standards Agency,02.07.2012,Rent - L&B (non-PFI),AIRDRIE,GALLERY HOMES LTD,5100001745,2500,RC - AIRDRIE DTC RENT,ML6 9BX
Department For Transport,Driving Standards Agency,13.07.2012,Commercial Subscription,INFRAS/CONTRACTS,GARTNER UK LTD,5100002006,14200,,TW20 9AW
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,GATESHEAD - MPTC,GATESHEAD COUNCIL,DIRECT DEBIT,1670,089006 61019166 G.M.B.C-NNDR       98234617           971277,
Department For Transport,Driving Standards Agency,06.07.2012,Business Rates,GLASGOW - SHIELDHALL MPTC,GLASGOW COUNCIL,DIRECT DEBIT,1541.25,834400 00223217 GLASGOW COUNCIL    06472195720638     916344,
Department For Transport,Driving Standards Agency,06.07.2012,Business Rates,GLASGOW BAILLIESTON DTC,GLASGOW COUNCIL,DIRECT DEBIT,1980.85,834400 00223217 GLASGOW COUNCIL    06473701220332     916344,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,GLOUCESTER MPTC,GLOUCESTER CITY CO,DIRECT DEBIT,3435,089041 61007990 GLOUCESTER CITY CO 01      0600329804 982921,
Department For Transport,Driving Standards Agency,06.07.2012,Media & Press,CORP COMMS,GORKANA LIMITED,5100001842,5000,,EC1Y 8QE
Department For Transport,Driving Standards Agency,19.07.2012,Business Rates,LEE-ON-SOLENT FAREHAM MPTC,GOSPORT BOROUGH COUNCIL,DIRECT DEBIT,1660,535005 96516321 GOSPORT BOROUGH CO 101918             994833,
Department For Transport,Driving Standards Agency,31.07.2012,Rent - L&B (non-PFI),VARIOUS DTCS,GRAMPIAN FIRE & RESCUE SERVICE,1900002121,517.66,01.07-30.09.12 Rental for Ballater & Buckie,AB15 6DW
Department For Transport,Driving Standards Agency,03.07.2012,Building Service Charges,NEWBURY MPTC,GREENHAM COMMON COMMUNITY TRUST,5100001784,3485,,RG19 6HW
Department For Transport,Driving Standards Agency,27.07.2012,Cycle to Work,HR CRPTE EXPENDITURE,HALFORDS LIMITED,1900002127,1850,"3 LoC Supplies - May C2W Scheme - RH, AM, GE",B98 0DE
Department For Transport,Driving Standards Agency,02.07.2012,Rent - L&B (non-PFI),LEICS WIGSTON MPTC,HAMMOND GRANGE LTD,1900001478,8104.17,Leicester MPTC (MMA) Rent Increase 1/5/12 -28/9/12,LE18 2FB
Department For Transport,Driving Standards Agency,22.07.2012,Rent - L&B (non-PFI),PAISLEY,HAMPTON PARK LIMITED,5100002009,998.1,RC - PAISLEY DTC RENT,PA3 3AT
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,KNARESBOROUGH DTC,HARROGATE BC,DIRECT DEBIT,1076,535021 51191148 HARROGATE BC DIREC 60000850381        993915,
Department For Transport,Driving Standards Agency,24.07.2012,Rent - L&B (non-PFI),HARTLEPOOL,HARTLEPOOL BOROUGH COUNCIL,5100002104,950,RC - HARTLEPOOL DTC RENT,TS24 8AY
Department For Transport,Driving Standards Agency,23.07.2012,Occupational Health Scheme,HEALTH & SAFETY,HEALTH MANAGEMENT LTD.,5100002097,691.2,,BN8 5NN
Department For Transport,Driving Standards Agency,23.07.2012,Occupational Health Scheme,HEALTH & SAFETY,HEALTH MANAGEMENT LTD.,5100002097,156,,BN8 5NN
Department For Transport,Driving Standards Agency,23.07.2012,Occupational Health Scheme,HEALTH & SAFETY,HEALTH MANAGEMENT LTD.,5100002098,691.2,,BN8 5NN
Department For Transport,Driving Standards Agency,23.07.2012,Occupational Health Scheme,HEALTH & SAFETY,HEALTH MANAGEMENT LTD.,5100002098,156,,BN8 5NN
Department For Transport,Driving Standards Agency,20.07.2012,Medical Examinations,HR CASEWORK,HEALTH MANAGEMENT LTD.,5100002088,15751.2,,BN8 5NN
Department For Transport,Driving Standards Agency,30.07.2012,Medical Examinations,HR CASEWORK,HEALTH MANAGEMENT LTD.,5100002213,14936.4,,BN8 5NN
Department For Transport,Driving Standards Agency,23.07.2012,Occupational Health Scheme,HR CASEWORK,HEALTH MANAGEMENT LTD.,5100002096,847.2,,BN8 5NN
Department For Transport,Driving Standards Agency,23.07.2012,Occupational Health Scheme,HR CASEWORK,HEALTH MANAGEMENT LTD.,5100002099,3388.8,,BN8 5NN
Department For Transport,Driving Standards Agency,06.07.2012,Motorcycle Radio Equipment  (Non Cap),HEALTH & SAFETY,HEARING RESOLUTIONS,5100001825,2960,Hearing Protection,BL3 5RH
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,WATFORD,HERTSMERE B.C.,DIRECT DEBIT,1305,207409 90510726 HERTSMERE BC       30059968           920173,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,INVERNESS MPTC,HIGHLAND COUNCIL,DIRECT DEBIT,945,827013 20000601 HIGHLAND CNL RATES 146909X1012        702816,
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,INVERNESS MPTC,HIGHLAND COUNCIL,DIRECT DEBIT,2107,827013 20000601 HIGHLAND CNL RATES 15898581012        702816,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,WICK MPTC,HIGHLAND COUNCIL,DIRECT DEBIT,664,827013 20000601 HIGHLAND CNL RATES 16083671012        702816,
Department For Transport,Driving Standards Agency,25.07.2012,Building Service Charges,SHEFFIELD ACRES HILL DTC,HILL WOOLHOUSE PROPERTY MANAGEMENT,5100002146,913.5,,LS2 11B
Department For Transport,Driving Standards Agency,10.07.2012,Vehicles & Transportation Capital Cost,OPERATIONAL SUPPORT,HONDA MOTOR EUROPE,5100001910,8927.41,,ST16 2AF
Department For Transport,Driving Standards Agency,10.07.2012,Vehicles & Transportation Capital Cost,OPERATIONAL SUPPORT,HONDA MOTOR EUROPE,5100001912,8927.41,,ST16 2AF
Department For Transport,Driving Standards Agency,10.07.2012,Vehicles & Transportation Capital Cost,OPERATIONAL SUPPORT,HONDA MOTOR EUROPE,5100001913,8927.41,,ST16 2AF
Department For Transport,Driving Standards Agency,10.07.2012,Vehicles & Transportation Capital Cost,OPERATIONAL SUPPORT,HONDA MOTOR EUROPE,5100001914,8927.41,,ST16 2AF
Department For Transport,Driving Standards Agency,10.07.2012,Vehicles & Transportation Capital Cost,OPERATIONAL SUPPORT,HONDA MOTOR EUROPE,5100001917,8927.41,,ST16 2AF
Department For Transport,Driving Standards Agency,18.07.2012,Motorcycle Maintenance,BOURNEMOUTH,HONDA OF BOURNEMOUTH LTD,5100002041,447.82,,BH12 5HB
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,HULL MPTC,HULL CITY COUNCIL,DIRECT DEBIT,1225,560006 03889149 HULL CITY COUNCIL  01      65141801   958974,
Department For Transport,Driving Standards Agency,12.07.2012,Investigation Services,CORRESPONDENCE,IAN BYNOE,5100001906,3122.28,,BA4 4NG
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,IPSWICH MPTC,IPSWICH BOROUGH COUCIL,DIRECT DEBIT,4076,089083 61109461 IPSWICH BOROUGH CO 724140018          973995,
Department For Transport,Driving Standards Agency,09.07.2012,Service Charge,NEWPORT IOW,ISLE OF  WIGHT COUNCIL,1700000118,-1354.34,Credit for 9167978 in full vat not charged,PO30 1UD
Department For Transport,Driving Standards Agency,09.07.2012,Service Charge,NEWPORT IOW,ISLE OF  WIGHT COUNCIL,1900001709,1398.6,Water and Electric IOW Newport,PO30 1UD
Department For Transport,Driving Standards Agency,09.07.2012,Water,NEWPORT IOW,ISLE OF  WIGHT COUNCIL,1900001709,188.84,Water and Electric IOW Newport,PO30 1UD
Department For Transport,Driving Standards Agency,26.07.2012,Gas,YORK,J H SHOUKSMITH & SONS LTD,1900002043,1677.38,19.11.11-29.05.2012 Gas Con Osbaldwick Old EST,YO19 5GS
Department For Transport,Driving Standards Agency,30.07.2012,Building Service Charges,KILMARNOCK,JAMES BARR LTD,5100002230,2468.75,,G2 2LN
Department For Transport,Driving Standards Agency,14.06.2012,Security,NORTH AREA OFFICE,JNE MARKETING,GPC,660,Security equipment,
Department For Transport,Driving Standards Agency,13.07.2012,Removal Costs,STEETON LGV,JOHNSONS REMOVALS,5100001988,600,,CW7 3PD
Department For Transport,Driving Standards Agency,23.07.2012,Agents Fees,JAUPT,JOINT APPROVALS UNIT,5100002121,87376.4,,MK12 5NW
Department For Transport,Driving Standards Agency,31.07.2012,Water,READING DTC,KBS ELECTRICAL AND DATA SERVICES,1900002129,526.49,16.04.12-12.07.12 Water Service Meter No:97A559120,RG2 0BW
Department For Transport,Driving Standards Agency,26.07.2012,Agency Staff Costs,HQ SITE COSTS,KELLY SERVICES UK LTD,1900002116,914.09,23.03.08-06.04.12  Cumulative charges,KT1 1RR
Department For Transport,Driving Standards Agency,31.07.2012,Protective Clothing,INTEGRITY TEAM,KELTIC CLOTHING LIMITED,5100002232,1684.74,,WS2 8TL
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,KETTERING MPTC,KETTERING BOROUGH COUNCIL,DIRECT DEBIT,2450,402607 11268732 KETTERING BC       101163354          997625,
Department For Transport,Driving Standards Agency,02.07.2012,Rent - L&B (non-PFI),HEYSHAM,LANCASTER TRAINING SERVICES LTD,1900001476,1500,Heysham Licence Fee 24/06/12 - 22/09/12,LA3 2UZ
Department For Transport,Driving Standards Agency,04.07.2012,Rent - L&B (non-PFI),LANARK,LAWRIE & SYMINGTON LIMITED,5100001748,600,RC - LANARK DTC RENT,ML11 9AX
Department For Transport,Driving Standards Agency,04.07.2012,Business Rates,HENDON DTC,LB BARNET,DIRECT DEBIT,833,089078 61054244 LB OF BARNET       74400091           972963,
Department For Transport,Driving Standards Agency,04.07.2012,Business Rates,MILL HILL DTC,LB BARNET,DIRECT DEBIT,945,089078 61054244 LB OF BARNET       74129611           972963,
Department For Transport,Driving Standards Agency,04.07.2012,Business Rates,CROYDON,LB CROYDON,DIRECT DEBIT,889,560046 01000624 LB CROYDON         42651521           958770,
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,SOUTHALL DTC,LB EALING,DIRECT DEBIT,1046,600710 03696510 LB EALING          3796797            852325,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,ENFIELD LGV,LB ENFIELD,DIRECT DEBIT,4184,402023 81228307 LON BOR OF ENFIELD 01      41578121   242468,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,ENFIELD MPTC,LB ENFIELD,DIRECT DEBIT,5538,402023 81228307 LON BOR OF ENFIELD 01      44678701   242468,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,HORNCHURCH DTC,LB HAVERING,DIRECT DEBIT,1385,601801 14871734 L B HAVERING       703233915          692523,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,UXBRIDGE MPTC,LB HILLINGDON  ,DIRECT DEBIT,5736,404508 71743570 L B HILLINGDON BUS 500346873          997231,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,PINNER DTC,LB HILLINGDON BUS,DIRECT DEBIT,506,404508 71743570 L B HILLINGDON BUS 50007709X          997231,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,HITHER GREEN,LB LEWISHAM,DIRECT DEBIT,810,089029 61073843 LB OF LEWISHAM     15197494           765186,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,GOODMAYES DTC,LB REDBRIDGE,DIRECT DEBIT,774.69,605009 19702388 LDN BORO REDBRIDGE 31370401           853130,
Department For Transport,Driving Standards Agency,20.07.2012,Business Rates,MITCHAM MPTC,LB SUTTON,DIRECT DEBIT,5369.16,208417 10580740 LB SUTTON          5000081722         991784,
Department For Transport,Driving Standards Agency,05.07.2012,Business Rates,CHINGFORD,LB WALTHAM FOREST,DIRECT DEBIT,1080,200000 53234460 L B WALTHAM FOREST 60146925           973105,
Department For Transport,Driving Standards Agency,19.07.2012,Business Rates,BRADFORD THORNBURY DTC,LEEDS CITY COUNCIL,DIRECT DEBIT,1179,606005 08502560 LEEDS CITY COUNCIL 901123391          852196,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,LEEDS HORSFORTH,LEEDS CITY COUNCIL,DIRECT DEBIT,927,606005 08502560 LEEDS CITY COUNCIL 900325009          852196,
Department For Transport,Driving Standards Agency,27.07.2012,Training,CARDINGTON - NON VOC,LEEDS TRINITY & ALL SAINTS,5100002205,900,,LS18 5HD
Department For Transport,Driving Standards Agency,13.07.2012,Service Charge,WATFORD,LENTA PROPERTIES LIMITED,1900001832,726.72,Electricity - June 2012 - Watford,WD25 8HR
Department For Transport,Driving Standards Agency,24.07.2012,Periodicals & Subscriptions,POLICY TEAM,LEXISNEXIS UK,5100002126,5685,,SM2 5AS
Department For Transport,Driving Standards Agency,06.07.2012,Business Rates,LICHFIELD DTC,LICHFIELD DISTRICT,DIRECT DEBIT,653,537015 03853527 LICHFIELD DISTRICT 93557772           980874,
Department For Transport,Driving Standards Agency,20.07.2012,Business Rates,NORRIS GREEN,LIVERPOOL CITY COUNCIL,DIRECT DEBIT,540,205101 50294217 LIVERPOOL CITY COU 9001367450         724261,
Department For Transport,Driving Standards Agency,24.07.2012,Room Hire,KELSO,LLOYD MOTORS KELSO LTD,5100002137,504,,TD5 8DW
Department For Transport,Driving Standards Agency,24.07.2012,Room Hire,KELSO,LLOYD MOTORS KELSO LTD,5100002138,504,,TD5 8DW
Department For Transport,Driving Standards Agency,26.07.2012,Room Hire,LOCHGILPHEAD,LOCHGILPHEAD CENTRE COUNCIL,5100002189,768,,PA31 8QX
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,LUTON DTC,LUTON B C GEN ACC,DIRECT DEBIT,836,089013 61024232 LUTON B C GEN ACC  12324091X          990791,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,MAIDSTONE DTC,MAIDSTONE BOROUGH COUNCIL,DIRECT DEBIT,859,300002 00574428 MBC RATES          3105128            997611,
Department For Transport,Driving Standards Agency,20.07.2012,Business Rates,CHEETHAM HILL DTC,MANCHESTER C C,DIRECT DEBIT,698,089000 61176698 MANCHESTER C C     700465767          971482,
Department For Transport,Driving Standards Agency,06.07.2012,Business Rates,WEST DIDSBURY,MANCHESTER C C,DIRECT DEBIT,1257,089000 61176698 MANCHESTER C C     701175836          971482,
Department For Transport,Driving Standards Agency,26.07.2012,Stationery (Non-stock),NORTH AREA OFFICE,MBA GROUP LTD,5100002178,615,Envelopes 2nd class,MK11 3ET
Department For Transport,Driving Standards Agency,13.07.2012,Printing,ADI REGISTER,MCCORQUODALE 2005 LTD,5100001982,1492,"Print NCR Pads: ADI 10, 10D and 26CT",DE24 8HY
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,GILLINGHAM MPTC,MEDWAY COUNCIL,DIRECT DEBIT,687,600509 90502094 MEDWAY COUNCIL 1   10000014718        983350,
Department For Transport,Driving Standards Agency,13.07.2012,Business Rates,GILLINGHAM MPTC,MEDWAY COUNCIL,DIRECT DEBIT,3458,600509 90502094 MEDWAY COUNCIL 1   10000186115        983350,
Department For Transport,Driving Standards Agency,31.07.2012,Business Rates,BURGESS HILL - MPTC,MID SUSSEX DISTRICT COUNCIL,DIRECT DEBIT,2164,089025 61059362 MSDC NNDR 68346344 68346344           990845,
Department For Transport,Driving Standards Agency,19.07.2012,Business Rates,CRAWLEY DTC,MID SUSSEX DISTRICT COUNCIL,DIRECT DEBIT,1351,089025 61059362 MSDC NNDR 68277561 68277561           990845,
Department For Transport,Driving Standards Agency,20.07.2012,Cost of Asset Disposal,WOLVERHAMPTON MPTC,MINISTRY OF DEFENCE,5100002091,1074.44,,L2 3YL
Department For Transport,Driving Standards Agency,25.07.2012,Vehicles & Transportation Capital Cost,CARDINGTON/VOC TRNG,MOTORBODIES LUTON LIMITED,5100002145,14035.04,Vauxhall Astra 1.7 CDTi 16v ecoflex,LU2 0TB
Department For Transport,Driving Standards Agency,07.06.2012,Motorcycle Maintenance,CBT,MOTORRAD CENTRAL,GPC,1567.34,Repairs for official motorcycle,
Department For Transport,Driving Standards Agency,03.07.2012,Building Service Charges,WORKINGTON DTC,NATIONAL GRID,1700000033,-21942.83,CREDIT FOR INVOICE 0080393296,WV1 9NZ
Department For Transport,Driving Standards Agency,03.07.2012,Building Service Charges,WORKINGTON DTC,NATIONAL GRID,1700000034,-14070.07,CREDIT FOR INVOICE 0080393297,WV1 9NZ
Department For Transport,Driving Standards Agency,03.07.2012,Building Service Charges,WORKINGTON DTC,NATIONAL GRID,1900001560,14070.07,Service Charges 20.09.11,WV1 9NZ
Department For Transport,Driving Standards Agency,03.07.2012,Building Service Charges,WORKINGTON DTC,NATIONAL GRID,1900001561,21942.83,Service Charges 20.09.11,WV1 9NZ
Department For Transport,Driving Standards Agency,20.07.2012,Building Service Charges,WORKINGTON DTC,NATIONAL GRID,1900002003,2959.24,WORKINGTON DTC SC 01.04.08 TO 31.03.11,WV1 9NZ
