DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,North 1,REDFERN TRAVEL LTD,1011703451,58.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,East 2,REDFERN TRAVEL LTD,1011703451,54.40,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,CHIEF SCIENTIST  ,REDFERN TRAVEL LTD,1011703451,54.20,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,South East Area 6 Cluster 66,REDFERN TRAVEL LTD,1011703451,53.91,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,FINANCE BRANCH,REDFERN TRAVEL LTD,1011703451,53.88,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Wales and West 2 (Wales),REDFERN TRAVEL LTD,1011703451,53.88,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,LEGAL  BRANCH A & INVESTIGATIONS,REDFERN TRAVEL LTD,1011703391,50.70,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,"RADIOLOGICAL, NOVEL FOOD & PROCESSES",REDFERN TRAVEL LTD,1011703391,50.70,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,CHIEF EXECUTIVE & PRIVATE OFFICE,REDFERN TRAVEL LTD,1011703391,49.39,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,North 4,REDFERN TRAVEL LTD,1011703391,43.50,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Wales and West 2 (England),REDFERN TRAVEL LTD,1011703391,39.50,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,East 1,REDFERN TRAVEL LTD,1011703451,39.33,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,"AGRICULTURAL, PROCESS & ENVIRONMENTAL CONTAMINANTS",REDFERN TRAVEL LTD,1011703391,38.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,North 4,REDFERN TRAVEL LTD,1011703391,38.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,OPERATIONS ASSURANCE DIVISION (PROGRAMME),REDFERN TRAVEL LTD,1011703451,36.86,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,NON MEAT FIELD OPS,REDFERN TRAVEL LTD,1011703391,34.20,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Wales and West 3 ,REDFERN TRAVEL LTD,1011703451,33.87,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,OPERATIONS ASSURANCE DIVISION (PROGRAMME),REDFERN TRAVEL LTD,1011703451,32.00,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,MEAT HYGIENE POLICY,REDFERN TRAVEL LTD,1011703451,30.16,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,RESILIENCE ADMIN,REDFERN TRAVEL LTD,1011703391,28.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,SURVEILLANCE,REDFERN TRAVEL LTD,1011703391,24.00,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,North 2,REDFERN TRAVEL LTD,1011703451,22.70,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,"RADIOLOGICAL, NOVEL FOOD & PROCESSES",REDFERN TRAVEL LTD,1011703451,22.00,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,INPORT & EXPORTS TEAM,REDFERN TRAVEL LTD,1011703451,21.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,MEAT HYGIENE POLICY,REDFERN TRAVEL LTD,1011703451,18.90,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,CHIEF SCIENTIST  ,REDFERN TRAVEL LTD,1011703391,15.08,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,REGULATORY DELIVERY,REDFERN TRAVEL LTD,1011703391,13.30,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,REGULATORY DELIVERY,REDFERN TRAVEL LTD,1011703451,13.07,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,Wales and West 3 ,REDFERN TRAVEL LTD,1011703451,10.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,OPERATIONS ASSURANCE DIVISION (PROGRAMME),REDFERN TRAVEL LTD,1011703391,7.02,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,"ANIMAL FEED, TSEs & ABPs",REDFERN TRAVEL LTD,1011703451,1.80,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,INTERNAL AUDIT,REDFERN TRAVEL LTD,1011703391,1.20,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,"ANIMAL FEED, TSEs & ABPs",REDFERN TRAVEL LTD,1011703451,1.20,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,FOOD ADDITIVES,REDFERN TRAVEL LTD,1011703391,0.60,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,FOOD CRIME UNIT PROG,REDFERN TRAVEL LTD,1011703451,0.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,FOOD ADDITIVES,REDFERN TRAVEL LTD,1011703451,0.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,FOOD ADDITIVES,REDFERN TRAVEL LTD,1011703451,0.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - FOREIGN SUBSISTENCE,REGULATORY & INTERNATIONAL,REDFERN TRAVEL LTD,1011703451,0.60,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,CHIEF EXECUTIVE & PRIVATE OFFICE,REDFERN TRAVEL LTD,1011703391,-18.40,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-04,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,Wales and West 3 ,REDFERN TRAVEL LTD,1011703391,-50.07,WEEK 26 TRAVEL EXPENSES,BD1 5HQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,NON MEAT FIELD OPS,REDFERN TRAVEL LTD,1011703451,-97.20,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2017-07-11,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,CHIEF EXECUTIVE & PRIVATE OFFICE,REDFERN TRAVEL LTD,1011703451,-225.73,WEEK 27 TRAVEL EXPENSES ,BD1 1PL,ADMIN
