Newcastle City Council Invoices over £250 paid in February 2014,,,,,,,,,,
,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PARKSIDE NORTHERN LTD T/A HOLMLEA,6143036,Revenue,1MG20,Ind Res Care Elderly,-486.00 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PARKSIDE NORTHERN LTD T/A HOLMLEA,6143036,Revenue,1MG20,Ind Res Care Elderly,"1,905.96 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PARKSIDE NORTHERN LTD T/A THE CHESTERS,6142844,Revenue,1MG20,Ind Res Care Elderly,"-1,096.20 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PARKSIDE NORTHERN LTD T/A THE CHESTERS,6142844,Revenue,1MG20,Ind Res Care Elderly,"1,720.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PARKSIDE NORTHERN LTD T/A THE CHESTERS,6142844,Revenue,1MG20,Ind Res Care Elderly,"1,744.00 ",
Environment & Regeneration,E&R Trans P&D              ,Capital Expenditure,25/02/2014,PARSONS BRINCKERHOFF LTD,6158372,Capital,2DP02,Devt Capital CC,"3,664.71 ",
Environment & Regeneration,Cityworks Parks & C/side   ,Premises,28/02/2014,PAT ROBSON & CO LTD,6166777,Revenue,1KL61,Parks R&M,450.00 ,
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,10/02/2014,PATROL,6139584,Revenue,1V205,Car Parking Management,"11,619.60 ",
HRA,HRA General             ,Capital Expenditure,06/02/2014,PATTINSON ESTATE AGENTS,6139241,Capital,2HE5M,Capital Cont 5-Kenton,"1,000.00 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PAVILION COURT CARE HOME,6142765,Revenue,1MG10,Ind Nursing Care Elderly,"-4,493.77 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PAVILION COURT CARE HOME,6142765,Revenue,1MG20,Ind Res Care Elderly,"-1,721.76 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PAVILION COURT CARE HOME,6142765,Revenue,1MG10,Ind Nursing Care Elderly,"-3,438.76 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PAVILION COURT CARE HOME,6142765,Revenue,1MG20,Ind Res Care Elderly,"-7,773.80 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PAVILION COURT CARE HOME,6142765,Revenue,1MG10,Ind Nursing Care Elderly,"13,091.47 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PAVILION COURT CARE HOME,6142765,Revenue,1MG20,Ind Res Care Elderly,"1,135.84 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PAVILION COURT CARE HOME,6142765,Revenue,3WH93,Continuing Care,122.08 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PAVILION COURT CARE HOME,6142765,Revenue,1MG10,Ind Nursing Care Elderly,"78,562.72 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PAVILION COURT CARE HOME,6142765,Revenue,1MG20,Ind Res Care Elderly,"33,955.04 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PAVILION COURT CARE HOME,6142765,Revenue,3WH93,Continuing Care,"-4,284.60 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PAVILION COURT CARE HOME,6142766,Revenue,1MG10,Ind Nursing Care Elderly,"2,047.30 ",
Chief Executive's,CD - Markets                     ,Supplies & Services,24/02/2014,PAVILION PRINT,6159604,Revenue,1DR03,Grainger Market,"1,566.00 ",
Chief Executive's,CD - Revenues & Benefits         ,Transfer Payments,12/02/2014,PAY POINT NETWORK LTD,6144286,Revenue,1CS17,Crisis Support,852.00 ,
Chief Executive's,CD - Revenues & Benefits         ,Transfer Payments,18/02/2014,PAY POINT NETWORK LTD,6149852,Revenue,1CS17,Crisis Support,"1,574.00 ",
Chief Executive's,CD - Revenues & Benefits         ,Transfer Payments,25/02/2014,PAY POINT NETWORK LTD,6162187,Revenue,1CS17,Crisis Support,430.00 ,
Chief Executive's,CD - Revenues & Benefits         ,Transfer Payments,04/02/2014,PAY POINT NETWORK LTD,6137036,Revenue,1CS17,Crisis Support,"1,562.00 ",
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,24/02/2014,PAYBYPHONE,6159551,Revenue,1V213,Pay by Phone Parking Income,"6,232.17 ",
Environment & Regeneration,E&R Parking Services       ,Supplies & Services,24/02/2014,PAYBYPHONE,6160084,Revenue,1V213,Pay by Phone Parking Income,"6,045.10 ",
Chief Executive's,CD - Health & Safety             ,Employees,24/02/2014,PCC SYSTEMS,6153422,Revenue,1FP40,Safety,900.00 ,
Chief Executive's,CD - Health & Safety             ,Supplies & Services,24/02/2014,PCC SYSTEMS,6153422,Revenue,1FP40,Safety,50.00 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,24/02/2014,PCC SYSTEMS,6078583,Revenue,1KTDX,Architecture Building Design,0.00 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,24/02/2014,PCC SYSTEMS,6078583,Revenue,1KVWC,Minor Works Contracts,0.00 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,24/02/2014,PCC SYSTEMS,6078583,Revenue,1KTC2,Technical Consultancy,0.00 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,24/02/2014,PCC SYSTEMS,6078583,Revenue,1KEKA,Landscape Construction,963.25 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,24/02/2014,PCC SYSTEMS,6078583,Revenue,1KE11,Highways Planned Maintenance,0.00 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,24/02/2014,PCC SYSTEMS,6158489,Revenue,1KTDX,Architecture Building Design,0.00 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,24/02/2014,PCC SYSTEMS,6158489,Revenue,1KVWC,Minor Works Contracts,0.00 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,24/02/2014,PCC SYSTEMS,6158489,Revenue,1KTC2,Technical Consultancy,0.00 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,24/02/2014,PCC SYSTEMS,6158489,Revenue,1KEKA,Landscape Construction,963.25 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,24/02/2014,PCC SYSTEMS,6158489,Revenue,1KE11,Highways Planned Maintenance,0.00 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,27/02/2014,PCC SYSTEMS,6165954,Revenue,1KTDX,Architecture Building Design,215.00 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,27/02/2014,PCC SYSTEMS,6165954,Revenue,1KVWC,Minor Works Contracts,169.50 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,27/02/2014,PCC SYSTEMS,6165954,Revenue,1KTC2,Technical Consultancy,215.00 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,27/02/2014,PCC SYSTEMS,6165954,Revenue,1KEKA,Landscape Construction,148.75 ,
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,27/02/2014,PCC SYSTEMS,6165954,Revenue,1KE11,Highways Planned Maintenance,215.00 ,
Children's Services,Educ School Planning    ,Third Party Payments,20/02/2014,PEAR TREE PROJECTS LTD,6136886,Revenue,1MC02,Ind Sector Placements,"109,124.36 ",
Children's Services,Educ School Planning    ,Third Party Payments,20/02/2014,PEAR TREE PROJECTS LTD,6136886,Revenue,1MC12,Section 31A High Care Needs,"12,688.88 ",
Children's Services,Educ School Planning    ,Third Party Payments,19/02/2014,PEAR TREE PROJECTS LTD,6136885,Revenue,1MC02,Ind Sector Placements,"4,078.56 ",
Children's Services,Educ School Planning    ,Third Party Payments,14/02/2014,PEAR TREE PROJECTS LTD,6146829,Revenue,1MC02,Ind Sector Placements,"105,363.00 ",
Children's Services,Educ School Planning    ,Third Party Payments,14/02/2014,PEAR TREE PROJECTS LTD,6146829,Revenue,1MC12,Section 31A High Care Needs,"42,145.20 ",
Children's Services,Educ Psychology            ,Supplies & Services,14/02/2014,PEARSON EDUCATION,6136523,Revenue,1E791,Kaleidrascope,713.94 ,
Children's Services,Educ School Planning    ,Third Party Payments,28/02/2014,PEARTREE PROJECT,6166766,Revenue,1MC02,Ind Sector Placements,"119,411.40 ",
Children's Services,Educ School Planning    ,Third Party Payments,28/02/2014,PEARTREE PROJECT,6166766,Revenue,1MC12,Section 31A High Care Needs,"28,096.80 ",
Adult and Culture,Social Services-Carefirst              ,Long Term Assets,11/02/2014,PEMBROKE REST HOME,6143013,Revenue,4WX13,Ind Sector Client Loan Fund,"1,946.00 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PEMBROKE REST HOME,6143013,Revenue,1MH10,Ind Nursing Care PD,68.54 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PEMBROKE REST HOME,6143013,Revenue,1MG20,Ind Res Care Elderly,"2,800.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PEMBROKE REST HOME,6143013,Revenue,1MH10,Ind Nursing Care PD,"24,857.64 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PEMBROKE REST HOME,6143013,Revenue,1MH20,Ind Res Care PD,"2,380.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PEMBROKE REST HOME,6143013,Revenue,1MM20,Ind Res Care MH,"15,683.00 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PEMBROKE REST HOME,6143013,Revenue,3WH93,Continuing Care,"-31,100.58 ",
Children's Services,West Riverside S/Start           ,Third Party Payments,06/02/2014,PENDOWER GOOD NEIGHBOURHOOD PROJECT,6133726,Revenue,1EEG1,W River CC Central Costs,"1,950.00 ",
HRA,HRA Mech & Elec            ,Premises,27/02/2014,PENNINGTON CHOICES LTD,6145632,Revenue,1HBSP,Planned Service&Plant Maint,995.00 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PERCY HEDLEY CENTRE,6142778,Revenue,1MK20,Ind Res Care LD,-315.20 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PERCY HEDLEY CENTRE,6142778,Revenue,1MG20,Ind Res Care Elderly,-486.00 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PERCY HEDLEY CENTRE,6142778,Revenue,1MK20,Ind Res Care LD,-801.20 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PERCY HEDLEY CENTRE,6142778,Revenue,1MG20,Ind Res Care Elderly,"2,691.36 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PERCY HEDLEY CENTRE,6142778,Revenue,1MK20,Ind Res Care LD,"-23,835.42 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PERCY HEDLEY CENTRE,6142778,Revenue,1MK20,Ind Res Care LD,"37,482.86 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PERCY HOUSE,6143040,Revenue,1MM20,Ind Res Care MH,-309.08 ,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PERCY HOUSE,6143040,Revenue,1MM20,Ind Res Care MH,"5,104.68 ",
HRA,HRA Planning QS            ,Capital Expenditure,12/02/2014,PERMADOR,6144466,Capital,2HE01,Capital Citywide,"8,232.92 ",
HRA,HRA Planning QS            ,Capital Expenditure,12/02/2014,PERMADOR,6144468,Capital,2HE01,Capital Citywide,"1,212.45 ",
HRA,HRA Planning QS            ,Capital Expenditure,12/02/2014,PERMADOR,6144470,Capital,2HE01,Capital Citywide,"4,092.88 ",
HRA,HRA Planning QS            ,Capital Expenditure,12/02/2014,PERMADOR,6144472,Capital,2HE01,Capital Citywide,"15,356.32 ",
HRA,HRA Planning QS            ,Capital Expenditure,12/02/2014,PERMADOR,6144480,Capital,2HE01,Capital Citywide,"4,449.16 ",
HRA,HRA Planning QS            ,Capital Expenditure,12/02/2014,PERMADOR,6144526,Capital,2HE01,Capital Citywide,"5,877.40 ",
HRA,HRA Planning QS            ,Capital Expenditure,12/02/2014,PERMADOR,6144530,Capital,2HE01,Capital Citywide,"2,392.81 ",
HRA,HRA Planning QS            ,Capital Expenditure,12/02/2014,PERMADOR,6144536,Capital,2HE01,Capital Citywide,"2,533.04 ",
HRA,HRA Planning QS            ,Capital Expenditure,12/02/2014,PERMADOR,6144563,Capital,2HE01,Capital Citywide,"1,462.54 ",
HRA,HRA Planning QS            ,Capital Expenditure,12/02/2014,PERMADOR,6144478,Capital,2HE01,Capital Citywide,"1,776.06 ",
HRA,HRA Planning QS            ,Capital Expenditure,11/02/2014,PERMADOR,6130427,Capital,2HE2O,Capital Cont 2-Monkchester,"1,384.05 ",
HRA,HRA Planning QS            ,Capital Expenditure,04/02/2014,PERMADOR,6113214,Capital,2HE01,Capital Citywide,863.70 ,
HRA,HRA Planning QS            ,Capital Expenditure,14/02/2014,PERMADOR,6124389,Capital,2HE01,Capital Citywide,"4,162.83 ",
HRA,HRA Planning QS            ,Capital Expenditure,14/02/2014,PERMADOR,6147035,Capital,2HE01,Capital Citywide,"2,802.61 ",
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/02/2014,PERMATT FORK LIFT TRUCKS LTD,6153339,Revenue,1KB40,Citybuild Stores O/H,375.16 ,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,12/02/2014,PETER COX PROPERTY SERVICES,6144326,Revenue,1KBRM,Sub Contractors R & M,"2,456.00 ",
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,11/02/2014,PF BURRIDGE & SONS LTD,6142884,Revenue,1KBAA,Building Contracts,"1,268.45 ",
HRA,HRA Property Maint         ,Premises,20/02/2014,PF BURRIDGE & SONS LTD,6154494,Revenue,1HBTC,Planned Tech Maintenance,340.00 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PHILIP CUSSINS HOUSE,6142794,Revenue,1MG20,Ind Res Care Elderly,-614.08 ,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",11/02/2014,PHILIP CUSSINS HOUSE,6142794,Revenue,1MG20,Ind Res Care Elderly,"-2,689.96 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PHILIP CUSSINS HOUSE,6142794,Revenue,1MG20,Ind Res Care Elderly,"2,238.83 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,11/02/2014,PHILIP CUSSINS HOUSE,6142794,Revenue,1MG20,Ind Res Care Elderly,"9,305.14 ",
Adult and Culture,Social Services                        ,Supplies & Services,10/02/2014,PHILIPSON STREET,6141350,Revenue,1MC09,Phillipson Street,111.02 ,
Adult and Culture,Social Services                        ,Supplies & Services,21/02/2014,PHILIPSON STREET,6156277,Revenue,1MC09,Phillipson Street,93.96 ,
Adult and Culture,Social Services                        ,Transfer Payments,10/02/2014,PHILIPSON STREET,6141350,Revenue,1MC09,Phillipson Street,89.05 ,
Adult and Culture,Social Services                        ,Transfer Payments,21/02/2014,PHILIPSON STREET,6156277,Revenue,1MC09,Phillipson Street,148.10 ,
Adult and Culture,Social Services                        ,Transport,21/02/2014,PHILIPSON STREET,6156277,Revenue,1MC09,Phillipson Street,40.35 ,
Adult and Culture,Social Services                        ,Transport,10/02/2014,PHILIPSON STREET,6141350,Revenue,1MC09,Phillipson Street,65.60 ,
HRA,HRA Property Maint         ,Premises,26/02/2014,PHOENIX FIRE SERVICES LIMITED,6145633,Revenue,1HBSP,Planned Service&Plant Maint,"3,200.00 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,13/02/2014,PHOENIX HOUSE,6145386,Revenue,1MP27,DAT Residential Rehab,580.14 ,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,21/02/2014,PHOENIX HOUSE,6156210,Revenue,1MX50,SP Block Gross,"8,465.50 ",
Environment & Regeneration,NS: Admin & Finance        ,Supplies & Services,07/02/2014,PHOTOCAST PRODUCTS,6139204,Revenue,1EJ20,City Library Premises,"3,490.00 ",
Environment & Regeneration,EEC U/Design               ,Premises,19/02/2014,PHOTOCAST PRODUCTS,6152004,Revenue,1V079,Heritage Projects,"1,200.00 ",
Children's Services,Invoice,Supplies & Services,28/02/2014,PHS GROUP PLC,6072369,Revenue,1FJX1,Legal - Expenditure Overheads,901.81 ,
Environment & Regeneration,Cityworks  Eldon           ,Supplies & Services,10/02/2014,PHS GROUP PLC,6141335,Revenue,1KL2B,Eldon Leisure,377.52 ,
Children's Services,Schools Payment Agency                 ,Employees,18/02/2014,PIE CORBETT CONSULTANCY LTD NUMBER 2 ACC,6146405,Revenue,1E+75,Our Lady & St. Annes R.C. Prmy,333.00 ,
Chief Executive's,CD - Human Resources             ,Supplies & Services,27/02/2014,PILAT EUROPE LTD,6165393,Revenue,1FP80,Operational HR,"1,320.00 ",
Environment & Regeneration,Allendale Building                     ,Supplies & Services,24/02/2014,PILKINGTON UK LTD,6159418,Revenue,3KIMD,Other Stores Stock Account,293.15 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,05/02/2014,PILKINGTON UK LTD,6137927,Revenue,3KIMD,Other Stores Stock Account,276.63 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/02/2014,PILKINGTON UK LTD,6153625,Revenue,3KIMD,Other Stores Stock Account,377.89 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,20/02/2014,PILKINGTON UK LTD,6153628,Revenue,3KIMD,Other Stores Stock Account,297.34 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,03/02/2014,PILKINGTON UK LTD,6134972,Revenue,3KIMD,Other Stores Stock Account,335.80 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,21/02/2014,PILKINGTON UK LTD,6154760,Revenue,3KIMD,Other Stores Stock Account,567.27 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,21/02/2014,PILKINGTON UK LTD,6156808,Revenue,3KIMD,Other Stores Stock Account,271.59 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,18/02/2014,PILKINGTON UK LTD,6148555,Revenue,3KIMD,Other Stores Stock Account,439.45 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,13/02/2014,PILKINGTON UK LTD,6144853,Revenue,3KIMD,Other Stores Stock Account,567.27 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,13/02/2014,PILKINGTON UK LTD,6144879,Revenue,3KIMD,Other Stores Stock Account,369.90 ,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,26/02/2014,PILKINGTON UK LTD,6163521,Revenue,3KIMD,Other Stores Stock Account,938.19 ,
Environment & Regeneration,E&R Raising Participation        ,Supplies & Services,24/02/2014,PILKINGTON UK LTD,6159716,Revenue,3KIMD,Other Stores Stock Account,960.43 ,
Adult and Culture,Social Services-Care Support           ,Third Party Payments,21/02/2014,PLACES FOR PEOPLE INDIVIDUAL SUPPORT,6156207,Revenue,1MX51,SP Block Subsidy,"1,418.88 ",
Adult and Culture,Social Services-Care Support           ,Third Party Payments,21/02/2014,PLACES FOR PEOPLE INDIVIDUAL SUPPORT,6156207,Revenue,1MX50,SP Block Gross,"8,068.40 ",
Adult and Culture,Social Services                        ,Supplies & Services,10/02/2014,PLANTS PLUS LTD,6141257,Revenue,1MW02,Nature's Landscape,388.37 ,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,25/02/2014,PLASTAL,6161543,Revenue,1KVWC,Minor Works Contracts,"9,323.60 ",
Chief Executive's,CD - Communities                 ,Supplies & Services,12/02/2014,PLAY IN NEWCASTLE,6143885,Revenue,1KL26,Montagu Full Service,295.00 ,
Chief Executive's,CD - Safe Newcastle Unit         ,Supplies & Services,26/02/2014,POLICE AND CRIME COMMISSIONER,6151145,Revenue,1VP25,Safer Stronger Community Fund,"15,500.00 ",
Children's Services,Educ Special Needs         ,Third Party Payments,18/02/2014,PONTELAND HIGH SCHOOL,6149843,Revenue,1E+211,SB Olea-Extra District Recoup,"1,343.59 ",
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",25/02/2014,PONTELAND MANOR,6161326,Revenue,1MG20,Ind Res Care Elderly,"-1,052.04 ",
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,25/02/2014,PONTELAND MANOR,6161326,Revenue,1MG20,Ind Res Care Elderly,"1,788.92 ",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,20/02/2014,PONTELAND ROAD PHARMACY,6154324,Revenue,1ML09,PH - Drugs and alcohol,"1,100.00 ",
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,20/02/2014,PONTELAND ROAD PHARMACY,6154324,Revenue,1ML11,PH - Smoking & Tobacco,837.49 ,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,20/02/2014,PONTELAND ROAD PHARMACY,6154324,Revenue,1ML10,PH - Sexual health -C'ception,26.40 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,10/02/2014,POSITIVE LIFE,6141215,Revenue,1MH50,Ind Home Spot Pur PD,"1,196.80 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,10/02/2014,POSITIVE LIFE,6141219,Revenue,1MH50,Ind Home Spot Pur PD,791.08 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,10/02/2014,POSITIVE LIFE,6141220,Revenue,1MH50,Ind Home Spot Pur PD,"1,193.25 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,10/02/2014,POSITIVE LIFE,6141224,Revenue,1MH50,Ind Home Spot Pur PD,"1,292.54 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,10/02/2014,POSITIVE LIFE,6141239,Revenue,1MH50,Ind Home Spot Pur PD,300.53 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,10/02/2014,POSITIVE LIFE,6141240,Revenue,1MH50,Ind Home Spot Pur PD,351.35 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,10/02/2014,POSITIVE LIFE,6141244,Revenue,1MH50,Ind Home Spot Pur PD,318.20 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,07/02/2014,POSITIVE LIFE,6140257,Revenue,1MH50,Ind Home Spot Pur PD,"1,505.21 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,28/02/2014,POSITIVE LIFE,6148336,Revenue,1MH50,Ind Home Spot Pur PD,"1,177.60 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,28/02/2014,POSITIVE LIFE,6151585,Revenue,1MH50,Ind Home Spot Pur PD,300.53 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,28/02/2014,POSITIVE LIFE,6151587,Revenue,1MH50,Ind Home Spot Pur PD,351.35 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,28/02/2014,POSITIVE LIFE,6152022,Revenue,1MH50,Ind Home Spot Pur PD,318.20 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,28/02/2014,POSITIVE LIFE,6152024,Revenue,1MH50,Ind Home Spot Pur PD,549.13 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6151583,Revenue,1MK55,Dom Care Family/Carer LD,264.00 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6151965,Revenue,1MH50,Ind Home Spot Pur PD,301.63 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152202,Revenue,1MH50,Ind Home Spot Pur PD,"1,204.30 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152340,Revenue,1MK54,Dom Care Own Tenancy LD,"1,428.00 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152379,Revenue,1MH50,Ind Home Spot Pur PD,"1,907.10 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152380,Revenue,1MH50,Ind Home Spot Pur PD,950.15 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152384,Revenue,1MH50,Ind Home Spot Pur PD,"1,193.25 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152385,Revenue,1MH50,Ind Home Spot Pur PD,"1,184.00 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152387,Revenue,1MH50,Ind Home Spot Pur PD,499.40 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152388,Revenue,1MH50,Ind Home Spot Pur PD,"1,641.90 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,06/02/2014,POSITIVE LIFE,6138436,Revenue,1MG50,Ind Home Spot Pur Elderly,264.00 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,06/02/2014,POSITIVE LIFE,6138442,Revenue,1MG50,Ind Home Spot Pur Elderly,312.00 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19/02/2014,POSITIVE LIFE,6152353,Revenue,1MH50,Ind Home Spot Pur PD,"1,292.54 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21/02/2014,POSITIVE LIFE,6141233,Revenue,1MH50,Ind Home Spot Pur PD,"1,641.90 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21/02/2014,POSITIVE LIFE,6141234,Revenue,1MH50,Ind Home Spot Pur PD,"1,184.00 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21/02/2014,POSITIVE LIFE,6148337,Revenue,1MH50,Ind Home Spot Pur PD,250.80 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21/02/2014,POSITIVE LIFE,6151584,Revenue,1MK54,Dom Care Own Tenancy LD,"1,428.00 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21/02/2014,POSITIVE LIFE,6152023,Revenue,1MH50,Ind Home Spot Pur PD,738.05 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152012,Revenue,1MK54,Dom Care Own Tenancy LD,"1,428.00 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152013,Revenue,1MK54,Dom Care Own Tenancy LD,"1,428.00 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152017,Revenue,1MK55,Dom Care Family/Carer LD,264.00 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152026,Revenue,1MH50,Ind Home Spot Pur PD,"1,686.10 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152027,Revenue,1MH50,Ind Home Spot Pur PD,"1,641.90 ",
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152200,Revenue,1MH50,Ind Home Spot Pur PD,738.05 ,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,20/02/2014,POSITIVE LIFE,6152325,Revenue,1MH50,Ind Home Spot Pur PD,255.23 ,
