Site,Chart 1:Number of cases included in chart,Chart 1:Admitted to orthopaedic ward within 4 hours (n),Chart 1:Admitted to orthopaedic ward after 4 hours (n),Chart 1:Not admitted to orthopaedic ward (n),Chart 1:Unknown (n),Chart2:Number of cases included in chart,Chart2:Routine by orthogeriatrician (n),Chart2:All other reviews (n),Chart2:No assessment (n),Chart2:Unknown (n),Chart3:Number of cases included in chart,"Chart3:GA, GA+nerve block (n)","Chart3:SA, SA+epidural(CSE), SA+nerve block (n)","Chart3:GA+SA, GA+epidural (n)",Chart3:Unknown and other (n),Chart4:Number of cases included in chart,"Chart4:Surgery on day of, or day after, admission (n)",Chart4:Surgery two or more calendar days after admission (n),Chart4:No surgery performed (n),Chart4:Unknown (n),Chart5:Number of cases included in chart,Chart5:Internal fixation (n),Chart5:Arthroplasty (n),Chart5:No operation (n),Chart5:Unknown and other (n),Chart6:Number of cases included in chart,Chart6:Arthroplasty (n),Chart6:Internal fixation (n),Chart6:No operation (n),Chart6:Unknown and other (n),Chart7:Number of cases included in chart,Chart7:Cemented (n),Chart7:Uncemented (n),Chart8:Number of cases included in chart,Chart8:Total hip replacement (n),Chart8:Other operation or unknown (n),Chart9:Number of cases included in chart,Chart9:Internal fixation SHS (n),Chart9:Internal fixation – not SHS (n),Chart9:Arthroplasty (n),Chart9:No operation (n),Chart9:Unknown and other (n),Chart10:Number of cases included in chart,Chart10:Internal fixation – all intramedullary nail (n),Chart10:Internal fixation –all other (n),Chart10:Arthroplasty (n),Chart10:No operation (n),Chart10:Unknown and other (n),Chart11:Number of cases included in chart,Chart11:Surgery (n),Chart11:No surgery (n),Chart11:Unknown (n),Chart12:Number of cases included in chart,Chart12:Reoperation within 30 days (n),Chart12:No reoperation within 30 days (n),Chart12:Unknown (n),Chart13:Number of cases included in chart,Chart13:Continued from pre-admission (n),Chart13:Started on this admission (n),Chart13:Awaits DXA scan (n),Chart13:Awaits bone clinic assessment (n),Chart13:Assessed – no bone protection medication needed/appropriate (n),Chart13:No assessment or action taken (n),Chart13:Unknown (n),Chart14:Number of cases included in chart,Chart14:Yes (n),Chart14:No or unknown (n),Chart15:Number of cases included in chart,Chart15:Pressure ulcers (n),Chart15:No pressure ulcers (n),Chart15:Unknown (n),Chart16:Number of cases included in chart,Chart16:Own home/sheltered housing (n),Chart16:Rehabilitation unit (n),Chart16:Acute hospital (n),Chart16:Residential care (n),Chart16:Nursing care (n),Chart16:Dead (n),Chart16:Other (n),Chart16:Unknown (n),Chart17:Number of cases included in chart,Chart17:Own home/sheltered housing (n),Chart17:Residential care (n),Chart17:Nursing care (n),Chart17:Rehabilitation unit (n),Chart17:Acute hospital (n),Chart17:Already in hospital (n),Chart17:Other (n),Chart17:Unknown (n),Chart18:Number of cases included in chart,Chart18:Mean length of acute stay (days),Chart18:Mean length of post-acute stay (days),Chart19:No. of cases eligible for mortality analysis,Chart19:Raw mortality rate within 30 days (%),Chart19:Adjusted mortality rate with 30 days (%),Chart20:No. of cases eligible for return home from home analysis,Chart20:Raw return home rate by 30 days (%),Chart20:Adjusted return home rate by 30 days (%),Chart21:Number of cases included in chart,Chart21:Ineligible - met 9 criteria,Chart21:Ineligible - met 8 criteria (n),Chart21:Ineligible - met 7 criteria (n),Chart21:Ineligible - met 6 criteria (n),Chart21:Ineligible - met 5 criteria (n),Chart21:Ineligible - met 4 criteria (n),Chart21:Ineligible - met 3 criteria (n),Chart21:Ineligible - met 2 criteria (n),Chart21:Ineligible - met 1 criteria (n),Chart21:Ineligible - met 0 criteria (n),Regional table:Number of cases submitted,Regional table:Admitted to orthopaedic ward within 4 hours (%),Regional table:Surgery on the day of or day after admission (%),Regional table:Senior geriatric review within 72 hours of admission (%),Regional table:Abbreviated mental test performed (%),Regional table:Specialist falls assessment performed (%),Regional table:Bone health medication assessment performed (%),Regional table:Patients developing pressure ulcers (%),Regional table:Best practice tariff attainment (%),Regional table:Mortality 2011 to 2013 - crude (%),Regional table:Mortality 2011 to 2013 - casemix adjusted (%),Regional table:Returned home from home within 30 days - crude (%),Regional table:Return home from home within 30 days - casemix adjusted (%),Regional table:Mean length of total Trust stay [acute + post-acute] (days),Regional table:30 day follow up completion rate (%),Facilities audit:No. of hip fractures treated/annum,Facilities audit:Trauma service description,Facilities audit:Hours of designated trauma/week,Facilities audit:No. of WTE orthopaedic consultants,Facilities audit:No. of WTE orthopaedic middle grades,Facilities audit:Orthogeriatric consultant hours/week,Facilities audit:Orthogeriatric middle grade hours/week,Facilities audit:Orthogeriatric ward rounds/week,Facilities audit:No of. WTE fragility fracture nurses,Facilities audit:No. of WTE fracture liaison nurses,Facilities audit:Specific clerking proforma,Facilities audit:Falls clinic,Facilities audit:DXA on-site facility,Facilities audit:Data collected by,Facilities audit:Data entered by,Facilities audit:Enhanced recovery programme,Facilities audit:Early supported discharge service,Facilities audit:Access to rehabilitation beds
LEW,171,66,95,*,6,185,150,*,31,0,185,94,75,6,10,185,132,47,6,0,14,6,8,0,0,89,80,9,0,0,89,83,6,43,*,39,74,61,8,*,*,0,N/A,N/A,N/A,N/A,N/A,N/A,185,179,6,0,173,*,0,170,160,16,98,11,6,29,0,0,160,160,0,160,*,159,0,179,71,49,*,11,20,24,*,0,185,143,12,17,0,0,11,*,0,270,16.2,*,539,10.6,12.7,143,38.5,38.4,187,127,50,9,*,0,0,0,0,0,0,185,38.6,71.4,96.2,100,100,100,*,67.9,10.6,12.7,38.5,38.4,23.3,0,180,DGH,24,8,8,10,10,7,0,*,Yes,Con,Axial,Doctors,Audit,Yes,Yes,Yes
LGH,279,177,91,9,*,290,69,51,170,0,290,216,41,23,10,290,189,94,7,0,17,12,*,*,0,148,147,*,0,0,150,124,26,76,18,58,99,76,20,0,*,0,26,24,0,0,*,0,290,283,7,0,273,*,*,271,264,23,86,21,*,110,23,0,264,241,23,264,22,240,*,280,114,58,*,28,45,26,*,0,290,227,27,26,*,0,8,0,0,580,20.8,*,849,8,6.4,227,48,48.9,298,74,113,51,24,9,15,9,*,0,*,290,63.4,65.2,50.3,96.9,91.3,91.3,8.3,24.8,8,6.4,48,48.9,17.6,*,280,DGH,32,8.5,8,7,0,*,0,0,Yes,None,Axial,Nurses,Nurses,No,No,Yes
LGI,571,289,156,*,124,634,306,15,313,0,634,218,281,59,76,634,369,230,33,*,97,40,47,9,*,287,245,27,12,*,293,292,*,119,25,94,208,162,35,0,11,0,39,30,8,0,*,0,634,601,33,0,555,11,230,314,562,138,173,17,11,193,30,0,562,547,15,562,32,150,380,587,283,104,*,34,87,69,6,0,634,458,47,79,*,6,34,7,0,301,18.1,0,1934,9.9,9.1,458,52.6,55.6,624,314,163,70,34,11,6,6,6,6,8,634,50.6,58.2,87.9,94.5,97.3,94.7,5.7,50.3,9.9,9.1,52.6,55.6,22.3,46.2,680,Both,136,16,27,32,40,8,*,0,Yes,Con,Axial,Nurses,Audit,No,No,No
LIN,314,210,102,0,*,328,186,51,91,0,328,193,111,19,*,328,268,54,6,0,31,16,13,*,0,167,151,14,*,0,164,70,94,83,18,65,107,98,8,0,*,0,22,15,6,0,*,0,328,322,6,0,298,*,197,99,300,15,284,*,0,0,0,0,300,300,0,300,*,296,0,303,133,13,*,29,98,27,0,0,328,234,37,43,0,*,13,0,0,136,18.8,9.6,995,8.9,9.9,234,56.4,52.9,323,193,91,29,7,*,0,*,0,0,0,328,66.9,81.7,78,98.2,100,100,*,59.8,8.9,9.9,56.4,52.9,18.1,67.4,350,DGH,59.5,12,10,13,0,*,0,0,No,Con,Axial,Nurses,Admin,No,Yes,Yes
LON,138,20,110,*,6,162,66,51,45,0,162,130,17,11,*,162,111,48,*,0,21,16,*,*,0,60,57,*,*,0,61,40,21,26,9,17,72,48,23,0,*,0,N/A,N/A,N/A,N/A,N/A,N/A,162,159,*,0,138,*,87,50,145,9,91,35,0,9,*,0,145,144,*,145,*,85,59,140,96,10,6,6,7,13,*,0,162,126,*,*,*,*,22,*,0,232,18.3,9,408,6.4,5.2,126,58.7,56.2,154,94,49,10,0,*,0,0,0,0,0,162,14.5,68.5,97.5,98.1,99.3,99.3,*,61,6.4,5.2,58.7,56.2,28.4,66.7,162,Both,66,16,20,19,0,*,0,0,Yes,Con,Axial,Nurses,Nurses,No,No,No
MAC,238,187,51,0,0,250,243,7,0,0,250,68,178,*,*,250,163,84,*,0,20,9,11,0,0,115,111,*,*,0,127,127,0,51,8,43,91,67,23,0,*,0,N/A,N/A,N/A,N/A,N/A,N/A,250,247,*,0,229,0,20,209,223,38,130,8,0,47,0,0,223,223,0,223,*,222,0,232,104,16,*,25,60,23,0,0,250,164,27,44,*,0,12,0,0,262,21.5,*,731,7.9,6.6,164,43.9,42.6,249,128,90,24,*,*,0,0,0,0,0,250,78.6,65.2,93.2,96.8,100,100,*,51.4,7.9,6.6,43.9,42.6,27.3,8.8,236,DGH,32,7,7,8,12,*,0,0,Yes,None,Axial,Audit,Audit,Yes,Yes,Yes
MAY,271,29,234,6,*,286,191,12,83,0,286,151,128,7,0,286,209,77,0,0,29,20,9,0,0,122,120,*,0,0,129,110,19,81,*,77,117,110,7,0,0,0,18,13,*,0,0,*,286,286,0,0,267,*,0,266,267,25,129,58,0,51,*,*,267,263,*,267,40,192,35,267,186,*,6,22,25,18,6,0,286,223,23,24,0,11,*,*,0,319,17.2,*,790,7.2,8.1,223,70.4,68.4,286,183,87,11,*,*,*,*,0,0,0,286,10.7,73.1,93.4,100,98.5,98.5,15,64,7.2,8.1,70.4,68.4,21.6,0,300,DGH,40,8,9,20,10,*,0,0,Yes,Con,Axial,Doctors,Doctors,No,Yes,Yes
MDW,342,163,155,20,*,354,145,132,77,0,354,95,194,49,16,354,269,77,8,0,52,10,40,*,0,138,129,*,*,*,172,117,55,80,16,64,143,135,6,*,*,0,20,9,9,*,*,0,354,346,8,0,326,*,286,37,319,8,36,14,25,230,6,0,319,313,6,319,*,318,0,334,144,94,*,27,31,34,*,0,354,283,27,28,*,*,10,*,0,219,18.3,*,1009,9.7,11.5,283,56.2,54.9,351,227,98,13,*,6,*,*,0,0,0,354,47.7,76,83.3,100,98.1,98.1,*,64.7,9.7,11.5,56.2,54.9,17.4,94.7,375,DGH,60,12,11,20,42.5,*,0,*,Yes,Con,Axial,Nurses,Admin,Yes,Yes,Yes
MKH,224,69,154,0,*,233,134,12,87,0,233,143,72,14,*,233,167,62,*,0,20,8,8,*,0,106,105,*,0,0,113,111,*,42,9,33,93,83,10,0,0,0,14,13,*,0,0,0,233,229,*,0,217,*,85,128,219,15,187,8,0,*,*,*,219,206,13,219,11,207,*,221,111,32,*,31,28,14,*,0,233,175,27,21,*,0,8,0,0,449,17,21.2,419,8.1,8.1,175,55.4,56.4,240,123,73,24,8,*,*,*,*,0,0,233,30.8,71.7,82.4,99.1,94.1,97.7,*,51.2,8.1,8.1,55.4,56.4,22.8,50.7,250,DGH,44,7,10,15.5,0,*,*,0,Yes,Con,Peri,Nurses,Nurses,No,No,Yes
MPH,367,249,115,*,*,384,245,8,131,0,384,232,103,45,*,384,324,57,*,0,30,24,6,0,0,196,156,7,*,31,163,162,*,94,*,89,123,120,*,*,*,0,35,34,*,0,0,0,384,381,*,0,356,*,258,95,358,*,328,23,0,*,0,0,358,358,0,358,*,166,190,359,126,152,*,16,36,23,*,0,384,288,36,38,7,0,12,*,0,141,11.8,16.6,1164,8.9,9.2,288,61.1,61.2,374,232,111,22,*,*,0,*,*,0,0,384,67.8,84.4,93,98.4,100,100,*,62,8.9,9.2,61.1,61.2,14.5,68.8,380,DGH,52,8.3,*,14,6,*,0,0,Yes,Con,Axial,Nurses,Nurses,Yes,No,No
MRI,152,87,54,*,6,172,33,61,78,0,172,68,89,0,15,172,117,42,13,0,61,23,29,8,*,57,49,7,*,0,78,72,6,22,*,20,45,40,*,0,*,0,N/A,N/A,N/A,N/A,N/A,N/A,172,159,13,0,142,*,129,11,145,11,15,21,*,95,*,0,145,141,*,145,*,140,0,153,68,24,*,14,11,26,9,0,172,135,17,6,*,*,8,*,0,356,15.1,*,482,7.9,9.1,135,37.8,36.6,169,98,46,12,*,*,*,*,*,0,*,172,57.2,68,72.7,94.2,97.2,98.6,*,58,7.9,9.1,37.8,36.6,28.4,100,250,DGH,66,16,17,18,*,*,*,0,Yes,Con,Axial,Nurses,Nurses,Yes,Yes,Yes
NCR,371,111,251,7,*,391,276,8,107,0,391,282,94,*,14,391,309,68,14,0,34,13,18,*,0,189,174,8,6,*,193,62,131,64,18,46,140,125,9,*,*,0,26,20,6,0,0,0,391,377,14,0,355,*,311,39,358,56,210,32,6,43,11,0,358,339,19,358,35,323,0,369,125,108,*,58,34,30,13,0,391,288,63,18,*,*,11,9,0,262,9.9,12.2,1139,8,6.9,288,43.8,45.9,391,254,88,18,12,6,*,*,*,*,*,391,29.9,79,91.6,96.2,94.7,96.9,9.8,65,8,6.9,43.8,45.9,16.4,91.8,375,DGH,56,15,10,0,11,*,*,*,Yes,Con,Axial,Nurses,Nurses,No,Yes,No
NDD,279,235,31,*,12,286,18,41,227,0,286,187,50,42,7,286,203,78,*,0,20,14,*,*,0,143,131,8,*,0,137,133,*,81,*,78,106,103,*,*,0,0,17,16,*,0,0,0,286,281,*,0,258,*,230,26,264,41,84,*,0,118,16,0,264,264,0,264,12,252,0,263,168,7,*,36,28,22,*,0,286,218,37,19,*,*,10,0,0,247,16.1,15.4,743,8.9,9.4,218,56,56.5,282,108,58,28,27,32,17,8,*,0,0,286,84.2,71,58.7,88.5,100,93.9,*,38.3,8.9,9.4,56,56.5,22.2,92.5,275,DGH,22.5,7,7,16,8,*,0,0,No,None,Axial,Nurses,Nurses,No,No,No
NGS,501,319,180,0,*,566,394,39,133,0,566,98,455,*,11,566,476,85,*,0,14,12,*,0,0,340,277,59,*,0,283,280,*,141,47,94,180,170,8,*,*,0,26,18,6,0,0,*,566,561,*,0,522,*,0,521,509,59,248,45,28,124,*,0,509,507,*,509,26,482,*,527,231,149,6,19,65,55,*,0,566,394,49,48,7,0,66,*,0,239,18.3,*,1717,8,6.6,394,48.5,49.6,565,443,97,16,*,*,*,*,0,0,0,566,63.7,84.1,94.2,100,99.6,99,5.1,78.4,8,6.6,48.5,49.6,21.8,0,620,Both,66.5,25,12,72,40,10,0,0,Yes,Con,Axial,Nurses,Admin,No,Yes,Yes
NHH,237,113,104,0,20,253,190,6,57,0,253,83,149,8,13,253,183,57,13,0,N/A,N/A,N/A,N/A,N/A,135,111,14,8,*,114,91,23,64,24,40,94,72,16,0,*,*,17,15,*,*,0,0,253,240,13,0,227,*,200,23,231,22,109,30,7,59,*,0,231,229,*,231,10,220,*,240,140,13,0,10,49,21,7,0,253,188,12,34,*,*,10,*,0,338,13.4,6.4,701,8.8,8.5,188,61.2,61.5,255,161,61,22,*,*,*,0,0,0,0,253,47.7,72.3,96.4,99.2,99.1,98.3,*,63.1,8.8,8.5,61.2,61.5,22.7,85.5,230,DGH,32,10,10,8,24,*,0,0,Yes,Con,Peri,Nurses,Nurses,No,No,No
NMG,337,195,139,*,*,364,165,17,182,0,364,67,261,21,15,364,220,130,14,0,46,28,15,*,0,154,146,*,*,0,161,75,86,59,24,35,131,116,10,0,*,0,26,23,*,0,0,0,364,350,14,0,327,7,97,223,333,23,249,38,0,13,10,0,333,306,27,333,15,315,*,341,177,*,*,62,8,30,58,*,364,280,51,8,0,0,20,*,0,118,18.1,*,769,10.8,9.5,280,50.7,52.3,364,135,133,35,24,14,11,9,*,*,*,364,57.9,60.4,81.3,98.9,91.9,97,*,37.1,10.8,9.5,50.7,52.3,19.9,27.6,408,DGH,49,12,11,40,0,*,*,*,Yes,None,Axial,Nurses,Nurses,No,Yes,No
NMH,132,63,66,*,0,139,124,12,*,0,139,89,44,*,*,139,109,26,*,0,10,*,*,*,0,57,55,*,*,0,59,0,59,27,8,19,63,47,15,0,*,0,N/A,N/A,N/A,N/A,N/A,N/A,139,135,*,0,117,0,7,110,127,*,108,*,*,6,0,0,127,127,0,127,6,121,0,121,70,25,0,10,6,10,0,0,139,124,9,*,0,*,*,0,0,27,12,*,386,8,9.4,124,57.3,54.5,131,100,25,0,*,*,*,0,0,0,0,139,47.7,78.4,96.4,99.3,100,100,*,76.3,8,9.4,57.3,54.5,18.1,7.6,250,DGH,35,6,6,15,20,*,0,0,No,Con,None,Doctors,Doctors,Yes,Yes,Yes
NOR,751,325,414,6,6,798,253,29,516,0,798,448,283,41,26,797,631,147,19,0,61,34,20,6,*,405,384,9,10,*,404,315,89,250,22,228,271,170,99,0,*,0,49,41,7,0,0,*,798,779,19,0,745,0,745,0,737,95,394,95,*,134,16,0,737,721,16,737,19,718,0,763,318,211,7,100,37,60,30,0,798,619,93,66,*,*,9,*,0,225,16.7,*,2353,7.6,9,619,48,46.5,791,489,227,46,8,9,*,7,*,0,0,798,43.3,79.2,86.6,99.7,97.8,97.8,*,61.8,7.6,9,48,46.5,15.8,0,800,DGH,84,16,9,30,20,*,*,0,No,Con,Axial,Admin,Admin,Yes,No,Yes
NPH,280,119,101,45,15,288,284,*,*,0,288,219,46,*,21,288,148,129,10,*,27,9,16,*,0,130,117,10,*,0,139,136,*,65,*,63,119,96,13,*,*,0,11,6,*,*,0,0,288,278,10,0,258,0,0,258,264,68,152,*,13,28,*,0,264,262,*,264,9,228,27,268,123,61,7,22,30,24,*,0,288,238,19,23,0,0,*,*,0,363,15.3,*,748,7.6,8.2,238,46.6,47.9,281,128,139,8,*,*,*,0,0,0,0,288,42.5,51.4,94.8,99,99.2,99.2,*,45.6,7.6,8.2,46.6,47.9,20.2,0,313,DGH,78,8,12,20,*,*,0,0,Yes,Con,Axial,Admin,Admin,Yes,Yes,N/A
NTG,363,300,44,0,19,389,141,17,231,0,389,94,261,10,24,389,297,79,13,0,38,8,27,*,0,196,181,11,*,0,211,71,140,84,16,68,134,84,44,*,*,0,19,7,10,0,*,*,389,376,13,0,350,7,308,35,359,88,148,35,*,80,*,0,359,359,0,359,40,261,58,363,191,22,6,44,71,27,*,0,389,262,35,67,*,*,18,0,0,328,20.1,8.3,1095,5.6,*,262,70.2,69.6,382,262,87,24,*,*,*,0,0,0,0,389,82.6,76.3,88.9,99.2,100,98.9,11.1,68.6,5.6,*,70.2,69.6,20,56.3,402,DGH,54.5,15,14,26,28,*,0,*,Yes,Con,Axial,Nurses,Admin,No,Yes,Yes
NTH,343,85,256,0,*,364,117,21,226,0,364,156,191,*,15,364,233,121,10,0,21,15,*,*,0,185,176,*,*,0,189,134,55,94,26,68,101,97,*,0,*,0,17,13,*,0,0,0,364,354,10,0,322,7,272,43,333,18,239,16,0,43,17,0,333,297,36,333,13,281,39,331,163,52,*,56,23,26,7,*,364,276,49,11,*,0,18,7,0,302,12.1,10.9,1063,8.1,7.7,276,50,49.7,360,107,116,80,30,17,*,*,*,*,0,364,24.8,64,66.5,97.5,89.2,94.9,*,29.7,8.1,7.7,50,49.7,28.4,90.9,364,DGH,53,11,10,20,0,*,0,0,Yes,Con,Axial,Nurses,Nurses,No,No,No
NTY,302,177,112,*,12,323,61,10,252,0,323,107,155,55,6,323,283,37,*,0,19,16,*,0,0,193,182,10,*,0,185,184,*,86,6,80,97,84,12,0,*,0,14,12,*,0,*,0,323,320,*,0,299,*,294,*,289,54,117,65,15,36,*,0,289,287,*,289,8,281,0,302,110,89,*,38,33,30,0,0,323,228,47,17,*,0,21,7,0,352,16.2,6.3,964,9.5,9.9,228,53.1,50,319,271,37,*,*,*,*,*,0,0,0,323,58.6,87.6,96.6,100,99.3,99.3,*,85,9.5,9.9,53.1,50,23.1,77.9,340,DGH,40,9,10,*,32,*,*,0,No,Con,Axial,Nurses,Nurses,Yes,No,Yes
NUN,277,78,155,42,*,288,180,6,102,0,288,78,203,*,6,288,166,116,6,0,22,*,17,0,0,153,139,9,*,0,156,147,9,84,*,82,103,95,7,0,*,0,N/A,N/A,N/A,N/A,N/A,N/A,288,282,6,0,269,*,260,6,258,32,143,72,0,11,0,0,258,258,0,258,28,229,*,275,160,10,0,52,19,29,*,0,288,221,44,11,0,0,10,*,0,61,16.6,*,758,9.2,9.6,221,67.9,67.7,293,157,120,15,*,0,0,0,0,0,0,288,28.2,57.6,93.1,98.6,100,100,10.9,53.6,9.2,9.6,67.9,67.7,21.6,42,300,DGH,28,6,7,10,40,*,0,0,Yes,Con,Axial,Audit,Audit,Yes,Yes,Yes
NWG,97,17,75,*,*,99,72,16,11,0,99,55,19,15,10,99,64,26,*,*,23,6,13,*,*,23,20,*,0,*,39,33,6,12,*,11,29,23,*,*,*,0,19,6,10,*,0,*,99,94,*,*,63,*,16,45,90,9,79,0,0,0,0,*,90,87,*,90,7,82,*,66,41,9,*,*,*,7,0,0,99,89,*,*,*,0,0,*,0,348,14.1,5.4,306,9.8,10.7,89,46.1,45.5,70,31,27,*,*,*,0,*,0,*,0,99,17.5,64.6,87.9,96,96.7,97.8,7.8,44.3,9.8,10.7,46.1,45.5,17.2,25,120,DGH,24,6,9,6,0,*,0,0,No,Con,None,Doctors,Admin,No,Yes,No
OHM,350,205,140,0,*,373,170,203,0,0,373,158,201,12,*,373,212,160,*,0,110,80,30,0,0,168,140,28,0,0,175,139,36,75,13,62,83,55,22,*,*,*,10,7,*,0,0,0,373,372,*,0,350,*,238,111,336,28,65,34,189,18,*,0,336,324,12,336,13,322,*,351,221,7,*,32,6,35,47,0,373,282,40,30,*,*,13,6,0,502,8.2,15.4,940,9.6,10.5,282,57.8,55.6,377,173,155,40,7,*,0,0,0,0,0,373,58.6,56.8,95.4,98.1,96.4,99.4,*,45.9,9.6,10.5,57.8,55.6,19.5,19.4,435,DGH,52.5,10,9,40,40,*,*,0,Yes,Con,Axial,Nurses,Admin,Yes,Yes,No
OLD,511,205,292,*,13,540,231,260,49,0,540,121,102,307,10,540,377,160,*,0,55,31,24,0,0,326,224,97,*,*,248,136,112,209,14,195,127,80,47,0,0,0,32,22,10,0,0,0,540,537,*,0,502,*,0,500,495,11,363,46,0,73,*,0,495,493,*,495,11,484,0,505,357,*,*,14,56,41,35,0,540,429,18,58,*,0,30,*,0,336,16.1,*,1603,7.8,9,429,66.7,68.4,548,344,176,25,*,*,0,0,0,0,0,540,40.1,69.8,90,99.8,99.6,99.6,*,62.8,7.8,9,66.7,68.4,23.6,54,550,DGH,22,14,28,8,56,7,0,*,Yes,Con,Axial,Doctors,HCAs,No,Yes,No
PAH,348,103,242,*,0,359,0,359,0,0,359,120,213,13,13,359,289,59,11,0,16,12,0,*,0,193,188,0,*,0,188,98,90,92,18,74,130,129,0,0,*,0,20,19,0,0,*,0,359,348,11,0,325,10,314,*,331,26,200,14,20,68,*,*,331,330,*,331,17,313,*,336,179,63,0,61,*,26,*,0,359,287,60,*,*,*,0,0,0,198,22.7,14.3,1011,9,10.9,287,63.1,61.1,350,250,80,13,*,*,*,*,0,0,0,359,29.6,80.5,91.9,99.4,99.7,99.1,5.1,71.4,9,10.9,63.1,61.1,16.6,94.7,370,DGH,32,12,10,25,32,*,0,0,Yes,None,None,Nurses,Nurses,Yes,No,Yes
PET,409,260,147,0,*,435,*,433,0,0,435,206,225,0,*,435,358,74,*,*,55,52,*,0,0,203,169,34,0,0,174,162,12,102,13,89,159,106,49,*,*,*,18,18,0,0,0,0,435,433,*,*,407,0,*,404,413,90,*,49,0,272,0,*,413,412,*,413,*,407,*,408,253,20,*,81,27,20,*,0,435,334,57,16,*,*,24,0,*,695,12.2,*,1271,7.2,8.8,334,70.1,66.6,428,235,115,58,15,*,0,*,*,0,0,435,63.6,82.3,78.2,93.8,99.8,99.8,*,54.9,7.2,8.8,70.1,66.6,15.8,*,460,DGH,40,16,*,0,0,0,0,*,Yes,Con,Axial,Nurses,Nurses,Yes,Yes,Yes
PGH,788,459,208,119,*,855,578,277,0,0,855,840,*,0,11,855,671,173,9,*,62,50,8,*,0,461,449,8,*,*,458,408,50,237,35,202,302,266,32,*,*,*,30,29,0,0,*,0,855,845,9,*,806,15,738,53,819,75,265,43,0,435,0,*,819,818,*,819,23,795,*,815,316,283,*,107,63,32,10,0,855,641,116,47,*,0,44,*,0,322,12.4,*,2606,5.8,6.1,641,54.6,54.5,849,657,168,20,*,0,0,*,0,0,0,855,58.2,78.5,99.5,99.6,99.9,99.9,*,77.4,5.8,6.1,54.6,54.5,12.4,95.6,886,DGH,140.5,10,8,64.5,16,22,0,*,Yes,None,None,Nurses,Admin,Yes,Yes,Yes
PIL,310,242,67,0,*,334,28,26,280,0,334,112,183,27,12,334,317,16,*,0,30,16,13,*,0,187,176,11,0,0,189,184,*,100,12,88,107,96,11,0,0,0,10,8,*,0,0,0,334,333,*,0,322,*,254,66,307,33,255,11,*,*,*,0,307,307,0,307,6,300,*,323,213,21,9,25,30,25,0,0,334,252,29,33,*,0,18,*,0,524,18.3,*,999,8.8,9.7,252,76.2,75.9,332,308,16,7,*,0,0,0,0,0,0,334,78.1,94.9,96.1,99.7,100,99,*,92.8,8.8,9.7,76.2,75.9,12.7,78.4,345,DGH,37.5,7,9,15,0,*,0,0,Yes,Con,Axial,Nurses,Admin,No,No,Yes
PIN,519,135,382,0,*,558,345,10,203,0,558,193,342,*,19,558,385,154,19,0,N/A,N/A,N/A,N/A,N/A,330,277,39,14,0,280,167,113,166,49,117,188,91,93,0,*,0,37,32,*,0,*,0,558,539,19,0,505,*,417,85,513,*,282,14,*,212,0,0,513,513,0,513,27,486,0,524,225,134,*,73,24,41,22,*,558,395,96,16,7,*,36,6,0,542,12.4,*,1555,9.1,9.3,395,56.7,54.4,564,372,185,6,*,0,0,0,0,0,0,558,26,69,97.3,100,100,100,5.3,66,9.1,9.3,56.7,54.4,19.4,87.8,600,DGH,96,16,12,32,*,*,0,0,Yes,None,Axial,HCAs,HCAs,No,Yes,Yes
PLY,531,292,227,*,11,567,225,342,0,0,567,239,299,17,12,567,425,131,11,0,37,11,23,*,0,274,264,*,*,*,288,278,10,144,23,121,231,203,25,*,*,0,24,20,*,0,*,0,567,556,11,0,537,8,455,74,536,41,297,77,0,115,6,0,536,530,6,536,*,529,*,548,102,279,*,65,66,31,*,0,567,397,84,51,*,*,31,*,0,347,15.7,*,1584,7.4,7.5,397,36.3,35.2,562,365,143,37,6,*,*,*,*,0,0,567,55,75,90.1,98.8,98.9,98.9,*,64.9,7.4,7.5,36.3,35.2,12.6,85.9,481,Tertiary,91.5,21,14,20,34,*,0,0,Yes,Con,Axial,Nurses,Nurses,No,No,Yes
PMS,391,160,182,38,11,405,254,27,124,0,405,115,267,18,*,405,336,65,*,0,22,20,*,0,0,197,194,0,*,*,199,197,*,107,38,69,158,147,7,*,*,0,27,27,0,0,0,0,405,401,*,0,378,8,268,102,367,26,224,42,35,38,*,0,367,365,*,367,6,307,54,382,193,71,*,31,37,36,13,0,405,317,45,28,*,0,10,*,0,207,18.4,8.7,1144,9,10.1,317,57.4,55,416,300,81,26,*,*,*,*,0,0,0,405,40.9,83,94.1,98,99.5,99.5,*,72.1,9,10.1,57.4,55,20.1,75.8,375,DGH,87.5,12.8,17.6,28,72,*,0,0,Yes,Con,Axial,Doctors,Audit,No,No,Yes
QAP,737,555,168,0,14,787,738,49,0,0,787,232,463,80,12,787,650,129,8,0,46,33,12,*,0,405,384,13,6,*,396,83,313,185,30,155,294,282,11,0,*,0,42,37,*,0,0,0,787,779,8,0,745,10,730,*,740,30,619,39,0,52,0,0,740,740,0,740,10,730,0,753,497,37,*,85,85,47,0,0,787,643,99,44,0,0,*,0,0,365,17.7,6.2,2154,6.3,6,643,72.2,76.2,793,654,132,*,0,*,*,0,0,0,0,787,75.3,82.6,99.9,100,100,100,*,82.5,6.3,6,72.2,76.2,18.5,99.3,736,DGH,84,21.67,22.1,30.5,39.5,*,*,0,Yes,Con,Axial,Nurses,Audit,No,No,Yes
