Creditor Name ,Invoice Line Amount,Payment Date,LA Department,Expenditure Category/Description
ELEANOR NURSING AND SOCIAL CARE LTD,829.6, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,602.52, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,525.14, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,688.52, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,1235.84, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,788.87, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,1752.24, 10/11/2015,Adult and Older People,ISF Personal Care
ELEANOR NURSING AND SOCIAL CARE LTD,738.88, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,4879.28, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,612.22, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,1752.24, 10/11/2015,Adult and Older People,ISF Personal Care
ELEANOR NURSING AND SOCIAL CARE LTD,1493.86, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,2283.12, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
CHRYSALIS CARE (FOSTERING) LTD,3547.8, 10/11/2015,Childrens Services,Agency Placements
ELEANOR NURSING AND SOCIAL CARE LTD,747.04, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,736.52, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
ELEANOR NURSING AND SOCIAL CARE LTD,2143.2, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
CHRYSALIS CARE (FOSTERING) LTD,3774.25, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3774.25, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3547.8, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3351.97, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3351.97, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3458.95, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3458.95, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3697.99, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,5587.13, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3476.11, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3587.05, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3587.05, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3697.99, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,6656.01, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3467.66, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,5881.01, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3538.65, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,1851.38, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,5881.01, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3697.99, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3587.05, 10/11/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,1751.34, 10/11/2015,Adult and Older People,Services Private Contractor
REDACTED PERSONAL INFORMATION,1751.34, 10/11/2015,Adult and Older People,Services Private Contractor
CHRYSALIS CARE (FOSTERING) LTD,3587.05, 10/11/2015,Childrens Services,Agency Placements
ELEANOR NURSING AND SOCIAL CARE LTD,2894.44, 10/11/2015,Adult and Older People,Private Home Help Domest Misc
CHOICE SUPPORT LTD,2275.4, 10/11/2015,Adult and Older People,Supported Living
CHRYSALIS CARE (FOSTERING) LTD,3697.99, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,2624.38, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3587.05, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3587.05, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,1908.64, 10/11/2015,Childrens Services,Agency Placements
CHRYSALIS CARE (FOSTERING) LTD,3697.99, 10/11/2015,Childrens Services,Agency Placements
REDACTED PERSONAL INFORMATION,770, 10/11/2015,Childrens Services,Other Services
NEOPOST FINANCE LTD,24000, 10/11/2015,Chief Executives,Postage - Royal Mail
DEPARTMENT OF WORKS & PENSIONS,615, 10/11/2015,Corporate,Insurance Claims
DEPARTMENT OF WORKS & PENSIONS,637, 10/11/2015,Corporate,Insurance Claims
MINSTER LAW LTD,8706, 10/11/2015,Corporate,Insurance Claims
MINSTER LAW LTD,3504.72, 10/11/2015,Corporate,Insurance Claims
WILSONS LAW,6420000, 10/11/2015,Other General Fund,Property Purchase Normal
WILSONS LAW,-1600000, 10/11/2015,Other General Fund,Property Purchase Normal
WILSONS LAW,19800, 10/11/2015,Other General Fund,Property Purchase Normal
WILSONS LAW,342000, 10/11/2015,Other General Fund,Property Purchase Normal
WILSONS LAW,10260, 10/11/2015,Other General Fund,Property Purchase Normal
ROYAL BOROUGH OF GREENWICH PENSION FUND,200082.35, 10/11/2015,Corporate Accounts,Income Receipts
REDACTED PERSONAL INFORMATION,751.56, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,652, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,864.92, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,869.82, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1380.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,310.17, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1276.51, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1240.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1227.87, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,435.22, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,435.22, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,435.22, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1365.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,162.11, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,432.29, 11/11/2015,Adult and Older People,Adult Placement Schemes
DAVID PHILLIPS FURNITURE LTD,27.36, 11/11/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,30.89, 11/11/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,15.17, 11/11/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,4.46, 11/11/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,7.44, 11/11/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,25.85, 11/11/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,23.95, 11/11/2015,Chief Executives,ESS Care Grant Furniture
DAVID PHILLIPS FURNITURE LTD,162, 11/11/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,24, 11/11/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,186.35, 11/11/2015,Chief Executives,ESS Care Grant Electrical
DAVID PHILLIPS FURNITURE LTD,24, 11/11/2015,Chief Executives,ESS Care Grant Electrical
REDACTED PERSONAL INFORMATION,1505.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1345.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1305.68, 11/11/2015,Adult and Older People,Adult Placement Schemes
REDACTED PERSONAL INFORMATION,1086.24, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,726.24, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1617.2, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,582.4, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,4413.6, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,844.4, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,725.2, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,3329.97, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1445.4, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1109.6, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,622.4, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1438.25, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1195.56, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,782.4, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,912.72, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1304.24, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,555.2, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,591.9, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,726.24, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1532.44, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,597.2, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1532.3, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,914.92, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1930.2, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,499.94, 11/11/2015,Childrens Services,Services Vol Associations
REDACTED PERSONAL INFORMATION,1930.2, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1017.38, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2051.14, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,717.38, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,816.22, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,890.56, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,766.22, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,461.78, 11/11/2015,Childrens Services,Services Vol Associations
REDACTED PERSONAL INFORMATION,267.56, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,617.2, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,484.7, 11/11/2015,Childrens Services,Services Vol Associations
REDACTED PERSONAL INFORMATION,1048.92, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1779.84, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1317.09, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1070.67, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1207.38, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,862.4, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,888.63, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2300.98, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2994.4, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1138.95, 11/11/2015,Childrens Services,Fostering Allowances
ONE HOUSING GROUP LTD,98507.25, 11/11/2015,Adult and Older People,Other Agency Services
ONE HOUSING GROUP LTD,7463.75, 11/11/2015,Adult and Older People,Other Agency Services
REDACTED PERSONAL INFORMATION,517.2, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,600, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,862.4, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,672.4, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1200, 11/11/2015,Childrens Services,Adoption Allowances
REDACTED PERSONAL INFORMATION,1930.2, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,532.44, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1224.92, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,988.3, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,586.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,2732.66, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,597.2, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1065.28, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1119.08, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,614.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,2277.68, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1540, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1642.6, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,667.51, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,586.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,816.22, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1981.14, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1222.22, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1779.84, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,778.88, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1529.76, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1801.08, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,660.41, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,767.2, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,504.44, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,586.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1334.76, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1065.28, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2799.04, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,667.38, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,586.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1201.28, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,717.38, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1229.28, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,766.22, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,532.44, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1831.5, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1543.76, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2778.76, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1416.66, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,504.44, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,963.2, 11/11/2015,Childrens Services,Government Grants Clg Inc Gol
REDACTED PERSONAL INFORMATION,1685.28, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1201.28, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,830.16, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2594.8, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1386, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,766.22, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,524.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,667.38, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,778.88, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,532.44, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1523.28, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,750.88, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1445.28, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,835.56, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1359.2, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,770.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1320.28, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,693.76, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,916.15, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,586.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
ONE HOUSING GROUP LTD,98507.25, 11/11/2015,Adult and Older People,Other Agency Services
REDACTED PERSONAL INFORMATION,1844.14, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,504.44, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1011.8, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1483.6, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1432.08, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,614.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,864.92, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2862.4, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,766.22, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2363.12, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1930.2, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,586.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1880.2, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1364.28, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,614.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1880.2, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,916.08, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,2496.06, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,864.92, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1585.72, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,2281.74, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,378.12, 11/11/2015,Childrens Services,Children Looked After
REDACTED PERSONAL INFORMATION,409.4, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,15, 11/11/2015,Childrens Services,Equipment
REDACTED PERSONAL INFORMATION,1983.06, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1729.84, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1281.42, 11/11/2015,Childrens Services,Fostering Allowances
REDACTED PERSONAL INFORMATION,1095.39, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1147.08, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,504.44, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,1036.88, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,614.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,735.16, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,532.44, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,681.04, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,824.06, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,614.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,614.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,835.56, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,586.64, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,653.2, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
REDACTED PERSONAL INFORMATION,532.44, 11/11/2015,Childrens Services,Special Guardianship Orders - Section 14
