Department Family,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction Number,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/09/2011,OFFICE MACHINERY PURCHASED,MINE ENTRY INSPECTIONS,PROF SER-INTRPRTN&TRNSLTN SER,DENISA FRANCIS,0000184685,44.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,11/10/2011,OFFICE MACHINERY PURCHASED,MINE ENTRY INSPECTIONS,PROF SER-OPERATIONAL SERVICES,REGISTERS OF SCOTLAND,0000184944,17.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,OFFICE MACHINERY PURCHASED,MINE ENTRY INSPECTIONS,ENGINEERING GOODS-INDUSTRIAL,COMPANY BARCLAYCARD,0000185168,84.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2011,OUTSOURCED MGT- SURFACE HZARDS,MINE ENTRY INSPECTIONS,SOCIAL CARE-EMERGENCY SERVICES,MINES RESCUE SERVICE LIMI,0000184865,8000.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,12 HOUR ALLOWANCE,MINING INFORMATION COMMERCIAL,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184565,0.52
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,24 HOUR SUBSISTENCE ALLOWANCE,MINING INFORMATION COMMERCIAL,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000185165,8.58
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,5 HRS + SUBSISTENCE,MINING INFORMATION COMMERCIAL,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184565,0.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2011,CHESHIRE BRINE SEARCH SERVICES,MINING INFORMATION COMMERCIAL,PSPES NOT APPLICABLE,CHESHIRE BRINE SUBSIDENCE,0000184912,36510.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2011,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION COMMERCIAL,PROF SER FNCL-BANKING&INVSTMNT,WORLDPAY LIMITED,0000184769,479.21
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2011,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION COMMERCIAL,PROF SER FNCL-BANKING&INVSTMNT,STREAMLINE,0000184784,930.88
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,CURR YR ADD - BROUGHT SOFTWARE,MINING INFORMATION COMMERCIAL,ICT-SYSTEMS DELIVERY,CAPGEMINI UK PLC,0000184835,7165.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,FARES - AIR,MINING INFORMATION COMMERCIAL,TRAVEL&EVENTS-AIR,COMPANY BARCLAYCARD,0000185182,123.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,FARES - RAIL,MINING INFORMATION COMMERCIAL,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000185182,34.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,GROUNDSURE ROYALTY,MINING INFORMATION COMMERCIAL,PSPES NOT APPLICABLE,GROUNDSURE LIMITED,0000184726,80968.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,HOTEL ACCOMMODATION,MINING INFORMATION COMMERCIAL,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000185165,65.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,INCIDENTALS,MINING INFORMATION COMMERCIAL,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000184565,4.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2011,INSURANCE PREMIUMS,MINING INFORMATION COMMERCIAL,PROF SER FNCL-INSURANCE SRVCE,LEGAL & CONTINGENCY LIMIT,0000184779,90525.14
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,IT SERVICES - OPERATIONS,MINING INFORMATION COMMERCIAL,ICT-MANAGED O/SRCE SERVICES,CAPGEMINI UK PLC,0000184833,23750.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,IT SERVICES - OPERATIONS,MINING INFORMATION COMMERCIAL,ICT-MANAGED O/SRCE SERVICES,CAPGEMINI UK PLC,0000184833,76671.37
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,LEGAL COSTS,MINING INFORMATION COMMERCIAL,PROF SER-LEGAL SERVICES,NABARRO LLP,0000184778,280.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,MILEAGE PAYMENTS,MINING INFORMATION COMMERCIAL,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000184565,9.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2011,ORDANCE SURVEY MAPS,MINING INFORMATION COMMERCIAL,ICT-SOFTWARE,ORDNANCE SURVEY,0000184913,6623.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/09/2011,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000184538,1112.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000184691,1230.12
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/10/2011,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER TMP STFF-TEMP WRKERS,KEY PERSONNEL SOLUTIONS L,0000184884,1605.32
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,14/10/2011,PAYMENTS TO AGENCIES FOR TEMPS,MINING INFORMATION COMMERCIAL,PROF SER CNSLTNCY-IT/IS,KEY PERSONNEL SOLUTIONS L,0000185031,1983.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,10/10/2011,ROYALTIES,MINING INFORMATION COMMERCIAL,PSPES NOT APPLICABLE,NERC,0000184885,23874.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,TRAINING AND EDUCATION,MINING INFORMATION COMMERCIAL,PROF SER LRNG&DEV-STAFF TRNING,COMPANY BARCLAYCARD,0000185169,269.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,12 HOUR ALLOWANCE,MINING INFORMATION WHOLESALE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184565,0.52
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,24 HOUR SUBSISTENCE ALLOWANCE,MINING INFORMATION WHOLESALE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184559,38.91
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,5 HRS + SUBSISTENCE,MINING INFORMATION WHOLESALE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184559,4.95
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,5 HRS + SUBSISTENCE,MINING INFORMATION WHOLESALE,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184565,0.83
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,CHILDCARE VOUCHERS,MINING INFORMATION WHOLESALE,PERSONNEL RLTD-STAFF CHILDCARE,LEAPFROG DAY NURSERIES LT,0000184669,243.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2011,COMMISSION CHARGES-E-COMMERCE,MINING INFORMATION WHOLESALE,PROF SER FNCL-BANKING&INVSTMNT,STREAMLINE,0000184784,17.64
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,FARES - AIR,MINING INFORMATION WHOLESALE,TRAVEL&EVENTS-AIR,COMPANY BARCLAYCARD,0000185182,123.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,FARES - RAIL,MINING INFORMATION WHOLESALE,TRAVEL&EVENTS-RAIL,STAFF EXPENSES CONTROL,0000184562,4.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,FARES - RAIL,MINING INFORMATION WHOLESALE,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000185182,34.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,HOTEL ACCOMMODATION,MINING INFORMATION WHOLESALE,TRAVEL&EVENTS-HOTELS,STAFF EXPENSES CONTROL,0000184559,120.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,HOTEL ACCOMMODATION,MINING INFORMATION WHOLESALE,TRAVEL&EVENTS-HOTELS,STAFF EXPENSES CONTROL,0000184581,79.17
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,INCIDENTALS,MINING INFORMATION WHOLESALE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000184559,16.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,INCIDENTALS,MINING INFORMATION WHOLESALE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000184565,4.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,INCIDENTALS,MINING INFORMATION WHOLESALE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000184581,5.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,IT SERVICES - OPERATIONS,MINING INFORMATION WHOLESALE,ICT-MANAGED O/SRCE SERVICES,CAPGEMINI UK PLC,0000184833,3566.97
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,IT SERVICES - OPERATIONS,MINING INFORMATION WHOLESALE,ICT-MANAGED O/SRCE SERVICES,CAPGEMINI UK PLC,0000184833,23750.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/10/2011,MAINTENANCE OF OFFICE MACHINES,MINING INFORMATION WHOLESALE,OFFICE SOLUTIONS-OFFICE CNSMBL,OCE (UK) LIMITED,0000185039,463.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/10/2011,MAINTENANCE OF OFFICE MACHINES,MINING INFORMATION WHOLESALE,OFFICE SOLUTIONS-PRINT,OCE (UK) LIMITED,0000185039,423.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/10/2011,MAINTENANCE OF OFFICE MACHINES,MINING INFORMATION WHOLESALE,OFFICE SOLUTIONS-PRINT,OCE (UK) LIMITED,0000185040,65.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,MILEAGE PAYMENTS,MINING INFORMATION WHOLESALE,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000184562,16.20
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,MILEAGE PAYMENTS,MINING INFORMATION WHOLESALE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000184565,9.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,MILEAGE PAYMENTS,MINING INFORMATION WHOLESALE,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000184581,78.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,27/09/2011,TRAINING AND EDUCATION,MINING INFORMATION WHOLESALE,PROF SER LRNG&DEV-STAFF TRNING,SOLACE,0000184536,475.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,10 HRS + SUBSISTENCE,NON-COAL MINEWATER,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184579,5.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,10 HRS + SUBSISTENCE,NON-COAL MINEWATER,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184579,5.78
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,12 HOUR ALLOWANCE,NON-COAL MINEWATER,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184579,6.94
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,24 HOUR SUBSISTENCE ALLOWANCE,NON-COAL MINEWATER,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184579,11.63
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,CONTRACTORS - OPERATIONAL,NON-COAL MINEWATER,CONSTRUCTION-CNSTRN SER PROVDR,CORNERSTONE  PROJECTS LTD,0000184507,77.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,INCIDENTALS,NON-COAL MINEWATER,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000184579,2.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/10/2011,LEGAL COSTS,NON-COAL MINEWATER,PROF SER-OPERATIONAL SERVICES,LAND REGISTRY,0000185203,24.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/10/2011,LEGAL COSTS,NON-COAL MINEWATER,PROF SER-OPERATIONAL SERVICES,MDA SEARCHFLOW LTD,0000185227,5.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2011,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000184634,7198.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2011,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000184807,2950.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2011,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000184808,2790.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/10/2011,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000184809,3670.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/09/2011,M/W FEASIBILITY STUDIES,NON-COAL MINEWATER,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000184831,3414.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,10 HRS + SUBSISTENCE,PERMISSIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184554,6.97
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,10 HRS + SUBSISTENCE,PERMISSIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184570,6.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,12 HOUR ALLOWANCE,PERMISSIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184565,0.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,24 HOUR SUBSISTENCE ALLOWANCE,PERMISSIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184555,7.27
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,24 HOUR SUBSISTENCE ALLOWANCE,PERMISSIONS,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000185173,5.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,5 HRS + SUBSISTENCE,PERMISSIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184554,1.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,5 HRS + SUBSISTENCE,PERMISSIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184565,0.42
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,5 HRS + SUBSISTENCE,PERMISSIONS,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184570,2.08
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,CENTRAL TRAINING BUDGET,PERMISSIONS,PROF SER LRNG&DEV-STAFF TRNING,COMPANY BARCLAYCARD,0000185155,12.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,CHILDCARE VOUCHERS,PERMISSIONS,PERSONNEL RLTD-STAFF CHILDCARE,LEAPFROG DAY NURSERIES LT,0000184669,120.00,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,CHILDCARE VOUCHERS,PERMISSIONS,PERSONNEL RLTD-STAFF CHILDCARE,LEAPFROG DAY NURSERIES LT,0000184669,121.50,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,01/10/2011,COMMISSION CHARGES-E-COMMERCE,PERMISSIONS,PROF SER FNCL-BANKING&INVSTMNT,STREAMLINE,0000184784,118.55,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,HOTEL ACCOMMODATION,PERMISSIONS,TRAVEL&EVENTS-HOTELS,STAFF EXPENSES CONTROL,0000184555,31.66,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,HOTEL ACCOMMODATION,PERMISSIONS,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000185155,26.25,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,HOTEL ACCOMMODATION,PERMISSIONS,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000185173,26.25,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,INCIDENTALS,PERMISSIONS,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000184565,2.10,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,MILEAGE PAYMENTS,PERMISSIONS,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000184554,5.85,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,MILEAGE PAYMENTS,PERMISSIONS,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000184555,12.15,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,MILEAGE PAYMENTS,PERMISSIONS,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000184565,4.50,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,10 HRS + SUBSISTENCE,PLANNING & LOCAL AUTH LIAISON,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184557,12.49,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,12 HOUR ALLOWANCE,PLANNING & LOCAL AUTH LIAISON,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184565,0.52,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,24 HOUR SUBSISTENCE ALLOWANCE,PLANNING & LOCAL AUTH LIAISON,FACILITIES - FOOD,COMPANY BARCLAYCARD,0000185172,20.67,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,5 HRS + SUBSISTENCE,PLANNING & LOCAL AUTH LIAISON,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184557,2.78,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,5 HRS + SUBSISTENCE,PLANNING & LOCAL AUTH LIAISON,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184565,0.83,,,,
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,CHILDCARE VOUCHERS,PLANNING & LOCAL AUTH LIAISON,PERSONNEL RLTD-STAFF CHILDCARE,LEAPFROG DAY NURSERIES LT,0000184669,243.00,,,,`
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,06/10/2011,CONSULTANCY,PLANNING & LOCAL AUTH LIAISON,PROF SER CNSLTNCY-PROP/CNSTRCN,ANTHONY NORTHCOTE PLANNIN,0000184751,363.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/10/2011,CONSULTANCY,PLANNING & LOCAL AUTH LIAISON,PROF SER CNSLTNCY-PROP/CNSTRCN,ANTHONY NORTHCOTE PLANNIN,0000185043,831.25
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,FARES - AIR,PLANNING & LOCAL AUTH LIAISON,TRAVEL&EVENTS-AIR,COMPANY BARCLAYCARD,0000185182,123.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,FARES - RAIL,PLANNING & LOCAL AUTH LIAISON,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000185182,34.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,HOTEL ACCOMMODATION,PLANNING & LOCAL AUTH LIAISON,TRAVEL&EVENTS-HOTELS,COMPANY BARCLAYCARD,0000185172,149.15
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,INCIDENTALS,PLANNING & LOCAL AUTH LIAISON,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000184557,4.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,INCIDENTALS,PLANNING & LOCAL AUTH LIAISON,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000184565,4.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,INCIDENTALS,PLANNING & LOCAL AUTH LIAISON,VEHICLES-FLEET MANAGEMENT,COMPANY BARCLAYCARD,0000185172,9.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,13/10/2011,LEGAL COSTS,PLANNING & LOCAL AUTH LIAISON,PROF SER CNSLTNCY-PROP/CNSTRCN,ANTHONY NORTHCOTE PLANNIN,0000184844,419.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,04/10/2011,MEMBERSHIP SUBSCRIPTIONS,PLANNING & LOCAL AUTH LIAISON,PERSONNEL RLTD-STAFF SUBSCRPTN,THOMSON REUTERS,0000184716,553.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,MILEAGE PAYMENTS,PLANNING & LOCAL AUTH LIAISON,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000184557,18.54
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,MILEAGE PAYMENTS,PLANNING & LOCAL AUTH LIAISON,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000184565,9.01
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/09/2011,5 HRS + SUBSISTENCE,PROCUREMENT,FACILITIES - FOOD,STAFF EXPENSES CONTROL,0000184572,3.33
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/10/2011,FARES - RAIL,PROCUREMENT,TRAVEL&EVENTS-RAIL,COMPANY BARCLAYCARD,0000185185,162.90
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,CONSULTANTS TECHNICAL,PROPERTY MANAGEMENT & SALES,PROF SER CNSLTNCY-PPM CNSLTNCY,JMC ENGINEERING (UK) LTD,0000184714,2574.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,03/10/2011,CONSULTANTS TECHNICAL,PROPERTY MANAGEMENT & SALES,PROF SER CNSLTNCY-PPM CNSLTNCY,JMC ENGINEERING (UK) LTD,0000184715,993.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/10/2011,CONSULTANTS TECHNICAL,PROPERTY MANAGEMENT & SALES,PROF SER CNSLTNCY-PPM CNSLTNCY,JMC ENGINEERING (UK) LTD,0000185191,2886.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,24/10/2011,CONSULTANTS TECHNICAL,PROPERTY MANAGEMENT & SALES,PROF SER CNSLTNCY-PPM CNSLTNCY,JMC ENGINEERING (UK) LTD,0000185193,318.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/06/2011,LAND MANAGEMENT-ESTATES,PROPERTY MANAGEMENT & SALES,PROF SER CNSLTNCY-PROP/CNSTRCN,SMITHS GORE,0000184181,3007.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,12/10/2011,LAND MANAGEMENT-ESTATES,PROPERTY MANAGEMENT & SALES,PROF SER CNSLTNCY-PROP/CNSTRCN,COOKE & ARKWRIGHT,0000185037,1429.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,LAND MANAGEMENT-ESTATES,PROPERTY MANAGEMENT & SALES,PROF SER CNSLTNCY-PROP/CNSTRCN,SMITHS GORE,0000185045,3041.39
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,LAND MANAGEMENT-ESTATES,PROPERTY MANAGEMENT & SALES,PROF SER CNSLTNCY-PROP/CNSTRCN,SMITHS GORE,0000185088,298.03
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,30/09/2011,LEGAL COSTS,PROPERTY MANAGEMENT & SALES,PROF SER-LEGAL SERVICES,NABARRO LLP,0000184778,4077.55
