Newcastle City Council Invoices over £250 paid in May 2013,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Directorate Name,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886556,Revenue,1MK40,Direct Payments LD           M,"1,926.40 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886549,Revenue,1MH40,Direct Payments PD           M,"1,669.20 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886525,Revenue,1MK40,Direct Payments LD           M,"1,288.92 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886522,Revenue,1MH40,Direct Payments PD           M,725.40 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886574,Revenue,1MH40,Direct Payments PD           M,723.20 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886572,Revenue,1MH40,Direct Payments PD           M,"4,280.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886524,Revenue,1MH40,Direct Payments PD           M,"2,039.28 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886542,Revenue,1MK40,Direct Payments LD           M,"2,655.76 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886518,Revenue,1MH40,Direct Payments PD           M,"6,045.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886518,Revenue,3WH96,Continuing Care-Dom Payments M,"6,045.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886567,Revenue,1MK40,Direct Payments LD           M,"1,926.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886555,Revenue,1MK40,Direct Payments LD           M,813.20 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886523,Revenue,1MK40,Direct Payments LD           M,"4,060.48 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886557,Revenue,1MG40,Direct Payments Elderly      M,"1,054.76 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886565,Revenue,1MK40,Direct Payments LD           M,"1,424.92 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886564,Revenue,1MK40,Direct Payments LD           M,"9,947.72 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886564,Revenue,1MK50,Ind Supported Living LD      M,"9,947.72 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886554,Revenue,1MK40,Direct Payments LD           M,"3,998.60 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886554,Revenue,1MK50,Ind Supported Living LD      M,"3,998.56 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886531,Revenue,1MH40,Direct Payments PD           M,"2,600.08 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886531,Revenue,3WH96,Continuing Care-Dom Payments M,"2,600.12 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886561,Revenue,1MH40,Direct Payments PD           M,"1,446.40 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886529,Revenue,1MK40,Direct Payments LD           M,"2,040.96 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886560,Revenue,1MH40,Direct Payments PD           M,565.00 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886580,Revenue,1MK40,Direct Payments LD           M,"1,220.40 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886516,Revenue,1MG40,Direct Payments Elderly      M,842.40 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886511,Revenue,1MH40,Direct Payments PD           M,"1,412.40 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886510,Revenue,1MH40,Direct Payments PD           M,256.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886512,Revenue,1MH40,Direct Payments PD           M,406.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886515,Revenue,1MH40,Direct Payments PD           M,712.31 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886520,Revenue,1MG40,Direct Payments Elderly      M,542.40 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886527,Revenue,1MH40,Direct Payments PD           M,462.32 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886532,Revenue,1MK40,Direct Payments LD           M,256.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886536,Revenue,1MH40,Direct Payments PD           M,401.40 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886546,Revenue,1MK40,Direct Payments LD           M,275.20 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886563,Revenue,1MH40,Direct Payments PD           M,256.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886569,Revenue,1MK40,Direct Payments LD           M,535.00 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886576,Revenue,1MK40,Direct Payments LD           M,385.20 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886577,Revenue,1MK40,Direct Payments LD           M,307.72 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886578,Revenue,1MK40,Direct Payments LD           M,490.40 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886581,Revenue,1MG40,Direct Payments Elderly      M,351.60 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886514,Revenue,1MH40,Direct Payments PD           M,878.47 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886513,Revenue,1MH40,Direct Payments PD           M,"1,822.04 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886517,Revenue,1MH40,Direct Payments PD           M,805.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886568,Revenue,1MH40,Direct Payments PD           M,"3,965.12 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886608,Revenue,1MK40,Direct Payments LD           M,688.12 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886625,Revenue,1MK40,Direct Payments LD           M,783.00 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886641,Revenue,1MK40,Direct Payments LD           M,760.24 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886648,Revenue,1MH40,Direct Payments PD           M,"3,275.32 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886644,Revenue,1MK40,Direct Payments LD           M,802.16 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886645,Revenue,1MK40,Direct Payments LD           M,"1,198.40 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886614,Revenue,1MK40,Direct Payments LD           M,"3,552.40 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886602,Revenue,1MK40,Direct Payments LD           M,660.48 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886636,Revenue,1MG40,Direct Payments Elderly      M,614.04 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886647,Revenue,1MK40,Direct Payments LD           M,"5,390.60 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886593,Revenue,1MH40,Direct Payments PD           M,"1,284.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886623,Revenue,1MK40,Direct Payments LD           M,"8,980.54 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886642,Revenue,1MK40,Direct Payments LD           M,"1,369.60 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886628,Revenue,1MH40,Direct Payments PD           M,"1,800.20 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886655,Revenue,1MG40,Direct Payments Elderly      M,"1,754.80 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886596,Revenue,1MK40,Direct Payments LD           M,"1,600.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886661,Revenue,1MK40,Direct Payments LD           M,576.48 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886638,Revenue,1MK40,Direct Payments LD           M,"1,217.68 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886643,Revenue,1MK40,Direct Payments LD           M,"2,140.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886620,Revenue,1MH40,Direct Payments PD           M,684.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886605,Revenue,1MK40,Direct Payments LD           M,"4,912.40 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886663,Revenue,1MG40,Direct Payments Elderly      M,"1,326.80 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886659,Revenue,1MK40,Direct Payments LD           M,636.68 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886609,Revenue,1MH40,Direct Payments PD           M,856.28 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886610,Revenue,1MK40,Direct Payments LD           M,825.52 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886610,Revenue,1MK50,Ind Supported Living LD      M,821.40 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886604,Revenue,1MK40,Direct Payments LD           M,614.36 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886604,Revenue,3WH96,Continuing Care-Dom Payments M,614.40 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886592,Revenue,1MK40,Direct Payments LD           M,941.60 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886657,Revenue,1MH40,Direct Payments PD           M,"1,027.20 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886586,Revenue,1MG40,Direct Payments Elderly      M,"1,017.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886627,Revenue,1MH40,Direct Payments PD           M,"1,198.40 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886600,Revenue,1MK40,Direct Payments LD           M,"1,380.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886618,Revenue,1MH40,Direct Payments PD           M,932.32 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886618,Revenue,3WH96,Continuing Care-Dom Payments M,932.32 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886654,Revenue,1MH40,Direct Payments PD           M,513.60 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886589,Revenue,1MK40,Direct Payments LD           M,"1,968.80 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886626,Revenue,1MK40,Direct Payments LD           M,770.40 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886666,Revenue,1MH40,Direct Payments PD           M,184.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886666,Revenue,3WH96,Continuing Care-Dom Payments M,184.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886667,Revenue,1MH40,Direct Payments PD           M,"2,829.60 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886668,Revenue,1MK40,Direct Payments LD           M,607.12 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886670,Revenue,1MG40,Direct Payments Elderly      M,"1,583.60 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886671,Revenue,1MK40,Direct Payments LD           M,513.60 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886672,Revenue,1MG40,Direct Payments Elderly      M,"1,155.60 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886674,Revenue,1MM40,Direct Payments MH           M,986.16 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886682,Revenue,1MG40,Direct Payments Elderly      M,"1,155.60 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886684,Revenue,1MK40,Direct Payments LD           M,558.76 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886686,Revenue,1MH40,Direct Payments PD           M,874.76 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886690,Revenue,1MH40,Direct Payments PD           M,804.36 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886697,Revenue,1MK40,Direct Payments LD           M,"2,610.80 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886704,Revenue,1MK40,Direct Payments LD           M,"7,487.64 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886883,Revenue,1MG40,Direct Payments Elderly      M,"4,328.90 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886706,Revenue,1MG40,Direct Payments Elderly      M,984.40 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886709,Revenue,1MK40,Direct Payments LD           M,"1,198.40 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886718,Revenue,1MK40,Direct Payments LD           M,"1,334.32 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886725,Revenue,1MH40,Direct Payments PD           M,"3,851.24 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886726,Revenue,1MH40,Direct Payments PD           M,"2,252.84 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886727,Revenue,1MG40,Direct Payments Elderly      M,642.00 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886732,Revenue,1MK40,Direct Payments LD           M,"5,218.32 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886733,Revenue,1MK40,Direct Payments LD           M,"1,498.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886734,Revenue,1MG40,Direct Payments Elderly      M,"1,110.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886735,Revenue,1MK40,Direct Payments LD           M,684.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886737,Revenue,1MH40,Direct Payments PD           M,"4,750.04 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886740,Revenue,1MH40,Direct Payments PD           M,"1,171.80 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886741,Revenue,1MK40,Direct Payments LD           M,846.96 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886745,Revenue,1MK40,Direct Payments LD           M,"2,663.24 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886746,Revenue,1MK40,Direct Payments LD           M,"1,183.16 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886748,Revenue,1MK40,Direct Payments LD           M,504.92 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886750,Revenue,1MK40,Direct Payments LD           M,"2,661.68 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886751,Revenue,1MG40,Direct Payments Elderly      M,898.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886754,Revenue,1MK40,Direct Payments LD           M,595.76 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886756,Revenue,1MH40,Direct Payments PD           M,531.60 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886765,Revenue,1MK40,Direct Payments LD           M,721.80 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886768,Revenue,1MK40,Direct Payments LD           M,"1,452.88 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886774,Revenue,1MG40,Direct Payments Elderly      M,"2,781.16 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886774,Revenue,3WH96,Continuing Care-Dom Payments M,274.68 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886778,Revenue,1MK40,Direct Payments LD           M,"2,390.36 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886780,Revenue,1MK40,Direct Payments LD           M,848.20 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886782,Revenue,1MG40,Direct Payments Elderly      M,"2,125.76 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886789,Revenue,1MH40,Direct Payments PD           M,"2,593.32 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886789,Revenue,3WH96,Continuing Care-Dom Payments M,"2,593.36 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886790,Revenue,1MG40,Direct Payments Elderly      M,642.00 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886791,Revenue,1MK40,Direct Payments LD           M,"1,295.52 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886793,Revenue,1MG40,Direct Payments Elderly      M,"1,134.20 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5887167,Revenue,1MK34,Shared Lives - Adult LD      M,"1,540.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886795,Revenue,1MK40,Direct Payments LD           M,539.92 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886797,Revenue,1MK40,Direct Payments LD           M,591.20 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886799,Revenue,1MK40,Direct Payments LD           M,577.92 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886800,Revenue,1MK40,Direct Payments LD           M,"4,210.56 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886800,Revenue,3WH96,Continuing Care-Dom Payments M,"4,210.56 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886802,Revenue,1MK40,Direct Payments LD           M,"1,239.80 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886808,Revenue,1MG40,Direct Payments Elderly      M,689.20 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886809,Revenue,1MK40,Direct Payments LD           M,"1,989.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886810,Revenue,1MK40,Direct Payments LD           M,732.44 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886813,Revenue,1MK40,Direct Payments LD           M,952.72 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886817,Revenue,1MK40,Direct Payments LD           M,"2,803.64 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886824,Revenue,1MK40,Direct Payments LD           M,721.16 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886825,Revenue,1MH40,Direct Payments PD           M,796.96 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886833,Revenue,1MG40,Direct Payments Elderly      M,"1,198.40 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886834,Revenue,1MG40,Direct Payments Elderly      M,594.32 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886837,Revenue,1MK40,Direct Payments LD           M,460.16 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886839,Revenue,1MK40,Direct Payments LD           M,"1,187.84 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886847,Revenue,1MH40,Direct Payments PD           M,608.96 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886853,Revenue,1MH40,Direct Payments PD           M,723.20 ,,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886858,Revenue,1MG40,Direct Payments Elderly      M,"1,012.00 ",,,,,,,,,,,,
Adult & Culture,Social Services-Carefirst              ,Third Party Payments,21/05/2013,Redacted Personal Data,5886881,Revenue,1MG40,Direct Payments Elderly      M,561.44 ,,,,,,,,,,,,
