UK Fig 6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Availability of NGA networks: end 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of households (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,UK,UK,FRA,FRA,GER,GER,GER,ITA,ITA,USA,USA,USA,CAN,CAN,JPN,AUS,AUS,ESP,ESP,NED,NED,NED,SWE,POL,POL,POL,BRA,BRA,BRA,RUS,IND,IND,CHN,
2007,65,19,23,37,577.2,10,0,15,10,6,6,8,39,,,,,,,,,,,,,,,,,,,,,
2012,172,183,59,96,2190,97,0,28,6,8,17,12,53,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Includes SMS and MMS messages. MMS messaging volume figures were not available for Italy, Australia and the Netherlands. Figures for the US include other forms of mobile text messaging than SMS and are not directly comparable to those for the other comparator countries. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile connections: 2007 and 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,
2007,74,55,97,90,257,20,101,22,50,20,11,5,41,121,174,234,532,,,,,,,,,,,,,,,,,
2012,84,73,113,98,326,28,129,31,53,21,15,6,54,262,231,865,1112,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mobile connections, by type: 2007 and 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,,FRA,,GER,,ITA,,USA,,CAN,,JPN,,AUS,,ESP,,NED,,SWE,,IRL,,POL,,BRA,,RUS,,IND,,CHN,
,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012,2007,2012
Pre-pay,48,40,19,18,53,60,80,79,44,41,4,4,2,1,10,12,21,18,11,5,5,5,4,3,27,29,98,211,155,220,208,830,366,723
Post-pay,27,43,36,55,44,53,9,18,213,285,16,24,98,128,11,19,30,35,8,16,6,10,1,2,15,25,23,51,19,10,26,35,165,389
Total,74,84,55,73,97,113,90,98,257,326,20,28,101,129,22,31,50,53,20,21,11,15,5,6,41,54,121,262,174,231,234,865,532,1112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Herfindahl-Hirschman index of mobile concentration: 2007 and 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,
2007,2015,3729,2986,3113,1988,3003,3967,3231,3542,3643,3374,3372,3206,2235,2172,1588,5444,,,,,,,,,,,,,,,,,
2012,3135,3038,2660,2871,2421,2650,3632,3598,3025,3637,3031,2844,2534,2543,2397,1060,4673,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile broadband as a proportion of total mobile connections: 2009 and 2012  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,,
2009,5.1,3.4,3,4.4,3.2,8.6,0,3.6,2.6,10.8,8.6,4.6,,,,,,,,,,,,,,,,,,,,,,
2012,6,4.7,4.8,8.8,4.7,10.6,11,4.7,5.7,14.3,9.5,7.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total per-capita telecoms service revenue: 2007 to 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,718,761,780,790,791,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,766,728,719,717,735,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,565,588,607,621,630,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,577,589,580,588,604,605,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,450,454,448,441,440,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,449,465,464,465,448,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,437,429,415,417,409,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,395,390,381,371,360,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,465,466,473,485,493,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,472,483,481,489,501,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,612,610,544,514,493,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,443,445,424,405,385,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,136,148,154,153,156,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,100,118,119,129,130,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,142,146,143,140,136,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,47,49,49,52,55,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,7,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Includes spend by businesses, and is therefore not representative of average consumer spend. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regular use of fixed and mobile telephony services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed-only,8,12,10,7,14,11,12,5,4,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed and mobile,68,60,70,62,40,44,54,64,42,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile-only,17,17,12,23,30,29,24,21,32,,,,,,,,,,,,,,,,,,,,,,,,,
Neither,7,11,7,8,16,16,10,10,23,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, September 2013 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average per-capita fixed voice revenue: 2007 to 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per capita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,284,272,254,233,214,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,229,223,215,201,191,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,222,212,188,174,163,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,210,195,181,168,154,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,170,165,154,149,140,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,168,156,143,132,120,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,145,135,125,114,107,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,145,132,113,101,87,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,217,216,194,180,167,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,184,167,160,148,134,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,147,137,127,125,116,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,126,122,111,100,93,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,70,73,71,66,63,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,36,38,38,39,37,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,43,38,36,30,26,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,15,13,10,9,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,3,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average cost of a fixed voice call minute: 2007 to 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pence per minute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,24,25,25,29,30,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,31,32,32,31,31,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,8,9,9,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,10,11,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,7,7,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,8,8,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,7,6,6,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,9,8,7,6,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,10,11,11,11,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,9,9,9,10,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,6,6,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,7,7,8,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,6,7,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,8,8,8,7,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,,7,7,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly fixed voice call minutes per head: 2007 to 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,201,202,201,197,187,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,135,140,141,143,142,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,203,190,171,164,147,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,223,194,166,148,136,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,142,139,132,125,112,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,76,70,65,62,57,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,73,66,61,48,43,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,182,175,174,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,258,238,204,183,163,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,125,122,119,116,114,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,134,124,115,110,107,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,176,168,149,131,119,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,,105,98,99,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,93,92,93,90,76,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,53,45,38,35,32,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,,15,13,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Household take-up and personal use of fixed telephony services ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,,,,,,
Landline at home,83,79,82,73,53,69,71,83,53,,,,,,,,,,,,,,,,,,,,,,,,,
Regularly use a landline,69,72,81,66,50,45,58,75,43,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage point difference,-14,-7,-1,-7,-3,-24,-13,-8,-10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, September 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All respondents ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.46 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed telephony lines per 100 population: 2007 and 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lines per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,BRA,RUS,IND,CHN,,,,,,,,,,,,,,,,,
2007,56,45,65,37,52,58,46,51,44,47,70,47,27,21,32,3,28,,,,,,,,,,,,,,,,,
2012,53,27,48,26,44,51,30,46,40,23,55,35,14,22,30,3,21,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of fixed broadband users who regularly use their connection to make voice calls ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of broadband users (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,FRA,GER,ITA,USA,JPN,AUS,ESP,CHN,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,12,27,10,15,17,17,26,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom research, September 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All those with a fixed broadband connection ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband availability: 2007 and 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population coverage (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,
2007,100,99,96,94,96,93,98,91,91,99,98,89,64,,,,,,,,,,,,,,,,,,,,,
2012,100,100,99,97,99,99,100,93,99,100,99,99,82,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average per-capita fixed broadband revenue: 2007 to 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,108,119,130,139,149,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,82,88,97,105,112,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,64,81,96,105,109,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,65,71,78,86,97,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,73,87,93,94,95,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,45,50,54,57,59,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,48,50,52,50,54,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,44,50,53,56,58,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,87,94,106,114,122,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,82,89,90,87,87,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,41,45,46,52,56,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,51,57,59,61,58,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,12,13,15,16,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband connections per 100 population: 2007 to 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,25,28,31,33,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,24,28,31,33,34,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,25,28,29,31,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,27,29,31,32,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,22,24,25,27,29,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,23,25,26,27,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,22,25,25,26,26,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,17,19,20,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,35,37,39,40,40,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,30,32,32,33,33,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,18,20,21,23,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,17,20,21,22,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,4,6,11,14,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,11,12,13,14,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,5,6,8,9,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,4,5,6,7,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE / industry data / Ofcom ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2G, 3G and LTE mobile network availability: end of 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population coverage (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,CAN,JPN,AUS,ESP,NED,SWE,IRL,POL,,,,,,,,,,,,,,,,,,,,,
2G,100,100,99,100,100,99,100,99,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,
3G,99.1,98.7,90,97.5,93,99,100,99.3,97.9,99,100,94.6,69,,,,,,,,,,,,,,,,,,,,,
LTE,17,6,59,0,91,72,70,40,0,0,93,0,50,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IDATE ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Fig 6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average per-capita monthly retail mobile revenue: 2007 to 2012 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
£ per month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007,2008,2009,2010,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,30,33,36,39,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
