Supplier payments over £250 in April 2014,,,,,,,,
Body Name,Date,Transaction No.,Amount,Supplier Name,Expense Area,Expense Type,Expense Code,Service Area
South Lakeland District Council,01/04/2014,40304,10988.96,SOUTH LAKES HOUSING (CHAPS),Debtors,Payments to ALMO,XDR1215147,Non-Service Payments
South Lakeland District Council,30/04/2014,40305,3777.5,LAKE DISTRICT NATIONAL PARK AUTHORITY,Social Enterprise Admin,Other Local Authorities,GLC9115257,Central Services
South Lakeland District Council,23/04/2014,40306,915.19,IT PROFESSIONAL SERVICES (ITPS),ICT Group,Telephones-Rentals,ERI3214682,Central Services
South Lakeland District Council,23/04/2014,40306,564.5,IT PROFESSIONAL SERVICES (ITPS),ICT Group,General,ZHD0998021,SLDC as Agent
South Lakeland District Council,30/04/2014,40308,639,ALPHATEC P.F.E,Printing Section,Equipment-Service Contracts,ERP3314173,Central Services
South Lakeland District Council,30/04/2014,40310,564,MARGARET BARROW INTERIORS LTD T/A MBI,Customer Services,Equipment Furniture Materials,EPX0114170,Central Services
South Lakeland District Council,01/04/2014,40315,400,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),Social Enterprise Admin,Fuel,GGK8213131,Highways & Transport Services
South Lakeland District Council,23/04/2014,40316,2319.43,SOUTH LAKES HOUSING RENT A/C,Debtors,Payments to ALMO,XDR1215147,Non-Service Payments
South Lakeland District Council,28/04/2014,40317,805,L BARKER LTD,Car Parks,NPS Day to Day maintenance,GCK9612091,Highways & Transport Services
South Lakeland District Council,28/04/2014,40318,953.61,EMERSON NETWORK POWER LTD,Leisure Centres (incl Pools),NPS Service Contracts,GLE1112093,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,40320,464,HUSSEY SEATWAY LTD,Leisure Centres (incl Pools),NPS Service Contracts,GLE1112093,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,40321,292.5,R G PARKINS & PARTNERS LTD,Town Centre Projects,NPS Day to Day maintenance,GPJ4212091,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,40323,800.1,BADENOCH & CLARK,Revenues and Benefits,Contract & Agency staff,ERB4211160,Central Services
South Lakeland District Council,28/04/2014,40324,771.14,GROWING CONCERNS LANDSCAPING,Environment and Housing,Handy Person Scheme,GSH7014912,Housing Services
South Lakeland District Council,28/04/2014,40325,3191.43,CONTINENTAL LANDSCAPES LTD,Environmental Protection,Gravedigging,GCM0112015,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40326,905.3,HFX LIMITED,Human Resources,Stationery/Office Supplies,ECH6114421,Central Services
South Lakeland District Council,30/04/2014,40327,2200,JONATHAN B JACKSON LTD,Lake Wardens,Other Consultants,GLW4114556,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40338,751,DENNIS EAGLE LTD,Business Support Community Services,Purchase of Vehicles,KSC9123101,Central Services
South Lakeland District Council,30/04/2014,40340,1148.4,BRIAN ARMISTEAD LTD T/A SINKFALL RECYCLI,Business Support Community Services,Tipping & Disposal Charges,SWK1314573,Internal Trading Accounts
South Lakeland District Council,28/04/2014,40341,4000,CINNAMON CREATIVE EVENTS,Development Implementation,Event Expenses,GPO0114914,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,40343,2137.43,ROYAL MAIL GROUP PLC,Revenues and Benefits,General,ZHD1198021,SLDC as Agent
South Lakeland District Council,28/04/2014,40345,3489,TAMESIDE METROPOLITAN BOROUGH,Revenues and Benefits,Subscriptions to Associations,ERB4214864,Central Services
South Lakeland District Council,01/04/2014,40350,583.28,BARCLAYS HMG PROCUREMENT CARD (NCR),Car Park Enforcement,Protective Clothing & Uniforms,GGK8214310,Highways & Transport Services
South Lakeland District Council,01/04/2014,40353,283.71,BARCLAYS HMG PROCUREMENT CARD (NCR),Markets,Cleaning Supplies & Services,GMK4112600,External Trading Accounts
South Lakeland District Council,01/04/2014,40354,400,BARCLAYS HMG PROCUREMENT CARD (NCR),Community Services,Microfilming & Scanning,EUN7614428,Central Services
South Lakeland District Council,30/04/2014,40362,720,Open Spaces Ltd,Research and Intelligence,Contract & Agency staff,EXS2111160,Central Services
South Lakeland District Council,28/04/2014,40364,973.76,VENN GROUP RECRUITMENT SOLUTIONS,Financial Services,Contract & Agency staff,EFS2111160,Central Services
South Lakeland District Council,30/04/2014,40365,643.61,Masterstaff Limited,Business Support Community Services,Contract & Agency staff,SWK1311160,Internal Trading Accounts
South Lakeland District Council,30/04/2014,40367,275.01,BUILDERS SUPPLY CO (KENDAL) LTD,Policy & Partnerships,Contributions to Organisations,GCG3214863,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,40368,500,ULVERSTON TOWN COUNCIL,Policy & Partnerships,Contributions to Organisations,GCG3214863,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,28/04/2014,40370,15722.25,MOUCHEL LTD,Social Enterprise Admin,Equipment Furniture Materials,GGK8214170,Highways & Transport Services
South Lakeland District Council,28/04/2014,40371,400,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,28/04/2014,40372,400,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,28/04/2014,40373,2900,ARB CONSULTANTS LTD,Social Enterprise Admin,Hired Services,GPK6115611,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40374,1138.2,NTG Consultants,Human Resources,Other Consultants,ECH6114556,Central Services
South Lakeland District Council,30/04/2014,40381,999,CABLE & WIRELESS UK (VODAFONE),ICT Group,Computer-Phone Lines,ERI3214690,Central Services
South Lakeland District Council,30/04/2014,40383,900,AMBLESIDE TREE SERVICES LTD,Car Parks,Car Park Surfaces,GCK2612010,Highways & Transport Services
South Lakeland District Council,28/04/2014,40387,480,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,28/04/2014,40389,715.7,IMPACT HOUSING ASSOCIATION LTD,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,28/04/2014,40390,480,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,28/04/2014,40391,400,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,01/04/2014,40392,261.24,ALLPAY.NET LTD (NCR),Bank Charges,Commission,GTV4114591,Central Services
South Lakeland District Council,28/04/2014,40393,475,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,28/04/2014,40394,500,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,28/04/2014,40395,600,Landlord,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
South Lakeland District Council,01/04/2014,40396,563.04,ALLPAY.NET LTD (NCR),Bank Charges,Commission,GTV4114591,Central Services
South Lakeland District Council,01/04/2014,40400,1306.21,CAPITA BUSINESS SERVICES LTD (NCR),Bank Charges,Commission,GTV4114591,Central Services
South Lakeland District Council,01/04/2014,40403,340,BARCLAYS HMG PROCUREMENT CARD (NCR),Community Services,Training Costs,EUN7311246,Central Services
South Lakeland District Council,01/04/2014,40407,618.31,BARCLAYS HMG PROCUREMENT CARD (NCR),Public Halls,Equipment Furniture Materials,GPH8214170,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40409,279,MERITEC LTD,Revenues and Benefits,Contract & Agency staff,ERB4211160,Central Services
South Lakeland District Council,30/04/2014,40410,418.5,MERITEC LTD,Revenues and Benefits,Contract & Agency staff,ERB4211160,Central Services
South Lakeland District Council,30/04/2014,40414,453,DORMA UK LTD,Public Halls,NPS Service Contracts,GPH8112093,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40416,370,IHBC Enterprises Ltd,Development Implementation,Training Costs,GCV5111246,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40421,264,ST JOHN AMBULANCE CUMBRIA,Coronation Hall,Contract & Agency staff,GPH8211160,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40424,768,DIXON PRINTING CO LTD,Printing Section,Paper Supplies,ERP3314423,Central Services
South Lakeland District Council,30/04/2014,40430,663.1,SETON,Sundry Properties,Unforseen Mtce Infrastructure,GSY1312020,External Trading Accounts
South Lakeland District Council,30/04/2014,40434,325,Aqua Enviro Technology Transfer,Business Support Community Services,Training Costs,EUN7311246,Central Services
South Lakeland District Council,30/04/2014,40435,12050,CHRYSTAL CONSULTING LTD,Business Support Community Services,Purchase of Vehicles,KSC9123101,Central Services
South Lakeland District Council,30/04/2014,40440,3500,South Lakeland Hydrotherapy Trust Ltd,Policy & Partnerships,Grants & Contribut to Vol Orga,GCG3115460,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40442,800.1,BADENOCH & CLARK,Revenues and Benefits,Contract & Agency staff,ERB4211160,Central Services
South Lakeland District Council,30/04/2014,40443,570,BADENOCH & CLARK,Revenues and Benefits,Contract & Agency staff,ERB4211160,Central Services
South Lakeland District Council,30/04/2014,40445,833.4,Matchtech,Development Strategy,Contract & Agency staff,GLP3111160,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40446,1559.61,ROYAL MAIL GROUP PLC,Revenues and Benefits,General,ZHD1198021,SLDC as Agent
South Lakeland District Council,30/04/2014,40447,720,Open Spaces Ltd,Research and Intelligence,Contract & Agency staff,EXS2111160,Central Services
South Lakeland District Council,01/04/2014,40456,6355.16,British Gas Trading Ltd (DD),Leisure Trust Account,Gas,ZLL0212152,SLDC as Agent
South Lakeland District Council,01/04/2014,40457,781.69,British Gas Trading Ltd (DD),Offices,Gas,EPX0112152,Central Services
South Lakeland District Council,01/04/2014,40457,706.28,British Gas Trading Ltd (DD),Offices,Gas,EPX0512152,Central Services
South Lakeland District Council,01/04/2014,40457,883.5,British Gas Trading Ltd (DD),SLDC Depots,Gas,GDY1112152,Transport Planning Policy
South Lakeland District Council,01/04/2014,40457,655.69,British Gas Trading Ltd (DD),SLDC Depots,Gas,GDY1212152,Transport Planning Policy
South Lakeland District Council,01/04/2014,40457,960.56,British Gas Trading Ltd (DD),Town View Field Hostel,Gas,GHL7212152,Housing Services
South Lakeland District Council,01/04/2014,40457,688.03,British Gas Trading Ltd (DD),Markets,Gas,GMK4112152,External Trading Accounts
South Lakeland District Council,01/04/2014,40457,1103.53,British Gas Trading Ltd (DD),Markets,Gas,GMK4212152,External Trading Accounts
South Lakeland District Council,01/04/2014,40457,1501.71,British Gas Trading Ltd (DD),Public Halls,Gas,GPH8112152,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,01/04/2014,40457,1768.9,British Gas Trading Ltd (DD),Public Halls,Gas,GPH8212152,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,01/04/2014,40457,1539.6,British Gas Trading Ltd (DD),Leisure Trust Account,Gas,ZLL0212152,SLDC as Agent
South Lakeland District Council,01/04/2014,40465,8883.33,SOUTH LAKES HOUSING (CHAPS),Debtors,Payments to ALMO,XDR1215147,Non-Service Payments
South Lakeland District Council,01/04/2014,40468,305.1,BARCLAYS HMG PROCUREMENT CARD (NCR),Customer Services,Stationery/Office Supplies,ECU4314421,Central Services
South Lakeland District Council,30/04/2014,40470,1481.48,MORGAN HUNT UK LIMITED,Development Strategy,Contract & Agency staff,GHM1111160,Housing Services
South Lakeland District Council,30/04/2014,40471,1237.28,MORGAN HUNT UK LIMITED,Development Strategy,Contract & Agency staff,GHM1111160,Housing Services
South Lakeland District Council,30/04/2014,40472,1546.6,MORGAN HUNT UK LIMITED,Development Strategy,Contract & Agency staff,GHM1111160,Housing Services
South Lakeland District Council,01/04/2014,40475,390,BARCLAYS HMG PROCUREMENT CARD (NCR),Lake Windermere,Legal & Counsels Fees,GLW4114530,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,01/04/2014,40475,1750,BARCLAYS HMG PROCUREMENT CARD (NCR),Public Halls,Equipment Furniture Materials,GPH8214170,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40476,500,MASON OWEN PROPERTY CONSULTANTS,Development Implementation,NPS - Property Works,ECC7815593,Central Services
South Lakeland District Council,01/04/2014,40477,1000,BARCLAYS HMG PROCUREMENT CARD (NCR),Transport,MOT/Servicing Costs,STS4013137,Internal Trading Accounts
South Lakeland District Council,01/04/2014,40478,361,HM LAND REGISTRY (DD),"Legal, Democratic and Members",Land Search Fees,ECL4314565,Central Services
South Lakeland District Council,30/04/2014,40480,5452.25,SOUTH LAKES HOUSING RENT A/C,Debtors,Payments to ALMO,XDR1215147,Non-Service Payments
South Lakeland District Council,30/04/2014,40481,650.96,Masterstaff Limited,Business Support Community Services,Contract & Agency staff,SWK1311160,Internal Trading Accounts
South Lakeland District Council,30/04/2014,40482,821.03,Masterstaff Limited,Business Support Community Services,Contract & Agency staff,SWK1311160,Internal Trading Accounts
South Lakeland District Council,30/04/2014,40483,2293.47,Masterstaff Limited,Business Support Community Services,Contract & Agency staff,SWK1311160,Internal Trading Accounts
South Lakeland District Council,30/04/2014,40484,4800,PatronBase (UK) Partners Ltd,Coronation Hall,Software Maintenance,GPH8214694,Cultural Environmental Regulatory & Planning Services
South Lakeland District Council,30/04/2014,40485,907,FREIGHT TRANSPORT ASSOCIATION,Business Support Community Services,Subscriptions to Associations,STS4014864,Internal Trading Accounts
South Lakeland District Council,30/04/2014,40487,692.28,VENN GROUP RECRUITMENT SOLUTIONS,Financial Services,Contract & Agency staff,EFS2111160,Central Services
South Lakeland District Council,30/04/2014,40488,940,Mint Homes,Business Support Community Services,Homelessness Prevention,GHM1214918,Housing Services
