Newcastle City Council Invoices over £250 paid in August 2013,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",27/08/2013,LINDISFARNE N H,5983813,Revenue,1MG20,Ind Res Care Elderly,-975.96 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,LINDISFARNE N H,5983813,Revenue,1MG10,Ind Nursing Care Elderly,"1,824.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,LINDISFARNE N H,5983813,Revenue,1MG20,Ind Res Care Elderly,"3,464.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",27/08/2013,LINKAGE COMMUNITY TRUST,5983801,Revenue,1MK20,Ind Res Care LD,-347.80 ,,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,27/08/2013,LINKAGE COMMUNITY TRUST,5983801,Revenue,1MK20,Ind Res Care LD,"2,244.40 ",,,,,,,,,,,
Children's Services,Childrens Services Support       ,Supplies & Services,29/08/2013,LION PRESENTATION LTD,5986650,Revenue,1MB04,Childrens Standards Unit,330.00 ,,,,,,,,,,,
Children's Services,Childrens Stationery       ,Supplies & Services,19/08/2013,LION PRESENTATION LTD,5976324,Revenue,1E31P,General Admin Pool Children S,309.00 ,,,,,,,,,,,
Environment & Regeneration,Walker Activity Dome       ,Supplies & Services,02/08/2013,LISA SAXTON,5960357,Revenue,1KL2D,Walker Activity Dome,501.12 ,,,,,,,,,,,
Environment & Regeneration,E&R Raising Participation        ,Supplies & Services,02/08/2013,LISA SAXTON,5960363,Revenue,1KLFA,Getting Ncle Active - Staff,450.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Supplies & Services,21/08/2013,LITTLE ANGELS,5977591,Revenue,1EEP5,2Yr Old Learning & Childcare,291.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Supplies & Services,21/08/2013,LITTLE ANGELS,5977595,Revenue,1EEP5,2Yr Old Learning & Childcare,291.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Supplies & Services,21/08/2013,LITTLE ANGELS,5977597,Revenue,1EEP5,2Yr Old Learning & Childcare,291.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Supplies & Services,21/08/2013,LITTLE ANGELS,5977598,Revenue,1EEP5,2Yr Old Learning & Childcare,339.50 ,,,,,,,,,,,
Children's Services,Educ School Planning    ,Supplies & Services,30/08/2013,LITTLE ANGELS,5985569,Revenue,1EEP5,2Yr Old Learning & Childcare,"3,819.38 ",,,,,,,,,,,
Children's Services,Educ School Planning    ,Supplies & Services,30/08/2013,LITTLE BEARS CHILDRENS DAY NURSERY,5986523,Revenue,1EEP5,2Yr Old Learning & Childcare,"1,370.13 ",,,,,,,,,,,
Children's Services,Int Childhood Services     ,Supplies & Services,19/08/2013,LITTLE LEARNERS (NE),5976374,Revenue,1EEP5,2Yr Old Learning & Childcare,698.40 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Supplies & Services,19/08/2013,LITTLE LEARNERS (NE),5976394,Revenue,1EEP5,2Yr Old Learning & Childcare,989.40 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Supplies & Services,19/08/2013,LITTLE LEARNERS (NE),5976538,Revenue,1EEP5,2Yr Old Learning & Childcare,873.00 ,,,,,,,,,,,
Children's Services,Int Childhood Services     ,Supplies & Services,19/08/2013,LITTLE LEARNERS (NE),5976758,Revenue,1EEP5,2Yr Old Learning & Childcare,"1,164.00 ",,,,,,,,,,,
Children's Services,Educ School Planning    ,Supplies & Services,30/08/2013,LITTLE LEARNERS (NE),5986524,Revenue,1EEP5,2Yr Old Learning & Childcare,"5,565.38 ",,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,09/08/2013,LLOYD DRILLING LTD,5964934,Revenue,1KVEM,Mechanical Stand Alone Works,"1,892.00 ",,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,20/08/2013,LLOYD DRILLING LTD,5968114,Revenue,1KVWC,Minor Works Contracts,265.00 ,,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,14/08/2013,LLOYD DRILLING LTD,5971482,Revenue,1KVEM,Mechanical Stand Alone Works,"3,816.00 ",,,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,19/08/2013,LLOYD WORRALL LTD,5974867,Revenue,3KIMD,Other Stores Stock Account,470.50 ,,,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,23/08/2013,LLOYD WORRALL LTD,5978979,Revenue,3KIMD,Other Stores Stock Account,419.90 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,19/08/2013,LLOYD WORRALL LTD,5964108,Revenue,3KIMD,Other Stores Stock Account,878.61 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,19/08/2013,LLOYD WORRALL LTD,5974866,Revenue,3KIMD,Other Stores Stock Account,374.42 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,23/08/2013,LLOYD WORRALL LTD,5978977,Revenue,3KIMD,Other Stores Stock Account,915.16 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,23/08/2013,LLOYD WORRALL LTD,5978981,Revenue,3KIMD,Other Stores Stock Account,528.20 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,27/08/2013,LLOYD WORRALL LTD,5979072,Revenue,3KIMD,Other Stores Stock Account,317.15 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,15/08/2013,LLOYD WORRALL LTD,5967898,Revenue,3KIMD,Other Stores Stock Account,276.40 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,15/08/2013,LLOYD WORRALL LTD,5967899,Revenue,3KIMD,Other Stores Stock Account,476.24 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,15/08/2013,LLOYD WORRALL LTD,5967900,Revenue,3KIMD,Other Stores Stock Account,454.50 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,15/08/2013,LLOYD WORRALL LTD,5972015,Revenue,3KIMD,Other Stores Stock Account,785.59 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,15/08/2013,LLOYD WORRALL LTD,5972030,Revenue,3KIMD,Other Stores Stock Account,915.08 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,13/08/2013,LLOYD WORRALL LTD,5967906,Revenue,3KIMD,Other Stores Stock Account,983.15 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,13/08/2013,LLOYD WORRALL LTD,5967927,Revenue,3KIMD,Other Stores Stock Account,846.16 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,13/08/2013,LLOYD WORRALL LTD,5967931,Revenue,3KIMD,Other Stores Stock Account,"1,571.73 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/08/2013,LLOYD WORRALL LTD,5930732,Revenue,3KIMD,Other Stores Stock Account,"1,586.49 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/08/2013,LLOYD WORRALL LTD,5957282,Revenue,3KIMD,Other Stores Stock Account,300.80 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/08/2013,LLOYD WORRALL LTD,5957285,Revenue,3KIMD,Other Stores Stock Account,742.05 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/08/2013,LLOYD WORRALL LTD,5957287,Revenue,3KIMD,Other Stores Stock Account,812.15 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/08/2013,LLOYD WORRALL LTD,5957289,Revenue,3KIMD,Other Stores Stock Account,509.00 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/08/2013,LLOYD WORRALL LTD,5957292,Revenue,3KIMD,Other Stores Stock Account,691.20 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/08/2013,LLOYD WORRALL LTD,5957294,Revenue,3KIMD,Other Stores Stock Account,293.80 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/08/2013,LLOYD WORRALL LTD,5957296,Revenue,3KIMD,Other Stores Stock Account,"1,188.94 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/08/2013,LLOYD WORRALL LTD,5957300,Revenue,3KIMD,Other Stores Stock Account,261.60 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,08/08/2013,LLOYD WORRALL LTD,5910101,Revenue,3KIMD,Other Stores Stock Account,350.28 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LLOYD WORRALL LTD,5978965,Revenue,3KIMD,Other Stores Stock Account,560.70 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LLOYD WORRALL LTD,5978966,Revenue,3KIMD,Other Stores Stock Account,431.60 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LLOYD WORRALL LTD,5978967,Revenue,3KIMD,Other Stores Stock Account,668.22 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LLOYD WORRALL LTD,5978969,Revenue,3KIMD,Other Stores Stock Account,"1,119.29 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LLOYD WORRALL LTD,5978970,Revenue,3KIMD,Other Stores Stock Account,846.42 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LLOYD WORRALL LTD,5978971,Revenue,3KIMD,Other Stores Stock Account,839.34 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LLOYD WORRALL LTD,5978974,Revenue,3KIMD,Other Stores Stock Account,273.00 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LLOYD WORRALL LTD,5979047,Revenue,1KR8C,Door Entry & CCTV,500.00 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LLOYD WORRALL LTD,5979060,Revenue,3KIMD,Other Stores Stock Account,330.05 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,15/08/2013,LLOYD WORRALL LTD,5972016,Revenue,1KEMC,Highways,432.50 ,,,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,21/08/2013,LLOYD WORRALL LTD,5979051,Revenue,3KIMD,Other Stores Stock Account,302.02 ,,,,,,,,,,,
Children's Services,Invoice,Supplies & Services,09/08/2013,LLOYD WORRALL LTD,5965004,Revenue,3KIMD,Other Stores Stock Account,350.28 ,,,,,,,,,,,
Children's Services,Invoice,Supplies & Services,01/08/2013,LLOYD WORRALL LTD,5957298,Revenue,3KIMD,Other Stores Stock Account,365.55 ,,,,,,,,,,,
Children's Services,Invoice,Supplies & Services,15/08/2013,LLOYDS BRITISH TESTING CO LTD,5973591,Revenue,1KVEM,Mechanical Stand Alone Works,"1,679.75 ",,,,,,,,,,,
Chief Executive's,CD - Registrars                  ,Employees,27/08/2013,LOCAL REGISTRATION SERVICES ASSOCIATION,5981401,Revenue,1FA53,Reg of Births Deaths & Margs,"1,125.00 ",,,,,,,,,,,
Chief Executive's,CD - Registrars                  ,Employees,23/08/2013,LOCAL REGISTRATION SERVICES ASSOCIATION,5979440,Revenue,1FA53,Reg of Births Deaths & Margs,750.00 ,,,,,,,,,,,
Environment & Regeneration,Cityworks Parks & C/side   ,Premises,12/08/2013,LOGIC STREET AND PARK SCENE,5963969,Revenue,1KL6D,Nuns Moor Park,728.80 ,,,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,22/08/2013,LONDONDERRY GARAGE LTD,5965472,Revenue,1KESA,Heavy Workshop Routine Repair,913.90 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,19/08/2013,LONGBENTON PLUMB CENTRE,5975191,Revenue,3KIMD,Other Stores Stock Account,"1,718.15 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,27/08/2013,LONGBENTON PLUMB CENTRE,5982926,Revenue,3KIMD,Other Stores Stock Account,494.60 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,15/08/2013,LONGBENTON PLUMB CENTRE,5966152,Revenue,3KIMD,Other Stores Stock Account,252.29 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,22/08/2013,LONGBENTON PLUMB CENTRE,5965625,Revenue,3KIMD,Other Stores Stock Account,254.88 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LONGBENTON PLUMB CENTRE,5890222,Revenue,3KIMD,Other Stores Stock Account,571.80 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LONGBENTON PLUMB CENTRE,5929497,Revenue,3KIMD,Other Stores Stock Account,652.60 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LONGBENTON PLUMB CENTRE,5965634,Revenue,3KIMD,Other Stores Stock Account,340.00 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,21/08/2013,LONGBENTON PLUMB CENTRE,5979716,Revenue,3KIMD,Other Stores Stock Account,430.35 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,02/08/2013,LONGBENTON PLUMB CENTRE,5948412,Revenue,3KIMD,Other Stores Stock Account,452.62 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,02/08/2013,LONGBENTON PLUMB CENTRE,5950812,Revenue,3KIMD,Other Stores Stock Account,"1,814.02 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,30/08/2013,LONGBENTON PLUMB CENTRE,5964670,Revenue,3KIMD,Other Stores Stock Account,365.00 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,30/08/2013,LONGBENTON PLUMB CENTRE,5964672,Revenue,3KIMD,Other Stores Stock Account,296.60 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,30/08/2013,LONGBENTON PLUMB CENTRE,5964675,Revenue,3KIMD,Other Stores Stock Account,935.30 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,30/08/2013,LONGBENTON PLUMB CENTRE,5964676,Revenue,3KIMD,Other Stores Stock Account,717.23 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,30/08/2013,LONGBENTON PLUMB CENTRE,5964680,Revenue,3KIMD,Other Stores Stock Account,479.40 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,30/08/2013,LONGBENTON PLUMB CENTRE,5980298,Revenue,3KIMD,Other Stores Stock Account,"1,176.50 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,30/08/2013,LONGBENTON PLUMB CENTRE,5987259,Revenue,3KIMD,Other Stores Stock Account,"1,335.72 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,12/08/2013,LONGBENTON PLUMB CENTRE,5925825,Revenue,3KIMD,Other Stores Stock Account,660.43 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,12/08/2013,LONGBENTON PLUMB CENTRE,5929763,Revenue,3KIMD,Other Stores Stock Account,624.48 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,12/08/2013,LONGBENTON PLUMB CENTRE,5964691,Revenue,3KIMD,Other Stores Stock Account,"1,062.55 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/08/2013,LONGBENTON PLUMB CENTRE,5950758,Revenue,3KIMD,Other Stores Stock Account,295.44 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,01/08/2013,LONGBENTON PLUMB CENTRE,5950759,Revenue,1KR1W,Response West,847.65 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,23/08/2013,LONGBENTON PLUMB CENTRE,5927342,Revenue,3KIMD,Other Stores Stock Account,"2,530.50 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,23/08/2013,LONGBENTON PLUMB CENTRE,5965626,Revenue,3KIMD,Other Stores Stock Account,546.84 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,23/08/2013,LONGBENTON PLUMB CENTRE,5965627,Revenue,3KIMD,Other Stores Stock Account,484.22 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,07/08/2013,LONGBENTON PLUMB CENTRE,5948402,Revenue,3KIMD,Other Stores Stock Account,257.19 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,07/08/2013,LONGBENTON PLUMB CENTRE,5950784,Revenue,3KIMD,Other Stores Stock Account,342.04 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,14/08/2013,LONGBENTON PLUMB CENTRE,5964686,Revenue,3KIMD,Other Stores Stock Account,384.00 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,14/08/2013,LONGBENTON PLUMB CENTRE,5964689,Revenue,3KIMD,Other Stores Stock Account,744.34 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,14/08/2013,LONGBENTON PLUMB CENTRE,5965789,Revenue,3KIMD,Other Stores Stock Account,943.10 ,,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,16/08/2013,LONGBENTON PLUMB CENTRE,5965632,Revenue,3KIMD,Other Stores Stock Account,"1,293.63 ",,,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,28/08/2013,LONGBENTON PLUMB CENTRE,5984874,Revenue,3KIMD,Other Stores Stock Account,268.14 ,,,,,,,,,,,
Children's Services,Comm & Learner Funding     ,Supplies & Services,12/08/2013,LOOKWIDE,5965823,Revenue,1E864,Commissioning & Learning Fund,"3,880.00 ",,,,,,,,,,,
Environment & Regeneration,Allendale Building                     ,Supplies & Services,15/08/2013,LORD HIRE CENTRES,5967984,Revenue,3KIMD,Other Stores Stock Account,290.51 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Premises,27/08/2013,LORD HIRE CENTRES,5975779,Revenue,1KEMC,Highways,304.22 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,27/08/2013,LORD HIRE CENTRES,5975738,Revenue,1KEMC,Highways,386.24 ,,,,,,,,,,,
Children's Services,Invoice,Supplies & Services,02/08/2013,LORD HIRE CENTRES,5950514,Revenue,1KL1E,Elswick Pool,758.00 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,29/08/2013,LORD TECHNICAL LTD,5967776,Revenue,1KELA,Traffic Sig General O/H,144.00 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,29/08/2013,LORD TECHNICAL LTD,5967776,Revenue,1KEMC,Highways,694.00 ,,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,12/08/2013,LORD TECHNICAL LTD,5965902,Revenue,1KR3E,Planned East,333.00 ,,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,14/08/2013,LORD TECHNICAL LTD,5971944,Revenue,1KR3E,Planned East,314.98 ,,,,,,,,,,,
HRA,HRA Invest/Del             ,Transfer Payments,16/08/2013,LOW FELL REMOVALS,5951082,Revenue,1HFDA,HRA Inv Del-Disabled Adapts,311.00 ,,,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,14/08/2013,LOWES HALL LTD,5971574,Revenue,1FRA3,CSC Denton,537.02 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,15/08/2013,LS CARE LTD,5961892,Revenue,3WH96,Continuing Care-Dom Payments,"2,620.08 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,15/08/2013,LS CARE LTD,5973372,Revenue,3WH96,Continuing Care-Dom Payments,"2,779.16 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,15/08/2013,LS CARE LTD,5973373,Revenue,3WH96,Continuing Care-Dom Payments,"2,620.08 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21/08/2013,LS CARE LTD,5980140,Revenue,1MH50,Ind Home Spot Pur PD,321.24 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21/08/2013,LS CARE LTD,5980141,Revenue,3WH96,Continuing Care-Dom Payments,"2,779.16 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21/08/2013,LS CARE LTD,5980142,Revenue,1MH50,Ind Home Spot Pur PD,364.42 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,21/08/2013,LS CARE LTD,5980143,Revenue,1MH50,Ind Home Spot Pur PD,395.61 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12/08/2013,LS CARE LTD,5965979,Revenue,1MH50,Ind Home Spot Pur PD,527.38 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,12/08/2013,LS CARE LTD,5966180,Revenue,1MH50,Ind Home Spot Pur PD,364.42 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,01/08/2013,LS CARE LTD,5958488,Revenue,3WH96,Continuing Care-Dom Payments,"2,620.08 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,08/08/2013,LS CARE LTD,5961887,Revenue,1MH50,Ind Home Spot Pur PD,364.42 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,07/08/2013,LS CARE LTD,5962600,Revenue,3WH96,Continuing Care-Dom Payments,"2,620.08 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,07/08/2013,LS CARE LTD,5962603,Revenue,3WH96,Continuing Care-Dom Payments,"2,620.08 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,07/08/2013,LS CARE LTD,5962701,Revenue,1MH50,Ind Home Spot Pur PD,364.42 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,07/08/2013,LS CARE LTD,5962703,Revenue,1MH50,Ind Home Spot Pur PD,364.42 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,07/08/2013,LS CARE LTD,5963059,Revenue,3WH96,Continuing Care-Dom Payments,"2,620.08 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14/08/2013,LS CARE LTD,5972516,Revenue,3WH96,Continuing Care-Dom Payments,"2,620.08 ",,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14/08/2013,LS CARE LTD,5972564,Revenue,1MH50,Ind Home Spot Pur PD,511.68 ,,,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14/08/2013,LS CARE LTD,5972600,Revenue,1MH50,Ind Home Spot Pur PD,252.27 ,,,,,,,,,,,
Adult and Culture,Adult Serv Admin Support   ,Supplies & Services,27/08/2013,LTC HEALTHCARE,5982950,Revenue,1MP12,MESMAC,780.00 ,,,,,,,,,,,
Adult and Culture,Adult Serv Admin Support   ,Supplies & Services,02/08/2013,LTC HEALTHCARE,5960097,Revenue,1MP18,Shine Project (Womens HIV),310.02 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,15/08/2013,LUCY ELECTRIC UK LTD,5973663,Revenue,1KEMC,Highways,424.50 ,,,,,,,,,,,
Chief Executive's,"CD - Audit, Insurance & Risk NOR       ",Supplies & Services,12/08/2013,LYONS DAVIDSON SOLICITORS,5966159,Revenue,3RM18,Insurance Control Susp-Financ,"20,000.00 ",,,,,,,,,,,
Children's Services,Benfield Secon/High School             ,Supplies & Services,20/08/2013,M & M VALUE LTD,5975849,Revenue,1E371,Benfield Sports Partner Contrb,869.34 ,,,,,,,,,,,
Chief Executive's,CD - Occup Health Unit           ,Supplies & Services,21/08/2013,M A S T A,5978209,Revenue,1FP30,Occupational Health,851.89 ,,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,12/08/2013,M&C ROOFING CONTRACTORS,5965890,Revenue,1KVWC,Minor Works Contracts,"108,268.59 ",,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,12/08/2013,M&C ROOFING CONTRACTORS,5965891,Revenue,1KVWC,Minor Works Contracts,"38,134.00 ",,,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,23/08/2013,M&C ROOFING CONTRACTORS,5982429,Revenue,1KVWC,Minor Works Contracts,"18,818.59 ",,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,16/08/2013,M&C ROOFING CONTRACTORS,5969710,Revenue,1KBRM,Sub Contractors R & M,"1,212.81 ",,,,,,,,,,,
Environment & Regeneration,NS: D&CS Support Services  ,Supplies & Services,16/08/2013,M&C ROOFING CONTRACTORS,5974818,Revenue,1KR5E,Gas Serv East,312.26 ,,,,,,,,,,,
Children's Services,Invoice,Premises,19/08/2013,M&C ROOFING CONTRACTORS,5976318,Revenue,1KKX1,Civic Centre Direct Costs,"1,810.38 ",,,,,,,,,,,
Children's Services,Benfield Secon/High School             ,Supplies & Services,12/08/2013,M&M VALUE LTD,5965658,Revenue,1E371,Benfield Sports Partner Contrb,314.07 ,,,,,,,,,,,
Children's Services,Benfield Secon/High School             ,Supplies & Services,12/08/2013,M&M VALUE LTD,5965660,Revenue,1E371,Benfield Sports Partner Contrb,693.08 ,,,,,,,,,,,
Children's Services,Benfield Secon/High School             ,Supplies & Services,12/08/2013,M&M VALUE LTD,5965661,Revenue,1E371,Benfield Sports Partner Contrb,347.23 ,,,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,29/08/2013,MACHINE MART LTD,5978314,Revenue,1KEMC,Highways,482.87 ,,,,,,,,,,,
Chief Executive's,Revenues/Council Tax                   ,Supplies & Services,13/08/2013,MAGISTRATES COURT,5969015,Revenue,1CR01,Revenues Management,"10,000.00 ",,,,,,,,,,,
Adult and Culture,Social Services                        ,Employees,19/08/2013,MANCHESTER METROPOLITAN UNIVERSITY,5976618,Revenue,1MN11,UASC >18 (LC),"10,000.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Long Term Assets,13/08/2013,MANOR HOUSE,5968806,Revenue,4WX13,Ind Sector Client Loan Fund,"1,232.00 ",,,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",13/08/2013,MANOR HOUSE,5968805,Revenue,1MG20,Ind Res Care Elderly,525.00 ,,,,,,,,,,,
