Metadata associated with workbook,,MWM_0937,,,,,,,,,,,,,
Title,Document Title,Municipal Waste Statistics - Local Authority data,,,,,,,,,,,,,
Subject,Topic,Municipal Waste Management,,,,,,,,,,,,,
E Midlands,109,North West Leicestershire District Council,Collection," 12,645 "," 40,074 ",31.6%," 12,657 "," 42,863 ",29.5%,,,,,,
E Midlands,110,Melton Borough Council,Collection," 10,025 "," 21,382 ",46.9%," 10,025 "," 21,477 ",46.7%,,,,,,
E Midlands,111,Hinckley and Bosworth Borough Council,Collection," 16,862 "," 41,692 ",40.4%," 16,862 "," 41,742 ",40.4%,,,,,,
E Midlands,112,Harborough District Council,Collection," 15,816 "," 37,207 ",42.5%," 15,911 "," 41,234 ",38.6%,,,,,,
E Midlands,113,Charnwood Borough Council,Collection," 18,027 "," 52,014 ",34.7%," 18,027 "," 52,280 ",34.5%,,,,,,
E Midlands,114,Blaby District Council,Collection," 12,454 "," 34,594 ",36.0%," 12,808 "," 35,916 ",35.7%,,,,,,
E Midlands,115,Leicestershire County Council,Disposal," 139,274 "," 340,962 ",40.8%," 139,734 "," 375,434 ",37.2%,,,,,,
E Midlands,116,West Lindsey District Council,Collection," 11,256 "," 34,908 ",32.2%," 11,256 "," 36,008 ",31.3%,,,,,,
E Midlands,117,South Kesteven District Council,Collection," 13,862 "," 52,750 ",26.3%," 13,862 "," 53,067 ",26.1%,,,,,,
E Midlands,118,South Holland District Council,Collection," 6,773 "," 31,331 ",21.6%," 6,773 "," 31,357 ",21.6%,,,,,,
E Midlands,119,North Kesteven District Council,Collection," 23,390 "," 47,461 ",49.3%," 23,390 "," 48,282 ",48.4%,,,,,,
E Midlands,120,Lincoln City Council,Collection," 10,184 "," 36,228 ",28.1%," 10,184 "," 36,228 ",28.1%,,,,,,
E Midlands,121,East Lindsey District Council,Collection," 11,118 "," 53,761 ",20.7%," 11,314 "," 54,624 ",20.7%,,,,,,
E Midlands,122,Boston Borough Council,Collection," 5,357 "," 25,652 ",20.9%," 5,357 "," 26,630 ",20.1%,,,,,,
E Midlands,123,Lincolnshire County Council,Disposal," 116,036 "," 346,215 ",33.5%," 125,717 "," 367,615 ",34.2%,,,,,,
E Midlands,124,Wellingborough Borough Council,Collection," 7,469 "," 30,102 ",24.8%," 7,469 "," 33,839 ",22.1%,,,,,,
E Midlands,125,South Northamptonshire District Council,Collection," 12,820 "," 37,410 ",34.3%," 13,343 "," 39,638 ",33.7%,,,,,,
E Midlands,126,Northampton Borough Council,Collection," 28,148 "," 87,037 ",32.3%," 30,028 "," 92,116 ",32.6%,,,,,,
E Midlands,127,Kettering Borough Council,Collection," 10,920 "," 40,208 ",27.2%," 10,920 "," 40,208 ",27.2%,,,,,,
E Midlands,128,East Northamptonshire Council,Collection," 7,822 "," 31,046 ",25.2%," 8,426 "," 32,445 ",26.0%,,,,,,
E Midlands,129,Daventry District Council,Collection," 15,941 "," 35,800 ",44.5%," 15,941 "," 35,837 ",44.5%,,,,,,
E Midlands,130,Corby Borough Council,Collection," 4,060 "," 23,713 ",17.1%," 4,060 "," 24,518 ",16.6%,,,,,,
E Midlands,131,Northamptonshire County Council,Disposal," 116,109 "," 335,491 ",34.6%," 127,436 "," 371,169 ",34.3%,,,,,,
E Midlands,132,Rushcliffe Borough Council,Collection," 22,555 "," 44,843 ",50.3%," 22,555 "," 49,100 ",45.9%,,,,,,
E Midlands,133,Nottingham City Council,Unitary," 24,609 "," 125,907 ",19.5%," 51,378 "," 187,251 ",27.4%,,,,,,
E Midlands,134,Newark and Sherwood District Council,Collection," 11,163 "," 45,297 ",24.6%," 11,163 "," 49,164 ",22.7%,,,,,,
E Midlands,135,Mansfield District Council,Collection," 9,631 "," 40,155 ",24.0%," 9,631 "," 41,354 ",23.3%,,,,,,
E Midlands,136,Gedling Borough Council,Collection," 11,971 "," 42,970 ",27.9%," 11,973 "," 43,078 ",27.8%,,,,,,
E Midlands,137,Broxtowe Borough Council,Collection," 14,733 "," 41,365 ",35.6%," 15,388 "," 48,374 ",31.8%,,,,,,
E Midlands,138,Bassetlaw District Council,Collection," 10,391 "," 45,646 ",22.8%," 10,397 "," 49,055 ",21.2%,,,,,,
E Midlands,139,Ashfield District Council,Collection," 12,026 "," 42,596 ",28.2%," 12,026 "," 42,706 ",28.2%,,,,,,
E Midlands,140,Nottinghamshire County Council,Disposal," 149,126 "," 424,271 ",35.1%," 164,374 "," 439,520 ",37.4%,,,,,,
W Midlands,141,Wyre Forest District Council,Collection," 8,828 "," 37,464 ",23.6%," 8,828 "," 41,101 ",21.5%,,,,,,
W Midlands,142,Wychavon District Council,Collection," 7,834 "," 42,192 ",18.6%," 7,834 "," 44,814 ",17.5%,,,,,,
W Midlands,143,Worcester City Council,Collection," 6,528 "," 33,046 ",19.8%," 6,767 "," 35,717 ",18.9%,,,,,,
W Midlands,145,Redditch Borough Council,Collection," 5,517 "," 32,673 ",16.9%," 5,519 "," 32,747 ",16.9%,,,,,,
W Midlands,146,Malvern Hills District Council,Collection," 5,508 "," 23,390 ",23.5%," 5,508 "," 25,491 ",21.6%,,,,,,
W Midlands,148,Herefordshire Council,Unitary," 22,329 "," 89,527 ",24.9%," 29,023 "," 100,317 ",28.9%,,,,,,
W Midlands,149,Bromsgrove District Council,Collection," 12,248 "," 33,364 ",36.7%," 12,284 "," 33,610 ",36.5%,,,,,,
W Midlands,150,Worcestershire County Council,Disposal," 86,291 "," 287,061 ",30.1%," 101,643 "," 315,502 ",32.2%,,,,,,
W Midlands,151,Telford and Wrekin Council,Unitary," 25,693 "," 83,884 ",30.6%," 27,489 "," 91,489 ",30.0%,,,,,,
W Midlands,152,South Shropshire District Council,Collection," 6,895 "," 18,543 ",37.2%," 6,895 "," 18,684 ",36.9%,,,,,,
W Midlands,153,Shrewsbury and Atcham Borough Council,Collection," 11,272 "," 45,474 ",24.8%," 12,026 "," 51,244 ",23.5%,,,,,,
W Midlands,154,Oswestry Borough Council,Collection," 6,964 "," 17,502 ",39.8%," 6,990 "," 18,761 ",37.3%,,,,,,
W Midlands,155,North Shropshire District Council,Collection," 8,972 "," 26,228 ",34.2%," 8,972 "," 26,510 ",33.8%,,,,,,
W Midlands,156,Bridgnorth District Council,Collection," 7,703 "," 22,269 ",34.6%," 7,703 "," 25,317 ",30.4%,,,,,,
W Midlands,157,Shropshire County Council,Disposal," 52,698 "," 156,662 ",33.6%," 57,679 "," 175,589 ",32.8%,,,,,,
W Midlands,158,Stoke-on-Trent City Council,Unitary," 22,481 "," 121,429 ",18.5%," 31,675 "," 140,878 ",22.5%,,,,,,
W Midlands,159,Tamworth Borough Council,Collection," 11,138 "," 30,693 ",36.3%," 11,138 "," 30,928 ",36.0%,,,,,,
W Midlands,160,Staffordshire Moorlands District Council,Collection," 13,476 "," 41,872 ",32.2%," 13,476 "," 44,634 ",30.2%,,,,,,
W Midlands,161,Stafford Borough Council,Collection," 13,558 "," 59,126 ",22.9%," 13,558 "," 59,126 ",22.9%,,,,,,
W Midlands,162,South Staffordshire Council,Collection," 14,557 "," 46,509 ",31.3%," 14,557 "," 46,732 ",31.1%,,,,,,
W Midlands,163,Newcastle-under-Lyme Borough Council,Collection," 8,311 "," 50,456 ",16.5%," 8,311 "," 54,616 ",15.2%,,,,,,
W Midlands,164,Lichfield District Council,Collection," 19,911 "," 42,749 ",46.6%," 19,911 "," 46,929 ",42.4%,,,,,,
W Midlands,165,East Staffordshire Borough Council,Collection," 11,996 "," 47,332 ",25.3%," 12,081 "," 49,177 ",24.6%,,,,,,
W Midlands,166,Cannock Chase Council,Collection," 7,998 "," 38,922 ",20.5%," 7,998 "," 39,991 ",20.0%,,,,,,
W Midlands,167,Staffordshire County Council,Disposal," 145,801 "," 416,174 ",35.0%," 164,320 "," 446,967 ",36.8%,,,,,,
W Midlands,168,Warwick District Council,Collection," 13,394 ", N/A ,N/A," 13,394 ", N/A ,N/A,,,,,,
W Midlands,169,Stratford-on-Avon District Council,Collection," 21,044 "," 53,617 ",39.2%," 21,044 "," 53,617 ",39.2%,,,,,,
W Midlands,170,Rugby Borough Council,Collection," 7,583 "," 41,149 ",18.4%," 7,689 "," 45,033 ",17.1%,,,,,,
W Midlands,171,Nuneaton and Bedworth Borough Council,Collection," 13,778 "," 56,115 ",24.6%," 14,012 "," 59,503 ",23.5%,,,,,,
W Midlands,172,North Warwickshire Borough Council,Collection," 5,885 ", N/A ,N/A," 5,888 ", N/A ,N/A,,,,,,
W Midlands,173,Warwickshire County Council,Disposal," 85,090 "," 286,628 ",29.7%," 90,950 "," 312,153 ",29.1%,,,,,,
W Midlands,174,Wolverhampton MBC,Unitary," 27,688 "," 123,828 ",22.4%," 28,489 "," 152,021 ",18.7%,,,,,,
W Midlands,175,Walsall MBC,Unitary," 30,052 "," 128,740 ",23.3%," 34,470 "," 150,349 ",22.9%,,,,,,
W Midlands,176,Solihull MBC,Unitary," 23,424 "," 99,320 ",23.6%," 25,422 "," 101,373 ",25.1%,,,,,,
W Midlands,177,Sandwell MBC,Unitary," 21,167 "," 130,609 ",16.2%," 25,431 "," 150,543 ",16.9%,,,,,,
W Midlands,178,Dudley MBC,Unitary," 24,823 "," 134,585 ",18.4%," 29,715 "," 139,672 ",21.3%,,,,,,
W Midlands,179,Coventry City Council,Unitary," 23,187 "," 138,015 ",16.8%," 31,753 "," 181,775 ",17.5%,,,,,,
W Midlands,180,Birmingham City Council,Unitary," 75,607 "," 458,917 ",16.5%," 83,928 "," 555,562 ",15.1%,,,,,,
Eastern,181,Luton Borough Council,Unitary," 21,390 "," 88,171 ",24.3%," 24,587 "," 98,407 ",25.0%,,,,,,
Eastern,182,South Bedfordshire District Council,Collection," 14,916 "," 51,736 ",28.8%," 14,916 "," 52,482 ",28.4%,,,,,,
Eastern,183,Mid Bedfordshire District Council,Collection," 15,674 "," 49,000 ",32.0%," 15,674 "," 49,419 ",31.7%,,,,,,
Eastern,184,Bedford Borough Council,Collection," 17,629 "," 69,661 ",25.3%," 17,675 "," 78,631 ",22.5%,,,,,,
Eastern,185,Bedfordshire County Council,Disposal," 64,560 "," 201,491 ",32.0%," 64,607 "," 220,255 ",29.3%,,,,,,
Eastern,186,South Cambridgeshire District Council,Collection," 28,591 "," 58,483 ",48.9%," 28,704 "," 61,766 ",46.5%,,,,,,
Eastern,187,Peterborough City Council,Unitary," 31,717 "," 89,277 ",35.5%," 32,381 "," 100,831 ",32.1%,,,,,,
Eastern,188,Huntingdonshire District Council,Collection," 31,753 "," 67,711 ",46.9%," 32,140 "," 69,036 ",46.6%,,,,,,
Eastern,189,Fenland District Council,Collection," 12,881 "," 42,034 ",30.6%," 12,881 "," 44,168 ",29.2%,,,,,,
Eastern,190,East Cambridgeshire District Council,Collection," 9,151 "," 29,363 ",31.2%," 9,151 "," 29,465 ",31.1%,,,,,,
Eastern,191,Cambridge City Council,Collection," 16,445 "," 47,046 ",35.0%," 16,445 "," 48,743 ",33.7%,,,,,,
Eastern,192,Cambridgeshire County Council,Disposal," 130,413 "," 308,730 ",42.2%," 130,913 "," 324,342 ",40.4%,,,,,,
Eastern,193,Thurrock Council,Unitary," 13,874 "," 71,789 ",19.3%," 16,896 "," 74,811 ",22.6%,,,,,,
Eastern,194,Southend-on-Sea Borough Council,Unitary," 18,885 "," 81,184 ",23.3%," 21,637 "," 86,642 ",25.0%,,,,,,
Eastern,195,Uttlesford District Council,Collection," 8,055 "," 31,981 ",25.2%," 8,213 "," 35,837 ",22.9%,,,,,,
Eastern,196,Tendring District Council,Collection," 10,359 "," 48,497 ",21.4%," 10,359 "," 48,497 ",21.4%,,,,,,
Eastern,197,Rochford District Council,Collection," 4,836 "," 32,798 ",14.7%," 4,836 "," 32,798 ",14.7%,,,,,,
Eastern,198,Maldon District Council,Collection," 6,915 "," 24,952 ",27.7%," 6,915 "," 24,952 ",27.7%,,,,,,
Eastern,199,Harlow District Council,Collection," 5,499 "," 30,013 ",18.3%," 5,499 "," 30,104 ",18.3%,,,,,,
Eastern,200,Epping Forest Borough Council,Collection," 11,661 "," 49,619 ",23.5%," 11,661 "," 49,619 ",23.5%,,,,,,
Eastern,201,Colchester Borough Council,Collection," 18,944 "," 65,857 ",28.8%," 19,094 "," 66,795 ",28.6%,,,,,,
Eastern,202,Chelmsford Borough Council,Collection," 22,997 "," 75,407 ",30.5%," 23,122 "," 77,135 ",30.0%,,,,,,
Eastern,203,Castle Point Borough Council,Collection," 8,537 "," 36,335 ",23.5%," 8,537 "," 36,335 ",23.5%,,,,,,
Eastern,204,Brentwood Borough Council,Collection," 8,973 "," 30,428 ",29.5%," 9,463 "," 33,596 ",28.2%,,,,,,
Eastern,205,Braintree District Council,Collection," 17,219 "," 56,455 ",30.5%," 17,506 "," 56,742 ",30.9%,,,,,,
Eastern,206,Basildon District Council,Collection," 17,389 "," 82,848 ",21.0%," 17,393 "," 86,488 ",20.1%,,,,,,
Eastern,207,Essex County Council,Disposal," 220,255 "," 686,521 ",32.1%," 239,307 "," 732,062 ",32.7%,,,,,,
Eastern,208,Welwyn Hatfield Council,Collection," 12,661 "," 43,653 ",29.0%," 12,661 "," 48,244 ",26.2%,,,,,,
Eastern,209,Watford Borough Council,Collection," 11,624 "," 31,652 ",36.7%," 11,624 "," 36,340 ",32.0%,,,,,,
Eastern,210,Three Rivers District Council,Collection," 13,607 "," 33,266 ",40.9%," 13,832 "," 37,093 ",37.3%,,,,,,
Eastern,211,Stevenage Borough Council,Collection," 8,935 "," 32,840 ",27.2%," 9,095 "," 35,950 ",25.3%,,,,,,
Eastern,212,St Albans City and District Council,Collection," 14,651 "," 51,409 ",28.5%," 14,698 "," 52,053 ",28.2%,,,,,,
Eastern,213,North Hertfordshire District Council,Collection," 15,171 "," 56,881 ",26.7%," 15,171 "," 61,221 ",24.8%,,,,,,
Eastern,214,Hertsmere Borough Council,Collection," 9,915 "," 40,650 ",24.4%," 9,915 "," 43,371 ",22.9%,,,,,,
Eastern,215,East Hertfordshire District Council,Collection," 12,941 "," 54,871 ",23.6%," 12,941 "," 55,713 ",23.2%,,,,,,
Eastern,216,Dacorum Borough Council,Collection," 22,033 "," 61,380 ",35.9%," 22,033 "," 66,347 ",33.2%,,,,,,
Eastern,217,Broxbourne Borough Council,Collection," 10,740 "," 40,040 ",26.8%," 10,740 "," 42,097 ",25.5%,,,,,,
Eastern,218,Hertfordshire County Council,Disposal," 179,021 "," 539,381 ",33.2%," 179,454 "," 569,675 ",31.5%,,,,,,
Eastern,219,South Norfolk Council,Collection," 11,885 "," 40,726 ",29.2%," 11,885 "," 43,430 ",27.4%,,,,,,
Eastern,220,Norwich City Council,Collection," 7,642 "," 47,826 ",16.0%," 7,642 "," 49,776 ",15.4%,,,,,,
Eastern,221,North Norfolk District Council,Collection," 15,499 "," 41,768 ",37.1%," 16,299 "," 46,188 ",35.3%,,,,,,
Eastern,222,Kings Lynn and West Norfolk Borough Council,Collection," 10,155 "," 53,927 ",18.8%," 10,889 "," 60,581 ",18.0%,,,,,,
Eastern,223,Great Yarmouth Borough Council,Collection," 6,385 "," 36,226 ",17.6%," 6,385 "," 36,864 ",17.3%,,,,,,
Eastern,224,Broadland District Council,Collection," 19,676 "," 48,913 ",40.2%," 21,231 "," 50,591 ",42.0%,,,,,,
Eastern,225,Breckland Council,Collection," 17,964 "," 50,297 ",35.7%," 17,964 "," 50,708 ",35.4%,,,,,,
Eastern,226,Norfolk County Council,Disposal," 138,587 "," 410,287 ",33.8%," 144,238 "," 415,938 ",34.7%,,,,,,
Eastern,227,Waveney District Council,Collection," 24,010 "," 49,075 ",48.9%," 24,039 "," 53,539 ",44.9%,,,,,,
Eastern,228,Suffolk Coastal District Council,Collection," 17,778 "," 51,339 ",34.6%," 18,056 "," 58,574 ",30.8%,,,,,,
Eastern,229,St Edmundsbury Borough Council,Collection," 23,185 "," 47,282 ",49.0%," 23,185 "," 53,828 ",43.1%,,,,,,
Eastern,230,Mid Suffolk District Council,Collection," 7,714 "," 28,330 ",27.2%," 7,714 "," 28,330 ",27.2%,,,,,,
Eastern,231,Ipswich Borough Council,Collection," 17,988 "," 46,749 ",38.5%," 19,624 "," 60,185 ",32.6%,,,,,,
Eastern,232,Forest Heath District Council,Collection," 11,831 "," 26,412 ",44.8%," 11,831 "," 28,672 ",41.3%,,,,,,
Eastern,233,Babergh District Council,Collection," 12,518 "," 34,143 ",36.7%," 12,530 "," 36,987 ",33.9%,,,,,,
Eastern,234,Suffolk County Council,Disposal," 151,261 "," 370,350 ",40.8%," 154,934 "," 391,082 ",39.6%,,,,,,
London,235,Bexley LB,Unitary," 41,587 "," 99,883 ",41.6%," 45,808 "," 134,771 ",34.0%,,,,,,
London,236,Tower Hamlets LB,Unitary," 7,130 "," 79,070 ",9.0%," 7,192 "," 102,826 ",7.0%,,,,,,
London,237,City of London,Unitary, 832 ," 4,792 ",17.4%," 1,000 "," 44,313 ",2.3%,,,,,,
London,238,Westminster City Council,Unitary," 13,911 "," 74,862 ",18.6%," 17,204 "," 188,959 ",9.1%,,,,,,
London,239,Redbridge LB,Collection," 11,845 "," 70,052 ",16.9%," 12,181 "," 79,720 ",15.3%,,,,,,
London,240,Newham LB,Collection," 5,892 "," 101,734 ",5.8%," 6,119 "," 130,236 ",4.7%,,,,,,
London,241,Havering LB,Collection," 10,423 "," 116,008 ",9.0%," 10,423 "," 137,213 ",7.6%,,,,,,
London,242,Barking and Dagenham LB,Collection," 7,158 "," 71,831 ",10.0%," 7,158 "," 80,221 ",8.9%,,,,,,
London,243,East London Waste Authority,Disposal," 63,001 "," 417,488 ",15.1%," 72,291 "," 492,195 ",14.7%,,,,,,
London,244,Waltham Forest LB,Collection," 20,657 "," 103,272 ",20.0%," 22,659 "," 126,970 ",17.8%,,,,,,
London,245,Islington LB,Collection," 14,053 "," 77,711 ",18.1%," 14,944 "," 116,000 ",12.9%,,,,,,
London,246,Haringey LB,Collection," 14,391 "," 107,818 ",13.3%," 16,172 "," 122,438 ",13.2%,,,,,,
London,247,Hackney LB,Collection," 11,966 "," 80,326 ",14.9%," 12,501 "," 124,590 ",10.0%,,,,,,
London,248,Enfield LB,Collection," 29,991 "," 128,381 ",23.4%," 32,631 "," 151,710 ",21.5%,,,,,,
London,249,Camden LB,Collection," 20,478 "," 76,501 ",26.8%," 20,783 "," 134,923 ",15.4%,,,,,,
London,250,Barnet LB,Collection," 38,461 "," 142,256 ",27.0%," 39,564 "," 175,766 ",22.5%,,,,,,
London,251,North London Waste Authority,Disposal," 160,213 "," 766,629 ",20.9%," 172,266 "," 950,796 ",18.1%,,,,,,
London,252,Southwark LB,Unitary," 16,039 "," 106,822 ",15.0%," 18,206 "," 138,124 ",13.2%,,,,,,
London,253,Lewisham LB,Unitary," 13,712 "," 115,365 ",11.9%," 14,361 "," 141,510 ",10.1%,,,,,,
London,254,Greenwich LB,Unitary," 22,119 "," 103,497 ",21.4%," 23,220 "," 111,204 ",20.9%,,,,,,
London,255,Sutton LB,Unitary," 23,965 "," 86,080 ",27.8%," 27,041 "," 100,027 ",27.0%,,,,,,
London,256,Merton LB,Unitary," 16,453 "," 73,076 ",22.5%," 17,741 "," 96,143 ",18.5%,,,,,,
London,257,Royal Borough of Kingston upon Thames ,Unitary," 17,025 "," 66,299 ",25.7%," 28,696 "," 79,155 ",36.3%,,,,,,
London,258,Croydon LB,Unitary," 22,364 "," 138,772 ",16.1%," 31,800 "," 186,780 ",17.0%,,,,,,
London,259,Bromley LB,Unitary," 41,168 "," 150,821 ",27.3%," 41,228 "," 175,086 ",23.5%,,,,,,
London,260,Richmond upon Thames LB,Collection," 25,151 "," 78,198 ",32.2%," 29,585 "," 106,590 ",27.8%,,,,,,
London,261,Hounslow LB,Collection," 20,158 "," 109,556 ",18.4%," 24,585 "," 139,859 ",17.6%,,,,,,
London,262,Hillingdon LB,Collection," 33,835 "," 127,844 ",26.5%," 34,055 "," 159,835 ",21.3%,,,,,,
London,263,Harrow LB,Collection," 27,658 "," 106,161 ",26.1%," 27,658 "," 120,707 ",22.9%,,,,,,
London,264,Ealing LB,Collection," 24,212 "," 132,400 ",18.3%," 28,506 "," 156,082 ",18.3%,,,,,,
London,265,Brent LB,Collection," 22,234 "," 110,477 ",20.1%," 23,553 "," 128,998 ",18.3%,,,,,,
London,266,West London Waste Authority,Disposal," 155,756 "," 710,541 ",21.9%," 170,824 "," 808,542 ",21.1%,,,,,,
London,267,Wandsworth LB,Collection," 21,403 ", N/A ,N/A," 21,403 ", N/A ,N/A,,,,,,
London,268,Lambeth LB,Collection," 20,562 ", N/A ,N/A," 20,562 ", N/A ,N/A,,,,,,
London,269,Royal Borough of Kensington and Chelsea,Collection," 13,610 ", N/A ,N/A," 13,610 ", N/A ,N/A,,,,,,
London,270,Hammersmith and Fulham LB,Collection," 13,031 ", N/A ,N/A," 13,031 ", N/A ,N/A,,,,,,
London,271,Western Riverside Waste Authority,Disposal," 72,081 "," 332,187 ",21.7%," 74,471 "," 462,095 ",16.1%,,,,,,
S East,272,Wokingham Council,Unitary," 21,324 "," 71,427 ",29.9%," 23,927 "," 75,276 ",31.8%,,,,,,
S East,273,Windsor and Maidenhead Borough Council,Unitary," 19,647 "," 70,903 ",27.7%," 21,550 "," 73,075 ",29.5%,,,,,,
S East,274,Slough Borough Council,Unitary," 9,753 "," 51,333 ",19.0%," 9,753 "," 60,400 ",16.1%,,,,,,
S East,275,Reading Borough Council,Unitary," 14,612 "," 70,103 ",20.8%," 17,732 "," 80,143 ",22.1%,,,,,,
S East,276,West Berkshire District Council,Unitary," 16,067 "," 80,886 ",19.9%," 16,721 "," 82,382 ",20.3%,,,,,,
S East,277,Bracknell Forest Borough Council,Unitary," 15,424 "," 55,144 ",28.0%," 17,691 "," 67,163 ",26.3%,,,,,,
S East,279,Milton Keynes Council,Unitary," 37,130 "," 116,304 ",31.9%," 40,565 "," 125,777 ",32.3%,,,,,,
S East,280,Wycombe District Council,Collection," 20,233 "," 65,939 ",30.7%," 20,456 "," 67,463 ",30.3%,,,,,,
S East,281,South Bucks District Council,Collection," 6,618 "," 23,491 ",28.2%," 6,618 "," 24,784 ",26.7%,,,,,,
S East,282,Chiltern District Council,Collection," 11,863 "," 32,392 ",36.6%," 11,930 "," 33,003 ",36.1%,,,,,,
S East,283,Aylesbury Vale District Council,Collection," 10,596 "," 62,192 ",17.0%," 10,596 "," 66,832 ",15.9%,,,,,,
S East,284,Buckinghamshire County Council,Disposal," 88,020 "," 241,058 ",36.5%," 100,559 "," 268,337 ",37.5%,,,,,,
S East,285,Brighton and Hove Council,Unitary," 28,028 "," 111,218 ",25.2%," 29,690 "," 112,922 ",26.3%,,,,,,
S East,286,Wealden District Council,Collection," 18,044 "," 58,683 ",30.7%," 18,438 "," 63,806 ",28.9%,,,,,,
S East,287,Rother District Council,Collection," 5,365 ", N/A ,N/A," 5,365 ", N/A ,N/A,,,,,,
S East,288,Lewes District Council,Collection," 6,451 "," 32,334 ",20.0%," 6,451 "," 35,036 ",18.4%,,,,,,
S East,289,Hastings Borough Council,Collection," 4,957 ", N/A ,N/A," 4,957 ", N/A ,N/A,,,,,,
S East,290,Eastbourne Borough Council,Collection," 7,122 "," 34,607 ",20.6%," 7,122 "," 35,185 ",20.2%,,,,,,
S East,291,East Sussex County Council,Disposal," 70,543 "," 260,003 ",27.1%," 78,487 "," 276,627 ",28.4%,,,,,,
S East,292,Southampton City Council,Unitary," 24,149 "," 104,679 ",23.1%," 30,936 "," 124,989 ",24.8%,,,,,,
S East,293,Portsmouth City Council,Unitary," 17,594 "," 84,063 ",20.9%," 20,405 "," 87,473 ",23.3%,,,,,,
S East,294,Winchester City Council,Collection," 8,402 "," 37,597 ",22.3%," 8,402 "," 43,082 ",19.5%,,,,,,
S East,295,Test Valley Borough Council,Collection," 9,656 "," 41,763 ",23.1%," 9,656 "," 44,476 ",21.7%,,,,,,
S East,296,Rushmoor Borough Council,Collection," 6,927 "," 31,859 ",21.7%," 6,927 "," 31,959 ",21.7%,,,,,,
S East,297,New Forest District Council,Collection," 17,017 "," 66,435 ",25.6%," 17,017 "," 67,729 ",25.1%,,,,,,
S East,298,Havant Borough Council,Collection," 9,672 "," 41,351 ",23.4%," 9,672 "," 41,547 ",23.3%,,,,,,
S East,299,Hart District Council,Collection," 7,342 "," 32,436 ",22.6%," 7,342 "," 32,525 ",22.6%,,,,,,
S East,300,Gosport Borough Council,Collection," 6,277 "," 26,530 ",23.7%," 6,278 "," 26,586 ",23.6%,,,,,,
S East,301,Fareham Borough Council,Collection," 11,755 ", N/A ,N/A," 11,755 ", N/A ,N/A,,,,,,
S East,302,Eastleigh Borough Council,Collection," 14,015 ", N/A ,N/A," 14,015 ", N/A ,N/A,,,,,,
S East,303,East Hampshire District Council,Collection," 12,394 "," 37,296 ",33.2%," 12,569 "," 37,524 ",33.5%,,,,,,
S East,304,Basingstoke and Deane Borough Council,Collection," 11,091 "," 63,871 ",17.4%," 11,128 "," 67,718 ",16.4%,,,,,,
S East,305,Hampshire County Council,Disposal," 215,246 "," 641,590 ",33.5%," 234,842 "," 682,907 ",34.4%,,,,,,
S East,306,Isle of Wight Council,Unitary," 19,276 "," 76,571 ",25.2%," 23,411 "," 81,232 ",28.8%,,,,,,
S East,307,Tunbridge Wells Borough Council,Collection," 17,874 "," 45,695 ",39.1%," 17,874 "," 47,995 ",37.2%,,,,,,
S East,308,Tonbridge and Malling Borough Council,Collection," 12,931 "," 50,084 ",25.8%," 12,931 "," 51,907 ",24.9%,,,,,,
S East,309,Thanet District Council,Collection," 10,465 "," 48,586 ",21.5%," 10,465 "," 52,507 ",19.9%,,,,,,
S East,310,Swale Borough Council,Collection," 8,250 "," 56,543 ",14.6%," 8,250 "," 58,874 ",14.0%,,,,,,
S East,311,Shepway District Council,Collection," 15,356 "," 39,729 ",38.7%," 15,609 "," 42,885 ",36.4%,,,,,,
S East,312,Sevenoaks District Council,Collection," 13,424 "," 45,159 ",29.7%," 13,424 "," 50,572 ",26.5%,,,,,,
S East,313,Medway Borough Council,Unitary," 42,842 "," 133,276 ",32.1%," 48,263 "," 140,555 ",34.3%,,,,,,
S East,314,Maidstone Borough Council,Collection," 11,099 "," 62,410 ",17.8%," 11,099 "," 62,938 ",17.6%,,,,,,
S East,315,Gravesham Borough Council,Collection," 7,440 "," 36,199 ",20.6%," 7,440 "," 38,011 ",19.6%,,,,,,
S East,317,Dover District Council,Collection," 4,526 "," 39,441 ",11.5%," 4,526 "," 41,437 ",10.9%,,,,,,
S East,318,Dartford Borough Council,Collection," 6,376 "," 37,624 ",16.9%," 6,376 "," 37,624 ",16.9%,,,,,,
S East,319,Canterbury City Council,Collection," 26,417 "," 60,583 ",43.6%," 26,417 "," 67,980 ",38.9%,,,,,,
S East,320,Ashford Borough Council,Collection," 7,176 "," 40,120 ",17.9%," 7,176 "," 40,359 ",17.8%,,,,,,
S East,321,Kent County Council,Disposal," 207,820 "," 737,595 ",28.2%," 255,693 "," 810,763 ",31.5%,,,,,,
S East,322,West Oxfordshire District Council,Collection," 9,502 "," 42,533 ",22.3%," 9,911 "," 45,692 ",21.7%,,,,,,
S East,323,Vale of White Horse District Council,Collection," 9,481 "," 40,563 ",23.4%," 9,708 "," 40,824 ",23.8%,,,,,,
S East,324,South Oxfordshire District Council,Collection," 12,859 "," 49,791 ",25.8%," 14,139 "," 51,071 ",27.7%,,,,,,
S East,325,Oxford City Council,Collection," 8,970 "," 46,257 ",19.4%," 9,449 "," 60,565 ",15.6%,,,,,,
S East,326,Cherwell District Council,Collection," 25,453 "," 58,930 ",43.2%," 25,453 "," 58,930 ",43.2%,,,,,,
S East,327,Oxfordshire County Council,Disposal," 97,727 "," 297,368 ",32.9%," 100,121 "," 314,159 ",31.9%,,,,,,
