Department family,Entity,Date,Expense type,Expense area,SUPPLIER,Transaction number,Amount,VAT registration number,Sort,Month,Source
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement,GMS/PMS payments,KUMAR RS & PARTNERS,CP115,63015.81,,115,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,LEY HILL SURGERY,CP114,64205.3,,114,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,ASHFIELD SURGERY,CP113,66244.96,,113,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement,GMS/PMS payments,AINSWORTH A & PARTNERS,CP112,66631.78,,112,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,OMNIA PRACTICE,CP111,66841.94,,111,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,YARDLEY GREEN MEDICAL CENTRE,CP110,68433.95,,110,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,IRIDIUM PRACTICE,CP109,68803.54,,109,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,AINSWORTH A & PARTNERS,CP108,70844.4,,108,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,MANOR PRACTICE,CP107,71610.24,,107,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,OMNIA PRACTICE,CP106,72683.79,,106,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,PMS Baseline ,GMS/PMS payments,KUMAR RS & PARTNERS,CP105,72935.8,,105,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,JOCKEY ROAD MEDICAL CENTRE,CP104,74209.5,,104,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,JOCKEY ROAD MEDICAL CENTRE,CP103,75152.19,,103,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,ASHFIELD SURGERY,CP102,78710.12,,102,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,MANOR PRACTICE,CP101,80243.85,,101,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,Global Sum,GMS/PMS payments,ERDINGTON MEDICAL CENTRE,CP100,137914.71,,100,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,ERDINGTON MEDICAL CENTRE,CP99,138099.64,,99,3,CP
Department of Health,NHS Birmingham East and North,25/06/2010,QOF Achievement ,GMS/PMS payments,IRIDIUM PRACTICE,CP98,177994.03,,98,3,CP
