Document Date,Purchase Order No,Line Item No,Supplier ID,Supplier Name,Pro Class,Pro Class Description,"Description of Goods 
(Purpose of expenditure look up)","Service/Department 
(SAP Hierarchy Position)","Expense Area 
(cost centre desc)","Net Order Value Over £5000.00 
(line item value shown here)",GL Code,Cost Centre/WBS
03/06/2016,ZZP256179,1,3529,Solutions SK Ltd,390000,Supplies and services,Supplies and services,Services to Place,Highway Drainage Investment Programme - Feasibili,"10,275.00",401600,C.00904.201
03/06/2016,ZZP256181,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,Highway Drainage Routine Repair - Feasibility,"9,800.00",200304,C.00917.201
03/06/2016,ZZP256182,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,Highway Drainage Routine Repair - Feasibility,"5,000.00",200304,C.00917.201
03/06/2016,ZZP256183,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,Highway Drainage Routine Repair - Feasibility,"9,028.00",200304,C.00917.201
03/06/2016,ZZP256184,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,Highway Drainage Routine Repair - Feasibility,"5,891.00",200304,C.00917.201
06/06/2016,ZZP256263,1,6967,Wilde Consultants Ltd,391200,"Works - Construction, Repair & Maintenance Engineering ",Professional Fees,Services to Place,PLANNING,"11,376.00",401032,12150
07/06/2016,ZZP256382,1,7820,Greater Manchester Combined,230000,Highway Equipment & Materials    ,Highways Maintenance,Services to Place,2035 Bradshaw Hall A34 - Highways - Design,"57,000.00",202054,C.01055.202
07/06/2016,ZZP256387,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,STCAP St Marys Way/New Bridge Lane - Design,"14,902.64",401007,C.00932.202
08/06/2016,ZZP256415,1,10279,William Anelay Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,Bramall Hall Phase 2 – Capital Works,"200,545.00",200123,C.10899.001
08/06/2016,ZZP256466,1,3529,Solutions SK Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,CYPD works,"20,884.48",202031,11258
09/06/2016,ZZP256496,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,Highway Drainage Investment Programme - Feasibili,"8,100.00",200304,C.00904.201
09/06/2016,ZZP256510,1,865,Bethell Construction Ltd,390000,Supplies and services,Supplies and services,Services to Place,STCAP St Marys Way/New Bridge Lane - On Site,"1,264,137.00",401600,C.00932.203
14/06/2016,ZZP256651,1,10651,dv Hornbeck Ltd T/A Landmark,210000,Furniture & Soft Furnishings  ,Furniture and Equipment,Services to Place,Bramall Hall Phase 2 – Capital Works,"8,086.15",400105,C.10899.001
14/06/2016,ZZP256663,1,9091,The Kindling Trust,370000,Utilities   ,Utilities,Services to Place,Green Regeneration Fund,"30,000.00",200550,12682
14/06/2016,ZZP256689,1,757,Transport for Greater Manchest,150000,Consultancy   ,Professional Fees,Services to Place,1012 A6MARR CMM - Marple - Design,"5,000.00",401007,C.01018.202
14/06/2016,ZZP256715,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Suds Approval Body Set Up - Feasibility,"20,520.00",401007,C.00895.201
14/06/2016,ZZP256716,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Suds Approval Body Set Up - Feasibility,"12,096.00",401007,C.00895.201
14/06/2016,ZZP256721,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Suds Approval Body Set Up - Feasibility,"32,616.00",401007,C.00895.201
16/06/2016,ZZP256818,1,10655,West March Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Services to Place,Learning & Emp Admin,"16,100.00",402001,10381
20/06/2016,ZZP256969,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,ECS-Structures Team,"68,800.00",401020,11960
20/06/2016,ZZP256970,1,757,Transport for Greater Manchest,390000,Supplies and services,Supplies and services,Services to Place,STCAP Newbridge Lane (St Marys Way Vernon Park) -,"57,000.00",401600,C.00954.203
20/06/2016,ZZP256971,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,ECS-Highway Design Team,"59,340.00",401020,11972
20/06/2016,ZZP256972,1,6967,Wilde Consultants Ltd,261400,Human Resources Temporary & Agency Staff ,Agency Staff,Services to Place,ECS-Highway Design Team,"33,466.50",100290,11972
21/06/2016,ZZP257056,1,10611,Wates Construction Ltd,150000,Consultancy   ,Professional Fees,Services to Place,Bridgefield Consultancy Budget,"7,600.72",401007,12640
21/06/2016,ZZP257068,1,7820,Greater Manchester Combined,390000,Supplies and services,Supplies and services,Services to Place,STCAP Newbridge Lane (St Marys Way Vernon Park) -,"57,000.00",401600,C.00954.203
21/06/2016,ZZP257073,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,HIP Carriageways – Design,"33,120.00",401007,C.00614.202
22/06/2016,ZZP257130,1,10670,dv Osborne Richardson,320000,Social Community Care Supplies & Services  ,Third party payments - Private/Voluntary Sector,Services to Place,Food & Safety,"55,000.00",500605,10912
23/06/2016,ZZP257213,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,STCAP St Marys Way/Hall Street - On Site,"12,000.00",401007,C.00933.203
23/06/2016,ZZP257215,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,ECS-Buildings Team,"6,508.25",401600,11961
23/06/2016,ZZP257224,1,9383,Lets Go Global,290000,Arts & Leisure Services  ,Publicity and Promotion,Services to Place,Bramall Hall Phase 2 – Activity Costs,"9,720.00",401801,C.10899.003
27/06/2016,ZZP257317,1,10611,Wates Construction Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,Bridgefield Development - General Costs,"1,130,691.00",200304,C.10897
27/06/2016,ZZP257318,1,10611,Wates Construction Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,Bridgefield Development - General Costs,"4,925,210.00",200304,C.10897
29/06/2016,ZZP257433,1,6967,Wilde Consultants Ltd,150000,Consultancy   ,Professional Fees,Services to Place,ECS-Highway Design Team,"35,880.00",401020,11972
29/06/2016,ZZP257434,1,6748,GEORGE COX & SONS LTD,390000,Supplies and services,Supplies and services,Services to Place,STCAP Newbridge Lane (St Marys Way Vernon Park) -,"162,819.54",401600,C.00954.203
29/06/2016,ZZP257502,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,1172 Hulme Hall Rd Zebra Crossing - On Site,"7,500.00",200304,C.01098.203
29/06/2016,ZZP257503,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,1172 Hulme Hall Rd Zebra Crossing - On Site,"6,600.00",200304,C.01098.203
29/06/2016,ZZP257522,1,8106,Tarmac Building Products Ltd,390000,Supplies and services,Supplies and services,Services to Place,Stockport Town Centre Access Package - On Site,"12,000.00",401600,C.00915.203
29/06/2016,ZZP257524,1,7289,Cyclist Training Ltd,261500,Human Resources Training & Conferences ,Fees and Charges,Services to Place,Highways-Child Pedestrian Training,"50,000.00",401024,11962
29/06/2016,ZZP257525,1,683,AECOM Limited,150000,Consultancy   ,Professional Fees,Services to Place,1012 A6MARR CMM - Marple - Feasibility,"48,940.00",401007,C.01018.201
04/04/2016,ZZS253085,1,3529,Solutions SK Ltd,182000,Environmental Services Waste Management ,Waste Management,Services to Place,Pymt to Cont Recycling and Refuse,"7,153,015.79",201804,10856
04/04/2016,ZZS253085,2,3529,Solutions SK Ltd,181600,Environmental Services Street Cleansing ,Cleaning,Services to Place,Pymt to Contr Street Cleaning,"3,107,935.84",201606,10881
04/04/2016,ZZS253085,3,3529,Solutions SK Ltd,230000,Highway Equipment & Materials    ,Highways Maintenance,Services to Place,Gritting,"399,390.39",202056,12033
04/04/2016,ZZS253085,4,3529,Solutions SK Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,SSK Contract SLA,"2,048,746.73",202030,11166
04/04/2016,ZZS253085,5,3529,Solutions SK Ltd,230000,Highway Equipment & Materials    ,Highways Maintenance,Services to Place,SLA Safety Detect Repair Teams,"2,319,662.57",202050,11984
04/04/2016,ZZS253085,6,3529,Solutions SK Ltd,350000,Street & Traffic Management  ,Fixtures and Fittings,Services to Place,SLA Street Lighting,"1,280,073.70",201202,12026
04/04/2016,ZZS253085,7,3529,Solutions SK Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,SSK Contract SLA,"133,968.49",202030,11166
04/04/2016,ZZS253085,8,3529,Solutions SK Ltd,240000,Horticultural  ,Grounds Maintenance,Services to Place,Arboriculture Contract SSK,"313,364.53",202030,12821
04/04/2016,ZZS253085,9,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,HIP Footways - On Site,"3,034,916.81",200304,C.00616.203
04/04/2016,ZZS253085,10,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Capital Expenditure - Works,Services to Place,Street Lighting - On Site,"500,000.00",200304,C.00607.203
04/04/2016,ZZS253085,11,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Services to Place,Patrol,"290,000.00",200160,12823
04/04/2016,ZZS253085,12,3529,Solutions SK Ltd,192200,Facilities & Management Services Security ,Security,Services to Place,CCTV/Control,"300,680.00",201204,12822
04/04/2016,ZZS253085,13,3529,Solutions SK Ltd,202000,Financial Services Rents ,Rents,Services to Place,Operational Support,"69,000.00",200700,10924
04/04/2016,ZZS253085,14,3529,Solutions SK Ltd,202000,Financial Services Rents ,Rents,Services to Place,Operational Support,"47,448.00",200700,10924
04/04/2016,ZZS253100,1,7025,CB Richard Ellis,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Head of Property& Procurement,"7,000.00",401020,12328
04/04/2016,ZZS253102,1,4272,Civica UK Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,U-Coroners Court-General,"51,950.00",402001,10965
11/04/2016,ZZS253408,1,9365,DSI Billing Services Ltd,300000,Mail Services   ,Office Expenses,Corporate and Support Services,Bentax,"69,101.87",400711,11139
11/04/2016,ZZS253408,2,9365,DSI Billing Services Ltd,300000,Mail Services   ,Office Expenses,Corporate and Support Services,Bentax,171.60,400711,11139
18/04/2016,ZZS253745,1,10562,Kinetic Solutions Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Stockport Art Gallery-Access,"4,550.00",402001,11375
18/04/2016,ZZS253745,2,10562,Kinetic Solutions Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Stockport Art Gallery-Access,"5,950.00",402001,11375
19/04/2016,ZZS253801,1,2973,CIPFA,150000,Consultancy   ,Professional Fees,Corporate and Support Services,FMS - Finance,"5,400.00",401007,11133
19/04/2016,ZZS253802,1,2973,CIPFA,171113,Education Library Books ,Library Equipment,Corporate and Support Services,FMS - Finance,"5,720.00",400208,11133
19/04/2016,ZZS253843,1,3529,Solutions SK Ltd,110000,Catering  ,Expenses and Allowances,Corporate and Support Services,Services to be Recharged (nil balance),"100,000.00",402202,12174
20/04/2016,ZZS253863,1,9328,Modern Mindset Ltd,190000,Facilities & Management Services  ,Office Expenses,Corporate and Support Services,Members Services,"11,493.60",400710,11111
28/04/2016,ZZS254393,1,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Systems,"9,780.00",402001,12503
28/04/2016,ZZS254393,2,35,CBC Computer Systems Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Systems,20.00,402001,12503
04/05/2016,ZZS254722,1,3529,Solutions SK Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Non Standard Elections,"20,000.00",400110,12110
04/05/2016,ZZS254726,1,10589,CDEC Ltd,181800,Environmental Services Technical Equipment ,Furniture and Equipment,Corporate and Support Services,Stockport Art Gallery-Access,"5,160.00",400110,11375
04/05/2016,ZZS254728,1,9543,Carillion (AMBS) Ltd,150000,Consultancy   ,Professional Fees,Corporate and Support Services,SPB Operational Estate,"8,000.00",401020,11662
04/05/2016,ZZS254737,1,6189,CACI SoftSmart Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Systems,"9,010.98",402002,12503
06/05/2016,ZZS254862,1,9567,Frontline Data ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,CSS Management,"14,445.00",402001,12499
09/05/2016,ZZS254902,1,4272,Civica UK Ltd,390000,Supplies and services,Supplies and services,Corporate and Support Services,Bentax,"25,000.00",401600,11139
16/05/2016,ZZS255316,1,9543,Carillion (AMBS) Ltd,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Head of Property& Procurement,"134,059.00",401020,12328
20/05/2016,ZZS255616,1,10505,ThoughtWorks Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Digital by Design Technical,"1,800,000.00",402004,11078
24/05/2016,ZZS255743,1,4272,Civica UK Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Bentax,"16,925.00",402001,11139
26/05/2016,ZZS255902,1,3290,Royal Mail,190000,Facilities & Management Services  ,Publicity and Promotion,Corporate and Support Services,Mailroom Service,"400,000.00",401806,11152
26/05/2016,ZZS255903,1,3290,Royal Mail,190000,Facilities & Management Services  ,Publicity and Promotion,Corporate and Support Services,Mailroom Service,"20,000.00",401806,11152
31/05/2016,ZZS256019,1,10007,KPMG LLP ADVISORY,150000,Consultancy   ,Professional Fees,Corporate and Support Services,Traded Services,"86,994.00",401020,11735
02/06/2016,ZZS256132,1,4272,Civica UK Ltd,390000,Supplies and services,Supplies and services,Corporate and Support Services,Bentax,"14,000.00",401600,11139
06/06/2016,ZZS256276,1,7628,Schools ICT Service Ltd,390000,"Works - Construction, Repair & Maintenance  ",Fees and Charges,Corporate and Support Services,IPT-Sims Trading Account,"8,892.00",401017,10422
06/06/2016,ZZS256285,1,4272,Civica UK Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Bentax,"13,168.95",402010,11139
07/06/2016,ZZS256388,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Digital by Design Technical,"2,811.45",402001,11078
07/06/2016,ZZS256388,2,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Digital by Design Technical,182.50,402001,11078
07/06/2016,ZZS256388,3,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,Digital by Design Technical,"2,391.55",402001,11078
14/06/2016,ZZS256652,1,3738,Open Text UKLtd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,I&C Systems,"50,099.54",402002,12503
15/06/2016,ZZS256732,1,10315,Grant Thornton UK LLP,201100,Financial Services Audit ,Professional Fees,Corporate and Support Services,U-Misc Finance-Corporate Management,"126,128.00",401003,10971
16/06/2016,ZZS256841,1,3529,Solutions SK Ltd,390000,"Works - Construction, Repair & Maintenance  ",Repairs and Maintenance,Corporate and Support Services,Civil Resilience,"10,000.00",200123,11103
17/06/2016,ZZS256937,1,2927,XMA Ltd,270000,Information Communication Technology  ,Information and Communications Technology,Corporate and Support Services,ICT- General,"8,177.00",402001,11073
21/06/2016,ZZS257060,1,10314,Berwick Partners,150000,Consultancy   ,Professional Fees,Corporate and Support Services,POD Management,"17,950.00",401007,12590
30/06/2016,ZZS257585,1,543,Konica Minolta Business Soltns,191600,Facilities & Management Services Printing ,Printing and Photocopying,Corporate and Support Services,Legal Services,"6,498.13",400800,11117
