Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum Of Amount
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,BEDFORD BOROUGH COUNCIL,2000026515,"12,354.45"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,BIRTENSHAW HALL SCHOOL,2000026309,"1,017.20"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,BLACKBURN WITH DARWEN BC,2000026311,"7,391.74"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,BLUEBIRD COMMUNITY PARTNERSHIP,2000026312,"4,678.84"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,BOLTON ASSOC NETWORK DROP-INS,2000026313,511.94
Department for Transport,Department for Transport,24/02/2011,BUS FDR Wales,Regional & Local Transport Policy,BRITISH RED CROSS,2000026316,795.59
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,BRITISH RED CROSS,2000026317,"3,609.78"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,BROMLEY COMMUNITY TRANSPORT (BATH),2000026318,"3,832.36"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,BRYLAINE TRAVEL,2000026319,"70,551.36"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,BUCKBYS COACHES,2000026320,"1,508.16"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,BURY ST EDMUNDS VOLUNTEER CENTRE,2000026322,"3,506.76"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,C T PLUS LTD,2000026324,"13,751.25"
Department for Transport,Department for Transport,24/02/2011,BUS FDR Wales,Regional & Local Transport Policy,CAERPHILLY COUNTY BOROUGH COUNCIL,2000026325,"9,174.07"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CALDERDALE MBC,2000026326,"28,598.69"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CAMBRIDGE DIAL-A-RIDE LTD,2000026327,"2,110.77"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CAREBUS VOLUNTEER GROUP,2000026328,821.45
Department for Transport,Department for Transport,24/02/2011,Travel Expenses UK,Transform Licensing Logistics and Sponsorship,CARLSON WAGONLIT TRAVEL,2000026541,"1,764.63"
Department for Transport,Department for Transport,24/02/2011,BUS FDR Wales,Regional & Local Transport Policy,CARTEL TRAVEL LTD,2000026329,"3,919.41"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CENTRAL BUSES LTD,2000026330,"14,525.51"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CENTREBUS LTD,2000026331,"30,916.06"
Department for Transport,Department for Transport,24/02/2011,BUS FDR Wales,Regional & Local Transport Policy,CHEPSTOW CLASSIC BUSES,2000026333,"33,190.77"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CHESTERFIELD AND DISTRICT COMMUNITY,2000026334,"26,793.39"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,COACH HOUSE TRAVEL,2000026336,"8,109.67"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,COASTAL COACHES,2000026337,"8,086.59"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,COLCHESTER COMM VOLUNTARY SERVICES,2000026338,623.95
Department for Transport,Department for Transport,24/02/2011,Rent - L&B (non-PFI),Finance & Estates ,COMMUNITIES AND LOCAL GOVERNMENT,2000026523,"21,291.63"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,COMMUNITY FIRST NEW FOREST,2000026340,829.23
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,COMMUNITY MINIBUS ASSOCATION,2000026341,"2,689.24"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,COMMUNITY TRANSPORT,2000026342,"3,713.04"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,COMMUNITY TRANSPORT MANCHESTER,2000026343,"25,477.28"
Department for Transport,Department for Transport,24/02/2011,Computer Consumables,Projects,COMPUTACENTER (UK) LTD,2000003907,501.79
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CONSTABLE COACHES LTD,2000026344,"4,430.01"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,COOK'S COACHES,2000026345,"63,362.54"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,COUNDON & LEEHOLME COM PSHIP,2000026347,"1,255.27"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CRAWLEY COMMUNITY TRANSPORT LTD,2000026349,"3,405.91"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,D & J DICKINSON,2000026350,"1,428.63"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,DARLINGTON BOROUGH COUNCIL,2000026351,"8,133.16"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,DEVIZES & DISTRICT P.H.A.B,2000026500,"1,655.80"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,DEVON COUNTY COUNCIL,2000026279,"153,376.86"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,DIAL-A-RIDE SOUTHERN SERVICES,2000026466,"3,045.08"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,DISCOVER DORSET LTD,2000026472,"4,421.76"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,DONCASTER COMMUNITY TRANSPORT,2000026503,"24,725.10"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,DORSET COUNTY COUNCIL SOCIAL SERVS,2000026352,"38,210.49"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,DUNN-LINE (HOLDINGS) LTD,2000026354,"227,762.81"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,DURHAM COUNTY COUNCIL,2000026473,"6,304.53"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,EALING COMMUNITY TRANSPORT LTD,2000026355,"23,994.13"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,EAST KENNET DISTRICT COM TRANSPORT,2000026356,868.21
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,EAST RIDING OF YORKSHIRE COUNCIL,2000026357,"87,436.19"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,EAST SURREY RURAL TRANSPORT P'SHIP,2000026358,"9,259.85"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,EAST TEIGNBRIDGE COM TRANSPORT,2000026359,"2,577.56"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,EASTBOURNE & DISTRICT MENCAP,2000026481,"2,115.88"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,EASTLEIGH COMMUNITY SERVICES,2000026361,"8,025.57"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,EDDIE STOBART LIMITED,2000026537,"25,612.00"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,EDDIE STOBART LIMITED,2000026537,"25,536.00"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,ELITE MINIBUS,2000026471,831.79
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,ENTERPRISE RESOURCE CENTRE,2000026479,"5,686.31"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,ESSEX COUNTY COUNCIL,2000026362,"66,011.91"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,F HUNT (COACH HIRE) LTD,2000026363,"4,365.53"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,FELIX BUS SERV LTD,2000026364,"4,675.37"
Department for Transport,Department for Transport,24/02/2011,Legal Consultancy,Finance & Estates ,FIELD FISHER WATERHOUSE LLP,2000026540,"25,326.72"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,FIRST DORSET,2000026365,"53,137.41"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,FIRST HAMPSHIRE & DORSET LTD,2000026366,"6,727.71"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,FIRST LEICESTER BUSES LTD,2000026367,"70,039.53"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,FORESIGHT PROJECT (NE LINCS) LTD,2000026369,536.34
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,FOUR TOWNS COMMUNITY TRANSPORT,2000026370,"4,840.25"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,FREIGHTLINER LTD,2000026538,"773,528.19"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,FRIEND IN NEED COMMUNITY CENTRE,2000026371,634.58
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,FRIENDLY TRANSPORT SERV,2000026372,639.54
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,GATWICK FLYER LTD,2000026484,"38,815.25"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,GB RAILFREIGHT LTD,2000026539,"120,485.80"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,GOOD NEIGHBOURS COMMUNITY TRANSPORT,2000026483,512.24
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,GOSPORT VOLUNTARY ACTION,2000026492,"1,099.17"
Department for Transport,Department for Transport,24/02/2011,Car Hire and Leasing,Standalone Units,GOVERNMENT CAR & DESPATCH AGENCY,2000026524,"6,403.50"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,GRACE EYRE FOUNDATION,2000026373,"3,451.81"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,GREENLINE BUSES,2000026375,632.62
Department for Transport,Department for Transport,24/02/2011,Rent - L&B (non-PFI),Finance & Estates ,GVA GRIMLEY,2000026531,"5,419.99"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,H SEMMENCE & CO LTD,2000026376,"12,517.46"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HADLEIGH COMMUNITY TRANSPORT,2000026377,"2,003.35"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HALTON BC,2000026379,"11,516.57"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HARROGATE DISTRICT COM TRANSPORT,2000026380,"17,502.69"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HARROW COMMUNITY TRANSPORT,2000026505,906.08
Department for Transport,Department for Transport,24/02/2011,Agency Staff Costs,Aviation,HAYS PERSONNEL SERVICE LTD,2000026526,644.86
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HENRY HULLEY & SONS LTD,2000026381,"1,001.14"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HENSHAWS COACHES LTD,2000026353,"2,460.11"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HERTSMERE COMMUNITY TRANSPORT,2000026504,547.8
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HINCKLEY & BOSWORTH,2000026382,888.75
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HWRCC - TRANSPORT SOLUTIONS,2000026384,567.34
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,ILKLEY & DISTRICT GOOD NEIGHBOURS,2000026385,802.99
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,INDEPENDENCE SOUTH WEST,2000026386,"1,271.88"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,J S PERRY & SON,2000026387,"3,886.64"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,JOHNSONS HENLEY,2000026388,"10,676.92"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,K & H DOYLE COACHES LTD,2000026389,"40,251.81"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,KEEP MOBILE COUNTRY TOURS LTD,2000026390,"8,115.28"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,KEIGHLEY COMMUNITY TRANSPORT,2000026391,"3,290.71"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,KEN MILLER BUSES,2000026392,"2,129.29"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,KENT AUTISTIC TRUST,2000026393,"3,777.26"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,KENT COUNTY COUNCIL,2000026394,"11,812.70"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,KINGSWOOD COMMUNITY TRANSPORT,2000026395,"5,687.62"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,LANGSTON & TASKER,2000026396,"4,018.69"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,LECKS TRAVEL,2000026517,"7,721.38"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,LEEDS ALTERNATIVE TRAVEL,2000026397,"14,390.38"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,LEEDS CITY COUNCIL,2000026398,"130,219.12"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,LIVERPOOL COMMUNITY TRANSPORT LTD,2000026518,"20,854.94"
Department for Transport,Department for Transport,24/02/2011,BUS FDR Wales,Regional & Local Transport Policy,LLEW JONES LTD,2000026399,"6,510.54"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,LONDON BOROUGH OF BARKING DAGENHAM,2000026486,"12,123.31"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,LONDON BOROUGH OF BRENT,2000026400,"23,412.12"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,LONDON BOROUGH OF CAMDEN,2000026507,"24,286.01"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,LONDON BOROUGH OF HARROW,2000026499,"80,340.28"
Department for Transport,Department for Transport,24/02/2011,BUS FDR Wales,Regional & Local Transport Policy,LONGFIELDS WALSINGHAM,2000026401,"2,936.47"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,LOUTH INTERSKILL,2000026489,710.77
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,LYDNEY DIAL-A-RIDE,2000026402,"5,448.34"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,M & D MINI COACHES LTD,2000026403,"3,897.64"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,MANCHESTER CITY COUNCIL,2000026516,"24,137.64"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,MANCHESTER COMMUNITY TRANSPORT LTD,2000026404,"13,406.47"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,MANCHESTER COMMUNITY TRANSPORT LTD,2000026404,"43,148.52"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,MIDDLESBROUGH BC,2000026278,"12,045.77"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,MILFORD & VILLAGES DAY CENTRE,2000026406,910.75
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,MILTON KEYNES COMMUNITY TRANSPORT,2000026407,"17,940.08"
Department for Transport,Department for Transport,24/02/2011,Management Consultancy,Transport Security,MR MIKE THEXTON,2000026532,505.8
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,MRC COMMUNITY ACTION,2000026410,"2,542.51"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,MS B ADAMS,2000026452,501.87
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,N W A C T A,2000026409,"1,478.16"
Department for Transport,Department for Transport,24/02/2011,Further Education Leading to Qualifications,Strategic Roads and National Networks,NATIONAL SCHOOL OF GOVERNMENT,2000003906,895
Department for Transport,Department for Transport,24/02/2011,Training,Transport Analysis and Economics,NATIONAL SCHOOL OF GOVERNMENT,2000026525,805
Department for Transport,Department for Transport,24/02/2011,Training,Transport Analysis and Economics,NATIONAL SCHOOL OF GOVERNMENT,2000026525,930
Department for Transport,Department for Transport,24/02/2011,BUS FDR Wales,Regional & Local Transport Policy,NEATH PORT TALBOT COM TRANSPORT,2000026411,"5,306.91"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,NELSON COACHES (WICKFORD) LTD,2000026412,648
Department for Transport,Department for Transport,24/02/2011,BUS FDR Wales,Regional & Local Transport Policy,NEWPPORT CITY COUNCIL,2000026521,"13,555.65"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,NORTH SALOP WHEELERS,2000026475,663.03
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,NORTHUMBERLAND COUNTY COUNCIL,2000026513,"33,702.98"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,NOTTINGHAMSHIRE CC,2000026413,"36,318.85"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,OKEHAMPTON DISTRICT COMMUNITY,2000026414,"1,107.47"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,OLYMPIA TRAVEL UK LTD,2000026415,"1,006.09"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,OPEN COUNTRY,2000026416,763.82
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,OPERATIONAL TRANSPORT,2000026417,"45,783.15"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,OSBORNE SCHOOL,2000026418,"2,240.49"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,PAUL JAMES COACHES VEOLIA TRANSPORT,2000026419,"24,553.69"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,PEOPLE TO PLACES,2000026420,"3,279.38"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,PORTSMOUTH CNCL COM SERVICE,2000026421,"4,280.59"
Department for Transport,Department for Transport,24/02/2011,Financial Consultancy,Finance & Estates ,PRGX UK LIMITED,2000026543,"3,353.17"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,R KIME & CO T/A KIMES COACHES,2000026422,"23,341.73"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,REDCAR & CLEVELAND BC,2000026424,"32,998.34"
Department for Transport,Department for Transport,24/02/2011,Agency Staff Costs,Transport Security,REED SPECIALIST RECRUITMENT LTD,2000026534,829.01
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,REETH & DIST COMMUNITY TRANSPORT LT,2000026425,909.39
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,RICHARDSON TRAVEL LTD,2000026427,737.79
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,RICHMOND & KINGSTON ACCESS TRANS,2000026428,"6,085.37"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,ROTHERHAM COMMUNITY TRANSPORT,2000026430,"26,183.95"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,RUBICON CLASSIC TRAVEL,2000026431,"7,291.14"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,RYE & DISTRICT COMMUNITY TRANSPORT,2000026432,"1,098.95"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SANDHURST DAY CENTRE,2000026433,555.28
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SEVERN HOSPICE,2000026434,809.28
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SHAMROCK BUSES LTD,2000026435,"40,647.14"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SHEFFIELD COMMUNITY TRANSPORT,2000026436,"11,060.84"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SHEFFIELD DIAL- A- RIDE CLUB,2000026437,"2,790.32"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SHREWSBURY DIAL-A-RIDE,2000026438,"3,588.33"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SOMERSET COUNTY COUNCIL,2000026439,"6,117.95"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SOMERSET COUNTY COUNCIL,2000026498,"5,926.83"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SOUTH EAST ESSEX DIAL A RIDE,2000026440,"1,935.10"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SOUTH TYNESIDE MBC,2000026442,612.19
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SSVCA,2000026443,"8,368.49"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAGECOACH IN EAST SUSSEX,2000026360,"2,579.22"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STANLEY TRAVEL,2000026519,"5,852.20"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,STAR TRAVEL SERVICES,2000026444,"9,422.33"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SUFFOLK ACRE SERVICES LTD,2000026445,"1,131.19"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SUTTON COMMUNITY TRANSPORT,2000026446,"10,024.63"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TAMESIDE METROPOLITAN,2000026496,"7,925.98"
Department for Transport,Department for Transport,24/02/2011,BUS FDR Wales,Regional & Local Transport Policy,TANAT VALLEY COACHES,2000026448,"22,671.76"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TAVISTOCK DISTRICT TRANSPORT PSHIP,2000026449,"1,247.41"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TELLINGS GOLDEN MILLER GROUP,2000026497,"1,125.67"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TENTERDEN AND DISTRICT DAY CENTRE,2000026474,"1,746.11"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TETLEYS MOTOR SERVICES LTD,2000026450,"2,969.25"
Department for Transport,Department for Transport,24/02/2011,Curr Grant to Priv Sect-Persons & NPISH,Projects,TFL (TRANSPORT TRADING LIMITED),2000003908,"3,666,036.00"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,THAMES SHIPPING LIMITED,2000026544,"4,592.21"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TRANSPORTING SOMERSET TAUNTON SCC,2000026478,"13,096.95"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TRAVEL WITH HUNNY BUS -,2000026491,"17,092.47"
Department for Transport,Department for Transport,24/02/2011,Legal Consultancy,Transport Security,TREASURY SOLICITOR,2000026522,720.8
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TUNBRIDGE WELLS AGE CONCERN,2000026453,"1,551.94"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,TYNESIDE TRAVEL 2007 LTD,2000026477,982.29
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,UNIVERSITYBUS,2000026454,"40,891.00"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,UNO BUSES LTD,2000026476,"7,344.87"
Department for Transport,Department for Transport,24/02/2011,Subsidies to Private Sector,Regional & Local Transport Policy,UTTLESFORD COMMUNITY TRAVEL,2000026456,"3,969.99"
Department for Transport,Department for Transport,24/02/2011,Mobile Phone charges,CRN Group,VODAFONE LTD,2000026536,"2,578.62"
Department for Transport,Department for Transport,24/02/2011,Mobile Phone charges,Transform Licensing Logistics and Sponsorship,VODAFONE LTD,2000026536,"5,099.16"
Department for Transport,Department for Transport,24/02/2011,BUS FDR Wales,Regional & Local Transport Policy,VOEL COACHES LTD,2000026458,"2,341.50"
