Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,VOLUNTEER CENTRE BUXTON & DIST,2000029249,640.57
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WALTERS LIMOUSINES,2000029250,"23,983.47"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WALTHAM FOREST COMMUNITY TRANSPORT,2000029251,"8,369.88"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WARWICKSHIRE CC,2000029252,"31,362.93"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WAVERLEY HOPPA COM TRANSPORT,2000029253,"8,063.09"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WESSEX COMMUNITY ACTION,2000029254,"2,664.73"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WESTERN GREYHOUND LTD,2000029255,"115,451.21"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,YARRANTON BROS LTD,2000029258,"4,128.31"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,YEOMANS CANYON TRAVEL,2000029259,"7,605.04"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SHEFFIELD CITY COUNTY COUNCIL,2000029260,"77,267.27"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CITY OF STOKE ON TRENT,2000029261,"8,722.13"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,AGE CONCERN BATH,2000029262,909.13
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,NEW HORIZON TRAVEL LTD,2000029263,"4,982.97"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,COTSWOLD COUNCIL,2000029265,"2,549.54"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,FAMILY SUPPORT - BRIGHTLINGSEA,2000029266,830.94
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,G & R TRAVEL,2000029267,"2,488.15"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,HARTCLIFFE & WITHYWOOD COMMUNITY,2000029271,"2,037.29"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,WEST HULL COMMUNITY TRANSPORT,2000029275,"5,574.82"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,SKILLS MOTOR COACHES LTD,2000029276,"9,518.12"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,LACE HOUSING ASSOCIATION,2000029278,"4,659.45"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,CT PLUS YORKSHIRE,2000029279,"57,690.39"
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Regional & Local Transport Policy,YELLOW STAR T/A BURTON'S COACHES,2000029281,"74,376.32"
Department for Transport,Department for Transport,29/03/2011,Contract Cleaning,Accident Investigating Branches,PROGRESS CLEANING SERVICES,2000029307,702
Department for Transport,Department for Transport,29/03/2011,Research,Road & Vehicle Safety & Standards,TRL LTD,2000029308,900
Department for Transport,Department for Transport,29/03/2011,Research,Road & Vehicle Safety & Standards,TRL LTD,2000029308,900
Department for Transport,Department for Transport,29/03/2011,Research,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000029309,639
Department for Transport,Department for Transport,29/03/2011,Research,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000029309,"5,468.00"
Department for Transport,Department for Transport,29/03/2011,Transport Consultancy,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000029309,"-13,665.60"
Department for Transport,Department for Transport,29/03/2011,Transport Consultancy,Regional & Local Transport,ATKINS LTD (MANAGEMENT CONSULTANTS),2000029309,"12,001.20"
Department for Transport,Department for Transport,29/03/2011,Software Licences Capital Cost (Intangible),Information Management Directorate,ATOS ORIGIN IT SERVICES UK LTD,2000029310,"301,317.60"
Department for Transport,Department for Transport,29/03/2011,HR Consultancy,Human Resources,BEAMANS MANAGEMENT CONSULTANTS LTD,2000029312,"4,606.80"
Department for Transport,Department for Transport,29/03/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000029314,"38,949.00"
Department for Transport,Department for Transport,29/03/2011,Research,Road & Vehicle Safety & Standards,AECOM LIMITED,2000029316,"2,135.00"
Department for Transport,Department for Transport,29/03/2011,Transport Consultancy,Transform Licensing Logistics and Sponsorship,AECOM LIMITED,2000029316,"51,212.40"
Department for Transport,Department for Transport,29/03/2011,Research,Road & Vehicle Safety & Standards,INSPEC INTERNATIONAL LTD,2000029317,"27,123.32"
Department for Transport,Department for Transport,29/03/2011,Financial Consultancy,Finance & Estates ,METHODS CONSULTING LTD,2000029318,"16,500.00"
Department for Transport,Department for Transport,29/03/2011,Printing,Accident Investigating Branches,MWL PRINT GROUP LTD,2000029320,"6,140.00"
Department for Transport,Department for Transport,29/03/2011,Training,Accident Investigating Branches,SIGNET SOLUTIONS LTD,2000029321,800
Department for Transport,Department for Transport,29/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000029322,"25,286.64"
Department for Transport,Department for Transport,29/03/2011,Telephone charges,Information Management Directorate,VERIZON BUSINESS,2000029323,"1,884.39"
Department for Transport,Department for Transport,29/03/2011,Machinery Rental,Road & Vehicle Safety & Standards,XEROX (UK) LTD,2000029324,470.88
Department for Transport,Department for Transport,29/03/2011,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,D B SHENKER RAIL (UK) LIMITED,2000029326,"29,523.63"
Department for Transport,Department for Transport,29/03/2011,Electricity,Accident Investigating Branches,MINISTRY OF DEFENCE,2000029327,"2,178.80"
Department for Transport,Department for Transport,29/03/2011,Secondments,INE Group ,RENEWABLE FUELS AGENCY,2000029328,"4,308.80"
Department for Transport,Department for Transport,29/03/2011,Secondments,INE Group ,RENEWABLE FUELS AGENCY,2000029328,"4,546.31"
Department for Transport,Department for Transport,29/03/2011,Storage & Distribution,Accident Investigating Branches,MR T BOYLE,2000029330,"1,600.00"
Department for Transport,Department for Transport,29/03/2011,Financial Consultancy,Corporate Finance ,SEQUOIA INVESTMENT,2000029332,"5,640.00"
Department for Transport,Department for Transport,29/03/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000029335,"206,293.00"
Department for Transport,Department for Transport,29/03/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000029335,"36,297.12"
Department for Transport,Department for Transport,29/03/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000029335,"30,153.42"
Department for Transport,Department for Transport,29/03/2011,Car Hire and Leasing,Standalone Units,GOVERNMENT CAR & DESPATCH AGENCY,2000029336,"2,550.00"
Department for Transport,Department for Transport,29/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,HIGHWAYS AGENCY (14272),2000029337,"5,954.26"
Department for Transport,Department for Transport,29/03/2011,Room Hire,Finance & Estates ,CITY INN WESTMINSTER,2000029338,566.66
Department for Transport,Department for Transport,30/03/2011,Storage & Distribution charges,Information Management Directorate,COMMUNITIES AND LOCAL GOVERNMENT,2000029394,"23,158.08"
Department for Transport,Department for Transport,30/03/2011,Services provided by OGDs,Maritime and Dangerous Goods,GOVERNMENT ACTUARY'S DEPARTMENT,2000029396,"3,702.00"
Department for Transport,Department for Transport,30/03/2011,Other Current Grants to NDPBs (in budgets),Aviation,ROYAL HOUSEHOLD,2000029398,"150,000.00"
Department for Transport,Department for Transport,30/03/2011,Agency Staff Costs,Aviation,HAYS PERSONNEL SERVICE LTD,2000029399,644.86
Department for Transport,Department for Transport,30/03/2011,Agency Staff Costs,Human Resources,HAYS PERSONNEL SERVICE LTD,2000029399,"3,283.20"
Department for Transport,Department for Transport,30/03/2011,Printing,Standalone Units,TAURUS PRINT & DESIGN LTD,2000029401,496
Department for Transport,Department for Transport,30/03/2011,Other Professional Fees,Environment and International,AEA TECHNOLOGY PLC,2000029402,"12,225.00"
Department for Transport,Department for Transport,30/03/2011,Agency Staff Costs,Finance & Estates ,ALLEN LANE FINANCIAL RECRUITMENT,2000029403,"4,080.00"
Department for Transport,Department for Transport,30/03/2011,Protective Clothing,Accident Investigating Branches,ARCO LTD,2000029404,"1,714.56"
Department for Transport,Department for Transport,30/03/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000029405,696.79
Department for Transport,Department for Transport,30/03/2011,Research,Aviation,CAA INTERNATIONAL LTD,2000029406,"74,734.63"
Department for Transport,Department for Transport,30/03/2011,Other Advertising,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000029407,"1,250.00"
Department for Transport,Department for Transport,30/03/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000029407,"25,560.00"
Department for Transport,Department for Transport,30/03/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000029407,"6,192.00"
Department for Transport,Department for Transport,30/03/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000029407,"42,660.00"
Department for Transport,Department for Transport,30/03/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000029407,"4,750.00"
Department for Transport,Department for Transport,30/03/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000029407,"36,507.60"
Department for Transport,Department for Transport,30/03/2011,Web Design Services,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000029407,"1,800.00"
Department for Transport,Department for Transport,30/03/2011,Secondments,Aviation,CIVIL AVIATION AUTHORITY,2000029408,"24,101.51"
Department for Transport,Department for Transport,30/03/2011,Computer equipment,Information Management Directorate,COMPUTACENTER (UK) LTD,2000029409,"1,770.48"
Department for Transport,Department for Transport,30/03/2011,Computer equipment,Information Management Directorate,COMPUTACENTER (UK) LTD,2000029409,"2,448.00"
Department for Transport,Department for Transport,30/03/2011,Small Software,Accident Investigating Branches,DIRECT VISUAL LTD,2000029410,"5,278.80"
Department for Transport,Department for Transport,30/03/2011,Support Services,Accident Investigating Branches,E R A TECHNOLOGY LTD,2000029411,"4,980.00"
Department for Transport,Department for Transport,30/03/2011,Occupational Health Scheme,Human Resources,EMPLOYEE ADVISORY RESOURCE LTD,2000029412,"1,279.82"
Department for Transport,Department for Transport,30/03/2011,Agency Staff Costs,Finance & Estates ,KELLY SERVICES (UK) LTD,2000029414,914.14
Department for Transport,Department for Transport,30/03/2011,Property Maintenance,Information Management Directorate,LANDSECURITIES TRILLIUM,2000029415,"1,413.73"
Department for Transport,Department for Transport,30/03/2011,Research,Road & Vehicle Safety & Standards,LOUGHBOROUGH UNIV ENTERPRISES LTD,2000029416,"52,000.00"
Department for Transport,Department for Transport,30/03/2011,Small Software,Finance & Estates ,NCC GROUP(SOLUTIONS) PLC,2000029417,"1,194.00"
Department for Transport,Department for Transport,30/03/2011,Data Supply - Transport Direct,Information Management Directorate,OAG WORLDWIDE LTD,2000029418,"2,106.00"
Department for Transport,Department for Transport,30/03/2011,Stock stationery issued,Maritime and Dangerous Goods,PRINT STATION (HASTINGS) LTD,2000029419,619.2
Department for Transport,Department for Transport,30/03/2011,Management Consultancy,Finance & Estates ,QUINCEY MASON PRACTICES LTD,2000029420,"3,014.16"
Department for Transport,Department for Transport,30/03/2011,Management Consultancy,Finance & Estates ,QUINCEY MASON PRACTICES LTD,2000029420,"1,308.78"
Department for Transport,Department for Transport,30/03/2011,Management Consultancy,Finance & Estates ,QUINCEY MASON PRACTICES LTD,2000029420,"1,507.08"
Department for Transport,Department for Transport,30/03/2011,Management Consultancy,Finance & Estates ,QUINCEY MASON PRACTICES LTD,2000029420,838.96
Department for Transport,Department for Transport,30/03/2011,Telephone charges,Information Management Directorate,SIEMENS ENTERPRISE COMMUNICATIONS L,2000029422,"1,639.20"
Department for Transport,Department for Transport,30/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000029424,"2,376.00"
Department for Transport,Department for Transport,30/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000029424,"1,373.35"
Department for Transport,Department for Transport,30/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000029424,"1,373.35"
Department for Transport,Department for Transport,30/03/2011,Research,Transform Licensing Logistics and Sponsorship,TRANSPORT RESEARCH LABORATORY,2000029425,"9,996.45"
Department for Transport,Department for Transport,30/03/2011,Property Maintenance,Accident Investigating Branches,UNIVERSAL OFFICE INSTALLATIONS LTD,2000029426,638.4
Department for Transport,Department for Transport,30/03/2011,Curr Grant to Priv Sect-Persons & NPISH,Regional & Local Transport Delivery,SUSTRANS LTD,2000029430,"50,000.00"
Department for Transport,Department for Transport,30/03/2011,Curr Grant to Priv Sect-Persons & NPISH,Regional & Local Transport Delivery,YOUTH SPORT TRUST,2000029432,"100,000.00"
Department for Transport,Department for Transport,30/03/2011,Training,Transport Security,INTERNATIONAL LEARNING,2000029433,"1,953.60"
Department for Transport,Department for Transport,30/03/2011,Training,Finance & Estates ,ENVIRONMENT AGENCY,2000029434,"1,290.00"
Department for Transport,Department for Transport,30/03/2011,Telephone charges,Information Management Directorate,VIRGIN MEDIA BUSINESS,2000029436,"20,087.67"
Department for Transport,Department for Transport,30/03/2011,Capital Grant to Priv Sector - Companies,Regional & Local Transport Delivery,NORTHERN RAIL LTD,2000029437,"120,000.00"
Department for Transport,Department for Transport,30/03/2011,Current Grant to other CG body,London and Road Demand Management,HOME OFFICE,2000029438,"2,060,000.00"
Department for Transport,Department for Transport,30/03/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000029439,"42,445.85"
Department for Transport,Department for Transport,30/03/2011,Citi Gen Fund Acc IAT in CLR,Finance & Estates ,DFT ONE TIME VENDOR,2000029440,"15,700.15"
Department for Transport,Department for Transport,31/03/2011,Stationery (Non-stock),Audit and Risk Assurance,BANNER BUSINESS SERVICES LTD,2000029500,"3,242.11"
Department for Transport,Department for Transport,31/03/2011,Research,Environment and International,AEA TECHNOLOGY PLC,2000029501,"18,742.80"
Department for Transport,Department for Transport,31/03/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000029502,"3,997.98"
Department for Transport,Department for Transport,31/03/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000029502,"5,376.13"
Department for Transport,Department for Transport,31/03/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000029502,"2,550.00"
Department for Transport,Department for Transport,31/03/2011,Property Maintenance,Accident Investigating Branches,AUORA SYSTEMS,2000029502,"4,943.44"
Department for Transport,Department for Transport,31/03/2011,IT Consultancy,Accident Investigating Branches,AVENCA LTD,2000029503,"3,600.00"
Department for Transport,Department for Transport,31/03/2011,IT Consultancy,Accident Investigating Branches,AVENCA LTD,2000029503,"5,760.00"
Department for Transport,Department for Transport,31/03/2011,IT Equipment Capital Cost,Accident Investigating Branches,BASSOM COMPUTER CONSULTANCY,2000029504,"10,449.02"
Department for Transport,Department for Transport,31/03/2011,Support Services,Aviation,CARDIFF INTNL AIRPORT LTD,2000029505,"23,293.50"
Department for Transport,Department for Transport,31/03/2011,Media & Press,Communication Directorate ,CENTRAL OFFICE OF INFORMATION,2000029506,"3,570.05"
Department for Transport,Department for Transport,31/03/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000029506,"14,040.00"
Department for Transport,Department for Transport,31/03/2011,Publicity,Road & Vehicle Safety & Standards,CENTRAL OFFICE OF INFORMATION,2000029506,"4,569.00"
Department for Transport,Department for Transport,31/03/2011,Training,Accident Investigating Branches,CRANFIELD UNIVERSITY,2000029508,"3,100.00"
Department for Transport,Department for Transport,31/03/2011,Agency Staff Costs,Information Management Directorate,GLOTEL INTERNATIONAL LTD,2000029510,"2,850.00"
Department for Transport,Department for Transport,31/03/2011,Medical Advisory Service,Human Resources,HEALTH MANAGEMENT LTD,2000029511,"2,002.50"
Department for Transport,Department for Transport,31/03/2011,Agency Staff Costs,Transport Security,REED SPECIALIST RECRUITMENT LTD,2000029513,508.9
Department for Transport,Department for Transport,31/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000029514,"2,565.22"
Department for Transport,Department for Transport,31/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000029514,"3,030.00"
Department for Transport,Department for Transport,31/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000029514,"2,106.00"
Department for Transport,Department for Transport,31/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000029514,576
Department for Transport,Department for Transport,31/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000029514,"4,853.50"
Department for Transport,Department for Transport,31/03/2011,Traffic Survey & Counting Equipment,London and Road Demand Management,TDC SYSTEMS LIMITED,2000029514,"3,836.37"
Department for Transport,Department for Transport,31/03/2011,Research,Road & Vehicle Safety & Standards,TRANSPORT RESEARCH LABORATORY,2000029515,"2,010.67"
Department for Transport,Department for Transport,31/03/2011,Research,Transport Security,TRANSPORT RESEARCH LABORATORY,2000029515,"61,434.88"
Department for Transport,Department for Transport,31/03/2011,Subsidies to Private Sector,Transform Licensing Logistics and Sponsorship,JOHN G RUSSELL (TRANSPORT) LTD,2000029517,"58,917.00"
Department for Transport,Department for Transport,31/03/2011,Data Supply - Transport Direct,Information Management Directorate,TRAFFICLINK (UK) LIMITED,2000029518,"20,000.00"
Department for Transport,Department for Transport,31/03/2011,Support Services,Aviation,BAE SYSTEMS (AVIATION SERVICES)LTD,2000029519,"17,166.90"
Department for Transport,Department for Transport,31/03/2011,Training,Accident Investigating Branches,CRAIGARD PROPERTY TRADING LTD,2000029520,509.75
Department for Transport,Department for Transport,31/03/2011,Capital Grants to Local Authorities,Regional & Local Transport Delivery,ITSO,2000029521,"608,000.00"
Department for Transport,Department for Transport,31/03/2011,Other Current Grants to NDPBs (in budgets),Regional & Local Transport Delivery,ITSO,2000029521,"1,750,000.00"
Department for Transport,Department for Transport,31/03/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000029522,"1,162.93"
Department for Transport,Department for Transport,31/03/2011,Estate Management,Finance & Estates ,AMEY BUSINESS SERVICES LTD,2000029522,"1,399.91"
Department for Transport,Department for Transport,31/03/2011,Land & Buildings (excl Dwellings) Capital Cost,Finance & Estates ,KIER REGIONAL LTD,2000029523,"424,421.49"
Department for Transport,Department for Transport,31/03/2011,Research,Aviation,INTERNATIONAL ENERGY AGENCY,2000029524,"7,915.00"
Department for Transport,Department for Transport,31/03/2011,Legal Consultancy,Human Resources,TREASURY SOLICITOR,2000029525,929.2
Department for Transport,Department for Transport,31/03/2011,Legal Consultancy,Human Resources,TREASURY SOLICITOR,2000029525,862.16
Department for Transport,Department for Transport,31/03/2011,Legal Consultancy,Human Resources,TREASURY SOLICITOR,2000029525,"2,654.20"
Department for Transport,Department for Transport,31/03/2011,Legal Consultancy,Human Resources,TREASURY SOLICITOR,2000029525,"2,301.96"
Department for Transport,Department for Transport,31/03/2011,Legal Consultancy,Human Resources,TREASURY SOLICITOR,2000029525,"1,954.89"
Department for Transport,Department for Transport,31/03/2011,Legal Consultancy,Human Resources,TREASURY SOLICITOR,2000029525,"9,876.82"
Department for Transport,Department for Transport (SSC),01/03/2011,Service Charge Computer Expenses,DFT Shared Services Centre,IBM UNITED KINGDOM LTD,2000448979,"15,433.60"
Department for Transport,Department for Transport (SSC),01/03/2011,Small Software,DFT Shared Services Centre,IBM UNITED KINGDOM LTD,2000448979,"38,547.11"
Department for Transport,Department for Transport (SSC),01/03/2011,Project Developments,DFT Shared Services Centre,IBM UNITED KINGDOM LTD,2000452724,"207,948.35"
Department for Transport,Department for Transport (SSC),25/03/2011,Project Developments,DFT Shared Services Centre,IBM UNITED KINGDOM LTD,2000482891,"207,948.35"
Department for Transport,Department for Transport (SSC),28/03/2011,Furniture & Fittings,DFT Shared Services Centre,TELEREAL TRILLIUM,2000487657,541.1
Department for Transport,Department for Transport (SSC),28/03/2011,Estates PFI Unitary Service Charge,DFT Shared Services Centre,TELEREAL TRILLIUM,2000487657,"53,547.70"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,IT Services  Running Costs,Finance & Strategy,IBM UNITED KINGDOM LTD,2000452724,"-2,500,000.00"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Infrastructure Maintenance,Information Services,IBM UNITED KINGDOM LTD,2000448979,"-8,794.75"
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Information Services,MBA GROUP LTD,2000448977,-33.29
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Information Services,MBA GROUP LTD,2000448977,-33.23
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Information Services,MBA GROUP LTD,2000448977,-33.21
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,10.44
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,18.77
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,20.89
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,21
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Information Services,MBA GROUP LTD,2000448977,21.1
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,21.12
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,21.94
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Information Services,MBA GROUP LTD,2000448977,22.31
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Information Services,MBA GROUP LTD,2000448977,22.31
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,22.81
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,23.36
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,23.36
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,23.36
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,23.37
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,23.4
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,23.43
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Information Services,MBA GROUP LTD,2000448977,23.93
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,28.43
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,28.79
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,30.39
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,30.39
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,30.39
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,30.39
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,30.41
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,30.49
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,31.67
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,34.67
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,34.67
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,38.51
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,40.72
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,41.77
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Information Services,MBA GROUP LTD,2000448977,42.21
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Information Services,MBA GROUP LTD,2000448977,44.63
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,46.56
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,55.33
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,60.77
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,63.21
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,81.44
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Information Services,MBA GROUP LTD,2000448977,84.42
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Information Services,MBA GROUP LTD,2000448977,89.27
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,99.68
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,109.11
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,109.11
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,145.48
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,199.36
Department for Transport,Driver and Vehicle Licensing Agency,01/03/2011,Printing Stock Balances,Operations,MBA GROUP LTD,2000448977,199.36
