Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,SumOfAmount,Text,Postcode
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Non Secured stock ,Information Services,FT PRINT SOLUTIONS,2000205895,"10,301.60"
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Oil,Finance & Strategy,TELEREAL TRILLIUM,2000183145,"1,337.82"
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Printing Stock ,Operations,STRALFORS PLC,2000185273,-0.01
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Printing Stock ,Operations,STRALFORS PLC,2000185273,-0.02
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Printing Stock ,Operations,STRALFORS PLC,2000192400,806.22
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Printing Stock ,Information Services,FT PRINT SOLUTIONS,2000203353,-306
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Secured Stock,Operations,FT PRINT SOLUTIONS,2000183136,"1,830.00"
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Secured Stock,Operations,STRALFORS PLC,2000185273,"1,210.19"
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Secured Stock,Operations,STRALFORS PLC,2000185273,"1,129.38"
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Secured Stock,Operations,STRALFORS PLC,2000185273,"8,633.04"
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Secured Stock,Operations,STRALFORS PLC,2000185273,"2,179.85"
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Secured Stock,Information Services,PREMIER PAPER GROUP LTD,2000185280,"4,147.20"
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Secured Stock,Information Services,ADHESIVE COATINGS LTD,2000185291,"5,590.36"
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Secured Stock,Operations,STRALFORS PLC,2000192400,"7,339.19"
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Trade Plate Expenses,Operations,SANDHURST AUTOPRINT LIMITED,2000183153,909.36
Department for Transport,Driver and Vehicle Licensing Agency,10/09/2011,Trade Plate Expenses,Operations,SANDHURST AUTOPRINT LIMITED,2000185289,602.1
Department for Transport,Driver and Vehicle Licensing Agency,11/09/2011,Courier Charges ,Operations,DX SECURE LIMITED,2000185286,"28,677.81"
Department for Transport,Driver and Vehicle Licensing Agency,11/09/2011,Debt Collection,Finance & Strategy,Philips Collection Services Ltd,2000185287,537.6
Department for Transport,Driver and Vehicle Licensing Agency,11/09/2011,Machinery Maintenance,Finance & Strategy,RR Donnelley,2000190819,"3,205.30"
Department for Transport,Driver and Vehicle Licensing Agency,12/09/2011,Debt Collection,Finance & Strategy,INTER CREDIT INTERNATIONAL LTD,2000216706,552
Department for Transport,Driver and Vehicle Licensing Agency,12/09/2011,Debt Collection,Finance & Strategy,INTER CREDIT INTERNATIONAL LTD,2000216706,"10,316.00"
Department for Transport,Driver and Vehicle Licensing Agency,12/09/2011,Debt Collection,Finance & Strategy,INTER CREDIT INTERNATIONAL LTD,2000216706,"19,773.78"
Department for Transport,Driver and Vehicle Licensing Agency,12/09/2011,Debt Collection,Finance & Strategy,INTER CREDIT INTERNATIONAL LTD,2000216706,"1,529.00"
Department for Transport,Driver and Vehicle Licensing Agency,12/09/2011,Freight Charges,Operations,PARCELFORCE WORLDWIDE,2000216709,679.8
Department for Transport,Driver and Vehicle Licensing Agency,12/09/2011,IT Services  Running Costs,Operations,IBM UK LTD (EURO PAYMENTS),2000216761,"781,172.61"
Department for Transport,Driver and Vehicle Licensing Agency,12/09/2011,Medical Advisory Service,Human Resource & Estates,EMPLOYEE ADVISORY RESOURCE LTD,2000189278,"4,096.41"
Department for Transport,Driver and Vehicle Licensing Agency,12/09/2011,Non Stock Machine Consumables,Operations,STANFORD MARSH LIMITED,2000189269,588
Department for Transport,Driver and Vehicle Licensing Agency,12/09/2011,Publicity,Operations,BT Phone Book Advertising,2000216713,"7,068.80"
Department for Transport,Driver and Vehicle Licensing Agency,12/09/2011,Subsistence UK,Finance & Strategy,EXPOTEL HOTEL RESERVATIONS LTD,2000196499,"6,170.26"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Agents Fees,Operations,IDENTITY AND PASSPORT SERVICE,2000189275,888
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Car Hire and Leasing,Finance & Strategy,LEX AUTOLEASE LTD,2000190826,"7,050.12"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Car Hire and Leasing,Human Resource & Estates,LEX AUTOLEASE LTD,2000216704,"3,737.28"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Car Hire and Leasing,Operations,LEX AUTOLEASE LTD,2000216704,"3,857.76"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Live Running ,Corporate Affairs,NDI TECHNOLOGIES LTD,2000189271,"1,000.00"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Non Secured stock ,Operations,MBA GROUP LTD,2000189262,496.8
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Non Secured stock ,Operations,MBA GROUP LTD,2000189262,501.3
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Non Secured stock ,Operations,MBA GROUP LTD,2000189262,501.3
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Non Secured stock ,Operations,MBA GROUP LTD,2000192399,"1,141.56"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Non Secured stock ,Operations,MBA GROUP LTD,2000192399,"1,013.76"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Non Secured stock ,Operations,MBA GROUP LTD,2000192399,"5,607.00"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Other Professional Fees,Finance & Strategy,GARTNER UK LIMITED,2000190828,"59,100.00"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000189262,22.55
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000189262,22.5
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000189262,22.5
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000192399,50.4
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000192399,50.4
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000192399,46.08
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000192399,32.5
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000192399,38.01
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000192399,252
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000192399,65
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Information Services,MBA GROUP LTD,2000192399,25.2
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000192399,24.84
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000192399,39.05
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000192399,27.65
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Royal Mail Selectapost Charges,Operations,ROYAL MAIL,2000218149,"1,711.68"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Secured Stock,Operations,MBA GROUP LTD,2000192399,"1,110.60"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Secured Stock,Operations,MBA GROUP LTD,2000192399,729.55
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Secured Stock,Operations,MBA GROUP LTD,2000192399,832.13
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Secured Stock,Operations,MBA GROUP LTD,2000192399,"1,459.10"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Secured Stock,Information Services,MBA GROUP LTD,2000192399,554.4
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Secured Stock,Operations,MBA GROUP LTD,2000192399,547.56
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Secured Stock,Operations,MBA GROUP LTD,2000192399,873.19
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Secured Stock,Operations,MBA GROUP LTD,2000192399,618.62
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Stationery (Non-stock),Operations,LYRECO,2000189273,"1,256.64"
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Stationery (Non-stock),Operations,LYRECO,2000189273,891.7
Department for Transport,Driver and Vehicle Licensing Agency,13/09/2011,Stationery (Non-stock),Operations,LYRECO,2000189273,"1,330.57"
Department for Transport,Driver and Vehicle Licensing Agency,14/09/2011,Postage Paid Imprest,Operations,ROYAL MAIL,2000219656,"306,182.62"
Department for Transport,Driver and Vehicle Licensing Agency,15/09/2011,Postage Paid Imprest,Operations,ROYAL MAIL,2000221814,"145,744.97"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Agency Staff Costs,Information Services,CMC PARTNERSHIP (UK) LTD,2000196506,"16,875.54"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Building Service Charges,Finance & Strategy,TELEREAL TRILLIUM,2000190825,"20,025.95"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Building Service Charges,Finance & Strategy,TELEREAL TRILLIUM,2000190825,"11,793.90"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Building Service Charges,Finance & Strategy,TELEREAL TRILLIUM,2000190825,-581.03
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Cars Fuel,Finance & Strategy,ARVAL PHH VEHICLE SOLUTIONS,2000223436,"4,224.70"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Estates PFI Unitary Service Charge,Finance & Strategy,TELEREAL TRILLIUM,2000190825,"227,476.96"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Estates PFI Unitary Service Charge,Finance & Strategy,TELEREAL TRILLIUM,2000190825,"1,374,016.59"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Estates PFI Unitary Service Charge,Finance & Strategy,TELEREAL TRILLIUM,2000196505,"254,703.25"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Gas,Finance & Strategy,TELEREAL TRILLIUM,2000190825,"-158,980.36"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Hospitality,Finance & Strategy,TELEREAL TRILLIUM,2000190825,"3,767.15"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Live Running ,Operations,CONNECT INTERNET SOLUTIONS LTD,2000223442,"10,732.00"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Minor Purchases,Human Resource & Estates,PERFORMING RIGHT SOCIETY LTD,2000196486,"1,247.65"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,NI Agency Funding,Finance & Strategy,DRIVER VEHICLE LICENSING N.IRELAND,2000223437,"1,000,000.00"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Non Secured stock ,Operations,PARAGON GROUP UK LTD,2000190823,"1,320.20"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Non Secured stock ,Operations,PARAGON GROUP UK LTD,2000190823,"7,660.76"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Non Secured stock ,Operations,PARAGON GROUP UK LTD,2000190823,"4,275.11"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Non Secured stock ,Operations,PARAGON GROUP UK LTD,2000190823,"3,936.24"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Non Secured stock ,Operations,PARAGON GROUP UK LTD,2000190823,"3,936.24"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Non Stock Machine Consumables,Finance & Strategy,SUPPLIES TEAM,2000223441,"1,197.59"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Non Stock Machine Consumables,Information Services,SUPPLIES TEAM,2000223441,535.18
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Non Stock Machine Consumables,Operations,SUPPLIES TEAM,2000223441,587.09
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Non-stock Printing Purchases,Operations,SECURA MONDE INTERNATIONAL LTD,2000192401,"24,096.46"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Non-stock Printing Purchases,Operations,SECURA MONDE INTERNATIONAL LTD,2000192401,"6,915.46"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Non-stock Printing Purchases,Operations,SECURA MONDE INTERNATIONAL LTD,2000192401,"36,061.06"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Printing Stock ,Operations,PARAGON GROUP UK LTD,2000190823,57.4
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Rates,Finance & Strategy,TELEREAL TRILLIUM,2000190825,"-20,978.36"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Rates,Finance & Strategy,TELEREAL TRILLIUM,2000196505,"-108,963.35"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Rent - L&B (non-PFI),Finance & Strategy,TELEREAL TRILLIUM,2000190825,568.02
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Secured Stock,Operations,PARAGON GROUP UK LTD,2000190823,"1,817.10"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Secured Stock,Operations,PARAGON GROUP UK LTD,2000190823,"4,266.00"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Secured Stock,Operations,PARAGON GROUP UK LTD,2000190823,"5,195.04"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Secured Stock,Information Services,PARAGON GROUP UK LTD,2000190823,728.45
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Secured Stock,Information Services,FT PRINT SOLUTIONS,2000194082,"5,637.60"
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Secured Stock,Information Services,OFFICE DEPOT UK LIMITED,2000223439,555.18
Department for Transport,Driver and Vehicle Licensing Agency,16/09/2011,Water,Finance & Strategy,TELEREAL TRILLIUM,2000190825,"-29,099.73"
Department for Transport,Driver and Vehicle Licensing Agency,17/09/2011,Non Secured stock ,Operations,MBA GROUP LTD,2000194084,681.68
Department for Transport,Driver and Vehicle Licensing Agency,17/09/2011,Non Secured stock ,Operations,MBA GROUP LTD,2000194084,"1,140.05"
Department for Transport,Driver and Vehicle Licensing Agency,17/09/2011,Non Secured stock ,Operations,MBA GROUP LTD,2000194084,6.52
Department for Transport,Driver and Vehicle Licensing Agency,17/09/2011,Non Secured stock ,Operations,MBA GROUP LTD,2000194084,"4,485.60"
Department for Transport,Driver and Vehicle Licensing Agency,17/09/2011,Non Secured stock ,Information Services,MBA GROUP LTD,2000196500,582.12
Department for Transport,Driver and Vehicle Licensing Agency,17/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000194084,50.34
Department for Transport,Driver and Vehicle Licensing Agency,17/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000194084,"2,034.55"
Department for Transport,Driver and Vehicle Licensing Agency,17/09/2011,Printing Stock ,Operations,MBA GROUP LTD,2000194084,201.6
Department for Transport,Driver and Vehicle Licensing Agency,17/09/2011,Printing Stock ,Information Services,MBA GROUP LTD,2000196500,26.46
Department for Transport,Driver and Vehicle Licensing Agency,17/09/2011,Printing Stock ,Information Services,MBA GROUP LTD,2000196500,136.08
Department for Transport,Driver and Vehicle Licensing Agency,17/09/2011,Secured Stock,Information Services,OFFICE DEPOT UK LIMITED,2000192403,"6,013.44"
Department for Transport,Driver and Vehicle Licensing Agency,17/09/2011,Secured Stock,Information Services,MBA GROUP LTD,2000196500,"3,039.12"
Department for Transport,Driver and Vehicle Licensing Agency,18/09/2011,Agents Fees,Operations,NSL LTD,2000194089,"27,500.00"
Department for Transport,Driver and Vehicle Licensing Agency,18/09/2011,Courier Charges ,Operations,DX SECURE LIMITED,2000196514,"68,039.96"
Department for Transport,Driver and Vehicle Licensing Agency,18/09/2011,Non Stock Machine Consumables,Operations,WELSH BOXES & ENG.CO.LTD,2000194099,"2,346.00"
Department for Transport,Driver and Vehicle Licensing Agency,18/09/2011,Printing Stock ,Operations,RR Donnelley,2000200061,0.53
Department for Transport,Driver and Vehicle Licensing Agency,18/09/2011,Secured Stock,Information Services,PREMIER PAPER GROUP LTD,2000196511,"2,213.28"
Department for Transport,Driver and Vehicle Licensing Agency,18/09/2011,Secured Stock,Information Services,PREMIER PAPER GROUP LTD,2000196511,976.32
Department for Transport,Driver and Vehicle Licensing Agency,18/09/2011,Secured Stock,Operations,RR Donnelley,2000200061,"3,953.12"
Department for Transport,Driver and Vehicle Licensing Agency,18/09/2011,Subsistence UK,Finance & Strategy,EXPOTEL HOTEL RESERVATIONS LTD,2000196498,"12,495.25"
Department for Transport,Driver and Vehicle Licensing Agency,18/09/2011,Subsistence UK,Finance & Strategy,EXPOTEL HOTEL RESERVATIONS LTD,2000196498,"8,116.38"
Department for Transport,Driver and Vehicle Licensing Agency,18/09/2011,Subsistence UK,Finance & Strategy,EXPOTEL HOTEL RESERVATIONS LTD,2000196498,"7,605.67"
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Debt Collection,Finance & Strategy,Philips Collection Services Ltd,2000196516,560
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Debt Collection,Finance & Strategy,Philips Collection Services Ltd,2000196516,"7,526.47"
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Debt Collection,Finance & Strategy,Philips Collection Services Ltd,2000196516,880
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Debt Collection,Finance & Strategy,Philips Collection Services Ltd,2000196516,"6,332.99"
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Debt Collection,Finance & Strategy,Philips Collection Services Ltd,2000196516,"5,597.00"
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Debt Collection,Finance & Strategy,INTER CREDIT INTERNATIONAL LTD,2000225137,"1,317.25"
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Machinery Maintenance,Operations,OCE (UK) LTD,2000196509,464.44
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Machinery Maintenance,Operations,IBM UK LTD (EURO PAYMENTS),2000225158,"88,853.00"
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Machinery Maintenance,Operations,IBM UK LTD (EURO PAYMENTS),2000225158,"37,656.05"
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Machinery Maintenance,Operations,IBM UK LTD (EURO PAYMENTS),2000225158,"6,004.20"
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Machinery Maintenance,Operations,IBM UK LTD (EURO PAYMENTS),2000225158,"31,855.08"
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Machinery Maintenance,Operations,IBM UK LTD (EURO PAYMENTS),2000225158,"16,047.11"
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Mail Collection/Delivery Costs,Operations,DX SECURE LIMITED,2000196513,854.27
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Mail Collection/Delivery Costs,Operations,ROYAL MAIL,2000225132,500
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Professional Services,Human Resource & Estates,TREASURY SOLICITOR,2000225159,"5,474.00"
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Project Developments,Operations,IBM UK LTD (EURO PAYMENTS),2000225158,"1,384.54"
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Refund of Cherished Transfer fee,Operations,CHERISHED TRANSFERS REFUND,2000225148,80
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Sale Of Marks Refund,Operations,CHERISHED TRANSFERS REFUND,2000225148,526.81
Department for Transport,Driver and Vehicle Licensing Agency,19/09/2011,Training,Human Resource & Estates,UNIVERSITY OF BATH,2000203367,"2,030.00"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Agency Staff Costs,Information Services,CMC PARTNERSHIP (UK) LTD,2000205909,-609.02
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Agency Staff Costs,Information Services,CMC PARTNERSHIP (UK) LTD,2000205909,"8,820.00"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Agency Staff Costs,Information Services,CMC PARTNERSHIP (UK) LTD,2000207912,"1,791.36"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Agency Staff Costs,Information Services,CMC PARTNERSHIP (UK) LTD,2000207912,"14,175.00"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Agents Fees,Operations,NSL LTD,2000200072,"-17,330.70"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Agents Fees,Operations,NSL LTD,2000200072,"1,132,535.42"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Electricity,Finance & Strategy,TELEREAL TRILLIUM,2000209469,"27,900.00"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Electricity,Finance & Strategy,TELEREAL TRILLIUM,2000209469,"144,500.00"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Furniture & Fittings,Finance & Strategy,TELEREAL TRILLIUM,2000205907,"3,218.92"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Furniture & Fittings,Finance & Strategy,TELEREAL TRILLIUM,2000205907,"2,340.65"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Gas,Finance & Strategy,TELEREAL TRILLIUM,2000207911,"53,255.00"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Gas,Finance & Strategy,TELEREAL TRILLIUM,2000209469,"3,000.00"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Interest Payable within CG,Finance & Strategy,DEPARTMENT OF TRANSPORT,2000226764,"351,429.02"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Non Secured stock ,Operations,PARAGON GROUP UK LTD,2000200063,"6,876.52"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Non Stock Machine Consumables,Operations,SUPPLIES TEAM,2000226807,713.9
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Non-stock Printing Purchases,Operations,SECURA MONDE INTERNATIONAL LTD,2000200068,"36,743.33"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Printing Stock ,Operations,3M SECURITY & PRINTING SYSTEMS LTD,2000226802,13.39
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Property Maintenance,Finance & Strategy,TELEREAL TRILLIUM,2000205907,"4,617.80"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Property Maintenance,Finance & Strategy,TELEREAL TRILLIUM,2000205907,501.85
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Rates,Finance & Strategy,TELEREAL TRILLIUM,2000205907,"160,069.86"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Rates,Finance & Strategy,TELEREAL TRILLIUM,2000205907,"155,427.22"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Removal Costs,Finance & Strategy,TELEREAL TRILLIUM,2000205907,"1,477.12"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Secured Stock,Information Services,PARAGON GROUP UK LTD,2000198330,816.48
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Secured Stock,Operations,PARAGON GROUP UK LTD,2000198330,514.2
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Secured Stock,Information Services,PARAGON GROUP UK LTD,2000198330,"1,092.67"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Secured Stock,Operations,PARAGON GROUP UK LTD,2000198330,"1,784.16"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Secured Stock,Operations,PARAGON GROUP UK LTD,2000198330,"1,784.16"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Secured Stock,Operations,PARAGON GROUP UK LTD,2000200063,"3,422.28"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Secured Stock,Operations,3M SECURITY & PRINTING SYSTEMS LTD,2000226802,629.71
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Trade Plate Expenses,Operations,SANDHURST AUTOPRINT LIMITED,2000201610,978.54
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Trade Plate Expenses,Operations,SANDHURST AUTOPRINT LIMITED,2000201610,"1,511.76"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Water,Finance & Strategy,TELEREAL TRILLIUM,2000205907,"9,965.00"
Department for Transport,Driver and Vehicle Licensing Agency,20/09/2011,Water,Finance & Strategy,TELEREAL TRILLIUM,2000205907,"3,770.00"
Department for Transport,Driver and Vehicle Licensing Agency,21/09/2011,Business Reply Service,Finance & Strategy,ROYAL MAIL,2000228286,"20,000.00"
Department for Transport,Driver and Vehicle Licensing Agency,21/09/2011,Debt Collection,Finance & Strategy,INTER CREDIT INTERNATIONAL LTD,2000228296,"12,482.20"
Department for Transport,Driver and Vehicle Licensing Agency,21/09/2011,Debt Collection,Finance & Strategy,INTER CREDIT INTERNATIONAL LTD,2000228296,"12,759.16"
Department for Transport,Driver and Vehicle Licensing Agency,21/09/2011,Drug Screening,Operations,SANDWELL & W BIRMINGHAM HOSPITALS,2000228248,"11,394.00"
Department for Transport,Driver and Vehicle Licensing Agency,21/09/2011,Loan from Secretary of State,Finance & Strategy,DEPARTMENT OF TRANSPORT,2000228249,"952,382.16"
Department for Transport,Driver and Vehicle Licensing Agency,21/09/2011,Non Stock Machine Consumables,Operations,SUPPLIES TEAM,2000228297,587.09
Department for Transport,Driver and Vehicle Licensing Agency,21/09/2011,Postage Paid Imprest,Operations,ROYAL MAIL,2000228286,"146,662.64"
Department for Transport,Driver and Vehicle Licensing Agency,21/09/2011,Postage Paid Imprest,Operations,ROYAL MAIL,2000228286,"321,037.07"
Department for Transport,Driver and Vehicle Licensing Agency,21/09/2011,Professional Services,Operations,JONATHAN PENNINGTON LEGH,2000228284,666
Department for Transport,Driver and Vehicle Licensing Agency,21/09/2011,Secured Stock,Information Services,HEIDELBERG,2000228291,973.92
Department for Transport,Driver and Vehicle Licensing Agency,21/09/2011,Telecom Equipment,Operations,SUPPLIES TEAM,2000228297,593.59
Department for Transport,Driver and Vehicle Licensing Agency,22/09/2011,Mail Collection/Delivery Costs,Operations,ROYAL MAIL,2000230821,"1,001.88"
Department for Transport,Driver and Vehicle Licensing Agency,22/09/2011,Secured Stock,Operations,PREMIER PAPER GROUP LTD,2000230825,"7,612.42"
Department for Transport,Driver and Vehicle Licensing Agency,22/09/2011,Secured Stock,Operations,PREMIER PAPER GROUP LTD,2000230825,"-3,806.20"
Department for Transport,Driver and Vehicle Licensing Agency,23/09/2011,Debt Collection,Finance & Strategy,INTER CREDIT INTERNATIONAL LTD,2000232459,"1,089.00"
Department for Transport,Driver and Vehicle Licensing Agency,23/09/2011,Non Stock Machine Consumables,Operations,Bunzl Safety and Workwear Solutions,2000201608,926.1
Department for Transport,Driver and Vehicle Licensing Agency,23/09/2011,Non Stock Machine Consumables,Operations,SUPPLIES TEAM,2000232460,"1,869.06"
