"#","Page","Popularity","Impressions","Sessions","Re-Visits"
"3912","education and learning > en > 14to19/courseworkandexams/ dg_066228 coursework: top tips for success : directgov - education and learning",0.00,74,66,0.12
"3913","money tax and benefits > en > taxes/beginnersguidetotax/nationalinsurance/payingreducedratenationalinsurance/ dg_190116 giving up your right to pay reduced national insurance : directgov - money, tax and benefits",0.00,74,58,0.22
"3914","directories > en >  dg_10012310 charity commission : directgov - directories",0.00,74,62,0.17
"3915","home and community > en > councilandhousingassociationhomes/rentarrearsandeviction/ dg_188729 being evicted from your housing association home - starter and assured shorthold tenants : directgov - home and community",0.00,74,60,0.20
"3916","directories > en > usefulcontactsbycategory/parentscontacts/ dg_172507 your child's health and safety contacts : directgov - directories",0.00,74,56,0.25
"3917","home and community > en > planning/theplanningsystem/ dg_10023078 getting help with planning : directgov - home and community",0.00,74,71,0.05
"3918","newsroom > en > other  dg_182439 state opening of parliament: the traditions : directgov - newsroom",0.00,74,67,0.10
"3919","directories > en >  dg_10011325 age positive : directgov - directories",0.00,74,71,0.05
"3920","home and community > en > whereyoulive/roadsandstreets/ dg_10026093 obstructions and roadworks on roads and highways : directgov - home and community",0.00,74,68,0.09
"3921","directories > en >  dg_10016457 special educational needs and disability tribunal (sendist) : directgov - directories",0.00,74,66,0.12
"3922","directories > en >  dg_10011802 strabane district council : directgov - directories",0.00,74,69,0.08
"3923","directories > en > usefulcontactsbycategory/over50scontacts/ dg_10019259 travel and leisure contacts : directgov - directories",0.00,74,61,0.18
"3924","money tax and benefits > en > taxes/beginnersguidetotax/inheritancetaxestatesandtrusts/afteradeathmanaginganestate/  after a death - managing an estate : directgov - money, tax and benefits",0.00,74,57,0.24
"3925","government citizens and rights > en > other   advice on mobile and landline charges : directgov - government, citizens and rights",0.00,73,62,0.16
"3926","home and community > en > gettinginvolvedinyourcommunity/volunteering/ dg_10030734 setting up a volunteer scheme at work : directgov - home and community",0.00,73,68,0.08
"3927","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/paymentsandentitlement/otherbenefits/affectofbenefitsontaxcredits/  affect of other benefits on tax credits : directgov - money, tax and benefits",0.00,73,62,0.16
"3928","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/ifthingsgowrong/wheretostart/ dg_073823 problems with your tax credits - where to start : directgov - money, tax and benefits",0.00,73,64,0.13
"3929","disabled people > en > everydaylifeandaccess/sportsandhobbies/ dg_4017665 school sports and disabled children : directgov - disabled people",0.00,73,62,0.16
"3930","travel and transport > en > usingmotorwaysandroads/reducingroadcongestionandpollution/ dg_10025599 congestion charging : directgov - travel and transport",0.00,73,59,0.20
"3931","newsroom > en > other  dg_175095 premium bonds - millions left unclaimed : directgov - newsroom",0.00,73,70,0.05
"3932","money tax and benefits > en > taxcreditsandchildbenefit/childbenefits/gettingstarted/childbenefitandwhoqualifies/ dg_173452 child benefit if your child is in care : directgov - money, tax and benefits",0.00,73,58,0.21
"3933","employment > en > understandingyourworkstatus/workersemployeesandselfemployment/ dg_175241 working out your employment status: volunteers : directgov - employment",0.00,73,62,0.16
"3934","parents > en > childcare/ dg_066832 affordable childcare campaign : directgov - parents",0.00,73,67,0.09
"3935","directories > en >  dg_10011506 north west leicestershire district council : directgov - directories",0.00,73,67,0.09
"3936","directories > en >  dg_10011503 harborough district council : directgov - directories",0.00,73,63,0.15
"3937","travel and transport > en > publictransport/railtravel/ dg_190826 your rights and responsibilities as a rail passenger : directgov - travel and transport",0.00,73,68,0.08
"3938","directories > en >  dg_10011790 omagh district council : directgov - directories",0.00,73,66,0.10
"3939","home and community > en > buyingandsellingyourhome/homebuyingschemes/ dg_187035 delays or problems when buying your council home through right to buy : directgov - home and community",0.00,73,61,0.17
"3940","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/paymentsandentitlement/payments/ dg_175634 getting proof of tax credits payments if you claim other benefits : directgov - money, tax and benefits",0.00,73,63,0.15
"3941","newsroom > en > other  dg_189997 new $14 fee to enter us : directgov - newsroom",0.00,73,70,0.05
"3942","travel and transport > en > usingmotorwaysandroads/keepingtrafficmoving/ dg_184807 england's national traffic control centre : directgov - travel and transport",0.00,73,60,0.19
"3943","money tax and benefits > en > managingmoney/bonavacantia/ dg_171068 making a claim on a deceased's estate - introduction : directgov - money, tax and benefits",0.00,72,64,0.12
"3944","employment > en > tradeunions/ dg_10027549 picketing and picket lines : directgov - employment",0.00,72,63,0.13
"3945","money tax and benefits > en > taxes/leavingorcomingintotheuk/ dg_181171 tax and duty on goods brought to the uk from outside the european union : directgov - money, tax and benefits",0.00,72,66,0.09
"3946","directories > en >  dg_10011572 west somerset district council : directgov - directories",0.00,72,65,0.11
"3947","directories > en >  dg_10011778 magherafelt district council : directgov - directories",0.00,72,65,0.11
"3948","newsroom > en > other  dg_182209 remembrance day 2009 : directgov - newsroom",0.00,72,69,0.05
"3949","disabled people > en > rightsandobligations/police/ dg_4018606 police and disabled people : directgov - disabled people",0.00,72,67,0.08
"3950","home and community > en > technologyinyourhome/digitaltelevision/ dg_10031292 what is digital switchover? : directgov - home and community",0.00,72,70,0.04
"3951","parents > en > yourchildshealthandsafety/youngpeopleandalcohol/ dg_183839 alcohol education in schools : directgov - parents",0.00,72,59,0.19
"3952","help > en > sitemap/ > v  site index : directgov - help",0.00,72,62,0.15
"3953","home and community > en > gettinginvolvedinyourcommunity/volunteering/ dg_065360 green volunteering : directgov - home and community",0.00,72,66,0.09
"3954","pensions and retirement planning > en > statepension/ dg_10027570 state pension deferral - taking up your state pension later : directgov - pensions and retirement planning",0.00,72,45,0.38
"3955","directories > en >  dg_10011516 west lindsey district council : directgov - directories",0.00,71,65,0.09
"3956","disabled people > en > financialsupport/ dg_10022605 disability living allowance - medical examination : directgov - disabled people",0.00,71,60,0.16
"3957","directories > en >  dg_10010995 highways agency information line : directgov - directories",0.00,71,67,0.07
"3958","money tax and benefits > en > taxcreditsandchildbenefit/childbenefits/ifthingsgowrong/complaintsandappeals/  complaints and appeals : directgov - money, tax and benefits",0.00,71,60,0.16
"3959","newsroom > en > other  dg_188502 budget june 2010 - motoring and transport : directgov - newsroom",0.00,71,55,0.23
"3960","directories > en >  dg_10011513 north kesteven district council : directgov - directories",0.00,71,63,0.12
"3961","motoring > en > owningavehicle/adviceonkeepingyourvehicle/ dg_180097 reasonable cause - the reasons behind dvla releasing information : directgov - motoring",0.00,71,62,0.14
"3962","directories > en >  dg_10011385 torridge district council : directgov - directories",0.00,71,65,0.09
"3963","home and community > en > technologyinyourhome/internettechnologies/ dg_10038607 be secure online : directgov - home and community",0.00,71,67,0.07
"3964","newsroom > en > other  dg_190282 national student survey data published : directgov - newsroom",0.00,71,68,0.05
"3965","do it online > en > doitonlinebycategory/ dg_070797 report tax evasion : directgov - do it online",0.00,71,71,0.01
"3966","newsroom > en > other  dg_173288 #4 billion boost for pensioners : directgov - newsroom",0.00,71,49,0.32
"3967","home and community > en > inyourhome/keepingsafeathome/ dg_10029724 how to reduce trips and falls : directgov - home and community",0.00,71,66,0.08
"3968","directories > en >  dg_078593 uk statistics authority : directgov - directories",0.00,71,62,0.14
"3969","newsroom > en > other  dg_191407 video: leaving your child at home alone : directgov - newsroom",0.00,71,68,0.05
"3970","do it online > en >  dg_4017609 get a congratulatory message from the queen : directgov - do it online",0.00,70,67,0.05
"3971","money tax and benefits > en > taxes/workingandpayingtax/ dg_185388 employed and self-employed tax and national insurance - worked example : directgov - money, tax and benefits",0.00,70,65,0.08
"3972","home and community > en > planning/doingworkyourself/ dg_10030945 hiring a skip and using it safely : directgov - home and community",0.00,70,63,0.11
"3973","home and community > en > councilandhousingassociationhomes/housingassociationhomes/housingassociationtenants/ dg_188466 secure tenancies - housing associations tenants : directgov - home and community",0.00,70,55,0.22
"3974","directories > en >  dg_10011219 dvla local office - bangor : directgov - directories",0.00,70,64,0.09
"3975","education and learning > en > adultlearning/financialhelpforadultlearners/ dg_067471 sixth form college childcare scheme : directgov - education and learning",0.00,70,61,0.14
"3976","directories > en >  dg_10011233 dvla local office - inverness : directgov - directories",0.00,70,63,0.11
"3977","travel and transport > en > usingmotorwaysandroads/roadsafetyadvice/ dg_185052 what to do if you break down on the motorway : directgov - travel and transport",0.00,70,60,0.15
"3978","disabled people > en > healthandsupport/helpwithcosts/ dg_4000583 help with travel costs to and from hospital : directgov - disabled people",0.00,70,66,0.07
"3979","newsroom > en > other  dg_177688 budget 2009 - pensions and savings : directgov - newsroom",0.00,70,48,0.32
"3980","newsroom > en > other  dg_188333 hundreds of paid heritage training places created : directgov - newsroom",0.00,70,63,0.11
"3981","directories > en > usefulcontactsbycategory/educationandlearningcontacts/ dg_10013678 schools contacts : directgov - directories",0.00,69,49,0.30
"3982","environment and greener living > en > thewiderenvironment/climatechange/ dg_072959 myths about climate change : directgov - environment and greener living",0.00,69,62,0.11
"3983","employment decisiontrees > en > chooseaworkingpattern/  flexible working: choosing a working pattern : directgov - do it online",0.00,69,10,0.86
"3984","directories > en >  dg_10011424 rochford district council : directgov - directories",0.00,69,63,0.10
"3985","motoring > en > owningavehicle/adviceonkeepingyourvehicle/ dg_181016 tinted vehicle windows - the rules : directgov - motoring",0.00,69,64,0.08
"3986","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/ifthingsgowrong/complaintsappealspenaltieschecks/ dg_173378 tax credits - how to complain : directgov - money, tax and benefits",0.00,69,57,0.18
"3987","disabled people > en > rightsandobligations/disabilityrights/ dg_4001075 housing rights : directgov - disabled people",0.00,69,58,0.17
"3988","directories > en > usefulcontactsbycategory/over50scontacts/ dg_10029769 care and community contacts : directgov - directories",0.00,69,50,0.28
"3989","directories > en >  dg_10011538 south northamptonshire council : directgov - directories",0.00,69,61,0.12
"3990","home and community > en > buyingandsellingyourhome/mortgagesandrepossessions/ dg_180044 after possession hearings - what happens and what you should do : directgov - home and community",0.00,69,55,0.21
"3991","newsroom > en > other  dg_187551 general election results may 2010 : directgov - newsroom",0.00,69,62,0.11
"3992","pensions and retirement planning > en > homeandcommunity/carers/ dg_10026903 guide to information for carers : directgov - pensions and retirement planning",0.00,69,54,0.23
"3993","directories > en >  dg_10012575 gosport borough council : directgov - directories",0.00,69,60,0.14
"3994","do it online > en >  dg_4018021 claim a war pension (form wpa1 and others) : directgov - do it online",0.00,69,67,0.04
"3995","young people > en > crimeandjustice/crimeandthelaw/  crime and the law : directgov - young people",0.00,69,42,0.40
"3996","young people > en > healthandrelationships/concernedabout/  concerned about... : directgov - young people",0.00,69,43,0.38
"3997","newsroom > en > other  dg_178844 new help booklet for over 60s : directgov - newsroom",0.00,69,51,0.27
"3998","parents > en > schoolslearninganddevelopment/gettinginvolvedwithschoolsandyourchildseducation/ dg_4016015 parent-school relationships : directgov - parents",0.00,69,65,0.07
"3999","directories > en >  dg_10011163 remploy : directgov - directories",0.00,68,59,0.14
"4000","directories > en >  dg_10011791 orkney islands council : directgov - directories",0.00,68,60,0.13
"4001","directories > en > usefulcontactsbycategory/parentscontacts/ dg_172252 having a baby contacts : directgov - directories",0.00,68,59,0.14
"4002","pensions and retirement planning > en > working/ dg_10026794 guide to changing the way you work in later life : directgov - pensions and retirement planning",0.00,68,60,0.13
"4003","newsroom > en > other  dg_191398 video: developing your child's reading : directgov - newsroom",0.00,68,60,0.13
"4004","newsroom > en > other  dg_073116 budget 2008 - benefit rates : directgov - newsroom",0.00,68,59,0.14
"4005","government citizens and rights > en > other  dg_176539 how businesses can prepare for emergencies : directgov - government, citizens and rights",0.00,68,50,0.27
"4006","travel and transport > en > usingmotorwaysandroads/wholooksafterourroadsandmotorways/ dg_184894 who manages roads, roadworks and motorways : directgov - travel and transport",0.00,68,57,0.17
"4007","directories > en >  dg_10011507 oadby and wigston borough council : directgov - directories",0.00,68,59,0.14
"4008","government citizens and rights > en > other  dg_175910 general advice about what to do in an emergency : directgov - government, citizens and rights",0.00,68,65,0.05
"4009","money tax and benefits > en > managingmoney/creditandstorecardscreditandloans/  credit and store cards, credit and loans : directgov - money, tax and benefits",0.00,68,49,0.29
"4010","government citizens and rights > en > other  dg_175665 order a civil partnership certificate : directgov - government, citizens and rights",0.00,68,57,0.17
"4011","travel and transport > en > cycling/ dg_190101 cycle to work schemes : directgov - travel and transport",0.00,68,62,0.10
"4012","directories > en >  dg_10011610 north warwickshire borough council : directgov - directories",0.00,68,60,0.13
"4013","money tax and benefits > en > managingmoney/givingmoneytocharity/ dg_188051 tax efficient giving to charity: the basics : directgov - money, tax and benefits",0.00,68,60,0.13
"4014","do it online > en >  dg_10016060 report an unlicensed vehicle online : directgov - do it online",0.00,68,60,0.13
"4015","travel and transport > en > usingmotorwaysandroads/roadsafetyadvice/ dg_185057 towing a caravan or trailer - driving tips and advice : directgov - travel and transport",0.00,68,57,0.17
"4016","home and community > en > councilandhousingassociationhomes/repairsandstandards/ dg_188673 council improvements to your property, building or estate : directgov - home and community",0.00,68,54,0.21
"4017","employment > en > employeeinformationandconsultation/ dg_177481 information and consultation in multinational companies : directgov - employment",0.00,68,63,0.08
"4018","environment and greener living > en > greenercommunityandwork/ dg_064440 employees: ways to be greener : directgov - environment and greener living",0.00,68,61,0.11
"4019","money tax and benefits > en > taxcreditsandchildbenefit/childbenefits/keepingyourchildbenefituptodate/changesyouneedtoreport/ dg_173773 child benefit if your child dies : directgov - money, tax and benefits",0.00,68,64,0.07
"4020","newsroom > en > other  dg_065974 tough new penalties for using a mobile phone whilst driving : directgov - newsroom",0.00,68,67,0.02
"4021","directories > en >  dg_10012973 vosa test station - bristol (avonmouth) : directgov - directories",0.00,68,64,0.07
"4022","environment and greener living > en > smallholders/ dg_179478 keeping bees : directgov - environment and greener living",0.00,68,63,0.08
"4023","directories > en >  dg_10011594 suffolk coastal district council : directgov - directories",0.00,67,60,0.11
"4024","newsroom > en > other  dg_10016880 budget - march 2006 : directgov - newsroom",0.00,67,58,0.14
"4025","environment and greener living > en > thewiderenvironment/pollution/ dg_189706 smoke control areas : directgov - environment and greener living",0.00,67,58,0.14
"4026","pensions and retirement planning > en > taxandnationalinsuranceinretirement/gettingyourtaxandnationalinsuranceright/ dg_171916 tax if you're self-employed and getting a pension : directgov - pensions and retirement planning",0.00,67,57,0.16
"4027","do it online > en >  dg_4017639 search the national archives : directgov - do it online",0.00,67,59,0.13
"4028","directories > en >  dg_10011535 east northamptonshire district council : directgov - directories",0.00,67,57,0.16
"4029","newsroom > en > other   green news : directgov - newsroom",0.00,67,59,0.13
"4030","disabled people > en > motoringandtransport/publicandcommunitytransport/ dg_068407 travelling by coach : directgov - disabled people",0.00,67,55,0.19
"4031","directories > en >  dg_10011436 tewkesbury borough council : directgov - directories",0.00,67,63,0.07
"4032","money tax and benefits > en > taxes/beginnersguidetotax/vat/ dg_190909 reclaim vat on a new home or converting a building into a home : directgov - money, tax and benefits",0.00,67,62,0.08
"4033","environment and greener living > en > greenertravel/enjoyingthecountryside/ dg_187666 public rights of way : directgov - environment and greener living",0.00,67,56,0.17
"4034","government citizens and rights > en > other  dg_181032 panels and committees for the queen's award for voluntary service : directgov - government, citizens and rights",0.00,66,30,0.55
"4035","directories > en >  dg_073972 directgov press office : directgov - directories",0.00,66,57,0.15
"4036","newsroom > en > other  dg_191536 help for amateur beekeepers : directgov - newsroom",0.00,66,59,0.12
"4037","money tax and benefits > en > managingdebt/debtrepaymentoptions/ dg_187408 fast-track voluntary arrangements - ways out of bankruptcy : directgov - money, tax and benefits",0.00,66,62,0.07
"4038","government citizens and rights > en > other  dg_073421 the commonwealth : directgov - government, citizens and rights",0.00,66,54,0.19
"4039","directories > en >  dg_10011289 vosa test station - kidderminster : directgov - directories",0.00,66,49,0.27
"4040","newsroom > en > other  dg_177809 uk protects working time opt-out : directgov - newsroom",0.00,66,56,0.16
"4041","directories > en >  dg_10016434 professional and career development loan information line : directgov - directories",0.00,66,60,0.10
"4042","directories > en > usefulcontactsbycategory/over50scontacts/ dg_10030219 home contacts : directgov - directories",0.00,66,52,0.22
"4043","disabled people > en > financialsupport/otherbenefitsandsupport/ dg_191447 managing and using your independent living fund payment : directgov - disabled people",0.00,66,50,0.25
"4044","newsroom > en > other  dg_188694 public service pay and pensions to be reviewed : directgov - newsroom",0.00,66,60,0.10
"4045","disabled people > en > financialsupport/ dg_10034232 making a complaint about the disability and carers service : directgov - disabled people",0.00,66,52,0.22
"4046","newsroom > en > other  dg_4010354 pmqs archive : directgov - newsroom",0.00,66,25,0.63
"4047","newsroom > en > other  dg_189774 sex industry jobs banned from jobcentre : directgov - newsroom",0.00,66,62,0.07
"4048","employment > en > redundancyandleavingyourjob/ dg_10026691 employment protection during business transfers and takeovers : directgov - employment",0.00,66,58,0.13
"4049","disabled people > en > healthandsupport/whoswhoinhealthservices/ dg_4003766 sight care and services : directgov - disabled people",0.00,66,58,0.13
"4050","motoring > en > learnerandnewdrivers/practicaltest/ dg_173032 driving test vehicle recall: vauxhall corsa, combo, tigra : directgov - motoring",0.00,66,62,0.07
"4051","crime justice and the law > en > counterterrorism/ dg_181896 terrorism and the law : directgov - crime and justice",0.00,66,63,0.06
"4052","directories > en >  dg_10010840 environment agency : directgov - directories",0.00,65,56,0.15
"4053","home and community > en > planning/planningappeals/ dg_10022615 enforcement appeals : directgov - home and community",0.00,65,59,0.10
"4054","education and learning > en > universityandhighereducation/studentfinance/applyingforthefirsttime/ dg_171529 finance for part-time students - applying for the first time  : directgov - education and learning",0.00,65,55,0.16
"4055","disabled people > en > healthandsupport/ dg_10037826 contacting other disabled people and disability organisations : directgov - disabled people",0.00,65,56,0.15
"4056","parents > en > yourchildshealthandsafety/worriedabout/ dg_10015788 bullying: getting support : directgov - parents",0.00,65,56,0.15
"4057","do it online > en >  dg_4017525 buy ordnance survey maps : directgov - do it online",0.00,65,59,0.10
"4058","parents > en > familyissuesandthelaw/ dg_170868 ending a civil partnership : directgov - parents",0.00,65,56,0.15
"4059","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185421 defibrillator (ventricular) and driving : directgov - motoring",0.00,65,36,0.45
"4060","money tax and benefits > en > benefitstaxcreditsandothersupport/disabledpeople/ dg_186001 pneumoconiosis etc. (workers' compensation) act 1979 : directgov - money, tax and benefits",0.00,65,55,0.16
"4061","directories > en > usefulcontactsbycategory/disabledpeoplecontacts/organisationsandcharities/ dg_10014879 disability sports contacts : directgov - directories",0.00,65,35,0.47
"4062","newsroom > en > other  dg_191568 pensions tax relief reduced : directgov - newsroom",0.00,65,57,0.13
"4063","disabled people > en > healthandsupport/whoswhoinhealthservices/  who's who in health services : directgov - disabled people",0.00,65,47,0.28
"4064","directories > en >  dg_10011783 moyle district council : directgov - directories",0.00,65,60,0.09
"4065","parents > en > havingababy/afterthebirth/ dg_10039685 colic and jaundice : directgov - parents",0.00,65,62,0.06
"4066","directories > en > localcouncils/localgovernmentbyregion/ dg_4003598 local councils in north east england : directgov - directories",0.00,65,33,0.50
"4067","disabled people > en > everydaylifeandaccess/leisureathome/ dg_4018337 books, magazines and newspapers in accessible formats : directgov - disabled people",0.00,65,59,0.10
"4068","newsroom > en > other  dg_183466 driving tests affected by bad weather : directgov - newsroom",0.00,65,61,0.07
"4069","newsroom > en > other  dg_187798 changes to vehicle tax for disabled people : directgov - newsroom",0.00,65,51,0.22
"4070","environment and greener living > en > greenercommunityandwork/  greener community and work : directgov - environment and greener living",0.00,65,37,0.44
"4071","directories > en >  dg_10011856 appeals service : directgov - directories",0.00,65,62,0.06
"4072","young people > en > healthandrelationships/concernedabout/ dg_10032849 puberty : directgov - young people",0.00,64,51,0.21
"4073","newsroom > en > other  dg_177486 'miners' knee' victims to get compensation : directgov - newsroom",0.00,64,46,0.29
"4074","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185241 caesarean section : directgov - motoring",0.00,64,60,0.07
"4075","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185727 psychosis and driving : directgov - motoring",0.00,64,47,0.27
"4076","money tax and benefits > en > taxes/beginnersguidetotax/incometax/taxcodes/ dg_078426 expense payments in your tax code : directgov - money, tax and benefits",0.00,64,54,0.16
"4077","home and community > en > buyingandsellingyourhome/mobilehousing/ dg_10030273 gypsies and travellers : directgov - home and community",0.00,64,59,0.09
"4078","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/ dg_073944 checking your tax credits award notice : directgov - money, tax and benefits",0.00,64,54,0.16
"4079","newsroom > en > other  dg_190429 holiday fraud warning issued : directgov - newsroom",0.00,64,58,0.10
"4080","money tax and benefits > en > taxes/beginnersguidetotax/incometax/taxallowancesandreliefs/ dg_078786 maintenance payments relief : directgov - money, tax and benefits",0.00,64,59,0.09
"4081","money tax and benefits > en > taxcreditsandchildbenefit/taxcredits/gettingstarted/claimingtaxcredits/  claiming  tax credits : directgov - money, tax and benefits",0.00,64,52,0.20
"4082","education and learning > en > universityandhighereducation/studentfinance/ dg_191573 changes in who is responsible for your student finance : directgov - education and learning",0.00,64,61,0.06
"4083","employment > en > jobseekers/lookingforwork/ dg_181938 video: opportunities in transport : directgov - employment",0.00,64,53,0.18
"4084","environment and greener living > en > wasteandrecycling/ dg_064369 composting : directgov - environment and greener living",0.00,63,59,0.07
"4085","education and learning > en > adultlearning/shapinglearning/ dg_172165 becoming a college governor : directgov - education and learning",0.00,63,58,0.09
"4086","crime justice and the law > en > thepolice/ dg_181750 how police budgets work : directgov - crime and justice",0.00,63,56,0.12
"4087","directories > en >  dg_10011197 the princess royal trust for carers : directgov - directories",0.00,63,62,0.03
"4088","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185233 aids and driving : directgov - motoring",0.00,63,54,0.15
"4089","disabled people > en > everydaylifeandaccess/visitingplacesofinterest/ dg_4018378 visiting places of interest - introduction : directgov - disabled people",0.00,63,53,0.17
"4090","government citizens and rights > en > other  dg_182877 timeshares and holiday clubs : directgov - government, citizens and rights",0.00,63,53,0.17
"4091","other directgov subsite > en > other  dg_177936 swine flu ad campaign : directgov - news",0.00,63,58,0.09
"4092","money tax and benefits > en > taxes/beginnersguidetotax/vat/ dg_190903 paying vat if you import a personal vehicle : directgov - money, tax and benefits",0.00,63,56,0.12
"4093","newsroom > en > other  dg_189542 national citizen service pilots announced : directgov - newsroom",0.00,63,53,0.17
"4094","environment and greener living > en > greenerlifeevents/ dg_064436 moving home: a green guide : directgov - environment and greener living",0.00,63,56,0.12
"4095","motoring > en > drivingforaliving/ dg_182837 the cardington special test : directgov - motoring",0.00,63,53,0.17
"4096","money tax and benefits > en > taxes/beginnersguidetotax/incometax/taxrefundsreclaimingtax/ dg_078761 correcting your tax return and claiming any refund : directgov - money, tax and benefits",0.00,62,62,0.01
"4097","parents > en > yourchildshealthandsafety/internetsafety/ dg_182610 internet terms and language: a guide for parents : directgov - parents",0.00,62,50,0.20
"4098","help > en > sitemap/ > a  site index : directgov - help",0.00,62,53,0.15
"4099","parents > en > havingababy/afterthebirth/ dg_4002917 healthy eating for breastfeeding : directgov - parents",0.00,62,55,0.12
"4100","directories > en >  dg_10011300 vosa test station - newcastle-upon-tyne : directgov - directories",0.00,62,52,0.17
"4101","directories > en >  dg_10012178 office of the public guardian : directgov - directories",0.00,62,49,0.22
"4102","directories > en >  dg_10012146 office of gas and electricity markets (ofgem) : directgov - directories",0.00,62,58,0.07
"4103","employment > en > tradeunions/ dg_10027560 your right to join, or not join, a trade union : directgov - employment",0.00,62,57,0.09
"4104","directories > en >  dg_10011291 vosa test station - leighton buzzard : directgov - directories",0.00,62,52,0.17
"4105","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185594 ankylosing spondylitis and driving : directgov - motoring",0.00,62,52,0.17
"4106","directories > en >  dg_10016421 construction skills : directgov - directories",0.00,62,57,0.09
"4107","directories > en >  dg_10026923 business anti-fraud helpline (reporting employers) : directgov - directories",0.00,62,59,0.06
"4108","money tax and benefits > en > taxcreditsandchildbenefit/childbenefits/informationforpeoplewhohelpandadviseothers/ dg_173612 getting child benefit on behalf of someone else : directgov - money, tax and benefits",0.00,61,55,0.11
"4109","newsroom > en > other  dg_172433 in and out of work : directgov - newsroom",0.00,61,57,0.07
"4110","directories > en >  dg_10011183 crossroads care : directgov - directories",0.00,61,57,0.07
"4111","education and learning > en > universityandhighereducation/studentfinance/ dg_174617 student finance england: how your information is used : directgov - education and learning",0.00,61,48,0.22
"4112","directories > en >  dg_065133 health and social services trusts : directgov - directories",0.00,61,56,0.09
"4113","environment and greener living > en > thewiderenvironment/pollution/ dg_064404 river quality, flood risk areas and clean beaches : directgov - environment and greener living",0.00,61,57,0.07
"4114","employment > en > jobseekers/lookingforwork/ dg_181705 video: opportunities in care : directgov - employment",0.00,61,56,0.09
"4115","directories > en >  dg_10010967 nspcc (national society for the prevention of cruelty to children) : directgov - directories",0.00,61,55,0.11
"4116","directories > en >  dg_10011081 association of disabled professionals : directgov - directories",0.00,61,56,0.09
"4117","home and community > en > yourlocalcouncilandcounciltax/yourcommunity/ dg_10034529 how to complain about local authority services : directgov - home and community",0.00,61,55,0.11
"4118","pensions and retirement planning > en > over50healthandwellbeing/healthandfitness/ dg_10028039 keeping mobile and preventing falls : directgov - pensions and retirement planning",0.00,61,59,0.04
"4119","directories > en >  dg_10012018 house of commons : directgov - directories",0.00,61,55,0.11
"4120","other directgov subsite > en > other  dg_10036216 web statistics : directgov - site information",0.00,61,48,0.22
"4121","travel and transport > en > usingmotorwaysandroads/trafficinformationandjourneyplanning/ dg_184697 know about planned roadworks in your region : directgov - travel and transport",0.00,61,44,0.29
"4122","government citizens and rights > en > other  dg_174616 identity fraud : directgov - government, citizens and rights",0.00,61,59,0.04
"4123","disabled people > en > travelholidaysandbreaks/gettingthere/ dg_4017239 air travel if you are mobility impaired : directgov - disabled people",0.00,61,58,0.06
"4124","pensions and retirement planning > en > benefits/concessionsandotherhelp/ dg_10027107 further help from charities and not-for-profit organisations for over 50s : directgov - pensions and retirement planning",0.00,61,54,0.12
"4125","motoring > en > driverlicensing/medicalrulesfordrivers/medicala-z/ dg_185372 attention deficit disorder and driving : directgov - motoring",0.00,61,44,0.29
"4126","parents > en > schoolslearninganddevelopment/preparingforthefirstdayatschool/ dg_4016576 overcoming first day fears at primary school : directgov - parents",0.00,60,53,0.13
"4127","other directgov subsite > en > other  dg_183221 who needs to register with the vetting and barring scheme : directgov - vetting",0.00,60,47,0.22
"4128","crime justice and the law > en > counterterrorism/  counter terrorism : directgov - crime and justice",0.00,60,44,0.27
"4129","directories > en >  dg_10011266 vosa test station - birmingham : directgov - directories",0.00,60,57,0.06
"4130","environment and greener living > en > greenertravel/airtravelandgreenerholidays/ dg_064429 air travel and the environment : directgov - environment and greener living",0.00,60,54,0.11
"4131","pensions and retirement planning > en > companyandpersonalpensions/companypensions/ dg_179486 company pensions - what happens if it is wound up : directgov - pensions and retirement planning",0.00,60,56,0.08
"4132","other directgov subsite > en > other  dg_171848 eco-towns : directgov - ecotowns",0.00,60,42,0.31
"4133","employment > en > employees/businesstransfersandtakeovers/ dg_176399 business transfers and takeovers: employee representatives and elections : directgov - employment",0.00,60,50,0.18
"4134","parents > en > yourchildshealthandsafety/roadandtravelsafety/ dg_10037078 children travelling alone : directgov - parents",0.00,60,51,0.16
"4135","home and community > en > privaterenting/repairsandstandards/ dg_189202 recognising good private landlords - accreditation schemes : directgov - home and community",0.00,60,54,0.11
"4136","directories > en >  dg_6000211 income tax and capital gains tax enquiries for non-uk residents : directgov - directories",0.00,60,55,0.09
"4137","employment > en > resolvingworkplacedisputes/mediationconciliationandarbitration/ dg_173234 arbitration in workplace disputes : directgov - employment",0.00,60,57,0.06
"4138","crime justice and the law > en > victimsofcrime/ dg_4016878 forced marriages : directgov - crime and justice",0.00,60,57,0.06
"4139","newsroom > en > other  dg_189258 top five frauds revealed : directgov - newsroom",0.00,60,58,0.04
