Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Book through
"Calam, Ms. Mary-Jane",24/02/2016,,,2MS to Throgmorton St EC2N 2AN,Taxis,,,,15.00,,
"Cunningham, Mr. Michael Bernard",24/02/2016,,London City,INTERNAL MEETING,,,Hotel Room,,125.60,,Redfern
"Cunningham, Mr. Michael Bernard",24/02/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,213.00,,Redfern
"Duffy, Mr. Philip",24/02/2016,,Lyon,EXTERNAL MEETING,Air Tickets,Economy,,,116.00,,Redfern
"Kershaw, Mr. Stephen Edward",24/02/2016,,Birmingham,INTERNAL MEETING,,,Hotel Executive Deluxe One Bedroom Suite,,150.60,,Redfern
"Kershaw, Mr. Stephen Edward",24/02/2016,,Birmingham New St,INTERNAL MEETING,Rail,Standard,,,85.00,,Redfern
"Kershaw, Mr. Stephen Edward",24/02/2016,,,INTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Martin, Mr. Ian Richard",24/02/2016,,,Taxi from Liverpool Lime Street to Capital Building.  Torrential rain made walking not practical. Receipt held.,Taxis,,,,4.60,,
"Martin, Mr. Ian Richard",24/02/2016,,,Lunch bought whilst visiting Capital Building for day. Receipt held.,T&S - Subsistence,,,,3.00,,
"Martin, Mr. Ian Richard",24/02/2016,,Liverpool Lime Street,INTERNAL MEETING,Rail,Standard,,,112.00,,Redfern
"Oppenheim, Mr. Jeremy",24/02/2016,,,taxi from office to home at 22:00 following official attendance at a paly about child sexual abuse.,Taxis,,,,35.33,,
"Sedwill, Mr. Mark",24/02/2016,,Helsinki,EXTERNAL MEETING,Air Tickets,Club Class,,,0.00,,Redfern
"Spencer, Dr. Fiona Margaret",24/02/2016,,,Speaker at MPLA Cohort 9 Closing Event,Taxis,,,,6.60,,
"Spencer, Dr. Fiona Margaret",24/02/2016,,Oxford,EXTERNAL MEETING,Rail,Standard,,,61.20,,Redfern
"Calam, Ms. Mary-Jane",25/02/2016,,Darlington Station,EXTERNAL MEETING,Rail,Standard,,,149.85,,Redfern
"Duffy, Mr. Philip",25/02/2016,,,CONFERENCE/EVENT,,,Hotel Fee ,,2.33,,Redfern
"Hepple, Mr. Tyson Julian",25/02/2016,,East Croydon,INTERNAL MEETING,Rail,Standard,,,5.90,,Redfern
"Spencer, Dr. Fiona Margaret",25/02/2016,,,Speaker at MPLA Cohort 9 Closing Event,Taxis,,,,8.90,,
"Storr, Mr. Peter Richard",25/02/2016,,Brussels Midi,EXTERNAL MEETING,Air Tickets,Business,,,492.16,,Redfern
"Thomson, Mr. Mark David",25/02/2016,,,Civil Service Leadership Event,Taxis,,,,6.20,,
"Thomson, Mr. Mark David",25/02/2016,,London Zones 1-4,CONFERENCE/EVENT,Rail,Standard,,,12.10,,Redfern
"Williams, Mr. Glyn",25/02/2016,,,early eurostar - taxi to st pancras,T&S - Overseas Expenses,,,,55.00,,
"Williams, Mr. Glyn",25/02/2016,,,WW subsistence,T&S - Overseas Expenses,,,,30.44,,
"Williams, Mr. Glyn",25/02/2016,,Paris Gare Du Nord,EXTERNAL MEETING,Air Tickets,Economy,,,518.00,,Redfern
"Calam, Ms. Mary-Jane",26/02/2016,,Lewes,EXTERNAL MEETING,Rail,Standard,,,31.40,,Redfern
"Hepple, Mr. Tyson Julian",26/02/2016,,East Croydon,INTERNAL MEETING,Rail,Standard,,,5.90,,Redfern
"Kershaw, Mr. Stephen Edward",26/02/2016,,London Marylebone,INTERNAL MEETING,Rail,Standard,,,28.90,,Redfern
"Kershaw, Mr. Stephen Edward",26/02/2016,,Solihull,INTERNAL MEETING,Rail,Standard,,,3.50,,Redfern
"Sedwill, Mr. Mark",26/02/2016,,London Heathrow,EXTERNAL MEETING,Air Tickets,Business,,,0.00,,Redfern
"Wren, Mr. Simon William",26/02/2016,,Boston,CONFERENCE/EVENT,Rail,Standard,,,26.00,,Redfern
"Ind, Mr. Hugh Timothy",27/02/2016,,,Travel Insurance - required for business trip to Nigeria,Miscellaneous,,,,6.76,,
"Ind, Mr. Hugh Timothy",28/02/2016,,,Taxi Fare - home to Heathrow Airport - business trip to Nigeria,Taxis,,,,35.00,,
"Ind, Mr. Hugh Timothy",28/02/2016,,Abuja,EXTERNAL MEETING,Air Tickets,Business,,,"6,042.35",,Redfern
"Storr, Mr. Peter Richard",28/02/2016,,,Unknown,T&S - Subsistence,,,,29.98,,
"Storr, Mr. Peter Richard",28/02/2016,,,Heathrow Express return ticket,"T&S - Planes, Trains and Automobiles",,,,36.00,,
"Storr, Mr. Peter Richard",28/02/2016,,Tokyo Narita,EXTERNAL MEETING,Air Tickets,Business,,,"5,878.61",,Redfern
"Ind, Mr. Hugh Timothy",28/02/2016,,,Business Trip to Nigeria,T&S - Subsistence,,,,61.30,,
"Duffy, Mr. Philip",29/02/2016,,Manchester,CONFERENCE/EVENT,,,Hotel Superior,,79.60,,Redfern
"Duffy, Mr. Philip",29/02/2016,,Manchester Piccadilly,CONFERENCE/EVENT,Rail,Standard,,,146.00,,Redfern
"Field, Ms. Ann-Marie",29/02/2016,,Ashford International,TRAINING,Rail,Standard,,,14.90,,Redfern
"Ind, Mr. Hugh Timothy",29/02/2016,,Liverpool Lime Street,INTERNAL MEETING,Rail,Standard,,,312.00,,Redfern
"Ind, Mr. Hugh Timothy",29/02/2016,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Martin, Mr. Ian Richard",29/02/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Cunningham, Mr. Michael Bernard",01/03/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,213.00,,Redfern
"Cunningham, Mr. Michael Bernard",01/03/2016,,London Heathrow,INTERNAL MEETING,,,Hotel Standard- One- King Size,,120.60,,Redfern
"Duffy, Mr. Philip",01/03/2016,,,Official Visit to NBTC,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.20,,
"Duffy, Mr. Philip",01/03/2016,,,FBI Conference Manchester - no public transport available,Taxis,,,,12.00,,
"Duffy, Mr. Philip",01/03/2016,,Heald Green,CONFERENCE/EVENT,Rail,Standard,,,3.70,,Redfern
"Ind, Mr. Hugh Timothy",01/03/2016,,,Business Trip to Nigeria.  28.2.16 - 2.3.16,T&S - Hotels,,,,650.00,,
"Martin, Mr. Ian Richard",01/03/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,140.30,,Redfern
"Otter, Mr. Stephen Anthony",01/03/2016,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,11.00,,Redfern
"Otter, Mr. Stephen Anthony",01/03/2016,,Exeter St Davids,INTERNAL MEETING,Rail,Standard,,,61.00,,Redfern
"Otter, Mr. Stephen Anthony",01/03/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,94.00,,Redfern
"Webb, Mr. Stephen",01/03/2016,,Sunningdale,EXTERNAL MEETING,Rail,Standard,,,14.50,,Redfern
"Ind, Mr. Hugh Timothy",02/03/2016,,,Taxi Fare - Station to home - business trip to Nigeria,Taxis,,,,10.00,,
"Ind, Mr. Hugh Timothy",02/03/2016,,,Return - Visit to Nigeria,"T&S - Planes, Trains and Automobiles",,,,3.30,,
"Ind, Mr. Hugh Timothy",02/03/2016,,,Return - Visit to Nigeria,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,17.00,,
"Martin, Mr. Ian Richard",02/03/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Morrison, Mr. Paul Noble Wilson",02/03/2016,,,travel to scotland,T&S - Subsistence,,,,5.40,,
"Morrison, Mr. Paul Noble Wilson",02/03/2016,,,dinner in evening of trip to scotland,T&S - Subsistence,,,,13.75,,
"Morrison, Mr. Paul Noble Wilson",02/03/2016,,,travel from home to airport,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,10.40,,
"O'brien, Mr. John",02/03/2016,,,stand in at darlington meeting,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,73.50,,
"O'brien, Mr. John",02/03/2016,,,darlington station to hotel,Taxis,,,,5.50,,
"O'brien, Mr. John",02/03/2016,,Teesside,EXTERNAL MEETING,,,Hotel Standard- One- Double,,90.60,,Redfern
"Oppenheim, Mr. Jeremy",02/03/2016,,,taxi from Sheffield Station to Mercure hotel Sheffield,Taxis,,,,5.00,,
"Oppenheim, Mr. Jeremy",02/03/2016,,,additional costs associated with overnight stay at hotel whilst on an official visit to Sheffield,T&S - Hotels,,,,10.00,,
"Oppenheim, Mr. Jeremy",02/03/2016,,,Dinner in Sheffiled whilst attnding a series of external meetings. Travel to Sheffield at 16:55 on 2 March. Return at 20:30 on 3 March,Miscellaneous,,,,-4.00,,
"Oppenheim, Mr. Jeremy",02/03/2016,,,Dinner in Sheffiled whilst attnding a series of external meetings,T&S - Subsistence,,,,26.00,,
"Oppenheim, Mr. Jeremy",02/03/2016,,Sheffield,EXTERNAL MEETING,,,Hotel Standard,,89.60,,Redfern
"Oppenheim, Mr. Jeremy",02/03/2016,,Sheffield,EXTERNAL MEETING,Rail,Standard,,,118.15,,Redfern
"Thomson, Mr. Mark David",02/03/2016,,,Round trip to Bedfont Lakes,T&S - Employee Reimbursed Mileage,,,,28.80,,
"Wilkinson, Miss Sarah Fay",02/03/2016,,,"Travel to Blavatnik School of Government, Oxford, OX2 6GG",T&S - Employee Reimbursed Mileage,,,,58.00,,
"O'brien, Mr. John",02/03/2016,,,darlington meeting,T&S - Subsistence,,,,26.00,,
"Cunningham, Mr. Michael Bernard",03/03/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,213.00,,Redfern
"Cunningham, Mr. Michael Bernard",03/03/2016,,,INTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Montgomery, Sir Charles Percival",03/03/2016,,,Tube travel to Docklands for speech at maritime conference on 03.03.16 using contactless,"T&S - Planes, Trains and Automobiles",,,,4.80,,
"Morrison, Mr. Paul Noble Wilson",03/03/2016,,,dinner in Glasgow,T&S - Subsistence,,,,26.00,,
"Morrison, Mr. Paul Noble Wilson",03/03/2016,,,travel from edinburgh to glasgow,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,12.50,,
"O'brien, Mr. John",03/03/2016,,,late  stand in at Darligton meeting,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,61.50,,
"Oppenheim, Mr. Jeremy",03/03/2016,,,taxi from S Yorks Police HQ to HO office at Vulcan House Sheffield,Taxis,,,,8.50,,
"Oppenheim, Mr. Jeremy",03/03/2016,,,taxi to attend official meeting with PCC Dr Alan Billings in Sheffield,Taxis,,,,11.00,,
"Oppenheim, Mr. Jeremy",03/03/2016,,,car parking costs incurred at St Pancras Train station whilst attending an official visit to Sheffield 2 - 3 March.,"T&S - Planes, Trains and Automobiles",,,,56.10,,
"Sutton, Mr. Kenneth David",03/03/2016,,Folkestone West,EXTERNAL MEETING,Rail,Standard,,,30.50,,Redfern
"Webb, Mr. Stephen",03/03/2016,,,Station to Sunningdale College of Policing,Taxis,,,,6.00,,
"Webb, Mr. Stephen",03/03/2016,,Sunningdale,CONFERENCE/EVENT,Rail,Standard,,,14.50,,Redfern
"Cunningham, Mr. Michael Bernard",04/03/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,213.00,,Redfern
"Hepple, Mr. Tyson Julian",04/03/2016,,Bolton,INTERNAL MEETING,Rail,Standard,,,141.00,,Redfern
"Hepple, Mr. Tyson Julian",04/03/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,77.50,,Redfern
"Kershaw, Mr. Stephen Edward",04/03/2016,,HEATHROW TERM123,INTERNAL MEETING,Rail,Standard,,,36.00,,Redfern
"Morrison, Mr. Paul Noble Wilson",04/03/2016,,,lunch in scotland,T&S - Subsistence,,,,9.75,,
"Morrison, Mr. Paul Noble Wilson",04/03/2016,,,ferry to rothesay,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,6.20,,
"Morrison, Mr. Paul Noble Wilson",04/03/2016,,,paisley to Glasgow airport,Taxis,,,,5.20,,
"Morrison, Mr. Paul Noble Wilson",04/03/2016,,Gourock,EXTERNAL MEETING,Rail,Standard,,,7.90,,Redfern
"Morrison, Mr. Paul Noble Wilson",04/03/2016,,Paisley Gilmour Street,EXTERNAL MEETING,Rail,Standard,,,6.40,,Redfern
"Duffy, Mr. Philip",06/03/2016,,,To attend MPLA Course - no public transport to egrove park,Taxis,,,,12.00,,
"Duffy, Mr. Philip",06/03/2016,,,Travel to MPLA course - coach,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,24.00,,
"Duffy, Mr. Philip",07/03/2016,,,Accommodation for MPLA course,T&S - Hotels,,,,80.00,,
"Martin, Mr. Ian Richard",07/03/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Montgomery, Sir Charles Percival",07/03/2016,,,Dinner in Athens duirng work visit to Greece on 7.03.16.,T&S - Subsistence,,,,15.66,,
"Montgomery, Sir Charles Percival",07/03/2016,,Athens,EXTERNAL MEETING,Air Tickets,Economy,,,618.22,,Redfern
"Morrison, Mr. Paul Noble Wilson",07/03/2016,,,travel from station to a course,Taxis,,,,11.20,,
"Morrison, Mr. Paul Noble Wilson",07/03/2016,,Dorking Station,CONFERENCE/EVENT,Rail,Standard,,,18.80,,Redfern
"Shipley, Mr. Gordon Michael",07/03/2016,,OXFORD PARKWAY,EXTERNAL MEETING,Rail,Standard,,,41.40,,Redfern
"Sutton, Mr. Kenneth David",07/03/2016,,,Tea and coffee bought for external partners,Miscellaneous,,,,6.20,,
"Webb, Mr. Stephen",07/03/2016,,,Stationn to Thames Valley Police HQ,Taxis,,,,5.00,,
"Webb, Mr. Stephen",07/03/2016,,OXFORD PARKWAY,EXTERNAL MEETING,Rail,Standard,,,66.30,,Redfern
"Cunningham, Mr. Michael Bernard",08/03/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,213.00,,Redfern
"Dottridge, Mr. Adrian Yme",08/03/2016,,,Breakfast was not included with accomodation,"Canteens, Lunches, Vending",,,,12.95,,
"Hayes, Mr. Simon Thomas",08/03/2016,,Doncaster/Sheffield,INTERNAL MEETING,,,Hotel Room,,77.10,,Redfern
"Hayes, Mr. Simon Thomas",08/03/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,116.50,,Redfern
"Martin, Mr. Ian Richard",08/03/2016,,,Evening meal whilst staying overnight in Sheffield. Receipt held.,T&S - Subsistence,,,,19.00,,
"Martin, Mr. Ian Richard",08/03/2016,,,Car parking overnight en route to visiting Sheffield office for 2 days.,"T&S - Planes, Trains and Automobiles",,,,16.40,,
"Martin, Mr. Ian Richard",08/03/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,132.10,,Redfern
"Morrison, Mr. Paul Noble Wilson",08/03/2016,,,travel from course to station,Taxis,,,,11.60,,
"Oppenheim, Mr. Jeremy",08/03/2016,,,pesonal mobile used for business call - 70% of bill claimed,Miscellaneous,,,,15.67,,
"Robbins, Mr. Oliver",08/03/2016,,Berlin Tegel,EXTERNAL MEETING,Air Tickets,Economy,,,-799.82,,Redfern
"Robbins, Mr. Oliver",08/03/2016,,HEATHROW TERM 5,DETACHED DUTY,Rail,Standard,,,28.00,,Redfern
"Robbins, Mr. Oliver",08/03/2016,,,EXTERNAL MEETING,Air Fee,,,,"1,240.98",,Redfern
"Sedwill, Mr. Mark",08/03/2016,,Clapham Junction,EXTERNAL MEETING,Rail,Standard,,,13.50,,Redfern
"Silverman, Mr. Bernard Walter",08/03/2016,,,Meeting with MInister John Hayes en route to Security and Policing Exhibition.  MInister refused to travel Standard Class.,T&S - Hotels,,,,26.20,,
"Silverman, Mr. Bernard Walter",08/03/2016,,London Waterloo,CONFERENCE/EVENT,Rail,Standard,,,10.50,,Redfern
"Sutton, Mr. Kenneth David",08/03/2016,,,Unable to use public transport,Taxis,,,,9.00,,
"Wilkinson, Miss Sarah Fay",08/03/2016,,,Travel to High Potential Development Scheme - Cohort 10 Development workshop,T&S - Employee Reimbursed Mileage,,,,18.80,,
"Eastaugh, Mr. Tony",09/03/2016,,Farnborough,EXTERNAL MEETING,,,Hotel Room,,60.93,,Redfern
"Eastaugh, Mr. Tony",09/03/2016,,Farnborough (Main),INTERNAL MEETING,Rail,Standard,,,15.90,,Redfern
"Hayes, Mr. Simon Thomas",09/03/2016,,,Train ticket.,T&S - Hotels,,,,3.40,,
"Hayes, Mr. Simon Thomas",09/03/2016,,,Breakfast at hotel.,"Canteens, Lunches, Vending",,,,9.95,,
"Martin, Mr. Ian Richard",09/03/2016,,,Car parking at Luton Airport Parkway station en route to meeting at MoJ Petty France. Receipt held.,"T&S - Planes, Trains and Automobiles",,,,3.30,,
"Montgomery, Sir Charles Percival",09/03/2016,,,Tube from London Paddington (having used Heathrow express) to London Waterloo on 09.03.16 following return from work visit to Greece.,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Montgomery, Sir Charles Percival",09/03/2016,,London Paddington,EXTERNAL MEETING,Rail,Standard,,,22.00,,Redfern
"Oppenheim, Mr. Jeremy",09/03/2016,,,lunch whilst attending official meetings in Cumbria. Visit commenced at 09:00 0n 9 March and ended at 19:00 on 10 March. This item covers the period from 09:00 - 19:00 on 9 March.,T&S - Subsistence,,,,5.43,,
"Oppenheim, Mr. Jeremy",09/03/2016,,,dinner in Cumbria whilst on an official visit to Cumbria. Claiming for 24 hours from 19:00 on 9 March until 19:00 on 10 March.,Miscellaneous,,,,-14.30,,
"Oppenheim, Mr. Jeremy",09/03/2016,,,dinner in Cumbria whilst on an official visit to Cumbria. Claiming for 24 hours from 19:00 on 9 March until 19:00 on 10 March.,Unspecified,,,,26.00,,
"Oppenheim, Mr. Jeremy",09/03/2016,,Carlisle,EXTERNAL MEETING,,,Hotel Superior- Two- Twin,,85.60,,Redfern
"Oppenheim, Mr. Jeremy",09/03/2016,,Penrith,EXTERNAL MEETING,Rail,Standard,,,13.55,,Redfern
"Oppenheim, Mr. Jeremy",09/03/2016,,Preston,EXTERNAL MEETING,Rail,Standard,,,57.25,,Redfern
"Otter, Mr. Stephen Anthony",09/03/2016,,Salisbury,INTERNAL MEETING,Rail,Standard,,,16.00,,Redfern
"Silverman, Mr. Bernard Walter",09/03/2016,,,"Four senior visitors from US Dept of Homeland Security, plus myself and our embedded staff member in the Dept for Homeland Security","Canteens, Lunches, Vending",,,,101.25,,
"Thomson, Mr. Mark David",09/03/2016,,London Zones 1-4,CONFERENCE/EVENT,Rail,Standard,,,12.10,,Redfern
"Calam, Ms. Mary-Jane",10/03/2016,,Farnborough (Main),DETACHED DUTY,Rail,Standard,,,14.40,,Redfern
"Cunningham, Mr. Michael Bernard",10/03/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,213.00,,Redfern
"Hepple, Mr. Tyson Julian",10/03/2016,,Bristol,EXTERNAL MEETING,Web Transaction,Economy,,,55.38,,Redfern
"Hepple, Mr. Tyson Julian",10/03/2016,,Bristol,INTERNAL MEETING,,,Hotel Room,,86.60,,Redfern
"Hepple, Mr. Tyson Julian",10/03/2016,,Cardiff,EXTERNAL MEETING,Air Tickets,Economy,,,72.72,,Redfern
"Hepple, Mr. Tyson Julian",10/03/2016,,Glasgow,INTERNAL MEETING,Air Tickets,Economy,,,178.74,,Redfern
"Hepple, Mr. Tyson Julian",10/03/2016,,,INTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Montgomery, Sir Charles Percival",10/03/2016,,,Refreshment during work visit to Farnborough for exhibition on 10.03.16 using contactless,"T&S - Planes, Trains and Automobiles",,,,6.85,,
"Montgomery, Sir Charles Percival",10/03/2016,,Farnborough (Main),CONFERENCE/EVENT,Rail,Standard,,,6.00,,Redfern
"Montgomery, Sir Charles Percival",10/03/2016,,London Waterloo,CONFERENCE/EVENT,Rail,Standard,,,5.00,,Redfern
"Oppenheim, Mr. Jeremy",10/03/2016,,London Euston,EXTERNAL MEETING,Rail,Standard,,,66.25,,Redfern
"Oppenheim, Mr. Jeremy",10/03/2016,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Storr, Mr. Peter Richard",10/03/2016,,Brussels,EXTERNAL MEETING,Air Tickets,,,,474.97,,Redfern
"Calam, Ms. Mary-Jane",11/03/2016,,,Grosvenor St W1K 4QJ to 2MS,Taxis,,,,13.00,,
"Duffy, Mr. Philip",11/03/2016,,,Travel home from MPLA - no public transport,Taxis,,,,10.00,,
"Duffy, Mr. Philip",11/03/2016,,,Travel home from MPLA course - train,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,24.90,,
"Hepple, Mr. Tyson Julian",11/03/2016,,,Hotel bill - Holiday Inn Bristol Airport. Includes cost of shuttle bus from the airport.,T&S - Hotels,,,,90.00,,
"Hepple, Mr. Tyson Julian",11/03/2016,,,Hotel bill - Holiday Inn Bristol Airport. Includes cost of shuttle bus from the airport.,T&S - Hotels,,,,90.00,,
"Hepple, Mr. Tyson Julian",11/03/2016,,,Taxi from Holiday Inn Bristol Airport to Bristol Temple Meads.,Taxis,,,,25.00,,
"Hepple, Mr. Tyson Julian",11/03/2016,,,Taxi from Holiday Inn Bristol Airport to Bristol Temple Meads.,Taxis,,,,25.00,,
"Hepple, Mr. Tyson Julian",11/03/2016,,Cardiff Central,INTERNAL MEETING,Rail,Standard,,,15.70,,Redfern
"Hepple, Mr. Tyson Julian",11/03/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,43.40,,Redfern
"Martin, Mr. Ian Richard",11/03/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Sutton, Mr. Kenneth David",11/03/2016,,Folkestone West,INTERNAL MEETING,Rail,Standard,,,30.90,,Redfern
"Oppenheim, Mr. Jeremy",13/03/2016,,,Taxi from home to London Euston for oneasrd travel to Liverpool to conduct interviews for Chief Executive DBS. .,Taxis,,,,29.70,,
"Oppenheim, Mr. Jeremy",13/03/2016,,,Dinner at hotel during official visit to Liverpool between 13 - 14 March. Outward jorney commenced at 18:00 on 13 March. Return at 18:00 on 14 March.,Miscellaneous,,,,-7.25,,
"Oppenheim, Mr. Jeremy",13/03/2016,,,Dinner at hotel during official visit to Liverpool between 13 - 14 March. Outward jorney commenced at 18:00 on 13 March. Return at 18:00 on 14 March.,T&S - Hotels,,,,26.00,,
"Oppenheim, Mr. Jeremy",13/03/2016,,Liverpool,PROMOTION/SELECTION BOARD,,,Hotel Standard- One- King Size,,76.25,,Redfern
"Oppenheim, Mr. Jeremy",13/03/2016,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,54.40,,Redfern
"Martin, Mr. Ian Richard",14/03/2016,,Birmingham New St,EXTERNAL MEETING,Rail,Standard,,,91.00,,Redfern
"Oppenheim, Mr. Jeremy",14/03/2016,,,taxi from DBS offices to railway station to catch train to London following interviews to appoint new CE of DBS.,Taxis,,,,5.00,,
"Sutton, Mr. Kenneth David",14/03/2016,,London Zones 1-4,INTERNAL MEETING,Rail,Standard,,,12.10,,Redfern
"Cunningham, Mr. Michael Bernard",15/03/2016,,London Euston,INTERNAL MEETING,Rail,Standard,,,213.00,,Redfern
"Cunningham, Mr. Michael Bernard",15/03/2016,,London Heathrow,INTERNAL MEETING,,,Hotel Standard- One- King Size,,120.60,,Redfern
"Martin, Mr. Ian Richard",15/03/2016,,,"Car parking costs at Bedford and Milton Keynes Train Stations for visits to London, Manchester Airport and Liverpool offices. Statement receipt uploaded.","T&S - Planes, Trains and Automobiles",,,,63.80,,
"Otter, Mr. Stephen Anthony",15/03/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,94.00,,Redfern
"Shipley, Mr. Gordon Michael",15/03/2016,,Basingstoke,EXTERNAL MEETING,Rail,Standard,,,89.60,,Redfern
"Sutton, Mr. Kenneth David",15/03/2016,,,Working lunch,Miscellaneous,,,,10.50,,
"Thomson, Mr. Mark David",15/03/2016,,,Trip to Manchester,Taxis,,,,11.00,,
"Thomson, Mr. Mark David",15/03/2016,,,2 Tube journeys within London,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.80,,
"Thomson, Mr. Mark David",15/03/2016,,Manchester Airport,CONFERENCE/EVENT,Rail,Standard,,,81.40,,Redfern
"Thomson, Mr. Mark David",15/03/2016,,Manchester Piccadilly,CONFERENCE/EVENT,Rail,Standard,,,4.30,,Redfern
"Webb, Mr. Stephen",15/03/2016,,HEATHROW TERM123,CONFERENCE/EVENT,Rail,Standard,,,36.00,,Redfern
"Arnott, Dr. Robert Henry",16/03/2016,,,PA consulting dinner,Taxis,,,,12.50,,
"Lamberti, Mr. David James",16/03/2016,,,Flight to Scotland for meetings,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,67.80,,
"Lamberti, Mr. David James",16/03/2016,,,Edinburgh Airport to hotel,Taxis,,,,23.00,,
"Lamberti, Mr. David James",16/03/2016,,Edinburgh,EXTERNAL MEETING,,,Hotel Standard- One- Double,,79.60,,Redfern
"Lamberti, Mr. David James",16/03/2016,,Gatwick Airport,EXTERNAL MEETING,Rail,Standard,,,19.90,,Redfern
"Martin, Mr. Ian Richard",16/03/2016,,,Car parking en route to visiting Vulcan House in Sheffield. Receipt uploaded.,"T&S - Planes, Trains and Automobiles",,,,8.30,,
"Martin, Mr. Ian Richard",16/03/2016,,Sheffield,INTERNAL MEETING,Rail,Standard,,,140.30,,Redfern
"Thomson, Mr. Mark David",16/03/2016,,London Euston,CONFERENCE/EVENT,Rail,Standard,,,110.00,,Redfern
"Webb, Mr. Stephen",16/03/2016,,,Station to venue for Forensics Portfolio Board,Taxis,,,,7.00,,
"Webb, Mr. Stephen",16/03/2016,,Bristol Temple Meads,EXTERNAL MEETING,Rail,Standard,,,71.20,,Redfern
"Campbell, Ms. Mandie Jane",17/03/2016,,,NSTCG meeting Spring Gardens,Taxis,,,,5.00,,
"Eastaugh, Mr. Tony",17/03/2016,,London,DETACHED DUTY,,,Hotel Room,,92.88,,Redfern
"Ind, Mr. Hugh Timothy",17/03/2016,,,Visit to Becket House with Nigerian Delegation,"T&S - Planes, Trains and Automobiles",,,,5.80,,
"Lamberti, Mr. David James",17/03/2016,,,Flight from Scotland,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,42.99,,
"Lamberti, Mr. David James",17/03/2016,,London Victoria,EXTERNAL MEETING,Rail,Standard,,,19.90,,Redfern
"Martin, Mr. Ian Richard",17/03/2016,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.00,,Redfern
"Morrison, Mr. Paul Noble Wilson",17/03/2016,,,had to get such an early flight from london that it was not possible to use public transport,Taxis,,,,40.05,,
"Morrison, Mr. Paul Noble Wilson",17/03/2016,,,lunch,T&S - Subsistence,,,,5.15,,
"Morrison, Mr. Paul Noble Wilson",17/03/2016,,Edinburgh,EXTERNAL MEETING,Air Tickets,Economy,,,73.14,,Redfern
"Morrison, Mr. Paul Noble Wilson",17/03/2016,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,67.50,,Redfern
"Otter, Mr. Stephen Anthony",17/03/2016,,Exeter St Davids,INTERNAL MEETING,Rail,Standard,,,37.50,,Redfern
"Sedwill, Mr. Mark",17/03/2016,,Edinburgh,EXTERNAL MEETING,Air Tickets,Economy,,,100.81,,Redfern
"Sutton, Mr. Kenneth David",17/03/2016,,Folkestone West,INTERNAL MEETING,Rail,Standard,,,31.90,,Redfern
"Thomson, Mr. Mark David",17/03/2016,,London Zones 1-4,CONFERENCE/EVENT,Rail,Standard,,,12.10,,Redfern
"Thomson, Mr. Mark David",17/03/2016,,Peterborough,CONFERENCE/EVENT,Rail,Standard,,,68.00,,Redfern
