OrganisationLabel,OrganisationURI,Account Name 1,Account Name 2,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Address 6,Property Postcode,BA Reference,Account Address 1,Account Address 2,Account Address 3,Account Address 4,Account Postcode,Liability Start,Empty Prop,Empty From,Account Exemption,Property Exemption,2010 RV,2005 RV,VOA Description,Rv Chargeable,Charge 2015/16,MIN Date From   Sbrr,MAX Date To   Sbrr,Sbrr Relief,Lower Multiplier,Trans Relief,Charity Relief From,Mandatory,Mand Relief,Discretionary,Disc Relief,Retail Relief,ReOccupation Relief
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ST GEORGES PRIMARY SCHOOL,FAO THE GOVERNORS,,,ST GEORGES PRIMARY (LOWER SITE),ST GEORGES ROAD,WALLASEY,MERSEYSIDE,CH45 3NF,55370000208,C/O THE ACCOUNTANCY DIVISION,CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,CH41 6BU,01/04/2000,,,,,47500,40000,SCHOOL AND PREMISES,12796,"£12,796.45",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,REGENERATION DIRECTORATE,,,,WALLASEY VILLAGE LIBRARY,ST GEORGES ROAD,WALLASEY,MERSEYSIDE,CH45 3NF,55370000104,C/O THE ACCOUNTANCY DIVISION,MUNICIPAL BLDG CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,CH41 6BU,01/04/2000,,,,,15000,15000,LIBRARY AND PREMISES,7200,"£7,200.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MOBILE BROADBAND NETWORK LTD,,,,T MOBILE (66273) ROOFTOP AT,ST HILARYS PARISH CHURCH,CHURCH HILL,"WALLASEY, MERSEYSIDE",CH45 3NH,50520066273,GVA-RATING.FID1601337,PO BOX 6079,WOLVERHAMPTON,,WV1 9RA,01/04/2010,,,,,10500,,Communication Station and Premises,5040,"£5,040.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,R N L I,,,,NEW BRIGHTON HOVERCRAFT SHED,COASTAL DRIVE,WALLASEY,MERSEYSIDE,CH45 3PZ,000547000001A1,WEST QUAY ROAD,POOLE,DORSET,,BH15 1HZ,28/07/2005,,,,,3400,3400,LIFEBOAT STATION,1676,£0.00,,,£0.00,,£0.00,28/07/2005,80%,"-£1,311.04",20%,-£327.76,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MITCHELLS & BUTLERS RETAIL LTD,,,,DERBY POOL,BAY VIEW DRIVE,WALLASEY,MERSEYSIDE,CH45 3QS,0005016A000105,C/O GERALD EVE,35 KINGS HILL AVENUE,WEST MALLING,KENT,ME19 4DN,31/01/2007,,,,,111000,133000,PUBLIC HOUSE AND PREMISES,54723,"£54,723.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BOOTS UK LIMITED (STORE 1308),T/A ALLIANCE PHARMACY,,,PHARMACY ADJ MANOR HEALTH CENTRE,LISCARD VILLAGE,WALLASEY,MERSEYSIDE,CH45 4JG,000424700002A9,C/O GERALD EVE,35 KINGS HILL AVENUE,WEST MALLING,KENT,ME19 4DN,05/10/2011,,,,,12000,,SHOP AND PREMISES,5760,"£5,760.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,EXCEL PROPERTY SOLUTIONS LTD,,,,25 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,,CH45 4JG,000424700025B9,,,,,,24/02/2014,,,,,5400,,SHOP AND PREMISES,2592,£0.00,24/02/2014,01/04/2016,"-£2,543.40",SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MARSTON'S PLC,,,,ROYAL OAK,39 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,CH45 4JG,42470003907,MARSTON'S HOUSE,BREWERY ROAD,WOLVERHAMPTON,,WV1 4JT,18/04/2011,,,,,28500,35500,PUBLIC HOUSE AND PREMISES,14050,"£14,050.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,NHS ENGLAND XXQ75 CHESH & MERSEY,,,,MANOR HEALTH CENTRE,41-45 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,CH45 4JG,42470000203,X24 PAYABLES K005,PHOENIX HOUSE,TOPCLIFFE LANE,WAKEFIELD,WF3 1WE,01/04/2000,,,,,14500,19000,HEALTH CENTRE AND PREMISES,6960,"£6,960.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TESCO PERSONAL FINANCE PLC,,,,ATM SITE AT 23 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,,CH45 4JG,000424700015F4,C/O GL HEARN MANAGEMENT PLC,PO BOX 1610,SOUTHAMPTON,,SO15 3WX,01/04/2010,,,,,5900,,SITE OF ATM,2832,"£2,832.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TESCO STORES LTD,,,,15-17 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,,CH45 4JG,000424700015B6,C/O G L HEARN MANAGEMENT LTD,PO BOX 1610,SOUTHAMPTON,,SO15 3WX,01/04/2010,Y,01/04/2010,,,17750,,SHOP AND PREMISES,8750,"£8,750.75",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TESCO STORES LTD,,,,23 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,,CH45 4JG,000424700015EA,C/O G L HEARN MANAGEMENT LTD,PO BOX 1610,SOUTHAMPTON,,SO15 3WX,01/04/2010,,,,,43250,,SHOP AND PREMISES,21322,"£21,322.25",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CAPITAL NETWORKS LTD,,,,63-65 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,,CH45 4JL,0004247000650B,,,,,,10/03/2014,,,,,4150,3750,OFFICES AND PREMISES,1992,£0.00,10/03/2014,01/04/2016,"-£1,954.65",SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PRIMESIGHT LTD,,ADV RIGHT (MAIDEN 1583) AFTER,,34 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,,CH45 4JP,42470003409,UNIT 9 WESPOINT ENTERPRISE PARK,CLARENCE AVENUE,TRAFFORD PARK,MANCHESTER,M17 1QS,01/09/2009,,,,,2900,3750,ADVERTISING RIGHT AND PREMISES,1392,"£1,392.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,TECHNICAL SERVICES DIRECTORATE,,,,CAR PARK,LISCARD CRESCENT/LISCARD VILLAGE,WALLASEY,MERSEYSIDE,CH45 4JP,000424700001A4,ACCOUNTANCY DIVISION,MUNICIPAL BUILDING CLEVELAND STREET,BIRKENHEAD,MERSEYSIDE,CH41 6BU,01/04/2004,,,,,28250,7600,CAR PARK AND PREMISES,13927,"£13,533.65",,,£0.00,,"-£2,969.03",,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BBH (LEGAL SERVICES) LTD,EMPLOYM'T & W'FARE BENS ADVICE,,,11 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,,CH45 4JR,42470001109,EASTHAM HALL,109 EASTHAM VILLAGE ROAD,WIRRAL,MERSEYSIDE,CH62 0AF,20/06/2014,,,,,5300,,SHOP AND PREMISES,2544,"£2,544.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,AGE UK ,,,,5 - 7 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,,CH45 4JR,000424700005A9,DEVONSHIRE RESOURCE CENTRE,141 PARK ROAD NORTH,BIRKENHEAD,,CH41 0DD,01/10/2011,,,,,18000,,SHOP AND PREMISES,8874,£0.00,,,£0.00,,£0.00,01/10/2011,80%,"-£6,940.80",20%,"-£1,735.20",,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ARQIVA,,,,MM02 SITE ON ROOF OF,TELEPHONE EXCHANGE,LISCARD VILLAGE,WALLASEY MERSEYSIDE,CH45 4JR,000424700056C5,GVA-RATING.FID1601337,PO BOX 6079,WOLVERHAMPTON,,WV1 9RA,01/04/2010,,,,,12500,4750,COMMUNICATION STATION AND PREMISES,6000,"£4,804.50",,,£0.00,SBRR Multiplier Used in Calculation,"-£1,787.57",,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,DP SHAYBAN LTD,,,,"1 - 3, LISCARD VILLAGE",WALLASEY,MERSEYSIDE,,CH45 4JR,000424700001A1,2 ELM STREET,CARDIFF,,,CF24 3QR,30/07/2013,,,,,9400,,SHOP AND PREMISES,4512,"£3,012.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MOBILE BROADBAND NETWORK LTD,,,,ROOFTOP TELEPHONE EXCHANGE,LISCARD VILLAGE,WALLASEY,MERSEYSIDE,CH45 4JR,000424700056D7,GVA-RATING.FID1601337,PO BOX 6079,WOLVERHAMPTON,,WV1 9RA,30/06/2009,,,,,12000,4300,COMMUNICATION STATION AND PREMISES,5760,"£4,540.50",,,£0.00,SBRR Multiplier Used in Calculation,"-£1,777.36",,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ROYAL MAIL PROPERTY HOLDINGS,,,,WALLASEY DELIVERY OFFICE,LISCARD VILLAGE,WALLASEY,MERSEYSIDE,CH45 4JR,000424700056F1,C/O CUSHMAN & WAKEFIELD,ST PAULS HOUSE,23 PARK SQUARE SOUTH,LEEDS,LS1 2ND,01/04/2010,,,,,59000,,OFFICES AND PREMISES,29087,"£29,087.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE QUEENS LISCARD LTD,,,,QUEENS ARMS HOTEL,LISCARD VILLAGE,WALLASEY,MERSEYSIDE,CH45 4JR,42470006002,,,,,,03/02/2014,,,,,41000,41300,PUBLIC HOUSE AND PREMISES,20213,"£18,713.00",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WALLASEY CARS LTD,,,,20 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,,CH45 4JR,000424700020DA,,,,,,01/04/2013,,,,,5300,,SHOP AND PREMISES,2544,£0.00,01/04/2013,01/04/2016,"-£2,496.30",SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BARCLAYS BANK PLC,,,,2 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,,CH45 4JS,000424700002C7,C/O CBRE LTD,55 TEMPLE ROW,BIRMINGHAM,,B2 5LS,01/04/2000,,,,,82000,73000,BANK AND PREMISES,40426,"£40,426.00",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SANTANDER UK PLC,C/O RATE ACCOUNT MANAGEMENT,,,14-16 LISCARD VILLAGE,WALLASEY,MERSEYSIDE,,CH45 4JW,0004247000160B,COLLIERS INT RATING UK LLP,12TH FLOOR ELEVEN BRINDLEYPLACE,2 BRUNSWICK SQUARE BRINDLEYPLACE,BIRMINGHAM,B1 2LP,01/04/2000,,,,,11750,10750,SHOP AND PREMISES,5640,"£5,640.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ACCESS PERSONAL CHECKING,SERVICES LTD,,,46 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LA,000438100046AB,,,,,,24/04/2015,,,,,5100,4050,SHOP AND PREMISES,1759,£0.00,13/07/2015,01/04/2016,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,FOOD SOLUTIONS LTD,,,,22 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LA,43810002206,56 MARTINS LANE,WALLASEY,,,CH44 1BN,02/08/2014,,,,,6400,,SHOP AND PREMISES,3072,£0.00,02/08/2014,01/04/2016,"-£1,865.35",SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MESSRS E K LAURIE LTD,,,,38-40 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LA,000438100038A5,38-40 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LA,01/04/2000,,,,,12250,9700,SHOP AND PREMISES,5880,"£4,380.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,MESSRS E K LAURIE LTD,,,,R/O 38 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LA,000438100038C4,38-40 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LA,01/04/2000,,,,,860,730,WORKSHOP AND PREMISES,412,£412.80,,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ST JOHNS HOSPICE,,,,18 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LA,000438100018B4,FAO ADMINISTRATOR,MOUNT ROAD,WIRRAL,MERSEYSIDE,CH63 6JE,01/08/2003,,,,,6500,5500,SHOP AND PREMISES,3204,£0.00,,,£0.00,,£0.00,01/08/2003,80%,"-£2,506.40",20%,-£626.60,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,STILLMELL LTD,,,,16 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LA,43810001608,C/O WELBECK PROPERTIES,41A LEICESTER ROAD,SALFORD,,M7 4AS,15/07/2014,Y,15/07/2014,,,6900,6000,SHOP AND PREMISES,3401,"£3,401.70",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE THOMAS HIGGINS PARTNERSHIP,,,,32 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LA,43810003209,19 -21 SEAVIEW ROAD ,WALLASEY,MERSEYSIDE ,,CH45 4TH,01/04/2000,,,,,6000,4700,OFFICE AND PREMISES,2880,"£2,880.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WILLIAM HILL ORGANIZATION LTD,,,,4-6 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LA,43810000605,GREENSIDE HOUSE,50 STATION ROAD , WOOD GREEN,LONDON,N22 7TP,01/04/2000,,,,,13500,10500,OFFICE AND PREMISES,6480,"£6,480.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ABS (NW) LTD,,,,96 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LB,0004381000960A,FLAT 1,217A SEAVIEW ROAD,WALLASEY,,CH45 4PD,11/09/2012,Y,22/09/2011,,,1750,1400,SHOP AND PREMISES,862,£0.00,,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SHELTER,,,,64 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LB,43810006404,88 OLD STREET,LONDON,,,EC1V 9HU,01/04/2000,,,,,3150,2500,SHOP AND PREMISES,1552,£0.00,,,£0.00,,£0.00,01/04/2000,80%,"-£1,214.64",20%,-£303.66,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,WIRRAL INDEPENDENT LIVING,SERVICES LTD,,,128-130 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LD,000438100128B9,,,,,,14/03/2014,,,,,3100,2375,SHOP AND PREMISES,1488,£0.00,14/03/2014,01/04/2016,"-£1,460.10",SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,BOSCO BARS LTD,,,,STANLEYS,83 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,CH45 4LE,43810008306,27 STUBBS LANE,PRENTON,WIRRAL,,CH43 9HJ,07/12/2015,Y,26/03/2010,,,17250,24250,PUBLIC HOUSE AND PREMISES,2624,"£2,148.85",,,,,,,,,,,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,KWIK-FIT PROPERTIES LTD,,,,85 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LE,000438100085B2,FAO RATES MANAGEMENT,LAMBERT SMITH HAMPTON,"INTERCHANGE PLACE, EDMUND STREET",BIRMINGHAM,B3 2TA,01/04/2004,,,,,29500,26750,WORKSHOP AND PREMISES,14543,"£14,543.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,PLAS TEG ESTATES LTD,,,,87-91 SEAVIEW ROAD,WALLASEY,MERSEYSIDE,,CH45 4LE,0004381000870B,LEIGHTON HOUSE,LEIGHTON EST,CHESTER ROAD,HESWALL,CH60 3RZ,25/03/2015,Y,25/03/2015,,,5400,8100,CAR SALES AND PREMISES,2662,"£2,662.20",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ARQIVA,,,,BBC TRANSMITTING STATION,THIRLMERE DRIVE,WALLASEY,MERSEYSIDE,CH45 4LW,44080005303,GVA-RATING.FID1601337,PO BOX 6079,WOLVERHAMPTON,,WV1 9RA,01/04/2004,,,,,12000,8550,COMMUNICATION STATION AND PREMISES,5760,"£5,760.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,YORKSHIRE BUILDING SOC PREMISES,DEPT,,,5-6 CORONATION BUILDINGS,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH45 4NE,52560000601,HEAD OFFICE,YORKSHIRE HOUSE YORKSHIRE DRIVE,BRADFORD,,BD5 8LJ,01/04/2000,,,,,33250,33250,OFFICES AND PREMISES,16392,"£16,392.25",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,ROY CASTLE LUNG CANCER,FOUNDATION,,,2 CORONATION BUILDINGS,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH45 4NE,52560000207,FAO LYNN RIGBY,200 LONDON ROAD,LIVERPOOL,MERSEYSIDE,L3 9TA,31/05/2007,,,,,14000,16250,SHOP AND PREMISES,6902,£0.00,,,£0.00,,£0.00,31/05/2007,80%,"-£5,398.40",20%,"-£1,349.60",,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LONDON & ASSOCIATED PROPERTIES,LTD,,,12 CORONATION BUILDINGS,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH45 4NE,000525600012B9,CARLTON HOUSE,ST JAMES SQUARE,LONDON,,SW1Y 4JH,29/09/2015,Y,29/09/2015,,,13250,14750,SHOP AND PREMISES,3301,"£3,301.82",,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,AMBER RESTAURANTS LTD,,,,14-15 CORONATION BUILDINGS,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH45 4NE,52560001407,456-458 LEYLAND ROAD,LOSTOCK HALL,PRESTON,LANCASHIRE,PR5 5RY,14/01/2008,,,,,21250,26500,OFFICES AND PREMISES,10476,"£8,976.25",,,£0.00,,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CASH GENERATOR LTD,,,,1 CORONATION BUILDINGS,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH45 4NE,000525600001A8,AXCESS EUROPE,RATHO PARK,"3 STATION ROAD, NEWBRIDGE",WEST EDINBURGH,EH28 8QQ,07/05/2011,,,,,15000,17500,SHOP AND PREMISES,7200,"£7,200.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CORAL RACING LTD,,,,3 CORONATION BUILDINGS,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH45 4NE,0005256000030B,PROPERTY AP DEPT,NEW CASTLE HOUSE,CASTLE BOULEVARD,NOTTINGHAM,NG7 1FT,26/08/2011,,,,,14000,16250,SHOP AND PREMISES,6720,"£6,720.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,JACANA PRODUCE LTD,,,,4 CORONATION BUILDINGS,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH45 4NE,52560000404,RIVER HOUSE HIGH STREET,BROOM,ALCESTER,WARWICKSHIRE,B50 4HN,06/11/2012,,,,,14250,16500,SHOP AND PREMISES,6840,"£5,340.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LLOYDS BANKING GROUP,,,,9-10 CORONATION BUILDINGS,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH45 4NE,0005256000120A,C/O CBRE LTD,55 TEMPLE ROW,BIRMINGHAM,,B2 5LS,01/04/2000,,,,,27500,31750,SHOP AND PREMISES,13557,"£13,557.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,SUE RYDER CARE,,,,8 CORONATION BUILDINGS,WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH45 4NE,000525600008A3,C/O CAPITA,65 GRESHAM STREET,LONDON,,EC2V 7NQ,24/05/2005,,,,,13250,15500,SHOP AND PREMISES,6532,£0.00,,,£0.00,,£0.00,24/05/2005,80%,"-£5,109.20",20%,"-£1,277.30",,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,LADBROKES BETTING & GAMING LTD,,,,3-9 WALLASEY ROAD,WALLASEY,MERSEYSIDE,,CH45 4NL,52550000303,C/O MONTAGU EVANS LLP,2ND FLOOR ABBEY HOUSE,74 MOSLEY STREET,MANCHESTER,M2 3LW,04/06/2003,,,,,23500,25250,SHOP AND PREMISES,11585,"£11,585.50",,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CHERRY TREE TRUSTEE 1&2 LTD,C/O LPA RCVR D NEWALL/R PHILLIPS,,,21-23 WALLASEY ROAD,WALLASEY,MERSEYSIDE,,CH45 4NL,000525500021A3,C/O GVA GRIMLEY LLP,CHERRY TREE SHOPPING CENTRE,8A CHERRY SQUARE,WALLASEY MERSEYSIDE,CH44 5XU,01/11/2010,Y,01/11/2010,Trustee,,11750,18000,SHOP AND PREMISES,5792,£0.00,,,£0.00,,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,CHERRY TREE TRUSTEE 1&2 LTD,C/O LPA RCVR D NEWALL/R PHILLIPS,,,27 WALLASEY ROAD,WALLASEY,MERSEYSIDE,,CH45 4NL,52550002703,C/O GVA GRIMLEY LLP,CHERRY TREE SHOPPING CENTRE,8A CHERRY SQUARE,WALLASEY MERSEYSIDE,CH44 5XU,02/07/2015,Y,02/07/2015,,,6400,9900,SHOP AND PREMISES,1568,"£1,568.98",,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,J STUART & CO (GARAGES) LTD,,,,SECOND FLOOR,15-17 WALLASEY ROAD,WALLASEY,MERSEYSIDE,CH45 4NL,000525500015A8,MANOR HILL GARAGE,19 MANOR HILL,BIRKENHEAD,,CH43 1UG,01/01/2015,,,,,5600,4600,OFFICES AND PREMISES,2688,£0.00,01/01/2015,01/04/2016,-£650.37,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,M AND EMS LTD,,,,13 WALLASEY ROAD,WALLASEY,MERSEYSIDE,,CH45 4NL,52550001306,,,,,,25/03/2015,,,,,5500,13500,SHOP AND PREMISES,2640,"£1,140.00",,,£0.00,SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,RTL,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,THE BEER KEG SW LTD,,,,15-17 WALLASEY ROAD,WALLASEY,MERSEYSIDE,,CH45 4NL,52550001503,,,,,,01/06/2015,,,,,24250,32750,SHOWROOM AND PREMISES,9962,"£9,962.71",,,,,,,,,,,,
Wirral Metropolitan Borough Council,http://opendatacommunities.org/ID/metropolitan-district-council/wirral,USHER TRAVEL SERVICE LTD,,,,11 WALLASEY ROAD,WALLASEY,MERSEYSIDE,,CH45 4NL,52550001109,,,,,,24/06/2010,,,,,10000,11500,SHOP AND PREMISES,4800,"£1,700.00",24/06/2010,01/04/2016,"-£1,570.00",SBRR Multiplier Used in Calculation,£0.00,,,£0.00,,£0.00,RTL,
