Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,System Transaction Number,Amount
Ministry of Justice,NOMS,12/5/2011,Contracted-out Plant and Equipment Maintenance,TSS West Midlands Area,C & C FLOORING (MIDLANDS) LTD,4001745,"39,912.00"
Ministry of Justice,NOMS,5/31/2011,Consultancy,Estates Capacity,VALUATION OFFICE AGENCY,3883739,"39,780.00"
Ministry of Justice,NOMS,5/26/2011,WIP - Acquisitions,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,4022182,"39,766.58"
Ministry of Justice,NOMS,11/5/2011,Contracted-out Probation Trusts,Nottingham,NOTTINGHAM PROBATION COMMITTEE,4003282,"39,755.82"
Ministry of Justice,NOMS,5/5/2011,"New structural works, structural maintenance and equipment",Highdown,COLT SERVICE LTD,3987419,"39,358.20"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,BROMSGROVE DISTRICT COUNCIL,3958187,"39,187.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,SPELTHORNE BOROUGH COUNCIL,3958251,"39,187.00"
Ministry of Justice,NOMS,5/18/2011,WIP - Acquisitions,Estates Capacity,INTERSERVE PROJECT SERVICES LTD,4012103,"39,040.80"
Ministry of Justice,NOMS,9/5/2011,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,3997240,"38,995.20"
Ministry of Justice,NOMS,5/24/2011,WIP - Professional Fees,Estates Capacity,JACOBS ENGINEERING UK,4016548,"38,971.91"
Ministry of Justice,NOMS,5/25/2011,Contracted-out Computer Services,Quantum,HP ENTERPRISE SERVICES UK LTD,4021546,"38,852.00"
Ministry of Justice,NOMS,5/5/2011,"New structural works, structural maintenance and equipment",Yorks & Humberside Estate Management,G WILKINSON CONSTRUCTION LTD,3988632,"38,808.50"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,BIRMINGHAM CITY COUNCIL,3958171,"38,754.00"
Ministry of Justice,NOMS,5/5/2011,Rates and Ground Rents,Director of Finance Office,KNIGHT FRANK LLP,3917434,"38,700.00"
Ministry of Justice,NOMS,11/5/2011,WIP - Acquisitions,Estates Capacity,WATES CONSTRUCTION LTD,4001533,"38,696.96"
Ministry of Justice,NOMS,5/25/2011,Rates and Ground Rents,Estates Capacity,CHORLEY BOROUGH COUNCIL,4021517,"38,577.50"
Ministry of Justice,NOMS,5/16/2011,Inter-Unit Charge (IUC),Hindley,THE MANCHESTER COLLEGE,3950610,"38,469.02"
Ministry of Justice,NOMS,5/24/2011,Other - Acquisitions,Durham,DAF TRUCKS LTD,4018972,"38,352.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,DACORUM BOROUGH COUNCIL,3958217,"38,104.00"
Ministry of Justice,NOMS,5/23/2011,Electricity,Sheppey Clustered Services,EDF ENERGY,4016954,"38,015.36"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Visitor's Centres,Chelmsford,COFATHEC ENERGY SERVICES UK LTD,4008710,"37,878.29"
Ministry of Justice,NOMS,5/20/2011,Gas,Preston,COFATHEC ENERGY PFI LTD,4003752,"37,816.13"
Ministry of Justice,NOMS,9/5/2011,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,3997245,"37,650.39"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,NEWARK & SHERWOOD DISTRICT COUNCIL,4013870,"37,346.25"
Ministry of Justice,NOMS,5/17/2011,Counselling & Advisory Costs,Bullingdon,R A P T,4009985,"37,143.80"
Ministry of Justice,NOMS,5/16/2011,WIP - Acquisitions,Estates Capacity,VINCI CONSTRUCTION UK LTD,4008312,"37,101.60"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,ST EDMUNDSBURY BOROUGH COUNCIL,3958212,"37,062.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,BRECKLAND DISTRICT COUNCIL,3958183,"37,022.00"
Ministry of Justice,NOMS,5/13/2011,Counselling & Advisory Costs,Eastwood Park,AVON & WILTSHIRE MENTAL HEALTH PARTNERSHIP N H S TRUST,4006348,"36,832.00"
Ministry of Justice,NOMS,5/26/2011,Inter-Unit Charge (IUC),Lindholme,BT PAYPHONES,3981730,"36,816.24"
Ministry of Justice,NOMS,6/5/2011,Contracted-out operation of prisons and detention centres,Lowdham Grange,LOWDHAM GRANGE PRISON SERVICES LTD,3994759,"36,786.79"
Ministry of Justice,NOMS,5/17/2011,Gas,Lewes,COFATHEC ENERGY SERVICES UK LTD,4010502,"36,779.31"
Ministry of Justice,NOMS,6/5/2011,Resource Grants / Grant-in-Aid,Area Services,JAGONARI,3996911,"36,750.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,SURREY HEATH BOROUGH COUNCIL,3958226,"36,589.00"
Ministry of Justice,NOMS,11/5/2011,Contracted-out Probation Trusts,Whatton,NOTTINGHAMSHIRE PROBATION TRUST,4003281,"36,492.43"
Ministry of Justice,NOMS,10/5/2011,Contracted-out operation of prisons and detention centres,Forest Bank,AGECROFT PRISON MANAGEMENT LTD,4000023,"36,407.08"
Ministry of Justice,NOMS,5/31/2011,Inventory A/P Accrual,Wakefield,NDC BRANSTON,,"36,370.18"
Ministry of Justice,NOMS,6/5/2011,Miscellaneous,Long Lartin,W R DUNN & CO LTD,3995435,"36,167.15"
Ministry of Justice,NOMS,3/5/2011,Counselling & Advisory Costs,Birmingham,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,3986871,"35,771.50"
Ministry of Justice,NOMS,4/5/2011,Travel - Non-Taxable,HOPS Payroll Charge,CARLSON WAGONLIT TRAVEL,3992715,"35,771.32"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,DONCASTER MBC,3958235,"35,723.00"
Ministry of Justice,NOMS,5/25/2011,Electricity,Woodhill,EDF ENERGY,4021485,"35,676.84"
Ministry of Justice,NOMS,5/23/2011,Other - Acquisitions,Hull,ONE STOP MANAGED WASTE SOLUTIONS LTD,4016608,"35,667.00"
Ministry of Justice,NOMS,5/24/2011,WIP - Professional Fees,Estates Capacity,SCOTT WILSON  LTD,4013373,"35,604.30"
Ministry of Justice,NOMS,5/19/2011,Gas,Verne (The),CORONA ENERGY RETAIL 4 LTD,4010713,"35,438.18"
Ministry of Justice,NOMS,5/25/2011,Inter-Unit Charge (IUC),Holloway,R A P T,4009993,"35,330.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,KINGSTON-UPON-HULL CITY COUNCIL,3958322,"34,857.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,STOCKTON-ON-TEES BOROUGH COUNCIL,3958220,"34,849.00"
Ministry of Justice,NOMS,5/24/2011,Electricity,Bullingdon,EDF ENERGY,4018934,"34,805.40"
Ministry of Justice,NOMS,5/25/2011,General Maintenance Materials,Wales Prisons Estate Management Group (WPEMG),COFELY LTD,4021056,"34,739.14"
Ministry of Justice,NOMS,5/26/2011,WIP - Acquisitions,MoJ ICT,HP ENTERPRISE SERVICES UK LTD,4021984,"34,730.65"
Ministry of Justice,NOMS,6/5/2011,Counselling & Advisory Costs,Highpoint,PHOENIX FUTURES,3986443,"34,648.00"
Ministry of Justice,NOMS,5/24/2011,Electricity,Risley,EDF ENERGY,4019086,"34,626.32"
Ministry of Justice,NOMS,5/18/2011,Contracted-out Building Maintenance,Sheppey Clustered Services,B W MAY & SON LTD,3962023,"34,600.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,SWALE BOROUGH COUNCIL,3958229,"34,424.00"
Ministry of Justice,NOMS,5/17/2011,Gas,Bullingdon,CORONA ENERGY RETAIL 4 LTD,4010528,"34,419.56"
Ministry of Justice,NOMS,5/26/2011,Gas,Manchester,CORONA ENERGY RETAIL 4 LTD,4010748,"34,410.01"
Ministry of Justice,NOMS,5/24/2011,Electricity,Full Sutton,EDF ENERGY,4018997,"33,976.22"
Ministry of Justice,NOMS,11/5/2011,Contracted-out operation of prisons and detention centres,Rye Hill,ONLEY PRISON SERVICES LTD,4003016,"33,943.06"
Ministry of Justice,NOMS,9/5/2011,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,3997241,"33,916.25"
Ministry of Justice,NOMS,4/5/2011,Clothing,Offender Employment Skills & Services Group,JIANGSU SAINTY CORP LTD,3992656,"33,903.10"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,MEDWAY COUNCIL,3974161,"33,558.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,EAST STAFFORDSHIRE BOROUGH COUNCIL,3958274,"33,341.00"
Ministry of Justice,NOMS,5/13/2011,Contracted-out Library,Manchester,MANCHESTER CITY COUNCIL,3975584,"33,107.00"
Ministry of Justice,NOMS,5/18/2011,Raw Materials - ESS/LBA Industries Internal Use within the HO,Littlehey,PLAYFORDS LTD,3969780,"33,000.00"
Ministry of Justice,NOMS,5/17/2011,Gas,Sheppey Clustered Services,CORONA ENERGY RETAIL 4 LTD,4010560,"32,839.75"
Ministry of Justice,NOMS,9/5/2011,Office Equipment Purchases Under £10k,Moorland,B P DEMPSEY LTD,3963583,"32,706.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,WYCHAVON DISTRICT COUNCIL,3958201,"32,692.00"
Ministry of Justice,NOMS,5/16/2011,Gas,Frankland,CORONA ENERGY RETAIL 4 LTD,4010495,"32,661.36"
Ministry of Justice,NOMS,5/20/2011,"New structural works, structural maintenance and equipment",East of England Regional NOMS Office,B & F MECHANICAL SERVICES LTD,4015324,"32,652.00"
Ministry of Justice,NOMS,5/13/2011,Counselling & Advisory Costs,Bristol,AVON & WILTSHIRE MENTAL HEALTH PARTNERSHIP N H S TRUST,4006347,"32,448.00"
Ministry of Justice,NOMS,4/5/2011,Specialist Contractors,Estates Capacity,VALUATION OFFICE AGENCY,3883738,"32,400.00"
Ministry of Justice,NOMS,5/17/2011,Gas,Leyhill,CORONA ENERGY RETAIL 4 LTD,4010510,"32,287.36"
Ministry of Justice,NOMS,9/5/2011,Clothing,Offender Employment Skills & Services Group,JIANGSU SAINTY CORP LTD,3990627,"32,100.00"
Ministry of Justice,NOMS,5/23/2011,Raw Materials - ESS/LBA Industries,Frankland,L & P (PSCS),4018744,"31,987.20"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Other Services,Quantum,HP ENTERPRISE SERVICES UK LTD,3994512,"31,741.90"
Ministry of Justice,NOMS,5/17/2011,Gas,Highpoint,CORONA ENERGY RETAIL 4 LTD,4010674,"31,558.55"
Ministry of Justice,NOMS,5/24/2011,Electricity,Hewell,EDF ENERGY,4018911,"31,438.36"
Ministry of Justice,NOMS,5/23/2011,Contracted-out Plant and Equipment Maintenance,TSS West Midlands Area,CLEARWATER TECHNOLOGY LTD,3953141,"31,388.00"
Ministry of Justice,NOMS,6/5/2011,Counselling & Advisory Costs,Styal,LIFELINE PROJECT,3993717,"31,343.13"
Ministry of Justice,NOMS,5/24/2011,Rates and Ground Rents,MOJ Shared Services NOMS Delivery,CYNCOED PROPERTY (CARDIFF) LTD,3956311,"31,200.00"
Ministry of Justice,NOMS,5/31/2011,"Staff Compensation over £5,000",Chief Operating Officers Office,TREASURY SOLICITORS,4026130,"31,000.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,SALFORD CITY COUNCIL,3974238,"30,960.00"
Ministry of Justice,NOMS,10/5/2011,In Cell TV Costs,Unallocated Budgets,COMPUTACENTER (U K) LTD,4000638,"30,881.52"
Ministry of Justice,NOMS,5/26/2011,Gas,Acklington,CORONA ENERGY RETAIL 4 LTD,4010631,"30,878.36"
Ministry of Justice,NOMS,3/5/2011,"Prisoner Compensation over £5,000",Chief Operating Officers Office,TREASURY SOLICITORS,3991344,"30,750.00"
Ministry of Justice,NOMS,5/5/2011,Contracted-out Probation Trusts,Channings Wood,DEVON AND CORNWALL PROBATION TRUST,3995139,"30,718.55"
Ministry of Justice,NOMS,5/25/2011,Contracted-out operation of prisons and detention centres,Rye Hill,ONLEY PRISON SERVICES LTD,4020276,"30,572.10"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,RUTLAND DISTRICT COUNCIL,3974234,"30,526.00"
Ministry of Justice,NOMS,11/5/2011,"New structural works, structural maintenance and equipment",Frankland,WILTS WHOLESALE ELECTRICAL CO LTD,4001471,"30,377.40"
Ministry of Justice,NOMS,5/31/2011,Consultancy,Estates Capacity,VALUATION OFFICE AGENCY,3954882,"30,300.00"
Ministry of Justice,NOMS,5/16/2011,Gas,Birmingham,CORONA ENERGY RETAIL 4 LTD,4008657,"30,198.12"
Ministry of Justice,NOMS,5/17/2011,Gas,Belmarsh,CORONA ENERGY RETAIL 4 LTD,4010578,"30,122.34"
Ministry of Justice,NOMS,6/5/2011,Resource Grants / Grant-in-Aid,Area Services,DEPAUL,3996913,"30,000.00"
Ministry of Justice,NOMS,5/17/2011,Gas,Featherstone,CORONA ENERGY RETAIL 4 LTD,4010544,"29,905.94"
Ministry of Justice,NOMS,5/23/2011,Water and Sewage,Highpoint,ANGLIAN WATER SERVICES LTD,4016902,"29,819.01"
Ministry of Justice,NOMS,5/16/2011,Gas,Hewell,CORONA ENERGY RETAIL 4 LTD,4008658,"29,733.37"
Ministry of Justice,NOMS,3/5/2011,Contracted-out Education,Dover,THE MANCHESTER COLLEGE,3988847,"29,722.35"
Ministry of Justice,NOMS,5/19/2011,Contracted-out Education,Dover,THE MANCHESTER COLLEGE,4012575,"29,722.35"
Ministry of Justice,NOMS,5/26/2011,WIP - Professional Fees,Estates Capacity,AEDAS ARCHITECTS LTD,3918915,"29,652.14"
Ministry of Justice,NOMS,4/5/2011,Water and Sewage,Manchester,UNITED UTILITIES WATER PLC,3992763,"29,648.71"
Ministry of Justice,NOMS,9/5/2011,Contracted-out operation of prisons and detention centres,Altcourse,FAZAKERLEY PRISON SERVICES LTD,3998781,"29,497.17"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,WIGAN COUNCIL,3958194,"29,444.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,DURHAM COUNTY COUNCIL,3958264,"29,444.00"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Probation Boards,Isle of Wight,HAMPSHIRE PROBATION TRUST,4020073,"29,335.74"
Ministry of Justice,NOMS,5/25/2011,Other Fuels,Sudbury,TOTAL BUTLER,4003171,"29,282.16"
Ministry of Justice,NOMS,5/19/2011,Gas,Liverpool,CORONA ENERGY RETAIL 4 LTD,4010668,"29,265.83"
Ministry of Justice,NOMS,11/5/2011,WIP - Acquisitions,Estates Capacity,WATES CONSTRUCTION LTD,4001979,"29,203.20"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,CHORLEY BOROUGH COUNCIL,3958206,"29,011.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,BRIDGEND COUNTY BOROUGH COUNCIL,3974146,"28,890.00"
Ministry of Justice,NOMS,9/5/2011,Contracted-out operation of prisons and detention centres,Bronzefield,ASHFORD PRISON SERVICES LIMITED,3998224,"28,696.64"
Ministry of Justice,NOMS,5/19/2011,Water and Sewage,Thorn Cross,UNITED UTILITIES WATER PLC,4008511,"28,623.77"
Ministry of Justice,NOMS,5/18/2011,Gas,Aylesbury,CORONA ENERGY RETAIL 4 LTD,3973395,"28,620.24"
Ministry of Justice,NOMS,10/5/2011,Water and Sewage,Risley,UNITED UTILITIES WATER PLC,4000657,"28,611.74"
Ministry of Justice,NOMS,5/13/2011,Contracted-out Other Services,New Hall,ACTION FOR CHILDREN SERVICES LTD,3911493,"28,609.20"
Ministry of Justice,NOMS,5/24/2011,Electricity,Leeds,EDF ENERGY,4018885,"28,602.11"
Ministry of Justice,NOMS,5/17/2011,Gas,Haverigg,CORONA ENERGY RETAIL 4 LTD,4010661,"28,565.17"
Ministry of Justice,NOMS,5/17/2011,Gas,Wandsworth,CORONA ENERGY RETAIL 4 LTD,4010620,"28,500.20"
Ministry of Justice,NOMS,5/16/2011,Gas,Ranby,CORONA ENERGY RETAIL 4 LTD,4008568,"28,493.36"
Ministry of Justice,NOMS,5/25/2011,Contracted-out Probation Trusts,Preston,LANCASHIRE PROBATION TRUST,4020406,"28,456.36"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Resettlement Services,NOMS CFO,LONDON PROBATION TRUST,4022127,"28,456.00"
Ministry of Justice,NOMS,5/26/2011,Contracted-out Resettlement Services,NOMS CFO,LONDON PROBATION TRUST,4022126,"28,456.00"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Computer Services,Quantum,HP ENTERPRISE SERVICES UK LTD,3993830,"28,364.23"
Ministry of Justice,NOMS,5/25/2011,Rates and Ground Rents,Estates Capacity,CHORLEY BOROUGH COUNCIL,4021515,"28,333.89"
Ministry of Justice,NOMS,3/5/2011,Contracted-out Resettlement Services,NOMS CFO,PERTEMPS PEOPLE DEVELOPMENT GROUP,3987669,"28,304.01"
Ministry of Justice,NOMS,11/5/2011,Official Postage & Couriers,MOJ Shared Services NOMS Delivery,ROYAL MAIL GROUP PLC,4002813,"28,231.80"
Ministry of Justice,NOMS,6/5/2011,"New structural works, structural maintenance and equipment",FM Property Unit,THE CARBON TRUST STANDARD COMPANY LTD,3992629,"28,137.43"
Ministry of Justice,NOMS,4/5/2011,Contracted-out Library,Buckley Hall,ROCHDALE MET BOROUGH COUNCIL,3992125,"27,994.78"
Ministry of Justice,NOMS,5/25/2011,Water and Sewage,Verne (The),BRISTOL AND WESSEX WATER BILLING SERVICES LTD,4021552,"27,965.80"
Ministry of Justice,NOMS,11/5/2011,Other Fuels,Transport Group,HARVEST ENERGY LTD,4000399,"27,844.64"
Ministry of Justice,NOMS,6/5/2011,Pin Phone Suspense,Sheppey Clustered Services,BT PAYPHONES,3965983,"27,827.20"
Ministry of Justice,NOMS,6/5/2011,Other Fuels,Sudbury,TOTAL BUTLER,3992372,"27,723.60"
Ministry of Justice,NOMS,5/20/2011,Other Fuels,Transport Group,HARVEST ENERGY LTD,4014432,"27,691.20"
Ministry of Justice,NOMS,5/17/2011,Gas,Channings Wood,CORONA ENERGY RETAIL 4 LTD,4010719,"27,550.45"
Ministry of Justice,NOMS,5/17/2011,Counselling & Advisory Costs,Highdown,R A P T,4009992,"27,481.00"
Ministry of Justice,NOMS,10/5/2011,Contracted-out operation of prisons and detention centres,Parc,BRIDGEND CUSTODIAL SERVICES LTD,4000160,"27,408.58"
Ministry of Justice,NOMS,5/13/2011,Clothing,Offender Employment Skills & Services Group,JIANGSU SAINTY CORP LTD,4004699,"27,402.76"
Ministry of Justice,NOMS,5/24/2011,Counselling & Advisory Costs,Norwich,PHOENIX FUTURES,4012189,"27,378.59"
Ministry of Justice,NOMS,5/24/2011,Counselling & Advisory Costs,Nottingham,PHOENIX FUTURES,3978732,"27,357.78"
Ministry of Justice,NOMS,12/5/2011,Raw Materials Issued,Offender Employment Skills & Services Group,AMARYLLIS LTD,4003571,"27,204.94"
Ministry of Justice,NOMS,5/26/2011,Training and Further Education Courses,Organisational Development Group,ASHBOURNE ASSESSMENT SYSTEMS LTD,4015025,"27,109.71"
Ministry of Justice,NOMS,5/25/2011,Contracted-out operation of prisons and detention centres,Rye Hill,ONLEY PRISON SERVICES LTD,4019485,"27,092.40"
Ministry of Justice,NOMS,5/24/2011,Water and Sewage,Brixton,THAMES WATER UTILITIES LTD,4018936,"27,086.07"
Ministry of Justice,NOMS,5/26/2011,Training and Further Education Courses,Business and Service Development Group,BERKSHIRE CONSULTANCE LTD,4019767,"27,063.53"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,BLABY DISTRICT COUNCIL,3958178,"27,063.00"
Ministry of Justice,NOMS,5/16/2011,Rates and Ground Rents,Yorkshire and Humberside DOMS Office,LEEDS CITY COUNCIL,4008559,"27,062.50"
Ministry of Justice,NOMS,5/16/2011,"New structural works, structural maintenance and equipment",Isle of Wight,JOHN NICHOLSON LTD,4004478,"26,848.80"
Ministry of Justice,NOMS,5/18/2011,Contracted-out Probation Trusts,Styal,CHESHIRE PROBATION TRUST,4012098,"26,802.59"
Ministry of Justice,NOMS,5/24/2011,Contracted-out Visitor's Centres,Acklington,NEPACS,4016347,"26,790.00"
Ministry of Justice,NOMS,5/5/2011,Hard-Charged Clothing,Wormwood Scrubs,BGL RIEBER LTD,3942785,"26,604.00"
Ministry of Justice,NOMS,5/26/2011,Water and Sewage,Wandsworth,THAMES WATER UTILITIES LTD,4022431,"26,414.54"
Ministry of Justice,NOMS,9/5/2011,"New structural works, structural maintenance and equipment",Isle of Wight,JOHN NICHOLSON LTD,3963736,"26,400.00"
Ministry of Justice,NOMS,5/20/2011,Other Fuels,Transport Group,HARVEST ENERGY LTD,3904028,"26,250.29"
Ministry of Justice,NOMS,5/19/2011,Gas,Nottingham,CORONA ENERGY RETAIL 4 LTD,4010717,"26,211.71"
Ministry of Justice,NOMS,5/24/2011,Electricity,Kirkham,EDF ENERGY,4019080,"26,173.10"
Ministry of Justice,NOMS,11/5/2011,Recreation,Dover,SKY BUSINESS DIVISION,4002557,"26,136.00"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Catering Services,Woodhill,ARAMARK LTD,4003861,"26,134.03"
Ministry of Justice,NOMS,5/19/2011,General Maintenance Materials,Wales Prisons Estate Management Group (WPEMG),HIGHLAND ELECTRIX (BRIDGEND) LTD,4013757,"26,127.60"
Ministry of Justice,NOMS,5/17/2011,Counselling & Advisory Costs,Erlestoke,AVON & WILTSHIRE MENTAL HEALTH PARTNERSHIP N H S TRUST,4006344,"26,043.00"
Ministry of Justice,NOMS,5/31/2011,"Staff Compensation under £5,000",Liverpool,TREASURY SOLICITORS,4026157,"26,000.00"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,AYLESBURY VALE DISTRICT COUNCIL,3958154,"25,980.00"
Ministry of Justice,NOMS,9/5/2011,Contracted-out operation of prisons and detention centres,Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,3997243,"25,926.75"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Probation Trusts,East Midlands DOMS Office,LEICESTERSHIRE&RUTLAND PROBATION TRUST,3982277,"25,912.59"
Ministry of Justice,NOMS,5/24/2011,Electricity,Hull,EDF ENERGY,4018940,"25,870.25"
Ministry of Justice,NOMS,10/5/2011,WIP - Professional Fees,Estates Capacity,RIDER LEVETT BUCKNALL UK LTD,3997576,"25,834.49"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,BASSETLAW DISTRICT COUNCIL,3958156,"25,764.00"
Ministry of Justice,NOMS,5/26/2011,Counselling & Advisory Costs,Isle of Wight,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,4010104,"25,562.36"
Ministry of Justice,NOMS,5/17/2011,Contracted-out Catering Services,Isis,ARAMARK LTD,3996852,"25,539.58"
Ministry of Justice,NOMS,5/24/2011,Electricity,Rochester,EDF ENERGY,4019004,"25,425.87"
Ministry of Justice,NOMS,10/5/2011,Contracted-out Plant and Equipment Maintenance,Sheppey Clustered Services,COOMBS (CANTERBURY) LTD,3999605,"25,380.00"
Ministry of Justice,NOMS,5/23/2011,Electricity,Featherstone,EDF ENERGY,4016961,"25,151.76"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,DONCASTER MET DIST COUNCIL,3958231,"25,114.00"
Ministry of Justice,NOMS,5/13/2011,Occupational Health Services,Wandsworth,ATOS ORIGIN IT SERVICES UK LTD,4004874,"25,092.00"
Ministry of Justice,NOMS,5/24/2011,Electricity,Whitemoor,EDF ENERGY,4018993,"25,069.13"
Ministry of Justice,NOMS,5/26/2011,Rates and Ground Rents,Estates Capacity,NEWPORT CITY COUNCIL,3974231,"25,038.00"
Ministry of Justice,NOMS,11/5/2011,Water and Sewage,Stoke Heath,SEVERN TRENT WATER LTD,3974205,"-27,205.00"
Ministry of Justice,NOMS,5/31/2011,Water and Sewage,Nottingham,SEVERN TRENT WATER LTD,4006751,"-34,681.78"
Ministry of Justice,NOMS,12/5/2011,Contracted-out Probation Trusts,Preston,LANCASHIRE PROBATION TRUST,3984527,"-40,239.10"
Ministry of Justice,NOMS,5/19/2011,Specialist Contractors,Procurement Group,CAPGEMINI UK PLC,,"-43,005.00"
Ministry of Justice,NOMS,5/19/2011,Specialist Contractors,Procurement Group,CAPGEMINI UK PLC,,"-43,944.41"
Ministry of Justice,NOMS,5/5/2011,Severance,Maidstone,TREASURY SOLICITORS,,"-47,959.95"
Ministry of Justice,NOMS,5/19/2011,Rates and Ground Rents,Estates Capacity,LANCASTER CITY COUNCIL,,"-48,840.00"
Ministry of Justice,NOMS,6/5/2011,Contracted-out Resettlement Services,NOMS CFO,LONDON PROBATION TRUST,,"-52,124.25"
Ministry of Justice,NOMS,9/5/2011,Contracted-out Electronic Monitoring,National Operations Group,G4S CARE & JUSTICE SERVICES LTD,3998609,"-59,978.76"
Ministry of Justice,NOMS,5/16/2011,Contracted-out Prison Shop,Chief Operating Officers Office,EXEL EUROPE1 LTD,3986820,"-69,909.52"
Ministry of Justice,NOMS,5/16/2011,"New structural works, structural maintenance and equipment",Frankland,HUFFEY GROUP LTD,3999555,"-74,752.20"
Ministry of Justice,NOMS,9/5/2011,Contracted-out operation of prisons and detention centres,Bronzefield,ASHFORD PRISON SERVICES LIMITED,3973462,"-87,428.99"
Ministry of Justice,NOMS,5/19/2011,Rates and Ground Rents,Estates Capacity,DURHAM CITY COUNCIL,,"-91,584.00"
Ministry of Justice,NOMS,9/5/2011,Contracted-out Electronic Monitoring,National Operations Group,G4S CARE & JUSTICE SERVICES LTD,3998613,"-98,564.53"
Ministry of Justice,NOMS,9/5/2011,Inter-Unit Charge (IUC),Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,,"-108,387.55"
Ministry of Justice,NOMS,9/5/2011,Inter-Unit Charge (IUC),Peterborough,PETERBOROUGH PRISON MANAGEMENT LTD,3986149,"-108,387.55"
Ministry of Justice,NOMS,5/16/2011,"New structural works, structural maintenance and equipment",Leyhill,ENGINEERING SERVICES (SOUTH WEST) LTD,3999137,"-109,864.80"
Ministry of Justice,NOMS,5/19/2011,Rates and Ground Rents,Estates Capacity,WARRINGTON BOROUGH COUNCIL,,"-128,601.00"
Ministry of Justice,NOMS,9/5/2011,Contracted-out Electronic Monitoring,National Operations Group,G4S CARE & JUSTICE SERVICES LTD,3998619,"-179,253.46"
Ministry of Justice,NOMS,10/5/2011,"New structural works, structural maintenance and equipment",TSS - South Central,HUFFEY GROUP LTD,4000666,"-181,255.08"
Ministry of Justice,NOMS,5/19/2011,Rates and Ground Rents,Estates Capacity,DURHAM CITY COUNCIL,,"-204,597.00"
Ministry of Justice,NOMS,9/5/2011,Contracted-out Electronic Monitoring,National Operations Group,G4S CARE & JUSTICE SERVICES LTD,3998621,"-235,884.78"
Ministry of Justice,NOMS,5/19/2011,Rates and Ground Rents,Estates Capacity,DURHAM CITY COUNCIL,,"-502,344.00"
